new_rank,#facts,new_score,new_ranks,original_rank,original_score,facts,prediction,new_scores
60.5,1,4.631196,"[70, 51]",1,1.4664829,"[(8306, 2, 499)]","(8306, 2, 25327)","[5.015604, 4.2467875]"
199.5,1,4.970337,"[114, 285]",1,1.4167567,"[(1906, 4, 37285)]","(37285, 0, 184)","[4.6134567, 5.327217]"
4.5,1,0.9970348,"[7, 2]",1,0.6540674,"[(30007, 2, 916)]","(30007, 2, 121)","[0.95405954, 1.04001]"
190.5,1,0.75772667,"[379, 2]",1,1.0805113,"[(12266, 0, 3640)]","(12266, 4, 18612)","[1.1534923, 0.36196107]"
1419.0,1,5.0092425,"[67, 2771]",1,1.3141148,"[(1073, 4, 31237)]","(31237, 0, 2110)","[4.854992, 5.163493]"
30.5,1,1.5965762,"[26, 35]",1,1.9245131,"[(24513, 4, 24514)]","(24513, 0, 4550)","[1.4634309, 1.7297215]"
6.5,1,1.5184526,"[10, 3]",1,0.6697103,"[(9258, 2, 121)]","(9258, 2, 916)","[2.263329, 0.7735763]"
2732.0,1,5.441598,"[5197, 267]",1,2.4774587,"[(12825, 4, 36270)]","(36270, 0, 265)","[5.7362347, 5.1469617]"
5436.0,1,4.6330237,"[6982, 3890]",1,2.9325104,"[(25916, 6, 36297)]","(36297, 0, 16303)","[4.300394, 4.9656534]"
3.0,1,1.4370553,"[4, 2]",1,0.7776886,"[(1131, 4, 15734)]","(15734, 0, 184)","[1.3433274, 1.5307834]"
8148.0,1,5.4047956,"[1815, 14481]",1,3.1222603,"[(4747, 5, 3149)]","(4747, 0, 22951)","[5.4441733, 5.365418]"
1.0,1,0.50196576,"[1, 1]",1,0.6120101,"[(2930, 6, 18961)]","(18961, 2, 7)","[0.4154014, 0.58853006]"
13290.0,1,5.5377145,"[5386, 21194]",1,0.8926251,"[(1038, 4, 39279)]","(39279, 0, 184)","[5.4152555, 5.6601734]"
11905.0,1,5.2437224,"[23802, 8]",1,1.4126594,"[(17932, 4, 17933)]","(17933, 0, 160)","[5.62315, 4.864295]"
27.0,1,5.551193,"[22, 32]",1,1.6869034,"[(22077, 0, 3517)]","(22077, 5, 6956)","[5.7585497, 5.343837]"
1.5,1,0.9109642,"[2, 1]",1,0.86584294,"[(10506, 4, 31801)]","(10506, 0, 296)","[1.1178502, 0.7040782]"
14.0,1,5.3298206,"[2, 26]",1,1.6838268,"[(2899, 6, 22501)]","(22501, 2, 1326)","[4.7333784, 5.926263]"
500.5,1,4.597431,"[952, 49]",1,1.3730358,"[(3239, 4, 33666)]","(33666, 0, 278)","[4.477362, 4.7175]"
1932.0,1,5.095067,"[78, 3786]",1,1.8926018,"[(31737, 0, 4448)]","(31737, 0, 16660)","[4.613926, 5.5762076]"
1379.5,1,5.1735187,"[718, 2041]",1,1.5232298,"[(13520, 4, 13521)]","(13521, 0, 427)","[5.2510343, 5.096003]"
2.0,1,1.6224656,"[2, 2]",1,1.0595998,"[(12815, 4, 16507)]","(16507, 0, 184)","[1.3614495, 1.8834816]"
1.0,1,0.84941196,"[1, 1]",1,1.4715588,"[(1914, 8, 29963)]","(29963, 5, 774)","[0.8998168, 0.79900706]"
2.0,1,0.17704433,"[3, 1]",1,0.16975777,"[(2173, 6, 25880)]","(2173, 6, 38083)","[0.20625803, 0.14783064]"
888.5,1,4.800607,"[1743, 34]",1,3.1416736,"[(10444, 4, 38386)]","(38386, 0, 1904)","[5.435883, 4.1653314]"
5.5,1,1.396846,"[1, 10]",1,1.6178828,"[(33711, 0, 21113)]","(33711, 5, 19257)","[1.415587, 1.3781052]"
11.5,1,4.656987,"[16, 7]",1,1.0748414,"[(18018, 2, 121)]","(18018, 2, 916)","[5.2957244, 4.0182495]"
1.5,1,0.93309414,"[1, 2]",1,1.0016706,"[(23931, 0, 3741)]","(3741, 6, 11977)","[0.9288489, 0.9373394]"
10.0,1,1.2470685,"[11, 9]",1,1.1540937,"[(33791, 4, 11695)]","(33791, 0, 2687)","[1.3115263, 1.1826108]"
19.5,1,4.300625,"[21, 18]",1,4.8635826,"[(36972, 0, 220)]","(36972, 5, 172)","[4.537286, 4.0639634]"
208.0,1,2.1306782,"[382, 34]",1,1.5995007,"[(18332, 4, 18333)]","(18333, 0, 1929)","[2.3670282, 1.8943282]"
817.5,1,5.0713444,"[932, 703]",1,2.6455247,"[(3408, 8, 27097)]","(27097, 0, 10241)","[5.417371, 4.725318]"
16114.5,1,5.373532,"[138, 32091]",1,0.75780964,"[(2924, 4, 33324)]","(33324, 0, 284)","[5.151331, 5.5957327]"
1.0,1,1.0116974,"[1, 1]",1,1.2696587,"[(3188, 8, 19442)]","(19442, 2, 1137)","[1.5241786, 0.49921617]"
2.0,1,1.2248037,"[1, 3]",1,1.4160054,"[(1864, 4, 12569)]","(1864, 0, 1703)","[1.2498369, 1.1997706]"
1.5,1,0.8690686,"[1, 2]",1,0.9023785,"[(18451, 0, 17127)]","(18451, 5, 1238)","[0.9113894, 0.8267478]"
1.0,1,1.3156946,"[1, 1]",1,2.1907704,"[(7396, 4, 12341)]","(7396, 0, 39)","[1.4713264, 1.1600628]"
10.0,1,1.8321407,"[14, 6]",1,2.5990837,"[(15951, 4, 15952)]","(15952, 0, 3163)","[2.1915498, 1.4727316]"
42.0,1,4.860778,"[16, 68]",1,2.976766,"[(40221, 0, 3411)]","(40221, 5, 73)","[4.553189, 5.1683674]"
36.0,1,2.1202197,"[39, 33]",1,1.3780348,"[(33163, 5, 19146)]","(33163, 5, 4554)","[2.0686803, 2.1717591]"
1654.5,1,3.0034702,"[3165, 144]",1,1.6982498,"[(6122, 4, 19351)]","(19351, 0, 265)","[3.4436824, 2.563258]"
37.5,1,1.9602123,"[65, 10]",1,0.8656637,"[(1864, 4, 14814)]","(14814, 0, 292)","[2.3252764, 1.5951483]"
42.5,1,1.4770253,"[82, 3]",1,1.9819248,"[(21561, 4, 12663)]","(21561, 0, 39)","[1.7835524, 1.170498]"
5860.0,1,5.160557,"[348, 11372]",1,1.2893803,"[(7922, 4, 34758)]","(34758, 0, 284)","[5.4281874, 4.892926]"
2782.0,1,5.497188,"[4843, 721]",1,1.6508205,"[(1432, 4, 38617)]","(38617, 0, 21)","[5.2055874, 5.788789]"
12.0,1,5.0671263,"[23, 1]",1,1.4379002,"[(4927, 6, 9939)]","(9939, 2, 2580)","[5.8881054, 4.2461476]"
13.5,1,1.1486408,"[26, 1]",1,1.2075223,"[(36255, 6, 33439)]","(36255, 0, 10055)","[1.2857969, 1.0114846]"
1.0,1,0.36085206,"[1, 1]",1,0.3502208,"[(10052, 6, 31376)]","(31376, 2, 743)","[0.28481343, 0.43689072]"
1.5,1,0.63361037,"[1, 2]",1,0.6015825,"[(14888, 4, 24718)]","(14888, 0, 2518)","[0.5715553, 0.6956655]"
106.0,1,5.383418,"[53, 159]",1,0.8335239,"[(35944, 2, 121)]","(35944, 2, 916)","[5.223001, 5.5438356]"
1.0,1,0.50471437,"[1, 1]",1,1.4449646,"[(28471, 4, 5767)]","(5767, 4, 21704)","[0.59923846, 0.41019028]"
5562.5,1,5.287466,"[1450, 9675]",1,1.6959426,"[(21810, 4, 37756)]","(37756, 0, 278)","[5.252596, 5.322336]"
1.0,1,1.1034771,"[1, 1]",1,0.52756256,"[(7700, 6, 38545)]","(38545, 2, 3943)","[1.1042635, 1.1026907]"
1254.5,1,3.2864177,"[2384, 125]",1,2.5358155,"[(6962, 4, 1521)]","(1521, 0, 532)","[3.280628, 3.2922075]"
5.5,1,1.5832582,"[4, 7]",1,0.56383824,"[(1864, 4, 516)]","(516, 0, 292)","[1.3022879, 1.8642284]"
212.5,1,1.5744686,"[64, 361]",1,2.244032,"[(28372, 1, 10303)]","(10303, 0, 1380)","[1.2833353, 1.8656018]"
1.0,1,0.5102457,"[1, 1]",1,0.6526841,"[(2381, 6, 38996)]","(2381, 2, 12273)","[0.45528215, 0.56520927]"
1.0,1,0.78501713,"[1, 1]",1,0.89742965,"[(8693, 6, 14588)]","(14588, 2, 121)","[0.77655303, 0.79348123]"
3.0,1,2.2438085,"[3, 3]",1,0.9920295,"[(193, 6, 37558)]","(37558, 2, 741)","[2.5556922, 1.9319248]"
3245.5,1,5.185159,"[5669, 822]",1,3.3573053,"[(15314, 4, 39375)]","(39375, 0, 265)","[5.364931, 5.0053873]"
9242.0,1,5.353218,"[18444, 40]",1,1.2787083,"[(1038, 4, 30773)]","(30773, 0, 184)","[5.53185, 5.1745863]"
10.0,1,1.8233376,"[19, 1]",1,0.405201,"[(27989, 2, 499)]","(27989, 2, 17930)","[2.2164092, 1.4302659]"
2956.5,1,4.9851813,"[1243, 4670]",1,1.7977273,"[(15016, 4, 37725)]","(37725, 0, 23377)","[4.9044857, 5.065877]"
1.0,1,1.0129348,"[1, 1]",1,0.61166525,"[(22121, 4, 13498)]","(22121, 0, 351)","[0.97967565, 1.046194]"
1.0,1,0.7216839,"[1, 1]",1,1.4945084,"[(27757, 4, 13223)]","(27757, 0, 1929)","[0.98699886, 0.456369]"
1.0,1,0.45216304,"[1, 1]",1,0.49443048,"[(7397, 4, 34529)]","(7397, 0, 296)","[0.5121754, 0.39215073]"
11.5,1,2.5615096,"[17, 6]",1,1.264704,"[(637, 8, 36622)]","(36622, 2, 2580)","[2.3814087, 2.7416105]"
8752.0,1,4.922962,"[5329, 12175]",1,2.0178685,"[(17623, 4, 25076)]","(25076, 0, 265)","[4.6818247, 5.1640997]"
100.0,1,2.0247698,"[175, 25]",1,1.266521,"[(13084, 4, 35086)]","(35086, 0, 1929)","[2.1160643, 1.9334755]"
3.5,1,1.559055,"[3, 4]",1,3.2201586,"[(29122, 1, 5382)]","(29122, 0, 1500)","[1.4859732, 1.6321367]"
7310.5,1,4.5773134,"[332, 14289]",1,1.3406936,"[(23647, 0, 14302)]","(23647, 0, 1338)","[4.423331, 4.7312965]"
