original_score,#facts,original_rank,prediction,new_scores,new_score,new_rank,perspective,new_ranks,facts
3.5670092,9,3,"(7125, 11, 7869)","[3.2014198, 2.6616354]",2.9315276,1.0,all,"[1, 1]","[(7125, 2, 68), (14192, 2, 68), (14192, 11, 7869), (7125, 3, 9), (11925, 3, 9), (11925, 11, 7869), (13761, 11, 7869), (7125, 2, 2584), (13761, 2, 2584)]"
5.885943,3,4,"(5558, 8, 7410)","[2.5871365, 2.4091547]",2.4981456,1.5,all,"[2, 1]","[(13505, 8, 7410), (23922, 8, 7410), (21297, 8, 7410)]"
2.8491967,9,2,"(6320, 11, 7956)","[3.1039057, 2.5264494]",2.8151774,1.0,all,"[1, 1]","[(20287, 11, 7956), (20287, 3, 9), (6320, 3, 9), (8347, 11, 7956), (8347, 3, 9), (6320, 3, 9), (9782, 3, 9), (6320, 3, 9), (9782, 11, 7956)]"
3.213222,5,5,"(7469, 11, 7956)","[3.197731, 2.430362]",2.8140464,1.0,all,"[1, 1]","[(9096, 11, 7956), (10914, 1, 65), (7469, 1, 65), (10914, 11, 7956), (25281, 11, 7956)]"
5.7716856,3,2,"(4952, 8, 7567)","[2.902639, 2.4097042]",2.6561716,4.0,all,"[4, 4]","[(4952, 3, 267), (19211, 8, 7567), (23785, 8, 7567)]"
3.568142,5,5,"(5517, 10, 7830)","[3.4535081, 2.8752587]",3.1643834,1.0,all,"[1, 1]","[(24665, 10, 7830), (25528, 10, 7830), (5517, 3, 40), (16502, 3, 40), (16502, 10, 7830)]"
3.3306432,5,1,"(5279, 11, 7956)","[3.1357815, 2.3986886]",2.767235,1.0,all,"[1, 1]","[(22534, 11, 7956), (18083, 11, 7956), (5279, 3, 40), (22088, 3, 40), (22088, 11, 7956)]"
3.2648082,3,3,"(7426, 11, 7956)","[3.2583404, 2.5278463]",2.8930933,1.0,all,"[1, 1]","[(7426, 8, 7429), (7426, 3, 41), (7426, 2, 30)]"
3.772318,9,4,"(6966, 10, 7830)","[3.486072, 3.1043615]",3.2952168,1.0,all,"[1, 1]","[(6966, 3, 40), (11262, 10, 7830), (11262, 3, 40), (6966, 3, 40), (25036, 3, 40), (25036, 10, 7830), (6966, 3, 40), (24001, 10, 7830), (24001, 3, 40)]"
3.5179758,5,3,"(6812, 11, 7869)","[3.385563, 2.8181438]",3.1018534,1.0,all,"[1, 1]","[(6812, 3, 7), (6812, 3, 9), (6812, 3, 9), (23558, 3, 9), (23558, 11, 7869)]"
3.2811787,3,5,"(6213, 10, 7830)","[3.371944, 2.775308]",3.073626,1.0,all,"[1, 1]","[(20586, 10, 7830), (21197, 10, 7830), (17908, 10, 7830)]"
3.0966597,3,3,"(7769, 11, 7956)","[3.2228131, 2.381825]",2.802319,1.0,all,"[1, 1]","[(25135, 11, 7956), (24435, 11, 7956), (21513, 11, 7956)]"
4.879652,3,11,"(5041, 8, 7427)","[2.4964428, 2.1575837]",2.3270133,2.0,all,"[2, 2]","[(24600, 8, 7427), (5041, 2, 68), (24326, 8, 7427)]"
2.871933,9,9,"(7236, 9, 7903)","[5.5849566, 3.6260912]",4.605524,4.0,all,"[4, 4]","[(7236, 3, 39), (11127, 3, 39), (11127, 9, 7903), (16201, 9, 7903), (16201, 3, 418), (7236, 3, 418), (7236, 3, 39), (12767, 3, 39), (12767, 9, 7903)]"
3.39451,3,5,"(5717, 10, 7830)","[3.4114027, 2.8656063]",3.1385045,1.0,all,"[1, 1]","[(16039, 10, 7830), (9798, 10, 7830), (21246, 10, 7830)]"
3.9084363,9,5,"(6205, 10, 7830)","[3.453251, 2.9265687]",3.18991,1.0,all,"[1, 1]","[(8704, 10, 7830), (8704, 2, 30), (6205, 2, 30), (14544, 2, 30), (14544, 10, 7830), (6205, 2, 30), (8704, 10, 7830), (6205, 3, 9), (8704, 3, 9)]"
3.4898267,3,3,"(6966, 11, 7956)","[3.2392125, 2.6413558]",2.9402843,1.0,all,"[1, 1]","[(17302, 11, 7956), (6966, 3, 2278), (13224, 11, 7956)]"
5.3959875,7,5,"(6492, 8, 7393)","[2.3987293, 2.2199795]",2.3093543,2.0,all,"[2, 2]","[(10833, 3, 40), (10833, 8, 7393), (6492, 3, 40), (23993, 8, 7393), (10833, 3, 78), (10833, 8, 7393), (6492, 3, 78)]"
5.0585365,9,2,"(4870, 8, 7567)","[2.8431337, 2.3585844]",2.6008592,4.0,all,"[4, 4]","[(19226, 3, 41), (19226, 8, 7567), (4870, 3, 41), (4870, 2, 30), (19226, 8, 7567), (19226, 2, 30), (10447, 2, 30), (10447, 8, 7567), (4870, 2, 30)]"
5.671821,3,3,"(6195, 8, 7566)","[2.4374142, 2.3443315]",2.390873,6.5,all,"[5, 8]","[(9623, 8, 7566), (13122, 8, 7566), (11842, 8, 7566)]"
2.5668676,9,3,"(7788, 10, 7830)","[3.3885756, 2.6808405]",3.034708,1.0,all,"[1, 1]","[(7788, 2, 27), (23245, 2, 27), (23245, 10, 7830), (23245, 3, 33), (7788, 3, 33), (23245, 10, 7830), (10095, 10, 7830), (10095, 3, 9), (7788, 3, 9)]"
5.352762,7,1,"(5907, 8, 7566)","[2.4854214, 2.401069]",2.4432452,3.0,all,"[2, 4]","[(16437, 3, 177), (16437, 8, 7566), (5907, 3, 177), (24258, 4, 66), (5907, 4, 66), (24258, 8, 7566), (5907, 3, 712)]"
3.551628,7,2,"(5533, 11, 7956)","[3.184425, 2.3367052]",2.7605653,1.0,all,"[1, 1]","[(13224, 11, 7956), (13224, 3, 519), (5533, 3, 519), (5533, 2, 709), (9011, 11, 7956), (5533, 3, 38), (9011, 3, 38)]"
5.182078,3,3,"(5305, 8, 7410)","[2.4852288, 2.270087]",2.377658,1.5,all,"[2, 1]","[(23608, 8, 7410), (5305, 3, 772), (16573, 8, 7410)]"
4.6576195,9,4,"(6320, 8, 7410)","[2.439601, 2.2451491]",2.342375,1.0,all,"[1, 1]","[(19383, 3, 40), (19383, 8, 7410), (6320, 3, 40), (22576, 3, 40), (22576, 8, 7410), (6320, 3, 40), (19383, 2, 68), (19383, 8, 7410), (6320, 2, 68)]"
3.4794037,9,5,"(7065, 10, 7830)","[3.4608297, 2.8108668]",3.1358483,1.0,all,"[1, 1]","[(14130, 3, 9), (7065, 3, 9), (14130, 10, 7830), (7065, 2, 31), (14130, 2, 31), (14130, 10, 7830), (14428, 3, 9), (14428, 10, 7830), (7065, 3, 9)]"
2.8960073,7,2,"(6983, 11, 7956)","[3.139503, 2.2439787]",2.691741,1.0,all,"[1, 1]","[(22917, 2, 31), (22917, 11, 7956), (6983, 2, 31), (19447, 3, 40), (19447, 11, 7956), (6983, 3, 40), (6983, 3, 6988)]"
5.3270907,3,3,"(6812, 8, 7410)","[2.4945707, 2.2764654]",2.385518,2.0,all,"[3, 1]","[(6812, 3, 3106), (6812, 4, 66), (6812, 3, 6661)]"
4.1423807,5,5,"(5558, 11, 7956)","[3.3480268, 2.6556876]",3.0018573,1.0,all,"[1, 1]","[(24889, 1, 65), (24889, 11, 7956), (5558, 1, 65), (24469, 11, 7956), (18842, 11, 7956)]"
3.4012923,9,5,"(7655, 10, 7830)","[3.4555893, 2.8713534]",3.1634712,1.0,all,"[1, 1]","[(21959, 10, 7830), (21959, 3, 10), (7655, 3, 10), (19911, 3, 10), (19911, 10, 7830), (7655, 3, 10), (25714, 3, 39), (25714, 10, 7830), (7655, 3, 39)]"
3.9591098,3,2,"(5067, 11, 7956)","[3.1995368, 2.3496919]",2.7746143,1.0,all,"[1, 1]","[(16744, 11, 7956), (15401, 11, 7956), (17030, 11, 7956)]"
3.3415859,3,3,"(5920, 11, 7956)","[3.1855507, 2.3785172]",2.782034,1.0,all,"[1, 1]","[(25163, 11, 7956), (5920, 3, 748), (5920, 3, 74)]"
4.404839,9,1,"(6115, 8, 7566)","[2.5796816, 2.2844653]",2.4320736,5.5,all,"[4, 7]","[(10112, 8, 7566), (10112, 3, 40), (6115, 3, 40), (18607, 8, 7566), (18607, 4, 66), (6115, 4, 66), (10112, 8, 7566), (10112, 2, 30), (6115, 2, 30)]"
4.519601,3,3,"(6619, 8, 7410)","[2.529716, 2.2229729]",2.3763444,2.0,all,"[3, 1]","[(24739, 8, 7410), (24321, 8, 7410), (21297, 8, 7410)]"
5.064227,3,2,"(4870, 8, 7566)","[2.4922495, 2.2823517]",2.3873005,3.5,all,"[3, 4]","[(16014, 8, 7566), (12915, 8, 7566), (16291, 8, 7566)]"
3.463342,5,2,"(6373, 11, 7869)","[3.4366279, 2.5426383]",2.989633,1.5,all,"[1, 2]","[(25451, 11, 7869), (6373, 3, 6376), (11925, 3, 9), (6373, 3, 9), (11925, 11, 7869)]"
5.207631,7,6,"(6162, 8, 7427)","[2.7199414, 2.3224072]",2.5211744,1.5,all,"[1, 2]","[(18068, 2, 31), (18068, 8, 7427), (6162, 2, 31), (22515, 8, 7427), (24564, 8, 7427), (6162, 2, 31), (24564, 2, 31)]"
5.8348927,3,2,"(4952, 8, 7410)","[2.5163813, 2.2189193]",2.3676503,1.0,all,"[1, 1]","[(23034, 8, 7410), (15522, 8, 7410), (10563, 8, 7410)]"
3.5308044,7,4,"(7080, 11, 7956)","[3.1495237, 2.2889628]",2.7192433,1.0,all,"[1, 1]","[(19413, 11, 7956), (15520, 11, 7956), (15520, 3, 39), (7080, 3, 39), (25182, 1, 1054), (7080, 1, 1054), (25182, 11, 7956)]"
2.672183,9,1,"(7107, 11, 7869)","[3.2553701, 2.6909375]",2.9731538,1.0,all,"[1, 1]","[(7998, 11, 7869), (7998, 2, 30), (7107, 2, 30), (8525, 11, 7869), (8525, 2, 30), (7107, 2, 30), (12744, 3, 39), (7107, 3, 39), (12744, 11, 7869)]"
3.2896733,9,2,"(6822, 11, 7869)","[3.3300796, 2.5262368]",2.9281583,1.0,all,"[1, 1]","[(6822, 2, 30), (13441, 11, 7869), (13441, 2, 30), (6822, 3, 40), (11565, 3, 40), (11565, 11, 7869), (9576, 11, 7869), (9576, 3, 39), (6822, 3, 39)]"
4.3664303,3,1,"(5279, 8, 7429)","[2.445282, 2.422791]",2.4340365,2.0,all,"[2, 2]","[(5279, 3, 38), (5279, 3, 434), (21853, 8, 7429)]"
5.775256,3,3,"(5781, 8, 7410)","[2.5288348, 2.4438934]",2.4863641,1.5,all,"[2, 1]","[(11569, 8, 7410), (20003, 8, 7410), (21960, 8, 7410)]"
5.1319237,3,2,"(4870, 8, 7408)","[2.5437806, 2.2342215]",2.389001,3.0,all,"[3, 3]","[(20752, 8, 7408), (9688, 8, 7408), (23195, 8, 7408)]"
4.1098666,5,5,"(5770, 10, 7830)","[3.4660783, 2.8794153]",3.1727467,1.0,all,"[1, 1]","[(22707, 10, 7830), (5770, 2, 31), (22707, 2, 31), (5770, 3, 41), (5770, 3, 58)]"
3.4640522,3,5,"(6766, 10, 7830)","[3.4193137, 2.792276]",3.105795,1.0,all,"[1, 1]","[(11352, 10, 7830), (12744, 10, 7830), (9370, 10, 7830)]"
5.3250837,5,2,"(5756, 8, 7408)","[2.8850513, 2.5749493]",2.7300003,3.0,all,"[5, 1]","[(18557, 8, 7408), (5756, 3, 50), (5756, 3, 75), (12494, 8, 7408), (12494, 3, 75)]"
3.6683598,3,3,"(7125, 11, 7956)","[3.0822923, 2.4636774]",2.772985,1.0,all,"[1, 1]","[(12775, 11, 7956), (23374, 11, 7956), (21989, 11, 7956)]"
3.4054344,3,4,"(7499, 11, 7956)","[3.2927241, 2.6393523]",2.9660382,1.0,all,"[1, 1]","[(7499, 3, 149), (7499, 3, 220), (25448, 11, 7956)]"
3.9130654,3,7,"(5907, 11, 7956)","[3.2743697, 2.541336]",2.907853,1.0,all,"[1, 1]","[(10538, 11, 7956), (11328, 11, 7956), (14665, 11, 7956)]"
2.6421046,7,2,"(6383, 11, 7956)","[3.1071815, 2.257924]",2.6825528,1.0,all,"[1, 1]","[(6383, 3, 78), (13441, 11, 7956), (13441, 3, 78), (6383, 3, 10), (13441, 3, 10), (13441, 11, 7956), (6383, 3, 748)]"
3.447898,3,4,"(6966, 10, 8697)","[5.4179306, 4.564022]",4.9909763,1.0,all,"[1, 1]","[(6966, 3, 891), (6966, 3, 39), (6966, 3, 78)]"
4.007418,3,5,"(7125, 10, 7830)","[3.4222147, 2.9900045]",3.2061095,1.0,all,"[1, 1]","[(7125, 3, 2593), (7125, 3, 538), (7125, 3, 0)]"
3.7838056,7,3,"(4952, 11, 7869)","[3.372095, 2.5407557]",2.9564254,1.0,all,"[1, 1]","[(13631, 3, 75), (4952, 3, 75), (13631, 11, 7869), (12158, 3, 75), (4952, 3, 75), (12158, 11, 7869), (4952, 3, 880)]"
3.9476411,3,5,"(6504, 10, 7830)","[3.4006345, 2.8283288]",3.1144817,1.0,all,"[1, 1]","[(20890, 10, 7830), (9576, 10, 7830), (10257, 10, 7830)]"
4.1042304,5,5,"(6373, 10, 7830)","[3.5820441, 2.8185906]",3.2003174,1.0,all,"[1, 1]","[(6373, 3, 1074), (6373, 2, 68), (23552, 10, 7830), (23552, 2, 68), (6373, 3, 10)]"
3.4227931,3,2,"(7838, 11, 7956)","[3.1760812, 2.360915]",2.768498,1.0,all,"[1, 1]","[(8486, 11, 7956), (18975, 11, 7956), (25293, 11, 7956)]"
2.9513865,7,5,"(6323, 10, 7830)","[3.4811015, 2.7906291]",3.1358652,1.0,all,"[1, 1]","[(6323, 3, 75), (6323, 3, 75), (18604, 10, 7830), (18604, 3, 75), (22184, 2, 31), (22184, 10, 7830), (6323, 2, 31)]"
3.7088525,3,5,"(5073, 11, 7956)","[3.1095562, 2.535275]",2.8224156,1.0,all,"[1, 1]","[(22419, 11, 7956), (18911, 11, 7956), (23699, 11, 7956)]"
4.0142155,3,12,"(7125, 11, 8038)","[3.382957, 2.680177]",3.031567,1.0,all,"[1, 1]","[(7125, 3, 9), (7125, 2, 172), (7125, 2, 2584)]"
3.338922,5,2,"(5586, 12, 4492)","[3.6428905, 4.5846395]",4.113765,1.0,all,"[1, 1]","[(5586, 3, 279), (5586, 2, 68), (10198, 2, 68), (10198, 12, 4492), (5586, 2, 68)]"
5.0394883,7,2,"(7335, 8, 7410)","[2.4989233, 2.1824737]",2.3406985,1.0,all,"[1, 1]","[(25527, 8, 7410), (22576, 2, 30), (22576, 8, 7410), (7335, 2, 30), (14991, 3, 7), (7335, 3, 7), (14991, 8, 7410)]"
4.188182,7,5,"(6853, 10, 7830)","[3.4533656, 2.8572707]",3.1553183,1.0,all,"[1, 1]","[(6853, 2, 30), (9644, 10, 7830), (9644, 2, 30), (9548, 10, 7830), (9548, 3, 9), (6853, 3, 9), (6853, 3, 780)]"
3.9894578,7,4,"(5107, 11, 7869)","[3.2197757, 2.6878986]",2.9538372,1.0,all,"[1, 1]","[(21088, 11, 7869), (5107, 3, 10), (21088, 3, 10), (21088, 11, 7869), (5107, 2, 68), (13761, 2, 68), (13761, 11, 7869)]"
2.8969355,3,4,"(6383, 10, 7830)","[3.4311557, 2.8280196]",3.1295877,1.0,all,"[1, 1]","[(6383, 3, 752), (6383, 3, 735), (6383, 3, 1527)]"
2.7237372,3,3,"(7628, 12, 4492)","[3.305004, 4.426591]",3.8657975,1.0,all,"[1, 1]","[(8048, 12, 4492), (12174, 12, 4492), (10558, 12, 4492)]"
5.424654,3,3,"(5770, 8, 7410)","[2.5127766, 2.185688]",2.3492322,1.5,all,"[2, 1]","[(13631, 8, 7410), (12781, 8, 7410), (9267, 8, 7410)]"
3.2503138,3,5,"(5498, 10, 7830)","[3.430015, 2.7349277]",3.0824714,1.0,all,"[1, 1]","[(5498, 3, 736), (8674, 10, 7830), (5498, 2, 1166)]"
3.5952108,9,3,"(6914, 11, 7869)","[3.2454872, 2.669932]",2.9577096,1.0,all,"[1, 1]","[(10701, 2, 30), (10701, 11, 7869), (6914, 2, 30), (10701, 11, 7869), (6914, 4, 66), (10701, 4, 66), (13631, 11, 7869), (6914, 3, 46), (13631, 3, 46)]"
4.018502,3,1,"(5620, 8, 7410)","[2.4638367, 2.098372]",2.2811043,1.0,all,"[1, 1]","[(23242, 8, 7410), (5620, 3, 189), (5620, 3, 17)]"
5.7202277,3,1,"(7058, 8, 7566)","[2.442645, 2.3449693]",2.3938072,6.5,all,"[5, 8]","[(11328, 8, 7566), (7058, 3, 58), (24271, 8, 7566)]"
5.323513,3,4,"(6492, 8, 7410)","[2.3945825, 2.1481512]",2.2713668,1.5,all,"[2, 1]","[(8150, 8, 7410), (11314, 8, 7410), (15203, 8, 7410)]"
3.974818,5,5,"(5269, 10, 7830)","[3.4197617, 2.852015]",3.1358883,1.0,all,"[1, 1]","[(5269, 3, 220), (25362, 10, 7830), (25362, 3, 220), (5269, 2, 266), (5269, 3, 38)]"
5.1274643,5,2,"(4870, 8, 7410)","[2.4573698, 2.171577]",2.3144734,1.5,all,"[2, 1]","[(23558, 2, 68), (4870, 2, 68), (23558, 8, 7410), (23558, 8, 7410), (4870, 3, 7)]"
4.9103956,7,6,"(5645, 8, 7429)","[2.575749, 2.1670787]",2.3714137,3.0,all,"[4, 2]","[(19995, 8, 7429), (19995, 2, 68), (5645, 2, 68), (19995, 3, 78), (19995, 8, 7429), (5645, 3, 78), (17731, 8, 7429)]"
3.1339943,9,2,"(6300, 11, 7869)","[3.2954845, 2.5411165]",2.9183006,1.0,all,"[1, 1]","[(12557, 3, 40), (6300, 3, 40), (12557, 11, 7869), (10240, 3, 40), (6300, 3, 40), (10240, 11, 7869), (6300, 2, 31), (11925, 2, 31), (11925, 11, 7869)]"
4.149314,7,5,"(6602, 10, 7830)","[3.4156566, 3.0046475]",3.2101521,1.0,all,"[1, 1]","[(24026, 10, 7830), (6602, 2, 31), (24026, 2, 31), (16149, 2, 31), (6602, 2, 31), (16149, 10, 7830), (6602, 3, 115)]"
2.8666697,3,5,"(7536, 12, 4492)","[3.6094563, 4.7221537]",4.165805,1.0,all,"[1, 1]","[(7536, 2, 68), (7536, 3, 651), (7536, 3, 506)]"
4.629287,3,1,"(5533, 8, 7429)","[2.468921, 2.324009]",2.3964648,1.0,all,"[1, 1]","[(15971, 8, 7429), (16617, 8, 7429), (15932, 8, 7429)]"
2.4277787,3,1,"(7450, 11, 7956)","[3.144762, 2.2503824]",2.6975722,1.0,all,"[1, 1]","[(21069, 11, 7956), (21324, 11, 7956), (21542, 11, 7956)]"
2.8545017,5,4,"(7201, 10, 7830)","[3.5023243, 2.817394]",3.1598592,1.0,all,"[1, 1]","[(7201, 3, 3975), (8476, 10, 7830), (8476, 2, 31), (7201, 2, 31), (7201, 3, 1180)]"
