prediction,original_score,exp_length,new_scores,original_rank,new_rank,facts,exp,new_ranks,new_score
"(2949, 1, 8019)",0.8824633359909058,1,[0.007847512140870094],1,27.0,"[({(8019, 1, 2949)}, 0.5742899613385365, 'baseline'), ([(8019, 1, 2949)], 0.1337, 'xrule'), ({(9188, 1, 2949)}, 0.052514950752382675, 'baseline'), ({(2949, 1, 9188)}, 0.006195108382389739, 'baseline')]","[(8019, 1, 2949)]",[27],0.007847512140870094
"(15729, 1, 12999)",0.19728238880634308,3,[0.04886613041162491],1,5.0,"[({(15729, 1, 31425)}, 0.31902484228410066, 'baseline'), ({(15729, 1, 15730)}, 0.2574143518093881, 'baseline'), ({(15729, 1, 16455)}, 0.21521058254417796, 'baseline'), ({(16455, 1, 15729)}, 0.14421651809757893, 'baseline'), ({(15730, 1, 15729)}, 0.08023024632928534, 'baseline'), ([(15171, 1, 31425), (15171, 1, 12999), (12999, 1, 15171), (31425, 1, 15171), (15729, 1, 31425)], 0.0, 'xrule')]","[(15171, 1, 31425), (15171, 1, 12999), (15729, 1, 31425)]",[5],0.04886613041162491
"(20124, 1, 18592)",0.9615100622177124,1,[1.1428915058786515e-05],1,34032.0,"[({(18592, 1, 20124)}, 0.993439069409135, 'baseline'), ([(18592, 1, 20124)], 0.9814, 'xrule')]","[(18592, 1, 20124)]",[34032],1.1428915058786515e-05
"(23468, 1, 1116)",0.9318868517875671,1,[0.00019682099809870124],1,2936.0,"[({(1116, 1, 23468)}, 0.6104191980275447, 'baseline'), ([(1116, 1, 23468)], 0.39970002, 'xrule')]","[(1116, 1, 23468)]",[2936],0.00019682099809870124
"(9536, 0, 265)",0.6587778329849243,3,[0.001950764679349959],1,22.0,"[([(9535, 4, 9536), (9535, 4, 25282), (25282, 0, 265)], 0.0099, 'xrule'), ({(9535, 4, 9536)}, 0.001142538928545261, 'baseline')]","[(9535, 4, 9536), (9535, 4, 25282), (25282, 0, 265)]",[22],0.001950764679349959
"(1419, 1, 22014)",0.8030797243118286,1,[0.07325951755046844],1,3.0,"[([(22014, 1, 1419)], 0.64959997, 'xrule'), ({(22014, 1, 1419)}, 0.4022821008227612, 'baseline'), ({(1419, 1, 19671)}, 0.006875435792565208, 'baseline'), ({(19671, 1, 1419)}, 0.005820910420683992, 'baseline')]","[(22014, 1, 1419)]",[3],0.07325951755046844
"(16918, 1, 2507)",0.9153757691383362,1,[0.18875902891159058],1,1.0,"[([(2507, 1, 16918)], 0.8302, 'xrule'), ({(2507, 1, 16918)}, 0.4779289191991522, 'baseline'), ({(16918, 1, 16476)}, 0.017212907742799453, 'baseline'), ({(16476, 1, 16918)}, 0.013636748287013582, 'baseline'), ({(16918, 1, 6789)}, 0.012401024779470035, 'baseline'), ({(16918, 1, 20126)}, 0.007419804984429249, 'baseline'), ({(16919, 1, 16918)}, 0.006802658485205, 'baseline'), ({(16918, 0, 2256)}, 0.004397372652914212, 'baseline'), ({(16918, 1, 16919)}, 0.0029961270454762984, 'baseline'), ({(6789, 1, 16918)}, -0.0007701711996499208, 'baseline')]","[(2507, 1, 16918)]",[1],0.18875902891159058
"(12356, 1, 20726)",0.8214631676673889,1,[7.889015250839293e-05],1,9304.0,"[([(20726, 1, 12356)], 0.8545, 'xrule'), ({(20726, 1, 12356)}, 0.7036301349176126, 'baseline')]","[(20726, 1, 12356)]",[9304],7.889015250839293e-05
"(31721, 1, 24228)",0.8690681457519531,1,[4.464968151296489e-05],1,16746.0,"[({(24228, 1, 31721)}, 0.7329310634691416, 'baseline'), ([(24228, 1, 31721)], 0.6764, 'xrule'), ({(7056, 1, 31721)}, 0.02775220104411862, 'baseline'), ({(31721, 1, 7056)}, -0.09236683410579029, 'baseline')]","[(24228, 1, 31721)]",[16746],4.464968151296489e-05
"(7982, 1, 20572)",0.9877474308013916,1,[0.0008858681540004909],1,94.0,"[([(20572, 1, 7982)], 0.9855, 'xrule'), ({(20572, 1, 7982)}, 0.7352555850972842, 'baseline'), ({(7982, 3, 14618)}, 0.0005414886063706182, 'baseline'), ({(14618, 3, 7982)}, -9.485059455367645e-05, 'baseline'), ({(7982, 3, 7983)}, -0.0009193020475509297, 'baseline')]","[(20572, 1, 7982)]",[94],0.0008858681540004909
"(27089, 0, 25460)",0.5863993167877197,2,[3.0234201403800398e-05],1,1807.0,"[({(21273, 4, 27089)}, 0.03216310496032333, 'baseline'), ([(33277, 0, 25460), (21273, 4, 27089), (21273, 4, 33277)], 0.0061, 'xrule')]","[(21273, 4, 27089), (21273, 4, 25460)]",[1807],3.0234201403800398e-05
"(20097, 1, 39891)",0.9519976377487183,1,[0.00010434479190735146],1,7086.0,"[([(39891, 1, 20097)], 0.7571, 'xrule'), ({(39891, 1, 20097)}, 0.28508720902036194, 'baseline')]","[(39891, 1, 20097)]",[7086],0.00010434479190735146
"(522, 1, 21041)",0.9422932267189026,1,[1.7020138329826295e-05],1,23528.0,"[({(21041, 1, 522)}, 0.5747261481480711, 'baseline'), ([(21041, 1, 522)], 0.035299998, 'xrule'), ({(17635, 0, 522)}, 0.00411097237724223, 'baseline'), ({(21899, 0, 522)}, -0.004310925520346692, 'baseline')]","[(21041, 1, 522)]",[23528],1.7020138329826295e-05
"(26856, 1, 26855)",0.9746934175491333,1,[8.063408313319087e-05],1,6439.0,"[({(26855, 1, 26856)}, 0.9593080781198754, 'baseline'), ([(26855, 1, 26856)], 0.8927, 'xrule')]","[(26855, 1, 26856)]",[6439],8.063408313319087e-05
"(29520, 1, 38175)",0.9498961567878723,1,[1.1554639058886096e-05],1,30918.0,"[([(38175, 1, 29520)], 0.997, 'xrule'), ({(38175, 1, 29520)}, 0.8267801280127453, 'baseline')]","[(38175, 1, 29520)]",[30918],1.1554639058886096e-05
"(11856, 1, 2643)",0.9860931038856506,1,[1.2452233022486325e-05],1,29631.0,"[([(2643, 1, 11856)], 0.9026, 'xrule'), ({(2643, 1, 11856)}, 0.5049376317709482, 'baseline')]","[(2643, 1, 11856)]",[29631],1.2452233022486325e-05
"(6787, 1, 26217)",0.867676854133606,1,[1.4454073607339524e-05],1,32739.0,"[({(26217, 1, 6787)}, 0.5831703382496151, 'baseline'), ([(26217, 1, 6787)], 0.5224, 'xrule')]","[(26217, 1, 6787)]",[32739],1.4454073607339524e-05
"(3136, 1, 16161)",0.92377108335495,1,[0.0006399530684575438],1,408.0,"[({(16161, 1, 3136)}, 0.6415382470324063, 'baseline'), ([(16161, 1, 3136)], 0.0538, 'xrule'), ({(3137, 1, 3136)}, -0.03833248192085335, 'baseline'), ({(3136, 1, 3137)}, -0.10337134166018735, 'baseline')]","[(16161, 1, 3136)]",[408],0.0006399530684575438
"(22752, 1, 11603)",0.9543496966362,1,[0.5101976990699768],1,1.0,"[([(11603, 1, 22752)], 0.8962, 'xrule'), ({(11603, 1, 22752)}, 0.27242461938597023, 'baseline'), ({(2392, 1, 22752)}, 0.030200104169305412, 'baseline'), ({(22752, 1, 25306)}, 0.010256628442331382, 'baseline'), ({(22752, 1, 2392)}, -0.0035090046389019474, 'baseline'), ({(22752, 0, 7968)}, -0.008585830272531144, 'baseline'), ({(25306, 1, 22752)}, -0.01295181091713325, 'baseline')]","[(11603, 1, 22752)]",[1],0.5101976990699768
"(8742, 1, 19068)",0.9776057600975037,1,[0.022158905863761902],1,22.0,"[({(19068, 1, 8742)}, 0.6129601440372537, 'baseline'), ([(19068, 1, 8742)], 0.5146, 'xrule'), ({(8742, 1, 1897)}, 0.030479173123996825, 'baseline')]","[(19068, 1, 8742)]",[22],0.022158905863761902
"(20944, 1, 2415)",0.8592720627784729,1,[0.0020650208462029696],1,146.0,"[([(2415, 1, 20944)], 0.6179, 'xrule'), ({(2415, 1, 20944)}, 0.35504530026116815, 'baseline'), ({(2994, 1, 20944)}, 0.00036273426743560976, 'baseline'), ({(20944, 1, 2994)}, -0.006144543232713538, 'baseline')]","[(2415, 1, 20944)]",[146],0.0020650208462029696
"(16624, 9, 15794)",0.9656851887702942,1,[1.9422441255301237e-05],1,16882.0,"[({(15794, 9, 16624)}, 0.9550486109125088, 'baseline'), ([(15794, 9, 16624)], 0.9081, 'xrule'), ({(16624, 1, 15793)}, -0.004913528486890205, 'baseline'), ({(15793, 1, 16624)}, -0.005695243440208163, 'baseline')]","[(15794, 9, 16624)]",[16882],1.9422441255301237e-05
"(15588, 1, 15587)",0.9287481307983398,1,[0.21225112676620483],1,1.0,"[([(15587, 1, 15588)], 0.7572, 'xrule'), ({(15587, 1, 15588)}, 0.12974397385803899, 'baseline'), ({(15588, 1, 27163)}, 0.024200419848009802, 'baseline'), ({(15588, 1, 14064)}, 0.01784233276637078, 'baseline'), ({(31654, 1, 15588)}, 0.013815144951124675, 'baseline'), ({(14064, 1, 15588)}, -0.009700019869169485, 'baseline'), ({(27163, 1, 15588)}, -0.01436259320417592, 'baseline'), ({(15588, 0, 3978)}, -0.01875402503274444, 'baseline'), ({(15588, 1, 31654)}, -0.02076657585499527, 'baseline')]","[(15587, 1, 15588)]",[1],0.21225112676620483
"(8754, 1, 4244)",0.957123875617981,1,[0.000652813701890409],1,447.0,"[({(4244, 1, 8754)}, 0.525248331908301, 'baseline'), ([(4244, 1, 8754)], 0.3762, 'xrule'), ({(8754, 0, 1668)}, 0.014129261451272109, 'baseline')]","[(4244, 1, 8754)]",[447],0.000652813701890409
"(17578, 1, 8885)",0.8962762355804443,1,[0.02084183879196644],1,4.0,"[({(8885, 1, 17578)}, 0.5830516057889199, 'baseline'), ([(8885, 1, 17578)], 0.1314, 'xrule'), ({(3300, 1, 17578)}, -0.059610565212376045, 'baseline'), ({(17578, 1, 3300)}, -0.10025068087428018, 'baseline')]","[(8885, 1, 17578)]",[4],0.02084183879196644
"(30007, 2, 121)",0.23917707800865173,3,[0.42614293098449707],1,1.0,"[({(20016, 4, 30007)}, 0.21461867860128803, 'baseline'), ({(30007, 2, 916)}, 0.17772300103971134, 'baseline'), ([(20016, 4, 14054), (20016, 4, 30007), (14054, 2, 121)], 0.0, 'xrule'), ({(13030, 6, 30007)}, -0.1738870635115372, 'baseline')]","[(20016, 4, 28966), (20016, 4, 30007), (28966, 2, 121)]",[1],0.42614293098449707
"(24115, 1, 18755)",0.970401406288147,1,[0.08110219240188599],1,3.0,"[([(18755, 1, 24115)], 0.8311, 'xrule'), ({(18755, 1, 24115)}, 0.7622009976752318, 'baseline'), ({(2300, 1, 24115)}, 0.05937705468164407, 'baseline'), ({(24115, 1, 2300)}, -0.0330183105712512, 'baseline')]","[(18755, 1, 24115)]",[3],0.08110219240188599
"(8574, 1, 8573)",0.8929891586303711,1,[0.17372912168502808],1,2.0,"[([(8573, 1, 8574)], 0.7694, 'xrule'), ({(8573, 1, 8574)}, 0.22766308068495858, 'baseline'), ({(8574, 1, 29585)}, 0.07730249598763626, 'baseline'), ({(814, 1, 8574)}, 0.02820781893862361, 'baseline'), ({(8574, 1, 12655)}, 0.01063446229005047, 'baseline'), ({(8574, 1, 814)}, 0.004039923636684697, 'baseline'), ({(12655, 1, 8574)}, -0.0014966922233100777, 'baseline')]","[(8573, 1, 8574)]",[2],0.17372912168502808
"(11590, 1, 29649)",0.8879063725471497,1,[6.614480662392452e-05],1,13040.0,"[([(29649, 1, 11590)], 0.4994, 'xrule'), ({(29649, 1, 11590)}, 0.42675812256286727, 'baseline')]","[(29649, 1, 11590)]",[13040],6.614480662392452e-05
"(15028, 1, 16314)",0.9558466672897339,1,[0.4736640751361847],1,1.0,"[([(16314, 1, 15028)], 0.46019998, 'xrule'), ({(16314, 1, 15028)}, 0.08962712719913797, 'baseline'), ({(15028, 1, 21701)}, 0.007387797317214265, 'baseline'), ({(5116, 1, 15028)}, -0.00304241950640644, 'baseline'), ({(21701, 1, 15028)}, -0.0043063956045273095, 'baseline'), ({(15028, 1, 6422)}, -0.007711489704066895, 'baseline'), ({(6422, 1, 15028)}, -0.009246130500837826, 'baseline')]","[(16314, 1, 15028)]",[1],0.4736640751361847
"(6572, 1, 6944)",0.8736011981964111,1,[0.04927835986018181],1,3.0,"[({(6944, 1, 6572)}, 0.2739962150995136, 'baseline'), ([(6944, 1, 6572)], 0.097, 'xrule'), ({(6572, 1, 2450)}, 0.023453216026685875, 'baseline'), ({(3377, 1, 6572)}, -0.007607122011981854, 'baseline'), ({(6572, 1, 3377)}, -0.013204296161788379, 'baseline'), ({(11955, 1, 6572)}, -0.016502280747165338, 'baseline'), ({(6572, 1, 11955)}, -0.01746829323953963, 'baseline')]","[(6944, 1, 6572)]",[3],0.04927835986018181
"(21993, 1, 19504)",0.8004068732261658,1,[0.003346725134178996],1,99.0,"[([(19504, 1, 21993)], 0.60510004, 'xrule'), ({(19504, 1, 21993)}, 0.36329559644193243, 'baseline'), ({(11202, 0, 21993)}, 0.08023045493162492, 'baseline')]","[(19504, 1, 21993)]",[99],0.003346725134178996
"(4185, 1, 13829)",0.8398572206497192,1,[1.9019375031348318e-05],1,28392.0,"[({(13829, 1, 4185)}, 0.6558821645593006, 'baseline'), ([(13829, 1, 4185)], 0.4371, 'xrule')]","[(13829, 1, 4185)]",[28392],1.9019375031348318e-05
"(18566, 1, 6657)",0.956963837146759,1,[0.00011550216004252434],1,3883.0,"[([(6657, 1, 18566)], 0.7186, 'xrule'), ({(6657, 1, 18566)}, 0.6963772628461812, 'baseline')]","[(6657, 1, 18566)]",[3883],0.00011550216004252434
"(29689, 1, 11565)",0.9941294193267822,1,[5.430940291262232e-05],1,3533.0,"[({(11565, 1, 29689)}, 0.9959276826038789, 'baseline'), ([(11565, 1, 29689)], 0.56490004, 'xrule')]","[(11565, 1, 29689)]",[3533],5.430940291262232e-05
"(137, 1, 39790)",0.9594130516052246,1,[8.153184171533212e-05],1,9721.0,"[({(39790, 1, 137)}, 0.5294433068759493, 'baseline'), ([(39790, 1, 137)], 0.51269996, 'xrule')]","[(39790, 1, 137)]",[9721],8.153184171533212e-05
"(3291, 1, 20544)",0.9723116159439087,1,[0.03136909753084183],1,16.0,"[({(20544, 1, 3291)}, 0.12170175753559986, 'baseline'), ([(20544, 1, 3291)], 0.0823, 'xrule'), ({(25943, 1, 3291)}, 0.0091201466986316, 'baseline'), ({(3291, 1, 25943)}, 0.007776598416336657, 'baseline')]","[(20544, 1, 3291)]",[16],0.03136909753084183
"(13298, 1, 26814)",0.9403150677680969,1,[0.0028331021312624216],1,30.0,"[([(26814, 1, 13298)], 0.4808, 'xrule'), ({(26814, 1, 13298)}, 0.28896395473290515, 'baseline'), ({(1848, 1, 13298)}, 0.09052024319284765, 'baseline'), ({(13298, 1, 1848)}, -0.05739482212991487, 'baseline')]","[(26814, 1, 13298)]",[30],0.0028331021312624216
"(2502, 1, 20104)",0.9245367050170898,1,[0.00782855972647667],1,20.0,"[({(20104, 1, 2502)}, 0.3070214800446219, 'baseline'), ([(20104, 1, 2502)], 0.0096, 'xrule'), ({(2502, 1, 10452)}, -0.009878893444550164, 'baseline'), ({(10452, 1, 2502)}, -0.017088075238966022, 'baseline')]","[(20104, 1, 2502)]",[20],0.00782855972647667
"(14834, 1, 5110)",0.41509827971458435,3,[0.02613486908376217],1,7.0,"[({(8390, 1, 14834)}, 0.3910860834841146, 'baseline'), ({(1690, 1, 14834)}, 0.31088704985568033, 'baseline'), ({(14834, 1, 1690)}, 0.11207817036474486, 'baseline'), ([(20963, 1, 5110), (20963, 1, 8390), (5110, 1, 20963), (8390, 1, 14834), (8390, 1, 20963)], 0.00090000004, 'xrule'), ({(21702, 0, 14834)}, -0.06048284940294427, 'baseline')]","[(8390, 1, 14834), (8389, 1, 5110), (8389, 1, 8390)]",[7],0.02613486908376217
"(4225, 1, 13633)",0.9296045303344727,1,[0.00027566097560338676],1,4710.0,"[({(13633, 1, 4225)}, 0.4964061506340075, 'baseline'), ([(13633, 1, 4225)], 0.1095, 'xrule')]","[(13633, 1, 4225)]",[4710],0.00027566097560338676
"(4747, 0, 22951)",0.09593500196933746,2,[3.92311267205514e-05],1,745.0,"[({(4747, 5, 3149)}, 0.00044501673668538686, 'baseline'), ([(34665, 5, 3149), (4747, 5, 3149), (34665, 0, 22951)], -0.09909999, 'xrule')]","[(4747, 5, 3149), (22951, 5, 3149)]",[745],3.92311267205514e-05
"(25852, 1, 20593)",0.9246744513511658,1,[2.762949043244589e-05],1,14603.0,"[([(20593, 1, 25852)], 0.98759997, 'xrule'), ({(20593, 1, 25852)}, 0.8871408588648882, 'baseline'), ({(20592, 6, 25852)}, -0.025764365738914285, 'baseline')]","[(20593, 1, 25852)]",[14603],2.762949043244589e-05
"(3453, 1, 18417)",0.9354263544082642,1,[2.613851938804146e-05],1,22229.0,"[({(18417, 1, 3453)}, 0.14002958978435676, 'baseline'), ([(18417, 1, 3453)], 0.0038, 'xrule')]","[(18417, 1, 3453)]",[22229],2.613851938804146e-05
"(22848, 1, 33665)",0.8634375929832458,1,[0.0004398638557177037],1,825.0,"[({(33665, 1, 22848)}, 0.6801861972826596, 'baseline'), ([(33665, 1, 22848)], 0.2824, 'xrule'), ({(22848, 0, 239)}, 0.004923204835009957, 'baseline')]","[(33665, 1, 22848)]",[825],0.0004398638557177037
"(15028, 1, 5116)",0.9404630661010742,1,[0.34029340744018555],1,1.0,"[({(5116, 1, 15028)}, 0.0957122250108083, 'baseline'), ([(5116, 1, 15028)], 0.0393, 'xrule'), ({(15028, 1, 21701)}, 0.02549848980592826, 'baseline'), ({(15028, 1, 6422)}, 0.01760635801363542, 'baseline'), ({(16314, 1, 15028)}, 0.00693080846873792, 'baseline'), ({(6422, 1, 15028)}, 0.001077691965428233, 'baseline'), ({(21701, 1, 15028)}, -0.003073354272945249, 'baseline')]","[(5116, 1, 15028)]",[1],0.34029340744018555
"(6144, 1, 19664)",0.9744139909744263,1,[2.649044108693488e-05],1,16880.0,"[({(19664, 1, 6144)}, 0.9921367675560109, 'baseline'), ([(19664, 1, 6144)], 0.9759, 'xrule')]","[(19664, 1, 6144)]",[16880],2.649044108693488e-05
"(15107, 1, 15106)",0.9725252389907837,1,[2.9396953777904855e-06],1,37932.0,"[([(15106, 1, 15107)], 0.9877, 'xrule'), ({(15106, 1, 15107)}, 0.9855118303273636, 'baseline')]","[(15106, 1, 15107)]",[37932],2.9396953777904855e-06
"(758, 1, 10360)",0.9631841778755188,1,[0.00010198194650001824],1,6701.0,"[({(10360, 1, 758)}, 0.5669401124778133, 'baseline'), ([(10360, 1, 758)], 0.4445, 'xrule')]","[(10360, 1, 758)]",[6701],0.00010198194650001824
"(24179, 1, 10508)",0.9073452353477478,1,[2.8586911867023446e-05],1,23051.0,"[({(10508, 1, 24179)}, 0.7876400817161104, 'baseline'), ([(10508, 1, 24179)], 0.51089996, 'xrule')]","[(10508, 1, 24179)]",[23051],2.8586911867023446e-05
"(9303, 9, 21981)",0.9587638974189758,1,[0.00011293061106698588],1,3977.0,"[([(21981, 9, 9303)], 0.7891, 'xrule'), ({(21981, 9, 9303)}, 0.671118542556141, 'baseline'), ({(9303, 0, 6139)}, -0.0018401341935204317, 'baseline'), ({(9303, 1, 26071)}, -0.0043824510826831415, 'baseline')]","[(21981, 9, 9303)]",[3977],0.00011293061106698588
"(33711, 5, 19257)",0.28957507014274597,3,[0.26237910985946655],1,1.0,"[({(33711, 5, 9528)}, 0.6131748996079811, 'baseline'), ([(33711, 0, 21113), (19256, 5, 19257), (19256, 0, 21113)], 0.0, 'xrule'), ({(33711, 0, 21113)}, -0.09386875199677563, 'baseline')]","[(22365, 5, 19257), (33711, 5, 9528), (22365, 5, 9528)]",[1],0.26237910985946655
"(18247, 1, 33545)",0.9478031992912292,1,[2.5401133825653233e-05],1,18995.0,"[([(33545, 1, 18247)], 0.981, 'xrule'), ({(33545, 1, 18247)}, 0.9802640584437202, 'baseline')]","[(33545, 1, 18247)]",[18995],2.5401133825653233e-05
"(20115, 2, 2580)",0.19860407710075378,3,[0.07771889865398407],1,2.0,"[({(20114, 6, 20115)}, 0.056734076712528086, 'baseline'), ([(20114, 6, 22561), (20114, 6, 20115), (22561, 2, 2580)], -0.00019999995, 'xrule')]","[(39563, 2, 2580), (20114, 6, 20115), (20114, 6, 39563)]",[2],0.07771889865398407
"(23239, 1, 15927)",0.9537962079048157,1,[0.00011598170385695994],1,5626.0,"[({(15927, 1, 23239)}, 0.6985983703065519, 'baseline'), ([(15927, 1, 23239)], 0.60760003, 'xrule'), ({(23239, 1, 1786)}, 0.05993304681655862, 'baseline'), ({(1786, 1, 23239)}, 0.018050889446949308, 'baseline'), ({(23239, 0, 708)}, -0.01422651583393916, 'baseline')]","[(15927, 1, 23239)]",[5626],0.00011598170385695994
"(13338, 1, 18054)",0.926688015460968,1,[0.00039460419793613255],1,1460.0,"[({(18054, 1, 13338)}, 0.7841748463946481, 'baseline'), ([(18054, 1, 13338)], 0.1353, 'xrule'), ({(35743, 0, 13338)}, -0.012398262580700327, 'baseline'), ({(14307, 0, 13338)}, -0.014170964299210862, 'baseline')]","[(18054, 1, 13338)]",[1460],0.00039460419793613255
"(865, 1, 17946)",0.8343851566314697,1,[3.877759809256531e-05],1,20937.0,"[({(17946, 1, 865)}, 0.2403486776596135, 'baseline'), ([(17946, 1, 865)], 0.0448, 'xrule')]","[(17946, 1, 865)]",[20937],3.877759809256531e-05
"(12141, 1, 2443)",0.9717803597450256,1,[0.0004604744026437402],1,24.0,"[([(2443, 1, 12141)], 0.995, 'xrule'), ({(2443, 1, 12141)}, 0.9919258863009673, 'baseline'), ({(12141, 0, 3556)}, -0.0022627907102215606, 'baseline')]","[(2443, 1, 12141)]",[24],0.0004604744026437402
"(27198, 1, 6242)",0.9874051213264465,1,[0.0032724253833293915],1,17.0,"[([(6242, 1, 27198)], 0.9855, 'xrule'), ({(6242, 1, 27198)}, 0.8503658652045858, 'baseline'), ({(19791, 9, 27198)}, 0.00023595518511600826, 'baseline'), ({(27198, 9, 19791)}, -0.0006681876974376311, 'baseline')]","[(6242, 1, 27198)]",[17],0.0032724253833293915
"(33234, 2, 2524)",0.04805701971054077,3,[0.0010403819615021348],1,17.0,"[({(33234, 2, 4090)}, 0.07794964596467459, 'baseline'), ([(33234, 2, 4090), (22856, 2, 2524), (22856, 2, 4090)], -0.4659, 'xrule')]","[(33234, 2, 4090), (28149, 2, 4090), (28149, 2, 2524)]",[17],0.0010403819615021348
"(18272, 1, 19427)",0.9453070163726807,1,[0.05399898812174797],1,4.0,"[({(19427, 1, 18272)}, 0.23028431417731876, 'baseline'), ([(19427, 1, 18272)], 0.1104, 'xrule'), ({(18272, 1, 170)}, 0.04234067625916938, 'baseline'), ({(170, 1, 18272)}, 0.04207901188461747, 'baseline'), ({(23137, 1, 18272)}, 0.02672378250257298, 'baseline'), ({(18272, 1, 23137)}, 0.012805501896568308, 'baseline')]","[(19427, 1, 18272)]",[4],0.05399898812174797
"(23961, 0, 6776)",0.72646164894104,1,[1.0487071449460927e-05],1,29964.0,"[({(23961, 5, 6776)}, 0.9421926636990633, 'baseline'), ([(23961, 5, 6776)], 0.8941, 'xrule')]","[(23961, 5, 6776)]",[29964],1.0487071449460927e-05
"(3072, 1, 15159)",0.8955927491188049,1,[0.00010608638694975525],1,10173.0,"[([(15159, 1, 3072)], 0.4463, 'xrule'), ({(15159, 1, 3072)}, 0.3772697266836159, 'baseline')]","[(15159, 1, 3072)]",[10173],0.00010608638694975525
