#facts,new_ranks,original_rank,prediction,new_scores,facts,new_rank,new_score,original_score
3,"[2, 1]",1,"(5912, 100, 1672)","[0.4220118522644043, 0.6083666086196899]","[(5912, 100, 8832), (5912, 66, 7132), (4418, 47, 5912)]",1.5,0.5151892304420471,0.902134120464325
3,"[1, 2]",1,"(1504, 14, 5334)","[0.450630247592926, 0.2440006285905838]","[(1504, 28, 382), (1504, 31, 658), (4019, 6, 1504)]",1.5,0.3473154380917549,0.5538073182106018
3,"[1, 1]",1,"(7494, 67, 259)","[0.9346869587898254, 0.9465410113334656]","[(7494, 67, 6480), (7455, 30, 7494), (8215, 30, 7494)]",1.0,0.9406139850616455,0.8372358083724976
3,"[1, 1]",1,"(805, 115, 747)","[0.8868330717086792, 0.9556283354759216]","[(805, 30, 3624), (805, 86, 2317), (805, 116, 3645)]",1.0,0.9212307035923004,0.9535616040229797
3,"[1, 1]",1,"(2600, 23, 57)","[0.9258959293365479, 0.960934042930603]","[(8089, 13, 2600), (449, 58, 2600), (971, 13, 2600)]",1.0,0.9434149861335754,0.9564436674118042
3,"[1, 1]",1,"(5400, 31, 4)","[0.9660413861274719, 0.871813952922821]","[(1389, 7, 5400), (467, 7, 5400), (5010, 38, 5400)]",1.0,0.9189276695251465,0.9161665439605713
3,"[1, 2]",1,"(1454, 92, 5562)","[0.7612259984016418, 0.5592854619026184]","[(19, 9, 1454), (1454, 75, 2230), (1454, 9, 1300)]",1.5,0.6602557301521301,0.5090774893760681
3,"[1, 1]",1,"(1429, 120, 791)","[0.9625727534294128, 0.9841699600219727]","[(95, 15, 1429), (3494, 66, 1429), (3494, 24, 1429)]",1.0,0.9733713567256927,0.9932956099510193
3,"[1, 1]",1,"(6848, 28, 32)","[0.878334641456604, 0.9502606391906738]","[(6848, 31, 2461), (6848, 86, 742), (8210, 6, 6848)]",1.0,0.9142976403236389,0.9276204109191895
3,"[2, 1]",1,"(11021, 46, 152)","[0.536729097366333, 0.746722936630249]","[(11021, 46, 9740), (11021, 83, 1457), (11021, 83, 249)]",1.5,0.641726016998291,0.7165725827217102
3,"[2, 1]",1,"(5, 90, 1885)","[0.681811511516571, 0.7572118639945984]","[(475, 32, 5), (5, 31, 136), (5, 74, 2643)]",1.5,0.7195116877555847,0.9416294097900391
3,"[1, 1]",1,"(1569, 85, 434)","[0.9817662239074707, 0.9859474897384644]","[(879, 71, 1569), (1569, 66, 954), (1569, 17, 243)]",1.0,0.9838568568229675,0.9909408688545227
3,"[10, 1]",1,"(7889, 46, 3115)","[0.025253670290112495, 0.3371005654335022]","[(7889, 46, 8400), (7889, 46, 259), (7889, 76, 12542)]",5.5,0.18117711786180735,0.3568492531776428
3,"[1, 1]",1,"(6149, 26, 64)","[0.8911409378051758, 0.8759730458259583]","[(6149, 31, 470), (6149, 26, 2948), (1148, 7, 6149)]",1.0,0.883556991815567,0.7856136560440063
3,"[1, 1]",1,"(7278, 118, 774)","[0.9935765862464905, 0.9848557114601135]","[(7278, 66, 592), (7278, 179, 236), (11705, 88, 7278)]",1.0,0.989216148853302,0.9920915365219116
3,"[5, 1]",1,"(6260, 8, 3691)","[0.16836591064929962, 0.8023927807807922]","[(6571, 8, 6260), (6260, 8, 2346), (6260, 8, 8095)]",3.0,0.48537934571504593,0.664778470993042
3,"[1, 1]",1,"(6045, 210, 3202)","[0.9056015610694885, 0.9915130734443665]","[(6045, 103, 4808), (6045, 27, 2197), (1654, 10, 6045)]",1.0,0.9485573172569275,0.9898172616958618
3,"[1, 1]",1,"(8790, 25, 62)","[0.9959591031074524, 0.9896717071533203]","[(236, 44, 8790), (4709, 89, 8790), (8790, 101, 1467)]",1.0,0.9928154051303864,0.9913109540939331
3,"[1, 1]",1,"(6791, 25, 62)","[0.9935135841369629, 0.9971160888671875]","[(6791, 61, 3111), (6791, 217, 3433), (6791, 61, 2940)]",1.0,0.9953148365020752,0.990455687046051
3,"[1, 1]",1,"(8194, 154, 2620)","[0.6915126442909241, 0.6212357878684998]","[(119, 15, 8194), (8194, 83, 8675), (8675, 15, 8194)]",1.0,0.6563742160797119,0.4746376872062683
3,"[1, 1]",1,"(2154, 26, 1960)","[0.7802358865737915, 0.6314648389816284]","[(2154, 30, 3201), (2154, 30, 69), (637, 2, 2154)]",1.0,0.70585036277771,0.6236992478370667
3,"[1, 1]",1,"(5263, 48, 32)","[0.9875121712684631, 0.9357618689537048]","[(5263, 45, 10487), (5263, 77, 2379), (5263, 85, 434)]",1.0,0.961637020111084,0.9680300951004028
3,"[1, 1]",1,"(7200, 28, 32)","[0.7695513367652893, 0.7980672717094421]","[(7200, 106, 592), (2037, 6, 7200), (1536, 6, 7200)]",1.0,0.7838093042373657,0.8547556400299072
3,"[1, 1]",1,"(4433, 17, 862)","[0.9564023613929749, 0.9807705283164978]","[(4433, 8, 3018), (3018, 8, 4433), (1468, 8, 4433)]",1.0,0.9685864448547363,0.9954941272735596
3,"[1, 1]",1,"(9711, 11, 23)","[0.9966933727264404, 0.9844197630882263]","[(1130, 2, 9711), (9711, 31, 3823), (9711, 31, 1130)]",1.0,0.9905565679073334,0.9838512539863586
3,"[1, 3]",1,"(8105, 52, 1374)","[0.3146624267101288, 0.10014742612838745]","[(8105, 52, 529), (8105, 20, 5361), (8105, 20, 1952)]",2.0,0.20740492641925812,0.8518562912940979
3,"[1, 1]",1,"(746, 13, 1682)","[0.973476231098175, 0.9878637194633484]","[(746, 13, 3420), (746, 13, 2600), (746, 13, 474)]",1.0,0.9806699752807617,0.9694784283638
3,"[1, 3]",1,"(10740, 20, 1366)","[0.39272648096084595, 0.441642165184021]","[(10740, 20, 2593), (10740, 20, 1727), (10740, 20, 2459)]",2.0,0.41718432307243347,0.8317307829856873
3,"[3, 1]",1,"(6998, 101, 1467)","[0.7036318182945251, 0.7878238558769226]","[(6998, 101, 3145), (6998, 101, 4759), (6998, 101, 2736)]",2.0,0.7457278370857239,0.886987566947937
3,"[1, 1]",1,"(6543, 98, 8248)","[0.9399697780609131, 0.9733837842941284]","[(6543, 68, 7921), (6543, 68, 8570), (6543, 96, 3083)]",1.0,0.9566767811775208,0.9474917650222778
3,"[1, 1]",1,"(7535, 17, 215)","[0.9035410284996033, 0.7120794653892517]","[(5125, 47, 7535), (2116, 47, 7535), (7535, 19, 1121)]",1.0,0.8078102469444275,0.8892365097999573
3,"[1, 1]",1,"(8285, 17, 862)","[0.951016902923584, 0.8959324955940247]","[(5181, 8, 8285), (8285, 8, 5181), (361, 8, 8285)]",1.0,0.9234746992588043,0.9222087264060974
3,"[1, 1]",1,"(6350, 43, 141)","[0.9826822280883789, 0.9841805696487427]","[(6350, 17, 393), (2467, 47, 6350), (6350, 19, 112)]",1.0,0.9834313988685608,0.9883594512939453
3,"[2, 1]",1,"(6183, 17, 1002)","[0.7495307326316833, 0.7668107151985168]","[(200, 20, 6183), (985, 42, 6183), (2429, 20, 6183)]",1.5,0.7581707239151001,0.8010475039482117
3,"[1, 1]",1,"(8377, 26, 64)","[0.9103935956954956, 0.90309739112854]","[(8377, 26, 2948), (8377, 31, 1313), (8377, 31, 4)]",1.0,0.9067454934120178,0.9645830988883972
3,"[3, 5]",1,"(8706, 86, 1630)","[0.15990494191646576, 0.1961955726146698]","[(1147, 38, 8706), (8706, 136, 1147), (8706, 84, 6810)]",4.0,0.17805025726556778,0.44494742155075073
3,"[1, 1]",1,"(2664, 25, 62)","[0.9959278702735901, 0.9960713386535645]","[(6196, 76, 2664), (2664, 77, 2016), (2016, 77, 2664)]",1.0,0.9959996044635773,0.9936367273330688
3,"[2, 5]",1,"(1888, 14, 2272)","[0.021249979734420776, 0.027005869895219803]","[(1888, 14, 5334), (475, 32, 1888), (9844, 6, 1888)]",3.5,0.02412792481482029,0.154959037899971
3,"[14, 30]",1,"(10130, 131, 181)","[0.08534745872020721, 0.05368567258119583]","[(10130, 131, 274), (10130, 131, 1928), (10130, 131, 5464)]",22.0,0.06951656565070152,0.8042064309120178
3,"[1, 1]",1,"(6087, 26, 1098)","[0.7692652940750122, 0.7984121441841125]","[(6087, 26, 990), (6087, 26, 1881), (6087, 26, 1960)]",1.0,0.7838387191295624,0.9066410064697266
3,"[4, 3]",1,"(12195, 66, 592)","[0.020357947796583176, 0.03506094217300415]","[(12195, 48, 32), (1674, 22, 12195), (12195, 85, 434)]",3.5,0.027709444984793663,0.08467242866754532
3,"[1, 2]",1,"(3381, 52, 2028)","[0.6614448428153992, 0.20997796952724457]","[(3381, 52, 831), (3381, 52, 7528), (3381, 52, 13655)]",1.5,0.43571140617132187,0.8979125618934631
3,"[1, 4]",1,"(889, 19, 7255)","[0.7463847994804382, 0.6772010922431946]","[(1962, 47, 889), (7906, 20, 889), (358, 27, 889)]",2.5,0.7117929458618164,0.8706680536270142
3,"[1, 1]",1,"(13370, 120, 791)","[0.9956585168838501, 0.9963490962982178]","[(32, 87, 13370), (3408, 15, 13370), (3098, 58, 13370)]",1.0,0.9960038065910339,0.9951258301734924
3,"[1, 1]",1,"(7843, 17, 862)","[0.7065708041191101, 0.5952721834182739]","[(5987, 8, 7843), (7843, 3, 4206), (4206, 8, 7843)]",1.0,0.650921493768692,0.8698863387107849
3,"[2, 2]",1,"(8623, 43, 384)","[0.20206758379936218, 0.6293107271194458]","[(9874, 47, 8623), (8623, 19, 9874), (8623, 17, 862)]",2.0,0.415689155459404,0.9801432490348816
3,"[1, 1]",1,"(535, 48, 32)","[0.7343114614486694, 0.5417937636375427]","[(2458, 192, 535), (2458, 77, 535), (535, 77, 2458)]",1.0,0.6380526125431061,0.8807279467582703
3,"[1, 1]",1,"(3120, 220, 6386)","[0.7954546213150024, 0.957400918006897]","[(3120, 220, 4005), (3120, 156, 1503), (5293, 160, 3120)]",1.0,0.8764277696609497,0.828163743019104
3,"[1, 1]",1,"(2539, 19, 536)","[0.9628102779388428, 0.9662083983421326]","[(2539, 3, 7922), (2539, 8, 7009), (6524, 8, 2539)]",1.0,0.9645093381404877,0.9856534600257874
3,"[2, 1]",1,"(1707, 86, 10402)","[0.3061257004737854, 0.29753023386001587]","[(3655, 2, 1707), (1707, 12, 1684), (1314, 2, 1707)]",1.5,0.30182796716690063,0.5459656119346619
3,"[1, 1]",1,"(7870, 17, 862)","[0.9803929924964905, 0.9402123093605042]","[(6480, 140, 7870), (7870, 19, 2998), (7870, 8, 3666)]",1.0,0.9603026509284973,0.8808958530426025
3,"[1, 1]",1,"(5606, 48, 32)","[0.9280973672866821, 0.7076494097709656]","[(2693, 20, 5606), (1740, 45, 5606), (9730, 8, 5606)]",1.0,0.8178733885288239,0.9029479622840881
3,"[1, 1]",1,"(7388, 25, 62)","[0.993904173374176, 0.9879646301269531]","[(268, 76, 7388), (7388, 41, 138), (7388, 41, 1300)]",1.0,0.9909344017505646,0.9848781228065491
3,"[1, 1]",1,"(1886, 60, 90)","[0.9853202700614929, 0.9962068796157837]","[(1886, 66, 1327), (1886, 48, 32), (1886, 66, 954)]",1.0,0.9907635748386383,0.9854287505149841
3,"[1, 1]",1,"(5617, 25, 62)","[0.9976686835289001, 0.9864820241928101]","[(6304, 163, 5617), (1014, 37, 5617), (7565, 24, 5617)]",1.0,0.9920753538608551,0.9959683418273926
3,"[5, 2]",1,"(1014, 37, 2033)","[0.8809972405433655, 0.9162556529045105]","[(1014, 37, 7726), (1014, 37, 352), (1014, 37, 592)]",3.5,0.898626446723938,0.9408588409423828
3,"[1, 1]",1,"(5632, 46, 259)","[0.23034362494945526, 0.684528648853302]","[(1697, 207, 5632), (6865, 86, 5632), (929, 47, 5632)]",1.0,0.45743613690137863,0.7034265398979187
3,"[1, 1]",1,"(3894, 31, 163)","[0.9424067139625549, 0.6802775263786316]","[(1609, 6, 3894), (2100, 7, 3894), (3894, 26, 1098)]",1.0,0.8113421201705933,0.7779244184494019
3,"[1, 1]",1,"(12309, 43, 141)","[0.9892507791519165, 0.9932918548583984]","[(8123, 196, 12309), (6541, 50, 12309), (8123, 21, 12309)]",1.0,0.9912713170051575,0.9944069385528564
3,"[1, 1]",1,"(2091, 23, 3486)","[0.7621467113494873, 0.5619385838508606]","[(3723, 13, 2091), (2447, 13, 2091), (2090, 29, 2091)]",1.0,0.662042647600174,0.9085858464241028
3,"[2, 1]",1,"(3407, 35, 7238)","[0.865607738494873, 0.9456214904785156]","[(3407, 35, 1562), (3407, 64, 5745), (5745, 64, 3407)]",1.5,0.9056146144866943,0.9577904939651489
3,"[1, 1]",1,"(6482, 26, 990)","[0.8752604126930237, 0.9397413730621338]","[(6482, 26, 183), (6482, 26, 8130), (6482, 26, 1936)]",1.0,0.9075008928775787,0.962796151638031
3,"[1, 1]",1,"(5628, 25, 62)","[0.9914080500602722, 0.9927748441696167]","[(5628, 3, 7643), (10932, 22, 5628), (5628, 66, 954)]",1.0,0.9920914471149445,0.9962792992591858
3,"[1, 1]",1,"(1501, 10, 11145)","[0.9236077070236206, 0.9792771935462952]","[(1501, 7, 9068), (5437, 30, 1501), (1501, 7, 4698)]",1.0,0.9514424502849579,0.9204357266426086
3,"[1, 1]",1,"(3715, 17, 862)","[0.8596958518028259, 0.7885067462921143]","[(3715, 19, 721), (3715, 19, 2820), (3715, 41, 1834)]",1.0,0.8241012990474701,0.931495726108551
3,"[1, 1]",1,"(2051, 85, 434)","[0.9851053953170776, 0.9835510849952698]","[(2051, 8, 4688), (2051, 19, 435), (2077, 76, 2051)]",1.0,0.9843282401561737,0.9756770730018616
3,"[1, 1]",1,"(11844, 61, 2940)","[0.45684918761253357, 0.6362943053245544]","[(484, 89, 11844), (3181, 89, 11844), (4709, 89, 11844)]",1.0,0.546571746468544,0.5944116115570068
3,"[1, 1]",1,"(10860, 154, 5054)","[0.9799216985702515, 0.7175625562667847]","[(10860, 135, 382), (10860, 205, 3955), (382, 87, 10860)]",1.0,0.8487421274185181,0.8733823895454407
3,"[2, 2]",1,"(1685, 17, 60)","[0.8880290389060974, 0.8778002858161926]","[(1685, 3, 1775), (3797, 8, 1685), (1685, 8, 3797)]",2.0,0.882914662361145,0.9143084287643433
3,"[1, 1]",1,"(3794, 23, 57)","[0.9342419505119324, 0.9702897667884827]","[(1179, 13, 3794), (3794, 58, 834), (834, 58, 3794)]",1.0,0.9522658586502075,0.9237578511238098
3,"[1, 1]",1,"(1567, 167, 1768)","[0.9844349026679993, 0.995128870010376]","[(1567, 124, 2956), (1567, 16, 32), (1567, 61, 8351)]",1.0,0.9897818863391876,0.9941210150718689
3,"[1, 1]",1,"(6412, 48, 32)","[0.9820709228515625, 0.9622668027877808]","[(6412, 17, 871), (3324, 71, 6412), (6412, 17, 215)]",1.0,0.9721688628196716,0.9531452059745789
3,"[1, 1]",1,"(13805, 17, 862)","[0.7399536967277527, 0.643451452255249]","[(13805, 85, 434), (13805, 48, 1928), (13805, 24, 2015)]",1.0,0.6917025744915009,0.6916261315345764
3,"[1, 1]",1,"(5914, 137, 9633)","[0.9767937660217285, 0.8686110973358154]","[(5914, 137, 12585), (5914, 137, 10426), (5914, 137, 1074)]",1.0,0.922702431678772,0.987588107585907
1,"[1, 1]",1,"(14357, 25, 62)","[0.9912713766098022, 0.9925561547279358]","[(14357, 52, 1374)]",1.0,0.991913765668869,0.9901472926139832
