new_ranks,exp,original_rank,new_scores,exp_length,new_rank,new_score,facts,prediction,original_score
[1],"[(11921, 100, 1672), (5912, 48, 1928), (11921, 48, 1928)]",1,[0.7785768508911133],3,1.0,0.7785768508911133,"[([(11921, 100, 1672), (5912, 48, 1928), (11921, 48, 1928)], 0.0063999966, 'xrule')]","(5912, 100, 1672)",0.902134120464325
[1],"[(4550, 48, 32), (1357, 48, 32), (1357, 60, 90)]",1,[0.9954533576965332],3,1.0,0.9954533576965332,"[([(4550, 48, 32), (1357, 60, 90), (1357, 48, 32)], 0.0029999912, 'xrule')]","(4550, 60, 90)",0.9950908422470093
[1],"[(3169, 101, 6480), (7494, 67, 6480), (3169, 101, 259)]",1,[0.8746551871299744],3,1.0,0.8746551871299744,"[([(7494, 67, 6480), (3169, 101, 259), (3169, 101, 6480)], 0.035600007, 'xrule')]","(7494, 67, 259)",0.8372358083724976
[1],"[(1303, 13, 1934), (1934, 23, 57), (1303, 13, 2600)]",1,[0.9730411171913147],3,1.0,0.9730411171913147,"[([(1303, 13, 1934), (1934, 23, 57), (1303, 13, 2600)], 0.017299995, 'xrule')]","(2600, 23, 57)",0.9564436674118042
[1],"[(1271, 9, 3702), (3702, 92, 5562), (1454, 9, 1271), (1271, 9, 1454)]",1,[0.8696295022964478],4,1.0,0.8696295022964478,"[([(1271, 9, 3702), (3702, 92, 5562), (1454, 9, 1271), (1271, 9, 1454)], 0.051799998, 'xrule')]","(1454, 92, 5562)",0.5090774893760681
[1],"[(5400, 28, 32), (5400, 13, 32), (9364, 28, 32), (9364, 31, 4)]",1,[0.9115583896636963],4,1.0,0.9115583896636963,"[([(5400, 28, 32), (5400, 13, 32), (9364, 28, 32), (9364, 31, 4)], -0.007399991, 'xrule')]","(5400, 31, 4)",0.9161665439605713
[1],"[(95, 15, 1429), (95, 15, 11312), (11312, 120, 791)]",1,[0.9674912691116333],3,1.0,0.9674912691116333,"[([(95, 15, 1429), (95, 15, 11312), (11312, 120, 791)], 0.0015000105, 'xrule')]","(1429, 120, 791)",0.9932956099510193
[1],"[(1617, 28, 32), (1617, 11, 23), (6848, 11, 23), (1617, 13, 32)]",1,[0.7013084888458252],4,1.0,0.7013084888458252,"[([(1617, 28, 32), (1617, 11, 23), (6848, 11, 23), (1617, 13, 32)], 0.09289999, 'xrule')]","(6848, 28, 32)",0.9276204109191895
[1],"[(4350, 150, 32), (4350, 46, 152), (11021, 16, 32)]",1,[0.7920228838920593],3,1.0,0.7920228838920593,"[([(4350, 46, 152), (4350, 150, 32), (11021, 16, 32)], 0.047499992, 'xrule')]","(11021, 46, 152)",0.7165725827217102
[2],"[(5, 31, 136), (4726, 90, 1885), (4726, 31, 136)]",1,[0.8241192698478699],3,2.0,0.8241192698478699,"[([(5, 31, 136), (4726, 90, 1885), (4726, 31, 136)], 0.0012999999, 'xrule')]","(5, 90, 1885)",0.9416294097900391
[1],"[(3563, 17, 393), (3563, 85, 434), (1569, 17, 393)]",1,[0.9955463409423828],3,1.0,0.9955463409423828,"[([(3563, 17, 393), (3563, 85, 434), (1569, 17, 393)], 0.042000003, 'xrule')]","(1569, 85, 434)",0.9909408688545227
[3],"[(7246, 46, 3115), (7889, 46, 259), (7246, 46, 259)]",1,[0.1054239496588707],3,3.0,0.1054239496588707,"[([(7246, 46, 3115), (7889, 46, 259), (7246, 46, 259)], 0.0143, 'xrule')]","(7889, 46, 3115)",0.3568492531776428
[1],"[(592, 127, 226), (592, 62, 226), (7278, 66, 592), (226, 15, 592), (226, 118, 774)]",1,[0.9967505931854248],5,1.0,0.9967505931854248,"[([(226, 15, 592), (592, 127, 226), (592, 62, 226), (226, 118, 774), (7278, 66, 592)], 0.014400002, 'xrule')]","(7278, 118, 774)",0.9920915365219116
[2],"[(1912, 8, 3691), (1912, 3, 3691), (3691, 8, 1912), (6260, 8, 8095), (3691, 3, 1912), (8095, 8, 1912)]",1,[0.8505280613899231],6,2.0,0.8505280613899231,"[([(1912, 8, 3691), (1912, 3, 3691), (3691, 8, 1912), (6260, 8, 8095), (3691, 3, 1912), (8095, 8, 1912)], 0.09290001, 'xrule')]","(6260, 8, 3691)",0.664778470993042
[1],"[(1990, 10, 6946), (6946, 210, 3202), (1990, 10, 6045)]",1,[0.9048776626586914],3,1.0,0.9048776626586914,"[([(1990, 10, 6946), (6946, 210, 3202), (1990, 10, 6045)], 0.051100016, 'xrule')]","(6045, 210, 3202)",0.9898172616958618
[1],"[(236, 63, 5048), (236, 44, 8790), (236, 63, 8790), (5048, 25, 62)]",1,[0.9869062304496765],4,1.0,0.9869062304496765,"[([(236, 63, 5048), (236, 44, 8790), (236, 63, 8790), (5048, 25, 62)], 0.036000013, 'xrule')]","(8790, 25, 62)",0.9913109540939331
[1],"[(7538, 25, 62), (6791, 61, 3111), (7538, 61, 3111)]",1,[0.9920116066932678],3,1.0,0.9920116066932678,"[([(7538, 25, 62), (6791, 61, 3111), (7538, 61, 3111)], 0.0959, 'xrule')]","(6791, 25, 62)",0.990455687046051
[1],"[(119, 15, 8194), (3028, 154, 2620), (119, 58, 3028), (3028, 58, 119)]",1,[0.8344817161560059],4,1.0,0.8344817161560059,"[([(119, 15, 8194), (3028, 154, 2620), (119, 58, 3028), (3028, 58, 119)], 0.029299999, 'xrule')]","(8194, 154, 2620)",0.4746376872062683
[3],"[(3138, 26, 64), (2154, 26, 64), (3138, 26, 1960)]",1,[0.38618379831314087],3,3.0,0.38618379831314087,"[([(3138, 26, 64), (2154, 26, 64), (3138, 26, 1960)], 0.013300002, 'xrule')]","(2154, 26, 1960)",0.6236992478370667
[1],"[(6258, 28, 32), (6258, 31, 466), (7200, 31, 466)]",1,[0.8402174711227417],3,1.0,0.8402174711227417,"[([(6258, 28, 32), (6258, 31, 466), (7200, 31, 466)], 0.025700003, 'xrule')]","(7200, 28, 32)",0.8547556400299072
[1],"[(4433, 17, 393), (801, 17, 393), (801, 17, 862)]",1,[0.9658913612365723],3,1.0,0.9658913612365723,"[([(4433, 17, 393), (801, 17, 393), (801, 17, 862)], -0.022400007, 'xrule')]","(4433, 17, 862)",0.9954941272735596
[1],"[(1374, 20, 951), (8105, 52, 529), (529, 20, 951)]",1,[0.3856961131095886],3,1.0,0.3856961131095886,"[([(1374, 20, 951), (8105, 52, 529), (529, 20, 951)], 0.3507, 'xrule')]","(8105, 52, 1374)",0.8518562912940979
[5],"[(2755, 193, 27), (2755, 13, 1682), (746, 13, 27), (2755, 13, 27)]",1,[0.8396621942520142],4,5.0,0.8396621942520142,"[([(2755, 193, 27), (2755, 13, 1682), (746, 13, 27), (2755, 13, 27)], 0.02790004, 'xrule')]","(746, 13, 1682)",0.9694784283638
[2],"[(11195, 47, 2459), (11195, 47, 1366), (2459, 19, 11195), (1366, 19, 11195), (10740, 20, 2459)]",1,[0.5325883030891418],5,2.0,0.5325883030891418,"[([(2459, 19, 11195), (1366, 19, 11195), (10740, 20, 2459), (11195, 47, 2459), (11195, 47, 1366)], 0.036000013, 'xrule')]","(10740, 20, 1366)",0.8317307829856873
[1],"[(236, 63, 3557), (3557, 101, 1467), (236, 44, 6998), (236, 44, 3557)]",1,[0.7960922718048096],4,1.0,0.7960922718048096,"[([(236, 63, 3557), (3557, 101, 1467), (236, 44, 6998), (236, 44, 3557)], 0.0029000007, 'xrule')]","(6998, 101, 1467)",0.886987566947937
[1],"[(555, 98, 8248), (555, 98, 11218), (6543, 98, 11218)]",1,[0.9017636179924011],3,1.0,0.9017636179924011,"[([(555, 98, 8248), (555, 98, 11218), (6543, 98, 11218)], 0.025300004, 'xrule')]","(6543, 98, 8248)",0.9474917650222778
[1],"[(3487, 19, 999), (999, 47, 3487), (7535, 19, 999), (3487, 17, 215)]",1,[0.6572747230529785],4,1.0,0.6572747230529785,"[([(3487, 19, 999), (999, 47, 3487), (7535, 19, 999), (3487, 17, 215)], 0.027200043, 'xrule')]","(7535, 17, 215)",0.8892365097999573
[1],"[(361, 17, 862), (1039, 8, 361), (361, 8, 1039), (8285, 8, 1039), (1039, 8, 8285)]",1,[0.7328157424926758],5,1.0,0.7328157424926758,"[([(361, 17, 862), (8285, 8, 1039), (1039, 8, 361), (1039, 8, 8285), (361, 8, 1039)], 0.2484, 'xrule')]","(8285, 17, 862)",0.9222087264060974
[1],"[(6402, 43, 141), (6402, 19, 467), (6350, 19, 467)]",1,[0.9740850329399109],3,1.0,0.9740850329399109,"[([(6402, 43, 141), (6402, 19, 467), (6350, 19, 467)], 0.0011, 'xrule')]","(6350, 43, 141)",0.9883594512939453
[1],"[(6183, 19, 1198), (11406, 17, 1002), (11406, 19, 1198)]",1,[0.90865159034729],3,1.0,0.90865159034729,"[([(6183, 19, 1198), (11406, 17, 1002), (11406, 19, 1198)], 0.144, 'xrule')]","(6183, 17, 1002)",0.8010475039482117
[2],"[(70, 26, 64), (70, 26, 342), (8377, 26, 342)]",1,[0.9164753556251526],3,2.0,0.9164753556251526,"[([(70, 26, 64), (70, 26, 342), (8377, 26, 342)], 0.036700003, 'xrule')]","(8377, 26, 64)",0.9645830988883972
[1],"[(1147, 3, 6810), (6810, 8, 1147), (6810, 3, 1147), (6810, 159, 1630), (8706, 136, 1147), (1147, 38, 8706), (1147, 6, 8706), (1147, 8, 6810)]",1,[0.8205663561820984],8,1.0,0.8205663561820984,"[([(1147, 3, 6810), (6810, 8, 1147), (6810, 3, 1147), (6810, 159, 1630), (8706, 136, 1147), (1147, 38, 8706), (1147, 6, 8706), (1147, 8, 6810)], 0.078400016, 'xrule')]","(8706, 86, 1630)",0.44494742155075073
[1],"[(291, 25, 62), (2664, 77, 2016), (2016, 38, 291), (2016, 77, 2664)]",1,[0.9929952025413513],4,1.0,0.9929952025413513,"[([(291, 25, 62), (2664, 77, 2016), (2016, 38, 291), (2016, 77, 2664)], 0.09019998, 'xrule')]","(2664, 25, 62)",0.9936367273330688
[5],"[(4826, 26, 1098), (1888, 26, 1098), (4826, 14, 2272)]",1,[0.05834835022687912],3,5.0,0.05834835022687912,"[([(4826, 26, 1098), (1888, 26, 1098), (4826, 14, 2272)], -0.006699994, 'xrule')]","(1888, 14, 2272)",0.154959037899971
[1],"[(10130, 131, 1928), (181, 219, 90), (181, 139, 90), (181, 234, 90), (1928, 206, 90), (1928, 234, 90), (1928, 219, 90), (181, 206, 90)]",1,[0.5069424510002136],8,1.0,0.5069424510002136,"[([(10130, 131, 1928), (181, 219, 90), (181, 139, 90), (1928, 206, 90), (181, 234, 90), (1928, 234, 90), (1928, 219, 90), (181, 206, 90)], 0.10459995, 'xrule')]","(10130, 131, 181)",0.8042064309120178
[3],"[(9986, 26, 1098), (6087, 26, 990), (9986, 26, 990)]",1,[0.7792297601699829],3,3.0,0.7792297601699829,"[([(9986, 26, 1098), (6087, 26, 990), (9986, 26, 990)], 0.093599975, 'xrule')]","(6087, 26, 1098)",0.9066410064697266
[1],"[(12195, 48, 32), (724, 48, 32), (724, 66, 592)]",1,[0.041358623653650284],3,1.0,0.041358623653650284,"[([(12195, 48, 32), (724, 48, 32), (724, 66, 592)], -0.027300008, 'xrule')]","(12195, 66, 592)",0.08467242866754532
[1],"[(3381, 52, 7528), (10650, 52, 7528), (10650, 52, 2028)]",1,[0.6727957129478455],3,1.0,0.6727957129478455,"[([(3381, 52, 7528), (10650, 52, 7528), (10650, 52, 2028)], 0.0034999999, 'xrule')]","(3381, 52, 2028)",0.8979125618934631
[2],"[(358, 27, 889), (358, 27, 2565), (2565, 19, 7255)]",1,[0.7391064167022705],3,2.0,0.7391064167022705,"[([(358, 27, 889), (358, 27, 2565), (2565, 19, 7255)], 0.100499995, 'xrule')]","(889, 19, 7255)",0.8706680536270142
[1],"[(32, 87, 13370), (7635, 120, 791), (32, 87, 7635)]",1,[0.9927464127540588],3,1.0,0.9927464127540588,"[([(32, 87, 13370), (7635, 120, 791), (32, 87, 7635)], -0.05759999, 'xrule')]","(13370, 120, 791)",0.9951258301734924
[1],"[(8880, 43, 141), (8880, 17, 862), (7843, 43, 141)]",1,[0.8124624490737915],3,1.0,0.8124624490737915,"[([(8880, 43, 141), (8880, 17, 862), (7843, 43, 141)], 0.006500001, 'xrule')]","(7843, 17, 862)",0.8698863387107849
[1],"[(6906, 17, 862), (8623, 17, 862), (6906, 43, 384)]",1,[0.913754403591156],3,1.0,0.913754403591156,"[([(6906, 17, 862), (8623, 17, 862), (6906, 43, 384)], 0.0051000006, 'xrule')]","(8623, 43, 384)",0.9801432490348816
[1],"[(1508, 43, 141), (1508, 48, 32), (535, 43, 141)]",1,[0.44124433398246765],3,1.0,0.44124433398246765,"[([(1508, 43, 141), (1508, 48, 32), (535, 43, 141)], 0.0036999881, 'xrule')]","(535, 48, 32)",0.8807279467582703
[1],"[(3120, 220, 4005), (866, 220, 4005), (866, 220, 6386)]",1,[0.9527120590209961],3,1.0,0.9527120590209961,"[([(3120, 220, 4005), (866, 220, 4005), (866, 220, 6386)], 0.010700002, 'xrule')]","(3120, 220, 6386)",0.828163743019104
[1],"[(4928, 3, 667), (4928, 8, 667), (667, 8, 4928), (667, 3, 4928), (667, 8, 2539), (667, 3, 2539), (2539, 8, 667), (536, 47, 4928), (4928, 19, 536)]",1,[0.7051764130592346],9,1.0,0.7051764130592346,"[([(4928, 3, 667), (4928, 8, 667), (667, 8, 4928), (667, 3, 4928), (667, 8, 2539), (667, 3, 2539), (2539, 8, 667), (536, 47, 4928), (4928, 19, 536)], 0.12919998, 'xrule')]","(2539, 19, 536)",0.9856534600257874
[2],"[(1707, 31, 205), (205, 2, 1707), (205, 2, 4381), (4381, 86, 10402), (4381, 31, 205)]",1,[0.26673057675361633],5,2.0,0.26673057675361633,"[([(1707, 31, 205), (4381, 31, 205), (205, 2, 1707), (205, 2, 4381), (4381, 86, 10402)], 0.16289997, 'xrule')]","(1707, 86, 10402)",0.5459656119346619
[1],"[(497, 17, 862), (7870, 17, 393), (497, 17, 393)]",1,[0.9627904295921326],3,1.0,0.9627904295921326,"[([(497, 17, 862), (7870, 17, 393), (497, 17, 393)], 0.0011, 'xrule')]","(7870, 17, 862)",0.8808958530426025
[1],"[(11843, 25, 62), (5606, 25, 62), (32, 15, 11843)]",1,[0.9047536253929138],3,1.0,0.9047536253929138,"[([(11843, 25, 62), (5606, 25, 62), (32, 15, 11843)], -0.048299998, 'xrule')]","(5606, 48, 32)",0.9029479622840881
[1],"[(5913, 43, 141), (7388, 43, 141), (5913, 25, 62)]",1,[0.9762634634971619],3,1.0,0.9762634634971619,"[([(5913, 43, 141), (7388, 43, 141), (5913, 25, 62)], 0.10769999, 'xrule')]","(7388, 25, 62)",0.9848781228065491
[1],"[(593, 108, 90), (1886, 100, 160), (593, 166, 90), (593, 101, 160)]",1,[0.9912934899330139],4,1.0,0.9912934899330139,"[([(593, 108, 90), (1886, 100, 160), (593, 166, 90), (593, 101, 160)], 0.03489998, 'xrule')]","(1886, 60, 90)",0.9854287505149841
[1],"[(5617, 194, 1044), (11683, 127, 1044), (1044, 144, 5617), (5617, 127, 1044), (1044, 15, 11683), (11683, 25, 62)]",1,[0.9904419779777527],6,1.0,0.9904419779777527,"[([(11683, 127, 1044), (1044, 144, 5617), (5617, 127, 1044), (1044, 15, 11683), (11683, 25, 62), (5617, 194, 1044)], 0.01730001, 'xrule')]","(5617, 25, 62)",0.9959683418273926
[34],"[(1652, 156, 2849), (2033, 156, 2849), (1014, 37, 1652)]",1,[0.28796443343162537],3,34.0,0.28796443343162537,"[([(1652, 156, 2849), (2033, 156, 2849), (1014, 37, 1652)], -0.01820001, 'xrule')]","(1014, 37, 2033)",0.9408588409423828
[1],"[(3894, 28, 32), (1107, 31, 163), (1107, 13, 32), (3894, 13, 32), (1107, 28, 32)]",1,[0.5647552609443665],5,1.0,0.5647552609443665,"[([(3894, 28, 32), (1107, 13, 32), (1107, 31, 163), (3894, 13, 32), (1107, 28, 32)], -0.015899993, 'xrule')]","(3894, 31, 163)",0.7779244184494019
[1],"[(3401, 21, 4643), (12309, 21, 4643), (3401, 43, 141)]",1,[0.9730110168457031],3,1.0,0.9730110168457031,"[([(3401, 21, 4643), (12309, 21, 4643), (3401, 43, 141)], 0.049899995, 'xrule')]","(12309, 43, 141)",0.9944069385528564
[1],"[(8299, 13, 2091), (8299, 13, 202), (202, 23, 3486)]",1,[0.9248344302177429],3,1.0,0.9248344302177429,"[([(8299, 13, 2091), (8299, 13, 202), (202, 23, 3486)], 0.07259998, 'xrule')]","(2091, 23, 3486)",0.9085858464241028
[1],"[(3407, 35, 4507), (471, 35, 4507), (471, 35, 7238)]",1,[0.8607545495033264],3,1.0,0.8607545495033264,"[([(3407, 35, 4507), (471, 35, 4507), (471, 35, 7238)], 0.017300002, 'xrule')]","(3407, 35, 7238)",0.9577904939651489
[1],"[(6482, 28, 32), (486, 13, 32), (486, 26, 990)]",1,[0.9319648146629333],3,1.0,0.9319648146629333,"[([(6482, 28, 32), (486, 13, 32), (486, 26, 990)], 0.049100004, 'xrule')]","(6482, 26, 990)",0.962796151638031
[1],"[(3663, 20, 4406), (3663, 20, 5628), (4406, 25, 62)]",1,[0.9921969175338745],3,1.0,0.9921969175338745,"[([(3663, 20, 4406), (3663, 20, 5628), (4406, 25, 62)], 0.11559999, 'xrule')]","(5628, 25, 62)",0.9962792992591858
[2],"[(1062, 10, 11145), (1062, 10, 5449), (1501, 10, 5449)]",1,[0.8566584587097168],3,2.0,0.8566584587097168,"[([(1062, 10, 11145), (1062, 10, 5449), (1501, 10, 5449)], -0.0024999976, 'xrule')]","(1501, 10, 11145)",0.9204357266426086
[1],"[(4269, 85, 434), (1972, 76, 4269), (1972, 76, 2051)]",1,[0.9910200238227844],3,1.0,0.9910200238227844,"[([(4269, 85, 434), (1972, 76, 4269), (1972, 76, 2051)], 0.0636, 'xrule')]","(2051, 85, 434)",0.9756770730018616
[1],"[(3715, 19, 999), (11422, 19, 999), (11422, 17, 862)]",1,[0.8942568898200989],3,1.0,0.8942568898200989,"[([(3715, 19, 999), (11422, 19, 999), (11422, 17, 862)], 0.013699979, 'xrule')]","(3715, 17, 862)",0.931495726108551
[1],"[(484, 89, 11844), (4783, 61, 2940), (484, 89, 4783)]",1,[0.4943300485610962],3,1.0,0.4943300485610962,"[([(484, 89, 11844), (4783, 61, 2940), (484, 89, 4783)], 0.0057999995, 'xrule')]","(11844, 61, 2940)",0.5944116115570068
[1],"[(382, 87, 10860), (8283, 133, 382), (8283, 135, 382), (382, 15, 8283), (8283, 154, 5054), (382, 15, 10860), (10860, 135, 382)]",1,[0.481882244348526],7,1.0,0.481882244348526,"[([(382, 87, 10860), (8283, 154, 5054), (8283, 133, 382), (382, 15, 10860), (10860, 135, 382), (8283, 135, 382), (382, 15, 8283)], -0.0042999983, 'xrule')]","(10860, 154, 5054)",0.8733823895454407
[3],"[(1685, 17, 131), (2541, 17, 131), (2541, 17, 60)]",1,[0.7276277542114258],3,3.0,0.7276277542114258,"[([(1685, 17, 131), (2541, 17, 131), (2541, 17, 60)], 0.0334, 'xrule')]","(1685, 17, 60)",0.9143084287643433
[1],"[(3782, 13, 235), (235, 23, 57), (3782, 13, 3794)]",1,[0.9310619831085205],3,1.0,0.9310619831085205,"[([(3782, 13, 235), (235, 23, 57), (3782, 13, 3794)], 0.058300003, 'xrule')]","(3794, 23, 57)",0.9237578511238098
[1],"[(5033, 167, 1768), (1566, 89, 1567), (1566, 89, 5033)]",1,[0.9893146753311157],3,1.0,0.9893146753311157,"[([(5033, 167, 1768), (1566, 89, 1567), (1566, 89, 5033)], -0.0005000001, 'xrule')]","(1567, 167, 1768)",0.9941210150718689
[1],"[(465, 14, 160), (465, 28, 32), (6412, 100, 160)]",1,[0.8968634605407715],3,1.0,0.8968634605407715,"[([(465, 14, 160), (465, 28, 32), (6412, 100, 160)], -0.0247, 'xrule')]","(6412, 48, 32)",0.9531452059745789
[1],"[(7783, 85, 434), (7783, 17, 862), (13805, 85, 434)]",1,[0.5860839486122131],3,1.0,0.5860839486122131,"[([(7783, 85, 434), (7783, 17, 862), (13805, 85, 434)], 0.0405, 'xrule')]","(13805, 17, 862)",0.6916261315345764
[1],"[(5914, 137, 4738), (5100, 137, 4738), (5100, 137, 9633)]",1,[0.9454213380813599],3,1.0,0.9454213380813599,"[([(5100, 137, 4738), (5914, 137, 4738), (5100, 137, 9633)], 0.0056000003, 'xrule')]","(5914, 137, 9633)",0.987588107585907
[1],"[(14357, 52, 1374), (1374, 20, 1105), (1105, 25, 62)]",1,[0.9888957738876343],3,1.0,0.9888957738876343,"[([(14357, 52, 1374), (1374, 20, 1105), (1105, 25, 62)], -0.5244, 'xrule')]","(14357, 25, 62)",0.9901472926139832
