new_scores,new_ranks,#facts,original_score,new_score,facts,new_rank,original_rank,prediction
"[2.12583, 4.017415]","[1, 1]",4,9.888962,3.0716224,"[([(706, 89, 12010), (706, 89, 6847), (12010, 25, 62)], 2.7390995, 'xrule'), ([(6847, 22, 7278)], 1.3097963930409116, 11.78747907307534), ([(6847, 61, 224), (8741, 61, 224), (8741, 25, 62)], 0.47289944, 'xrule'), ([(706, 89, 6847), (8741, 25, 62), (706, 89, 8741)], 0.21920013, 'xrule')]",1.0,1,"(6847, 25, 62)"
"[1.2139986, 1.0440214]","[1, 1]",1,8.882477,1.12901,"[([(1267, 164, 6298)], 0.5054707953328894, 12200.62374411446)]",1.0,1,"(6298, 25, 62)"
"[0.41073102, 0.2474773]","[5, 1]",8,3.2678545,0.32910416,"[([(5595, 26, 1936), (5672, 26, 1936), (5595, 26, 64)], 1.4847002, 'xrule'), ([(5672, 26, 1881), (3259, 26, 64), (3259, 26, 1881)], 1.2579002, 'xrule'), ([(5672, 84, 5506)], 1.161271627144059, 11342.761563689339), ([(5672, 26, 1936), (3259, 26, 1936), (3259, 26, 64)], 0.6015005, 'xrule'), ([(5595, 26, 64), (5595, 26, 1960), (5672, 26, 1960)], 0.57159996, 'xrule'), ([(5595, 26, 1881), (5672, 26, 1881), (5595, 26, 64)], 0.31260014, 'xrule'), ([(5672, 31, 1211), (1173, 31, 1211), (1173, 26, 64)], -0.0038995743, 'xrule'), ([(5672, 26, 1881), (807, 26, 64), (807, 26, 1881)], -0.1612997, 'xrule')]",3.0,1,"(5672, 26, 64)"
"[0.62211525, 0.635375]","[2, 1]",11,5.255939,0.62874514,"[([(4311, 85, 434), (4311, 17, 862), (11754, 17, 862)], 3.1212997, 'xrule'), ([(5159, 85, 434), (5159, 17, 818), (11754, 17, 818)], 1.6801996, 'xrule'), ([(11754, 17, 862), (2118, 85, 434), (2118, 17, 862)], 1.2334003, 'xrule'), ([(11754, 17, 862), (3140, 85, 434), (3140, 17, 862)], 1.0143003, 'xrule'), ([(11754, 66, 592), (9399, 85, 434), (9399, 66, 592)], 0.8292999, 'xrule'), ([(11754, 17, 862), (9399, 85, 434), (9399, 17, 862)], 0.27420044, 'xrule'), ([(11754, 17, 967), (8930, 85, 434), (8930, 17, 967)], 0.103300095, 'xrule'), ([(2118, 17, 818), (11754, 17, 818), (2118, 85, 434)], -0.2532997, 'xrule'), ([(8291, 85, 434), (8291, 17, 818), (11754, 17, 818)], -0.3473997, 'xrule'), ([(3387, 215, 11754)], -0.42468209853406297, 12733.395396899712), ([(8930, 85, 434), (11754, 17, 862), (8930, 17, 862)], -1.5585003, 'xrule')]",1.5,1,"(11754, 85, 434)"
"[0.68177605, 0.61311615]","[2, 2]",7,11.156679,0.6474461,"[([(3035, 19, 1469), (1469, 47, 2145), (3035, 43, 141), (1469, 47, 3035)], 3.3483, 'xrule'), ([(3343, 43, 141), (2146, 3, 2145), (3343, 8, 2146), (3343, 3, 2146), (2145, 8, 2146), (2145, 3, 2146), (2146, 8, 3343)], 1.1774998, 'xrule'), ([(1010, 8, 2145)], 1.1551423621868433, 3472.7604489265486), ([(2145, 48, 308), (11498, 48, 308), (11498, 43, 141)], 1.0627003, 'xrule'), ([(3667, 19, 1469), (1469, 47, 2145), (3667, 43, 141)], -0.05490017, 'xrule'), ([(682, 43, 141), (1469, 47, 682), (1469, 47, 2145), (682, 19, 1469)], -0.5089998, 'xrule'), ([(1342, 43, 141), (1342, 19, 1469), (1469, 47, 2145)], -2.4686995, 'xrule')]",2.0,2,"(2145, 43, 141)"
"[0.6568346, 0.64752966]","[2, 2]",11,3.7750387,0.6521821,"[([(5778, 25, 62), (3120, 25, 62), (5778, 148, 3021)], 3.1244993, 'xrule'), ([(3120, 220, 4005), (4896, 148, 3021), (4896, 220, 4005)], 2.0157995, 'xrule'), ([(3120, 220, 4005), (705, 148, 3021), (705, 220, 4005)], 1.8363991, 'xrule'), ([(434, 161, 3120), (5445, 148, 3021), (434, 161, 5445)], 1.5382996, 'xrule'), ([(3120, 25, 62), (4896, 148, 3021), (4896, 25, 62)], 1.2311993, 'xrule'), ([(434, 161, 3120), (4896, 148, 3021), (434, 161, 4896)], 1.2050991, 'xrule'), ([(3020, 148, 3021), (3120, 220, 4005), (3020, 220, 4005)], 0.8114996, 'xrule'), ([(3120, 25, 62), (5445, 148, 3021), (5445, 25, 62)], 0.78499985, 'xrule'), ([(3120, 148, 1922)], 0.5971098383217198, 9684.644994794762), ([(3120, 220, 4005), (5778, 220, 4005), (5778, 148, 3021)], 0.14389992, 'xrule'), ([(3120, 220, 4005), (5445, 148, 3021), (5445, 220, 4005)], -0.25419998, 'xrule')]",2.0,1,"(3120, 148, 3021)"
"[1.356074, 1.436173]","[1, 1]",1,11.078495,1.3961234,"[([(2567, 20, 9475)], 0.748268173338206, 4833.67880121577)]",1.0,1,"(9475, 25, 62)"
"[0.28743452, 0.30390126]","[1, 1]",4,5.5329022,0.2956679,"[([(7550, 8, 366), (366, 8, 5649), (7550, 48, 32), (5649, 8, 366)], 3.283, 'xrule'), ([(5649, 8, 558)], 1.9540396657061048, 10541.875886448566), ([(7550, 48, 32), (7550, 8, 1662), (1662, 8, 7550), (5649, 8, 1662)], 1.6615, 'xrule'), ([(5649, 66, 592), (32, 15, 12459), (12459, 83, 592)], 0.42440033, 'xrule')]",1.0,1,"(5649, 48, 32)"
"[6.3663516, 6.4101496]","[1, 1]",11,12.986469,6.3882504,"[([(13632, 199, 9277), (13632, 46, 9740)], 0.9154735101285398, 61.71411889513658), ([(10787, 25, 62), (10787, 46, 9740), (13632, 46, 9740)], -0.94710064, 'xrule'), ([(10136, 46, 9740), (13632, 46, 9740), (10136, 25, 62)], -1.4254007, 'xrule'), ([(10153, 25, 62), (10153, 46, 9740), (13632, 46, 9740)], -1.6007004, 'xrule'), ([(13632, 46, 152), (11934, 46, 152), (11934, 25, 62)], -2.0846004, 'xrule'), ([(12892, 24, 9277), (13632, 83, 9277), (12892, 25, 62), (13632, 199, 9277)], -2.25, 'xrule'), ([(13632, 83, 9277), (5048, 143, 9277), (5048, 25, 62), (13632, 199, 9277)], -3.6162004, 'xrule'), ([(13632, 83, 9277), (9277, 25, 62), (13632, 199, 9277)], -3.9191008, 'xrule'), ([(4805, 25, 62), (4805, 46, 9740), (13632, 46, 9740)], -4.0136003, 'xrule'), ([(10787, 25, 62), (13632, 46, 152), (10787, 46, 152)], -4.3901005, 'xrule'), ([(13632, 46, 152), (12752, 46, 152), (12752, 25, 62)], -4.4596004, 'xrule')]",1.0,1,"(13632, 25, 62)"
"[4.117094, 5.778799]","[1, 1]",10,9.799974,4.9479465,"[([(3181, 89, 11272), (3181, 89, 12923), (12923, 25, 62)], 2.4286003, 'xrule'), ([(1323, 89, 2979), (2979, 25, 62), (1323, 89, 11272)], 1.7754002, 'xrule'), ([(3181, 89, 11272), (3181, 89, 7436), (7436, 25, 62)], 1.6864004, 'xrule'), ([(11272, 124, 2846), (1160, 25, 62), (1160, 124, 2846)], 1.5230999, 'xrule'), ([(2979, 25, 62), (2979, 101, 4907), (11272, 101, 4907)], 1.5108004, 'xrule'), ([(1019, 89, 11272), (5153, 25, 62), (1019, 89, 5153)], 1.4211998, 'xrule'), ([(12463, 124, 2846), (11272, 124, 2846), (12463, 25, 62)], 1.2470007, 'xrule'), ([(11272, 124, 2846), (8508, 25, 62), (8508, 124, 2846)], 0.8095999, 'xrule'), ([(11272, 101, 2371), (8956, 25, 62), (8956, 101, 2371)], 0.7635002, 'xrule'), ([(4896, 15, 11272)], -1.4521278683918273, 3227.1896742909958)]",1.0,1,"(11272, 25, 62)"
"[1.1689378, 1.1514685]","[2, 1]",11,5.5377464,1.1602032,"[([(6224, 43, 141), (8386, 43, 141), (6224, 85, 434)], 0.47429943, 'xrule'), ([(434, 161, 3243), (8386, 48, 32), (32, 15, 3243), (3243, 133, 32)], 0.36909962, 'xrule'), ([(8238, 43, 141), (8238, 85, 434), (8386, 43, 141)], 0.34140015, 'xrule'), ([(5986, 43, 141), (5986, 85, 434), (8386, 43, 141)], 0.1317997, 'xrule'), ([(9280, 1, 8386)], -0.028082807587451752, 13633.49297974947), ([(1150, 43, 141), (1150, 85, 434), (8386, 43, 141)], -0.03730011, 'xrule'), ([(9885, 85, 434), (8386, 43, 141), (9885, 43, 141)], -0.18010044, 'xrule'), ([(9201, 85, 434), (8386, 85, 1665), (9201, 85, 1665)], -1.1578007, 'xrule'), ([(1150, 66, 1327), (8386, 24, 1327), (1150, 85, 434)], -1.5021, 'xrule'), ([(10070, 85, 434), (8386, 43, 141), (10070, 43, 141)], -1.5674, 'xrule'), ([(8386, 48, 32), (10070, 48, 32), (10070, 85, 434)], -2.0208006, 'xrule')]",1.5,1,"(8386, 85, 434)"
"[0.10840488, 0.13313971]","[1, 2]",4,1.2048147,0.1207723,"[([(1367, 3, 80)], 1.5587330560504515, 9994.826171469604), ([(1610, 8, 80), (686, 19, 559), (686, 8, 1610), (1610, 8, 686)], 1.0685005, 'xrule'), ([(1609, 8, 80), (686, 19, 559), (1609, 8, 686)], -1.2200994, 'xrule'), ([(1610, 8, 80), (1610, 3, 1357), (1357, 19, 559), (1357, 3, 1610)], -1.7832003, 'xrule')]",1.5,1,"(80, 19, 559)"
"[0.3301586, 0.4116199]","[1, 1]",8,5.6463876,0.37088925,"[([(2446, 17, 215), (7880, 48, 32), (7880, 17, 215)], 3.3674994, 'xrule'), ([(2446, 17, 862), (7880, 48, 32), (7880, 17, 862)], 2.6662998, 'xrule'), ([(2446, 17, 215), (11091, 48, 32), (11091, 17, 215)], 1.3260994, 'xrule'), ([(9147, 71, 2446)], 0.8083811274970841, 6554.691764415146), ([(2446, 17, 862), (2479, 48, 32), (2479, 17, 862)], 0.6359997, 'xrule'), ([(2446, 17, 243), (10384, 17, 243), (10384, 48, 32)], 0.2989998, 'xrule'), ([(2446, 17, 862), (9827, 48, 32), (9827, 17, 862)], -0.44070053, 'xrule'), ([(9827, 85, 1665), (9827, 48, 32), (2446, 85, 1665)], -0.47000027, 'xrule')]",1.0,1,"(2446, 48, 32)"
"[0.633551, 2.5120282]","[1, 1]",12,9.008254,1.5727897,"[([(12051, 43, 141), (12051, 17, 862), (11737, 17, 862)], 0.6012001, 'xrule'), ([(11322, 85, 434), (11737, 85, 434), (11322, 43, 141)], 0.5102005, 'xrule'), ([(2497, 17, 862), (2497, 43, 141), (11737, 17, 862)], 0.38040066, 'xrule'), ([(9916, 48, 1124), (9916, 43, 141), (11737, 48, 1124)], 0.30340004, 'xrule'), ([(2492, 85, 434), (2492, 43, 141), (11737, 85, 434)], -0.12909985, 'xrule'), ([(11737, 24, 249)], -0.36045737903208747, 521.4108488418851), ([(1254, 17, 862), (1254, 43, 141), (11737, 17, 862)], -0.49450016, 'xrule'), ([(1254, 85, 434), (1254, 43, 141), (11737, 85, 434)], -0.6595001, 'xrule'), ([(13653, 17, 862), (13653, 43, 141), (11737, 17, 862)], -0.98139954, 'xrule'), ([(9916, 17, 862), (9916, 43, 141), (11737, 17, 862)], -2.1759996, 'xrule'), ([(7662, 43, 141), (11737, 48, 1124), (7662, 48, 1124)], -2.4784994, 'xrule'), ([(13653, 85, 434), (13653, 43, 141), (11737, 85, 434)], -3.1865997, 'xrule')]",1.0,2,"(11737, 43, 141)"
"[3.5845227, 4.492798]","[1, 1]",11,9.085274,4.03866,"[([(2899, 83, 2900), (2899, 46, 9740)], 0.832161950724029, 12278.696811858781), ([(9893, 25, 62), (32, 15, 9893), (2899, 16, 32)], 0.011799812, 'xrule'), ([(2899, 16, 32), (10315, 25, 62), (10315, 48, 32)], -0.03390026, 'xrule'), ([(7919, 25, 62), (2899, 16, 32), (7919, 48, 32)], -0.052700043, 'xrule'), ([(7638, 25, 62), (32, 15, 7638), (2899, 16, 32)], -0.26270008, 'xrule'), ([(2899, 16, 32), (2002, 25, 62), (2002, 48, 32)], -0.4883995, 'xrule'), ([(4332, 25, 62), (2899, 16, 32), (4332, 133, 32), (32, 15, 4332)], -0.64939976, 'xrule'), ([(32, 15, 12743), (12743, 25, 62), (2899, 16, 32), (12743, 133, 32)], -1.0552998, 'xrule'), ([(13520, 25, 62), (32, 15, 13520), (2899, 16, 32)], -1.7817001, 'xrule'), ([(9060, 25, 62), (32, 15, 9060), (2899, 16, 32)], -1.8415995, 'xrule'), ([(2899, 16, 32), (32, 15, 12724), (12724, 25, 62)], -2.6713, 'xrule')]",1.0,1,"(2899, 25, 62)"
"[0.32879037, 0.9477027]","[2, 1]",11,3.7558599,0.63824654,"[([(77, 7, 4551)], 1.5393076630382936, 10900.823364047264), ([(1004, 34, 90), (1004, 26, 1098), (4551, 34, 90)], -0.3238001, 'xrule'), ([(9943, 26, 1098), (4551, 26, 64), (9943, 26, 64)], -1.1528006, 'xrule'), ([(1004, 31, 163), (1004, 26, 1098), (4551, 31, 163)], -1.4357004, 'xrule'), ([(4551, 26, 64), (1004, 26, 1098), (1004, 26, 64)], -2.1007004, 'xrule'), ([(4551, 26, 64), (5092, 26, 1098), (5092, 26, 64)], -2.3781004, 'xrule'), ([(5092, 31, 163), (5092, 26, 1098), (4551, 31, 163)], -2.4771004, 'xrule'), ([(2908, 26, 64), (4551, 26, 64), (2908, 26, 1098)], -2.5278997, 'xrule'), ([(4232, 31, 163), (4232, 26, 1098), (4551, 31, 163)], -3.0974998, 'xrule'), ([(4232, 34, 90), (4232, 26, 1098), (4551, 34, 90)], -3.2385006, 'xrule'), ([(533, 34, 90), (4551, 34, 90), (533, 26, 1098)], -4.0128, 'xrule')]",1.5,2,"(4551, 26, 1098)"
"[5.403045, 3.9911299]","[307, 2]",11,8.62182,4.6970873,"[([(32, 87, 4938), (12379, 133, 32), (4938, 120, 791)], 0.8786001, 'xrule'), ([(3627, 120, 791), (3627, 25, 62), (12379, 25, 62)], 0.73219967, 'xrule'), ([(12379, 133, 32), (32, 15, 4031), (4031, 133, 32), (4031, 120, 791)], 0.2222004, 'xrule'), ([(12379, 133, 32)], 0.0970306797403565, 1464.5242386457692), ([(4717, 120, 791), (12379, 25, 62), (4717, 25, 62)], -0.074700356, 'xrule'), ([(5384, 25, 62), (5384, 120, 791), (12379, 25, 62)], -0.35459995, 'xrule'), ([(2851, 133, 32), (12379, 133, 32), (2851, 120, 791), (32, 15, 2851)], -0.6194, 'xrule'), ([(12379, 133, 32), (32, 15, 4717), (4717, 120, 791)], -0.80490017, 'xrule'), ([(12379, 133, 32), (3627, 120, 791), (32, 15, 3627)], -1.0832996, 'xrule'), ([(12379, 133, 32), (4994, 133, 32), (32, 15, 4994), (4994, 120, 791)], -1.7862997, 'xrule'), ([(12379, 133, 32), (532, 120, 791), (532, 133, 32)], -1.9917002, 'xrule')]",154.5,1,"(12379, 120, 791)"
"[0.29327872, 0.37063655]","[1, 1]",2,5.3139343,0.33195764,"[([(32, 15, 2607), (572, 106, 2607), (6597, 6, 572), (2607, 133, 32)], 0.85130024, 'xrule'), ([(6597, 66, 592)], -0.2977122851400113, 8611.426116819111)]",1.0,1,"(6597, 48, 32)"
"[0.62494963, 0.3085637]","[4, 3]",11,3.4511123,0.46675667,"[([(2473, 35, 2589), (2473, 35, 2792), (5745, 35, 2792)], 2.2412996, 'xrule'), ([(688, 35, 2589), (688, 35, 2792), (5745, 35, 2792)], 2.2382002, 'xrule'), ([(4979, 64, 4734), (4979, 35, 2589), (4734, 64, 4979), (4734, 64, 5745)], 1.0881996, 'xrule'), ([(4734, 64, 2473), (2473, 35, 2589), (2473, 64, 4734), (4734, 64, 5745)], 1.0137005, 'xrule'), ([(2473, 64, 5745), (2473, 35, 2589), (5745, 64, 2473)], 0.81410027, 'xrule'), ([(2589, 118, 774), (2792, 118, 774), (5745, 35, 2792)], 0.7080002, 'xrule'), ([(4979, 35, 2589), (4979, 35, 2792), (5745, 35, 2792)], 0.5938997, 'xrule'), ([(2589, 18, 1771), (2792, 18, 1771), (5745, 35, 2792)], 0.5860996, 'xrule'), ([(2473, 64, 4979), (4979, 35, 2589), (4979, 64, 2473), (2473, 64, 5745), (5745, 64, 2473)], -0.14289951, 'xrule'), ([(5745, 35, 611), (2589, 18, 1771), (611, 18, 1771)], -1.3885002, 'xrule'), ([(4733, 64, 5745)], -1.5330118447888312, 1758.1775534342405)]",3.5,9,"(5745, 35, 2589)"
"[3.8622608, 3.8657603]","[1, 1]",13,9.557828,3.8640106,"[([(966, 43, 141), (6443, 25, 62), (966, 25, 62)], 3.5899, 'xrule'), ([(806, 17, 2006), (806, 43, 141), (6443, 17, 2006)], 2.8581, 'xrule'), ([(6443, 25, 62), (1451, 43, 141), (1451, 25, 62)], 2.1913996, 'xrule'), ([(1627, 43, 141), (6443, 25, 62), (1627, 25, 62)], 1.8389997, 'xrule'), ([(2118, 43, 141), (2118, 25, 62), (6443, 25, 62)], 1.0074997, 'xrule'), ([(6443, 17, 2006), (966, 17, 2006), (966, 43, 141)], 0.9708996, 'xrule'), ([(2373, 17, 2006), (2373, 43, 141), (6443, 17, 2006)], 0.17939949, 'xrule'), ([(1215, 43, 141), (6443, 25, 62), (1215, 25, 62)], 0.032699585, 'xrule'), ([(6443, 21, 8171)], -0.1467856958769607, 1283.4633693129313), ([(1325, 25, 62), (6443, 25, 62), (1325, 43, 141)], -0.3327999, 'xrule'), ([(2287, 43, 141), (6443, 25, 62), (2287, 25, 62)], -0.7069998, 'xrule'), ([(1001, 43, 141), (1001, 25, 62), (6443, 25, 62)], -0.7392998, 'xrule'), ([(2373, 43, 141), (6443, 21, 1943), (2373, 21, 1943)], -1.2833004, 'xrule')]",1.0,1,"(6443, 43, 141)"
"[6.5924454, 6.63491]","[1, 1]",8,13.831659,6.613678,"[([(3466, 23, 57), (57, 25, 62), (3466, 15, 11326)], 2.9685993, 'xrule'), ([(3466, 234, 90), (90, 25, 62), (3466, 139, 90), (3466, 206, 90), (3466, 15, 11326)], 0.9633999, 'xrule'), ([(3466, 15, 11889), (11889, 25, 62), (3466, 15, 11326)], 0.8430996, 'xrule'), ([(3573, 218, 3466), (3573, 25, 62), (3466, 15, 11326)], -0.10200024, 'xrule'), ([(3466, 15, 11326)], -0.12406059066854691, 3.46902456079866), ([(3466, 54, 4965), (3466, 15, 4965), (4965, 133, 3466), (4965, 25, 62), (3466, 15, 11326)], -0.14700031, 'xrule'), ([(526, 29, 3466), (526, 25, 62), (3466, 15, 11326)], -0.50320053, 'xrule'), ([(12330, 25, 62), (3466, 15, 12330), (3466, 15, 11326)], -0.8517008, 'xrule')]",1.0,1,"(11326, 25, 62)"
