new_ranks,exp,new_rank,original_score,new_scores,facts,new_score,original_rank,prediction,exp_length
[1],[],1.0,1.3795589438814204e-05,[0.15056678652763367],[],0.15056678652763367,1,"(6976, 11, 7956)",0
[7],[],7.0,2.871291258088604e-07,[1.42289778182203e-07],[],1.42289778182203e-07,1,"(5627, 10, 7830)",0
[5],[],5.0,9.579575355189718e-09,[1.3307490576153214e-07],[],1.3307490576153214e-07,1,"(5586, 10, 7830)",0
[1],[],1.0,0.07337050884962082,[0.22926127910614014],[],0.22926127910614014,1,"(5586, 12, 4492)",0
[11],[],11.0,0.00042496295645833015,[1.4187873603077605e-05],[],1.4187873603077605e-05,1,"(6900, 8, 7393)",0
[3],[],3.0,4.1949319573575394e-09,[8.278598215838429e-07],[],8.278598215838429e-07,1,"(5645, 10, 7830)",0
[3],[],3.0,0.0008862688555382192,[0.0011481986148282886],[],0.0011481986148282886,1,"(5844, 8, 7427)",0
[3],[],3.0,7.97808897914365e-05,[0.002249140525236726],[],0.002249140525236726,1,"(4870, 9, 8151)",0
[6],[],6.0,0.00014518971147481352,[0.00372664094902575],[],0.00372664094902575,1,"(6054, 9, 8151)",0
[2],[],2.0,0.014452626928687096,[0.0003831993672065437],[],0.0003831993672065437,1,"(6205, 8, 7410)",0
[1],[],1.0,0.00012833354412578046,[0.07888142019510269],[],0.07888142019510269,1,"(6004, 11, 7956)",0
[3],[],3.0,0.0002951537608169019,[0.009056976065039635],[],0.009056976065039635,1,"(6263, 11, 8038)",0
[1],[],1.0,4.18413728766609e-05,[0.016138799488544464],[],0.016138799488544464,1,"(6344, 11, 7956)",0
[7],[],7.0,1.2131610382937197e-08,[1.0155135043987684e-07],[],1.0155135043987684e-07,1,"(6914, 10, 7830)",0
[5],[],5.0,1.025166298518343e-07,[1.4657362612524594e-07],[],1.4657362612524594e-07,1,"(7788, 10, 7830)",0
[3],[],3.0,0.00044393775169737637,[0.0013413630658760667],[],0.0013413630658760667,1,"(6437, 11, 8038)",0
[5],[],5.0,2.1284087381445715e-08,[2.1703699815134314e-07],[],2.1703699815134314e-07,1,"(5920, 10, 7830)",0
[5],[],5.0,3.360280231845536e-08,[1.530609381461545e-07],[],1.530609381461545e-07,1,"(6848, 10, 7830)",0
[7],[],7.0,0.0038276715204119682,[4.45615041826386e-05],[],4.45615041826386e-05,1,"(7080, 8, 7410)",0
[16],[],16.0,0.001694337697699666,[2.746061363723129e-05],[],2.746061363723129e-05,1,"(5517, 9, 7903)",0
[85],[],85.0,0.00016190372116398066,[1.9432089715110124e-08],[],1.9432089715110124e-08,1,"(7097, 8, 7567)",0
[2],[],2.0,0.011794748716056347,[0.001227254862897098],[],0.001227254862897098,1,"(5756, 8, 7410)",0
[3],[],3.0,1.2339714885456488e-05,[0.00099647615570575],[],0.00099647615570575,1,"(6394, 11, 8038)",0
[4],[],4.0,0.002314773853868246,[9.221126674674451e-05],[],9.221126674674451e-05,1,"(5447, 8, 7410)",0
[1],[],1.0,2.1323852706700563e-05,[0.044792093336582184],[],0.044792093336582184,1,"(7125, 11, 7956)",0
[1],[],1.0,0.00013240447151474655,[0.429766446352005],[],0.429766446352005,1,"(5627, 11, 7956)",0
[4],[],4.0,0.0005110133206471801,[0.0009831823408603668],[],0.0009831823408603668,1,"(6722, 8, 7427)",0
[8],[],8.0,0.023995403200387955,[1.4183663097355748e-06],[],1.4183663097355748e-06,1,"(4870, 8, 7567)",0
[4],[],4.0,2.007188548702743e-08,[6.971571337999194e-07],[],6.971571337999194e-07,1,"(6213, 10, 7830)",0
[7],[],7.0,8.690136610312038e-09,[2.5578687612437534e-08],[],2.5578687612437534e-08,1,"(7499, 10, 7830)",0
[3],[],3.0,0.00019900716142728925,[0.0008572742808610201],[],0.0008572742808610201,1,"(5930, 8, 7427)",0
[5],[],5.0,8.622164315852388e-09,[2.4167539436348306e-07],[],2.4167539436348306e-07,1,"(6983, 10, 7830)",0
[5],[],5.0,9.566154979268049e-09,[8.455561584241877e-08],[],8.455561584241877e-08,1,"(6300, 10, 7830)",0
[12],[],12.0,0.003208134090527892,[3.078219776853075e-07],[],3.078219776853075e-07,1,"(7335, 8, 7410)",0
[8],[],8.0,0.0042869639582931995,[4.4153555791126564e-05],[],4.4153555791126564e-05,1,"(7058, 8, 7410)",0
[10],[],10.0,0.0011432610917836428,[0.0001618770183995366],[],0.0001618770183995366,1,"(5897, 8, 7410)",0
[14],[],14.0,0.0004672103968914598,[0.0002190607483498752],[],0.0002190607483498752,1,"(6083, 9, 8418)",0
[3],[],3.0,1.0907464265130784e-08,[2.679716715192626e-07],[],2.679716715192626e-07,1,"(7065, 10, 7830)",0
[1],[],1.0,3.7333531508920714e-05,[0.0688319280743599],[],0.0688319280743599,1,"(7289, 11, 7956)",0
[2],[],2.0,5.255751602817327e-06,[0.0017298992024734616],[],0.0017298992024734616,1,"(6966, 11, 8038)",0
[5],[],5.0,3.855851460343729e-08,[1.605929043080323e-07],[],1.605929043080323e-07,1,"(7751, 10, 7830)",0
[1],[],1.0,8.646970672998577e-05,[0.03151252120733261],[],0.03151252120733261,1,"(4952, 11, 7956)",0
[1],[],1.0,6.771103926439537e-06,[0.021339230239391327],[],0.021339230239391327,1,"(4777, 11, 7956)",0
[6],[],6.0,4.383919005590542e-08,[1.2864020959568734e-07],[],1.2864020959568734e-07,1,"(4912, 10, 7830)",0
[9],[],9.0,4.9305614084005356e-05,[1.7285733520111535e-06],[],1.7285733520111535e-06,1,"(7392, 8, 7409)",0
[12],[],12.0,0.0023090641479939222,[7.930108267828473e-07],[],7.930108267828473e-07,1,"(7289, 8, 7410)",0
[7],[],7.0,0.0007060354109853506,[6.026369010214694e-05],[],6.026369010214694e-05,1,"(6383, 8, 7427)",0
[6],[],6.0,1.0150869478309232e-08,[1.2195440035611682e-07],[],1.2195440035611682e-07,1,"(5897, 10, 7830)",0
[9],[],9.0,8.857455395627767e-05,[1.3444469004753046e-05],[],1.3444469004753046e-05,1,"(6213, 8, 7410)",0
[2],[],2.0,0.00212707556784153,[0.00675981817767024],[],0.00675981817767024,1,"(5665, 8, 7427)",0
[3],[],3.0,0.010452235117554665,[0.00024006539024412632],[],0.00024006539024412632,1,"(5411, 8, 7410)",0
[18],[],18.0,0.00033357946085743606,[2.352238334424328e-05],[],2.352238334424328e-05,1,"(7610, 9, 7903)",0
[6],[],6.0,0.000957758747972548,[0.008632090874016285],[],0.008632090874016285,1,"(7628, 12, 8676)",0
[2],[],2.0,0.001002475735731423,[0.0043239593505859375],[],0.0043239593505859375,1,"(6105, 8, 7427)",0
[6],[],6.0,5.266637259637719e-08,[1.6889806886410952e-07],[],1.6889806886410952e-07,1,"(7450, 10, 7830)",0
[4],[],4.0,1.688314910097688e-08,[6.838777153461706e-07],[],6.838777153461706e-07,1,"(6263, 10, 7830)",0
[12],[],12.0,0.0002039859682554379,[8.503205322085705e-07],[],8.503205322085705e-07,1,"(6137, 8, 7410)",0
[5],[],5.0,5.568748662199141e-08,[5.466959152045092e-08],[],5.466959152045092e-08,1,"(5067, 10, 7830)",0
