#facts,new_ranks,prediction,new_scores,facts,original_score,new_score,new_rank,original_rank
1,"[3, 8]","(2181, 17, 818)","[0.71247804, 1.2500994]","[(2181, 17, 393)]",9.786621,0.98128873,5.5,60
1,"[1, 1]","(3196, 11, 23)","[0.31959087, 0.37203905]","[(3196, 14, 160)]",5.5365562,0.34581494,1.0,4
1,"[39, 4]","(12232, 33, 90)","[3.3403945, 4.0964484]","[(12232, 120, 791)]",6.379358,3.7184215,21.5,1
1,"[1, 1]","(9329, 172, 2759)","[0.7781686, 0.6358874]","[(9329, 30, 1121)]",2.8489885,0.70702803,1.0,1
1,"[1, 1]","(738, 115, 6114)","[0.26286602, 0.22136725]","[(738, 14, 160)]",5.4222198,0.24211663,1.0,1
1,"[1, 2]","(8753, 10, 2875)","[0.82004213, 2.2548034]","[(8753, 10, 1171)]",3.1120298,1.5374228,1.5,1
1,"[1, 1]","(5263, 48, 32)","[0.33465248, 0.39604226]","[(6021, 12, 5263)]",6.4752617,0.3653474,1.0,1
1,"[6, 1]","(148, 26, 1098)","[0.21676481, 0.28935224]","[(148, 28, 32)]",4.163462,0.25305852,3.5,2
1,"[220, 1]","(1927, 212, 4563)","[2.5104246, 1.1808282]","[(1927, 43, 141)]",8.3503,1.8456264,110.5,2
1,"[4, 3]","(5819, 13, 68)","[0.17360713, 0.18089548]","[(5819, 13, 449)]",2.024353,0.17725131,3.5,3
1,"[4, 2]","(8165, 106, 592)","[0.5196148, 0.18306497]","[(8165, 34, 90)]",3.294287,0.35133988,3.0,3
1,"[1, 1]","(8023, 120, 791)","[2.5216253, 2.7642655]","[(7935, 83, 8023)]",7.7777796,2.6429453,1.0,1
1,"[1, 1]","(8848, 34, 90)","[0.35757756, 0.37859076]","[(8848, 14, 160)]",5.6515408,0.36808416,1.0,1
1,"[1, 1]","(10221, 25, 62)","[2.3880482, 2.5967753]","[(9092, 226, 10221)]",11.653254,2.4924116,1.0,1
1,"[2, 1]","(7664, 26, 342)","[0.13345659, 0.22403756]","[(7664, 26, 1960)]",3.449703,0.17874707,1.5,6
1,"[1, 5]","(8397, 80, 344)","[1.452551, 2.709661]","[(8397, 95, 926)]",3.8528743,2.081106,3.0,1
1,"[53, 604]","(5302, 122, 3325)","[0.7766477, 0.8556044]","[(229, 66, 5302)]",5.7174397,0.81612605,328.5,338
1,"[2, 6]","(4945, 17, 871)","[1.4373437, 1.3130376]","[(4945, 17, 862)]",7.1802206,1.3751907,4.0,6
1,"[2, 1]","(552, 26, 64)","[0.13014947, 0.14628646]","[(552, 34, 90)]",4.1493998,0.13821796,1.5,2
1,"[2, 2]","(9906, 43, 141)","[0.3667991, 0.45913583]","[(7366, 3, 9906)]",9.394058,0.41296744,2.0,2
1,"[1, 1]","(9530, 48, 32)","[3.514599, 2.2761288]","[(9530, 85, 434)]",8.240005,2.8953638,1.0,1
1,"[1, 1]","(7155, 25, 62)","[6.653387, 6.9688363]","[(7155, 67, 911)]",15.6308975,6.8111115,1.0,3
1,"[1, 4]","(3861, 14, 160)","[0.19298844, 0.23036364]","[(3861, 26, 990)]",2.8738413,0.21167603,2.5,1
1,"[1, 1]","(1392, 43, 141)","[2.2059276, 2.85566]","[(1392, 179, 98)]",9.411259,2.5307937,1.0,1
1,"[2, 2]","(10238, 85, 434)","[1.6604679, 0.9564805]","[(10238, 100, 160)]",7.8994675,1.3084742,2.0,2
1,"[1, 3]","(1897, 14, 160)","[0.20999157, 0.26956284]","[(1897, 31, 4)]",4.157199,0.2397772,2.0,2
1,"[1, 1]","(1432, 98, 8236)","[0.91304445, 1.6355426]","[(1432, 98, 556)]",3.708118,1.2742935,1.0,1
1,"[1, 2]","(8789, 17, 862)","[0.31049827, 0.63963664]","[(8789, 43, 141)]",6.1907783,0.47506744,1.5,26
1,"[3, 6]","(1259, 13, 202)","[0.27239352, 0.35480145]","[(1259, 13, 1682)]",4.5881968,0.3135975,4.5,7
1,"[1, 1]","(4819, 85, 434)","[0.77361155, 1.79773]","[(4819, 43, 141)]",7.894772,1.2856708,1.0,1
1,"[1, 1]","(4123, 172, 1978)","[1.1332967, 0.9884329]","[(4123, 101, 1800)]",3.0339537,1.0608648,1.0,1
1,"[1, 1]","(1309, 25, 62)","[6.007824, 4.9447317]","[(32, 15, 1309)]",12.2361145,5.476278,1.0,1
1,"[10, 11]","(3866, 28, 274)","[0.43377787, 0.6671809]","[(3866, 28, 382)]",5.9332037,0.5504794,10.5,14
1,"[1, 2]","(8425, 124, 4722)","[0.6136755, 0.6719512]","[(8425, 124, 2846)]",3.366718,0.6428133,1.5,5
1,"[1, 1]","(11039, 43, 141)","[0.71480083, 1.0572959]","[(11039, 85, 434)]",5.5954394,0.8860484,1.0,1
1,"[1, 2]","(7474, 85, 434)","[1.0903896, 1.8780303]","[(7474, 19, 838)]",9.356104,1.48421,1.5,3
1,"[1, 1]","(1431, 91, 494)","[0.34332877, 0.659657]","[(1925, 145, 1431)]",4.5499496,0.50149286,1.0,1
1,"[5, 1]","(1598, 26, 342)","[0.30420247, 0.33059847]","[(1598, 26, 990)]",4.9227076,0.31740046,3.0,4
1,"[1, 2]","(6433, 85, 434)","[0.88924384, 2.2261522]","[(6433, 102, 11715)]",8.570226,1.557698,1.5,1
1,"[1, 2]","(1956, 98, 8986)","[0.99572814, 1.7558597]","[(1956, 98, 3175)]",3.3958833,1.3757939,1.5,1
1,"[2, 4]","(9448, 0, 4494)","[0.84239364, 1.036389]","[(9448, 0, 1)]",2.8390942,0.9393913,3.0,1
1,"[1, 2]","(7729, 43, 141)","[0.48621598, 0.44660884]","[(7729, 85, 1665)]",6.228981,0.46641243,1.5,1
1,"[2, 14]","(5958, 13, 308)","[0.11364563, 0.23266508]","[(5958, 13, 1405)]",2.5320902,0.17315535,8.0,19
1,"[1, 1]","(4282, 25, 62)","[1.9128996, 1.4329984]","[(4282, 13, 32)]",13.760386,1.6729491,1.0,1
1,"[1, 1]","(7349, 11, 23)","[0.18492912, 0.2618782]","[(7349, 26, 990)]",5.4507256,0.22340366,1.0,2
1,"[1, 3]","(4270, 14, 160)","[0.25909284, 0.33558336]","[(4270, 141, 4480)]",5.48673,0.2973381,2.0,1
1,"[1, 1]","(5563, 34, 90)","[0.26380756, 0.20069146]","[(5563, 11, 23)]",3.426412,0.23224951,1.0,1
1,"[1, 1]","(1174, 60, 90)","[0.2129072, 0.2594524]","[(1174, 6, 7867)]",5.8760414,0.2361798,1.0,1
1,"[2, 2]","(7448, 43, 141)","[1.5512551, 1.3000529]","[(6349, 97, 7448)]",14.561535,1.4256539,2.0,2102
1,"[2, 1]","(12589, 43, 141)","[1.8403792, 1.1195014]","[(12589, 48, 32)]",8.304846,1.4799403,1.5,1
1,"[1, 1]","(2302, 60, 90)","[0.21541908, 0.2544989]","[(1612, 77, 2302)]",3.670332,0.23495899,1.0,1
