original_rank,original_score,exp,facts,new_ranks,new_rank,new_scores,new_score,prediction,exp_length
1,0.00016445291112177074,"[(24811, 2, 30), (13740, 8, 7408), (5110, 3, 40), (24811, 8, 7408), (5110, 2, 30), (24811, 3, 40), (5110, 3, 75), (8287, 8, 7408), (13740, 3, 40), (25188, 3, 75), (25188, 8, 7408), (8287, 3, 75)]","[([(5110, 2, 30), (24811, 2, 30), (24811, 8, 7408)], 0.0074000005, 'xrule'), ([(24811, 3, 40), (5110, 3, 40), (24811, 8, 7408)], 0.0067000007, 'xrule'), ([(8287, 8, 7408), (5110, 3, 75), (8287, 3, 75)], 0.0062000006, 'xrule'), ([(5110, 3, 75), (25188, 3, 75), (25188, 8, 7408)], 0.0061000003, 'xrule'), ([(13740, 3, 40), (13740, 8, 7408), (5110, 3, 40)], 0.0059, 'xrule')]",[4],4.0,[1.1696008641592925e-06],1.1696008641592925e-06,"(5110, 8, 7408)",12
1,5.2181261708028615e-05,"[(18317, 3, 6), (18317, 11, 7956), (22315, 11, 7956), (14020, 3, 6), (22315, 3, 6), (19469, 3, 6), (12095, 11, 7956), (12095, 3, 6), (19469, 11, 7956), (7177, 3, 6), (14020, 11, 7956)]","[([(12095, 3, 6), (7177, 3, 6), (12095, 11, 7956)], 0.0, 'xrule'), ([(14020, 3, 6), (7177, 3, 6), (14020, 11, 7956)], 0.0, 'xrule'), ([(18317, 3, 6), (18317, 11, 7956), (7177, 3, 6)], 0.0, 'xrule'), ([(19469, 11, 7956), (7177, 3, 6), (19469, 3, 6)], 0.0, 'xrule'), ([(7177, 3, 6), (22315, 3, 6), (22315, 11, 7956)], 0.0, 'xrule')]",[1],1.0,[0.9991546869277954],0.9991546869277954,"(7177, 11, 7956)",11
1,0.00012008265184704214,"[(22161, 2, 728), (7536, 3, 506), (22161, 2, 30), (19798, 12, 4492), (7536, 2, 30), (22161, 12, 4492), (22161, 2, 68), (7536, 2, 728), (19798, 2, 30), (7536, 2, 68), (22161, 3, 506)]","[([(22161, 12, 4492), (22161, 2, 30), (7536, 2, 30)], 0.0, 'xrule'), ([(22161, 2, 68), (7536, 2, 68), (22161, 12, 4492)], 0.0, 'xrule'), ([(22161, 3, 506), (22161, 12, 4492), (7536, 3, 506)], 0.0, 'xrule'), ([(22161, 12, 4492), (22161, 2, 728), (7536, 2, 728)], 0.0, 'xrule'), ([(19798, 12, 4492), (19798, 2, 30), (7536, 2, 30)], 0.0, 'xrule')]",[6],6.0,[0.0009589088149368763],0.0009589088149368763,"(7536, 12, 4492)",11
1,5.526598068072985e-10,"[(19469, 3, 7), (9658, 10, 7830), (19568, 3, 7), (18840, 10, 7830), (7182, 3, 7), (19469, 10, 7830), (7182, 2, 266), (15851, 3, 7), (19568, 10, 7830), (9658, 2, 266), (15851, 10, 7830), (18840, 3, 7)]","[([(15851, 3, 7), (7182, 3, 7), (15851, 10, 7830)], 0.0, 'xrule'), ([(7182, 3, 7), (18840, 3, 7), (18840, 10, 7830)], 0.0, 'xrule'), ([(19469, 3, 7), (7182, 3, 7), (19469, 10, 7830)], 0.0, 'xrule'), ([(19568, 10, 7830), (7182, 3, 7), (19568, 3, 7)], 0.0, 'xrule'), ([(9658, 2, 266), (9658, 10, 7830), (7182, 2, 266)], 0.0, 'xrule')]",[1],1.0,[0.9971524477005005],0.9971524477005005,"(7182, 10, 7830)",12
1,0.07745267450809479,"[(21865, 8, 7567), (20598, 8, 7567), (5234, 3, 39), (20598, 2, 30), (24893, 2, 30), (5234, 2, 30), (24893, 2, 68), (24893, 8, 7567), (21865, 3, 39), (5234, 2, 68), (21865, 2, 68)]","[([(5234, 3, 39), (21865, 3, 39), (21865, 8, 7567)], 0.01999998, 'xrule'), ([(21865, 8, 7567), (21865, 2, 68), (5234, 2, 68)], 0.018299997, 'xrule'), ([(5234, 2, 30), (20598, 8, 7567), (20598, 2, 30)], 0.0031000376, 'xrule'), ([(24893, 2, 68), (24893, 8, 7567), (5234, 2, 68)], -0.000100016594, 'xrule'), ([(5234, 2, 30), (24893, 2, 30), (24893, 8, 7567)], -0.0027999878, 'xrule')]",[10],10.0,[2.613876688428718e-07],2.613876688428718e-07,"(5234, 8, 7567)",11
1,0.00010146859858650714,"[(23960, 3, 37), (23960, 2, 30), (5110, 3, 37), (5110, 2, 30), (17391, 3, 37), (23960, 1, 65), (23960, 8, 7593), (5110, 3, 39), (17391, 8, 7593), (5110, 1, 65), (22987, 8, 7593), (22987, 3, 39)]","[([(5110, 1, 65), (23960, 1, 65), (23960, 8, 7593)], -0.0027999878, 'xrule'), ([(22987, 8, 7593), (5110, 3, 39), (22987, 3, 39)], -0.0045000315, 'xrule'), ([(23960, 8, 7593), (23960, 3, 37), (5110, 3, 37)], -0.0065000057, 'xrule'), ([(23960, 8, 7593), (5110, 2, 30), (23960, 2, 30)], -0.008000016, 'xrule'), ([(17391, 3, 37), (17391, 8, 7593), (5110, 3, 37)], -0.012400031, 'xrule')]",[10],10.0,[1.7905442462051724e-07],1.7905442462051724e-07,"(5110, 8, 7593)",12
1,4.245953633130739e-08,"[(16865, 2, 31), (9705, 2, 31), (11081, 10, 7830), (11081, 2, 31), (15126, 10, 7830), (12545, 10, 7830), (15126, 2, 31), (12545, 2, 31), (7365, 2, 31), (16865, 10, 7830), (9705, 10, 7830)]","[([(7365, 2, 31), (9705, 2, 31), (9705, 10, 7830)], 0.0, 'xrule'), ([(11081, 2, 31), (7365, 2, 31), (11081, 10, 7830)], 0.0, 'xrule'), ([(12545, 2, 31), (7365, 2, 31), (12545, 10, 7830)], 0.0, 'xrule'), ([(15126, 10, 7830), (7365, 2, 31), (15126, 2, 31)], 0.0, 'xrule'), ([(16865, 2, 31), (7365, 2, 31), (16865, 10, 7830)], 0.0, 'xrule')]",[1],1.0,[0.8401666879653931],0.8401666879653931,"(7365, 10, 7830)",11
1,4.635970981325954e-05,"[(7833, 8, 7429), (7833, 3, 7), (6383, 3, 7), (6383, 3, 476), (7833, 3, 476), (24070, 3, 732), (8641, 8, 7429), (8641, 2, 68), (7769, 3, 6), (6383, 2, 68), (6383, 3, 6), (6383, 3, 732), (7769, 8, 7429), (24070, 8, 7429)]","[([(6383, 2, 68), (8641, 8, 7429), (8641, 2, 68)], 0.2809, 'xrule'), ([(6383, 3, 476), (7833, 8, 7429), (7833, 3, 476)], 0.12650001, 'xrule'), ([(7833, 8, 7429), (7833, 3, 7), (6383, 3, 7)], 0.08399999, 'xrule'), ([(24070, 3, 732), (6383, 3, 732), (24070, 8, 7429)], 0.07380003, 'xrule'), ([(6383, 3, 6), (7769, 8, 7429), (7769, 3, 6)], 0.061399996, 'xrule')]",[1],1.0,[3.201995787094347e-05],3.201995787094347e-05,"(6383, 8, 7429)",14
1,0.013211838901042938,"[(5849, 3, 7), (23993, 8, 7410), (23950, 2, 31), (25165, 8, 7410), (23993, 2, 31), (5849, 2, 68), (23950, 8, 7410), (9990, 8, 7410), (23950, 3, 7), (5849, 2, 31), (25165, 2, 68), (9990, 2, 31)]","[([(5849, 2, 68), (25165, 8, 7410), (25165, 2, 68)], 0.3477, 'xrule'), ([(5849, 2, 31), (9990, 8, 7410), (9990, 2, 31)], 0.2855, 'xrule'), ([(5849, 3, 7), (23950, 8, 7410), (23950, 3, 7)], 0.2733, 'xrule'), ([(5849, 2, 31), (23993, 8, 7410), (23993, 2, 31)], 0.2231, 'xrule'), ([(5849, 2, 31), (23950, 2, 31), (23950, 8, 7410)], 0.1737, 'xrule')]",[3],3.0,[1.362897023682308e-06],1.362897023682308e-06,"(5849, 8, 7410)",12
1,3.285558847210268e-08,"[(17533, 10, 7830), (19523, 10, 7830), (6004, 2, 31), (15042, 2, 31), (19523, 2, 31), (17711, 10, 7830), (17444, 10, 7830), (17533, 2, 31), (17711, 2, 31), (17444, 2, 31), (15042, 10, 7830)]","[([(6004, 2, 31), (15042, 2, 31), (15042, 10, 7830)], 0.0, 'xrule'), ([(6004, 2, 31), (17444, 2, 31), (17444, 10, 7830)], 0.0, 'xrule'), ([(6004, 2, 31), (17533, 10, 7830), (17533, 2, 31)], 0.0, 'xrule'), ([(6004, 2, 31), (17711, 2, 31), (17711, 10, 7830)], 0.0, 'xrule'), ([(6004, 2, 31), (19523, 10, 7830), (19523, 2, 31)], 0.0, 'xrule')]",[1],1.0,[0.9701331257820129],0.9701331257820129,"(6004, 10, 7830)",11
1,0.026959797367453575,"[(5781, 3, 434), (9668, 1, 65), (9668, 2, 31), (21069, 3, 434), (15535, 3, 41), (24915, 2, 31), (5781, 3, 41), (24915, 8, 7410), (5781, 2, 31), (5781, 1, 65), (15535, 8, 7410), (21069, 8, 7410), (9668, 8, 7410)]","[([(15535, 8, 7410), (15535, 3, 41), (5781, 3, 41)], -0.0005000001, 'xrule'), ([(21069, 3, 434), (21069, 8, 7410), (5781, 3, 434)], -0.0015000002, 'xrule'), ([(24915, 2, 31), (24915, 8, 7410), (5781, 2, 31)], -0.0022999998, 'xrule'), ([(9668, 8, 7410), (9668, 1, 65), (5781, 1, 65)], -0.0028, 'xrule'), ([(5781, 2, 31), (9668, 2, 31), (9668, 8, 7410)], -0.0037000002, 'xrule')]",[2],2.0,[5.166764367459109e-06],5.166764367459109e-06,"(5781, 8, 7410)",13
1,0.00015194447769317776,"[(11978, 11, 8038), (24014, 11, 8038), (11978, 2, 30), (24014, 4, 66), (9725, 11, 8038), (11340, 11, 8038), (11340, 4, 66), (5575, 2, 30), (9725, 2, 30), (11340, 2, 30), (5575, 4, 66)]","[([(11340, 11, 8038), (5575, 4, 66), (11340, 4, 66)], 0.0, 'xrule'), ([(24014, 11, 8038), (24014, 4, 66), (5575, 4, 66)], 0.0, 'xrule'), ([(9725, 11, 8038), (5575, 2, 30), (9725, 2, 30)], 0.0, 'xrule'), ([(11340, 11, 8038), (11340, 2, 30), (5575, 2, 30)], 0.0, 'xrule'), ([(11978, 11, 8038), (11978, 2, 30), (5575, 2, 30)], 0.0, 'xrule')]",[4],4.0,[0.00043556702439673245],0.00043556702439673245,"(5575, 11, 8038)",11
1,0.0005842457758262753,"[(4882, 1, 65), (23286, 1, 65), (4882, 3, 279), (23286, 8, 7410), (21519, 8, 7410), (4882, 2, 31), (8704, 8, 7410), (21519, 1, 65), (4882, 3, 149), (20364, 8, 7410), (20364, 3, 149), (8704, 2, 31), (21519, 3, 279)]","[([(21519, 8, 7410), (21519, 3, 279), (4882, 3, 279)], 0.0055000004, 'xrule'), ([(4882, 2, 31), (8704, 8, 7410), (8704, 2, 31)], 0.0052000005, 'xrule'), ([(4882, 1, 65), (21519, 8, 7410), (21519, 1, 65)], 0.0051, 'xrule'), ([(4882, 1, 65), (23286, 8, 7410), (23286, 1, 65)], 0.0050000004, 'xrule'), ([(20364, 8, 7410), (20364, 3, 149), (4882, 3, 149)], 0.0049, 'xrule')]",[3],3.0,[2.347598410779028e-06],2.347598410779028e-06,"(4882, 8, 7410)",13
1,6.148118458781937e-09,"[(7833, 10, 7830), (17022, 2, 31), (21197, 2, 31), (14256, 10, 7830), (17022, 10, 7830), (16033, 2, 31), (14256, 2, 31), (7833, 2, 31), (21197, 10, 7830), (6373, 2, 31), (16033, 10, 7830)]","[([(7833, 10, 7830), (6373, 2, 31), (7833, 2, 31)], 0.0, 'xrule'), ([(14256, 2, 31), (6373, 2, 31), (14256, 10, 7830)], 0.0, 'xrule'), ([(6373, 2, 31), (16033, 10, 7830), (16033, 2, 31)], 0.0, 'xrule'), ([(17022, 2, 31), (6373, 2, 31), (17022, 10, 7830)], 0.0, 'xrule'), ([(6373, 2, 31), (21197, 2, 31), (21197, 10, 7830)], 0.0, 'xrule')]",[1],1.0,[0.9790138602256775],0.9790138602256775,"(6373, 10, 7830)",11
1,0.0015577415470033884,"[(4912, 3, 75), (10213, 2, 31), (21902, 8, 7410), (13216, 8, 7410), (10213, 3, 75), (10213, 8, 7410), (4912, 2, 31), (25452, 8, 7410), (21902, 2, 31), (13216, 3, 75), (25452, 2, 31)]","[([(21902, 2, 31), (21902, 8, 7410), (4912, 2, 31)], 0.0808, 'xrule'), ([(10213, 8, 7410), (10213, 2, 31), (4912, 2, 31)], 0.07639998, 'xrule'), ([(4912, 3, 75), (10213, 8, 7410), (10213, 3, 75)], 0.064799964, 'xrule'), ([(25452, 2, 31), (25452, 8, 7410), (4912, 2, 31)], 0.047199965, 'xrule'), ([(4912, 3, 75), (13216, 3, 75), (13216, 8, 7410)], 0.03399998, 'xrule')]",[5],5.0,[3.18355972694917e-07],3.18355972694917e-07,"(4912, 8, 7410)",11
1,1.0917164061652329e-08,"[(11521, 10, 7830), (8355, 2, 31), (11521, 2, 31), (5133, 2, 31), (22027, 3, 1019), (8355, 1, 65), (25478, 1, 65), (8355, 10, 7830), (5133, 3, 1019), (25478, 10, 7830), (5133, 1, 65), (22027, 10, 7830)]","[([(5133, 3, 1019), (22027, 3, 1019), (22027, 10, 7830)], 0.0, 'xrule'), ([(8355, 1, 65), (5133, 1, 65), (8355, 10, 7830)], 0.0, 'xrule'), ([(25478, 10, 7830), (5133, 1, 65), (25478, 1, 65)], 0.0, 'xrule'), ([(5133, 2, 31), (8355, 2, 31), (8355, 10, 7830)], 0.0, 'xrule'), ([(5133, 2, 31), (11521, 10, 7830), (11521, 2, 31)], 0.0, 'xrule')]",[1],1.0,[0.9809694290161133],0.9809694290161133,"(5133, 10, 7830)",12
1,0.022079473361372948,"[(4492, 2, 31), (18763, 12, 4492), (7628, 2, 31), (18763, 3, 6), (12174, 3, 6), (23140, 3, 6), (7628, 3, 6), (12174, 12, 4492), (23140, 12, 4492), (23140, 2, 31)]","[([(7628, 2, 31), (4492, 2, 31)], 0.47580004, 'xrule'), ([(7628, 3, 6), (23140, 12, 4492), (23140, 3, 6)], 0.29440004, 'xrule'), ([(7628, 2, 31), (23140, 12, 4492), (23140, 2, 31)], 0.28470004, 'xrule'), ([(7628, 3, 6), (18763, 12, 4492), (18763, 3, 6)], 0.23540002, 'xrule'), ([(7628, 3, 6), (12174, 3, 6), (12174, 12, 4492)], 0.22280002, 'xrule')]",[1],1.0,[0.10714613646268845],0.10714613646268845,"(7628, 12, 4492)",10
1,5.487277832116888e-08,"[(23725, 3, 6), (23697, 3, 6), (7201, 3, 6), (16033, 3, 6), (10701, 10, 7830), (23725, 10, 7830), (10701, 3, 6), (17035, 10, 7830), (17035, 3, 6), (23697, 10, 7830), (16033, 10, 7830)]","[([(10701, 10, 7830), (7201, 3, 6), (10701, 3, 6)], 0.0, 'xrule'), ([(7201, 3, 6), (16033, 10, 7830), (16033, 3, 6)], 0.0, 'xrule'), ([(17035, 3, 6), (7201, 3, 6), (17035, 10, 7830)], 0.0, 'xrule'), ([(7201, 3, 6), (23697, 10, 7830), (23697, 3, 6)], 0.0, 'xrule'), ([(23725, 10, 7830), (7201, 3, 6), (23725, 3, 6)], 0.0, 'xrule')]",[1],1.0,[0.9825404286384583],0.9825404286384583,"(7201, 10, 7830)",11
1,0.0004571357276290655,"[(12131, 3, 277), (5110, 3, 50), (21063, 8, 7567), (23335, 3, 50), (21063, 3, 276), (5110, 3, 277), (22400, 2, 2028), (22282, 8, 7567), (5110, 3, 75), (23335, 8, 7567), (5110, 2, 2028), (22282, 3, 75), (5110, 3, 276), (22400, 8, 7567), (12131, 8, 7567)]","[([(5110, 2, 2028), (22400, 2, 2028), (22400, 8, 7567)], 0.21310002, 'xrule'), ([(12131, 3, 277), (5110, 3, 277), (12131, 8, 7567)], 0.15169996, 'xrule'), ([(5110, 3, 276), (21063, 8, 7567), (21063, 3, 276)], 0.06909996, 'xrule'), ([(23335, 3, 50), (5110, 3, 50), (23335, 8, 7567)], 0.06709999, 'xrule'), ([(22282, 3, 75), (22282, 8, 7567), (5110, 3, 75)], 0.06279999, 'xrule')]",[4],4.0,[7.412103286696947e-07],7.412103286696947e-07,"(5110, 8, 7567)",15
1,0.00026256981072947383,"[(20684, 11, 8038), (18327, 3, 40), (20684, 3, 40), (6213, 3, 6), (6213, 2, 31), (23552, 3, 6), (23552, 2, 31), (6213, 3, 40), (23552, 11, 8038), (18327, 11, 8038), (23552, 3, 40)]","[([(23552, 3, 40), (6213, 3, 40), (23552, 11, 8038)], 0.0, 'xrule'), ([(18327, 3, 40), (6213, 3, 40), (18327, 11, 8038)], 0.0, 'xrule'), ([(20684, 3, 40), (6213, 3, 40), (20684, 11, 8038)], 0.0, 'xrule'), ([(6213, 3, 6), (23552, 11, 8038), (23552, 3, 6)], 0.0, 'xrule'), ([(23552, 2, 31), (6213, 2, 31), (23552, 11, 8038)], 0.0, 'xrule')]",[4],4.0,[0.009574011899530888],0.009574011899530888,"(6213, 11, 8038)",11
1,4.969827660517012e-09,"[(9644, 2, 31), (18833, 2, 31), (16885, 10, 7830), (16908, 10, 7830), (16885, 2, 31), (5593, 2, 31), (16908, 2, 31), (14094, 10, 7830), (9644, 10, 7830), (14094, 2, 31), (18833, 10, 7830)]","[([(9644, 2, 31), (9644, 10, 7830), (5593, 2, 31)], 0.0, 'xrule'), ([(14094, 10, 7830), (14094, 2, 31), (5593, 2, 31)], 0.0, 'xrule'), ([(16885, 2, 31), (5593, 2, 31), (16885, 10, 7830)], 0.0, 'xrule'), ([(16908, 2, 31), (16908, 10, 7830), (5593, 2, 31)], 0.0, 'xrule'), ([(18833, 2, 31), (18833, 10, 7830), (5593, 2, 31)], 0.0, 'xrule')]",[1],1.0,[0.9210740327835083],0.9210740327835083,"(5593, 10, 7830)",11
1,0.0007456682506017387,"[(25753, 1, 65), (25753, 3, 40), (25753, 8, 7393), (23089, 8, 7393), (19798, 3, 40), (19798, 8, 7393), (5558, 3, 40), (19798, 3, 149), (23089, 3, 149), (5558, 3, 149), (5558, 1, 65)]","[([(5558, 1, 65), (25753, 1, 65), (25753, 8, 7393)], 0.19370002, 'xrule'), ([(19798, 3, 149), (5558, 3, 149), (19798, 8, 7393)], 0.1724, 'xrule'), ([(23089, 3, 149), (5558, 3, 149), (23089, 8, 7393)], 0.11620003, 'xrule'), ([(19798, 3, 40), (19798, 8, 7393), (5558, 3, 40)], 0.08090001, 'xrule'), ([(25753, 8, 7393), (25753, 3, 40), (5558, 3, 40)], 0.06910002, 'xrule')]",[3],3.0,[4.924555923935259e-06],4.924555923935259e-06,"(5558, 8, 7393)",11
1,0.00022191622701939195,"[(20946, 2, 172), (7846, 3, 40), (16612, 3, 40), (20946, 8, 7593), (22855, 3, 88), (7846, 8, 7593), (16612, 8, 7593), (22855, 8, 7593), (4870, 2, 172), (20885, 3, 40), (4870, 3, 88), (4870, 3, 40), (20885, 8, 7593)]","[([(20885, 3, 40), (4870, 3, 40), (20885, 8, 7593)], 0.004700005, 'xrule'), ([(16612, 8, 7593), (16612, 3, 40), (4870, 3, 40)], 0.003000021, 'xrule'), ([(20946, 2, 172), (20946, 8, 7593), (4870, 2, 172)], 0.0024000406, 'xrule'), ([(4870, 3, 88), (22855, 8, 7593), (22855, 3, 88)], -0.011199951, 'xrule'), ([(7846, 8, 7593), (7846, 3, 40), (4870, 3, 40)], -0.0153999925, 'xrule')]",[12],12.0,[3.97638331151029e-08],3.97638331151029e-08,"(4870, 8, 7593)",13
