exp,new_scores,facts,new_ranks,original_score,new_score,new_rank,prediction,original_rank,exp_length
"[(9201, 85, 1665), (9201, 85, 434), (2781, 48, 32), (3261, 85, 434), (4677, 85, 1665), (2781, 85, 1665), (3261, 48, 32), (8914, 48, 32), (4677, 48, 32), (10615, 85, 434), (8914, 85, 434), (10615, 48, 32)]",[0.7825430631637573],"[([(9201, 85, 434), (3261, 48, 32), (3261, 85, 434)], 0.016900003, 'xrule'), ([(9201, 85, 434), (8914, 48, 32), (8914, 85, 434)], 0.0065999925, 'xrule'), ([(4677, 48, 32), (4677, 85, 1665), (9201, 85, 1665)], 0.004799992, 'xrule'), ([(9201, 85, 434), (10615, 48, 32), (10615, 85, 434)], 0.0045000017, 'xrule'), ([(2781, 48, 32), (2781, 85, 1665), (9201, 85, 1665)], 0.0019999743, 'xrule')]",[1],0.6412914395332336,0.7825430631637573,1.0,"(9201, 48, 32)",1,12
"[(2062, 8, 2228), (1039, 8, 2788), (2788, 8, 1039), (2788, 8, 2228), (8285, 8, 2062), (2062, 8, 1352), (2062, 8, 8285), (1352, 8, 2788), (2788, 8, 8285), (2062, 8, 2788), (2228, 8, 2788), (2062, 8, 1039), (2788, 43, 384)]",[0.7204831838607788],"[([(2062, 8, 8285), (8285, 8, 2062), (2788, 8, 8285), (2788, 43, 384)], 0.18809998, 'xrule'), ([(1039, 8, 2788), (2788, 8, 1039), (2062, 8, 1039), (2788, 43, 384)], 0.045699984, 'xrule'), ([(1352, 8, 2788), (2062, 8, 1352), (2788, 43, 384)], -0.0099000335, 'xrule'), ([(2062, 8, 2228), (2228, 8, 2788), (2788, 43, 384), (2788, 8, 2228)], -0.0431, 'xrule'), ([(2062, 8, 2788), (2788, 43, 384)], -0.046900034, 'xrule')]",[2],0.8457817435264587,0.7204831838607788,2.0,"(2062, 43, 384)",1,13
"[(409, 6, 7056), (7056, 13, 158), (160, 70, 158)]",[0.9881021976470947],"[([(409, 6, 7056), (7056, 13, 158), (160, 70, 158)], 0.07889998, 'xrule')]",[1],0.9844846725463867,0.9881021976470947,1.0,"(409, 100, 160)",1,3
"[(4623, 25, 62), (4623, 66, 8139), (7670, 160, 8139), (8139, 23, 57), (90, 25, 62), (4623, 48, 8139), (8139, 15, 8557), (7670, 25, 62), (8139, 206, 90), (57, 25, 62), (8139, 139, 90), (8139, 234, 90), (8139, 15, 11478), (11478, 25, 62)]",[0.9941844344139099],"[([(8139, 15, 8557), (7670, 25, 62), (7670, 160, 8139)], -0.4666, 'xrule'), ([(8139, 15, 8557), (8139, 15, 11478), (11478, 25, 62)], -0.49589998, 'xrule'), ([(8139, 15, 8557), (57, 25, 62), (8139, 23, 57)], -0.49799997, 'xrule'), ([(8139, 15, 8557), (4623, 25, 62), (4623, 66, 8139), (4623, 48, 8139)], -0.4992, 'xrule'), ([(8139, 15, 8557), (8139, 206, 90), (8139, 139, 90), (8139, 234, 90), (90, 25, 62)], -0.5003, 'xrule')]",[1],0.9874509572982788,0.9941844344139099,1.0,"(8557, 25, 62)",1,14
"[(4967, 43, 384), (1062, 47, 4967), (4130, 164, 4269), (4269, 43, 384), (3496, 19, 5182), (6678, 19, 1062), (6678, 19, 5182), (3860, 43, 384), (4130, 77, 6678), (4269, 77, 4130), (4269, 164, 4130), (3496, 43, 384), (3860, 19, 1062), (4130, 77, 4269)]",[0.9165448546409607],"[([(6678, 19, 1062), (4967, 43, 384), (1062, 47, 4967)], 0.07369995, 'xrule'), ([(6678, 19, 1062), (3860, 19, 1062), (3860, 43, 384)], 0.022799969, 'xrule'), ([(4269, 77, 4130), (4130, 164, 4269), (4269, 43, 384), (4269, 164, 4130), (4130, 77, 4269), (4130, 77, 6678)], 0.017099977, 'xrule'), ([(3496, 43, 384), (6678, 19, 5182), (3496, 19, 5182)], 0.0058999658, 'xrule')]",[1],0.9217239618301392,0.9165448546409607,1.0,"(6678, 43, 384)",1,14
"[(2008, 43, 141), (6669, 43, 141), (3140, 25, 62), (6773, 25, 62), (3140, 85, 434), (6773, 43, 141), (3140, 43, 141), (9774, 85, 434), (6669, 25, 62), (2008, 25, 62), (9774, 43, 141)]",[0.9905703067779541],"[([(3140, 43, 141), (3140, 25, 62), (9774, 43, 141)], 0.026700005, 'xrule'), ([(9774, 85, 434), (3140, 25, 62), (3140, 85, 434)], 0.014000006, 'xrule'), ([(6669, 43, 141), (6669, 25, 62), (9774, 43, 141)], 0.00500001, 'xrule'), ([(6773, 43, 141), (6773, 25, 62), (9774, 43, 141)], -0.0011999905, 'xrule'), ([(2008, 43, 141), (2008, 25, 62), (9774, 43, 141)], -0.005799994, 'xrule')]",[1],0.9894706010818481,0.9905703067779541,1.0,"(9774, 25, 62)",1,11
"[(4878, 25, 62), (7665, 66, 592), (879, 71, 4269), (4269, 24, 592), (4269, 25, 62), (879, 71, 4878), (879, 71, 7665), (11544, 25, 62), (11544, 24, 592)]",[0.009054326452314854],"[([(4878, 25, 62), (11544, 24, 592), (11544, 25, 62)], 0.005900003, 'xrule'), ([(879, 71, 4878), (7665, 66, 592), (879, 71, 7665)], -0.009499997, 'xrule'), ([(879, 71, 4878), (4269, 24, 592), (879, 71, 4269)], -0.010699999, 'xrule'), ([(4878, 25, 62), (4269, 24, 592), (4269, 25, 62)], -0.018599998, 'xrule')]",[17],0.1647690385580063,0.009054326452314854,17.0,"(4878, 39, 592)",1,9
"[(7773, 26, 494), (4491, 103, 7614), (4491, 27, 1230), (1395, 110, 494), (3819, 91, 494), (7773, 31, 4), (3819, 107, 4), (4, 2, 7614), (1230, 110, 494), (4491, 27, 1395)]",[0.9920593500137329],"[([(4, 2, 7614), (7773, 31, 4), (7773, 26, 494)], 0.015700005, 'xrule'), ([(4491, 103, 7614), (4491, 27, 1230), (1230, 110, 494)], -0.0075000003, 'xrule'), ([(1395, 110, 494), (4491, 103, 7614), (4491, 27, 1395)], -0.0189, 'xrule'), ([(4, 2, 7614), (3819, 107, 4), (3819, 91, 494)], -0.035499997, 'xrule')]",[1],0.9964919686317444,0.9920593500137329,1.0,"(7614, 91, 494)",1,10
"[(552, 34, 90), (552, 28, 32), (7417, 120, 791), (5398, 28, 32), (11275, 129, 90), (7417, 133, 32), (11275, 150, 32), (12245, 33, 90), (5398, 13, 32), (5398, 34, 90), (12245, 120, 791), (3443, 60, 90), (32, 15, 7417), (3443, 48, 32), (32, 87, 7417)]",[0.9375786185264587],"[([(552, 34, 90), (552, 28, 32), (32, 15, 7417), (7417, 133, 32), (32, 87, 7417)], 0.0941, 'xrule'), ([(3443, 60, 90), (32, 15, 7417), (7417, 133, 32), (32, 87, 7417), (3443, 48, 32)], 0.026600003, 'xrule'), ([(32, 15, 7417), (32, 87, 7417), (11275, 129, 90), (7417, 133, 32), (11275, 150, 32)], 0.022599995, 'xrule'), ([(5398, 13, 32), (5398, 34, 90), (5398, 28, 32), (32, 15, 7417), (7417, 133, 32), (32, 87, 7417)], -0.0024999976, 'xrule'), ([(12245, 120, 791), (7417, 120, 791), (12245, 33, 90)], -0.031199992, 'xrule')]",[1],0.9863195419311523,0.9375786185264587,1.0,"(7417, 33, 90)",1,15
"[(5912, 17, 862), (4418, 47, 11921), (5912, 43, 141), (12631, 17, 862), (5912, 48, 1928), (12631, 100, 1672), (11921, 100, 1672), (5912, 19, 4418), (4418, 47, 5912), (11921, 43, 141), (12631, 43, 141), (11921, 48, 1928)]",[0.7827925086021423],"[([(11921, 100, 1672), (5912, 48, 1928), (11921, 48, 1928)], 0.0063999966, 'xrule'), ([(12631, 17, 862), (5912, 17, 862), (12631, 100, 1672)], 0.0031999946, 'xrule'), ([(5912, 43, 141), (11921, 43, 141), (11921, 100, 1672)], -0.010000005, 'xrule'), ([(4418, 47, 11921), (11921, 100, 1672), (5912, 19, 4418), (4418, 47, 5912)], -0.013899997, 'xrule'), ([(5912, 43, 141), (12631, 43, 141), (12631, 100, 1672)], -0.0141, 'xrule')]",[1],0.902134120464325,0.7827925086021423,1.0,"(5912, 100, 1672)",1,12
"[(4616, 34, 90), (4616, 28, 32), (4313, 108, 90), (1357, 60, 90), (32, 87, 3098), (4313, 213, 90), (4550, 48, 32), (32, 15, 4313), (3098, 33, 90), (4313, 128, 90), (4313, 166, 90), (3716, 34, 90), (4313, 129, 90), (3716, 28, 32), (1357, 48, 32)]",[0.9887239933013916],"[([(4550, 48, 32), (1357, 60, 90), (1357, 48, 32)], 0.0029999912, 'xrule'), ([(4616, 28, 32), (4550, 48, 32), (4616, 34, 90)], -0.017400011, 'xrule'), ([(4550, 48, 32), (3098, 33, 90), (32, 87, 3098)], -0.022, 'xrule'), ([(4313, 213, 90), (4550, 48, 32), (32, 15, 4313), (4313, 128, 90), (4313, 166, 90), (4313, 129, 90), (4313, 108, 90)], -0.025700003, 'xrule'), ([(3716, 28, 32), (4550, 48, 32), (3716, 34, 90)], -0.03220001, 'xrule')]",[1],0.9950908422470093,0.9887239933013916,1.0,"(4550, 60, 90)",1,15
"[(2996, 67, 259), (10800, 7, 8215), (2053, 19, 2996), (3169, 101, 6480), (3565, 67, 259), (7494, 7, 8215), (10800, 67, 259), (6332, 101, 6480), (8215, 30, 10800), (3169, 101, 259), (2053, 19, 7494), (6332, 101, 259), (7494, 67, 6480), (3565, 67, 6480), (8215, 30, 7494)]",[0.8734903335571289],"[([(7494, 67, 6480), (3169, 101, 259), (3169, 101, 6480)], 0.035600007, 'xrule'), ([(2053, 19, 7494), (2053, 19, 2996), (2996, 67, 259)], 0.019300044, 'xrule'), ([(7494, 67, 6480), (3565, 67, 6480), (3565, 67, 259)], -0.054399967, 'xrule'), ([(10800, 7, 8215), (7494, 7, 8215), (10800, 67, 259), (8215, 30, 10800), (8215, 30, 7494)], -0.12449998, 'xrule'), ([(6332, 101, 259), (7494, 67, 6480), (6332, 101, 6480)], -0.13339996, 'xrule')]",[1],0.8372358083724976,0.8734903335571289,1.0,"(7494, 67, 259)",1,15
"[(1303, 13, 1934), (2600, 0, 4494), (8139, 23, 57), (3782, 13, 235), (2600, 23, 209), (8168, 23, 57), (3782, 13, 2600), (8139, 0, 4494), (235, 23, 57), (119, 0, 4494), (119, 23, 57), (8168, 23, 209), (1934, 23, 57), (1303, 13, 2600)]",[0.8637616634368896],"[([(1303, 13, 1934), (1934, 23, 57), (1303, 13, 2600)], 0.017299995, 'xrule'), ([(2600, 23, 209), (8168, 23, 57), (8168, 23, 209)], 0.0159, 'xrule'), ([(3782, 13, 235), (235, 23, 57), (3782, 13, 2600)], -0.0047999993, 'xrule'), ([(8139, 0, 4494), (2600, 0, 4494), (8139, 23, 57)], -0.0068000033, 'xrule'), ([(119, 23, 57), (2600, 0, 4494), (119, 0, 4494)], -0.009599999, 'xrule')]",[2],0.9564436674118042,0.8637616634368896,2.0,"(2600, 23, 57)",1,14
"[(3702, 75, 3726), (3726, 75, 3702), (5763, 9, 1300), (5763, 92, 5562), (1271, 9, 3702), (5763, 9, 1271), (1300, 9, 1454), (1271, 9, 1454), (212, 9, 1300), (212, 92, 5562), (212, 75, 1300), (1300, 75, 212), (1454, 9, 1271), (1454, 9, 1300), (1300, 9, 5763), (1454, 75, 3726), (3702, 92, 5562), (1271, 9, 5763)]",[0.76003497838974],"[([(1271, 9, 3702), (3702, 92, 5562), (1454, 9, 1271), (1271, 9, 1454)], 0.051799998, 'xrule'), ([(3702, 75, 3726), (1454, 75, 3726), (3726, 75, 3702), (3702, 92, 5562)], 0.035099998, 'xrule'), ([(212, 9, 1300), (212, 92, 5562), (212, 75, 1300), (1300, 75, 212), (1454, 9, 1300), (1300, 9, 1454)], 0.034999996, 'xrule'), ([(5763, 9, 1300), (5763, 92, 5562), (1454, 9, 1300), (1300, 9, 5763), (1300, 9, 1454)], 0.016199999, 'xrule'), ([(5763, 9, 1271), (1271, 9, 5763), (5763, 92, 5562), (1454, 9, 1271), (1271, 9, 1454)], -0.013099998, 'xrule')]",[1],0.5090774893760681,0.76003497838974,1.0,"(1454, 92, 5562)",1,18
"[(5400, 28, 32), (3583, 185, 32), (7719, 31, 4), (1295, 13, 32), (9364, 28, 32), (9364, 31, 4), (5400, 13, 32), (5834, 13, 32), (3583, 107, 4), (4, 2, 1295), (7719, 30, 863), (5834, 31, 4), (5400, 30, 863), (5834, 28, 32)]",[0.9486837387084961],"[([(5400, 28, 32), (5400, 13, 32), (9364, 28, 32), (9364, 31, 4)], -0.007399991, 'xrule'), ([(5400, 28, 32), (3583, 185, 32), (5400, 13, 32), (3583, 107, 4)], -0.0167, 'xrule'), ([(5400, 28, 32), (5400, 13, 32), (1295, 13, 32), (4, 2, 1295)], -0.023599997, 'xrule'), ([(7719, 31, 4), (5400, 30, 863), (7719, 30, 863)], -0.024199992, 'xrule'), ([(5400, 28, 32), (5834, 13, 32), (5834, 31, 4), (5400, 13, 32), (5834, 28, 32)], -0.027699992, 'xrule')]",[1],0.9161665439605713,0.9486837387084961,1.0,"(5400, 31, 4)",1,14
"[(9384, 120, 791), (13398, 25, 62), (4994, 120, 791), (10243, 25, 62), (11312, 120, 791), (95, 15, 1429), (10243, 120, 791), (95, 15, 11312), (9384, 25, 62), (1429, 25, 62), (4994, 25, 62), (13398, 120, 791)]",[0.9916713237762451],"[([(95, 15, 1429), (95, 15, 11312), (11312, 120, 791)], 0.0015000105, 'xrule'), ([(10243, 120, 791), (10243, 25, 62), (1429, 25, 62)], -0.033199996, 'xrule'), ([(13398, 25, 62), (1429, 25, 62), (13398, 120, 791)], -0.058799997, 'xrule'), ([(4994, 120, 791), (1429, 25, 62), (4994, 25, 62)], -0.0624, 'xrule'), ([(9384, 120, 791), (9384, 25, 62), (1429, 25, 62)], -0.0642, 'xrule')]",[1],0.9932956099510193,0.9916713237762451,1.0,"(1429, 120, 791)",1,12
"[(10739, 31, 4), (1229, 31, 4), (1657, 48, 32), (4, 2, 6848), (1657, 8, 7785), (1617, 13, 32), (1229, 13, 32), (7785, 6, 6848), (1617, 11, 23), (10739, 13, 32), (6848, 31, 4), (4, 2, 10739), (7785, 8, 1657), (8546, 31, 4), (1617, 28, 32), (6848, 11, 23), (8546, 28, 32)]",[0.7384031414985657],"[([(1617, 28, 32), (1617, 11, 23), (6848, 11, 23), (1617, 13, 32)], 0.09289999, 'xrule'), ([(7785, 6, 6848), (1657, 8, 7785), (7785, 8, 1657), (1657, 48, 32)], 0.0846, 'xrule'), ([(10739, 31, 4), (10739, 13, 32), (6848, 31, 4), (4, 2, 10739), (4, 2, 6848)], 0.0803, 'xrule'), ([(6848, 31, 4), (8546, 28, 32), (8546, 31, 4), (4, 2, 6848)], 0.0785, 'xrule'), ([(1229, 31, 4), (6848, 31, 4), (1229, 13, 32), (4, 2, 6848)], 0.0749, 'xrule')]",[1],0.9276204109191895,0.7384031414985657,1.0,"(6848, 28, 32)",1,17
"[(11021, 25, 62), (4350, 46, 152), (11020, 83, 9277), (11021, 46, 9740), (4350, 150, 32), (11021, 83, 1457), (11021, 83, 9277), (12127, 46, 152), (12127, 46, 9740), (11021, 16, 32), (11020, 46, 152), (4350, 25, 62), (11020, 83, 1457)]",[0.09040427953004837],"[([(4350, 46, 152), (4350, 150, 32), (11021, 16, 32)], 0.047499992, 'xrule'), ([(11020, 46, 152), (11020, 83, 1457), (11021, 83, 1457)], 0.004099995, 'xrule'), ([(4350, 25, 62), (11021, 25, 62), (4350, 46, 152)], -0.016600013, 'xrule'), ([(11021, 83, 9277), (11020, 46, 152), (11020, 83, 9277)], -0.017800003, 'xrule'), ([(12127, 46, 152), (12127, 46, 9740), (11021, 46, 9740)], -0.028500006, 'xrule')]",[5],0.7165725827217102,0.09040427953004837,5.0,"(11021, 46, 152)",1,13
"[(746, 90, 1885), (4726, 31, 136), (843, 90, 1885), (4085, 14, 160), (843, 31, 136), (40, 90, 1885), (40, 31, 136), (4085, 90, 1885), (5, 31, 136), (5, 14, 160), (4726, 90, 1885), (746, 31, 136)]",[0.8552818894386292],"[([(5, 31, 136), (4726, 90, 1885), (4726, 31, 136)], 0.0012999999, 'xrule'), ([(5, 31, 136), (40, 90, 1885), (40, 31, 136)], 0.0011999998, 'xrule'), ([(5, 31, 136), (746, 90, 1885), (746, 31, 136)], 0.0011, 'xrule'), ([(5, 31, 136), (843, 31, 136), (843, 90, 1885)], 0.0005000001, 'xrule'), ([(5, 14, 160), (4085, 14, 160), (4085, 90, 1885)], 0.0005000001, 'xrule')]",[1],0.9416294097900391,0.8552818894386292,1.0,"(5, 90, 1885)",1,12
"[(5077, 85, 434), (1569, 24, 592), (1569, 39, 592), (1569, 66, 592), (2074, 66, 592), (3563, 85, 434), (620, 85, 434), (620, 17, 862), (1535, 85, 434), (2074, 85, 434), (3563, 17, 393), (1569, 43, 384), (1569, 17, 393), (1535, 17, 862), (1569, 17, 862), (5077, 43, 384)]",[0.9951696991920471],"[([(3563, 17, 393), (3563, 85, 434), (1569, 17, 393)], 0.042000003, 'xrule'), ([(620, 17, 862), (620, 85, 434), (1569, 17, 862)], 0.031200007, 'xrule'), ([(1569, 43, 384), (5077, 43, 384), (5077, 85, 434)], 0.027100004, 'xrule'), ([(1535, 17, 862), (1535, 85, 434), (1569, 17, 862)], 0.023800008, 'xrule'), ([(1569, 24, 592), (1569, 39, 592), (1569, 66, 592), (2074, 85, 434), (2074, 66, 592)], 0.023300007, 'xrule')]",[1],0.9909408688545227,0.9951696991920471,1.0,"(1569, 85, 434)",1,16
"[(928, 207, 7513), (7246, 46, 3115), (11944, 46, 3115), (7889, 8, 928), (7889, 46, 259), (5392, 46, 8400), (7513, 46, 3115), (5392, 46, 3115), (3622, 46, 8400), (7246, 46, 259), (7889, 46, 8400), (11944, 46, 8400), (3622, 46, 3115)]",[0.14816582202911377],"[([(7246, 46, 3115), (7889, 46, 259), (7246, 46, 259)], 0.0143, 'xrule'), ([(5392, 46, 3115), (5392, 46, 8400), (7889, 46, 8400)], 0.0092, 'xrule'), ([(3622, 46, 8400), (3622, 46, 3115), (7889, 46, 8400)], 0.008300001, 'xrule'), ([(928, 207, 7513), (7889, 8, 928), (7513, 46, 3115)], 0.007100001, 'xrule'), ([(11944, 46, 8400), (11944, 46, 3115), (7889, 46, 8400)], 0.0067000007, 'xrule')]",[3],0.3568492531776428,0.14816582202911377,3.0,"(7889, 46, 3115)",1,13
