facts,prediction,new_score,new_rank,original_score,new_ranks,original_rank,#facts,new_scores
"[(1184, 47, 9774), (3086, 47, 9774), (156, 25, 62)]","(9774, 25, 62)",0.989203006029129,1.0,0.9894706010818481,"[1, 1]",1,3,"[0.9848110675811768, 0.9935949444770813]"
"[(3183, 22, 3039), (6036, 8, 3039), (408, 8, 3039)]","(3039, 85, 434)",0.982986330986023,1.0,0.988152801990509,"[1, 1]",1,3,"[0.9916791319847107, 0.9742935299873352]"
"[(9917, 50, 4878), (879, 71, 4878), (2099, 47, 4878)]","(4878, 39, 592)",0.15397527813911438,1.5,0.1647690385580063,"[2, 1]",1,3,"[0.06457902491092682, 0.24337153136730194]"
"[(9008, 6, 7614), (9404, 6, 7614), (1291, 6, 7614)]","(7614, 91, 494)",0.9867526888847351,1.0,0.9964919686317444,"[1, 1]",1,3,"[0.9775092601776123, 0.9959961175918579]"
"[(3142, 212, 4563), (3387, 215, 13452), (10512, 212, 4563)]","(13452, 212, 4563)",0.9366598427295685,1.0,0.9722623825073242,"[1, 1]",1,3,"[0.9009736776351929, 0.9723460078239441]"
"[(7417, 190, 7417), (7417, 111, 7417), (961, 15, 7417)]","(7417, 33, 90)",0.9949464797973633,1.0,0.9863195419311523,"[1, 1]",1,3,"[0.996427595615387, 0.9934653639793396]"
"[(4390, 50, 5912), (5246, 14, 1672), (171, 50, 5912)]","(5912, 100, 1672)",0.9151944518089294,1.0,0.902134120464325,"[1, 1]",1,3,"[0.9255443215370178, 0.9048445820808411]"
"[(10544, 1, 4550), (6860, 45, 4550), (3289, 192, 4550)]","(4550, 60, 90)",0.9960309863090515,1.0,0.9950908422470093,"[1, 1]",1,3,"[0.9957981705665588, 0.9962638020515442]"
"[(2001, 103, 1504), (5292, 102, 1504), (84, 2, 1504)]","(1504, 14, 5334)",0.32310860604047775,3.5,0.5538073182106018,"[6, 1]",1,3,"[0.20287711918354034, 0.44334009289741516]"
"[(1670, 19, 7494), (403, 30, 7494), (8215, 30, 7494)]","(7494, 67, 259)",0.7974486351013184,1.0,0.8372358083724976,"[1, 1]",1,3,"[0.7614526748657227, 0.8334445953369141]"
"[(492, 38, 805), (746, 115, 747), (2101, 115, 747)]","(805, 115, 747)",0.9013650715351105,1.0,0.9535616040229797,"[1, 1]",1,3,"[0.9587203860282898, 0.8440097570419312]"
"[(6801, 28, 2600), (449, 58, 2600), (1036, 13, 2600)]","(2600, 23, 57)",0.9393559694290161,1.0,0.9564436674118042,"[1, 1]",1,3,"[0.9405267834663391, 0.9381851553916931]"
"[(694, 38, 5400), (892, 7, 5400), (5622, 38, 5400)]","(5400, 31, 4)",0.7758684754371643,1.5,0.9161665439605713,"[1, 2]",1,3,"[0.7713483572006226, 0.780388593673706]"
"[(11226, 41, 1454), (2544, 75, 1454), (8440, 76, 5562)]","(1454, 92, 5562)",0.7055056989192963,1.0,0.5090774893760681,"[1, 1]",1,3,"[0.6853723526000977, 0.7256390452384949]"
"[(6577, 66, 1429), (1579, 24, 1429), (5775, 190, 1429)]","(1429, 120, 791)",0.9903039038181305,1.0,0.9932956099510193,"[1, 1]",1,3,"[0.9905105233192444, 0.9900972843170166]"
"[(6083, 6, 6848), (5137, 6, 6848), (2961, 6, 6848)]","(6848, 28, 32)",0.8100966811180115,1.0,0.9276204109191895,"[1, 1]",1,3,"[0.6803053021430969, 0.939888060092926]"
"[(5953, 46, 152), (13965, 46, 152), (12127, 46, 152)]","(11021, 46, 152)",0.568979874253273,1.0,0.7165725827217102,"[1, 1]",1,3,"[0.4861307442188263, 0.6518290042877197]"
"[(475, 32, 5), (4564, 59, 5), (9720, 6, 5)]","(5, 90, 1885)",0.8101837038993835,1.5,0.9416294097900391,"[2, 1]",1,3,"[0.6694236397743225, 0.9509437680244446]"
"[(5665, 22, 1569), (9461, 8, 1569), (4747, 8, 1569)]","(1569, 85, 434)",0.9951356947422028,1.0,0.9909408688545227,"[1, 1]",1,3,"[0.9942124485969543, 0.9960589408874512]"
"[(3622, 46, 3115), (3114, 46, 3115), (1702, 46, 3115)]","(7889, 46, 3115)",0.13585352525115013,1.5,0.3568492531776428,"[2, 1]",1,3,"[0.07434118539094925, 0.197365865111351]"
"[(7172, 103, 6149), (1759, 7, 6149), (4, 2, 6149)]","(6149, 26, 64)",0.9410977959632874,1.0,0.7856136560440063,"[1, 1]",1,3,"[0.9247438907623291, 0.9574517011642456]"
"[(1700, 165, 7278), (6905, 71, 7278), (2589, 118, 774)]","(7278, 118, 774)",0.9888485670089722,1.0,0.9920915365219116,"[1, 1]",1,3,"[0.9921161532402039, 0.9855809807777405]"
"[(3772, 1, 6260), (8465, 8, 6260), (6571, 3, 3691)]","(6260, 8, 3691)",0.6396054029464722,1.0,0.664778470993042,"[1, 1]",1,3,"[0.5516402721405029, 0.7275705337524414]"
"[(1654, 10, 6045), (1137, 10, 6045), (2820, 10, 6045)]","(6045, 210, 3202)",0.7979434728622437,1.0,0.9898172616958618,"[1, 1]",1,3,"[0.8285865187644958, 0.7673004269599915]"
"[(32, 15, 8790), (8790, 146, 8790), (3554, 15, 8790)]","(8790, 25, 62)",0.9949511587619781,1.0,0.9913109540939331,"[1, 1]",1,3,"[0.9927210211753845, 0.9971812963485718]"
"[(7852, 79, 6791), (4218, 44, 6791), (5108, 15, 6791)]","(6791, 25, 62)",0.995720237493515,1.0,0.990455687046051,"[1, 1]",1,3,"[0.9944434762001038, 0.9969969987869263]"
"[(705, 154, 2620), (8319, 159, 8194), (8675, 15, 8194)]","(8194, 154, 2620)",0.8535591661930084,1.0,0.4746376872062683,"[1, 1]",1,3,"[0.7465390563011169, 0.9605792760848999]"
"[(637, 2, 2154), (12808, 38, 2154), (839, 7, 2154)]","(2154, 26, 1960)",0.45679736137390137,1.0,0.6236992478370667,"[1, 1]",1,3,"[0.4552431106567383, 0.45835161209106445]"
"[(6905, 71, 5263), (3137, 47, 5263), (12502, 20, 5263)]","(5263, 48, 32)",0.9384879171848297,1.0,0.9680300951004028,"[1, 1]",1,3,"[0.9505334496498108, 0.9264423847198486]"
"[(5678, 59, 7200), (1148, 7, 7200), (1536, 6, 7200)]","(7200, 28, 32)",0.7771929204463959,1.0,0.8547556400299072,"[1, 1]",1,3,"[0.7255575060844421, 0.8288283348083496]"
"[(4222, 8, 4433), (2127, 8, 4433), (285, 47, 4433)]","(4433, 17, 862)",0.9736400842666626,1.0,0.9954941272735596,"[1, 1]",1,3,"[0.9591222405433655, 0.9881579279899597]"
"[(12319, 38, 9711), (1130, 2, 9711), (7396, 6, 9711)]","(9711, 11, 23)",0.9892267286777496,1.0,0.9838512539863586,"[1, 1]",1,3,"[0.9875784516334534, 0.9908750057220459]"
"[(5027, 52, 1374), (10083, 52, 1374), (8104, 52, 8105)]","(8105, 52, 1374)",0.7088185548782349,1.0,0.8518562912940979,"[1, 1]",1,3,"[0.6059085726737976, 0.8117285370826721]"
"[(285, 7, 746), (492, 38, 746), (1489, 7, 746)]","(746, 13, 1682)",0.8447650074958801,2.0,0.9694784283638,"[2, 2]",1,3,"[0.7784811854362488, 0.9110488295555115]"
"[(579, 27, 1366), (5470, 76, 1366), (8691, 3, 1366)]","(10740, 20, 1366)",0.5262245088815689,2.0,0.8317307829856873,"[3, 1]",1,3,"[0.39680853486061096, 0.6556404829025269]"
"[(9338, 101, 1467), (236, 44, 6998), (6064, 159, 6998)]","(6998, 101, 1467)",0.8165726065635681,1.0,0.886987566947937,"[1, 1]",1,3,"[0.8011550903320312, 0.831990122795105]"
"[(11600, 130, 6543), (3878, 94, 6543), (8239, 130, 6543)]","(6543, 98, 8248)",0.931922197341919,1.0,0.9474917650222778,"[1, 1]",1,3,"[0.9159684777259827, 0.9478759169578552]"
"[(5243, 47, 7535), (8083, 47, 7535), (2984, 47, 7535)]","(7535, 17, 215)",0.8003717362880707,1.0,0.8892365097999573,"[1, 1]",1,3,"[0.8822374939918518, 0.7185059785842896]"
"[(5847, 22, 8285), (1878, 21, 8285), (1556, 17, 862)]","(8285, 17, 862)",0.8857761323451996,1.0,0.9222087264060974,"[1, 1]",1,3,"[0.851661205291748, 0.9198910593986511]"
"[(2970, 84, 6350), (8900, 22, 6350), (9639, 27, 6350)]","(6350, 43, 141)",0.9781370460987091,1.0,0.9883594512939453,"[1, 1]",1,3,"[0.9767969250679016, 0.9794771671295166]"
"[(1756, 42, 6183), (479, 42, 6183), (3490, 45, 6183)]","(6183, 17, 1002)",0.732613205909729,1.0,0.8010475039482117,"[1, 1]",1,3,"[0.6769607663154602, 0.7882656455039978]"
"[(2594, 6, 8377), (3250, 7, 8377), (5189, 6, 8377)]","(8377, 26, 64)",0.9734086394309998,1.0,0.9645830988883972,"[1, 1]",1,3,"[0.9622187614440918, 0.9845985174179077]"
"[(10460, 6, 8706), (2457, 86, 1630), (4252, 6, 8706)]","(8706, 86, 1630)",0.40560540556907654,2.5,0.44494742155075073,"[4, 1]",1,3,"[0.16423839330673218, 0.6469724178314209]"
"[(2016, 77, 2664), (3661, 47, 2664), (6803, 20, 2664)]","(2664, 25, 62)",0.9944696724414825,1.0,0.9936367273330688,"[1, 1]",1,3,"[0.9953880906105042, 0.9935512542724609]"
"[(4362, 6, 1888), (8210, 6, 1888), (744, 38, 1888)]","(1888, 14, 2272)",0.07841602899134159,4.5,0.154959037899971,"[5, 4]",1,3,"[0.03651666268706322, 0.12031539529561996]"
"[(2213, 66, 181), (180, 28, 181), (1819, 48, 181)]","(10130, 131, 181)",0.46162328124046326,2.5,0.8042064309120178,"[2, 3]",1,3,"[0.25501537322998047, 0.668231189250946]"
"[(5678, 59, 6087), (3646, 7, 6087), (2164, 102, 6087)]","(6087, 26, 1098)",0.8990824222564697,1.5,0.9066410064697266,"[1, 2]",1,3,"[0.8519055247306824, 0.9462593197822571]"
"[(724, 66, 592), (4982, 203, 592), (5131, 39, 592)]","(12195, 66, 592)",0.061521757394075394,2.0,0.08467242866754532,"[3, 1]",1,3,"[0.055547863245010376, 0.06749565154314041]"
"[(5306, 52, 2028), (6235, 52, 2028), (13270, 52, 2028)]","(3381, 52, 2028)",0.7196753621101379,1.0,0.8979125618934631,"[1, 1]",1,3,"[0.6662787795066833, 0.7730719447135925]"
"[(1374, 20, 889), (1136, 19, 7255), (4371, 19, 7255)]","(889, 19, 7255)",0.867049515247345,1.5,0.8706680536270142,"[1, 2]",1,3,"[0.904090166091919, 0.830008864402771]"
"[(3098, 58, 13370), (32, 87, 13370), (1776, 120, 791)]","(13370, 120, 791)",0.9941184222698212,1.0,0.9951258301734924,"[1, 1]",1,3,"[0.9920815229415894, 0.996155321598053]"
"[(9794, 192, 8623), (4868, 43, 384), (5077, 43, 384)]","(8623, 43, 384)",0.8812775313854218,1.5,0.9801432490348816,"[2, 1]",1,3,"[0.8222407698631287, 0.9403142929077148]"
"[(2458, 123, 535), (2458, 192, 535), (985, 42, 535)]","(535, 48, 32)",0.6620497107505798,1.0,0.8807279467582703,"[1, 1]",1,3,"[0.5460570454597473, 0.7780423760414124]"
"[(6102, 66, 3120), (5293, 66, 3120), (4573, 160, 3120)]","(3120, 220, 6386)",0.8278440833091736,1.0,0.828163743019104,"[1, 1]",1,3,"[0.7434373497962952, 0.912250816822052]"
"[(7922, 3, 2539), (2134, 8, 2539), (8615, 3, 2539)]","(2539, 19, 536)",0.8375022709369659,1.0,0.9856534600257874,"[1, 1]",1,3,"[0.7731239199638367, 0.9018806219100952]"
"[(2024, 27, 10402), (9234, 59, 1707), (7734, 27, 10402)]","(1707, 86, 10402)",0.4883941113948822,1.5,0.5459656119346619,"[1, 2]",1,3,"[0.4629322290420532, 0.5138559937477112]"
"[(6480, 140, 7870), (5023, 27, 7870), (11150, 192, 7870)]","(7870, 17, 862)",0.9633084833621979,1.0,0.8808958530426025,"[1, 1]",1,3,"[0.9383406639099121, 0.9882763028144836]"
"[(2693, 20, 5606), (1740, 45, 5606), (985, 42, 5606)]","(5606, 48, 32)",0.94537353515625,1.0,0.9029479622840881,"[1, 1]",1,3,"[0.9474473595619202, 0.9432997107505798]"
"[(1715, 20, 7388), (7049, 20, 7388), (3645, 8, 7388)]","(7388, 25, 62)",0.9930461049079895,1.0,0.9848781228065491,"[1, 1]",1,3,"[0.9941107630729675, 0.9919814467430115]"
"[(3078, 8, 1886), (4140, 77, 1886), (6507, 22, 1886)]","(1886, 60, 90)",0.991868257522583,1.0,0.9854287505149841,"[1, 1]",1,3,"[0.9961504936218262, 0.9875860214233398]"
"[(1044, 144, 5617), (5351, 24, 5617), (10413, 66, 5617)]","(5617, 25, 62)",0.9902479350566864,1.0,0.9959683418273926,"[1, 1]",1,3,"[0.9913762211799622, 0.9891196489334106]"
"[(7371, 13, 2033), (7602, 106, 2033), (7610, 179, 1014)]","(1014, 37, 2033)",0.9022051692008972,2.0,0.9408588409423828,"[1, 3]",1,3,"[0.9134854078292847, 0.8909249305725098]"
"[(2158, 86, 5632), (728, 86, 5632), (7246, 207, 5632)]","(5632, 46, 259)",0.39439819753170013,1.0,0.7034265398979187,"[1, 1]",1,3,"[0.2735144793987274, 0.5152819156646729]"
"[(9107, 6, 3894), (5187, 6, 3894), (1232, 38, 3894)]","(3894, 31, 163)",0.9182948172092438,1.0,0.7779244184494019,"[1, 1]",1,3,"[0.9563563466072083, 0.8802332878112793]"
"[(3172, 21, 12309), (6874, 22, 12309), (9706, 22, 12309)]","(12309, 43, 141)",0.9878143966197968,1.0,0.9944069385528564,"[1, 1]",1,3,"[0.980864942073822, 0.9947638511657715]"
"[(3104, 23, 3486), (119, 23, 3486), (816, 23, 3486)]","(2091, 23, 3486)",0.895523339509964,1.0,0.9085858464241028,"[1, 1]",1,3,"[0.881677508354187, 0.909369170665741]"
"[(1805, 64, 3407), (32, 15, 7238), (9929, 127, 7238)]","(3407, 35, 7238)",0.8407710194587708,1.0,0.9577904939651489,"[1, 1]",1,3,"[0.8503299951553345, 0.831212043762207]"
"[(2504, 6, 6482), (5215, 6, 6482), (989, 26, 990)]","(6482, 26, 990)",0.9561466872692108,1.0,0.962796151638031,"[1, 1]",1,3,"[0.9838168621063232, 0.9284765124320984]"
"[(10932, 22, 5628), (3303, 20, 5628), (9755, 76, 5628)]","(5628, 25, 62)",0.991325855255127,1.0,0.9962792992591858,"[1, 1]",1,3,"[0.9925909042358398, 0.9900608062744141]"
"[(5731, 30, 1501), (4341, 30, 1501), (7418, 19, 1501)]","(1501, 10, 11145)",0.8484658300876617,1.0,0.9204357266426086,"[1, 1]",1,3,"[0.917037844657898, 0.7798938155174255]"
"[(6257, 8, 3715), (1556, 17, 862), (1224, 17, 862)]","(3715, 17, 862)",0.8543873429298401,1.0,0.931495726108551,"[1, 1]",1,3,"[0.7782448530197144, 0.9305298328399658]"
"[(950, 20, 2051), (1972, 76, 2051), (5600, 20, 2051)]","(2051, 85, 434)",0.9632247984409332,1.0,0.9756770730018616,"[1, 1]",1,3,"[0.9902217388153076, 0.9362278580665588]"
"[(1566, 89, 11844), (855, 15, 11844), (2578, 68, 11844)]","(11844, 61, 2940)",0.4236920028924942,2.5,0.5944116115570068,"[1, 4]",1,3,"[0.6464300751686096, 0.20095393061637878]"
"[(382, 15, 10860), (12685, 154, 5054), (12314, 154, 5054)]","(10860, 154, 5054)",0.6627671718597412,1.0,0.8733823895454407,"[1, 1]",1,3,"[0.38916563987731934, 0.9363687038421631]"
"[(6699, 8, 1685), (3142, 53, 1685), (13005, 1, 1685)]","(1685, 17, 60)",0.8153365254402161,1.5,0.9143084287643433,"[1, 2]",1,3,"[0.8270378112792969, 0.8036352396011353]"
"[(4012, 48, 3794), (9759, 48, 3794), (746, 13, 3794)]","(3794, 23, 57)",0.9484212398529053,1.0,0.9237578511238098,"[1, 1]",1,3,"[0.9232581257820129, 0.9735843539237976]"
"[(2822, 15, 1567), (3408, 15, 1567), (972, 167, 1768)]","(1567, 167, 1768)",0.9950392544269562,1.0,0.9941210150718689,"[1, 1]",1,3,"[0.9953698515892029, 0.9947086572647095]"
"[(6639, 22, 6412), (3324, 71, 6412), (8644, 140, 6412)]","(6412, 48, 32)",0.9054609537124634,1.0,0.9531452059745789,"[1, 1]",1,3,"[0.9447007179260254, 0.8662211894989014]"
"[(1556, 17, 862), (2778, 17, 862), (1224, 17, 862)]","(13805, 17, 862)",0.7501094341278076,1.0,0.6916261315345764,"[1, 1]",1,3,"[0.69830322265625, 0.8019156455993652]"
"[(2465, 27, 7843), (1452, 1, 7843), (5953, 76, 7843)]","(7843, 17, 862)",0.7364333271980286,1.0,0.8698863387107849,"[1, 1]",1,3,"[0.7801900506019592, 0.6926766037940979]"
"[(156, 25, 62), (1429, 25, 62), (963, 25, 62)]","(14357, 25, 62)",0.9928362965583801,1.0,0.9901472926139832,"[1, 1]",1,3,"[0.9941605925559998, 0.9915120005607605]"
