prediction,new_scores,perspective,original_rank,facts,#facts,new_rank,new_score,new_ranks,original_score
"(21811, 0, 278)","[4.9192815, 5.193621]",all,1,"[(7298, 0, 278), (21810, 4, 7298), (21810, 4, 21811)]",3,1124.0,5.0564513,"[42, 2206]",1.2848617
"(18333, 0, 1929)","[1.7033817, 2.3109856]",all,1,"[(18332, 4, 18333)]",1,210.0,2.0071836,"[18, 402]",1.5995007
"(39206, 0, 12650)","[4.7643695, 4.5316706]",all,1,"[(11149, 6, 39206)]",1,1081.0,4.64802,"[1928, 234]",0.7448149
"(9939, 2, 2580)","[5.0989776, 5.489581]",all,1,"[(11127, 2, 2580), (4927, 6, 9939), (4927, 6, 11127)]",3,40.5,5.294279,"[54, 27]",1.4379002
"(15734, 0, 184)","[1.6838862, 1.6146336]",all,1,"[(1131, 4, 15734)]",1,2.5,1.6492598,"[2, 3]",0.7776886
"(4037, 0, 16708)","[2.888778, 2.7909315]",all,1,"[(4036, 6, 4037)]",1,3458.5,2.8398547,"[5059, 1858]",1.988281
"(78, 5, 172)","[5.4475355, 4.76108]",all,1,"[(78, 0, 79)]",1,81.0,5.1043077,"[59, 103]",2.3237505
"(10303, 0, 1380)","[1.5707164, 1.5383275]",all,1,"[(13508, 1, 1771), (13508, 0, 1380), (10303, 1, 1771), (1771, 1, 13508), (1771, 1, 10303)]",5,218.5,1.5545219,"[205, 232]",2.244032
"(36270, 0, 265)","[4.955546, 5.3196626]",all,1,"[(12825, 4, 32698), (32698, 0, 265), (12825, 4, 36270)]",3,816.0,5.137604,"[1164, 468]",2.4774587
"(36622, 2, 2580)","[1.4971561, 1.4472646]",all,1,"[(20059, 2, 2580)]",1,1.0,1.4722104,"[1, 1]",1.264704
"(23647, 0, 1338)","[0.8862974, 1.504848]",all,1,"[(14302, 0, 1338)]",1,14.0,1.1955727,"[2, 26]",1.3406936
"(31393, 0, 292)","[0.8553451, 0.39561456]",all,1,"[(6046, 0, 292)]",1,1.0,0.6254798,"[1, 1]",1.4777615
"(27989, 2, 17930)","[1.493397, 2.292172]",all,1,"[(27989, 2, 499), (11900, 2, 17930), (11900, 2, 499)]",3,14.0,1.8927845,"[12, 16]",0.405201
"(37929, 2, 121)","[1.0436811, 1.7732036]",all,1,"[(11308, 2, 121)]",1,6.5,1.4084424,"[3, 10]",1.7267122
"(36297, 0, 16303)","[4.976107, 4.7489176]",all,1,"[(25916, 6, 36297)]",1,6987.0,4.8625126,"[9001, 4973]",2.9325104
"(25076, 0, 265)","[5.4258323, 5.5544753]",all,1,"[(20659, 0, 265), (17623, 4, 20659), (17623, 4, 25076)]",3,901.5,5.490154,"[1318, 485]",2.0178685
"(38386, 0, 1904)","[1.4496193, 2.4825726]",all,1,"[(10444, 4, 1904)]",1,13.0,1.9660959,"[1, 25]",3.1416736
"(37558, 2, 741)","[2.3040848, 2.1862116]",all,1,"[(193, 6, 37558)]",1,3.5,2.2451482,"[4, 3]",0.9920295
"(33324, 0, 284)","[5.3977103, 5.261361]",all,1,"[(2924, 4, 33324)]",1,8426.5,5.3295355,"[16804, 49]",0.75780964
"(30007, 2, 121)","[0.9436627, 0.88446665]",all,1,"[(2206, 2, 916), (2206, 2, 121), (30007, 2, 916)]",3,3.0,0.91406465,"[3, 3]",0.6540674
"(829, 0, 1677)","[0.9697651, 0.79181004]",all,1,"[(3160, 1, 1677), (1677, 1, 3160)]",2,5.0,0.8807876,"[9, 1]",1.4397378
"(36255, 0, 10055)","[1.4208182, 2.2077837]",all,1,"[(13567, 0, 10055)]",1,331.0,1.814301,"[73, 589]",1.2075223
"(32164, 0, 184)","[0.4588355, 0.5715584]",all,1,"[(25787, 0, 184)]",1,1.0,0.515197,"[1, 1]",0.74327976
"(7324, 2, 12273)","[0.5286349, 0.7495213]",all,1,"[(4808, 6, 7324), (6798, 2, 12273), (4808, 6, 6798)]",3,1.0,0.63907814,"[1, 1]",0.8107544
"(37285, 0, 184)","[1.2846637, 0.4233371]",all,1,"[(1988, 0, 184)]",1,2.0,0.8540004,"[3, 1]",1.4167567
"(38545, 2, 3943)","[1.5327377, 0.9222418]",all,1,"[(7700, 6, 38545)]",1,1.0,1.2274897,"[1, 1]",0.52756256
"(35086, 0, 1929)","[2.1928048, 2.196847]",all,1,"[(13085, 0, 1929), (13084, 4, 13085), (13084, 4, 35086)]",3,72.5,2.194826,"[52, 93]",1.266521
"(1864, 0, 1703)","[1.4457407, 1.2428433]",all,1,"[(34381, 0, 1703)]",1,1.5,1.3442919,"[2, 1]",1.4160054
"(18961, 2, 7)","[0.70704806, 0.37545606]",all,1,"[(19812, 2, 7), (2930, 6, 19812), (2930, 6, 18961)]",3,1.0,0.5412521,"[1, 1]",0.6120101
"(26845, 0, 292)","[0.33507857, 0.3276164]",all,1,"[(16205, 0, 292)]",1,1.0,0.33134747,"[1, 1]",0.67443144
"(7396, 0, 39)","[1.2212138, 1.5165021]",all,1,"[(3608, 4, 7435), (3608, 4, 7396), (7435, 0, 39)]",3,1.0,1.368858,"[1, 1]",2.1907704
"(35944, 2, 916)","[5.2676926, 5.200654]",all,1,"[(35944, 2, 121), (7518, 2, 121), (7518, 2, 916)]",3,33.0,5.2341733,"[22, 44]",0.8335239
"(13521, 0, 427)","[5.303702, 4.998448]",all,1,"[(13520, 4, 13521), (13520, 4, 31693), (31693, 0, 427)]",3,3494.5,5.151075,"[6881, 108]",1.5232298
"(37756, 0, 278)","[1.1871809, 1.1647907]",all,1,"[(9817, 0, 278)]",1,1.5,1.1759858,"[1, 2]",1.6959426
"(14888, 0, 2518)","[0.5454793, 0.6491003]",all,1,"[(18332, 0, 2518), (21982, 4, 14888), (21982, 4, 18332)]",3,1.5,0.5972898,"[1, 2]",0.6015825
