exp,exp_length,new_scores,facts,new_ranks,original_score,original_rank,new_score,new_rank,prediction
"[(7708, 1, 9498), (7707, 1, 7708), (9498, 1, 7707), (9498, 1, 7708)]",4,[-6.3202343],"[({(7707, 1, 7708)}, 2.6564161025391924, 'baseline'), ({(7708, 1, 9498)}, -0.6051997700480136, 'baseline'), ({(9498, 1, 7708)}, -0.6072949925062008, 'baseline')]",[28496],8.797766,1,-6.3202343,28496.0,"(7708, 1, 7707)"
"[(32885, 1, 37429)]",1,[-5.0104475],"[({(32885, 1, 37429)}, 4.774894012659452, 'baseline')]",[36360],10.5282135,1,-5.0104475,36360.0,"(37429, 1, 32885)"
"[(10722, 1, 5826)]",1,[-0.005058944],"[({(10722, 1, 5826)}, 3.4187606254412257, 'baseline')]",[2833],9.052063,1,-0.005058944,2833.0,"(5826, 1, 10722)"
"[(21524, 0, 1062), (21524, 1, 20692), (20692, 1, 1062), (1062, 1, 20692)]",4,[-6.162194],"[({(21524, 1, 20692)}, 0.7012625191590216, 'baseline'), ({(20692, 1, 1062)}, -0.13900752815335604, 'baseline'), ({(1062, 1, 20692)}, -0.14155669963311843, 'baseline')]",[40843],9.7515745,1,-6.162194,40843.0,"(20692, 1, 21524)"
"[(31140, 1, 25999)]",1,[-1.5790789],"[({(31140, 1, 25999)}, 3.2760217656453086, 'baseline')]",[22217],9.611744,1,-1.5790789,22217.0,"(25999, 1, 31140)"
"[(15849, 1, 22500)]",1,[-1.1195993],"[({(15849, 1, 22500)}, 1.560462067735936, 'baseline')]",[25893],8.751211,1,-1.1195993,25893.0,"(22500, 1, 15849)"
"[(21810, 4, 3388), (21810, 4, 21811), (3388, 0, 278)]",3,[5.3530936],"[({(21810, 4, 21811)}, 7.868524021619627, 'baseline')]",[23],7.6046906,1,5.3530936,23.0,"(21811, 0, 278)"
"[(4170, 6, 20535), (4170, 6, 33440), (20535, 2, 121)]",3,[9.339772],"[({(4170, 6, 33440)}, 5.3997777369614335, 'baseline')]",[1],7.4783945,1,9.339772,1.0,"(33440, 2, 121)"
"[(1155, 5, 2971), (14576, 1, 904), (22518, 5, 2971), (1155, 0, 1156), (904, 1, 14576), (14576, 1, 1156), (24018, 0, 904), (22518, 0, 14576), (1156, 1, 14576), (24018, 5, 2971)]",10,[3.9641562],"[({(904, 1, 14576)}, 0.16616110063684594, 'baseline'), ({(14576, 1, 904)}, 0.16605285857646587, 'baseline'), ({(22518, 0, 14576)}, 0.12404731952284571, 'baseline'), ({(1156, 1, 14576)}, -0.09079166220433084, 'baseline'), ({(14576, 1, 1156)}, -0.09343286319992104, 'baseline')]",[12],5.459032,1,3.9641562,12.0,"(14576, 5, 2971)"
"[(12905, 1, 12904), (12904, 1, 1757), (1757, 1, 5832), (5832, 1, 12905), (12905, 1, 28697), (28697, 1, 12905), (28697, 1, 1757), (12904, 1, 12905)]",8,[-0.5450723],"[({(5832, 1, 12905)}, 0.8057594767907363, 'baseline'), ({(28697, 1, 12905)}, -0.021558721571455764, 'baseline'), ({(12905, 1, 28697)}, -0.02266498380157672, 'baseline'), ({(12905, 1, 12904)}, -0.06778808402725484, 'baseline'), ({(12904, 1, 12905)}, -0.07023902701339717, 'baseline')]",[3156],9.152345,1,-0.5450723,3156.0,"(12905, 1, 5832)"
"[(653, 1, 17819), (17820, 1, 17819), (17820, 0, 12901), (653, 0, 12901), (17819, 1, 17820)]",5,[-1.9685469],"[({(653, 1, 17819)}, 0.9119701874276097, 'baseline'), ({(17819, 1, 17820)}, -0.07451244166116351, 'baseline'), ({(17820, 1, 17819)}, -0.10173412127263899, 'baseline')]",[16308],9.249761,1,-1.9685469,16308.0,"(17819, 1, 653)"
"[(17219, 2, 909), (17219, 2, 3167), (17014, 2, 909)]",3,[2.6945045],"[({(17014, 2, 909)}, 6.876253301968563, 'baseline')]",[82],7.138199,1,2.6945045,82.0,"(17014, 2, 3167)"
"[(1048, 1, 1049), (32701, 1, 1049), (1049, 1, 32701), (1048, 0, 522)]",4,[0.39518908],"[({(32701, 1, 1049)}, 0.7189226604336729, 'baseline'), ({(1049, 1, 32701)}, 0.7175627208304095, 'baseline')]",[620],6.671388,1,0.39518908,620.0,"(32701, 0, 522)"
"[(3103, 1, 3104)]",1,[-1.7990415],"[({(3103, 1, 3104)}, 8.067659799592336, 'baseline')]",[19168],9.955729,1,-1.7990415,19168.0,"(3104, 1, 3103)"
"[(17169, 3, 17011)]",1,[-0.7338846],"[({(17169, 3, 17011)}, 1.838922108253758, 'baseline')]",[27737],8.8337755,1,-0.7338846,27737.0,"(17011, 3, 17169)"
"[(14302, 0, 1338), (23647, 0, 14302)]",2,[1.604144],"[({(23647, 0, 14302)}, 8.396094793072805, 'baseline')]",[184],7.0427074,1,1.604144,184.0,"(23647, 0, 1338)"
"[(4765, 1, 29462), (21665, 1, 29462), (4764, 1, 4765), (29462, 1, 4765), (4764, 1, 21665)]",5,[0.15806067],"[({(4764, 1, 4765)}, 0.8379860398911381, 'baseline'), ({(4765, 1, 29462)}, 0.12413124286383459, 'baseline'), ({(29462, 1, 4765)}, 0.11855034074100411, 'baseline')]",[2844],9.360676,1,0.15806067,2844.0,"(4765, 1, 4764)"
"[(1897, 1, 8742), (5674, 1, 19068), (19068, 1, 8742), (8742, 1, 1897), (1897, 1, 5674)]",5,[2.9757452],"[({(19068, 1, 8742)}, 1.0672207403803715, 'baseline'), ({(8742, 1, 1897)}, -0.06680866050919153, 'baseline'), ({(1897, 1, 8742)}, -0.0674342708964393, 'baseline')]",[50],8.114485,1,2.9757452,50.0,"(8742, 1, 19068)"
"[(28087, 1, 13806)]",1,[-0.313899],"[({(28087, 1, 13806)}, 2.6448075001582576, 'baseline')]",[6051],9.769687,1,-0.313899,6051.0,"(13806, 1, 28087)"
"[(13794, 1, 3210), (553, 1, 13794), (8242, 5, 1819), (3210, 0, 14885), (135, 0, 3210), (553, 0, 1819), (8242, 0, 3210), (14885, 5, 1819), (135, 5, 1819), (3210, 1, 13794)]",10,[4.487527],"[({(3210, 0, 14885)}, 0.6948409530792367, 'baseline'), ({(135, 0, 3210)}, 0.13516096321162602, 'baseline'), ({(8242, 0, 3210)}, 0.05961755939152136, 'baseline'), ({(13794, 1, 3210)}, 0.05048612783968538, 'baseline'), ({(3210, 1, 13794)}, 0.04902843664927955, 'baseline'), ({(5796, 0, 3210)}, 0.04705290027428572, 'baseline')]",[3],6.574163,1,4.487527,3.0,"(3210, 5, 1819)"
"[(8721, 0, 1754), (11480, 2, 8721), (1534, 0, 1754)]",3,[-0.18939495],"[({(11480, 2, 8721)}, 5.75968823417111, 'baseline')]",[638],5.108136,1,-0.18939495,638.0,"(11480, 2, 1534)"
"[(12197, 1, 3407), (26647, 9, 12197), (12197, 9, 26647), (3407, 1, 26647)]",4,[-1.2671046],"[({(3407, 1, 26647)}, 1.8577137849987742, 'baseline'), ({(26647, 9, 12197)}, -0.17128558900522367, 'baseline'), ({(12197, 9, 26647)}, -0.1729240014274526, 'baseline')]",[27824],8.59272,1,-1.2671046,27824.0,"(26647, 1, 3407)"
"[(9960, 1, 469), (9268, 1, 12274), (9268, 0, 469), (12274, 0, 9960)]",4,[-5.1636615],"[({(9268, 1, 12274)}, 2.9948684987816563, 'baseline'), ({(12274, 0, 9960)}, -0.30047889433362296, 'baseline')]",[23369],10.34638,1,-5.1636615,23369.0,"(12274, 1, 9268)"
"[(8885, 1, 17578), (3300, 1, 17578), (26393, 1, 3300), (8885, 1, 26393), (17578, 1, 3300)]",5,[0.74503505],"[({(8885, 1, 17578)}, 1.809701048549741, 'baseline'), ({(17578, 1, 3300)}, -0.21338554150575706, 'baseline'), ({(3300, 1, 17578)}, -0.21721072918597767, 'baseline')]",[348],9.063567,1,0.74503505,348.0,"(17578, 1, 8885)"
"[(34834, 1, 3152)]",1,[-1.4012568],"[({(34834, 1, 3152)}, 1.144129807694078, 'baseline')]",[37764],9.688642,1,-1.4012568,37764.0,"(3152, 1, 34834)"
"[(3970, 0, 81), (16415, 4, 36104), (16415, 4, 3970)]",3,[1.798778],"[({(16415, 4, 36104)}, 8.29233443595319, 'baseline')]",[161],7.7996135,1,1.798778,161.0,"(36104, 0, 81)"
"[(1620, 6, 25305), (1620, 4, 35819), (35819, 0, 2099)]",3,[1.3090402],"[({(1620, 6, 25305)}, 7.878249845034241, 'baseline')]",[215],7.398238,1,1.3090402,215.0,"(25305, 0, 2099)"
"[(24859, 1, 24512)]",1,[-0.6376841],"[({(24859, 1, 24512)}, 5.277992319593081, 'baseline')]",[3355],10.221,1,-0.6376841,3355.0,"(24512, 1, 24859)"
"[(11130, 1, 13731), (3340, 1, 13731), (25343, 1, 3340), (13730, 1, 13694), (13694, 1, 3340), (13731, 1, 11130), (13731, 1, 13730), (25343, 1, 11130), (13730, 1, 13731)]",9,[1.6366855],"[({(3340, 1, 13731)}, 0.3490600998177927, 'baseline'), ({(11130, 1, 13731)}, 0.02657894322687749, 'baseline'), ({(13731, 1, 11130)}, 0.02612785525133898, 'baseline'), ({(13730, 1, 13731)}, -0.0002946453659013311, 'baseline'), ({(13731, 1, 13730)}, -0.0016460018925003126, 'baseline'), ({(13731, 0, 586)}, -0.20594688187760846, 'baseline')]",[95],9.419868,1,1.6366855,95.0,"(13731, 1, 3340)"
"[(11202, 0, 21993), (19504, 0, 17245), (11202, 1, 17245), (19504, 1, 21993)]",4,[-4.210239],"[({(19504, 1, 21993)}, 0.6809044332176022, 'baseline'), ({(11202, 0, 21993)}, 0.19768718945850988, 'baseline')]",[40873],8.579209,1,-4.210239,40873.0,"(21993, 1, 19504)"
"[(14202, 0, 31982), (14201, 1, 31982), (14201, 1, 14202)]",3,[-2.6373477],"[({(14201, 1, 14202)}, 4.436471372937372, 'baseline'), ({(14202, 0, 31982)}, -0.6664828808273733, 'baseline')]",[7579],10.240109,1,-2.6373477,7579.0,"(14202, 1, 14201)"
"[(13763, 1, 2604), (19171, 0, 3450), (2604, 9, 19171), (13968, 1, 3450), (3450, 1, 13763), (6752, 1, 3450), (13968, 1, 2604), (6752, 1, 2604), (13763, 1, 3450)]",9,[3.6926327],"[({(6752, 1, 3450)}, 1.1940003001947856, 'baseline'), ({(13763, 1, 3450)}, -0.05472083859771731, 'baseline'), ({(3450, 1, 13763)}, -0.05779643821999401, 'baseline'), ({(13968, 1, 3450)}, -0.07508369251959271, 'baseline'), ({(19171, 0, 3450)}, -0.09509368703645621, 'baseline'), ({(15388, 1, 3450)}, -0.11816592970834476, 'baseline'), ({(12980, 1, 3450)}, -0.11840911667606481, 'baseline'), ({(3450, 1, 15388)}, -0.11970229901978895, 'baseline'), ({(3450, 1, 12980)}, -0.1202573374782407, 'baseline')]",[11],8.6875305,1,3.6926327,11.0,"(3450, 1, 6752)"
"[(1287, 1, 18173), (23932, 1, 18173), (406, 1, 23932), (1287, 1, 406)]",4,[-0.07760705],"[({(1287, 1, 18173)}, 2.7351428826111936, 'baseline'), ({(23932, 1, 18173)}, 0.04869941896622269, 'baseline')]",[4718],8.870047,1,-0.07760705,4718.0,"(18173, 1, 1287)"
"[(17826, 3, 17825), (17826, 3, 14917), (14917, 3, 17825)]",3,[-0.100836284],"[({(17826, 3, 14917)}, 1.4964428616733851, 'baseline'), ({(14917, 3, 17825)}, 0.11263469895666399, 'baseline')]",[4825],8.515327,1,-0.100836284,4825.0,"(14917, 3, 17826)"
"[(9037, 1, 26613)]",1,[-0.03268656],"[({(9037, 1, 26613)}, 2.523134377124965, 'baseline')]",[2611],9.101814,1,-0.03268656,2611.0,"(26613, 1, 9037)"
"[(1019, 4, 39576), (1019, 4, 28305), (39576, 0, 3141)]",3,[2.7684412],"[({(1019, 4, 28305)}, 5.472739714975529, 'baseline')]",[21],8.571083,1,2.7684412,21.0,"(28305, 0, 3141)"
"[(4747, 5, 3149), (22951, 5, 3149)]",2,[-2.744577],"[({(4747, 5, 3149)}, 10.38924587081491, 'baseline')]",[1653],7.647258,1,-2.744577,1653.0,"(4747, 0, 22951)"
"[(5712, 0, 2938), (7315, 1, 5712), (7315, 0, 15497), (2938, 1, 15497)]",4,[2.8416116],"[({(2938, 1, 15497)}, 1.4024124777006275, 'baseline'), ({(7315, 0, 15497)}, 0.24061207061324313, 'baseline')]",[36],9.88568,1,2.8416116,36.0,"(15497, 1, 2938)"
"[(5862, 1, 14121)]",1,[-0.30458894],"[({(5862, 1, 14121)}, 1.5529542663159217, 'baseline')]",[19204],7.876352,1,-0.30458894,19204.0,"(14121, 1, 5862)"
"[(20385, 0, 184), (1038, 4, 39279), (1038, 4, 20385)]",3,[6.4557447],"[({(1038, 4, 39279)}, 11.377507094558638, 'baseline')]",[6],8.77287,1,6.4557447,6.0,"(39279, 0, 184)"
"[(5598, 1, 3331), (5598, 1, 21485), (7514, 1, 3331), (7514, 1, 21485), (21485, 1, 7514), (3331, 1, 7514), (25165, 1, 5598), (25165, 1, 7514)]",8,[1.5053492],"[({(25165, 1, 7514)}, 0.5949278314202425, 'baseline'), ({(21485, 1, 7514)}, 0.07837681006922419, 'baseline'), ({(7514, 1, 21485)}, 0.07550148203230113, 'baseline'), ({(3331, 1, 7514)}, 0.03610901065179918, 'baseline'), ({(7514, 1, 3331)}, 0.0356026096083266, 'baseline')]",[120],9.075606,1,1.5053492,120.0,"(7514, 1, 25165)"
"[(15527, 1, 5116), (15028, 1, 21701), (19324, 0, 21701), (5116, 1, 19324), (19324, 1, 16314), (6422, 1, 15527), (15028, 1, 6422), (16314, 1, 15028), (5116, 1, 15028), (21701, 1, 15028)]",10,[5.6420097],"[({(5116, 1, 15028)}, 0.31575874613959537, 'baseline'), ({(16314, 1, 15028)}, 0.08560661509807145, 'baseline'), ({(15028, 1, 21701)}, 0.011381189265875988, 'baseline'), ({(21701, 1, 15028)}, 0.009264032323726534, 'baseline'), ({(15028, 1, 6422)}, -0.07775302698039813, 'baseline'), ({(6422, 1, 15028)}, -0.07847781941282676, 'baseline')]",[4],9.27175,1,5.6420097,4.0,"(15028, 1, 5116)"
"[(5782, 1, 6726)]",1,[-0.09879357],"[({(5782, 1, 6726)}, 0.5725403265904968, 'baseline')]",[9387],9.564367,1,-0.09879357,9387.0,"(6726, 1, 5782)"
"[(5329, 1, 12530)]",1,[-0.7320811],"[({(5329, 1, 12530)}, 3.6638335519725187, 'baseline')]",[6737],10.27132,1,-0.7320811,6737.0,"(12530, 1, 5329)"
"[(14159, 1, 40286)]",1,[-3.2461858],"[({(14159, 1, 40286)}, 6.316315010999121, 'baseline')]",[31435],10.40897,1,-3.2461858,31435.0,"(40286, 1, 14159)"
"[(26785, 0, 17167), (707, 1, 7703), (7703, 1, 26785), (707, 0, 17167)]",4,[-3.624117],"[({(7703, 1, 26785)}, 4.227009524412198, 'baseline'), ({(26785, 0, 17167)}, -0.48362727693263946, 'baseline')]",[13559],10.314679,1,-3.624117,13559.0,"(26785, 1, 7703)"
"[(28317, 0, 7329), (28317, 1, 5855), (11474, 0, 5855), (11474, 1, 8458), (8458, 0, 7329), (5855, 1, 28317), (7329, 1, 5855)]",7,[4.703084],"[({(7329, 1, 5855)}, 0.6447182144879807, 'baseline'), ({(11474, 0, 5855)}, 0.08782486154784157, 'baseline'), ({(5855, 1, 28317)}, 0.01584057041677979, 'baseline'), ({(28317, 1, 5855)}, 0.01436142150442485, 'baseline')]",[14],8.925503,1,4.703084,14.0,"(5855, 1, 7329)"
"[(957, 1, 6485), (30984, 0, 957), (6485, 1, 30984)]",3,[2.0149574],"[({(6485, 1, 30984)}, 1.1585255218752126, 'baseline'), ({(30984, 0, 957)}, 0.3373270446425075, 'baseline')]",[35],9.050512,1,2.0149574,35.0,"(30984, 1, 6485)"
"[(1137, 5, 774), (29963, 2, 1137)]",2,[5.9734726],"[({(29963, 2, 1137)}, 5.850420152190415, 'baseline')]",[1],8.869197,1,5.9734726,1.0,"(29963, 5, 774)"
"[(13110, 1, 17030), (13110, 0, 2574), (17030, 1, 13110), (2573, 0, 2574), (2573, 1, 17030)]",5,[0.3583976],"[({(2573, 1, 17030)}, 2.5545946662167798, 'baseline'), ({(17030, 1, 13110)}, -0.31352515889692606, 'baseline'), ({(13110, 1, 17030)}, -0.31541057303884, 'baseline')]",[1562],8.604788,1,0.3583976,1562.0,"(17030, 1, 2573)"
"[(39563, 2, 2580), (20114, 6, 20115), (20114, 6, 39563)]",3,[6.5182486],"[({(20114, 6, 20115)}, 1.915011495332419, 'baseline')]",[1],8.1901455,1,6.5182486,1.0,"(20115, 2, 2580)"
"[(18271, 1, 3741)]",1,[0.21423006],"[({(18271, 1, 3741)}, 1.0087214027226916, 'baseline')]",[1862],10.975729,1,0.21423006,1862.0,"(3741, 1, 18271)"
"[(7531, 1, 7532)]",1,[0.3698754],"[({(7531, 1, 7532)}, 1.6192169914096355, 'baseline')]",[2493],8.390123,1,0.3698754,2493.0,"(7532, 1, 7531)"
"[(9610, 0, 9611), (36226, 0, 9611), (9610, 1, 1771), (36226, 1, 1771)]",4,[-3.061196],"[({(36226, 1, 1771)}, 0.18369487983445115, 'baseline'), ({(9610, 1, 1771)}, 0.16147808288976823, 'baseline')]",[40937],9.191784,1,-3.061196,40937.0,"(1771, 1, 36226)"
"[(10563, 1, 2955), (10563, 9, 6882), (10563, 1, 9971), (6883, 1, 2955), (6882, 0, 6883), (9971, 1, 6882), (6882, 1, 9971)]",7,[-5.61872],"[({(10563, 9, 6882)}, 1.3903198868821423, 'baseline'), ({(9971, 1, 6882)}, -0.13333698069551858, 'baseline'), ({(6882, 1, 9971)}, -0.13415332593025014, 'baseline'), ({(6882, 0, 6883)}, -0.16434951567848144, 'baseline')]",[26825],10.239602,1,-5.61872,26825.0,"(6882, 9, 10563)"
"[(27614, 5, 172), (27614, 0, 28580)]",2,[3.8154745],"[({(27614, 0, 28580)}, 1.2990559933405887, 'baseline')]",[1],7.0875874,1,3.8154745,1.0,"(28580, 5, 172)"
"[(28165, 1, 40453)]",1,[-3.4062045],"[({(28165, 1, 40453)}, 11.62026042629262, 'baseline')]",[12095],9.401691,1,-3.4062045,12095.0,"(40453, 1, 28165)"
"[(16026, 0, 3818), (16026, 1, 19508), (16026, 1, 21645), (19508, 1, 32962), (21645, 1, 14574), (14574, 1, 21645), (21645, 1, 32962), (14574, 0, 3818), (32962, 1, 21645)]",9,[-6.1707683],"[({(16026, 1, 21645)}, 0.7970276346103573, 'baseline'), ({(21645, 1, 14574)}, -0.06868930627752735, 'baseline'), ({(14574, 1, 21645)}, -0.07057567408466156, 'baseline'), ({(32962, 1, 21645)}, -0.15537544040108273, 'baseline'), ({(21645, 1, 32962)}, -0.15578552035187426, 'baseline')]",[27905],9.251232,1,-6.1707683,27905.0,"(21645, 1, 16026)"
"[(13752, 1, 11251)]",1,[0.68314254],"[({(13752, 1, 11251)}, 2.4058209782838564, 'baseline')]",[751],9.526362,1,0.68314254,751.0,"(11251, 1, 13752)"
"[(11702, 0, 6759), (11702, 1, 26645), (129, 1, 6759), (26645, 5, 129)]",4,[-3.9694014],"[({(11702, 1, 26645)}, 2.0796977101827254, 'baseline'), ({(26645, 5, 129)}, -0.22719951389826495, 'baseline')]",[32411],10.44846,1,-3.9694014,32411.0,"(26645, 1, 11702)"
"[(32045, 2, 743), (12272, 6, 33423), (23887, 6, 32045), (23887, 6, 31376), (10052, 6, 31376), (33423, 2, 743), (12272, 6, 31376), (10052, 6, 33423)]",8,[5.7861485],"[({(23887, 6, 31376)}, 1.0763340523805784, 'baseline'), ({(10052, 6, 31376)}, 0.126823465444857, 'baseline'), ({(12272, 6, 31376)}, -0.17348047040416817, 'baseline')]",[6],7.7001705,1,5.7861485,6.0,"(31376, 2, 743)"
"[(19801, 1, 19802), (13722, 0, 5394), (15112, 1, 13722), (20358, 1, 20359), (20358, 0, 5394), (20359, 0, 2601), (2601, 1, 5394), (15112, 0, 2601), (19801, 0, 5394), (19802, 0, 2601)]",10,[0.18432707],"[({(2601, 1, 5394)}, 0.856279420986408, 'baseline'), ({(20358, 0, 5394)}, 0.17155555936997713, 'baseline'), ({(19801, 0, 5394)}, 0.10427383616882158, 'baseline'), ({(13722, 0, 5394)}, 0.08052448463900895, 'baseline')]",[2901],9.64728,1,0.18432707,2901.0,"(5394, 1, 2601)"
"[(2617, 1, 11144), (11144, 0, 21098), (21097, 1, 21098), (2617, 0, 21097)]",4,[-8.570268],"[({(2617, 1, 11144)}, 1.828364456154238, 'baseline'), ({(11144, 0, 21098)}, -0.10830112258590158, 'baseline')]",[34813],9.984545,1,-8.570268,34813.0,"(11144, 1, 2617)"
"[(8153, 1, 10925), (12946, 1, 10925), (9917, 1, 8153), (9917, 1, 12946)]",4,[0.9632991],"[({(8153, 1, 10925)}, 2.6174241690035895, 'baseline'), ({(12946, 1, 10925)}, 0.05927852816956424, 'baseline')]",[153],9.006329,1,0.9632991,153.0,"(10925, 1, 8153)"
"[(12999, 1, 15171), (15171, 1, 31425), (15171, 1, 12999), (15729, 1, 31425)]",4,[-1.5937692],"[({(15171, 1, 12999)}, 0.6256070577548827, 'baseline'), ({(12999, 1, 15171)}, 0.6216030560812194, 'baseline')]",[18930],6.798723,1,-1.5937692,18930.0,"(12999, 1, 15729)"
"[(19910, 9, 8634)]",1,[-0.6182006],"[({(19910, 9, 8634)}, 3.515775560500913, 'baseline')]",[8704],9.567928,1,-0.6182006,8704.0,"(8634, 9, 19910)"
"[(5176, 1, 5596), (32633, 0, 5176), (5596, 1, 32633), (5176, 1, 6813), (6813, 1, 32633), (32633, 1, 6813)]",6,[-2.8937545],"[({(5596, 1, 32633)}, 1.62142093291008, 'baseline'), ({(32633, 0, 5176)}, 0.0022764605868343855, 'baseline'), ({(6813, 1, 32633)}, -0.30845351891299777, 'baseline'), ({(32633, 1, 6813)}, -0.3178624696830462, 'baseline')]",[8940],9.348708,1,-2.8937545,8940.0,"(32633, 1, 5596)"
"[(9012, 0, 2536), (2536, 5, 7786)]",2,[3.3159738],"[({(9012, 0, 2536)}, 8.49486192369749, 'baseline')]",[127],8.305224,1,3.3159738,127.0,"(9012, 5, 7786)"
"[(25496, 0, 25497), (15830, 0, 5310), (15830, 0, 25497)]",3,[-2.086844],"[({(25496, 0, 25497)}, 8.807988329841871, 'baseline')]",[1173],7.0187235,1,-2.086844,1173.0,"(25496, 0, 5310)"
"[(4691, 1, 36188), (4691, 0, 4692), (20727, 0, 4692), (36188, 1, 20727), (20727, 1, 36188)]",5,[-3.0483978],"[({(4691, 1, 36188)}, 0.9568014643397418, 'baseline'), ({(36188, 1, 20727)}, -0.17035003445940436, 'baseline'), ({(20727, 1, 36188)}, -0.17063995145468558, 'baseline')]",[26587],9.827701,1,-3.0483978,26587.0,"(36188, 1, 4691)"
"[(8525, 4, 23270), (8525, 4, 21505), (23270, 0, 296)]",3,[5.65606],"[({(8525, 4, 21505)}, 5.344250407765095, 'baseline')]",[16],6.9597425,1,5.65606,16.0,"(21505, 0, 296)"
"[(7605, 1, 7606), (16736, 1, 7605), (7606, 1, 7605), (16736, 1, 7606)]",4,[-4.0194597],"[({(16736, 1, 7605)}, 1.895426838274759, 'baseline'), ({(7606, 1, 7605)}, -0.3238315171482852, 'baseline'), ({(7605, 1, 7606)}, -0.32939525307508155, 'baseline')]",[32624],9.469548,1,-4.0194597,32624.0,"(7605, 1, 16736)"
"[(14493, 1, 37743), (14493, 1, 25874), (37743, 0, 25874)]",3,[-0.46295655],"[({(14493, 1, 37743)}, 2.2295199580398077, 'baseline'), ({(37743, 0, 25874)}, -0.2165965629482028, 'baseline')]",[2619],9.327404,1,-0.46295655,2619.0,"(37743, 1, 14493)"
