new_scores,new_score,original_score,new_ranks,new_rank,original_rank,facts,#facts,prediction,perspective
"[5.4908487072680146e-05, 6.577382009709254e-05, 9.093149856198579e-05]",7.053793524391949e-05,0.8879063725471497,"[13437, 11423, 11341]",12067.0,1,"[(29649, 1, 11590)]",1,"(11590, 1, 29649)",all
"[4.9889309593709186e-05, 1.5476447515538894e-05, 0.0005717468447983265]",0.00021237086730252486,0.9331414699554443,"[18456, 32277, 965]",17232.666666666668,1,"[(4665, 1, 4666)]",1,"(4666, 1, 4665)",all
"[0.005497701931744814, 0.001363998046144843, 0.00799774844199419]",0.004953149473294616,0.9877474308013916,"[11, 30, 8]",16.333333333333332,1,"[(20572, 1, 7982)]",1,"(7982, 1, 20572)",all
"[7.058613846311346e-05, 3.1402037166117225e-06, 7.848679160815664e-06]",2.719167378018028e-05,0.978472113609314,"[9391, 37951, 35160]",27500.666666666668,1,"[(16506, 1, 22728)]",1,"(22728, 1, 16506)",all
"[3.34805590682663e-05, 7.650390762137249e-05, 9.296881034970284e-05]",6.765109234644721e-05,0.867676854133606,"[21557, 16079, 7691]",15109.0,1,"[(26217, 1, 6787)]",1,"(6787, 1, 26217)",all
"[2.862077735699131e-06, 1.2608833458216395e-05, 4.793801417690702e-05]",2.113630845694085e-05,0.8556263446807861,"[39165, 31376, 13349]",27963.333333333332,1,"[(3858, 1, 4697)]",1,"(4697, 1, 3858)",all
"[0.0026468890719115734, 0.002135305432602763, 0.007090806495398283]",0.003957666999970873,0.9375073909759521,"[80, 117, 20]",72.33333333333333,1,"[(1538, 1, 8734)]",1,"(8734, 1, 1538)",all
"[0.0006053878460079432, 0.0021617920137941837, 0.0001499947829870507]",0.0009723915475963926,0.9587638974189758,"[873, 115, 4959]",1982.3333333333333,1,"[(21981, 9, 9303)]",1,"(9303, 9, 21981)",all
"[3.148935502395034e-05, 0.00014928578457329422, 0.0002915848745033145]",0.00015745333803351969,0.9470379948616028,"[25465, 6919, 1965]",11449.666666666666,1,"[(7436, 1, 2887)]",1,"(2887, 1, 7436)",all
"[0.0007935714675113559, 4.578682637657039e-05, 9.787981980480254e-05]",0.0003124127045642429,0.9354263544082642,"[1204, 17599, 12891]",10564.666666666666,1,"[(18417, 1, 3453)]",1,"(3453, 1, 18417)",all
"[8.674802666064352e-05, 4.6315210056491196e-05, 7.804305641911924e-05]",7.036876437875132e-05,0.9501182436943054,"[8769, 11980, 8082]",9610.333333333334,1,"[(22618, 1, 699)]",1,"(699, 1, 22618)",all
"[0.015619171783328056, 0.013719563372433186, 0.012756545096635818]",0.014031760084132353,0.9245367050170898,"[13, 12, 19]",14.666666666666666,1,"[(20104, 1, 2502)]",1,"(2502, 1, 20104)",all
"[9.859522833721712e-05, 0.00012019377754768357, 1.6769123249105178e-05]",7.851937637800195e-05,0.9519976377487183,"[9559, 9242, 27495]",15432.0,1,"[(39891, 1, 20097)]",1,"(20097, 1, 39891)",all
"[0.00012860940478276461, 0.0005005023558624089, 3.383220609975979e-05]",0.0002209813222483111,0.8634375929832458,"[5752, 374, 18795]",8307.0,1,"[(33665, 1, 22848)]",1,"(22848, 1, 33665)",all
"[1.6331941878888756e-05, 3.826413012575358e-05, 4.353330587036908e-05]",3.270979262500381e-05,0.09593500196933746,"[17215, 873, 1544]",6544.0,1,"[(4747, 5, 3149)]",1,"(4747, 0, 22951)",all
"[0.009418308734893799, 0.010306155309081078, 0.0006505604251287878]",0.006791674823034555,0.6587778329849243,"[4, 2, 121]",42.333333333333336,1,"[(9535, 4, 9536)]",1,"(9536, 0, 265)",all
"[0.000496433291118592, 0.00475913705304265, 0.011197004467248917]",0.005484191603803386,0.9717803597450256,"[32, 6, 3]",13.666666666666666,1,"[(2443, 1, 12141)]",1,"(12141, 1, 2443)",all
"[2.6783123757923022e-05, 8.395199256483465e-05, 0.0005191155360080302]",0.00020995021744359596,0.9422932267189026,"[16848, 7699, 637]",8394.666666666666,1,"[(21041, 1, 522)]",1,"(522, 1, 21041)",all
"[0.045080866664648056, 0.08623449504375458, 0.043492212891578674]",0.0582691915333271,0.9453070163726807,"[3, 2, 3]",2.6666666666666665,1,"[(19427, 1, 18272)]",1,"(18272, 1, 19427)",all
"[0.30081644654273987, 0.10576649010181427, 0.05261770263314247]",0.1530668797592322,0.9578153491020203,"[1, 2, 2]",1.6666666666666667,1,"[(3647, 1, 3648)]",1,"(3648, 1, 3647)",all
"[0.0001803633786039427, 0.00024411920458078384, 0.00010920711065409705]",0.0001778965646129412,0.9612560868263245,"[6522, 4544, 8224]",6430.0,1,"[(27247, 1, 3929)]",1,"(3929, 1, 27247)",all
"[0.23258516192436218, 0.42295145988464355, 0.27690401673316956]",0.3108135461807251,0.9543496966362,"[2, 2, 2]",2.0,1,"[(11603, 1, 22752)]",1,"(22752, 1, 11603)",all
"[6.921093245182419e-06, 5.32354488314013e-06, 1.7227366697625257e-05]",9.824001608649269e-06,0.72646164894104,"[38986, 39771, 25486]",34747.666666666664,1,"[(23961, 5, 6776)]",1,"(23961, 0, 6776)",all
"[6.779571413062513e-05, 0.0024402763228863478, 0.0031977652106434107]",0.001901945749220128,0.9631841778755188,"[13207, 85, 58]",4450.0,1,"[(10360, 1, 758)]",1,"(758, 1, 10360)",all
"[0.0036542448215186596, 0.002536770887672901, 0.004658641759306192]",0.003616552489499251,0.9403150677680969,"[16, 48, 23]",29.0,1,"[(26814, 1, 13298)]",1,"(13298, 1, 26814)",all
"[3.428970740060322e-05, 1.4399850442714524e-05, 8.812870510155335e-05]",4.560608764829036e-05,0.8398572206497192,"[20210, 30906, 7457]",19524.333333333332,1,"[(13829, 1, 4185)]",1,"(4185, 1, 13829)",all
"[1.5864638044149615e-05, 0.00010936999751720577, 5.962960494798608e-05]",6.162141350311383e-05,0.9498961567878723,"[27323, 2809, 10206]",13446.0,1,"[(38175, 1, 29520)]",1,"(29520, 1, 38175)",all
"[2.674432471394539e-05, 5.777818660135381e-05, 2.3594882804900408e-05]",3.603913137339987e-05,0.8690681457519531,"[25494, 13158, 24122]",20924.666666666668,1,"[(24228, 1, 31721)]",1,"(31721, 1, 24228)",all
"[0.0002814922481775284, 0.000326962472172454, 0.0003647326084319502]",0.0003243957762606442,0.8671815395355225,"[1748, 1026, 1309]",1361.0,1,"[(20700, 1, 17492)]",1,"(17492, 1, 20700)",all
"[0.0041013178415596485, 0.005894406232982874, 0.012971978634595871]",0.007655900903046131,0.9172292351722717,"[37, 21, 7]",21.666666666666668,1,"[(5175, 1, 6813)]",1,"(6813, 1, 5175)",all
"[0.22547835111618042, 0.09449233114719391, 0.32337525486946106]",0.21444864571094513,0.6571306586265564,"[1, 2, 1]",1.3333333333333333,1,"[(193, 6, 28640)]",1,"(28640, 2, 741)",all
"[0.022011710330843925, 0.052148375660181046, 0.10419236123561859]",0.05945081574221452,0.94145667552948,"[3, 4, 3]",3.3333333333333335,1,"[(8643, 1, 7117)]",1,"(7117, 1, 8643)",all
"[5.321536082192324e-05, 0.00023133524518925697, 7.996010390343145e-05]",0.00012150356997153722,0.9318868517875671,"[15449, 2112, 10624]",9395.0,1,"[(1116, 1, 23468)]",1,"(23468, 1, 1116)",all
"[0.03245146572589874, 0.04815300554037094, 0.015917643904685974]",0.03217403839031855,0.970401406288147,"[3, 3, 3]",3.0,1,"[(18755, 1, 24115)]",1,"(24115, 1, 18755)",all
"[3.155055674142204e-05, 4.960775640938664e-06, 3.9768383430782706e-05]",2.542657193771447e-05,0.949526846408844,"[14739, 37477, 12998]",21738.0,1,"[(35514, 1, 15168)]",1,"(15168, 1, 35514)",all
"[3.09483875753358e-05, 0.00015005301975179464, 3.4145898098358884e-05]",7.17157684751631e-05,0.8343851566314697,"[23365, 9342, 22207]",18304.666666666668,1,"[(17946, 1, 865)]",1,"(865, 1, 17946)",all
"[0.0015791519545018673, 0.0023154851514846087, 0.0009754238999448717]",0.0016233536686437826,0.92377108335495,"[76, 36, 132]",81.33333333333333,1,"[(16161, 1, 3136)]",1,"(3136, 1, 16161)",all
"[0.00015306913701351732, 7.625539728906006e-05, 1.8428121620672755e-05]",8.258421864108338e-05,0.9449015259742737,"[1425, 3161, 26893]",10493.0,1,"[(14753, 1, 34777)]",1,"(34777, 1, 14753)",all
"[0.04077301174402237, 0.007265968713909388, 0.05630747973918915]",0.034782153399040304,0.9237152934074402,"[4, 15, 6]",8.333333333333334,1,"[(11642, 1, 14841)]",1,"(14841, 1, 11642)",all
"[1.4235580238164403e-05, 4.809218808077276e-05, 4.284656097297557e-05]",3.505810976397091e-05,0.9746934175491333,"[31507, 15248, 11677]",19477.333333333332,1,"[(26855, 1, 26856)]",1,"(26856, 1, 26855)",all
"[0.001871987129561603, 0.0017145541496574879, 0.0015893711242824793]",0.0017253041345005233,0.957123875617981,"[168, 100, 139]",135.66666666666666,1,"[(4244, 1, 8754)]",1,"(8754, 1, 4244)",all
"[9.665676770964637e-06, 6.011445657350123e-05, 3.5429999115876853e-05]",3.5070044153447576e-05,0.956963837146759,"[36068, 13139, 16243]",21816.666666666668,1,"[(6657, 1, 18566)]",1,"(18566, 1, 6657)",all
"[0.023168141022324562, 0.10246733576059341, 0.10038632154464722]",0.07534059944252174,0.673927366733551,"[3, 2, 2]",2.3333333333333335,1,"[(4502, 6, 36622)]",1,"(36622, 2, 2580)",all
"[4.387819444673369e-06, 6.888494681334123e-05, 9.893484821077436e-05]",5.7402538156262985e-05,0.8771597146987915,"[38944, 7229, 2519]",16230.666666666666,1,"[(36079, 1, 24146)]",1,"(24146, 1, 36079)",all
"[0.2133079171180725, 0.3142246901988983, 0.10077904164791107]",0.2094372163216273,0.9287481307983398,"[4, 2, 1]",2.3333333333333335,1,"[(15587, 1, 15588)]",1,"(15588, 1, 15587)",all
"[0.0009240774088539183, 0.001557346899062395, 0.0018272289307788014]",0.001436217746231705,0.8004068732261658,"[478, 298, 181]",319.0,1,"[(19504, 1, 21993)]",1,"(21993, 1, 19504)",all
"[3.344877768540755e-05, 0.0005775396130047739, 2.062468047370203e-05]",0.00021053769038796114,0.9860931038856506,"[22619, 309, 30337]",17755.0,1,"[(2643, 1, 11856)]",1,"(11856, 1, 2643)",all
"[0.00012995397264603525, 5.6456789025105536e-05, 5.108373807161115e-05]",7.916483324758398e-05,0.9744139909744263,"[2283, 10130, 14203]",8872.0,1,"[(19664, 1, 6144)]",1,"(6144, 1, 19664)",all
"[0.001541732344776392, 6.993689748924226e-05, 0.003896132344380021]",0.0018359338622152184,0.8955927491188049,"[267, 11175, 54]",3832.0,1,"[(15159, 1, 3072)]",1,"(3072, 1, 15159)",all
"[0.022723320871591568, 0.006294893100857735, 0.01894504390656948]",0.015987752626339596,0.8962762355804443,"[3, 5, 5]",4.333333333333333,1,"[(8885, 1, 17578)]",1,"(17578, 1, 8885)",all
"[0.07680563628673553, 0.139826238155365, 0.09137097746133804]",0.1026676173011462,0.8929891586303711,"[3, 2, 4]",3.0,1,"[(8573, 1, 8574)]",1,"(8574, 1, 8573)",all
"[0.028154142200946808, 0.018878675997257233, 0.035695645958185196]",0.027576154718796413,0.19728238880634308,"[4, 5, 5]",4.666666666666667,1,"[(15729, 1, 16455), (16455, 1, 15729)]",2,"(15729, 1, 12999)",all
"[4.543520481092855e-05, 4.2592193494783714e-05, 5.871224493603222e-05]",4.891321441391483e-05,0.5863993167877197,"[606, 578, 546]",576.6666666666666,1,"[(21273, 4, 27089)]",1,"(27089, 0, 25460)",all
"[0.5055697560310364, 0.3624415099620819, 0.4779762327671051]",0.44866249958674115,0.9153757691383362,"[1, 2, 1]",1.3333333333333333,1,"[(2507, 1, 16918)]",1,"(16918, 1, 2507)",all
"[2.065865737677086e-05, 1.5719417660875479e-06, 6.986490916460752e-05]",3.069850276915531e-05,0.9941294193267822,"[17488, 40262, 1843]",19864.333333333332,1,"[(11565, 1, 29689)]",1,"(29689, 1, 11565)",all
"[0.09497088938951492, 0.11548763513565063, 0.29542121291160583]",0.16862657914559046,0.9186691641807556,"[1, 1, 1]",1.0,1,"[(3712, 1, 28826)]",1,"(28826, 1, 3712)",all
