new_ranks,prediction,new_rank,new_scores,new_score,#facts,facts,original_score,original_rank
"[1, 1]","(80, 19, 559)",1.0,"[0.109995306, 0.09460707]",0.10230119,3,"[(80, 8, 6697), (80, 6, 9251), (80, 8, 1070)]",1.2048147,1
"[1, 1]","(2446, 48, 32)",1.0,"[0.2743219, 0.43332142]",0.35382167,3,"[(2446, 38, 5945), (2446, 38, 6061), (2446, 19, 955)]",5.6463876,1
"[2, 2]","(11737, 43, 141)",2.0,"[0.9473078, 1.047534]",0.9974209,3,"[(11737, 24, 249), (11737, 66, 249), (11737, 48, 1124)]",9.008254,2
"[1, 2]","(4551, 26, 1098)",1.5,"[0.18181944, 0.16150424]",0.17166184,3,"[(77, 7, 4551), (4551, 26, 990), (1085, 6, 4551)]",3.7558599,2
"[74, 1]","(2899, 25, 62)",37.5,"[6.4768863, 6.21537]",6.3461285,3,"[(2899, 16, 32), (2899, 46, 9740), (2899, 83, 2900)]",9.085274,1
"[1, 1]","(6597, 48, 32)",1.0,"[0.20451526, 0.3618095]",0.2831624,3,"[(6597, 19, 1661), (6597, 3, 5025), (6597, 19, 2399)]",5.3139343,1
"[20, 1]","(12379, 120, 791)",10.5,"[5.4338074, 3.649865]",4.5418363,3,"[(12379, 133, 32), (3796, 15, 12379), (12379, 56, 12379)]",8.62182,1
"[1, 15]","(5745, 35, 2589)",8.0,"[0.31982008, 0.388568]",0.35419405,3,"[(4733, 64, 5745), (5745, 35, 611), (5745, 64, 7663)]",3.4511123,9
"[2, 1]","(6443, 43, 141)",1.5,"[3.873178, 5.695093]",4.784136,3,"[(6443, 196, 3593), (6443, 21, 8171), (6443, 25, 62)]",9.557828,1
"[1, 1]","(8572, 25, 62)",1.0,"[6.1953354, 3.0543053]",4.62482,3,"[(8572, 56, 8572), (8572, 120, 791), (8572, 15, 1820)]",12.060263,1
"[1, 1]","(8630, 56, 8630)",1.0,"[0.015465915, 0.015730323]",0.015598119,3,"[(3389, 66, 8630), (8630, 25, 62), (1695, 15, 8630)]",0.2021465,1
"[1, 1]","(11326, 25, 62)",1.0,"[6.8041725, 6.8560295]",6.830101,1,"[(3466, 15, 11326)]",13.831659,1
"[12, 2]","(6404, 13, 449)",7.0,"[0.32320592, 0.21642804]",0.269817,3,"[(6404, 13, 2410), (6404, 13, 382), (2413, 102, 6404)]",4.6080956,6
"[1, 1]","(6089, 56, 6089)",1.0,"[0.015465926, 0.015730303]",0.015598115,3,"[(1591, 24, 6089), (10915, 24, 6089), (6089, 133, 32)]",0.2021465,1
"[1, 1]","(9896, 167, 1768)",1.0,"[1.0125535, 1.5416807]",1.277117,3,"[(9896, 108, 90), (32, 15, 9896), (9896, 143, 1044)]",3.695775,1
"[2, 1]","(3785, 14, 5334)",1.5,"[0.5539627, 0.6879291]",0.62094593,3,"[(3785, 14, 2646), (3785, 25, 62), (3785, 136, 9158)]",3.9198654,3
"[1, 1]","(6223, 167, 1768)",1.0,"[0.9390801, 1.479526]",1.2093031,3,"[(6223, 25, 62), (1177, 89, 6223), (6223, 61, 6899)]",3.145742,1
"[2, 3]","(3592, 26, 342)",2.5,"[0.7327824, 0.66582084]",0.6993016,3,"[(3592, 28, 32), (12142, 6, 3592), (3592, 26, 1881)]",5.4018598,12
"[1, 1]","(6787, 25, 62)",1.0,"[6.10596, 6.2245464]",6.165253,3,"[(6787, 120, 791), (6787, 154, 1437), (6787, 56, 6787)]",10.881088,1
"[1, 1]","(2789, 11, 23)",1.0,"[0.16840518, 0.20687148]",0.18763833,3,"[(2789, 13, 419), (1062, 7, 2789), (2789, 31, 4)]",5.030762,3
"[2, 1]","(2552, 43, 141)",1.5,"[0.46787578, 0.4529087]",0.46039224,3,"[(2552, 17, 818), (2552, 24, 5812), (2552, 38, 9203)]",5.0243015,1
"[3, 2]","(7221, 106, 592)",2.5,"[0.23911457, 0.2887326]",0.2639236,3,"[(7221, 13, 32), (7221, 28, 32), (7221, 26, 1960)]",3.3159878,3
"[1, 2]","(1477, 60, 90)",1.5,"[0.40782958, 2.531111]",1.4694703,3,"[(1477, 6, 6074), (1477, 6, 1047), (1477, 17, 215)]",6.757516,1
"[1, 1]","(10456, 25, 62)",1.0,"[6.830167, 6.677334]",6.7537503,3,"[(6550, 226, 10456), (10456, 154, 2620), (4358, 15, 10456)]",11.303192,1
"[3, 1]","(848, 17, 862)",2.0,"[0.82948923, 0.32956254]",0.5795259,3,"[(848, 19, 3250), (848, 164, 417), (2053, 77, 848)]",6.0524263,2
"[1, 1]","(4583, 11, 23)",1.0,"[0.2777437, 0.2645762]",0.27115995,3,"[(4, 2, 4583), (1193, 6, 4583), (10343, 6, 4583)]",3.5137227,1
"[2, 1]","(5481, 95, 521)",1.5,"[2.016244, 1.8235512]",1.9198976,3,"[(5481, 96, 8305), (5481, 96, 12569), (4478, 130, 5481)]",4.4272175,7
"[8, 2]","(8913, 13, 4474)",5.0,"[0.33367234, 0.13050336]",0.23208785,3,"[(8913, 13, 4468), (8913, 13, 382), (8913, 11, 23)]",2.5623288,2
"[1, 1]","(3196, 11, 23)",1.0,"[0.40876627, 0.38624513]",0.3975057,3,"[(3196, 13, 293), (3196, 14, 160), (3196, 106, 592)]",5.5365562,4
"[4, 8]","(2181, 17, 818)",6.0,"[1.008769, 0.9733863]",0.99107766,3,"[(2181, 85, 434), (2181, 17, 393), (2181, 17, 215)]",9.786621,60
"[3123, 1]","(12232, 33, 90)",1562.0,"[3.895494, 2.614851]",3.2551725,3,"[(11950, 58, 12232), (12232, 58, 11984), (12232, 120, 791)]",6.379358,1
"[1, 1]","(9329, 172, 2759)",1.0,"[0.60217214, 0.7239811]",0.66307664,3,"[(9329, 30, 467), (636, 38, 9329), (9329, 14, 160)]",2.8489885,1
"[1, 1]","(738, 115, 6114)",1.0,"[0.20370293, 0.22470345]",0.21420318,3,"[(483, 7, 738), (738, 30, 483), (738, 11, 23)]",5.4222198,1
"[2, 2]","(8753, 10, 2875)",2.0,"[1.9689579, 2.1998708]",2.0844145,3,"[(8753, 10, 2465), (8753, 10, 6589), (8753, 47, 4868)]",3.1120298,1
"[1, 1]","(5263, 48, 32)",1.0,"[0.303361, 0.4624731]",0.38291705,3,"[(948, 8, 5263), (5263, 8, 2109), (5263, 8, 1025)]",6.4752617,1
"[2, 3]","(148, 26, 1098)",2.5,"[0.42965254, 0.29197487]",0.3608137,3,"[(804, 6, 148), (2487, 6, 148), (1326, 6, 148)]",4.163462,2
"[1, 1]","(1927, 212, 4563)",1.0,"[1.5370505, 1.2158608]",1.3764557,3,"[(2159, 175, 1927), (10467, 175, 1927), (1927, 175, 2159)]",8.3503,2
"[1, 3]","(5819, 13, 68)",2.0,"[0.1868435, 0.13512927]",0.1609864,3,"[(5819, 13, 419), (5819, 13, 449), (5819, 13, 5209)]",2.024353,3
"[2, 2]","(8165, 106, 592)",2.0,"[0.19162917, 0.7959192]",0.49377418,3,"[(3352, 2, 8165), (8165, 74, 5955), (3642, 6, 8165)]",3.294287,3
"[2, 1]","(8023, 120, 791)",1.5,"[4.80132, 2.0325232]",3.4169216,3,"[(8023, 111, 11792), (11792, 190, 8023), (3039, 24, 8023)]",7.7777796,1
"[1, 1]","(8848, 34, 90)",1.0,"[0.2729218, 1.6945195]",0.98372066,3,"[(7318, 6, 8848), (8848, 11, 23), (8848, 13, 32)]",5.6515408,1
"[1, 1]","(10221, 25, 62)",1.0,"[2.4802003, 2.347775]",2.4139876,3,"[(10221, 76, 10706), (10221, 76, 2427), (10221, 76, 12756)]",11.653254,1
"[1, 2]","(7664, 26, 342)",1.5,"[0.15753159, 0.22065142]",0.1890915,3,"[(6580, 7, 7664), (285, 7, 7664), (5362, 32, 7664)]",3.449703,6
"[1003, 556]","(5302, 122, 3325)",779.5,"[0.98337483, 0.99902916]",0.991202,3,"[(3694, 37, 5302), (5302, 205, 32), (6403, 127, 5302)]",5.7174397,338
"[1, 2]","(8397, 80, 344)",1.5,"[2.0854702, 1.860158]",1.9728141,3,"[(12164, 170, 8397), (8397, 4, 11), (1494, 40, 8397)]",3.8528743,1
"[1, 2]","(4945, 17, 871)",1.5,"[0.737815, 0.81279033]",0.77530265,3,"[(4945, 85, 434), (4945, 6, 1315), (4945, 6, 4234)]",7.1802206,6
"[2, 3]","(552, 26, 64)",2.5,"[0.13616426, 0.18657109]",0.16136768,3,"[(552, 31, 11181), (552, 28, 32), (552, 86, 10220)]",4.1493998,2
"[2, 2]","(9906, 43, 141)",2.0,"[0.46766508, 0.4916191]",0.4796421,3,"[(7366, 8, 9906), (4693, 8, 9906), (9906, 8, 4693)]",9.394058,2
"[3, 175]","(9530, 48, 32)",89.0,"[4.7954025, 4.0366564]",4.4160295,3,"[(9530, 17, 871), (9530, 66, 592), (9530, 17, 215)]",8.240005,1
"[1, 1]","(7155, 25, 62)",1.0,"[6.6139336, 6.8029447]",6.708439,2,"[(7155, 47, 996), (7155, 67, 911)]",15.6308975,3
"[1, 2]","(3861, 14, 160)",1.5,"[0.19217834, 0.23634711]",0.21426272,3,"[(3861, 31, 568), (625, 38, 3861), (84, 2, 3861)]",2.8738413,1
"[2, 1]","(1392, 43, 141)",1.5,"[4.4302773, 2.9186816]",3.6744795,3,"[(4784, 71, 1392), (1392, 17, 5529), (1392, 179, 98)]",9.411259,1
"[1, 1]","(1897, 14, 160)",1.0,"[0.14700091, 0.2640466]",0.20552376,3,"[(1897, 12, 9802), (2771, 6, 1897), (8353, 6, 1897)]",4.157199,2
"[1, 1]","(10238, 85, 434)",1.0,"[2.3182793, 1.3957261]",1.8570027,3,"[(10238, 19, 1759), (10238, 66, 1327), (10730, 22, 10238)]",7.8994675,2
"[1, 1]","(1432, 98, 8236)",1.0,"[0.94257104, 1.4075682]",1.1750696,3,"[(5453, 130, 1432), (1432, 68, 5213), (1432, 95, 521)]",3.708118,1
"[3, 1]","(8789, 17, 862)",2.0,"[0.4941193, 0.43236935]",0.46324432,3,"[(2534, 22, 8789), (8789, 66, 1516), (8208, 76, 8789)]",6.1907783,26
"[4, 2]","(1259, 13, 202)",3.0,"[0.2960352, 0.19877416]",0.24740468,3,"[(1259, 13, 158), (1259, 84, 689), (1259, 12, 4580)]",4.5881968,7
"[1, 1]","(4819, 85, 434)",1.0,"[2.4058378, 2.1810741]",2.293456,3,"[(4819, 82, 2456), (4819, 21, 5162), (7942, 22, 4819)]",7.894772,1
"[1, 1]","(4123, 172, 1978)",1.0,"[0.9378669, 1.0364496]",0.98715824,3,"[(2401, 89, 4123), (3830, 44, 4123), (3181, 89, 4123)]",3.0339537,1
"[1, 1]","(1309, 25, 62)",1.0,"[3.892866, 4.2680664]",4.0804663,3,"[(1309, 56, 1309), (4353, 15, 1309), (1308, 66, 1309)]",12.2361145,1
"[5, 22]","(3866, 28, 274)",13.5,"[0.44912428, 0.6197995]",0.53446186,3,"[(10603, 6, 3866), (3866, 26, 2605), (3866, 26, 1936)]",5.9332037,14
"[2, 2]","(8425, 124, 4722)",2.0,"[0.776574, 0.64559007]",0.71108204,3,"[(8425, 217, 3433), (8425, 61, 224), (8425, 101, 3232)]",3.366718,5
"[1, 1]","(11039, 43, 141)",1.0,"[0.71055377, 0.56940824]",0.63998103,3,"[(4908, 47, 11039), (11039, 177, 212), (11039, 39, 12031)]",5.5954394,1
"[2, 2]","(7474, 85, 434)",2.0,"[3.0590763, 3.337024]",3.19805,3,"[(6912, 47, 7474), (7474, 38, 10926), (7241, 47, 7474)]",9.356104,3
"[1, 1]","(1431, 91, 494)",1.0,"[0.31751508, 0.83314276]",0.57532895,3,"[(1431, 12, 7263), (7272, 38, 1431), (2577, 162, 1431)]",4.5499496,1
"[1, 1]","(1598, 26, 342)",1.0,"[0.18478379, 0.20737317]",0.19607848,3,"[(1598, 13, 4474), (1598, 13, 1304), (1598, 31, 4)]",4.9227076,4
"[1, 1]","(6433, 85, 434)",1.0,"[0.7469275, 1.1204607]",0.9336941,3,"[(6433, 17, 393), (6433, 102, 12546), (12546, 109, 6433)]",8.570226,1
"[1, 89]","(1956, 98, 8986)",45.0,"[0.73478705, 2.1311717]",1.4329793,3,"[(1956, 68, 2704), (7829, 40, 1956), (1956, 68, 3895)]",3.3958833,1
"[2, 3]","(9448, 0, 4494)",2.5,"[1.5166682, 0.7224212]",1.1195447,3,"[(434, 161, 9448), (4744, 13, 9448), (2115, 13, 9448)]",2.8390942,1
"[1, 1]","(4282, 25, 62)",1.0,"[1.6238314, 1.3771243]",1.5004778,3,"[(4282, 116, 527), (4282, 34, 90), (3734, 6, 4282)]",13.760386,1
"[4, 10]","(5958, 13, 308)",7.0,"[0.1567635, 0.19474497]",0.17575423,3,"[(5958, 13, 853), (5958, 13, 1304), (5958, 28, 32)]",2.5320902,19
"[2, 2]","(7729, 43, 141)",2.0,"[2.8269339, 1.0479616]",1.9374478,3,"[(7729, 17, 862), (3387, 215, 7729), (7729, 19, 2820)]",6.228981,1
"[1, 1]","(7349, 11, 23)",1.0,"[0.20168631, 0.266482]",0.23408416,3,"[(13785, 59, 7349), (7349, 13, 1163), (2767, 6, 7349)]",5.4507256,2
"[2, 1]","(4270, 14, 160)",1.5,"[0.26915282, 0.27786094]",0.27350688,3,"[(6800, 97, 4270), (4270, 141, 6638), (6638, 97, 4270)]",5.48673,1
"[1, 1]","(5563, 34, 90)",1.0,"[0.18201986, 0.30808616]",0.24505301,3,"[(2678, 6, 5563), (4380, 6, 5563), (5563, 28, 274)]",3.426412,1
"[1, 1]","(1174, 60, 90)",1.0,"[0.3194652, 0.21029684]",0.264881,3,"[(941, 84, 1174), (7252, 84, 1174), (1917, 8, 1174)]",5.8760414,1
"[2, 2]","(7448, 43, 141)",2.0,"[1.6712581, 1.2975361]",1.4843972,3,"[(441, 32, 7448), (7448, 141, 727), (11530, 6, 7448)]",14.561535,2102
"[2, 1]","(12589, 43, 141)",1.5,"[3.0645986, 0.75088644]",1.9077425,3,"[(12589, 48, 32), (12589, 24, 1327), (53, 22, 12589)]",8.304846,1
"[1, 1]","(2302, 60, 90)",1.0,"[0.24603724, 0.1884455]",0.21724138,3,"[(2302, 6, 230), (2302, 38, 1490), (2810, 45, 2302)]",3.670332,1
