exp,facts,original_score,exp_length,new_scores,new_ranks,new_score,prediction,new_rank,original_rank
"[(8847, 17, 1002), (7706, 48, 32)]","[([(7706, 48, 32), (8847, 17, 1002)], 0.36889935, 'xrule')]",8.005735,2,[8.132277],[1],8.132277,"(7706, 17, 1002)",1.0,1
"[(2494, 48, 32), (434, 161, 10763)]","[([(2494, 48, 32), (434, 161, 10763)], 1.3161993, 'xrule')]",8.090952,2,[7.7424245],[1],7.7424245,"(2494, 85, 434)",1.0,1
"[(4616, 26, 64), (5672, 28, 32), (5672, 13, 32)]","[([(5672, 28, 32), (5672, 13, 32), (4616, 26, 64)], 0.47520065, 'xrule')]",7.616864,3,[7.4705915],[1],7.4705915,"(5672, 26, 64)",1.0,1
"[(10324, 160, 32), (3350, 24, 1327)]","[([(3350, 24, 1327), (10324, 160, 32)], 0.5976, 'xrule')]",8.392536,2,[8.051252],[1],8.051252,"(3350, 48, 32)",1.0,1
"[(6933, 133, 1124), (4242, 25, 62), (1124, 15, 6933)]","[([(6933, 133, 1124), (1124, 15, 6933), (4242, 25, 62)], 0.57019997, 'xrule')]",5.3587217,3,[5.8068337],[1],5.8068337,"(6933, 25, 62)",1.0,1
"[(1080, 15, 10762), (8587, 25, 62)]","[([(1080, 15, 10762), (8587, 25, 62)], 1.9501, 'xrule')]",7.438649,2,[8.186619],[1],8.186619,"(10762, 25, 62)",1.0,1
"[(6502, 26, 1098), (1892, 28, 32)]","[([(1892, 28, 32), (6502, 26, 1098)], 0.39080048, 'xrule')]",7.2906313,2,[7.0212846],[1],7.0212846,"(1892, 26, 1098)",1.0,1
"[(2541, 17, 2123), (12508, 41, 138), (138, 42, 12508)]","[([(12508, 41, 138), (138, 42, 12508), (2541, 17, 2123)], 0.42469978, 'xrule')]",6.6341934,3,[6.7922893],[1],6.7922893,"(12508, 17, 2123)",1.0,1
"[(10302, 29, 1682), (6342, 13, 1934)]","[([(6342, 13, 1934), (10302, 29, 1682)], 0.097299576, 'xrule')]",5.9206314,2,[5.775539],[2],5.775539,"(6342, 13, 1682)",2.0,1
"[(382, 152, 181), (181, 152, 382), (181, 218, 382), (2457, 13, 181)]","[([(2457, 13, 181), (181, 218, 382), (181, 152, 382), (382, 152, 181)], 0.8696995, 'xrule')]",6.046425,4,[5.5750484],[3],5.5750484,"(2457, 13, 382)",3.0,1
"[(2871, 17, 215), (7327, 17, 393)]","[([(7327, 17, 393), (2871, 17, 215)], 0.38170052, 'xrule')]",6.6937075,2,[6.3294992],[2],6.3294992,"(7327, 17, 215)",2.0,1
"[(1127, 47, 670), (670, 19, 1127), (1654, 10, 6315)]","[([(1127, 47, 670), (670, 19, 1127), (1654, 10, 6315)], 0.38810062, 'xrule')]",6.301168,3,[6.285835],[2],6.285835,"(1127, 10, 6315)",2.0,1
"[(8376, 30, 1724), (1724, 7, 8376), (8758, 19, 4418)]","[([(8758, 19, 4418), (8376, 30, 1724), (1724, 7, 8376)], 0.3692999, 'xrule')]",7.7758446,3,[7.5268087],[1],7.5268087,"(8758, 19, 1724)",1.0,1
"[(9376, 124, 2846), (2754, 25, 62)]","[([(9376, 124, 2846), (2754, 25, 62)], 0.3991995, 'xrule')]",7.0566015,2,[7.156118],[1],7.156118,"(9376, 25, 62)",1.0,1
"[(1658, 13, 32), (1959, 26, 990), (1658, 28, 32)]","[([(1658, 13, 32), (1658, 28, 32), (1959, 26, 990)], 0.53079987, 'xrule')]",6.9488378,3,[6.6010184],[1],6.6010184,"(1658, 26, 990)",1.0,1
"[(3796, 62, 32), (3796, 133, 32), (3796, 135, 32), (3577, 66, 3796), (32, 15, 3796), (3796, 205, 32)]","[([(3577, 66, 3796), (3796, 62, 32), (3796, 133, 32), (3796, 135, 32), (32, 15, 3796), (3796, 205, 32)], 0.43589973, 'xrule')]",6.6759186,6,[6.517688],[1],6.517688,"(3577, 48, 32)",1.0,1
"[(1920, 21, 2016), (4324, 17, 60)]","[([(1920, 21, 2016), (4324, 17, 60)], 1.0620999, 'xrule')]",6.498813,2,[6.3506036],[3],6.3506036,"(2016, 17, 60)",3.0,1
"[(1192, 181, 862), (5605, 17, 1192)]","[([(5605, 17, 1192), (1192, 181, 862)], 0.6995001, 'xrule')]",6.5098124,2,[6.48155],[1],6.48155,"(5605, 17, 862)",1.0,1
"[(10718, 11, 23), (7019, 14, 160)]","[([(7019, 14, 160), (10718, 11, 23)], 0.25360012, 'xrule')]",8.85631,2,[8.823346],[1],8.823346,"(7019, 11, 23)",1.0,1
"[(868, 28, 32), (868, 13, 32), (4616, 26, 342)]","[([(868, 28, 32), (868, 13, 32), (4616, 26, 342)], 0.5960007, 'xrule')]",7.565317,3,[7.4276886],[1],7.4276886,"(868, 26, 342)",1.0,1
"[(3116, 13, 32), (3116, 28, 32), (2240, 90, 23)]","[([(3116, 13, 32), (3116, 28, 32), (2240, 90, 23)], 0.86069965, 'xrule')]",7.8973103,3,[7.5615473],[1],7.5615473,"(3116, 11, 23)",1.0,1
"[(3790, 66, 1934), (3481, 14, 160)]","[([(3481, 14, 160), (3790, 66, 1934)], 0.21890068, 'xrule')]",6.271813,2,[5.990533],[1],5.990533,"(3481, 13, 1934)",1.0,1
"[(1112, 28, 32), (6848, 86, 742), (742, 32, 6848)]","[([(6848, 86, 742), (742, 32, 6848), (1112, 28, 32)], 0.4322996, 'xrule')]",7.389966,3,[7.3822107],[1],7.3822107,"(6848, 28, 32)",1.0,1
"[(6079, 25, 62), (7893, 220, 8450)]","[([(6079, 25, 62), (7893, 220, 8450)], 0.99050045, 'xrule')]",8.157777,2,[7.8855658],[1],7.8855658,"(6079, 220, 8450)",1.0,1
"[(4592, 8, 10076), (4592, 3, 10076), (10076, 8, 4592), (10076, 17, 818)]","[([(4592, 8, 10076), (4592, 3, 10076), (10076, 8, 4592), (10076, 17, 818)], 0.17400074, 'xrule')]",5.790435,4,[5.931921],[1],5.931921,"(4592, 17, 818)",1.0,1
"[(8007, 85, 434), (11364, 43, 141)]","[([(8007, 85, 434), (11364, 43, 141)], 0.75979996, 'xrule')]",7.8901253,2,[7.3334785],[1],7.3334785,"(8007, 43, 141)",1.0,1
"[(3861, 28, 32), (3861, 13, 32), (2627, 17, 64)]","[([(3861, 28, 32), (3861, 13, 32), (2627, 17, 64)], 0.69900036, 'xrule')]",7.833797,3,[7.445397],[1],7.445397,"(3861, 26, 64)",1.0,1
"[(9419, 34, 90), (8089, 31, 2512)]","[([(9419, 34, 90), (8089, 31, 2512)], 0.34109974, 'xrule')]",6.3330984,2,[6.0128803],[3],6.0128803,"(9419, 31, 2512)",3.0,1
"[(4929, 14, 160), (4857, 11, 23)]","[([(4929, 14, 160), (4857, 11, 23)], 0.35410023, 'xrule')]",8.66317,2,[8.358973],[1],8.358973,"(4929, 11, 23)",1.0,1
"[(6957, 66, 9596), (6957, 160, 9596), (10519, 48, 1124)]","[([(10519, 48, 1124), (6957, 160, 9596), (6957, 66, 9596)], 0.9602003, 'xrule')]",5.9763412,3,[3.9324358],[3],3.9324358,"(10519, 66, 9596)",3.0,1
"[(2388, 18, 795), (4489, 219, 90)]","[([(4489, 219, 90), (2388, 18, 795)], 0.47990036, 'xrule')]",7.114539,2,[7.0296097],[1],7.0296097,"(4489, 18, 795)",1.0,1
"[(4349, 85, 434), (7209, 17, 871)]","[([(4349, 85, 434), (7209, 17, 871)], 0.84500027, 'xrule')]",6.9785805,2,[7.143871],[1],7.143871,"(4349, 17, 871)",1.0,1
"[(2655, 31, 657), (6253, 26, 342)]","[([(6253, 26, 342), (2655, 31, 657)], 0.2626009, 'xrule')]",6.9195323,2,[6.731892],[1],6.731892,"(6253, 31, 657)",1.0,1
"[(43, 219, 90), (3809, 120, 791)]","[([(3809, 120, 791), (43, 219, 90)], 0.7444, 'xrule')]",6.958826,2,[5.778664],[1],5.778664,"(3809, 33, 90)",1.0,1
"[(2634, 13, 32), (2634, 28, 32), (5105, 31, 844)]","[([(2634, 13, 32), (2634, 28, 32), (5105, 31, 844)], 0.3805008, 'xrule')]",7.234824,3,[7.420643],[1],7.420643,"(2634, 31, 844)",1.0,1
"[(2465, 210, 2192), (2857, 182, 2192)]","[([(2857, 182, 2192), (2465, 210, 2192)], 0.49340057, 'xrule')]",6.8358297,2,[6.9341283],[1],6.9341283,"(2857, 10, 2465)",1.0,1
"[(1729, 17, 215), (9122, 25, 62)]","[([(9122, 25, 62), (1729, 17, 215)], 0.4008007, 'xrule')]",7.1839924,2,[7.153343],[1],7.153343,"(9122, 17, 215)",1.0,1
"[(1253, 71, 7245), (255, 100, 160)]","[([(1253, 71, 7245), (255, 100, 160)], 1.4963999, 'xrule')]",7.8238983,2,[7.64464],[1],7.64464,"(7245, 100, 160)",1.0,1
"[(4794, 26, 64), (4780, 13, 382)]","[([(4794, 26, 64), (4780, 13, 382)], 0.2923994, 'xrule')]",5.9059772,2,[5.6350226],[1],5.6350226,"(4794, 28, 382)",1.0,1
"[(5115, 12, 268), (268, 38, 5115), (268, 32, 5115), (5115, 86, 268), (2316, 143, 1044)]","[([(268, 38, 5115), (5115, 12, 268), (268, 32, 5115), (5115, 86, 268), (2316, 143, 1044)], 1.1260996, 'xrule')]",7.1986084,5,[5.7992744],[8],5.7992744,"(5115, 86, 2316)",8.0,1
"[(12076, 48, 32), (434, 118, 774)]","[([(12076, 48, 32), (434, 118, 774)], 0.60350037, 'xrule')]",8.028749,2,[7.6969504],[1],7.6969504,"(12076, 85, 434)",1.0,1
"[(1081, 27, 4360), (7303, 43, 141)]","[([(1081, 27, 4360), (7303, 43, 141)], 0.16219997, 'xrule')]",6.3773446,2,[6.5933256],[1],6.5933256,"(1081, 27, 7303)",1.0,1
"[(457, 182, 3202), (1121, 10, 7869)]","[([(457, 182, 3202), (1121, 10, 7869)], 0.4808998, 'xrule')]",6.1483383,2,[6.01208],[1],6.01208,"(457, 10, 7869)",1.0,1
"[(4552, 35, 1562), (9811, 37, 2732)]","[([(4552, 35, 1562), (9811, 37, 2732)], 0.049599648, 'xrule')]",6.999007,2,[6.881399],[1],6.881399,"(4552, 35, 2732)",1.0,1
"[(3794, 69, 1718), (3794, 72, 1718), (1718, 157, 3794), (6157, 23, 209)]","[([(3794, 69, 1718), (3794, 72, 1718), (1718, 157, 3794), (6157, 23, 209)], 0.7765999, 'xrule')]",8.168217,4,[7.7690287],[1],7.7690287,"(3794, 23, 209)",1.0,1
"[(4865, 13, 1682), (3306, 31, 1211)]","[([(3306, 31, 1211), (4865, 13, 1682)], 0.40390015, 'xrule')]",5.862156,2,[5.6684265],[1],5.6684265,"(3306, 13, 1682)",1.0,1
"[(3660, 28, 32), (4660, 107, 136), (3660, 13, 32)]","[([(3660, 28, 32), (3660, 13, 32), (4660, 107, 136)], 0.45740032, 'xrule')]",7.3106804,3,[7.3437777],[1],7.3437777,"(3660, 31, 136)",1.0,1
"[(7792, 212, 4563), (1927, 17, 862)]","[([(1927, 17, 862), (7792, 212, 4563)], 0.40609932, 'xrule')]",7.7084093,2,[7.5577765],[1],7.5577765,"(1927, 212, 4563)",1.0,1
"[(1577, 205, 32), (740, 37, 1562), (1577, 135, 32), (1577, 62, 32), (1577, 133, 32), (32, 15, 1577)]","[([(740, 37, 1562), (1577, 205, 32), (1577, 62, 32), (1577, 133, 32), (32, 15, 1577), (1577, 135, 32)], 0.13049984, 'xrule')]",6.135332,6,[6.280965],[1],6.280965,"(740, 37, 1577)",1.0,1
"[(1968, 27, 2719), (8128, 10, 2875)]","[([(8128, 10, 2875), (1968, 27, 2719)], 0.1395998, 'xrule')]",6.9333606,2,[6.6549897],[2],6.6549897,"(8128, 10, 1968)",2.0,1
"[(11844, 101, 160), (8270, 28, 32), (8270, 13, 32)]","[([(8270, 28, 32), (8270, 13, 32), (11844, 101, 160)], 0.8062, 'xrule')]",8.478947,3,[8.445355],[1],8.445355,"(8270, 14, 160)",1.0,1
"[(8285, 21, 10982), (4688, 17, 862)]","[([(8285, 21, 10982), (4688, 17, 862)], 0.8706007, 'xrule')]",6.5313535,2,[6.6915765],[1],6.6915765,"(8285, 17, 862)",1.0,1
"[(841, 95, 521), (8620, 49, 1796), (1796, 130, 8620)]","[([(8620, 49, 1796), (1796, 130, 8620), (841, 95, 521)], 0.14830017, 'xrule')]",6.8177223,3,[6.9843926],[2],6.9843926,"(1796, 130, 841)",2.0,1
"[(181, 219, 90), (181, 139, 90), (181, 234, 90), (1754, 29, 75), (181, 206, 90)]","[([(1754, 29, 75), (181, 219, 90), (181, 206, 90), (181, 234, 90), (181, 139, 90)], 0.048700333, 'xrule')]",5.848309,5,[5.856603],[3],5.856603,"(1754, 29, 181)",3.0,1
"[(2946, 66, 592), (1910, 17, 215), (2946, 24, 592)]","[([(2946, 66, 592), (2946, 24, 592), (1910, 17, 215)], 0.35319996, 'xrule')]",6.474165,3,[6.286871],[1],6.286871,"(2946, 17, 215)",1.0,1
"[(7787, 193, 32), (7787, 28, 32), (3714, 31, 136), (7787, 13, 32)]","[([(7787, 193, 32), (7787, 28, 32), (7787, 13, 32), (3714, 31, 136)], 0.36959934, 'xrule')]",6.917391,4,[6.71154],[1],6.71154,"(7787, 31, 136)",1.0,1
"[(158, 2, 2888), (8365, 13, 181), (2888, 28, 158)]","[([(8365, 13, 181), (158, 2, 2888), (2888, 28, 158)], 0.10270023, 'xrule')]",5.7749047,3,[5.60636],[3],5.60636,"(8365, 13, 158)",3.0,1
"[(4683, 217, 3433), (7436, 25, 62)]","[([(7436, 25, 62), (4683, 217, 3433)], 0.37549973, 'xrule')]",9.396436,2,[9.3482065],[1],9.3482065,"(7436, 217, 3433)",1.0,1
"[(2369, 10, 5312), (5312, 210, 2517)]","[([(2369, 10, 5312), (5312, 210, 2517)], 0.23620033, 'xrule')]",9.2232685,2,[8.660215],[1],8.660215,"(2369, 182, 2517)",1.0,1
"[(7479, 19, 1857), (2998, 10, 1994), (1857, 47, 7479)]","[([(7479, 19, 1857), (1857, 47, 7479), (2998, 10, 1994)], 0.4182005, 'xrule')]",6.0403447,3,[4.705607],[5],4.705607,"(7479, 19, 2998)",5.0,1
"[(2323, 25, 62), (63, 26, 494)]","[([(2323, 25, 62), (63, 26, 494)], 0.9876995, 'xrule')]",9.398626,2,[9.325865],[1],9.325865,"(2323, 91, 494)",1.0,1
"[(431, 17, 432), (4638, 20, 1727)]","[([(4638, 20, 1727), (431, 17, 432)], 0.38839912, 'xrule')]",7.2044873,2,[7.046838],[1],7.046838,"(1727, 17, 432)",1.0,1
"[(13994, 154, 2438), (32, 15, 3809)]","[([(13994, 154, 2438), (32, 15, 3809)], 1.1953001, 'xrule')]",7.4030623,2,[6.601941],[1],6.601941,"(13994, 133, 32)",1.0,1
"[(1327, 148, 2861), (705, 148, 4558)]","[([(705, 148, 4558), (1327, 148, 2861)], 0.081199646, 'xrule')]",6.9772243,2,[7.1590214],[2],7.1590214,"(705, 148, 2861)",2.0,1
"[(6679, 154, 2620), (119, 15, 13557)]","[([(119, 15, 13557), (6679, 154, 2620)], 1.9679995, 'xrule')]",6.6576047,2,[5.7560263],[1],5.7560263,"(13557, 154, 2620)",1.0,1
"[(1145, 43, 141), (10437, 48, 32)]","[([(10437, 48, 32), (1145, 43, 141)], 0.8359995, 'xrule')]",8.017205,2,[7.5215373],[1],7.5215373,"(10437, 43, 141)",1.0,1
"[(2611, 41, 985), (985, 92, 2611), (6128, 25, 62)]","[([(2611, 41, 985), (985, 92, 2611), (6128, 25, 62)], 0.61450005, 'xrule')]",7.586446,3,[7.8136435],[1],7.8136435,"(2611, 25, 62)",1.0,1
"[(3120, 25, 62), (4896, 220, 6386)]","[([(3120, 25, 62), (4896, 220, 6386)], 0.98340034, 'xrule')]",8.844319,2,[8.943857],[1],8.943857,"(3120, 220, 6386)",1.0,1
"[(13433, 100, 160), (2118, 17, 862)]","[([(13433, 100, 160), (2118, 17, 862)], 0.51010036, 'xrule')]",7.1964135,2,[6.8531275],[1],6.8531275,"(13433, 17, 862)",1.0,1
"[(1551, 25, 62), (611, 18, 10398)]","[([(1551, 25, 62), (611, 18, 10398)], 1.1063995, 'xrule')]",6.7144117,2,[7.5262814],[1],7.5262814,"(1551, 18, 10398)",1.0,1
"[(434, 161, 32), (6053, 85, 434)]","[([(6053, 85, 434), (434, 161, 32)], 1.7189999, 'xrule')]",8.074702,2,[7.8926945],[1],7.8926945,"(6053, 48, 32)",1.0,1
"[(4819, 43, 141), (8581, 85, 434)]","[([(4819, 43, 141), (8581, 85, 434)], 0.54789925, 'xrule')]",7.9445515,2,[7.3023624],[1],7.3023624,"(4819, 85, 434)",1.0,1
"[(1759, 10, 1256), (1501, 10, 6825)]","[([(1759, 10, 1256), (1501, 10, 6825)], 0.25839996, 'xrule')]",6.1227975,2,[5.9133654],[2],5.9133654,"(1759, 10, 6825)",2.0,1
"[(5090, 48, 382), (434, 161, 13605)]","[([(5090, 48, 382), (434, 161, 13605)], 0.6794996, 'xrule')]",6.9438825,2,[6.6653748],[1],6.6653748,"(5090, 85, 434)",1.0,1
"[(6450, 82, 1771), (2348, 17, 862)]","[([(2348, 17, 862), (6450, 82, 1771)], 0.33339977, 'xrule')]",8.100239,2,[7.524452],[1],7.524452,"(2348, 82, 1771)",1.0,1
"[(166, 38, 1301), (166, 6, 1301), (4412, 19, 559)]","[([(166, 38, 1301), (166, 6, 1301), (4412, 19, 559)], 0.15650082, 'xrule')]",7.7511554,3,[7.467207],[1],7.467207,"(166, 19, 559)",1.0,1
"[(124, 57, 570), (570, 57, 124), (2719, 41, 138), (138, 42, 2719), (2719, 134, 138)]","[([(2719, 41, 138), (138, 42, 2719), (2719, 134, 138), (124, 57, 570), (570, 57, 124)], 0.3619995, 'xrule')]",6.5151615,5,[6.3781376],[2],6.3781376,"(2719, 41, 570)",2.0,1
"[(32, 206, 90), (1843, 34, 90), (32, 234, 90), (32, 139, 90)]","[([(1843, 34, 90), (32, 206, 90), (32, 234, 90), (32, 139, 90)], 0.68550014, 'xrule')]",8.216557,4,[8.268171],[1],8.268171,"(1843, 28, 32)",1.0,1
"[(7037, 107, 4), (1794, 2, 4660)]","[([(1794, 2, 4660), (7037, 107, 4)], 0.32339954, 'xrule')]",7.1832814,2,[6.8774366],[1],6.8774366,"(4660, 107, 4)",1.0,1
"[(471, 35, 12545), (786, 35, 12986)]","[([(786, 35, 12986), (471, 35, 12545)], 0.13129997, 'xrule')]",6.4405465,2,[6.83344],[1],6.83344,"(786, 35, 12545)",1.0,1
"[(9, 178, 11), (11, 130, 13197), (11, 178, 9), (13197, 4, 11), (13197, 5, 11)]","[([(11, 130, 13197), (13197, 4, 11), (13197, 5, 11), (9, 178, 11), (11, 178, 9)], 0.17660046, 'xrule')]",7.7915053,5,[7.601631],[1],7.601631,"(13197, 5, 9)",1.0,1
"[(4093, 45, 5572), (5910, 85, 434), (5572, 45, 4093)]","[([(4093, 45, 5572), (5572, 45, 4093), (5910, 85, 434)], 0.1352005, 'xrule')]",7.577811,3,[7.4161663],[1],7.4161663,"(4093, 85, 434)",1.0,1
"[(160, 140, 4466), (7956, 25, 62)]","[([(7956, 25, 62), (160, 140, 4466)], 0.7205992, 'xrule')]",8.374424,2,[8.365038],[1],8.365038,"(7956, 198, 160)",1.0,1
"[(12458, 48, 32), (434, 161, 8535)]","[([(12458, 48, 32), (434, 161, 8535)], 0.42710018, 'xrule')]",8.788849,2,[8.678824],[1],8.678824,"(12458, 85, 434)",1.0,1
"[(1197, 19, 9014), (4931, 60, 90)]","[([(4931, 60, 90), (1197, 19, 9014)], 0.68779945, 'xrule')]",6.3626885,2,[6.2973003],[2],6.2973003,"(4931, 19, 9014)",2.0,1
"[(382, 15, 249), (5072, 48, 1124), (382, 54, 249), (249, 133, 382)]","[([(5072, 48, 1124), (382, 15, 249), (382, 54, 249), (249, 133, 382)], 0.7503004, 'xrule')]",6.7542014,4,[6.265066],[1],6.265066,"(5072, 66, 249)",1.0,1
"[(5078, 24, 2244), (2244, 133, 181)]","[([(5078, 24, 2244), (2244, 133, 181)], 0.8032999, 'xrule')]",5.891928,2,[5.0841002],[1],5.0841002,"(5078, 48, 181)",1.0,1
"[(1682, 72, 299), (1682, 69, 299), (1580, 13, 1934)]","[([(1580, 13, 1934), (1682, 69, 299), (1682, 72, 299)], 0.09509945, 'xrule')]",5.7745996,3,[5.3680544],[5],5.3680544,"(1580, 13, 1682)",5.0,1
"[(476, 25, 62), (9686, 46, 1407)]","[([(476, 25, 62), (9686, 46, 1407)], 0.7034006, 'xrule')]",7.008473,2,[7.560464],[1],7.560464,"(476, 46, 1407)",1.0,1
