new_ranks,facts,prediction,new_scores,#facts,original_rank,new_score,original_score,new_rank,perspective
"[1, 1]","[(1080, 15, 10762), (315, 28, 1080), (1080, 15, 10762), (315, 25, 62), (2271, 25, 62), (1080, 15, 10762), (2271, 13, 1080)]","(10762, 25, 62)","[7.861204, 8.075276]",7,1,7.9682403,7.438649,1.0,all
"[1, 1]","[(2410, 148, 2861), (434, 161, 705), (434, 161, 2410), (434, 161, 705), (434, 161, 249), (249, 148, 2861), (434, 161, 1445), (1445, 148, 2861), (434, 161, 705)]","(705, 148, 2861)","[6.8895884, 6.642871]",9,1,6.7662296,6.9772243,1.0,all
"[1, 1]","[(898, 14, 160), (898, 13, 2739), (7412, 13, 2739), (7412, 28, 32), (7412, 13, 32), (898, 28, 32), (898, 13, 32), (898, 14, 160), (32, 59, 898), (3277, 14, 160), (377, 7, 3277), (377, 7, 7412)]","(7412, 14, 160)","[8.859834, 8.938531]",12,1,8.899182,8.902123,1.0,all
"[1, 1]","[(10642, 43, 141), (4819, 43, 141), (10642, 85, 434), (3141, 85, 434), (4819, 43, 141), (3141, 43, 141), (4819, 43, 141), (11498, 85, 434), (11498, 43, 141)]","(4819, 85, 434)","[7.5759, 7.523568]",9,1,7.549734,7.9445515,1.0,all
"[1, 1]","[(1040, 38, 8086), (559, 7, 8086), (1040, 6, 8086), (8086, 30, 559), (1040, 8, 166), (166, 8, 1040), (559, 47, 2832), (2832, 19, 559), (8210, 19, 559)]","(166, 19, 559)","[7.468464, 7.6861143]",9,1,7.577289,7.7511554,1.0,all
"[1, 1]","[(8512, 17, 862), (8512, 82, 1771), (2348, 17, 862), (6745, 17, 862), (6745, 82, 1771), (2348, 17, 862), (1307, 82, 1771), (1307, 17, 862), (2348, 17, 862)]","(2348, 82, 1771)","[7.6837816, 8.259851]",9,1,7.9718165,8.100239,1.0,all
"[1, 1]","[(2494, 17, 393), (6257, 85, 434), (6257, 17, 393), (2494, 100, 160), (2197, 85, 434), (2197, 100, 160), (2494, 17, 393), (2197, 17, 393), (2197, 85, 434)]","(2494, 85, 434)","[7.9383106, 7.8964963]",9,1,7.917403,8.090952,1.0,all
"[3, 4]","[(476, 25, 62), (9686, 46, 1407), (9686, 25, 62), (476, 25, 62), (736, 46, 1407), (736, 25, 62), (9686, 113, 737), (9686, 46, 1407), (476, 113, 737)]","(476, 46, 1407)","[6.7464905, 6.5662794]",9,1,6.656385,7.008473,3.5,all
"[4, 3]","[(1682, 234, 90), (1682, 219, 90), (1682, 139, 90), (119, 219, 90), (6342, 13, 119), (119, 139, 90), (119, 206, 90), (1682, 206, 90), (1682, 234, 90), (1682, 219, 90), (1934, 206, 90), (1682, 139, 90), (1934, 219, 90), (1934, 139, 90), (6342, 13, 1934), (1682, 206, 90), (6342, 13, 202)]","(6342, 13, 1682)","[5.6807485, 5.7539597]",17,1,5.717354,5.9206314,3.5,all
"[1, 1]","[(2258, 13, 32), (5423, 14, 160), (5423, 28, 32), (11957, 48, 32), (2258, 13, 32), (11957, 232, 160), (2258, 13, 32), (5971, 51, 160), (5971, 185, 32)]","(2258, 14, 160)","[8.365907, 8.472711]",9,1,8.419309,8.303699,1.0,all
"[1, 1]","[(4489, 62, 32), (4489, 133, 32), (32, 15, 4353), (4489, 205, 32), (4353, 62, 32), (4353, 133, 32), (4353, 18, 795), (32, 15, 4489), (4489, 62, 32), (4489, 133, 32), (1044, 205, 32), (4489, 205, 32), (1044, 62, 32), (32, 15, 1044), (32, 15, 4489), (1044, 18, 795), (4489, 62, 32), (4489, 133, 32), (4489, 205, 32), (3373, 18, 795), (3373, 135, 32), (3373, 133, 32), (32, 15, 4489), (3373, 205, 32)]","(4489, 18, 795)","[6.594442, 6.295452]",24,1,6.4449472,7.114539,1.0,all
"[1, 1]","[(3116, 13, 32), (6249, 13, 32), (3116, 28, 32), (6249, 11, 23), (3116, 28, 32), (4917, 11, 23), (3116, 13, 32), (4917, 28, 32), (4917, 13, 32), (3116, 13, 32), (3617, 28, 32), (3116, 28, 32), (3617, 11, 23)]","(3116, 11, 23)","[7.733149, 7.6366463]",13,1,7.6848974,7.8973103,1.0,all
"[1, 1]","[(4615, 25, 62), (6933, 133, 1124), (1124, 15, 4615), (1124, 15, 6933), (2754, 25, 62), (1124, 15, 2754), (6933, 133, 1124), (1124, 15, 6933), (7671, 48, 1124), (6933, 133, 1124), (7671, 25, 62), (1124, 15, 6933)]","(6933, 25, 62)","[6.189928, 5.6192017]",12,1,5.904565,5.3587217,1.0,all
"[1, 1]","[(5672, 28, 32), (2547, 193, 32), (5672, 13, 32), (2547, 26, 64), (2547, 28, 32), (2547, 13, 32), (4681, 26, 64), (4681, 28, 32), (5672, 28, 32), (5672, 13, 32), (4681, 193, 32), (4681, 13, 32), (4559, 26, 64), (5672, 28, 32), (5672, 13, 32), (4559, 28, 32), (4559, 13, 32)]","(5672, 26, 64)","[7.5927024, 7.6122856]",17,1,7.6024942,7.616864,1.0,all
"[2, 3]","[(868, 26, 1098), (868, 26, 64), (868, 26, 1936)]","(868, 26, 342)","[7.4822483, 7.1821055]",3,1,7.332177,7.565317,2.5,all
"[2, 1]","[(1551, 135, 32), (1806, 18, 10398), (1551, 133, 32), (1806, 135, 32), (32, 15, 1806), (1806, 133, 32), (32, 15, 1551), (1806, 205, 32), (1551, 205, 32), (1551, 135, 32), (1234, 18, 10398), (1234, 135, 32), (1234, 62, 32), (32, 15, 1234), (1551, 133, 32), (1234, 205, 32), (32, 15, 1551), (1234, 133, 32), (1551, 205, 32), (1551, 135, 32), (95, 205, 32), (95, 18, 10398), (95, 135, 32), (1551, 133, 32), (95, 62, 32), (95, 133, 32), (32, 15, 95), (32, 15, 1551), (1551, 205, 32)]","(1551, 18, 10398)","[6.059374, 6.5788207]",29,1,6.3190975,6.7144117,1.5,all
"[1, 1]","[(7436, 25, 62), (6632, 217, 3433), (6632, 25, 62), (7436, 25, 62), (1953, 217, 3433), (1953, 25, 62), (7436, 25, 62), (6037, 217, 3433), (6037, 25, 62)]","(7436, 217, 3433)","[9.069288, 9.299097]",9,1,9.184193,9.396436,1.0,all
"[1, 1]","[(6825, 27, 4100), (457, 10, 6825), (457, 7, 5031), (1759, 7, 5031), (457, 10, 6825)]","(1759, 10, 6825)","[5.986237, 5.9595437]",5,1,5.9728904,6.1227975,1.0,all
"[1, 1]","[(7327, 17, 393), (7327, 85, 434), (1316, 17, 215), (1316, 85, 434), (3652, 17, 215), (3652, 43, 141), (7327, 43, 141)]","(7327, 17, 215)","[5.9205165, 6.077329]",7,1,5.998923,6.6937075,1.0,all
"[2, 3]","[(1994, 27, 7303), (3365, 12, 5038), (5038, 162, 3365), (3365, 12, 7303), (5038, 38, 3365), (7303, 162, 3365), (1081, 27, 5038), (4991, 8, 7303), (7303, 8, 4991)]","(1081, 27, 7303)","[5.964249, 5.7878337]",9,1,5.8760414,6.3773446,2.5,all
"[1, 1]","[(70, 28, 32), (1892, 28, 32), (70, 13, 32), (70, 26, 1098), (4232, 28, 32), (1892, 28, 32), (4232, 13, 32), (4232, 26, 1098), (1292, 26, 1098), (1892, 28, 32), (1292, 13, 32)]","(1892, 26, 1098)","[7.2537823, 7.0758753]",11,1,7.164829,7.2906313,1.0,all
"[3, 3]","[(138, 42, 2719), (2719, 134, 138), (138, 92, 12862), (570, 92, 12862), (2719, 41, 138), (138, 42, 2719), (2719, 134, 138), (138, 42, 7772), (570, 42, 7772), (2719, 41, 138), (6976, 75, 212), (212, 75, 6976), (570, 235, 6976), (2719, 134, 212), (212, 42, 2719), (2719, 41, 212)]","(2719, 41, 570)","[6.2315965, 6.1707788]",16,1,6.2011876,6.5151615,3.0,all
"[1, 1]","[(2946, 17, 393), (6413, 17, 393), (6413, 17, 215), (2946, 17, 393), (2810, 85, 434), (2946, 85, 434), (2810, 17, 215)]","(2946, 17, 215)","[6.0035677, 5.9639354]",7,1,5.9837513,6.474165,1.0,all
"[1, 1]","[(1658, 25, 62), (652, 25, 62), (652, 26, 990), (1658, 25, 62), (6068, 25, 62), (6068, 26, 990), (652, 28, 32), (1658, 13, 32), (652, 26, 990), (1658, 28, 32)]","(1658, 26, 990)","[6.682763, 6.4948993]",10,1,6.588831,6.9488378,1.0,all
"[1, 4]","[(2693, 20, 4208), (9014, 47, 4208), (4208, 19, 9014), (2693, 20, 4931), (2693, 20, 6104), (9014, 47, 6104), (6104, 19, 9014), (2693, 20, 4931), (4208, 19, 9014), (9014, 47, 4208), (4931, 43, 141), (4208, 43, 141)]","(4931, 19, 9014)","[6.295023, 5.803341]",12,1,6.049182,6.3626885,2.5,all
"[2, 1]","[(2457, 28, 32), (2457, 13, 32), (3673, 28, 32), (3673, 13, 32), (3673, 13, 382), (2457, 28, 32), (2457, 13, 32), (7803, 147, 382), (7803, 28, 32), (7803, 13, 32), (2457, 28, 32), (2114, 28, 382), (2457, 13, 32), (2114, 28, 32), (2114, 147, 382)]","(2457, 13, 382)","[6.1580067, 6.1335]",15,1,6.1457534,6.046425,1.5,all
"[1, 1]","[(9032, 48, 32), (9032, 17, 862), (409, 48, 32), (4628, 48, 32), (409, 48, 32), (4628, 17, 862), (323, 48, 32), (323, 17, 862), (409, 48, 32)]","(409, 17, 862)","[6.6538267, 6.578135]",9,1,6.615981,6.73506,1.0,all
"[5, 3]","[(7479, 19, 1857), (1857, 47, 7479), (3389, 19, 1857), (7479, 19, 1857), (1857, 47, 3389), (1857, 47, 7479), (3389, 19, 2998), (7479, 19, 1857), (2998, 10, 9728), (1857, 47, 7479), (1857, 10, 9728)]","(7479, 19, 2998)","[4.9397163, 4.9451656]",11,1,4.942441,6.0403447,4.0,all
"[4, 4]","[(4489, 62, 32), (4489, 133, 32), (1577, 205, 32), (4489, 205, 32), (1577, 135, 32), (740, 37, 4489), (32, 15, 4489), (1577, 133, 32), (32, 15, 1577), (1577, 62, 32), (740, 37, 6243), (1577, 205, 32), (32, 15, 6243), (1577, 135, 32), (6243, 133, 32), (6243, 135, 32), (6243, 62, 32), (1577, 62, 32), (1577, 133, 32), (32, 15, 1577), (1577, 205, 32), (740, 37, 2840), (1577, 135, 32), (2840, 62, 32), (32, 15, 2840), (2840, 205, 32), (1577, 133, 32), (32, 15, 1577), (1577, 62, 32), (2840, 135, 32)]","(740, 37, 1577)","[5.579571, 5.383599]",30,1,5.4815845,6.135332,4.0,all
"[1, 1]","[(119, 15, 13557), (8675, 133, 119), (119, 15, 13557), (119, 15, 8675), (8675, 154, 2620), (119, 15, 10299), (119, 15, 13557), (10299, 154, 2620)]","(13557, 154, 2620)","[5.8093653, 5.265525]",8,1,5.537445,6.6576047,1.0,all
"[1, 1]","[(3350, 17, 862), (8863, 48, 32), (8863, 17, 862), (10155, 48, 32), (3350, 85, 434), (10155, 85, 434), (9842, 85, 434), (3350, 85, 434), (9842, 48, 32)]","(3350, 48, 32)","[7.878936, 7.897378]",9,1,7.888157,8.392536,1.0,all
"[1, 1]","[(3660, 28, 32), (3660, 13, 32), (3819, 107, 136), (3819, 185, 32), (3660, 28, 32), (3901, 31, 136), (3901, 28, 32), (3660, 13, 32), (3901, 13, 32), (3660, 28, 32), (1634, 28, 32), (1634, 13, 32), (3660, 13, 32), (1634, 31, 136)]","(3660, 31, 136)","[7.24254, 7.432795]",14,1,7.3376675,7.3106804,1.0,all
"[1, 1]","[(5078, 24, 2244), (2243, 66, 2244), (5078, 24, 2244), (2243, 48, 181), (7209, 48, 181), (5078, 85, 434), (7209, 85, 434)]","(5078, 48, 181)","[4.9206023, 5.3143163]",7,1,5.1174593,5.891928,1.0,all
"[1, 1]","[(8007, 85, 434), (7627, 43, 141), (7627, 85, 434), (8007, 85, 434), (12291, 43, 141), (12291, 85, 434), (8007, 85, 434), (4934, 43, 141), (4934, 85, 434)]","(8007, 43, 141)","[7.5064907, 6.910808]",9,1,7.2086496,7.8901253,1.0,all
"[1, 1]","[(434, 161, 701), (6053, 85, 434), (701, 133, 32), (6053, 25, 62), (5293, 25, 62), (5293, 48, 32), (10636, 25, 62), (6053, 25, 62), (10636, 48, 32)]","(6053, 48, 32)","[7.2525234, 7.833413]",9,1,7.5429683,8.074702,1.0,all
"[1, 1]","[(10128, 17, 1002), (4603, 17, 1002), (3035, 17, 1002)]","(7706, 17, 1002)","[8.325516, 8.354316]",3,1,8.339916,8.005735,1.0,all
"[1, 1]","[(43, 25, 62), (43, 220, 8450), (6079, 25, 62), (2806, 220, 8450), (6079, 25, 62), (2806, 25, 62), (9277, 25, 62), (9277, 220, 8450), (6079, 25, 62)]","(6079, 220, 8450)","[8.281813, 8.621504]",9,1,8.451658,8.157777,1.0,all
"[3, 3]","[(2857, 10, 5491), (2857, 10, 1171), (2857, 10, 6209)]","(2857, 10, 2465)","[6.9298153, 6.591893]",3,1,6.7608542,6.8358297,3.0,all
"[8, 6]","[(6957, 48, 1124), (6957, 66, 9596), (6957, 160, 9596), (10519, 48, 1124), (2632, 48, 1124), (2632, 66, 9596), (10519, 48, 1124), (6957, 66, 9596), (6957, 160, 9596), (10444, 76, 6957), (10444, 76, 10519)]","(10519, 66, 9596)","[3.0196173, 3.022942]",11,1,3.0212798,5.9763412,7.0,all
"[2, 2]","[(13994, 154, 2438), (2914, 154, 2438), (13994, 154, 2438), (32, 15, 2914), (324, 133, 32), (13994, 154, 2438), (32, 15, 324), (324, 205, 32), (324, 154, 2438), (324, 62, 32)]","(13994, 133, 32)","[6.6945887, 6.5368457]",10,1,6.615717,7.4030623,2.0,all
"[1, 1]","[(805, 31, 4), (805, 13, 32), (4660, 185, 32), (9490, 28, 32), (4660, 185, 32), (9490, 31, 4), (1518, 28, 32), (4660, 185, 32), (1518, 31, 4), (1518, 13, 32), (1518, 193, 32)]","(4660, 107, 4)","[7.3539305, 7.1844726]",11,1,7.2692013,7.1832814,1.0,all
"[1, 1]","[(10174, 15, 12882), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (12882, 135, 10174), (4744, 25, 62), (10174, 15, 12882), (4744, 13, 10174), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (12882, 135, 10174), (10174, 15, 12882), (10174, 54, 12882), (10174, 144, 12882), (12882, 133, 10174), (526, 29, 10174), (526, 25, 62), (12882, 135, 10174)]","(12882, 25, 62)","[9.771991, 9.631987]",19,1,9.701988,6.162185,1.0,all
"[1, 1]","[(5090, 17, 862), (187, 85, 434), (187, 17, 862), (1533, 85, 434), (5090, 43, 141), (1533, 43, 141), (1001, 43, 141), (5090, 43, 141), (1001, 85, 434)]","(5090, 85, 434)","[6.68637, 6.6256337]",9,1,6.656002,6.9438825,1.0,all
"[1, 1]","[(4603, 17, 2123), (138, 42, 4603), (4603, 41, 138), (4603, 134, 138), (12508, 41, 138), (138, 42, 12508), (3764, 17, 2123), (138, 42, 3764), (12508, 41, 138), (138, 42, 12508), (8298, 41, 138), (8298, 17, 2123), (12508, 41, 138), (138, 42, 12508)]","(12508, 17, 2123)","[6.6885166, 6.58184]",14,1,6.6351786,6.6341934,1.0,all
"[1, 1]","[(988, 43, 141), (8285, 43, 141), (988, 17, 862), (620, 17, 862), (620, 43, 141), (8285, 43, 141), (9716, 17, 862), (8285, 43, 141), (9716, 43, 141)]","(8285, 17, 862)","[6.7291307, 6.5031586]",9,1,6.6161447,6.5313535,1.0,all
"[1, 1]","[(4552, 35, 3796), (4552, 35, 3408), (4552, 35, 6615)]","(4552, 35, 2732)","[7.3676267, 6.8323054]",3,1,7.099966,6.999007,1.0,all
"[2, 2]","[(7183, 13, 32), (7787, 28, 32), (7787, 193, 32), (7183, 31, 136), (7787, 13, 32), (7183, 28, 32), (7787, 28, 32), (63, 31, 136), (63, 28, 32), (7787, 193, 32), (63, 13, 32), (7787, 13, 32), (1315, 31, 136), (7787, 28, 32), (1315, 28, 32), (7787, 193, 32), (7787, 13, 32)]","(7787, 31, 136)","[6.615775, 6.553671]",17,1,6.584723,6.917391,2.0,all
"[1, 1]","[(4416, 17, 871), (4349, 85, 434), (4416, 85, 434), (2788, 17, 871), (2788, 85, 434), (4349, 85, 434), (4349, 43, 384), (6860, 43, 384), (6860, 17, 871)]","(4349, 17, 871)","[6.5995455, 6.8358126]",9,1,6.717679,6.9785805,1.0,all
"[1, 1]","[(2159, 212, 4563), (2159, 17, 862), (1927, 17, 862), (5295, 212, 4563), (5295, 17, 862), (1927, 17, 862), (2882, 17, 862), (2882, 212, 4563), (1927, 17, 862)]","(1927, 212, 4563)","[7.15572, 7.1389303]",9,1,7.1473255,7.7084093,1.0,all
"[7, 6]","[(268, 32, 5115), (268, 38, 5115), (5115, 12, 268), (5115, 86, 268), (268, 32, 5115), (5115, 12, 268), (5115, 86, 268), (268, 143, 1044), (268, 38, 5115), (2316, 143, 1044), (268, 32, 699), (268, 32, 5115), (5115, 12, 268), (268, 38, 5115), (699, 86, 2316), (5115, 86, 268)]","(5115, 86, 2316)","[5.8188024, 5.8992014]",16,1,5.859002,7.1986084,6.5,all
"[5, 5]","[(1682, 234, 90), (1682, 219, 90), (1934, 206, 90), (1682, 139, 90), (1934, 219, 90), (1934, 139, 90), (1580, 13, 1934), (1682, 206, 90), (3166, 48, 32), (1580, 13, 32), (1682, 122, 3166), (1580, 28, 32), (1580, 13, 202)]","(1580, 13, 1682)","[5.5779166, 5.614461]",13,1,5.5961885,5.7745996,5.0,all
"[1, 1]","[(7213, 14, 160), (7245, 24, 592), (7213, 203, 592), (7245, 66, 592), (4222, 100, 160), (2127, 8, 4222), (7245, 8, 2127), (2127, 8, 7245), (4222, 8, 2127), (8594, 232, 160), (7245, 48, 32), (8594, 48, 32)]","(7245, 100, 160)","[7.355676, 7.3278227]",12,1,7.341749,7.8238983,1.0,all
"[1, 1]","[(3809, 25, 62), (2287, 60, 90), (2287, 25, 62), (1322, 28, 32), (1322, 13, 32), (1322, 34, 90), (32, 15, 3809), (7726, 33, 90), (7726, 120, 791), (3809, 120, 791)]","(3809, 33, 90)","[5.5262175, 5.5381403]",10,1,5.532179,6.958826,1.0,all
"[3, 2]","[(11, 130, 13197), (11, 130, 9956), (9956, 4, 11), (13197, 4, 11), (9956, 5, 11), (9956, 4, 9), (13197, 5, 11), (11, 130, 13197), (13197, 4, 11), (13197, 5, 11), (399, 130, 13197), (13197, 4, 399), (13197, 5, 399)]","(13197, 5, 9)","[6.77783, 6.7581744]",13,1,6.7680025,7.7915053,2.5,all
"[1, 2]","[(8128, 10, 358), (4640, 10, 358), (4640, 10, 1968), (8128, 10, 358), (358, 27, 2459), (1968, 27, 2459), (8128, 10, 358)]","(8128, 10, 1968)","[7.0400753, 6.93234]",7,1,6.986208,6.9333606,1.5,all
"[1, 1]","[(9376, 124, 2846), (5568, 25, 62), (5568, 124, 2846), (7075, 61, 2940), (7075, 25, 62), (9376, 61, 2940), (9376, 124, 2846), (1247, 124, 2846), (1247, 25, 62)]","(9376, 25, 62)","[6.9214354, 6.7883134]",9,1,6.8548746,7.0566015,1.0,all
"[1, 1]","[(4592, 48, 32), (9902, 48, 32), (9902, 17, 818), (8743, 48, 32), (4592, 48, 32), (8743, 17, 818), (2356, 17, 818), (4592, 48, 32), (2356, 48, 32)]","(4592, 17, 818)","[5.643832, 5.175994]",9,1,5.409913,5.790435,1.0,all
"[1, 1]","[(1329, 14, 160), (1163, 122, 2016), (2016, 100, 160), (1329, 14, 160), (4268, 100, 160), (4268, 66, 1163), (1329, 13, 1302)]","(1329, 13, 1163)","[5.5843406, 5.9250407]",7,1,5.7546906,5.9050293,1.0,all
"[5, 13]","[(7467, 139, 90), (181, 219, 90), (7467, 219, 90), (181, 139, 90), (181, 234, 90), (1754, 29, 7467), (181, 206, 90), (7467, 206, 90), (181, 219, 90), (181, 139, 90), (1754, 29, 7007), (7007, 139, 90), (181, 206, 90), (181, 234, 90), (382, 69, 5122), (181, 72, 5122), (5122, 157, 382), (1754, 29, 382), (181, 69, 5122), (382, 72, 5122)]","(1754, 29, 181)","[5.515205, 5.5975027]",20,1,5.5563536,5.848309,9.0,all
"[2, 1]","[(5809, 17, 60), (2016, 66, 592), (5809, 66, 592), (2016, 160, 592), (592, 122, 2016), (2016, 17, 2123), (2016, 160, 592), (592, 122, 2016), (2016, 66, 592)]","(2016, 17, 60)","[6.4285836, 6.5982213]",9,1,6.5134025,6.498813,1.5,all
"[1, 1]","[(281, 100, 160), (13433, 100, 160), (281, 17, 862), (13433, 43, 141), (7341, 17, 862), (7341, 43, 141), (3525, 17, 862), (13433, 100, 160), (160, 140, 3525)]","(13433, 17, 862)","[6.3749022, 6.618594]",9,1,6.496748,7.1964135,1.0,all
"[1, 1]","[(2369, 10, 5312), (1155, 19, 1827), (1827, 182, 2517), (1155, 19, 2369), (711, 182, 2517)]","(2369, 182, 2517)","[9.032354, 8.581892]",5,1,8.807123,9.2232685,1.0,all
"[1, 1]","[(12076, 48, 32), (3402, 48, 32), (3402, 85, 434), (10646, 17, 862), (10646, 85, 434), (12076, 17, 862), (12076, 17, 862), (9067, 17, 862), (9067, 85, 434)]","(12076, 85, 434)","[6.9542217, 7.379796]",9,1,7.167009,8.028749,1.0,all
"[1, 1]","[(6848, 11, 23), (6238, 28, 32), (6238, 11, 23), (7413, 13, 32), (6848, 11, 23), (7413, 11, 23), (805, 31, 4), (6848, 31, 4), (805, 13, 32), (4, 2, 6848)]","(6848, 28, 32)","[7.0313663, 6.889401]",10,1,6.9603834,7.389966,1.0,all
"[1, 1]","[(10634, 48, 32), (2725, 43, 141), (2725, 48, 32), (10634, 48, 32), (8151, 43, 141), (8151, 48, 32), (10634, 48, 32), (12072, 48, 32), (12072, 43, 141)]","(10634, 43, 141)","[6.9233017, 6.998532]",9,1,6.9609165,7.3984365,1.0,all
"[1, 1]","[(10178, 17, 215), (10178, 25, 62), (9122, 25, 62), (9122, 25, 62), (355, 25, 62), (355, 17, 215), (10412, 25, 62), (10412, 17, 215), (9122, 25, 62)]","(9122, 17, 215)","[7.235836, 7.6277647]",9,1,7.4318004,7.1839924,1.0,all
"[3, 2]","[(8365, 13, 1260), (8365, 13, 68), (8365, 13, 1682)]","(8365, 13, 158)","[5.8074284, 5.3097296]",3,1,5.558579,5.7749047,2.5,all
"[1, 1]","[(6104, 48, 32), (6104, 17, 862), (5605, 48, 32), (7102, 17, 862), (7102, 48, 32), (5605, 48, 32), (1591, 48, 32), (1591, 17, 862), (5605, 48, 32)]","(5605, 17, 862)","[6.4622326, 6.5625715]",9,1,6.512402,6.5098124,1.0,all
"[2, 1]","[(7238, 18, 1771), (7435, 35, 582), (582, 18, 1771), (7238, 18, 1771), (6615, 18, 1771), (7435, 35, 6615), (10355, 35, 7238), (10355, 35, 6615), (7435, 35, 6615)]","(7435, 35, 7238)","[7.113838, 7.278486]",9,1,7.196162,6.9823084,1.5,all
"[1, 1]","[(1271, 92, 2611), (1271, 92, 5582), (5582, 25, 62), (529, 20, 2611), (4444, 25, 62), (529, 20, 4444), (5582, 25, 62), (9005, 76, 2611), (9005, 76, 5582)]","(2611, 25, 62)","[7.5960245, 7.586096]",9,1,7.59106,7.586446,1.0,all
"[1, 1]","[(13308, 85, 434), (4093, 25, 62), (13308, 25, 62), (8483, 85, 434), (4093, 25, 62), (8483, 25, 62), (4093, 43, 141), (7761, 85, 434), (7761, 43, 141)]","(4093, 85, 434)","[7.047705, 7.2343426]",9,1,7.1410236,7.577811,1.0,all
"[2, 4]","[(6078, 19, 1654), (1654, 10, 6315), (6078, 19, 1127), (1121, 47, 10956), (10956, 19, 1121), (1121, 10, 6315), (1127, 47, 10956), (10956, 19, 1127), (1127, 47, 625), (1121, 10, 6315), (625, 19, 1121), (625, 19, 1127)]","(1127, 10, 6315)","[5.8676796, 6.0231295]",12,1,5.9454045,6.301168,3.0,all
"[1, 1]","[(2642, 31, 657), (6253, 25, 62), (2642, 25, 62), (2136, 31, 657), (6253, 25, 62), (2136, 25, 62), (5415, 25, 62), (5415, 31, 657), (6253, 25, 62), (657, 2, 5415)]","(6253, 31, 657)","[7.2607884, 6.747234]",10,1,7.004011,6.9195323,1.0,all
"[1, 1]","[(1295, 25, 62), (1295, 31, 844), (2634, 25, 62), (8205, 31, 844), (8205, 25, 62), (2634, 25, 62), (4174, 25, 62), (2634, 25, 62), (4174, 31, 844)]","(2634, 31, 844)","[7.197127, 7.639432]",9,1,7.4182796,7.234824,1.0,all
"[1, 1]","[(12458, 17, 862), (4311, 17, 862), (4311, 85, 434), (12458, 17, 862), (11045, 17, 862), (11045, 85, 434), (12458, 17, 862), (4581, 17, 862), (4581, 85, 434)]","(12458, 85, 434)","[8.689707, 8.569726]",9,1,8.629717,8.788849,1.0,all
