original_rank,new_rank,prediction,new_score,#facts,facts,original_score,new_ranks,new_scores
1,1.0,"(4489, 18, 795)",7.3914084,3,"[(857, 35, 4489), (2565, 66, 4489), (4449, 66, 4489)]",7.114539,"[1, 1]","[7.4465504, 7.3362665]"
1,1.5,"(10519, 66, 9596)",6.2358007,3,"[(10388, 160, 9596), (3668, 66, 9596), (5714, 42, 10519)]",5.9763412,"[2, 1]","[6.0918345, 6.3797674]"
1,1.0,"(4349, 17, 871)",7.221636,3,"[(2698, 17, 871), (4348, 27, 4349), (4649, 47, 4349)]",6.9785805,"[1, 1]","[7.3027678, 7.140504]"
1,1.0,"(6253, 31, 657)",6.8075905,3,"[(1227, 31, 657), (656, 31, 657), (1659, 6, 6253)]",6.9195323,"[1, 1]","[6.759556, 6.8556256]"
1,1.0,"(9122, 17, 215)",7.5974393,3,"[(1364, 8, 9122), (7688, 17, 215), (5934, 17, 215)]",7.1839924,"[1, 1]","[7.613493, 7.5813856]"
1,1.0,"(3809, 33, 90)",6.958139,3,"[(8335, 15, 3809), (6485, 66, 3809), (32, 15, 3809)]",6.958826,"[1, 1]","[6.889724, 7.026554]"
1,1.0,"(2634, 31, 844)",7.24944,3,"[(1428, 31, 844), (8205, 31, 844), (4125, 31, 844)]",7.234824,"[1, 1]","[7.1666837, 7.332197]"
1,1.5,"(2857, 10, 2465)",6.806696,3,"[(10454, 19, 2857), (571, 19, 2857), (1308, 19, 2857)]",6.8358297,"[2, 1]","[6.980823, 6.632569]"
1,1.0,"(7245, 100, 160)",7.777664,3,"[(9198, 22, 7245), (9263, 77, 7245), (366, 8, 7245)]",7.8238983,"[1, 1]","[7.899083, 7.6562457]"
1,1.0,"(4794, 28, 382)",6.0013857,3,"[(1540, 13, 382), (6582, 32, 4794), (1305, 48, 382)]",5.9059772,"[1, 1]","[5.845586, 6.157185]"
1,1.5,"(5115, 86, 2316)",7.077248,3,"[(8164, 38, 5115), (3127, 8, 2316), (8409, 86, 2316)]",7.1986084,"[2, 1]","[6.915338, 7.239158]"
1,1.0,"(1081, 27, 7303)",6.6329594,3,"[(7230, 10, 1081), (2998, 10, 1081), (9219, 8, 7303)]",6.3773446,"[1, 1]","[7.011261, 6.2546577]"
1,1.0,"(12076, 85, 434)",8.169318,3,"[(6055, 22, 12076), (768, 85, 434), (1465, 85, 434)]",8.028749,"[1, 1]","[8.112562, 8.226074]"
1,1.0,"(4552, 35, 2732)",7.1329556,3,"[(7680, 93, 4552), (3206, 35, 2732), (5066, 35, 2732)]",6.999007,"[1, 1]","[7.1974163, 7.068495]"
1,1.0,"(457, 10, 7869)",5.9208856,3,"[(1127, 10, 7869), (1759, 10, 7869), (7431, 30, 457)]",6.1483383,"[1, 1]","[6.0101376, 5.8316336]"
1,1.0,"(3794, 23, 209)",8.309447,3,"[(2830, 13, 3794), (746, 13, 3794), (10168, 23, 209)]",8.168217,"[1, 1]","[8.243704, 8.375191]"
1,1.0,"(3306, 13, 1682)",5.7045155,3,"[(6265, 13, 1682), (3780, 29, 1682), (5819, 13, 1682)]",5.862156,"[1, 1]","[5.7461224, 5.6629086]"
1,1.0,"(3660, 31, 136)",7.595919,3,"[(4295, 32, 3660), (268, 32, 3660), (2847, 31, 136)]",7.3106804,"[1, 1]","[7.7762938, 7.4155445]"
1,1.0,"(1927, 212, 4563)",8.0377865,3,"[(10467, 175, 1927), (2043, 212, 4563), (1724, 47, 1927)]",7.7084093,"[1, 1]","[7.856761, 8.218812]"
1,1.0,"(740, 37, 1577)",5.944272,3,"[(977, 179, 740), (7979, 15, 1577), (11946, 143, 1577)]",6.135332,"[1, 1]","[5.869044, 6.0195007]"
1,1.0,"(8128, 10, 1968)",7.189912,3,"[(2459, 19, 8128), (9855, 10, 1968), (3347, 19, 8128)]",6.9333606,"[1, 1]","[7.354109, 7.0257144]"
1,1.0,"(8270, 14, 160)",8.707356,3,"[(1017, 7, 8270), (4431, 103, 8270), (6629, 7, 8270)]",8.478947,"[1, 1]","[8.867106, 8.547606]"
1,1.0,"(8285, 17, 862)",7.0232353,3,"[(1218, 8, 8285), (5846, 8, 8285), (361, 8, 8285)]",6.5313535,"[1, 1]","[7.185674, 6.860797]"
1,4.0,"(1796, 130, 841)",6.769395,3,"[(6070, 49, 1796), (12977, 49, 1796), (12040, 40, 841)]",6.8177223,"[5, 3]","[6.4783297, 7.06046]"
1,2.0,"(1754, 29, 181)",5.9185476,3,"[(7161, 65, 1754), (1537, 157, 181), (1754, 59, 1754)]",5.848309,"[2, 2]","[5.8755927, 5.961503]"
1,1.0,"(2946, 17, 215)",6.389041,3,"[(7688, 17, 215), (2148, 77, 2946), (809, 17, 215)]",6.474165,"[1, 1]","[6.2814174, 6.496665]"
1,1.0,"(7787, 31, 136)",7.2632694,3,"[(903, 31, 136), (2847, 31, 136), (6331, 31, 136)]",6.917391,"[1, 1]","[7.353241, 7.173298]"
1,1.0,"(8365, 13, 158)",5.6987123,3,"[(8140, 135, 158), (5334, 2, 8365), (994, 29, 158)]",5.7749047,"[1, 1]","[5.530882, 5.866543]"
1,1.0,"(7436, 217, 3433)",9.434538,3,"[(7445, 68, 7436), (7735, 217, 3433), (6358, 217, 3433)]",9.396436,"[1, 1]","[9.527849, 9.341227]"
1,1.0,"(2369, 182, 2517)",8.896885,3,"[(493, 30, 2369), (631, 182, 2517), (4861, 19, 2369)]",9.2232685,"[1, 1]","[8.992245, 8.801526]"
1,2.0,"(7479, 19, 2998)",6.055598,3,"[(1291, 19, 2998), (3169, 22, 7479), (2222, 19, 2998)]",6.0403447,"[3, 1]","[5.9211636, 6.190032]"
1,1.0,"(2323, 91, 494)",9.636657,3,"[(675, 110, 494), (5369, 110, 494), (2836, 110, 494)]",9.398626,"[1, 1]","[9.492558, 9.780756]"
1,1.0,"(1727, 17, 432)",7.1841373,3,"[(4853, 17, 432), (2771, 17, 432), (4934, 17, 432)]",7.2044873,"[1, 1]","[6.9809484, 7.387326]"
1,1.5,"(13994, 133, 32)",7.0920763,3,"[(12732, 66, 13994), (12732, 24, 13994), (374, 13, 32)]",7.4030623,"[2, 1]","[7.0405135, 7.1436396]"
1,1.0,"(705, 148, 2861)",6.9188085,3,"[(1164, 87, 705), (6025, 231, 2861), (8675, 148, 2861)]",6.9772243,"[1, 1]","[6.996606, 6.841011]"
1,1.0,"(13557, 154, 2620)",6.759621,3,"[(7971, 154, 2620), (705, 154, 2620), (7932, 154, 2620)]",6.6576047,"[1, 1]","[6.5085444, 7.010698]"
1,1.0,"(10437, 43, 141)",7.9645596,3,"[(3644, 183, 10437), (2558, 43, 141), (1997, 43, 141)]",8.017205,"[1, 1]","[7.904917, 8.024202]"
1,1.0,"(2611, 25, 62)",7.7291937,3,"[(1271, 92, 2611), (2804, 76, 2611), (6196, 76, 2611)]",7.586446,"[1, 1]","[7.7612877, 7.6970997]"
1,1.0,"(3120, 220, 6386)",8.385505,3,"[(9809, 24, 3120), (5445, 220, 6386), (13528, 220, 6386)]",8.844319,"[1, 1]","[8.670102, 8.100907]"
1,1.0,"(13433, 17, 862)",7.375039,3,"[(3445, 17, 862), (1348, 17, 862), (1893, 17, 862)]",7.1964135,"[1, 1]","[7.2876368, 7.4624414]"
1,1.0,"(1551, 18, 10398)",6.5953984,3,"[(10443, 127, 1551), (2473, 35, 1551), (3408, 18, 10398)]",6.7144117,"[1, 1]","[6.667403, 6.5233936]"
1,1.0,"(6053, 48, 32)",8.108547,3,"[(1846, 47, 6053), (8619, 77, 6053), (8719, 3, 6053)]",8.074702,"[1, 1]","[8.079255, 8.13784]"
1,2.0,"(7744, 13, 2046)",5.9591866,3,"[(522, 13, 2046), (1707, 13, 2046), (1195, 13, 2046)]",5.7034497,"[3, 1]","[5.9108334, 6.0075393]"
1,1.0,"(4819, 85, 434)",7.8325367,3,"[(8657, 21, 4819), (768, 85, 434), (1465, 85, 434)]",7.9445515,"[1, 1]","[7.6760187, 7.989055]"
1,1.0,"(1759, 10, 6825)",6.1669455,3,"[(5483, 19, 1759), (1121, 10, 6825), (2003, 10, 6825)]",6.1227975,"[1, 1]","[6.2013636, 6.132527]"
1,1.0,"(5090, 85, 434)",7.2893534,3,"[(4622, 47, 5090), (2610, 47, 5090), (8066, 27, 5090)]",6.9438825,"[1, 1]","[7.030265, 7.5484414]"
1,1.0,"(2348, 82, 1771)",8.035357,3,"[(2930, 82, 1771), (1770, 82, 1771), (5862, 82, 1771)]",8.100239,"[1, 1]","[8.0099125, 8.060802]"
1,1.0,"(166, 19, 559)",7.5176096,3,"[(558, 19, 559), (3024, 19, 559), (2419, 19, 559)]",7.7511554,"[1, 1]","[7.5723033, 7.462916]"
1,1.0,"(2719, 41, 570)",6.639567,3,"[(5763, 9, 570), (3154, 75, 570), (479, 75, 570)]",6.5151615,"[1, 1]","[6.7255487, 6.553585]"
1,1.0,"(1843, 28, 32)",8.390041,3,"[(46, 7, 1843), (2820, 7, 1843), (931, 7, 1843)]",8.216557,"[1, 1]","[8.463998, 8.316084]"
1,1.0,"(4660, 107, 4)",7.1621294,3,"[(3312, 38, 4660), (4517, 31, 4), (5269, 38, 4660)]",7.1832814,"[1, 1]","[7.2240925, 7.1001663]"
1,1.5,"(786, 35, 12545)",6.2686796,3,"[(4552, 35, 12545), (6448, 35, 12545), (1624, 35, 12545)]",6.4405465,"[1, 2]","[6.266794, 6.2705655]"
1,1.0,"(13197, 5, 9)",7.9609942,3,"[(913, 4, 9), (1289, 4, 9), (117, 130, 13197)]",7.7915053,"[1, 1]","[8.019884, 7.9021044]"
1,1.0,"(4093, 85, 434)",7.695234,3,"[(4925, 192, 4093), (7864, 215, 4093), (3385, 47, 4093)]",7.577811,"[1, 1]","[7.629903, 7.760565]"
1,1.0,"(7956, 198, 160)",8.485317,3,"[(1296, 44, 7956), (4413, 44, 7956), (1233, 14, 160)]",8.374424,"[1, 1]","[8.462381, 8.508254]"
1,1.0,"(12458, 85, 434)",9.161632,3,"[(3023, 85, 434), (2938, 85, 434), (1100, 85, 434)]",8.788849,"[1, 1]","[8.799098, 9.524165]"
1,1.0,"(4931, 19, 9014)",6.481774,3,"[(4208, 19, 9014), (11614, 19, 9014), (11088, 8, 4931)]",6.3626885,"[1, 1]","[6.730502, 6.2330456]"
1,1.0,"(5072, 66, 249)",6.7127595,3,"[(3314, 106, 249), (3730, 140, 5072), (9040, 66, 249)]",6.7542014,"[1, 1]","[6.4955797, 6.9299393]"
1,1.0,"(5078, 48, 181)",6.2401476,3,"[(9215, 84, 5078), (2160, 84, 5078), (598, 47, 5078)]",5.891928,"[1, 1]","[6.386118, 6.0941777]"
1,2.5,"(1580, 13, 1682)",5.5195684,3,"[(1148, 7, 1580), (3411, 38, 1580), (3250, 7, 1580)]",5.7745996,"[3, 2]","[5.662055, 5.377082]"
1,6.5,"(476, 46, 1407)",6.626894,3,"[(10905, 46, 1407), (10529, 46, 1407), (11609, 46, 1407)]",7.008473,"[6, 7]","[6.39629, 6.857498]"
