original_rank,exp_length,original_score,prediction,facts,new_rank,new_score,exp,new_scores,new_ranks
1,2,7.438649,"(10762, 25, 62)","[([(1080, 15, 10762), (8587, 25, 62)], 1.9501, 'xrule')]",1.0,8.186619,"[(1080, 15, 10762), (8587, 25, 62)]",[8.186619],[1]
1,2,7.2906313,"(1892, 26, 1098)","[([(1892, 28, 32), (6502, 26, 1098)], 0.39080048, 'xrule')]",1.0,7.0212846,"[(6502, 26, 1098), (1892, 28, 32)]",[7.0212846],[1]
1,2,5.9206314,"(6342, 13, 1682)","[([(6342, 13, 1934), (10302, 29, 1682)], 0.097299576, 'xrule')]",2.0,5.775539,"[(10302, 29, 1682), (6342, 13, 1934)]",[5.775539],[2]
1,3,6.6341934,"(12508, 17, 2123)","[([(12508, 41, 138), (138, 42, 12508), (2541, 17, 2123)], 0.42469978, 'xrule')]",1.0,6.7922893,"[(2541, 17, 2123), (12508, 41, 138), (138, 42, 12508)]",[6.7922893],[1]
1,4,6.046425,"(2457, 13, 382)","[([(2457, 13, 181), (181, 218, 382), (181, 152, 382), (382, 152, 181)], 0.8696995, 'xrule')]",3.0,5.5750484,"[(382, 152, 181), (181, 152, 382), (181, 218, 382), (2457, 13, 181)]",[5.5750484],[3]
1,2,6.6937075,"(7327, 17, 215)","[([(7327, 17, 393), (2871, 17, 215)], 0.38170052, 'xrule')]",2.0,6.3294992,"[(2871, 17, 215), (7327, 17, 393)]",[6.3294992],[2]
1,3,6.301168,"(1127, 10, 6315)","[([(1127, 47, 670), (670, 19, 1127), (1654, 10, 6315)], 0.38810062, 'xrule')]",2.0,6.285835,"[(1127, 47, 670), (670, 19, 1127), (1654, 10, 6315)]",[6.285835],[2]
1,3,7.7758446,"(8758, 19, 1724)","[([(8758, 19, 4418), (8376, 30, 1724), (1724, 7, 8376)], 0.3692999, 'xrule')]",1.0,7.5268087,"[(8376, 30, 1724), (1724, 7, 8376), (8758, 19, 4418)]",[7.5268087],[1]
1,2,7.0566015,"(9376, 25, 62)","[([(9376, 124, 2846), (2754, 25, 62)], 0.3991995, 'xrule')]",1.0,7.156118,"[(9376, 124, 2846), (2754, 25, 62)]",[7.156118],[1]
1,3,6.9488378,"(1658, 26, 990)","[([(1658, 13, 32), (1658, 28, 32), (1959, 26, 990)], 0.53079987, 'xrule')]",1.0,6.6010184,"[(1658, 13, 32), (1959, 26, 990), (1658, 28, 32)]",[6.6010184],[1]
1,6,6.6759186,"(3577, 48, 32)","[([(3577, 66, 3796), (3796, 62, 32), (3796, 133, 32), (3796, 135, 32), (32, 15, 3796), (3796, 205, 32)], 0.43589973, 'xrule')]",1.0,6.517688,"[(3796, 62, 32), (3796, 133, 32), (3796, 135, 32), (3577, 66, 3796), (32, 15, 3796), (3796, 205, 32)]",[6.517688],[1]
1,2,6.498813,"(2016, 17, 60)","[([(1920, 21, 2016), (4324, 17, 60)], 1.0620999, 'xrule')]",3.0,6.3506036,"[(1920, 21, 2016), (4324, 17, 60)]",[6.3506036],[3]
1,2,6.5098124,"(5605, 17, 862)","[([(5605, 17, 1192), (1192, 181, 862)], 0.6995001, 'xrule')]",1.0,6.48155,"[(1192, 181, 862), (5605, 17, 1192)]",[6.48155],[1]
1,2,8.85631,"(7019, 11, 23)","[([(7019, 14, 160), (10718, 11, 23)], 0.25360012, 'xrule')]",1.0,8.823346,"[(10718, 11, 23), (7019, 14, 160)]",[8.823346],[1]
1,3,7.565317,"(868, 26, 342)","[([(868, 28, 32), (868, 13, 32), (4616, 26, 342)], 0.5960007, 'xrule')]",1.0,7.4276886,"[(868, 28, 32), (868, 13, 32), (4616, 26, 342)]",[7.4276886],[1]
1,3,7.8973103,"(3116, 11, 23)","[([(3116, 13, 32), (3116, 28, 32), (2240, 90, 23)], 0.86069965, 'xrule')]",1.0,7.5615473,"[(3116, 13, 32), (3116, 28, 32), (2240, 90, 23)]",[7.5615473],[1]
1,2,6.271813,"(3481, 13, 1934)","[([(3481, 14, 160), (3790, 66, 1934)], 0.21890068, 'xrule')]",1.0,5.990533,"[(3790, 66, 1934), (3481, 14, 160)]",[5.990533],[1]
1,3,7.389966,"(6848, 28, 32)","[([(6848, 86, 742), (742, 32, 6848), (1112, 28, 32)], 0.4322996, 'xrule')]",1.0,7.3822107,"[(1112, 28, 32), (6848, 86, 742), (742, 32, 6848)]",[7.3822107],[1]
1,2,8.157777,"(6079, 220, 8450)","[([(6079, 25, 62), (7893, 220, 8450)], 0.99050045, 'xrule')]",1.0,7.8855658,"[(6079, 25, 62), (7893, 220, 8450)]",[7.8855658],[1]
1,4,5.790435,"(4592, 17, 818)","[([(4592, 8, 10076), (4592, 3, 10076), (10076, 8, 4592), (10076, 17, 818)], 0.17400074, 'xrule')]",1.0,5.931921,"[(4592, 8, 10076), (4592, 3, 10076), (10076, 8, 4592), (10076, 17, 818)]",[5.931921],[1]
1,2,7.8901253,"(8007, 43, 141)","[([(8007, 85, 434), (11364, 43, 141)], 0.75979996, 'xrule')]",1.0,7.3334785,"[(8007, 85, 434), (11364, 43, 141)]",[7.3334785],[1]
1,3,7.833797,"(3861, 26, 64)","[([(3861, 28, 32), (3861, 13, 32), (2627, 17, 64)], 0.69900036, 'xrule')]",1.0,7.445397,"[(3861, 28, 32), (3861, 13, 32), (2627, 17, 64)]",[7.445397],[1]
1,2,6.3330984,"(9419, 31, 2512)","[([(9419, 34, 90), (8089, 31, 2512)], 0.34109974, 'xrule')]",3.0,6.0128803,"[(9419, 34, 90), (8089, 31, 2512)]",[6.0128803],[3]
1,2,8.66317,"(4929, 11, 23)","[([(4929, 14, 160), (4857, 11, 23)], 0.35410023, 'xrule')]",1.0,8.358973,"[(4929, 14, 160), (4857, 11, 23)]",[8.358973],[1]
1,2,7.114539,"(4489, 18, 795)","[([(4489, 219, 90), (2388, 18, 795)], 0.47990036, 'xrule')]",1.0,7.0296097,"[(2388, 18, 795), (4489, 219, 90)]",[7.0296097],[1]
1,3,5.9763412,"(10519, 66, 9596)","[([(10519, 48, 1124), (6957, 160, 9596), (6957, 66, 9596)], 0.9602003, 'xrule')]",3.0,3.9324358,"[(6957, 66, 9596), (6957, 160, 9596), (10519, 48, 1124)]",[3.9324358],[3]
1,2,6.9785805,"(4349, 17, 871)","[([(4349, 85, 434), (7209, 17, 871)], 0.84500027, 'xrule')]",1.0,7.143871,"[(4349, 85, 434), (7209, 17, 871)]",[7.143871],[1]
1,2,6.9195323,"(6253, 31, 657)","[([(6253, 26, 342), (2655, 31, 657)], 0.2626009, 'xrule')]",1.0,6.731892,"[(2655, 31, 657), (6253, 26, 342)]",[6.731892],[1]
1,2,7.1839924,"(9122, 17, 215)","[([(9122, 25, 62), (1729, 17, 215)], 0.4008007, 'xrule')]",1.0,7.153343,"[(1729, 17, 215), (9122, 25, 62)]",[7.153343],[1]
1,3,7.234824,"(2634, 31, 844)","[([(2634, 13, 32), (2634, 28, 32), (5105, 31, 844)], 0.3805008, 'xrule')]",1.0,7.420643,"[(2634, 13, 32), (2634, 28, 32), (5105, 31, 844)]",[7.420643],[1]
1,2,6.958826,"(3809, 33, 90)","[([(3809, 120, 791), (43, 219, 90)], 0.7444, 'xrule')]",1.0,5.778664,"[(43, 219, 90), (3809, 120, 791)]",[5.778664],[1]
1,2,6.8358297,"(2857, 10, 2465)","[([(2857, 182, 2192), (2465, 210, 2192)], 0.49340057, 'xrule')]",1.0,6.9341283,"[(2465, 210, 2192), (2857, 182, 2192)]",[6.9341283],[1]
1,2,7.8238983,"(7245, 100, 160)","[([(1253, 71, 7245), (255, 100, 160)], 1.4963999, 'xrule')]",1.0,7.64464,"[(1253, 71, 7245), (255, 100, 160)]",[7.64464],[1]
1,2,5.9059772,"(4794, 28, 382)","[([(4794, 26, 64), (4780, 13, 382)], 0.2923994, 'xrule')]",1.0,5.6350226,"[(4794, 26, 64), (4780, 13, 382)]",[5.6350226],[1]
1,5,7.1986084,"(5115, 86, 2316)","[([(268, 38, 5115), (5115, 12, 268), (268, 32, 5115), (5115, 86, 268), (2316, 143, 1044)], 1.1260996, 'xrule')]",8.0,5.7992744,"[(5115, 12, 268), (268, 38, 5115), (268, 32, 5115), (5115, 86, 268), (2316, 143, 1044)]",[5.7992744],[8]
1,2,8.028749,"(12076, 85, 434)","[([(12076, 48, 32), (434, 118, 774)], 0.60350037, 'xrule')]",1.0,7.6969504,"[(12076, 48, 32), (434, 118, 774)]",[7.6969504],[1]
1,2,6.3773446,"(1081, 27, 7303)","[([(1081, 27, 4360), (7303, 43, 141)], 0.16219997, 'xrule')]",1.0,6.5933256,"[(1081, 27, 4360), (7303, 43, 141)]",[6.5933256],[1]
1,2,6.1483383,"(457, 10, 7869)","[([(457, 182, 3202), (1121, 10, 7869)], 0.4808998, 'xrule')]",1.0,6.01208,"[(457, 182, 3202), (1121, 10, 7869)]",[6.01208],[1]
1,2,6.999007,"(4552, 35, 2732)","[([(4552, 35, 1562), (9811, 37, 2732)], 0.049599648, 'xrule')]",1.0,6.881399,"[(4552, 35, 1562), (9811, 37, 2732)]",[6.881399],[1]
1,4,8.168217,"(3794, 23, 209)","[([(3794, 69, 1718), (3794, 72, 1718), (1718, 157, 3794), (6157, 23, 209)], 0.7765999, 'xrule')]",1.0,7.7690287,"[(3794, 69, 1718), (3794, 72, 1718), (1718, 157, 3794), (6157, 23, 209)]",[7.7690287],[1]
1,2,5.862156,"(3306, 13, 1682)","[([(3306, 31, 1211), (4865, 13, 1682)], 0.40390015, 'xrule')]",1.0,5.6684265,"[(4865, 13, 1682), (3306, 31, 1211)]",[5.6684265],[1]
1,3,7.3106804,"(3660, 31, 136)","[([(3660, 28, 32), (3660, 13, 32), (4660, 107, 136)], 0.45740032, 'xrule')]",1.0,7.3437777,"[(3660, 28, 32), (4660, 107, 136), (3660, 13, 32)]",[7.3437777],[1]
1,2,7.7084093,"(1927, 212, 4563)","[([(1927, 17, 862), (7792, 212, 4563)], 0.40609932, 'xrule')]",1.0,7.5577765,"[(7792, 212, 4563), (1927, 17, 862)]",[7.5577765],[1]
1,6,6.135332,"(740, 37, 1577)","[([(740, 37, 1562), (1577, 205, 32), (1577, 62, 32), (1577, 133, 32), (32, 15, 1577), (1577, 135, 32)], 0.13049984, 'xrule')]",1.0,6.280965,"[(1577, 205, 32), (740, 37, 1562), (1577, 135, 32), (1577, 62, 32), (1577, 133, 32), (32, 15, 1577)]",[6.280965],[1]
1,2,6.9333606,"(8128, 10, 1968)","[([(8128, 10, 2875), (1968, 27, 2719)], 0.1395998, 'xrule')]",2.0,6.6549897,"[(1968, 27, 2719), (8128, 10, 2875)]",[6.6549897],[2]
1,3,8.478947,"(8270, 14, 160)","[([(8270, 28, 32), (8270, 13, 32), (11844, 101, 160)], 0.8062, 'xrule')]",1.0,8.445355,"[(11844, 101, 160), (8270, 28, 32), (8270, 13, 32)]",[8.445355],[1]
1,2,6.5313535,"(8285, 17, 862)","[([(8285, 21, 10982), (4688, 17, 862)], 0.8706007, 'xrule')]",1.0,6.6915765,"[(8285, 21, 10982), (4688, 17, 862)]",[6.6915765],[1]
1,3,6.8177223,"(1796, 130, 841)","[([(8620, 49, 1796), (1796, 130, 8620), (841, 95, 521)], 0.14830017, 'xrule')]",2.0,6.9843926,"[(841, 95, 521), (8620, 49, 1796), (1796, 130, 8620)]",[6.9843926],[2]
1,5,5.848309,"(1754, 29, 181)","[([(1754, 29, 75), (181, 219, 90), (181, 206, 90), (181, 234, 90), (181, 139, 90)], 0.048700333, 'xrule')]",3.0,5.856603,"[(181, 219, 90), (181, 139, 90), (181, 234, 90), (1754, 29, 75), (181, 206, 90)]",[5.856603],[3]
1,3,6.474165,"(2946, 17, 215)","[([(2946, 66, 592), (2946, 24, 592), (1910, 17, 215)], 0.35319996, 'xrule')]",1.0,6.286871,"[(2946, 66, 592), (1910, 17, 215), (2946, 24, 592)]",[6.286871],[1]
1,4,6.917391,"(7787, 31, 136)","[([(7787, 193, 32), (7787, 28, 32), (7787, 13, 32), (3714, 31, 136)], 0.36959934, 'xrule')]",1.0,6.71154,"[(7787, 193, 32), (7787, 28, 32), (3714, 31, 136), (7787, 13, 32)]",[6.71154],[1]
1,3,5.7749047,"(8365, 13, 158)","[([(8365, 13, 181), (158, 2, 2888), (2888, 28, 158)], 0.10270023, 'xrule')]",3.0,5.60636,"[(158, 2, 2888), (8365, 13, 181), (2888, 28, 158)]",[5.60636],[3]
1,2,9.396436,"(7436, 217, 3433)","[([(7436, 25, 62), (4683, 217, 3433)], 0.37549973, 'xrule')]",1.0,9.3482065,"[(4683, 217, 3433), (7436, 25, 62)]",[9.3482065],[1]
1,2,9.2232685,"(2369, 182, 2517)","[([(2369, 10, 5312), (5312, 210, 2517)], 0.23620033, 'xrule')]",1.0,8.660215,"[(2369, 10, 5312), (5312, 210, 2517)]",[8.660215],[1]
1,3,6.0403447,"(7479, 19, 2998)","[([(7479, 19, 1857), (1857, 47, 7479), (2998, 10, 1994)], 0.4182005, 'xrule')]",5.0,4.705607,"[(7479, 19, 1857), (2998, 10, 1994), (1857, 47, 7479)]",[4.705607],[5]
1,2,9.398626,"(2323, 91, 494)","[([(2323, 25, 62), (63, 26, 494)], 0.9876995, 'xrule')]",1.0,9.325865,"[(2323, 25, 62), (63, 26, 494)]",[9.325865],[1]
1,2,7.2044873,"(1727, 17, 432)","[([(4638, 20, 1727), (431, 17, 432)], 0.38839912, 'xrule')]",1.0,7.046838,"[(431, 17, 432), (4638, 20, 1727)]",[7.046838],[1]
1,2,7.4030623,"(13994, 133, 32)","[([(13994, 154, 2438), (32, 15, 3809)], 1.1953001, 'xrule')]",1.0,6.601941,"[(13994, 154, 2438), (32, 15, 3809)]",[6.601941],[1]
1,2,6.9772243,"(705, 148, 2861)","[([(705, 148, 4558), (1327, 148, 2861)], 0.081199646, 'xrule')]",2.0,7.1590214,"[(1327, 148, 2861), (705, 148, 4558)]",[7.1590214],[2]
1,2,6.6576047,"(13557, 154, 2620)","[([(119, 15, 13557), (6679, 154, 2620)], 1.9679995, 'xrule')]",1.0,5.7560263,"[(6679, 154, 2620), (119, 15, 13557)]",[5.7560263],[1]
1,2,8.017205,"(10437, 43, 141)","[([(10437, 48, 32), (1145, 43, 141)], 0.8359995, 'xrule')]",1.0,7.5215373,"[(1145, 43, 141), (10437, 48, 32)]",[7.5215373],[1]
1,3,7.586446,"(2611, 25, 62)","[([(2611, 41, 985), (985, 92, 2611), (6128, 25, 62)], 0.61450005, 'xrule')]",1.0,7.8136435,"[(2611, 41, 985), (985, 92, 2611), (6128, 25, 62)]",[7.8136435],[1]
1,2,8.844319,"(3120, 220, 6386)","[([(3120, 25, 62), (4896, 220, 6386)], 0.98340034, 'xrule')]",1.0,8.943857,"[(3120, 25, 62), (4896, 220, 6386)]",[8.943857],[1]
1,2,7.1964135,"(13433, 17, 862)","[([(13433, 100, 160), (2118, 17, 862)], 0.51010036, 'xrule')]",1.0,6.8531275,"[(13433, 100, 160), (2118, 17, 862)]",[6.8531275],[1]
1,2,6.7144117,"(1551, 18, 10398)","[([(1551, 25, 62), (611, 18, 10398)], 1.1063995, 'xrule')]",1.0,7.5262814,"[(1551, 25, 62), (611, 18, 10398)]",[7.5262814],[1]
1,2,8.074702,"(6053, 48, 32)","[([(6053, 85, 434), (434, 161, 32)], 1.7189999, 'xrule')]",1.0,7.8926945,"[(434, 161, 32), (6053, 85, 434)]",[7.8926945],[1]
1,2,7.9445515,"(4819, 85, 434)","[([(4819, 43, 141), (8581, 85, 434)], 0.54789925, 'xrule')]",1.0,7.3023624,"[(4819, 43, 141), (8581, 85, 434)]",[7.3023624],[1]
1,2,6.1227975,"(1759, 10, 6825)","[([(1759, 10, 1256), (1501, 10, 6825)], 0.25839996, 'xrule')]",2.0,5.9133654,"[(1759, 10, 1256), (1501, 10, 6825)]",[5.9133654],[2]
1,2,6.9438825,"(5090, 85, 434)","[([(5090, 48, 382), (434, 161, 13605)], 0.6794996, 'xrule')]",1.0,6.6653748,"[(5090, 48, 382), (434, 161, 13605)]",[6.6653748],[1]
1,2,8.100239,"(2348, 82, 1771)","[([(2348, 17, 862), (6450, 82, 1771)], 0.33339977, 'xrule')]",1.0,7.524452,"[(6450, 82, 1771), (2348, 17, 862)]",[7.524452],[1]
1,3,7.7511554,"(166, 19, 559)","[([(166, 38, 1301), (166, 6, 1301), (4412, 19, 559)], 0.15650082, 'xrule')]",1.0,7.467207,"[(166, 38, 1301), (166, 6, 1301), (4412, 19, 559)]",[7.467207],[1]
1,5,6.5151615,"(2719, 41, 570)","[([(2719, 41, 138), (138, 42, 2719), (2719, 134, 138), (124, 57, 570), (570, 57, 124)], 0.3619995, 'xrule')]",2.0,6.3781376,"[(124, 57, 570), (570, 57, 124), (2719, 41, 138), (138, 42, 2719), (2719, 134, 138)]",[6.3781376],[2]
1,4,8.216557,"(1843, 28, 32)","[([(1843, 34, 90), (32, 206, 90), (32, 234, 90), (32, 139, 90)], 0.68550014, 'xrule')]",1.0,8.268171,"[(32, 206, 90), (1843, 34, 90), (32, 234, 90), (32, 139, 90)]",[8.268171],[1]
1,2,7.1832814,"(4660, 107, 4)","[([(1794, 2, 4660), (7037, 107, 4)], 0.32339954, 'xrule')]",1.0,6.8774366,"[(7037, 107, 4), (1794, 2, 4660)]",[6.8774366],[1]
1,2,6.4405465,"(786, 35, 12545)","[([(786, 35, 12986), (471, 35, 12545)], 0.13129997, 'xrule')]",1.0,6.83344,"[(471, 35, 12545), (786, 35, 12986)]",[6.83344],[1]
1,5,7.7915053,"(13197, 5, 9)","[([(11, 130, 13197), (13197, 4, 11), (13197, 5, 11), (9, 178, 11), (11, 178, 9)], 0.17660046, 'xrule')]",1.0,7.601631,"[(9, 178, 11), (11, 130, 13197), (11, 178, 9), (13197, 4, 11), (13197, 5, 11)]",[7.601631],[1]
1,3,7.577811,"(4093, 85, 434)","[([(4093, 45, 5572), (5572, 45, 4093), (5910, 85, 434)], 0.1352005, 'xrule')]",1.0,7.4161663,"[(4093, 45, 5572), (5910, 85, 434), (5572, 45, 4093)]",[7.4161663],[1]
1,2,8.374424,"(7956, 198, 160)","[([(7956, 25, 62), (160, 140, 4466)], 0.7205992, 'xrule')]",1.0,8.365038,"[(160, 140, 4466), (7956, 25, 62)]",[8.365038],[1]
1,2,8.788849,"(12458, 85, 434)","[([(12458, 48, 32), (434, 161, 8535)], 0.42710018, 'xrule')]",1.0,8.678824,"[(12458, 48, 32), (434, 161, 8535)]",[8.678824],[1]
1,2,6.3626885,"(4931, 19, 9014)","[([(4931, 60, 90), (1197, 19, 9014)], 0.68779945, 'xrule')]",2.0,6.2973003,"[(1197, 19, 9014), (4931, 60, 90)]",[6.2973003],[2]
1,4,6.7542014,"(5072, 66, 249)","[([(5072, 48, 1124), (382, 15, 249), (382, 54, 249), (249, 133, 382)], 0.7503004, 'xrule')]",1.0,6.265066,"[(382, 15, 249), (5072, 48, 1124), (382, 54, 249), (249, 133, 382)]",[6.265066],[1]
1,2,5.891928,"(5078, 48, 181)","[([(5078, 24, 2244), (2244, 133, 181)], 0.8032999, 'xrule')]",1.0,5.0841002,"[(5078, 24, 2244), (2244, 133, 181)]",[5.0841002],[1]
1,3,5.7745996,"(1580, 13, 1682)","[([(1580, 13, 1934), (1682, 69, 299), (1682, 72, 299)], 0.09509945, 'xrule')]",5.0,5.3680544,"[(1682, 72, 299), (1682, 69, 299), (1580, 13, 1934)]",[5.3680544],[5]
1,2,7.008473,"(476, 46, 1407)","[([(476, 25, 62), (9686, 46, 1407)], 0.7034006, 'xrule')]",1.0,7.560464,"[(476, 25, 62), (9686, 46, 1407)]",[7.560464],[1]
