new_ranks,exp_length,exp,new_scores,original_rank,new_score,facts,new_rank,original_score,prediction
[1876],3,"[(20593, 1, 20592), (20593, 1, 25852), (20592, 6, 25852)]",[8.897446241462603e-05],1,8.897446241462603e-05,"[({(20593, 1, 25852)}, 0.8871408588648882, 'baseline'), ({(20592, 6, 25852)}, -0.025764365738914285, 'baseline')]",1876.0,0.9246744513511658,"(25852, 1, 20593)"
[25258],1,"[(18417, 1, 3453)]",[2.795783439069055e-05],1,2.795783439069055e-05,"[({(18417, 1, 3453)}, 0.14002958978435676, 'baseline')]",25258.0,0.9354263544082642,"(3453, 1, 18417)"
[18206],4,"[(6889, 0, 239), (33665, 1, 6889), (33665, 1, 22848), (22848, 0, 239)]",[4.145821003476158e-05],1,4.145821003476158e-05,"[({(33665, 1, 22848)}, 0.6801861972826596, 'baseline'), ({(22848, 0, 239)}, 0.004923204835009957, 'baseline')]",18206.0,0.8634375929832458,"(22848, 1, 33665)"
[6943],10,"[(15527, 1, 5116), (15028, 1, 21701), (19324, 0, 21701), (5116, 1, 19324), (19324, 1, 16314), (6422, 1, 15527), (6422, 1, 15028), (16314, 1, 15028), (15028, 1, 6422), (5116, 1, 15028)]",[5.564238381339237e-05],1,5.564238381339237e-05,"[({(5116, 1, 15028)}, 0.0957122250108083, 'baseline'), ({(15028, 1, 21701)}, 0.02549848980592826, 'baseline'), ({(15028, 1, 6422)}, 0.01760635801363542, 'baseline'), ({(16314, 1, 15028)}, 0.00693080846873792, 'baseline'), ({(6422, 1, 15028)}, 0.001077691965428233, 'baseline'), ({(21701, 1, 15028)}, -0.003073354272945249, 'baseline')]",6943.0,0.9404630661010742,"(15028, 1, 5116)"
[21170],1,"[(19664, 1, 6144)]",[1.9318735212436877e-05],1,1.9318735212436877e-05,"[({(19664, 1, 6144)}, 0.9921367675560109, 'baseline')]",21170.0,0.9744139909744263,"(6144, 1, 19664)"
[27687],1,"[(15106, 1, 15107)]",[1.7406280676368624e-05],1,1.7406280676368624e-05,"[({(15106, 1, 15107)}, 0.9855118303273636, 'baseline')]",27687.0,0.9725252389907837,"(15107, 1, 15106)"
[2825],1,"[(10360, 1, 758)]",[0.00024816879886202514],1,0.00024816879886202514,"[({(10360, 1, 758)}, 0.5669401124778133, 'baseline')]",2825.0,0.9631841778755188,"(758, 1, 10360)"
[13353],1,"[(10508, 1, 24179)]",[5.657071596942842e-05],1,5.657071596942842e-05,"[({(10508, 1, 24179)}, 0.7876400817161104, 'baseline')]",13353.0,0.9073452353477478,"(24179, 1, 10508)"
[33782],5,"[(9303, 1, 26071), (21981, 1, 26071), (21981, 0, 6139), (9303, 0, 6139), (21981, 9, 9303)]",[4.8838105612958316e-06],1,4.8838105612958316e-06,"[({(21981, 9, 9303)}, 0.671118542556141, 'baseline'), ({(9303, 0, 6139)}, -0.0018401341935204317, 'baseline'), ({(9303, 1, 26071)}, -0.0043824510826831415, 'baseline')]",33782.0,0.9587638974189758,"(9303, 9, 21981)"
[206],5,"[(21113, 5, 19257), (22365, 5, 9528), (33711, 0, 21113), (22365, 5, 19257), (33711, 5, 9528)]",[0.00020503289124462754],1,0.00020503289124462754,"[({(33711, 5, 9528)}, 0.6131748996079811, 'baseline'), ({(33711, 0, 21113)}, -0.09386875199677563, 'baseline')]",206.0,0.28957507014274597,"(33711, 5, 19257)"
[11220],1,"[(33545, 1, 18247)]",[3.1827552447794005e-05],1,3.1827552447794005e-05,"[({(33545, 1, 18247)}, 0.9802640584437202, 'baseline')]",11220.0,0.9478031992912292,"(18247, 1, 33545)"
[4],3,"[(39563, 2, 2580), (20114, 6, 20115), (20114, 6, 39563)]",[0.051273636519908905],1,0.051273636519908905,"[({(20114, 6, 20115)}, 0.056734076712528086, 'baseline')]",4.0,0.19860407710075378,"(20115, 2, 2580)"
[9436],6,"[(15927, 1, 23239), (708, 1, 15927), (15927, 0, 1786), (23239, 0, 708), (1786, 1, 23239), (23239, 1, 1786)]",[5.5185126257129014e-05],1,5.5185126257129014e-05,"[({(15927, 1, 23239)}, 0.6985983703065519, 'baseline'), ({(23239, 1, 1786)}, 0.05993304681655862, 'baseline'), ({(1786, 1, 23239)}, 0.018050889446949308, 'baseline'), ({(23239, 0, 708)}, -0.01422651583393916, 'baseline')]",9436.0,0.9537962079048157,"(23239, 1, 15927)"
[13151],7,"[(16747, 0, 18054), (35743, 0, 13338), (2060, 0, 18054), (14307, 1, 16747), (14307, 0, 13338), (18054, 1, 13338), (35743, 5, 2060)]",[6.58979406580329e-05],1,6.58979406580329e-05,"[({(18054, 1, 13338)}, 0.7841748463946481, 'baseline'), ({(35743, 0, 13338)}, -0.012398262580700327, 'baseline'), ({(14307, 0, 13338)}, -0.014170964299210862, 'baseline')]",13151.0,0.926688015460968,"(13338, 1, 18054)"
[3337],1,"[(17946, 1, 865)]",[0.00039888781611807644],1,0.00039888781611807644,"[({(17946, 1, 865)}, 0.2403486776596135, 'baseline')]",3337.0,0.8343851566314697,"(865, 1, 17946)"
[2431],4,"[(2443, 1, 12141), (12141, 0, 3556), (1058, 0, 3556), (2443, 1, 1058)]",[1.687526128080208e-05],1,1.687526128080208e-05,"[({(2443, 1, 12141)}, 0.9919258863009673, 'baseline'), ({(12141, 0, 3556)}, -0.0022627907102215606, 'baseline')]",2431.0,0.9717803597450256,"(12141, 1, 2443)"
[38953],4,"[(19791, 9, 27198), (6242, 1, 19791), (27198, 9, 19791), (6242, 1, 27198)]",[2.0210413822496776e-06],1,2.0210413822496776e-06,"[({(6242, 1, 27198)}, 0.8503658652045858, 'baseline'), ({(19791, 9, 27198)}, 0.00023595518511600826, 'baseline'), ({(27198, 9, 19791)}, -0.0006681876974376311, 'baseline')]",38953.0,0.9874051213264465,"(27198, 1, 6242)"
[13],3,"[(33234, 2, 4090), (28149, 2, 4090), (28149, 2, 2524)]",[0.0017268905648961663],1,0.0017268905648961663,"[({(33234, 2, 4090)}, 0.07794964596467459, 'baseline')]",13.0,0.04805701971054077,"(33234, 2, 2524)"
[186],8,"[(19427, 1, 23137), (169, 1, 170), (169, 1, 19427), (170, 1, 18272), (23137, 1, 18272), (19427, 1, 18272), (18272, 1, 23137), (18272, 1, 170)]",[0.0002145710022887215],1,0.0002145710022887215,"[({(19427, 1, 18272)}, 0.23028431417731876, 'baseline'), ({(18272, 1, 170)}, 0.04234067625916938, 'baseline'), ({(170, 1, 18272)}, 0.04207901188461747, 'baseline'), ({(23137, 1, 18272)}, 0.02672378250257298, 'baseline'), ({(18272, 1, 23137)}, 0.012805501896568308, 'baseline')]",186.0,0.9453070163726807,"(18272, 1, 19427)"
[7838],1,"[(23961, 5, 6776)]",[2.0521913029369898e-05],1,2.0521913029369898e-05,"[({(23961, 5, 6776)}, 0.9421926636990633, 'baseline')]",7838.0,0.72646164894104,"(23961, 0, 6776)"
[24964],1,"[(15159, 1, 3072)]",[2.386223968642298e-05],1,2.386223968642298e-05,"[({(15159, 1, 3072)}, 0.3772697266836159, 'baseline')]",24964.0,0.8955927491188049,"(3072, 1, 15159)"
