original_rank,new_ranks,new_rank,#facts,new_scores,new_score,facts,prediction,original_score
3,"[2, 1]",1.5,13,"[2.515167, 2.8064332]",2.6608,"[([(5305, 2, 31), (19943, 2, 31), (19943, 8, 7410)], 1.4251003, 'xrule'), ([(5305, 3, 41), (14559, 8, 7410), (14559, 3, 41)], 1.3154001, 'xrule'), ([(5305, 3, 6), (14559, 3, 6), (14559, 8, 7410)], 0.80650043, 'xrule'), ([(14559, 8, 7410), (5305, 2, 172), (14559, 2, 172)], 0.6501999, 'xrule'), ([(23608, 8, 7410), (5305, 2, 31), (23608, 2, 31)], 0.625, 'xrule'), ([(5305, 2, 31), (14559, 2, 31), (14559, 8, 7410)], 0.5689001, 'xrule'), ([(5305, 2, 31), (16573, 8, 7410), (16573, 2, 31)], 0.21110058, 'xrule'), ([(19943, 8, 7410), (5305, 2, 172), (19943, 2, 172)], -0.18270016, 'xrule'), ([(5305, 2, 31)], -1.3628529886062617, 14.203776998126365), ([(5305, 3, 5314)], -1.419329579516993, 5.194766695892326), ([(23816, 3, 6), (23816, 8, 7410), (5305, 3, 6)], -1.4952993, 'xrule'), ([(5305, 2, 30), (14559, 2, 30), (14559, 8, 7410)], -2.2919998, 'xrule'), ([(5305, 3, 175)], -2.6756923924826426, 18011.064423010896)]","(5305, 8, 7410)",5.182078
4,"[2, 1]",1.5,3,"[2.2841725, 2.648934]",2.4665532,"[([(6766, 3, 1417), (6766, 3, 40), (6766, 3, 476)], -0.429188686435718, 22.39432007238164), ([(6766, 3, 78), (6766, 3, 1417), (6766, 3, 476)], -2.0694140382582873, 2.1121053406024677), ([(6766, 3, 1417)], -2.692058394889757, 3.063443591611817)]","(6766, 8, 7410)",4.9720592
1,"[5, 6]",5.5,13,"[2.589219, 3.0695658]",2.8293924,"[([(6730, 3, 10), (25390, 8, 7408), (25390, 3, 10)], 5.3201, 'xrule'), ([(8161, 8, 7408), (6730, 3, 78), (8161, 3, 78)], 3.3126001, 'xrule'), ([(6730, 3, 78), (25390, 8, 7408), (25390, 3, 78)], 2.6963005, 'xrule'), ([(6730, 3, 9), (25390, 3, 9), (25390, 8, 7408)], 2.6763, 'xrule'), ([(6730, 3, 10), (21364, 3, 10), (21364, 8, 7408)], 2.3844004, 'xrule'), ([(6730, 3, 78), (21297, 8, 7408), (21297, 3, 78)], 2.2717, 'xrule'), ([(6730, 3, 9), (21364, 8, 7408), (21364, 3, 9)], 1.4723997, 'xrule'), ([(6730, 3, 9), (21297, 3, 9), (21297, 8, 7408)], 1.1025, 'xrule'), ([(21364, 8, 7408), (6730, 3, 78), (21364, 3, 78)], 0.19089985, 'xrule'), ([(6730, 3, 10), (15227, 3, 10), (15227, 8, 7408)], 0.15280056, 'xrule'), ([(6730, 3, 2213)], -0.7137212300387753, -0.671222903600567), ([(6730, 3, 10)], -1.4144896824868878, 5.195526871213932), ([(6730, 2, 309)], -2.0129069320929376, 24703.117854413438)]","(6730, 8, 7408)",5.244982
5,"[2, 2]",2.0,13,"[4.792759, 3.6629047]",4.227832,"[([(19666, 3, 651), (19666, 12, 4492), (7536, 3, 651)], 0.5738001, 'xrule'), ([(10558, 8, 7393), (7536, 8, 7393), (10558, 12, 4492)], 0.5507002, 'xrule'), ([(19666, 2, 68), (7536, 2, 68), (19666, 12, 4492)], 0.51329994, 'xrule'), ([(19666, 3, 37), (19666, 12, 4492), (7536, 3, 37)], 0.41469955, 'xrule'), ([(11978, 12, 4492), (7536, 2, 68), (11978, 2, 68)], 0.37110043, 'xrule'), ([(7536, 8, 7393)], 0.0685158176067571, 21625.51712224668), ([(7536, 2, 68)], -0.18645473260995724, 22538.45352088416), ([(18840, 2, 68), (18840, 12, 4492), (7536, 2, 68)], -0.30819988, 'xrule'), ([(7536, 3, 1839)], -0.8088225849103398, 13220.308141442449), ([(10558, 12, 4492), (7536, 2, 68), (10558, 2, 68)], -1.1049995, 'xrule'), ([(19666, 3, 1839), (19666, 12, 4492), (7536, 3, 1839)], -1.2325001, 'xrule'), ([(10558, 2, 30), (10558, 12, 4492), (7536, 2, 30)], -1.9581003, 'xrule'), ([(11978, 12, 4492), (11978, 2, 30), (7536, 2, 30)], -2.9888, 'xrule')]","(7536, 12, 4492)",2.8666697
6,"[4, 5]",4.5,14,"[2.3288374, 2.7353885]",2.532113,"[([(18068, 2, 31), (18068, 8, 7427), (6162, 2, 31)], 4.5158005, 'xrule'), ([(24564, 8, 7427), (6162, 2, 31), (24564, 2, 31)], 3.7647, 'xrule'), ([(24564, 8, 7427), (6162, 3, 346), (24564, 3, 346)], 3.4568996, 'xrule'), ([(22396, 2, 31), (22396, 8, 7427), (6162, 2, 31)], 2.8603, 'xrule'), ([(17289, 8, 7427), (6162, 2, 31), (17289, 2, 31)], 2.1882, 'xrule'), ([(15654, 8, 7427), (6162, 2, 31), (15654, 2, 31)], 1.6026993, 'xrule'), ([(25180, 2, 31), (25180, 8, 7427), (6162, 2, 31)], 1.5489998, 'xrule'), ([(6162, 2, 31), (10273, 8, 7427), (10273, 2, 31)], 1.3316994, 'xrule'), ([(22515, 8, 7427), (22515, 2, 31), (6162, 2, 31)], 1.1201992, 'xrule'), ([(6162, 3, 40)], 0.5668411688166171, 8.63803396230725), ([(6162, 3, 391)], 0.5349235963779689, 14.630630718708657), ([(6162, 3, 149)], 0.3373785430190395, 19463.58355358949), ([(6162, 2, 31), (7426, 2, 31), (7426, 8, 7427)], 0.15499973, 'xrule'), ([(21386, 8, 7427), (21386, 2, 31), (6162, 2, 31)], -0.074700356, 'xrule')]","(6162, 8, 7427)",5.207631
11,"[4, 4]",4.0,13,"[2.2532988, 2.598551]",2.4259248,"[([(5041, 2, 68), (24600, 8, 7427), (24600, 2, 68)], 0.6140003, 'xrule'), ([(5041, 3, 6), (14100, 3, 6), (14100, 8, 7427)], 0.4918003, 'xrule'), ([(5041, 3, 346), (5041, 3, 56), (5041, 3, 10), (5041, 2, 28)], -0.11800094406908275, 1062.4705339370453), ([(5041, 2, 68), (18043, 2, 68), (18043, 8, 7427)], -0.17809963, 'xrule'), ([(5041, 3, 56), (5041, 2, 28)], -0.5439137982165239, 4.367277593657734), ([(5041, 2, 68), (24326, 2, 68), (24326, 8, 7427)], -0.59979916, 'xrule'), ([(5041, 2, 28)], -0.6934041526999926, 4.3332762208617), ([(5041, 3, 78), (24326, 3, 78), (24326, 8, 7427)], -1.3105993, 'xrule'), ([(5041, 2, 68), (7788, 8, 7427), (7788, 2, 68)], -1.3501997, 'xrule'), ([(5041, 3, 78), (18043, 3, 78), (18043, 8, 7427)], -1.9567995, 'xrule'), ([(5041, 3, 78), (24600, 8, 7427), (24600, 3, 78)], -2.3076992, 'xrule'), ([(25768, 8, 7427), (5041, 3, 6), (25768, 3, 6)], -2.3680992, 'xrule'), ([(24326, 8, 7427), (5041, 3, 47), (24326, 3, 47)], -3.0955992, 'xrule')]","(5041, 8, 7427)",4.879652
2,"[1, 2]",1.5,14,"[2.61873, 3.792856]",3.205793,"[([(6822, 2, 30), (13441, 11, 7869), (13441, 2, 30)], 2.4862003, 'xrule'), ([(6822, 3, 40), (11565, 3, 40), (11565, 11, 7869)], 1.8781004, 'xrule'), ([(9576, 11, 7869), (9576, 3, 39), (6822, 3, 39)], 1.8121996, 'xrule'), ([(6822, 3, 10)], 1.5769835223131734, 6.828776876849502), ([(6822, 2, 728)], 1.391356530916721, -1.1991912927228447), ([(6822, 3, 40), (9576, 3, 40), (9576, 11, 7869)], 1.0174999, 'xrule'), ([(6822, 4, 66), (9608, 4, 66), (9608, 11, 7869)], 0.8625002, 'xrule'), ([(11565, 3, 6), (11565, 11, 7869), (6822, 3, 6)], 0.77320004, 'xrule'), ([(6822, 2, 30), (11565, 2, 30), (11565, 11, 7869)], 0.6227999, 'xrule'), ([(6822, 4, 66), (11565, 4, 66), (11565, 11, 7869)], 0.35289955, 'xrule'), ([(9576, 11, 7869), (9576, 3, 6), (6822, 3, 6)], -0.0036001205, 'xrule'), ([(6822, 3, 9)], -0.18402238626895806, 8.454123783988424), ([(6822, 3, 40), (10240, 3, 40), (10240, 11, 7869)], -0.4347, 'xrule'), ([(6822, 2, 30), (9576, 11, 7869), (9576, 2, 30)], -0.8731003, 'xrule')]","(6822, 11, 7869)",3.2896733
3,"[1, 1]",1.0,3,"[2.5061626, 3.7520428]",3.1291027,"[([(7769, 3, 219)], 0.5869875389740381, -5.357326360871893), ([(7769, 3, 9)], 0.5344343614669002, 16889.63051675119), ([(7769, 3, 75)], -0.4093064844659458, -4.600921585185541)]","(7769, 11, 7956)",3.0966597
5,"[1, 1]",1.0,12,"[2.6864204, 3.8029122]",3.2446663,"[([(7469, 8, 7429)], 2.5145379557678478, 48.9251547111586), ([(7469, 3, 91)], 2.0769358691582753, 23449.888641163812), ([(10914, 1, 65), (7469, 1, 65), (10914, 11, 7956)], 2.0503998, 'xrule'), ([(7469, 8, 7429), (25281, 11, 7956), (25281, 8, 7429)], 1.7313995, 'xrule'), ([(7469, 8, 7409), (20274, 8, 7409), (20274, 11, 7956)], 1.6100998, 'xrule'), ([(20775, 11, 7956), (20775, 1, 65), (7469, 1, 65)], 1.5579004, 'xrule'), ([(7469, 3, 91), (9096, 11, 7956), (9096, 3, 91)], 1.3329, 'xrule'), ([(7469, 3, 9)], 1.0638409185270044, 29.743423855351892), ([(7469, 8, 7429), (20274, 11, 7956), (20274, 8, 7429)], 0.9207001, 'xrule'), ([(9096, 8, 7411), (9096, 11, 7956), (7469, 8, 7411)], 0.13099957, 'xrule'), ([(7469, 3, 91), (20274, 3, 91), (20274, 11, 7956)], -0.079099655, 'xrule'), ([(9096, 11, 7956), (9096, 1, 65), (7469, 1, 65)], -0.7266998, 'xrule')]","(7469, 11, 7956)",3.213222
3,"[1, 1]",1.0,3,"[2.3197274, 2.7272248]",2.5234761,"[([(5110, 3, 277)], 0.46350864814588416, 5.613846184234312), ([(5110, 3, 50)], 0.30565742771390514, 17664.57582492614), ([(5110, 2, 788)], 0.1523476049518303, 5.5380133960515945)]","(5110, 8, 7410)",4.852529
5,"[1, 1]",1.0,3,"[2.8976703, 3.1723032]",3.0349867,"[([(6766, 4, 66)], 2.2539750308811817, 0.9049928520085849), ([(6766, 3, 220)], 1.173313196270434, 0.7637433593079207), ([(6766, 3, 10)], -0.3212070054582869, 14.420381609566318)]","(6766, 10, 7830)",3.4640522
2,"[1, 1]",1.0,3,"[2.431424, 3.6496458]",3.040535,"[([(7838, 3, 10)], -0.1613444879314325, 4.4597511434680035), ([(7838, 3, 220)], -0.2339381766314084, 4.441780718164324), ([(7838, 3, 7844)], -1.1630649015188228, 5.238110812711305)]","(7838, 11, 7956)",3.4227931
5,"[1, 1]",1.0,13,"[2.9665446, 3.166408]",3.0664763,"[([(22707, 10, 7830), (5770, 2, 31), (22707, 2, 31)], 3.1166, 'xrule'), ([(13240, 10, 7830), (5770, 2, 31), (13240, 2, 31)], 2.3916006, 'xrule'), ([(14712, 10, 7830), (5770, 3, 58), (14712, 3, 58)], 2.3303003, 'xrule'), ([(14712, 10, 7830), (5770, 3, 41), (14712, 3, 41)], 1.9189005, 'xrule'), ([(5770, 3, 5775)], 1.3963480624407125, 0.8016037316428627), ([(19622, 2, 31), (5770, 2, 31), (19622, 10, 7830)], 0.89570045, 'xrule'), ([(8287, 10, 7830), (5770, 2, 31), (8287, 2, 31)], 0.8455, 'xrule'), ([(8416, 10, 7830), (5770, 2, 31), (8416, 2, 31)], 0.77750015, 'xrule'), ([(5770, 3, 5779)], 0.5393591356944824, 35.63166331377537), ([(14712, 10, 7830), (5770, 2, 31), (14712, 2, 31)], 0.34420013, 'xrule'), ([(5770, 2, 31), (14377, 2, 31), (14377, 10, 7830)], 0.19890022, 'xrule'), ([(5770, 3, 35)], 0.07163528629992183, 1.5179011570796879), ([(13240, 10, 7830), (5770, 3, 772), (13240, 3, 772)], -0.10319996, 'xrule')]","(5770, 10, 7830)",4.1098666
9,"[3, 5]",4.0,13,"[3.658845, 3.6783218]",3.6685834,"[([(7236, 3, 39), (11127, 3, 39), (11127, 9, 7903)], 3.4614, 'xrule'), ([(16201, 9, 7903), (16201, 3, 418), (7236, 3, 418)], 3.0853996, 'xrule'), ([(7236, 3, 39), (12767, 3, 39), (12767, 9, 7903)], 2.7502995, 'xrule'), ([(7236, 3, 39), (15410, 3, 39), (15410, 9, 7903)], 2.7466002, 'xrule'), ([(9737, 9, 7903), (7236, 3, 418), (9737, 3, 418)], 2.071, 'xrule'), ([(7236, 3, 39), (10198, 3, 39), (10198, 9, 7903)], 1.6159, 'xrule'), ([(10198, 3, 149), (7236, 3, 149), (10198, 9, 7903)], 1.3928003, 'xrule'), ([(7236, 3, 39), (16201, 3, 39), (16201, 9, 7903)], 1.2747002, 'xrule'), ([(7236, 3, 39), (15964, 3, 39), (15964, 9, 7903)], 1.0016994, 'xrule'), ([(7236, 3, 40)], 0.5537701084431279, 4984.635009831839), ([(7236, 3, 220)], -0.025422056268989225, 16430.493644818205), ([(16201, 9, 7903), (7236, 3, 149), (16201, 3, 149)], -0.71640015, 'xrule'), ([(7236, 3, 748)], -0.7192325137974848, 17179.32756200101)]","(7236, 9, 7903)",2.871933
3,"[1, 1]",1.0,13,"[2.6601872, 3.7154486]",3.187818,"[([(5920, 3, 10)], 2.7963330206199193, 71.94247733548325), ([(5920, 3, 593)], 2.1562982680274927, 13.89625585124992), ([(5920, 3, 5928)], 1.8816238321105283, 2809.8677975218475), ([(5920, 3, 74), (13851, 3, 74), (13851, 11, 7956)], -0.8361006, 'xrule'), ([(24085, 11, 7956), (24085, 3, 39), (5920, 3, 39)], -1.1548004, 'xrule'), ([(5920, 3, 74), (19418, 3, 74), (19418, 11, 7956)], -1.1728001, 'xrule'), ([(18840, 3, 279), (5920, 3, 279), (18840, 11, 7956)], -1.2807999, 'xrule'), ([(18334, 3, 39), (18334, 11, 7956), (5920, 3, 39)], -1.3383999, 'xrule'), ([(5920, 3, 74), (25366, 3, 74), (25366, 11, 7956)], -1.7735004, 'xrule'), ([(18840, 2, 68), (5920, 2, 68), (18840, 11, 7956)], -1.9714003, 'xrule'), ([(13851, 3, 748), (13851, 11, 7956), (5920, 3, 748)], -2.7540998, 'xrule'), ([(19418, 3, 218), (19418, 11, 7956), (5920, 3, 218)], -2.8881998, 'xrule'), ([(18840, 11, 7956), (18840, 3, 39), (5920, 3, 39)], -3.6201, 'xrule')]","(5920, 11, 7956)",3.3415859
1,"[1, 4]",2.5,3,"[2.3781648, 2.693685]",2.535925,"[([(6492, 2, 68)], 1.0824013285275753, 0.7469481334288657), ([(6492, 3, 3448), (6492, 2, 68)], 0.9223738208278665, 10.715525531043399), ([(6492, 3, 3448)], -0.6741351634085927, 2.3375715178112983)]","(6492, 8, 7429)",5.1737347
2,"[2, 3]",2.5,14,"[2.7641895, 3.9231968]",3.3436933,"[([(12557, 3, 40), (6300, 3, 40), (12557, 11, 7869)], 2.4836006, 'xrule'), ([(10240, 3, 40), (6300, 3, 40), (10240, 11, 7869)], 1.8845005, 'xrule'), ([(6300, 2, 31), (11925, 2, 31), (11925, 11, 7869)], 1.8048, 'xrule'), ([(6300, 2, 68)], 1.5756712663730637, 6.828590579828436), ([(6300, 3, 6304)], 1.383820596187257, -1.200396106146251), ([(11925, 3, 41), (6300, 3, 41), (11925, 11, 7869)], 1.0160007, 'xrule'), ([(15494, 3, 40), (6300, 3, 40), (15494, 11, 7869)], 0.85890007, 'xrule'), ([(6300, 2, 31), (11192, 11, 7869), (11192, 2, 31)], 0.7772007, 'xrule'), ([(11192, 3, 10), (11192, 11, 7869), (6300, 3, 10)], 0.61880016, 'xrule'), ([(6300, 3, 41), (11192, 11, 7869), (11192, 3, 41)], 0.35249996, 'xrule'), ([(11925, 11, 7869), (11925, 3, 10), (6300, 3, 10)], -0.009399414, 'xrule'), ([(6300, 1, 168)], -0.18223377007752833, 8.454567209930348), ([(11925, 3, 40), (6300, 3, 40), (11925, 11, 7869)], -0.4336996, 'xrule'), ([(10240, 2, 31), (6300, 2, 31), (10240, 11, 7869)], -0.8803997, 'xrule')]","(6300, 11, 7869)",3.1339943
2,"[1, 1]",1.0,3,"[2.5530384, 3.7283304]",3.1406844,"[([(5067, 3, 4064)], 1.4545345958442575, -10211.189304678155), ([(5067, 3, 10), (5067, 3, 1074)], 0.4831848568542136, 1059.618499639774), ([(5067, 3, 1074)], -0.6539468321164552, -9815.657899330292)]","(5067, 11, 7956)",3.9591098
