perspective,prediction,original_score,new_ranks,facts,new_scores,#facts,new_score,new_rank,original_rank
all,"(7614, 91, 494)",0.9964919686317444,"[1, 1]","[(1974, 7, 7614), (7614, 31, 2370), (7614, 136, 8550), (8550, 38, 7614)]","[0.9815401434898376, 0.9939946532249451]",4,0.9877673983573914,1.0,1
all,"(5839, 48, 32)",0.846180260181427,"[1, 1]","[(32, 139, 90), (2538, 183, 5839), (2538, 34, 90), (32, 206, 90), (32, 234, 90), (5839, 38, 2538), (10512, 48, 32), (5839, 38, 2538), (2538, 183, 5839), (10512, 6, 2538), (3825, 133, 32), (6838, 24, 3825), (5839, 8, 6838)]","[0.8756866455078125, 0.8122007250785828]",13,0.8439436852931976,1.0,1
all,"(8285, 17, 862)",0.9222087264060974,"[1, 1]","[(361, 17, 862), (8285, 8, 1039), (1039, 8, 361), (1039, 8, 8285), (361, 8, 1039), (2788, 8, 361), (361, 17, 862), (2788, 8, 8285), (361, 8, 2788), (8285, 48, 1124), (3532, 17, 862), (3532, 48, 1124)]","[0.9553618431091309, 0.8860467076301575]",12,0.9207042753696442,1.0,1
all,"(3039, 85, 434)",0.988152801990509,"[1, 1]","[(3039, 8, 7057), (3039, 8, 408), (408, 8, 3039), (6428, 8, 3039), (3039, 8, 6428)]","[0.9757668375968933, 0.9859041571617126]",5,0.980835497379303,1.0,1
all,"(2539, 19, 536)",0.9856534600257874,"[1, 1]","[(4928, 3, 667), (4928, 8, 667), (667, 8, 4928), (667, 3, 4928), (667, 8, 2539), (667, 3, 2539), (2539, 8, 667), (536, 47, 4928), (4928, 19, 536), (1691, 3, 2539), (4928, 8, 1691), (1691, 8, 2539), (1691, 3, 4928), (536, 47, 4928), (4928, 19, 536), (2539, 8, 1691), (1619, 8, 4928), (1619, 3, 4928), (4928, 8, 1619), (4928, 3, 1619), (1619, 8, 2539), (2539, 8, 1619), (536, 47, 4928), (4928, 19, 536)]","[0.7920359373092651, 0.9588314294815063]",24,0.8754336833953857,1.0,1
all,"(5617, 25, 62)",0.9959683418273926,"[1, 1]","[(11683, 127, 1044), (1044, 144, 5617), (5617, 127, 1044), (1044, 15, 11683), (11683, 25, 62), (5617, 194, 1044), (10473, 25, 62), (7840, 25, 62)]","[0.9915472865104675, 0.9950157999992371]",8,0.9932815432548523,1.0,1
all,"(1569, 85, 434)",0.9909408688545227,"[1, 1]","[(1569, 17, 818), (1569, 8, 9461), (9461, 8, 1569), (1569, 17, 215)]","[0.9409763813018799, 0.9897627830505371]",4,0.9653695821762085,1.0,1
all,"(6482, 26, 990)",0.962796151638031,"[1, 1]","[(6482, 26, 183), (6482, 28, 32), (486, 13, 32), (486, 26, 990), (6482, 26, 4038)]","[0.7581391334533691, 0.8002151250839233]",5,0.7791771292686462,1.0,1
all,"(2600, 23, 57)",0.9564436674118042,"[2, 1]","[(2600, 23, 209), (3782, 13, 2600), (1303, 13, 2600)]","[0.8200509548187256, 0.9799489378929138]",3,0.8999999463558197,1.5,1
all,"(9774, 25, 62)",0.9894706010818481,"[1, 1]","[(3140, 43, 141), (3140, 25, 62), (9774, 43, 141), (9774, 85, 434), (3140, 25, 62), (3140, 85, 434), (6773, 25, 62)]","[0.9883885979652405, 0.9907777309417725]",7,0.9895831644535065,1.0,1
all,"(1685, 17, 60)",0.9143084287643433,"[1, 2]","[(6941, 17, 60), (9161, 17, 60), (2541, 17, 60)]","[0.8740540742874146, 0.8765041828155518]",3,0.8752791285514832,1.5,1
all,"(434, 161, 5949)",0.9906078577041626,"[2, 3]","[(186, 85, 434), (7278, 85, 434), (4466, 85, 434)]","[0.9440916180610657, 0.9528843760490417]",3,0.9484879970550537,2.5,1
all,"(7200, 28, 32)",0.8547556400299072,"[1, 1]","[(7200, 26, 1877), (6258, 28, 32), (6258, 31, 466), (7200, 31, 466), (7200, 26, 1098), (9800, 13, 32), (9800, 26, 1098)]","[0.9020503163337708, 0.854374349117279]",7,0.8782123327255249,1.0,1
all,"(3894, 31, 163)",0.7779244184494019,"[1, 1]","[(3894, 31, 147), (1609, 6, 3894), (1232, 38, 3894), (1232, 6, 3894)]","[0.7255247831344604, 0.8656079769134521]",4,0.7955663800239563,1.0,1
all,"(1454, 92, 5562)",0.5090774893760681,"[1, 1]","[(1271, 9, 3702), (3702, 92, 5562), (1454, 9, 1271), (1271, 9, 1454), (3702, 75, 3726), (1454, 75, 3726), (3726, 75, 3702), (3702, 92, 5562), (212, 9, 1300), (212, 92, 5562), (212, 75, 1300), (1300, 75, 212), (1454, 9, 1300), (1300, 9, 1454)]","[0.8715439438819885, 0.7089934945106506]",14,0.7902687191963196,1.0,1
all,"(1886, 60, 90)",0.9854287505149841,"[1, 1]","[(593, 108, 90), (1886, 100, 160), (593, 166, 90), (593, 101, 160), (1992, 34, 90), (1886, 48, 32), (1992, 28, 32), (1992, 13, 32), (4140, 77, 1886), (1886, 77, 4140)]","[0.9655424952507019, 0.9768284559249878]",10,0.9711854755878448,1.0,1
all,"(6054, 14, 160)",0.9868510365486145,"[1, 1]","[(2573, 14, 160), (2299, 100, 160), (196, 7, 6054)]","[0.969632089138031, 0.9854153990745544]",3,0.9775237441062927,1.0,1
all,"(1429, 120, 791)",0.9932956099510193,"[1, 1]","[(95, 15, 1429), (3494, 66, 1429), (3494, 24, 1429), (1429, 111, 9953)]","[0.9877737164497375, 0.9724039435386658]",4,0.9800888299942017,1.0,1
all,"(11021, 46, 152)",0.7165725827217102,"[1, 1]","[(4350, 46, 152), (4350, 150, 32), (11021, 16, 32), (10990, 46, 152), (11020, 46, 152)]","[0.694860577583313, 0.7516696453094482]",5,0.7232651114463806,1.0,1
all,"(2664, 25, 62)",0.9936367273330688,"[1, 1]","[(291, 25, 62), (2664, 77, 2016), (2016, 38, 291), (2016, 77, 2664), (1300, 42, 8024), (2664, 41, 1300), (8024, 25, 62), (2664, 17, 1415), (7965, 17, 1415), (7965, 25, 62)]","[0.9845800399780273, 0.993730902671814]",10,0.9891554713249207,1.0,1
all,"(5, 90, 1885)",0.9416294097900391,"[2, 1]","[(5, 31, 136), (739, 7, 5), (5, 31, 136), (4726, 90, 1885), (4726, 31, 136)]","[0.6871641278266907, 0.8115525245666504]",5,0.7493583261966705,1.5,1
all,"(7843, 17, 862)",0.8698863387107849,"[1, 1]","[(7843, 17, 60), (8758, 17, 862), (4206, 8, 7843), (7843, 8, 4206), (7843, 3, 4206)]","[0.8466373085975647, 0.7047022581100464]",5,0.7756697833538055,1.0,1
all,"(6791, 25, 62)",0.990455687046051,"[1, 1]","[(7538, 25, 62), (6791, 61, 3111), (7538, 61, 3111), (484, 89, 10578), (10578, 25, 62), (484, 89, 6791), (32, 15, 6791), (987, 25, 62), (987, 16, 32)]","[0.9968414306640625, 0.9952103495597839]",9,0.9960258901119232,1.0,1
all,"(1707, 86, 10402)",0.5459656119346619,"[2, 2]","[(1707, 31, 205), (4381, 31, 205), (205, 2, 1707), (205, 2, 4381), (4381, 86, 10402), (3655, 2, 1707), (4381, 86, 10402), (3655, 2, 4381), (10402, 38, 1075), (1707, 13, 2091), (1075, 12, 10402), (1075, 13, 2091)]","[0.3410821259021759, 0.2604586184024811]",12,0.3007703721523285,2.0,1
all,"(4550, 60, 90)",0.9950908422470093,"[1, 1]","[(4550, 19, 77), (4550, 48, 32), (529, 20, 4550)]","[0.9904502034187317, 0.9936519861221313]",3,0.9920510947704315,1.0,1
all,"(2062, 43, 384)",0.8457817435264587,"[2, 2]","[(2062, 8, 8285), (8285, 8, 2062), (2788, 8, 8285), (2788, 43, 384), (8859, 43, 384), (1039, 8, 2788), (2788, 8, 1039), (2062, 8, 1039), (2788, 43, 384)]","[0.772838294506073, 0.772858738899231]",9,0.772848516702652,2.0,1
all,"(5818, 34, 90)",0.9906631708145142,"[1, 1]","[(5818, 13, 32), (3249, 13, 32), (3249, 34, 90), (3249, 28, 32), (1932, 128, 90), (1932, 166, 90), (1932, 129, 90), (1932, 108, 90), (1932, 208, 90), (11292, 33, 90)]","[0.9913200736045837, 0.9954556226730347]",10,0.9933878481388092,1.0,1
all,"(6087, 26, 1098)",0.9066410064697266,"[1, 2]","[(9986, 26, 1098), (6087, 26, 990), (9986, 26, 990), (3124, 26, 1936), (3124, 26, 1098), (6087, 26, 1936), (906, 26, 1098), (6087, 26, 990), (906, 26, 990)]","[0.7994574308395386, 0.750514566898346]",9,0.7749859988689423,1.5,1
all,"(6350, 43, 141)",0.9883594512939453,"[1, 1]","[(6350, 66, 4764), (6350, 66, 9443), (6350, 17, 393)]","[0.9623389840126038, 0.9810513257980347]",3,0.9716951549053192,1.0,1
all,"(3120, 220, 6386)",0.828163743019104,"[1, 1]","[(3120, 220, 4005), (4508, 24, 3120), (2388, 15, 3120), (3120, 127, 2388)]","[0.898793637752533, 0.9579135775566101]",4,0.9283536076545715,1.0,1
all,"(8377, 26, 64)",0.9645830988883972,"[1, 1]","[(70, 26, 64), (70, 26, 342), (8377, 26, 342), (5802, 26, 64), (5802, 26, 342), (8377, 26, 342), (4419, 26, 342), (4419, 26, 64), (8377, 26, 342)]","[0.9267759919166565, 0.9404122233390808]",9,0.9335941076278687,1.0,1
all,"(6183, 17, 1002)",0.8010475039482117,"[1, 1]","[(6183, 19, 1198), (11406, 17, 1002), (11406, 19, 1198), (8298, 17, 1002), (1756, 42, 6183), (1756, 42, 8298), (8298, 17, 2424), (8298, 17, 1002), (6183, 17, 2424)]","[0.8213090300559998, 0.7487118244171143]",9,0.785010427236557,1.0,1
all,"(6412, 48, 32)",0.9531452059745789,"[1, 1]","[(6412, 17, 243), (6412, 6, 7787), (12904, 48, 32)]","[0.9703319668769836, 0.9469698071479797]",3,0.9586508870124817,1.0,1
all,"(13370, 120, 791)",0.9951258301734924,"[1, 1]","[(2437, 120, 791), (13370, 58, 822), (13377, 15, 13370)]","[0.9951817393302917, 0.9937408566474915]",3,0.9944612979888916,1.0,1
all,"(2592, 17, 2123)",0.7389125823974609,"[1, 1]","[(5933, 20, 10154), (10154, 17, 2123), (5933, 20, 2592), (6013, 17, 1415), (2592, 17, 1415), (6013, 17, 2123), (2592, 196, 1627), (1627, 196, 2592)]","[0.35634347796440125, 0.4910042881965637]",8,0.4236738830804825,1.0,1
all,"(4878, 39, 592)",0.1647690385580063,"[4, 1]","[(2099, 47, 4878), (4878, 19, 2099), (6121, 8, 4878), (6121, 3, 4878), (4879, 3, 4878), (4878, 3, 4879), (4878, 8, 4879), (4879, 8, 4878)]","[0.0725630596280098, 0.23992036283016205]",8,0.15624171122908592,2.5,1
all,"(5400, 31, 4)",0.9161665439605713,"[1, 1]","[(5400, 86, 2317), (2317, 32, 5400), (2344, 7, 5400), (5400, 184, 8563)]","[0.8689806461334229, 0.9554443955421448]",4,0.9122125208377838,1.0,1
all,"(409, 100, 160)",0.9844846725463867,"[1, 1]","[(409, 6, 7056), (7056, 13, 158), (160, 70, 158), (409, 8, 3778), (3778, 8, 409), (409, 19, 3241)]","[0.991051197052002, 0.93110591173172]",6,0.961078554391861,1.0,1
all,"(10860, 154, 5054)",0.8733823895454407,"[2, 1]","[(10860, 135, 382), (382, 87, 10860), (382, 15, 10860), (10860, 205, 3955), (10860, 62, 3955), (3955, 15, 10860), (6622, 154, 5054)]","[0.1965617537498474, 0.5010628700256348]",7,0.3488123118877411,1.5,1
all,"(7494, 67, 259)",0.8372358083724976,"[1, 1]","[(402, 67, 259), (7494, 67, 6480), (3169, 101, 259), (3169, 101, 6480), (5647, 67, 259)]","[0.8435298800468445, 0.934088945388794]",5,0.8888094127178192,1.0,1
all,"(889, 19, 7255)",0.8706680536270142,"[2, 2]","[(358, 27, 889), (358, 27, 2565), (2565, 19, 7255), (579, 27, 889), (2565, 19, 7255), (579, 27, 2565), (9150, 27, 889), (2565, 19, 7255), (9150, 27, 2565)]","[0.8218899369239807, 0.7405248284339905]",9,0.7812073826789856,2.0,1
all,"(1567, 167, 1768)",0.9941210150718689,"[1, 1]","[(3921, 167, 1768), (4783, 167, 1768), (5033, 167, 1768)]","[0.979286253452301, 0.9851203560829163]",3,0.9822033047676086,1.0,1
all,"(8790, 25, 62)",0.9913109540939331,"[1, 1]","[(236, 63, 5048), (236, 44, 8790), (236, 63, 8790), (5048, 25, 62), (11352, 25, 62), (3139, 129, 90), (8790, 129, 90), (3139, 25, 62), (8790, 166, 90), (8790, 128, 90), (3139, 128, 90), (3139, 208, 90), (8790, 213, 90), (3139, 108, 90), (3139, 166, 90)]","[0.9720864295959473, 0.9902091026306152]",15,0.9811477661132812,1.0,1
all,"(2154, 26, 1960)",0.6236992478370667,"[3, 2]","[(738, 26, 1960), (1312, 26, 1960), (3138, 26, 64), (2154, 26, 64), (3138, 26, 1960)]","[0.426498681306839, 0.48618367314338684]",5,0.4563411772251129,2.5,1
all,"(7681, 48, 32)",0.9179816246032715,"[1, 1]","[(13860, 43, 141), (7681, 43, 141), (13860, 48, 32), (7681, 17, 818), (7681, 39, 10717)]","[0.9336150884628296, 0.8724806308746338]",5,0.9030478596687317,1.0,1
all,"(6543, 98, 8248)",0.9474917650222778,"[3, 2]","[(6543, 98, 8236), (6543, 96, 8505), (6543, 68, 6544)]","[0.8571771383285522, 0.8890600800514221]",3,0.8731186091899872,2.5,1
all,"(8105, 52, 1374)",0.8518562912940979,"[3, 2]","[(1374, 20, 951), (8105, 52, 529), (529, 20, 951), (8105, 52, 529), (529, 20, 7301), (1374, 20, 7301), (529, 20, 1308), (8105, 52, 529), (1374, 20, 1308)]","[0.13486339151859283, 0.32405179738998413]",9,0.22945759445428848,2.5,1
all,"(8194, 154, 2620)",0.4746376872062683,"[1, 1]","[(8319, 159, 8194), (119, 15, 8194), (119, 15, 8194), (3028, 154, 2620), (119, 58, 3028), (3028, 58, 119)]","[0.2969380021095276, 0.9198645353317261]",6,0.6084012687206268,1.0,1
all,"(6149, 26, 64)",0.7856136560440063,"[1, 1]","[(3886, 26, 64), (3886, 26, 64), (2591, 26, 64)]","[0.9206662178039551, 0.9562695622444153]",3,0.9384678900241852,1.0,1
all,"(6045, 210, 3202)",0.9898172616958618,"[1, 1]","[(6045, 27, 1949), (6045, 27, 7396), (1501, 10, 6045)]","[0.9470197558403015, 0.9892673492431641]",3,0.9681435525417328,1.0,1
all,"(12309, 43, 141)",0.9944069385528564,"[1, 1]","[(12309, 21, 9313), (12309, 21, 4643), (12309, 21, 7229)]","[0.9986028075218201, 0.9957316517829895]",3,0.9971672296524048,1.0,1
all,"(13452, 212, 4563)",0.9722623825073242,"[1, 1]","[(4055, 50, 13452), (13452, 82, 1771), (13452, 48, 32)]","[0.9093483090400696, 0.8920567035675049]",3,0.9007025063037872,1.0,1
all,"(2051, 85, 434)",0.9756770730018616,"[1, 1]","[(2051, 175, 3732), (3732, 175, 2051), (2051, 134, 597), (2051, 160, 10301)]","[0.9708516597747803, 0.9846210479736328]",4,0.9777363538742065,1.0,1
all,"(8706, 86, 1630)",0.44494742155075073,"[2, 7]","[(1147, 3, 6810), (6810, 8, 1147), (6810, 3, 1147), (6810, 159, 1630), (8706, 136, 1147), (1147, 38, 8706), (1147, 6, 8706), (1147, 8, 6810), (1147, 159, 1630), (1147, 226, 1630), (1147, 38, 8706), (1147, 6, 8706), (8706, 136, 1147), (8706, 26, 2948), (5968, 26, 2948), (5968, 86, 1630)]","[0.29875704646110535, 0.12368638068437576]",16,0.21122171357274055,4.5,1
all,"(13805, 17, 862)",0.6916261315345764,"[1, 1]","[(13805, 85, 434), (13805, 48, 1928), (7783, 85, 434), (7783, 17, 862), (13805, 85, 434)]","[0.7427443265914917, 0.8744494915008545]",5,0.8085969090461731,1.0,1
all,"(3715, 17, 862)",0.931495726108551,"[1, 1]","[(3715, 19, 2998), (3715, 100, 160), (3715, 6, 9696)]","[0.8057581782341003, 0.942216157913208]",3,0.8739871680736542,1.0,1
all,"(5606, 48, 32)",0.9029479622840881,"[1, 1]","[(32, 15, 2822), (4291, 48, 32), (32, 15, 11843)]","[0.9339236617088318, 0.8259042501449585]",3,0.8799139559268951,1.0,1
all,"(6848, 28, 32)",0.9276204109191895,"[1, 1]","[(1617, 28, 32), (1617, 11, 23), (6848, 11, 23), (1617, 13, 32), (7785, 6, 6848), (1657, 8, 7785), (7785, 8, 1657), (1657, 48, 32), (10739, 31, 4), (10739, 13, 32), (6848, 31, 4), (4, 2, 10739), (4, 2, 6848)]","[0.7036914825439453, 0.9185041189193726]",13,0.8110978007316589,1.0,1
all,"(7388, 25, 62)",0.9848781228065491,"[1, 1]","[(5913, 43, 141), (7388, 43, 141), (5913, 25, 62), (7388, 85, 434), (4898, 25, 62), (4898, 85, 434), (5766, 17, 60), (7388, 17, 60), (5766, 25, 62)]","[0.9815906286239624, 0.9950026869773865]",9,0.9882966578006744,1.0,1
all,"(746, 13, 1682)",0.9694784283638,"[6, 4]","[(1682, 72, 1091), (2755, 193, 27), (2755, 13, 1682), (746, 13, 27), (2755, 13, 27), (424, 150, 1682)]","[0.820766270160675, 0.909458339214325]",6,0.8651123046875,5.0,1
all,"(9201, 48, 32)",0.6412914395332336,"[1, 1]","[(9201, 85, 434), (3261, 48, 32), (3261, 85, 434), (9201, 17, 862), (10937, 45, 9201), (9201, 45, 10937)]","[0.8421475291252136, 0.5942968726158142]",6,0.7182222008705139,1.0,1
all,"(4433, 17, 862)",0.9954941272735596,"[1, 1]","[(2187, 3, 4433), (2187, 8, 4433), (4433, 17, 393), (3208, 17, 862)]","[0.9705477356910706, 0.9730386734008789]",4,0.9717932045459747,1.0,1
all,"(1803, 156, 6317)",0.9039296507835388,"[1, 1]","[(1803, 156, 4922), (8246, 163, 1803), (1803, 156, 1503)]","[0.9827373623847961, 0.9829527139663696]",3,0.9828450381755829,1.0,1
all,"(5628, 25, 62)",0.9962792992591858,"[1, 1]","[(3663, 20, 4406), (3663, 20, 5628), (4406, 25, 62), (2077, 76, 4406), (4406, 25, 62), (2077, 76, 5628), (6105, 19, 1049), (6105, 25, 62), (1049, 47, 5628), (1049, 47, 6105), (5628, 19, 1049)]","[0.9844796061515808, 0.9852031469345093]",11,0.984841376543045,1.0,1
all,"(11844, 61, 2940)",0.5944116115570068,"[1, 2]","[(484, 89, 11844), (4783, 61, 2940), (484, 89, 4783), (4071, 61, 2940), (10995, 61, 2940), (10995, 124, 3103), (11844, 124, 3103)]","[0.660577118396759, 0.23641914129257202]",7,0.4484981298446655,1.5,1
all,"(7889, 46, 3115)",0.3568492531776428,"[1, 1]","[(7889, 46, 8400), (7513, 46, 3115), (7889, 46, 259)]","[0.06171019747853279, 0.114777110517025]",3,0.08824365399777889,1.0,1
all,"(5361, 177, 1271)",0.6285704970359802,"[1, 1]","[(10706, 177, 1271), (10706, 177, 1271), (10046, 134, 1271)]","[0.841235876083374, 0.7213125228881836]",3,0.7812741994857788,1.0,1
all,"(11761, 113, 5770)",0.393696665763855,"[1, 2]","[(3529, 150, 32), (11761, 150, 32), (3529, 113, 5770), (6451, 13, 32), (11761, 150, 32), (6451, 26, 5770), (11761, 129, 90), (3529, 208, 90), (11761, 213, 90), (3529, 113, 5770), (3529, 213, 90)]","[0.280781090259552, 0.27592623233795166]",11,0.27835366129875183,1.5,1
all,"(7739, 48, 32)",0.8271660208702087,"[1, 1]","[(12782, 133, 32), (32, 15, 12782), (10581, 48, 32), (6437, 150, 32)]","[0.8444867730140686, 0.9369868636131287]",4,0.8907368183135986,1.0,1
all,"(9711, 11, 23)",0.9838512539863586,"[1, 1]","[(9711, 31, 4), (908, 7, 9711), (9711, 14, 160)]","[0.9847632050514221, 0.981117308139801]",3,0.9829402565956116,1.0,1
all,"(2937, 48, 32)",0.9600799083709717,"[1, 1]","[(4353, 15, 13460), (32, 15, 13460), (2937, 143, 4353), (5900, 28, 32), (2960, 7, 5900), (2937, 19, 2960), (5900, 30, 2960), (7642, 48, 32), (7642, 19, 559), (2937, 19, 559)]","[0.9091641902923584, 0.994540274143219]",10,0.9518522322177887,1.0,1
all,"(7870, 17, 862)",0.8808958530426025,"[1, 1]","[(7870, 85, 434), (7870, 6, 5728), (7870, 6, 4940)]","[0.9858884215354919, 0.9278705716133118]",3,0.9568794965744019,1.0,1
all,"(3407, 35, 7238)",0.9577904939651489,"[1, 2]","[(3407, 35, 1806), (3407, 35, 611), (3407, 35, 4507)]","[0.9083796143531799, 0.9424970149993896]",3,0.9254383146762848,1.5,1
all,"(12195, 66, 592)",0.08467242866754532,"[2, 1]","[(12195, 48, 32), (1674, 22, 12195), (3846, 13, 592)]","[0.015066448599100113, 0.0429888591170311]",3,0.029027653858065605,1.5,1
all,"(7535, 17, 215)",0.8892365097999573,"[1, 2]","[(3487, 19, 999), (999, 47, 3487), (7535, 19, 999), (3487, 17, 215), (2575, 17, 215), (2575, 17, 818), (7535, 17, 818), (2575, 17, 215), (7535, 100, 160), (2575, 100, 160)]","[0.8928080797195435, 0.7219594120979309]",10,0.8073837459087372,1.5,1
all,"(1014, 37, 2033)",0.9408588409423828,"[8, 1]","[(2832, 24, 2033), (2832, 66, 2033), (1014, 37, 3711), (3807, 66, 2033)]","[0.8555949330329895, 0.9478275179862976]",4,0.9017112255096436,4.5,1
