prediction,new_ranks,#facts,new_scores,facts,original_rank,new_score,original_score,new_rank
"(33791, 0, 2687)","[2, 2]",2,"[1.8717273, 1.4108644]","[(19383, 4, 33791), (33791, 4, 11695)]",1,1.6412959,1.1540937,2.0
"(18333, 0, 1929)","[157, 32]",1,"[2.281881, 2.0190463]","[(18332, 4, 18333)]",1,2.1504636,1.5995007,94.5
"(27097, 0, 10241)","[1, 1]",1,"[1.6555724, 2.0439413]","[(38312, 0, 27097)]",1,1.8497568,2.6455247,1.0
"(33324, 0, 284)","[7246, 26478]",1,"[5.612015, 5.4264374]","[(2924, 4, 33324)]",1,5.519226,0.75780964,16862.0
"(19442, 2, 1137)","[1, 1]",1,"[0.97015643, 0.9664002]","[(3188, 8, 19442)]",1,0.9682783,1.2696587,1.0
"(1864, 0, 1703)","[1, 2]",1,"[1.3511525, 1.0642381]","[(1864, 4, 35417)]",1,1.2076952,1.4160054,1.5
"(18451, 5, 1238)","[20, 16]",1,"[2.699192, 2.443888]","[(18451, 5, 2971)]",1,2.5715399,0.9023785,18.0
"(7396, 0, 39)","[1, 1]",1,"[1.5820745, 1.1156076]","[(7396, 4, 12471)]",1,1.3488411,2.1907704,1.0
"(15952, 0, 3163)","[2682, 764]",1,"[3.4989233, 2.209556]","[(15952, 4, 19515)]",1,2.8542397,2.5990837,1723.0
"(40221, 5, 73)","[144, 122]",1,"[5.4863067, 4.6730785]","[(40221, 0, 3411)]",1,5.079693,2.976766,133.0
"(33163, 5, 4554)","[22, 58]",1,"[2.0297363, 2.459181]","[(33163, 5, 19146)]",1,2.2444587,1.3780348,40.0
"(19351, 0, 265)","[9103, 7408]",2,"[5.5684214, 5.258913]","[(6122, 4, 19351), (19351, 4, 11121)]",1,5.413667,1.6982498,8255.5
"(14814, 0, 292)","[7, 27]",1,"[1.6917763, 1.9411715]","[(1864, 4, 14814)]",1,1.816474,0.8656637,17.0
"(21561, 0, 39)","[383, 81]",3,"[2.1354523, 1.8112451]","[(21561, 4, 21562), (21561, 4, 7954), (21561, 4, 10155)]",1,1.9733486,1.9819248,232.0
"(34758, 0, 284)","[16634, 39]",1,"[4.975437, 4.7509074]","[(7922, 4, 34758)]",1,4.8631725,1.2893803,8336.5
"(38617, 0, 21)","[20878, 983]",1,"[5.2401285, 5.1273446]","[(1432, 4, 38617)]",1,5.183737,1.6508205,10930.5
"(36255, 0, 10055)","[3, 1]",1,"[1.1783006, 0.98904514]","[(36255, 6, 33439)]",1,1.0836729,1.2075223,2.0
"(9939, 2, 2580)","[7, 8]",1,"[5.7281084, 4.6819773]","[(4927, 6, 9939)]",1,5.205043,1.4379002,7.5
"(31376, 2, 743)","[1, 1]",1,"[0.32187653, 0.76305]","[(12272, 6, 31376)]",1,0.5424633,0.3502208,1.0
"(14888, 0, 2518)","[2, 1]",1,"[0.6879914, 0.6677803]","[(14888, 4, 24718)]",1,0.67788583,0.6015825,1.5
"(35944, 2, 916)","[29, 191]",1,"[5.4683566, 5.2169256]","[(35944, 2, 121)]",1,5.342641,0.8335239,110.0
"(5767, 4, 21704)","[15, 1]",1,"[0.94893587, 0.44511577]","[(5767, 4, 36641)]",1,0.69702584,1.4449646,8.0
"(37756, 0, 278)","[877, 159]",1,"[5.528372, 4.843539]","[(21810, 4, 37756)]",1,5.1859555,1.6959426,518.0
"(38545, 2, 3943)","[1, 1]",1,"[1.0397705, 0.9529693]","[(7700, 6, 38545)]",1,0.9963699,0.52756256,1.0
"(1521, 0, 532)","[1, 1]",1,"[1.477467, 0.65754175]","[(1521, 4, 1522)]",1,1.0675044,2.5358155,1.0
"(516, 0, 292)","[3, 3]",1,"[1.4381518, 1.6046255]","[(1864, 4, 516)]",1,1.5213886,0.56383824,3.0
"(10303, 0, 1380)","[32, 189]",1,"[1.3357589, 1.5050106]","[(28372, 1, 10303)]",1,1.4203848,2.244032,110.5
"(2381, 2, 12273)","[1, 1]",1,"[0.6992259, 0.39482087]","[(2381, 6, 5200)]",1,0.5470234,0.6526841,1.0
"(14588, 2, 121)","[1, 1]",1,"[0.8218136, 0.88884854]","[(8693, 6, 14588)]",1,0.85533106,0.89742965,1.0
"(37558, 2, 741)","[4, 3]",1,"[2.990264, 1.5914527]","[(193, 6, 37558)]",1,2.2908583,0.9920295,3.5
"(39375, 0, 265)","[11327, 2809]",1,"[5.5927753, 5.084799]","[(15314, 4, 39375)]",1,5.338787,3.3573053,7068.0
"(30773, 0, 184)","[1210, 1825]",1,"[5.4409013, 5.058839]","[(1038, 4, 30773)]",1,5.2498703,1.2787083,1517.5
"(27989, 2, 17930)","[4, 2]",1,"[0.6221241, 0.55792624]","[(27989, 5, 2404)]",1,0.5900252,0.405201,3.0
"(37725, 0, 23377)","[491, 2066]",1,"[5.018713, 4.7708406]","[(15016, 4, 37725)]",1,4.894777,1.7977273,1278.5
"(22121, 0, 351)","[5, 4]",1,"[1.8151888, 1.2380419]","[(512, 4, 22121)]",1,1.5266154,0.61166525,4.5
"(27757, 0, 1929)","[49, 3573]",2,"[5.179984, 4.945308]","[(450, 4, 27757), (27757, 4, 13223)]",1,5.062646,1.4945084,1811.0
"(7397, 0, 296)","[1, 1]",1,"[0.3030299, 0.26512927]","[(7397, 4, 32472)]",1,0.28407958,0.49443048,1.0
"(36622, 2, 2580)","[16, 3]",1,"[1.7970276, 2.0462475]","[(637, 8, 36622)]",1,1.9216375,1.264704,9.5
"(25076, 0, 265)","[78, 2014]",1,"[4.977708, 5.1303515]","[(17623, 4, 25076)]",1,5.0540295,2.0178685,1046.0
"(35086, 0, 1929)","[1, 1]",1,"[0.5569984, 0.39240187]","[(35086, 4, 38712)]",1,0.47470012,1.266521,1.0
"(29122, 0, 1500)","[1, 1]",1,"[1.4768736, 1.4901311]","[(29122, 1, 5382)]",1,1.4835024,3.2201586,1.0
"(23647, 0, 1338)","[16398, 4204]",1,"[5.2236133, 4.8056355]","[(23647, 0, 14302)]",1,5.0146246,1.3406936,10301.0
