#facts,original_score,facts,prediction,new_score,original_rank,new_ranks,new_rank,new_scores
6,0.8385334610939026,"[([(12227, 1, 14940)], 0.5226, 'xrule'), ([(12227, 1, 14940)], 0.36045036870995967, 'kelpie'), ([(14940, 5, 2939)], 0.029438595229203248, 'kelpie'), ([(14940, 1, 5927)], -0.026874144611402823, 'kelpie'), ([(5927, 1, 1025), (1025, 1, 5927), (1025, 1, 12227), (12227, 1, 1025), (5927, 1, 14940), (14940, 1, 5927)], -0.46649998, 'xrule'), ([(13800, 1, 12227), (5927, 1, 13800), (13800, 1, 5927), (5927, 1, 14940), (14940, 1, 5927)], -0.47529995, 'xrule')]","(14940, 1, 12227)",1.2067234365531476e-05,1,"[6835, 9619]",8227.0,"[1.070900270860875e-05, 1.3425466022454202e-05]"
6,0.8824633359909058,"[([(8019, 1, 2949)], 0.5742899613385365, 'kelpie'), ([(8019, 1, 2949)], 0.1337, 'xrule'), ([(2949, 1, 2948)], 0.007755200317277958, 'kelpie'), ([(2949, 1, 9188)], 0.006195108382389739, 'kelpie'), ([(2949, 1, 9188), (9188, 1, 30805), (30805, 1, 8019), (30805, 1, 9188), (9188, 1, 2949)], -0.0045000017, 'xrule'), ([(2949, 1, 9188), (8019, 1, 15469), (9188, 1, 15469), (9188, 1, 2949), (15469, 1, 8019)], -0.0414, 'xrule')]","(2949, 1, 8019)",0.0001039840753946919,1,"[10300, 7866]",9083.0,"[8.403113315580413e-05, 0.00012393701763357967]"
6,0.19728238880634308,"[([(15729, 1, 31425)], 0.31902484228410066, 'kelpie'), ([(15729, 0, 3362)], 0.24422257729295382, 'kelpie'), ([(15729, 1, 16455)], 0.21521058254417796, 'kelpie'), ([(15171, 1, 31425), (15171, 1, 12999), (12999, 1, 15171), (31425, 1, 15171), (15729, 1, 31425)], 0.0, 'xrule'), ([(15730, 1, 15171), (15171, 1, 12999), (15729, 1, 15730), (12999, 1, 15171), (15730, 1, 15729), (15171, 1, 15730)], 0.0, 'xrule'), ([(15171, 1, 12999), (15729, 1, 16455), (16455, 1, 15729), (16455, 1, 15171), (12999, 1, 15171), (15171, 1, 16455)], -0.0001, 'xrule')]","(15729, 1, 12999)",1.122076923820714e-05,1,"[24861, 5399]",15130.0,"[5.696194875781657e-06, 1.6745343600632623e-05]"
4,0.9615100622177124,"[([(18592, 1, 20124)], 0.993439069409135, 'kelpie'), ([(18592, 1, 20124)], 0.9814, 'xrule'), ([(25202, 0, 20124)], 0.0013133091524775086, 'kelpie'), ([(16684, 0, 20124)], -0.0008829432068558776, 'kelpie')]","(20124, 1, 18592)",3.835558891296387e-05,1,"[17282, 16504]",16893.0,"[3.223700332455337e-05, 4.4474174501374364e-05]"
4,0.9318868517875671,"[([(1116, 1, 23468)], 0.6104191980275447, 'kelpie'), ([(1116, 1, 23468)], 0.39970002, 'xrule'), ([(23468, 1, 9661)], 0.004053811517570352, 'kelpie'), ([(23468, 1, 16843)], -0.022339423233766257, 'kelpie')]","(23468, 1, 1116)",0.0001250821055691631,1,"[33562, 2449]",18005.5,"[1.2389074072416406e-05, 0.0002377751370659098]"
4,0.6587778329849243,"[([(9535, 4, 9536), (9535, 4, 25282), (25282, 0, 265)], 0.0099, 'xrule'), ([(9535, 4, 9536), (24998, 0, 265), (9535, 4, 24998)], 0.0099, 'xrule'), ([(9535, 4, 9536)], 0.001142538928545261, 'kelpie'), ([(9536, 4, 35483)], 0.001105468902321763, 'kelpie')]","(9536, 0, 265)",0.0003615327295847237,1,"[4, 3]",3.5,"[0.00036392523907124996, 0.00035914022009819746]"
5,0.8030797243118286,"[([(22014, 1, 1419)], 0.64959997, 'xrule'), ([(22014, 1, 1419)], 0.4022821008227612, 'kelpie'), ([(13051, 1, 22014), (22014, 1, 13051), (19671, 1, 13051), (13051, 1, 19671), (1419, 1, 19671), (19671, 1, 1419)], 0.03759998, 'xrule'), ([(1419, 1, 19671)], 0.006875435792565208, 'kelpie'), ([(1419, 1, 1418)], -0.013349969930577861, 'kelpie')]","(1419, 1, 22014)",4.037599319417495e-05,1,"[15905, 22155]",19030.0,"[4.086004264536314e-05, 3.989194374298677e-05]"
6,0.9153757691383362,"[([(2507, 1, 16918)], 0.8302, 'xrule'), ([(16918, 1, 20126), (2507, 5, 6166), (20126, 5, 6166)], 0.70350003, 'xrule'), ([(16918, 1, 16919), (16919, 5, 6166), (16919, 1, 16918), (2507, 5, 6166)], 0.4975, 'xrule'), ([(2507, 1, 16918)], 0.4779289191991522, 'kelpie'), ([(16918, 1, 16476)], 0.017212907742799453, 'kelpie'), ([(16918, 1, 6789)], 0.012401024779470035, 'kelpie')]","(16918, 1, 2507)",0.1557111293077469,1,"[4, 4]",4.0,"[0.1892489343881607, 0.12217332422733307]"
4,0.8214631676673889,"[([(20726, 1, 12356)], 0.8545, 'xrule'), ([(20726, 1, 12356)], 0.7036301349176126, 'kelpie'), ([(12355, 1, 12356)], 0.05349610277712185, 'kelpie'), ([(12356, 1, 12355)], -0.06524016430706181, 'kelpie')]","(12356, 1, 20726)",0.00014054905841476284,1,"[2220, 9428]",5824.0,"[0.00020822230726480484, 7.287580956472084e-05]"
5,0.8690681457519531,"[([(24228, 1, 31721)], 0.7329310634691416, 'kelpie'), ([(24228, 1, 31721)], 0.6764, 'xrule'), ([(7056, 1, 31721)], 0.02775220104411862, 'kelpie'), ([(31721, 1, 7056)], -0.09236683410579029, 'kelpie'), ([(7056, 1, 31721), (24228, 0, 7056), (31721, 1, 7056)], -0.3229, 'xrule')]","(31721, 1, 24228)",5.434038212115411e-05,1,"[11255, 12125]",11690.0,"[5.56071063329e-05, 5.307365790940821e-05]"
6,0.9877474308013916,"[([(20572, 1, 7982)], 0.9855, 'xrule'), ([(20572, 1, 7982)], 0.7352555850972842, 'kelpie'), ([(7982, 3, 14618), (20572, 1, 7983), (7983, 1, 20572), (7983, 3, 14618), (14618, 3, 7982), (14618, 3, 7983)], 0.034200013, 'xrule'), ([(7983, 1, 20572), (20572, 1, 7983), (7982, 3, 7983)], 0.018700004, 'xrule'), ([(7982, 3, 14618)], 0.0005414886063706182, 'kelpie'), ([(14618, 3, 7982)], -9.485059455367645e-05, 'kelpie')]","(7982, 1, 20572)",5.339510380508727e-06,1,"[22963, 34450]",28706.5,"[6.0947909332753625e-06, 4.584229827742092e-06]"
4,0.5863993167877197,"[([(21273, 4, 27089)], 0.03216310496032333, 'kelpie'), ([(33277, 0, 25460), (21273, 4, 27089), (21273, 4, 33277)], 0.0061, 'xrule'), ([(21273, 4, 32246), (21273, 4, 27089), (32246, 0, 25460)], 0.006, 'xrule'), ([(21273, 4, 27089), (21273, 4, 21274), (21274, 0, 25460)], 0.006, 'xrule')]","(27089, 0, 25460)",3.882666806021007e-05,1,"[2414, 963]",1688.5,"[3.0341559977387078e-05, 4.731177614303306e-05]"
4,0.9519976377487183,"[([(39891, 1, 20097)], 0.7571, 'xrule'), ([(39891, 1, 20097)], 0.28508720902036194, 'kelpie'), ([(20097, 1, 14699)], 0.03913388675344297, 'kelpie'), ([(20097, 1, 11870)], -0.004531343526303815, 'kelpie')]","(20097, 1, 39891)",9.602709178579971e-05,1,"[13296, 6954]",10125.0,"[6.256875349208713e-05, 0.0001294854300795123]"
6,0.9422932267189026,"[([(21041, 1, 522)], 0.5747261481480711, 'kelpie'), ([(21041, 1, 522)], 0.035299998, 'xrule'), ([(522, 1, 6484)], -0.0011641579368161542, 'kelpie'), ([(17635, 1, 21041), (21041, 1, 17635), (17635, 0, 522)], -0.0191, 'xrule'), ([(522, 1, 4393)], -0.037177463106355994, 'kelpie'), ([(21899, 0, 522), (21899, 1, 21041), (21041, 1, 21899)], -0.5809, 'xrule')]","(522, 1, 21041)",6.734065573255066e-05,1,"[12701, 10701]",11701.0,"[6.0318710893625394e-05, 7.436260057147592e-05]"
4,0.9746934175491333,"[([(26855, 1, 26856)], 0.9593080781198754, 'kelpie'), ([(26855, 1, 26856)], 0.8927, 'xrule'), ([(26856, 0, 4469)], -0.013158519785310917, 'kelpie'), ([(9579, 0, 26856)], -0.014065404452023415, 'kelpie')]","(26856, 1, 26855)",1.0141663551621605e-05,1,"[19223, 10012]",14617.5,"[6.899266736581922e-06, 1.3384060366661288e-05]"
3,0.9498961567878723,"[([(38175, 1, 29520)], 0.997, 'xrule'), ([(38175, 1, 29520)], 0.8267801280127453, 'kelpie'), ([(29520, 0, 29521)], 0.004866520827539433, 'kelpie')]","(29520, 1, 38175)",1.1036614978365833e-05,1,"[8573, 12473]",10523.0,"[9.977316949516535e-06, 1.2095913007215131e-05]"
4,0.9860931038856506,"[([(2643, 1, 11856)], 0.9026, 'xrule'), ([(2643, 1, 11856)], 0.5049376317709482, 'kelpie'), ([(11856, 0, 15035)], -0.007289846452187002, 'kelpie'), ([(11856, 6, 10189)], -0.010147889197542677, 'kelpie')]","(11856, 1, 2643)",3.5782107943305164e-06,1,"[29597, 38565]",34081.0,"[4.658085799746914e-06, 2.498335788914119e-06]"
4,0.867676854133606,"[([(26217, 1, 6787)], 0.5224, 'xrule'), ([(6787, 1, 11298)], 0.03766653961228083, 'kelpie'), ([(6787, 1, 6855)], 0.02766935057564441, 'kelpie'), ([(6787, 1, 6786)], 0.024820665800706534, 'kelpie')]","(6787, 1, 26217)",0.00035640711575979367,1,"[1368, 6014]",3691.0,"[0.0005394212785176933, 0.00017339295300189406]"
5,0.92377108335495,"[([(16161, 1, 3136)], 0.6415382470324063, 'kelpie'), ([(16161, 1, 3136)], 0.0538, 'xrule'), ([(3137, 1, 3136)], -0.03833248192085335, 'kelpie'), ([(3136, 1, 3137)], -0.10337134166018735, 'kelpie'), ([(16161, 0, 3005), (3137, 1, 3136), (3137, 0, 3005), (3136, 1, 3137)], -0.42839998, 'xrule')]","(3136, 1, 16161)",0.00030888093897374347,1,"[2241, 1511]",1876.0,"[0.0002050448238151148, 0.00041271705413237214]"
6,0.9543496966362,"[([(11603, 1, 22752)], 0.8962, 'xrule'), ([(22752, 1, 2392), (2392, 1, 22752), (2392, 1, 28597), (28597, 1, 2392), (28597, 1, 11603), (11603, 1, 28597)], 0.6516, 'xrule'), ([(22752, 1, 2392), (11603, 1, 7967), (7967, 1, 2392), (2392, 1, 22752), (2392, 1, 7967), (7967, 1, 11603)], 0.5719, 'xrule'), ([(11603, 1, 22752)], 0.27242461938597023, 'kelpie'), ([(22752, 1, 25306)], 0.010256628442331382, 'kelpie'), ([(22752, 1, 2392)], -0.0035090046389019474, 'kelpie')]","(22752, 1, 11603)",3.129407241431181e-05,1,"[31444, 14154]",22799.0,"[1.1507331691973377e-05, 5.108081313665025e-05]"
5,0.9776057600975037,"[([(19068, 1, 8742)], 0.6129601440372537, 'kelpie'), ([(19068, 1, 8742)], 0.5146, 'xrule'), ([(5674, 1, 1897), (8742, 1, 1897), (1897, 1, 5674), (1897, 1, 8742), (19068, 1, 5674), (5674, 1, 19068)], 0.14429998, 'xrule'), ([(8742, 1, 9355)], 0.08464733795931044, 'kelpie'), ([(8742, 1, 1897)], 0.030479173123996825, 'kelpie')]","(8742, 1, 19068)",0.00040038170118350536,1,"[1905, 1373]",1639.0,"[0.00032679387368261814, 0.00047396952868439257]"
5,0.8592720627784729,"[([(2415, 1, 20944)], 0.6179, 'xrule'), ([(2415, 1, 20944)], 0.35504530026116815, 'kelpie'), ([(2994, 1, 20944)], 0.00036273426743560976, 'kelpie'), ([(20944, 1, 2994)], -0.006144543232713538, 'kelpie'), ([(2993, 1, 2994), (2994, 1, 2993), (20944, 1, 2994), (2993, 1, 2415), (2994, 1, 20944), (2415, 1, 2993)], -0.019800007, 'xrule')]","(20944, 1, 2415)",3.013365187598538e-06,1,"[37155, 39888]",38521.5,"[4.812562565348344e-06, 1.2141678098487318e-06]"
5,0.9656851887702942,"[([(15794, 9, 16624)], 0.9550486109125088, 'kelpie'), ([(15794, 9, 16624)], 0.9081, 'xrule'), ([(16624, 1, 15793)], -0.004913528486890205, 'kelpie'), ([(15793, 1, 16624)], -0.005695243440208163, 'kelpie'), ([(15793, 1, 16624), (16624, 1, 15793), (15793, 1, 15794), (15794, 1, 15793)], -0.09140003, 'xrule')]","(16624, 9, 15794)",1.0923639365501003e-05,1,"[10255, 10308]",10281.5,"[8.219782102969475e-06, 1.3627496628032532e-05]"
6,0.9287481307983398,"[([(15587, 1, 15588)], 0.7572, 'xrule'), ([(15587, 1, 2739), (31654, 1, 15588), (2739, 1, 31654), (15588, 1, 31654), (2739, 1, 15587), (31654, 1, 2739)], 0.47419998, 'xrule'), ([(15587, 1, 2739), (2739, 1, 14064), (14064, 1, 2739), (15588, 1, 14064), (14064, 1, 15588), (2739, 1, 15587)], 0.4227, 'xrule'), ([(15588, 1, 27163)], 0.024200419848009802, 'kelpie'), ([(15588, 1, 14064)], 0.01784233276637078, 'kelpie'), ([(15588, 1, 25865)], 0.014410356946615265, 'kelpie')]","(15588, 1, 15587)",8.130440619424917e-05,1,"[20058, 7148]",13603.0,"[4.3015934352297336e-05, 0.000119592878036201]"
6,0.957123875617981,"[([(4244, 1, 8754)], 0.525248331908301, 'kelpie'), ([(4244, 1, 8754)], 0.3762, 'xrule'), ([(8754, 0, 1668), (4244, 0, 5746), (1668, 1, 5746)], 0.034399986, 'xrule'), ([(8754, 1, 11316)], 0.023864666895217195, 'kelpie'), ([(8754, 1, 7921)], -0.014258165875454296, 'kelpie'), ([(8754, 0, 1668), (4243, 0, 1668), (4243, 1, 4244), (4244, 1, 4243)], -0.3089, 'xrule')]","(8754, 1, 4244)",0.00015820531552890316,1,"[5531, 8267]",6899.0,"[0.00016619543021079153, 0.00015021520084701478]"
5,0.8962762355804443,"[([(8885, 1, 17578)], 0.5830516057889199, 'kelpie'), ([(8885, 1, 17578)], 0.1314, 'xrule'), ([(3300, 1, 17578)], -0.059610565212376045, 'kelpie'), ([(17578, 1, 3300)], -0.10025068087428018, 'kelpie'), ([(3300, 1, 17578), (17578, 1, 3300), (3300, 1, 26393), (8885, 1, 26393), (26393, 1, 8885), (26393, 1, 3300)], -0.839, 'xrule')]","(17578, 1, 8885)",8.223832628573291e-05,1,"[11638, 6953]",9295.5,"[5.845397390658036e-05, 0.00010602267866488546]"
6,0.23917707800865173,"[([(20016, 4, 30007)], 0.21461867860128803, 'kelpie'), ([(30007, 2, 916)], 0.17772300103971134, 'kelpie'), ([(20016, 4, 14054), (20016, 4, 30007), (14054, 2, 121)], 0.0, 'xrule'), ([(26608, 2, 121), (26608, 2, 916), (30007, 2, 916)], -9.999995e-05, 'xrule'), ([(20016, 4, 28966), (20016, 4, 30007), (28966, 2, 121)], -0.00019999995, 'xrule'), ([(13030, 6, 30007)], -0.1738870635115372, 'kelpie')]","(30007, 2, 121)",0.16870037466287613,1,"[1, 1]",1.0,"[0.07520578801631927, 0.262194961309433]"
6,0.970401406288147,"[([(18755, 1, 24115)], 0.8311, 'xrule'), ([(18755, 1, 24115)], 0.7622009976752318, 'kelpie'), ([(2300, 1, 24115)], 0.05937705468164407, 'kelpie'), ([(24115, 1, 2300)], -0.0330183105712512, 'kelpie'), ([(24115, 1, 2300), (2300, 1, 24115), (18755, 1, 9577), (2300, 1, 9577)], -0.1588, 'xrule'), ([(2300, 1, 18754), (18754, 1, 2300), (18755, 1, 18754), (24115, 1, 2300), (2300, 1, 24115), (18754, 1, 18755)], -0.16039997, 'xrule')]","(24115, 1, 18755)",4.88351215608418e-05,1,"[13809, 7634]",10721.5,"[3.5005956306122243e-05, 6.266428681556135e-05]"
6,0.8929891586303711,"[([(8573, 1, 8574)], 0.7694, 'xrule'), ([(12655, 1, 8574), (8573, 1, 815), (8574, 1, 12655), (815, 1, 12655), (815, 1, 8573)], 0.45539996, 'xrule'), ([(8574, 1, 814), (814, 1, 815), (8573, 1, 815), (814, 1, 8574), (815, 1, 814), (815, 1, 8573)], 0.35579997, 'xrule'), ([(8573, 1, 8574)], 0.22766308068495858, 'kelpie'), ([(8574, 1, 12655)], 0.01063446229005047, 'kelpie'), ([(8574, 1, 814)], 0.004039923636684697, 'kelpie')]","(8574, 1, 8573)",0.00036703124351333827,1,"[604, 1600]",1102.0,"[0.00047916133189573884, 0.0002549011551309377]"
4,0.8879063725471497,"[([(29649, 1, 11590)], 0.4994, 'xrule'), ([(29649, 1, 11590)], 0.42675812256286727, 'kelpie'), ([(11590, 1, 24520)], 0.14862410276525084, 'kelpie'), ([(11590, 1, 11589)], 0.08022366002322469, 'kelpie')]","(11590, 1, 29649)",6.44312567601446e-05,1,"[11464, 11926]",11695.0,"[6.286539428401738e-05, 6.599711923627183e-05]"
6,0.9558466672897339,"[([(16314, 1, 15028)], 0.46019998, 'xrule'), ([(15028, 1, 21701), (21701, 1, 3999), (16314, 1, 3999), (21701, 1, 15028), (3999, 1, 16314), (3999, 1, 21701)], 0.2094, 'xrule'), ([(16314, 1, 3999), (6422, 1, 15028), (6422, 1, 3999), (3999, 1, 16314), (3999, 1, 6422), (15028, 1, 6422)], 0.14789999, 'xrule'), ([(16314, 1, 15028)], 0.08962712719913797, 'kelpie'), ([(15028, 1, 21701)], 0.007387797317214265, 'kelpie'), ([(15028, 1, 6422)], -0.007711489704066895, 'kelpie')]","(15028, 1, 16314)",3.737738597919815e-05,1,"[32344, 10835]",21589.5,"[1.4253565495891962e-05, 6.050120646250434e-05]"
6,0.8736011981964111,"[([(6944, 1, 6572)], 0.097, 'xrule'), ([(2449, 1, 11955), (2449, 1, 6944), (11955, 1, 2449), (11955, 1, 6572), (6944, 1, 2449), (6572, 1, 11955)], 0.0653, 'xrule'), ([(2449, 1, 6944), (3377, 1, 2449), (6572, 1, 3377), (6944, 1, 2449), (2449, 1, 3377), (3377, 1, 6572)], 0.0496, 'xrule'), ([(6572, 1, 15712)], 0.007573763791446082, 'kelpie'), ([(6572, 1, 3377)], -0.013204296161788379, 'kelpie'), ([(6572, 1, 11955)], -0.01746829323953963, 'kelpie')]","(6572, 1, 6944)",0.00013282839790917933,1,"[3352, 6891]",5121.5,"[0.00016347529890481383, 0.00010218149691354483]"
5,0.8004068732261658,"[([(19504, 1, 21993)], 0.60510004, 'xrule'), ([(19504, 1, 21993)], 0.36329559644193243, 'kelpie'), ([(17245, 1, 11202), (11202, 0, 21993), (19504, 0, 17245), (11202, 1, 17245)], 0.14790002, 'xrule'), ([(21993, 1, 24827)], 0.044467727603796484, 'kelpie'), ([(21993, 1, 27075)], 0.021775106842826082, 'kelpie')]","(21993, 1, 19504)",8.771008651820011e-05,1,"[11644, 10823]",11233.5,"[8.029478340176865e-05, 9.512538963463157e-05]"
4,0.8398572206497192,"[([(13829, 1, 4185)], 0.6558821645593006, 'kelpie'), ([(13829, 1, 4185)], 0.4371, 'xrule'), ([(4221, 1, 4185)], 0.017677883564631826, 'kelpie'), ([(4185, 0, 608)], 0.001874188870407382, 'kelpie')]","(4185, 1, 13829)",0.0002886798756662756,1,"[453, 8345]",4399.0,"[0.0004872831632383168, 9.007658809423447e-05]"
4,0.956963837146759,"[([(6657, 1, 18566)], 0.7186, 'xrule'), ([(6657, 1, 18566)], 0.6963772628461812, 'kelpie'), ([(12281, 0, 18566)], -0.007860858995889803, 'kelpie'), ([(18566, 0, 13714)], -0.011423905450488927, 'kelpie')]","(18566, 1, 6657)",1.5527651157754008e-05,1,"[3381, 4524]",3952.5,"[1.3168761142878793e-05, 1.7886541172629222e-05]"
3,0.9941294193267822,"[([(11565, 1, 29689)], 0.9959276826038789, 'kelpie'), ([(11565, 1, 29689)], 0.56490004, 'xrule'), ([(29689, 0, 12731)], -0.0035967426618638515, 'kelpie')]","(29689, 1, 11565)",1.5596833463860094e-05,1,"[184, 39498]",19841.0,"[2.9363101930357516e-05, 1.8305649973626714e-06]"
4,0.9594130516052246,"[([(39790, 1, 137)], 0.5294433068759493, 'kelpie'), ([(39790, 1, 137)], 0.51269996, 'xrule'), ([(136, 6, 137)], 0.0037902993587998765, 'kelpie'), ([(20423, 6, 137)], 0.003231148205843406, 'kelpie')]","(137, 1, 39790)",7.04637864146207e-05,1,"[2620, 27188]",14904.0,"[0.00012637813051696867, 1.4549442312272731e-05]"
6,0.9723116159439087,"[([(20544, 1, 3291)], 0.0823, 'xrule'), ([(3291, 1, 8103)], 0.023618559331147697, 'kelpie'), ([(3291, 1, 25943), (25943, 1, 5500), (20544, 1, 5500), (5500, 1, 25943), (25943, 1, 3291), (5500, 1, 20544)], 0.019199997, 'xrule'), ([(2277, 1, 2276), (2277, 0, 20544), (2276, 0, 3291), (2276, 1, 2277)], 0.012199998, 'xrule'), ([(3291, 1, 25943)], 0.007776598416336657, 'kelpie'), ([(3291, 1, 11874)], 0.0026684803538152223, 'kelpie')]","(3291, 1, 20544)",5.606675586022902e-05,1,"[19424, 8978]",14201.0,"[3.892650784109719e-05, 7.320700387936085e-05]"
5,0.9403150677680969,"[([(26814, 1, 13298)], 0.4808, 'xrule'), ([(26814, 1, 13298)], 0.28896395473290515, 'kelpie'), ([(13298, 1, 6415)], -0.04006620221109114, 'kelpie'), ([(13298, 1, 1848)], -0.05739482212991487, 'kelpie'), ([(1848, 1, 2612), (13298, 1, 1848), (2612, 1, 1848), (2612, 1, 26814), (26814, 1, 2612), (1848, 1, 13298)], -0.22289997, 'xrule')]","(13298, 1, 26814)",5.0111628297599964e-05,1,"[14203, 12961]",13582.0,"[4.7473935410380363e-05, 5.2749321184819564e-05]"
5,0.9245367050170898,"[([(20104, 1, 2502)], 0.0096, 'xrule'), ([(2502, 1, 14905)], 0.006858150416441209, 'kelpie'), ([(2502, 1, 10452)], -0.009878893444550164, 'kelpie'), ([(2502, 1, 2503)], -0.016295810288275148, 'kelpie'), ([(10452, 1, 5307), (5307, 1, 20104), (2502, 1, 10452), (10452, 1, 2502), (20104, 1, 5307), (5307, 1, 10452)], -0.0726, 'xrule')]","(2502, 1, 20104)",0.0001123496112995781,1,"[6179, 11553]",8866.0,"[0.0001505563413957134, 7.414288120344281e-05]"
6,0.41509827971458435,"[([(8390, 1, 14834)], 0.3910860834841146, 'kelpie'), ([(14834, 0, 11439)], 0.30142400781871276, 'kelpie'), ([(14834, 1, 1690)], 0.11207817036474486, 'kelpie'), ([(20963, 1, 5110), (20963, 1, 8390), (5110, 1, 20963), (8390, 1, 14834), (8390, 1, 20963)], 0.00090000004, 'xrule'), ([(1690, 1, 14834), (5111, 1, 1690), (14834, 1, 1690), (5110, 1, 5111), (5111, 1, 5110)], 0.0, 'xrule'), ([(1690, 1, 14834), (11673, 1, 1690), (14834, 1, 1690), (1690, 1, 11673), (5110, 1, 11673)], -0.00030000007, 'xrule')]","(14834, 1, 5110)",7.176424105637125e-06,1,"[29129, 37908]",33518.5,"[1.1366090802766848e-05, 2.986757408507401e-06]"
