new_scores,facts,new_rank,prediction,new_score,original_rank,#facts,original_score,new_ranks
"[7.9957047, 8.11283]","[([(138, 42, 7706)], 0.06257347299057539, 'kelpie'), ([(7706, 17, 60)], 0.055413286208794356, 'kelpie'), ([(1374, 20, 7706)], 0.0461569232788559, 'kelpie'), ([(1455, 17, 1002), (985, 42, 7706), (7706, 41, 985), (985, 42, 1455), (7706, 134, 985)], -0.008799553, 'xrule'), ([(8501, 17, 1002), (985, 42, 7706), (985, 42, 8501), (7706, 41, 985), (7706, 134, 985)], -0.048099518, 'xrule'), ([(4936, 134, 985), (985, 42, 7706), (7706, 41, 985), (4936, 17, 1002), (7706, 134, 985)], -0.10909939, 'xrule')]",1.0,"(7706, 17, 1002)",8.054268,1,6,8.005735,"[1, 1]"
"[7.3256283, 7.650529]","[([(2494, 17, 393), (6257, 85, 434), (6257, 17, 393)], 2.2475, 'xrule'), ([(2494, 100, 160), (2197, 85, 434), (2197, 100, 160)], 1.7241001, 'xrule'), ([(2494, 17, 393), (2197, 17, 393), (2197, 85, 434)], 1.3347006, 'xrule'), ([(2494, 48, 32)], 0.2096052574253996, 'kelpie'), ([(2494, 48, 1080)], 0.07759861183029604, 'kelpie'), ([(2494, 24, 1445)], 0.037760774586411965, 'kelpie')]",1.0,"(2494, 85, 434)",7.4880786,1,6,8.090952,"[1, 1]"
"[7.483693, 7.084068]","[([(5672, 28, 32), (2547, 193, 32), (5672, 13, 32), (2547, 26, 64), (2547, 28, 32), (2547, 13, 32)], 0.46450043, 'xrule'), ([(4681, 26, 64), (4681, 28, 32), (5672, 28, 32), (5672, 13, 32), (4681, 193, 32), (4681, 13, 32)], 0.4062004, 'xrule'), ([(4559, 26, 64), (5672, 28, 32), (5672, 13, 32), (4559, 28, 32), (4559, 13, 32)], 0.3771, 'xrule'), ([(5672, 26, 1098)], 0.10354713634699218, 'kelpie'), ([(5672, 31, 1211)], 0.09207920265776567, 'kelpie'), ([(5672, 14, 160)], 0.08477024269384088, 'kelpie')]",1.0,"(5672, 26, 64)",7.28388,1,6,7.616864,"[1, 1]"
"[7.2931786, 7.628154]","[([(3350, 17, 862), (8863, 48, 32), (8863, 17, 862)], 0.46170044, 'xrule'), ([(10155, 48, 32), (3350, 85, 434), (10155, 85, 434)], 0.40470028, 'xrule'), ([(3350, 17, 862)], 0.3924885211689799, 'kelpie'), ([(9842, 85, 434), (3350, 85, 434), (9842, 48, 32)], 0.39220047, 'xrule'), ([(3350, 85, 434)], 0.38482860901384225, 'kelpie'), ([(3350, 24, 1327)], 0.2695227076817301, 'kelpie')]",1.0,"(3350, 48, 32)",7.460666,1,6,8.392536,"[1, 1]"
"[5.0847864, 5.344749]","[([(4615, 25, 62), (6933, 133, 1124), (1124, 15, 4615), (1124, 15, 6933)], 0.7901, 'xrule'), ([(2754, 25, 62), (1124, 15, 2754), (6933, 133, 1124), (1124, 15, 6933)], 0.6553999, 'xrule'), ([(7671, 48, 1124), (6933, 133, 1124), (7671, 25, 62), (1124, 15, 6933)], 0.63259995, 'xrule'), ([(1124, 15, 6933)], 0.34295765704127684, 'kelpie'), ([(382, 15, 6933)], 0.2548838068114401, 'kelpie'), ([(434, 161, 6933)], 0.1944461272882024, 'kelpie')]",1.0,"(6933, 25, 62)",5.2147675,1,6,5.3587217,"[1, 1]"
"[8.891627, 9.191884]","[([(1080, 15, 10762)], 1.7667096463063712, 'kelpie'), ([(315, 28, 1080), (1080, 15, 10762), (315, 25, 62)], 1.5346003, 'xrule'), ([(2271, 25, 62), (1080, 15, 10762), (2271, 13, 1080)], 1.4563003, 'xrule'), ([(2823, 48, 1080), (1080, 15, 10762), (2823, 25, 62)], 1.3840001, 'xrule'), ([(10762, 62, 7983)], 0.5934730012306716, 'kelpie'), ([(10762, 154, 2620)], -0.5889567893307751, 'kelpie')]",1.0,"(10762, 25, 62)",9.041756,1,6,7.438649,"[1, 1]"
"[6.6157274, 6.9847665]","[([(70, 28, 32), (1892, 28, 32), (70, 13, 32), (70, 26, 1098)], 0.23009968, 'xrule'), ([(4232, 28, 32), (1892, 28, 32), (4232, 13, 32), (4232, 26, 1098)], 0.18089962, 'xrule'), ([(1292, 26, 1098), (1892, 28, 32), (1292, 13, 32)], 0.17169952, 'xrule'), ([(1892, 26, 990)], 0.09529308513630878, 'kelpie'), ([(1892, 28, 32)], 0.08113102148811176, 'kelpie'), ([(1892, 26, 1881)], 0.06344131660759503, 'kelpie')]",1.0,"(1892, 26, 1098)",6.800247,1,6,7.2906313,"[1, 1]"
"[6.1362963, 5.860843]","[([(8298, 41, 138), (8298, 17, 2123), (12508, 41, 138), (138, 42, 12508)], 0.2904997, 'xrule'), ([(3764, 17, 2123), (138, 42, 3764), (12508, 41, 138), (138, 42, 12508)], 0.2904997, 'xrule'), ([(4603, 17, 2123), (138, 42, 4603), (4603, 41, 138), (4603, 134, 138), (12508, 41, 138), (138, 42, 12508)], 0.2904997, 'xrule'), ([(12508, 17, 60)], 0.20350937116468543, 'kelpie'), ([(12508, 43, 141)], 0.13517765249281044, 'kelpie'), ([(12508, 41, 138)], 0.13228229724574725, 'kelpie')]",1.0,"(12508, 17, 2123)",5.9985695,1,6,6.6341934,"[1, 1]"
"[6.0808406, 5.7210646]","[([(1682, 234, 90), (1682, 219, 90), (1682, 139, 90), (119, 219, 90), (6342, 13, 119), (119, 139, 90), (119, 206, 90), (1682, 206, 90)], 0.6779003, 'xrule'), ([(1682, 234, 90), (1682, 219, 90), (1934, 206, 90), (1682, 139, 90), (1934, 219, 90), (1934, 139, 90), (6342, 13, 1934), (1682, 206, 90)], 0.0632, 'xrule'), ([(6342, 13, 202)], 0.05900673099644826, 'kelpie'), ([(6342, 13, 2282)], 0.041170160230621484, 'kelpie'), ([(6342, 13, 834)], 0.03968147465347793, 'kelpie'), ([(1304, 234, 90), (1682, 234, 90), (1304, 219, 90), (1682, 219, 90), (1304, 139, 90), (1682, 139, 90), (6342, 13, 1304), (1682, 206, 90)], -0.3789997, 'xrule')]",4.0,"(6342, 13, 1682)",5.9009523,1,6,5.9206314,"[2, 6]"
"[5.658779, 5.912163]","[([(2457, 28, 32), (2457, 13, 32), (3673, 28, 32), (3673, 13, 32), (3673, 13, 382)], 1.4356995, 'xrule'), ([(2457, 28, 32), (2457, 13, 32), (7803, 147, 382), (7803, 28, 32), (7803, 13, 32)], 1.1799994, 'xrule'), ([(2457, 28, 32), (2114, 28, 382), (2457, 13, 32), (2114, 28, 32), (2114, 147, 382)], 1.1615, 'xrule'), ([(2457, 13, 1080)], 0.05298809237983065, 'kelpie'), ([(2457, 13, 637)], 0.051625291790022704, 'kelpie'), ([(2457, 13, 32)], 0.03765205567172493, 'kelpie')]",5.0,"(2457, 13, 382)",5.785471,1,6,6.046425,"[6, 4]"
"[5.699192, 5.263479]","[([(7327, 17, 393)], 0.5628748372338073, 'kelpie'), ([(7327, 85, 434), (1316, 17, 215), (1316, 85, 434)], 0.28009987, 'xrule'), ([(3652, 17, 215), (3652, 43, 141), (7327, 43, 141)], 0.26100063, 'xrule'), ([(9186, 43, 141), (7327, 43, 141), (9186, 17, 215)], 0.22340012, 'xrule'), ([(7327, 85, 434)], 0.13607219901640139, 'kelpie'), ([(7327, 17, 862)], 0.009096185658363311, 'kelpie')]",3.0,"(7327, 17, 215)",5.4813356,1,6,6.6937075,"[3, 3]"
"[6.222994, 5.917348]","[([(6078, 19, 1654), (1654, 10, 6315), (6078, 19, 1127)], 1.3776007, 'xrule'), ([(1121, 47, 10956), (10956, 19, 1121), (1121, 10, 6315), (1127, 47, 10956), (10956, 19, 1127)], 1.3548002, 'xrule'), ([(1127, 47, 625), (1121, 10, 6315), (625, 19, 1121), (625, 19, 1127)], 1.2842007, 'xrule'), ([(1127, 47, 670)], 0.012193719787336578, 'kelpie'), ([(1127, 10, 4121)], 0.005590478850960613, 'kelpie'), ([(1127, 10, 6066)], 0.003665964045180018, 'kelpie')]",4.5,"(1127, 10, 6315)",6.070171,1,6,6.301168,"[2, 7]"
"[5.801488, 5.942363]","[([(8758, 19, 4418)], 0.5809030967389205, 'kelpie'), ([(8758, 6, 4975)], 0.4452085914896689, 'kelpie'), ([(6094, 19, 1724), (8758, 19, 4418), (6094, 19, 4418)], 0.31970024, 'xrule'), ([(4418, 47, 7237), (1724, 47, 7237), (7237, 19, 1724), (8758, 19, 4418)], 0.3032999, 'xrule'), ([(12644, 19, 1724), (4418, 47, 12644), (12644, 19, 4418), (8758, 19, 4418)], 0.3031006, 'xrule'), ([(8758, 17, 5529)], 0.15911583157907183, 'kelpie')]",2.5,"(8758, 19, 1724)",5.8719254,1,6,7.7758446,"[3, 2]"
"[7.294362, 7.404747]","[([(9376, 124, 2846), (5568, 25, 62), (5568, 124, 2846)], 0.7657001, 'xrule'), ([(7075, 61, 2940), (7075, 25, 62), (9376, 61, 2940)], 0.48510003, 'xrule'), ([(9376, 124, 2846), (1247, 124, 2846), (1247, 25, 62)], 0.4790001, 'xrule'), ([(9376, 124, 2846)], 0.2545800615615788, 'kelpie'), ([(9376, 61, 2940)], 0.17080978606196523, 'kelpie'), ([(3830, 63, 9376)], 0.11522106366349269, 'kelpie')]",1.0,"(9376, 25, 62)",7.3495545,1,6,7.0566015,"[1, 1]"
"[6.187968, 6.338535]","[([(1658, 25, 62), (652, 25, 62), (652, 26, 990)], 0.5944996, 'xrule'), ([(1658, 25, 62), (6068, 25, 62), (6068, 26, 990)], 0.54489994, 'xrule'), ([(652, 28, 32), (1658, 13, 32), (652, 26, 990), (1658, 28, 32)], 0.50160027, 'xrule'), ([(1658, 26, 342)], 0.12538532456223625, 'kelpie'), ([(1658, 31, 4)], 0.07398227879612532, 'kelpie'), ([(1658, 28, 32)], 0.06163791843311345, 'kelpie')]",1.0,"(1658, 26, 990)",6.2632513,1,6,6.9488378,"[1, 1]"
"[5.9171443, 6.0557957]","[([(1745, 48, 32), (1745, 43, 141), (3577, 43, 141)], 0.50699997, 'xrule'), ([(2008, 43, 141), (2008, 48, 32), (3577, 43, 141)], 0.3460002, 'xrule'), ([(50, 48, 32), (50, 43, 141), (3577, 43, 141)], 0.32539988, 'xrule'), ([(3577, 66, 3796)], 0.1877303527296961, 'kelpie'), ([(4877, 22, 3577)], 0.07713751032011444, 'kelpie'), ([(3577, 66, 4986)], 0.039334337168163154, 'kelpie')]",1.0,"(3577, 48, 32)",5.98647,1,6,6.6759186,"[1, 1]"
"[6.56237, 6.407281]","[([(5809, 17, 60), (2016, 66, 592), (5809, 66, 592), (2016, 160, 592), (592, 122, 2016)], 0.093299866, 'xrule'), ([(2880, 17, 60), (310, 42, 2880), (2016, 41, 310)], 0.05739975, 'xrule'), ([(2016, 19, 1921), (5263, 17, 60), (5263, 19, 1921)], 0.052900314, 'xrule'), ([(1920, 21, 2016)], 0.011802236477143537, 'kelpie'), ([(792, 8, 2016)], 0.00997547335737016, 'kelpie'), ([(2016, 8, 4325)], 0.008019010503530261, 'kelpie')]",1.0,"(2016, 17, 60)",6.484825,1,6,6.498813,"[1, 1]"
"[6.2544556, 6.2978535]","[([(6104, 48, 32), (6104, 17, 862), (5605, 48, 32)], 0.79830027, 'xrule'), ([(7102, 17, 862), (7102, 48, 32), (5605, 48, 32)], 0.7442999, 'xrule'), ([(1591, 48, 32), (1591, 17, 862), (5605, 48, 32)], 0.66989994, 'xrule'), ([(5605, 17, 1192)], 0.20907358397370215, 'kelpie'), ([(5605, 45, 7550)], -0.01116128733665978, 'kelpie'), ([(5605, 77, 1686)], -0.012615640664441112, 'kelpie')]",1.0,"(5605, 17, 862)",6.2761545,1,6,6.5098124,"[1, 1]"
"[8.383102, 8.193017]","[([(9919, 11, 23), (4, 2, 7019), (9919, 31, 4)], 0.42199993, 'xrule'), ([(4, 2, 7019), (1500, 11, 23), (1500, 31, 4)], 0.37660027, 'xrule'), ([(10152, 31, 4), (4, 2, 7019), (10152, 11, 23)], 0.3409996, 'xrule'), ([(7019, 14, 160)], 0.13309864245433298, 'kelpie'), ([(7019, 31, 163)], 0.13120178424325543, 'kelpie'), ([(7019, 26, 64)], 0.09079555705933662, 'kelpie')]",1.0,"(7019, 11, 23)",8.288059,1,6,8.85631,"[1, 1]"
"[7.309244, 7.2606106]","[([(868, 26, 1098)], 0.09688762859377091, 'kelpie'), ([(868, 26, 64)], 0.08175377083617763, 'kelpie'), ([(868, 28, 32)], 0.08056072424059854, 'kelpie'), ([(4094, 26, 342), (868, 86, 1283), (4094, 86, 1283)], 0.029800415, 'xrule'), ([(341, 13, 637), (341, 26, 342), (868, 13, 637)], -0.06550026, 'xrule'), ([(4094, 26, 342), (868, 31, 136), (4094, 31, 136)], -0.17029953, 'xrule')]",1.5,"(868, 26, 342)",7.2849274,1,6,7.565317,"[2, 1]"
"[6.717801, 6.9117613]","[([(3116, 13, 32), (6249, 13, 32), (3116, 28, 32), (6249, 11, 23)], 0.8572006, 'xrule'), ([(3116, 28, 32), (4917, 11, 23), (3116, 13, 32), (4917, 28, 32), (4917, 13, 32)], 0.7198, 'xrule'), ([(3116, 13, 32), (3617, 28, 32), (3116, 28, 32), (3617, 11, 23)], 0.6630001, 'xrule'), ([(3116, 13, 32)], 0.366899531710523, 'kelpie'), ([(3116, 31, 4)], 0.2745075633572027, 'kelpie'), ([(3116, 14, 160)], 0.2662125040674376, 'kelpie')]",1.0,"(3116, 11, 23)",6.814781,1,6,7.8973103,"[1, 1]"
"[6.078904, 6.001368]","[([(3481, 13, 27)], 0.044242898932638317, 'kelpie'), ([(3481, 13, 637)], 0.03838066289099816, 'kelpie'), ([(3481, 13, 1080)], 0.020342866839999595, 'kelpie'), ([(3481, 13, 1080), (10577, 28, 1080), (10577, 13, 1934), (3481, 28, 1080)], -0.061699867, 'xrule'), ([(3358, 28, 32), (3481, 28, 32), (3481, 13, 32), (3358, 13, 1934)], -0.24740028, 'xrule'), ([(3481, 13, 1080), (3481, 28, 1080), (3358, 13, 1934), (3358, 13, 1080)], -0.25119972, 'xrule')]",3.0,"(3481, 13, 1934)",6.0401363,1,6,6.271813,"[2, 4]"
"[6.740596, 7.1991053]","[([(6848, 11, 23), (6238, 28, 32), (6238, 11, 23)], 2.1878996, 'xrule'), ([(7413, 13, 32), (6848, 11, 23), (7413, 11, 23)], 2.0007, 'xrule'), ([(805, 31, 4), (6848, 31, 4), (805, 13, 32), (4, 2, 6848)], 1.934, 'xrule'), ([(6848, 86, 742)], 0.12240795338200293, 'kelpie'), ([(6848, 11, 23)], 0.12114910324649517, 'kelpie'), ([(1702, 32, 6848)], 0.08107380104423723, 'kelpie')]",1.0,"(6848, 28, 32)",6.9698505,1,6,7.389966,"[1, 1]"
"[7.630927, 7.6006923]","[([(43, 25, 62), (43, 220, 8450), (6079, 25, 62)], 0.36700058, 'xrule'), ([(2806, 220, 8450), (6079, 25, 62), (2806, 25, 62)], 0.36660004, 'xrule'), ([(9277, 25, 62), (9277, 220, 8450), (6079, 25, 62)], 0.3593998, 'xrule'), ([(6079, 25, 62)], 0.2374096322121989, 'kelpie'), ([(6079, 220, 6386)], 0.14422229973065756, 'kelpie'), ([(6079, 220, 4005)], 0.10104660228157254, 'kelpie')]",3.0,"(6079, 220, 8450)",7.6158094,1,6,8.157777,"[3, 3]"
"[5.3649244, 5.1043015]","[([(4592, 48, 32), (9902, 48, 32), (9902, 17, 818)], 1.1413999, 'xrule'), ([(8743, 48, 32), (4592, 48, 32), (8743, 17, 818)], 1.1034002, 'xrule'), ([(2356, 17, 818), (4592, 48, 32), (2356, 48, 32)], 1.0921001, 'xrule'), ([(4592, 8, 7146)], 0.001099149643902691, 'kelpie'), ([(7146, 8, 4592)], 0.0005927486050019064, 'kelpie'), ([(2569, 8, 4592)], -0.0009531574932030353, 'kelpie')]",1.0,"(4592, 17, 818)",5.234613,1,6,5.790435,"[1, 1]"
"[5.55676, 6.002504]","[([(8007, 85, 434), (7627, 43, 141), (7627, 85, 434)], 1.4284997, 'xrule'), ([(8007, 85, 434), (12291, 43, 141), (12291, 85, 434)], 1.3810997, 'xrule'), ([(8007, 85, 434), (4934, 43, 141), (4934, 85, 434)], 1.2348995, 'xrule'), ([(8007, 85, 434)], 0.7781534658492325, 'kelpie'), ([(8007, 48, 32)], 0.5667348341120195, 'kelpie'), ([(8007, 39, 150)], 0.1813602850988467, 'kelpie')]",1.0,"(8007, 43, 141)",5.7796316,1,6,7.8901253,"[1, 1]"
"[7.3677273, 7.5457354]","[([(3861, 28, 32), (5905, 13, 32), (5905, 26, 64), (3861, 13, 32), (5905, 28, 32)], 0.4666996, 'xrule'), ([(3861, 28, 32), (9876, 13, 32), (3861, 13, 32), (9876, 26, 64)], 0.45230007, 'xrule'), ([(3861, 28, 32), (1606, 26, 64), (1606, 193, 32), (1606, 28, 32), (3861, 13, 32)], 0.4432001, 'xrule'), ([(3861, 13, 32)], 0.08404163555850296, 'kelpie'), ([(3861, 31, 4)], 0.07926468086585056, 'kelpie'), ([(3861, 26, 990)], 0.07557586858791898, 'kelpie')]",1.0,"(3861, 26, 64)",7.4567313,1,6,7.833797,"[1, 1]"
"[5.8788767, 6.123386]","[([(1335, 31, 2512), (1335, 25, 62), (9419, 25, 62)], 0.20569992, 'xrule'), ([(2158, 25, 62), (2158, 31, 2512), (9419, 25, 62)], 0.18500042, 'xrule'), ([(3238, 31, 2512), (3238, 25, 62), (9419, 25, 62)], 0.18150043, 'xrule'), ([(9419, 31, 9900)], 0.11682991225508232, 'kelpie'), ([(2300, 7, 9419)], 0.07008556556587768, 'kelpie'), ([(9419, 31, 6394)], 0.058305303528239566, 'kelpie')]",2.5,"(9419, 31, 2512)",6.001131,1,6,6.3330984,"[2, 3]"
"[8.379396, 8.5325365]","[([(7475, 26, 64), (4929, 26, 64), (7475, 11, 23)], 0.45710087, 'xrule'), ([(11030, 26, 1098), (4929, 26, 1098), (11030, 11, 23)], 0.4225006, 'xrule'), ([(4929, 26, 990), (6451, 11, 23), (6451, 26, 990)], 0.31980038, 'xrule'), ([(4929, 14, 160)], 0.14815143794999286, 'kelpie'), ([(4929, 26, 64)], 0.11532215316326423, 'kelpie'), ([(4929, 26, 1098)], 0.10725692948394679, 'kelpie')]",1.0,"(4929, 11, 23)",8.455967,1,6,8.66317,"[1, 1]"
"[6.477052, 6.635226]","[([(4489, 62, 32), (4489, 133, 32), (32, 15, 4353), (4489, 205, 32), (4353, 62, 32), (4353, 133, 32), (4353, 18, 795), (32, 15, 4489)], 0.37510014, 'xrule'), ([(4489, 62, 32), (4489, 133, 32), (1044, 205, 32), (4489, 205, 32), (1044, 62, 32), (32, 15, 1044), (32, 15, 4489), (1044, 18, 795)], 0.36829948, 'xrule'), ([(4489, 62, 32), (4489, 133, 32), (4489, 205, 32), (3373, 18, 795), (3373, 135, 32), (3373, 133, 32), (32, 15, 4489), (3373, 205, 32)], 0.3643999, 'xrule'), ([(4489, 219, 90)], 0.07817653846102045, 'kelpie'), ([(4489, 154, 1437)], 0.03810218995178628, 'kelpie'), ([(4489, 18, 8332)], -0.04506202507978483, 'kelpie')]",2.0,"(4489, 18, 795)",6.556139,1,6,7.114539,"[2, 2]"
"[3.149603, 3.0815177]","[([(6957, 48, 1124), (6957, 66, 9596), (6957, 160, 9596), (10519, 48, 1124)], 0.87870026, 'xrule'), ([(2632, 48, 1124), (2632, 66, 9596), (10519, 48, 1124)], 0.73709965, 'xrule'), ([(6957, 66, 9596), (6957, 160, 9596), (10444, 76, 6957), (10444, 76, 10519)], 0.69120026, 'xrule'), ([(10444, 76, 10519)], 0.5733681158769947, 'kelpie'), ([(10519, 48, 1124)], 0.5720797018610407, 'kelpie'), ([(10823, 20, 10519)], 0.2403350281940817, 'kelpie')]",10.5,"(10519, 66, 9596)",3.1155603,1,6,5.9763412,"[11, 10]"
"[6.1504946, 6.388752]","[([(4416, 17, 871), (4349, 85, 434), (4416, 85, 434)], 0.94000053, 'xrule'), ([(2788, 17, 871), (2788, 85, 434), (4349, 85, 434)], 0.8161001, 'xrule'), ([(4349, 43, 384), (6860, 43, 384), (6860, 17, 871)], 0.58250046, 'xrule'), ([(4349, 85, 434)], 0.318960230868171, 'kelpie'), ([(4349, 110, 494)], 0.2168693946913994, 'kelpie'), ([(4649, 47, 4349)], 0.10941604809807562, 'kelpie')]",1.0,"(4349, 17, 871)",6.2696233,1,6,6.9785805,"[1, 1]"
"[6.240418, 6.9116526]","[([(2642, 31, 657), (6253, 25, 62), (2642, 25, 62)], 0.24210072, 'xrule'), ([(2136, 31, 657), (6253, 25, 62), (2136, 25, 62)], 0.23750019, 'xrule'), ([(5415, 25, 62), (5415, 31, 657), (6253, 25, 62), (657, 2, 5415)], 0.23720074, 'xrule'), ([(361, 6, 6253)], 0.03712085912220999, 'kelpie'), ([(6253, 31, 4488)], 0.0341253680593981, 'kelpie'), ([(6253, 31, 3823)], 0.01919941132588084, 'kelpie')]",2.5,"(6253, 31, 657)",6.5760355,1,6,6.9195323,"[4, 1]"
