original_rank,facts,prediction,new_scores,new_rank,new_score,new_ranks,#facts,original_score
1,"[(12227, 1, 14940), (14940, 1, 5927), (5927, 1, 14940)]","(14940, 1, 12227)","[8.903218258637935e-05, 5.241906183073297e-05]",2875.5,7.072562220855616e-05,"[2122, 3629]",3,0.8385334610939026
1,"[(8019, 1, 2949), (2949, 1, 2948), (2949, 1, 9188)]","(2949, 1, 8019)","[0.002072735456749797, 0.001935662585310638]",97.0,0.0020041990210302174,"[92, 102]",3,0.8824633359909058
1,"[(15729, 1, 31425), (15729, 1, 16455), (16455, 1, 15729)]","(15729, 1, 12999)","[0.004304277244955301, 0.005361802875995636]",14.0,0.004833040060475469,"[11, 17]",3,0.19728238880634308
1,"[(18592, 1, 20124), (25202, 0, 20124), (13993, 0, 20124)]","(20124, 1, 18592)","[4.0032224205788225e-05, 0.00011900587560376152]",14047.0,7.951904990477487e-05,"[23936, 4158]",3,0.9615100622177124
1,"[(1116, 1, 23468), (23468, 0, 31318), (23468, 1, 16843)]","(23468, 1, 1116)","[0.00017725853831507266, 0.00014557120448444039]",2780.5,0.00016141487139975652,"[2369, 3192]",3,0.9318868517875671
1,"[(9535, 4, 9536), (9536, 4, 35483)]","(9536, 0, 265)","[0.00011931176413781941, 0.00015283943503163755]",23.0,0.00013607559958472848,"[27, 19]",2,0.6587778329849243
1,"[(22014, 1, 1419), (1419, 1, 1418), (1419, 1, 19671)]","(1419, 1, 22014)","[0.0718701109290123, 0.051991529762744904]",6.0,0.0619308203458786,"[6, 6]",3,0.8030797243118286
1,"[(2507, 1, 16918), (16918, 1, 20126), (16918, 1, 16919)]","(16918, 1, 2507)","[0.2847822308540344, 0.5389035940170288]",2.5,0.4118429124355316,"[2, 3]",3,0.9153757691383362
1,"[(20726, 1, 12356), (12356, 0, 323), (12356, 1, 12355)]","(12356, 1, 20726)","[4.048956907354295e-05, 7.520696090068668e-05]",14699.5,5.784826498711482e-05,"[21451, 7948]",3,0.8214631676673889
1,"[(24228, 1, 31721), (34783, 0, 31721), (7056, 1, 31721)]","(31721, 1, 24228)","[3.994146754848771e-05, 2.5218301743734628e-05]",18544.5,3.257988464611117e-05,"[17307, 19782]",3,0.8690681457519531
1,"[(20572, 1, 7982), (7982, 3, 7983), (14618, 3, 7982)]","(7982, 1, 20572)","[0.004858375992625952, 0.015926146879792213]",3.5,0.010392261436209083,"[4, 3]",3,0.9877474308013916
1,"[(39891, 1, 20097), (22506, 1, 20097), (20097, 1, 22506)]","(20097, 1, 39891)","[0.0002154724788852036, 4.225829252391122e-05]",9531.0,0.0001288653857045574,"[3367, 15695]",3,0.9519976377487183
1,"[(21273, 4, 27089)]","(27089, 0, 25460)","[3.891537198796868e-05, 2.818153916450683e-05]",2404.0,3.354845557623776e-05,"[827, 3981]",1,0.5863993167877197
1,"[(21041, 1, 522), (13953, 1, 522), (522, 1, 6484)]","(522, 1, 21041)","[0.0008000131347216666, 9.431788203073665e-05]",3396.5,0.0004471655083762016,"[432, 6361]",3,0.9422932267189026
1,"[(26855, 1, 26856), (26856, 0, 4469), (9579, 0, 26856)]","(26856, 1, 26855)","[1.566930404806044e-05, 1.3049446351942606e-05]",8451.0,1.4359375200001523e-05,"[6399, 10503]",3,0.9746934175491333
1,"[(29520, 0, 29521), (38175, 1, 29520)]","(29520, 1, 38175)","[1.3796049643133301e-05, 1.7694150301394984e-05]",6635.0,1.5745099972264143e-05,"[8789, 4481]",2,0.9498961567878723
1,"[(2643, 1, 11856), (11856, 0, 15035), (11856, 6, 10189)]","(11856, 1, 2643)","[6.954081072763074e-06, 8.439869816356804e-06]",25685.5,7.69697544455994e-06,"[27613, 23758]",3,0.9860931038856506
1,"[(26217, 1, 6787), (6787, 1, 6786), (6787, 3, 3635)]","(6787, 1, 26217)","[2.502754250599537e-05, 1.2122807675041258e-05]",31038.0,1.8575175090518314e-05,"[29650, 32426]",3,0.867676854133606
1,"[(16161, 1, 3136), (3136, 0, 31424), (3136, 1, 3137)]","(3136, 1, 16161)","[0.002675277180969715, 0.00013550501898862422]",1841.5,0.0014053910999791697,"[23, 3660]",3,0.92377108335495
1,"[(11603, 1, 22752), (22752, 1, 25306), (22752, 0, 7968)]","(22752, 1, 11603)","[0.1832277923822403, 0.14688639342784882]",2.0,0.16505709290504456,"[2, 2]",3,0.9543496966362
1,"[(2415, 1, 20944), (20944, 1, 2994), (2994, 1, 20944)]","(20944, 1, 2415)","[3.488942411422613e-06, 4.76032291771844e-05]",27942.0,2.5546085794303508e-05,"[36966, 18918]",3,0.8592720627784729
1,"[(19068, 1, 8742), (8742, 1, 3787), (8742, 1, 9355)]","(8742, 1, 19068)","[0.0015475817490369081, 0.0061455173417925835]",132.5,0.003846549545414746,"[218, 47]",3,0.9776057600975037
1,"[(15794, 9, 16624), (15793, 1, 16624), (16624, 1, 15793)]","(16624, 9, 15794)","[1.1430572158133145e-05, 4.632930995285278e-06]",16065.5,8.031751576709212e-06,"[7174, 24957]",3,0.9656851887702942
1,"[(15587, 1, 15588), (31654, 1, 15588), (15588, 1, 31654)]","(15588, 1, 15587)","[0.03768950328230858, 0.05739150568842888]",4.5,0.04754050448536873,"[4, 5]",3,0.9287481307983398
1,"[(4244, 1, 8754), (6098, 1, 8754), (8754, 1, 11316)]","(8754, 1, 4244)","[0.0014041588874533772, 0.0002882143307942897]",579.5,0.0008461866091238335,"[67, 1092]",3,0.957123875617981
1,"[(8885, 1, 17578), (31094, 0, 17578), (17578, 0, 17555)]","(17578, 1, 8885)","[0.008645424619317055, 0.009361124597489834]",2.5,0.009003274608403444,"[3, 2]",3,0.8962762355804443
1,"[(30007, 2, 916), (20016, 4, 30007), (13030, 6, 30007)]","(30007, 2, 121)","[0.3155244290828705, 0.054750870913267136]",1.0,0.1851376499980688,"[1, 1]",3,0.23917707800865173
1,"[(8574, 1, 29585), (8573, 1, 8574), (16360, 0, 8574)]","(8574, 1, 8573)","[0.04536734148859978, 0.024548381567001343]",3.5,0.03495786152780056,"[3, 4]",3,0.8929891586303711
1,"[(18755, 1, 24115), (2300, 1, 24115), (24115, 1, 2300)]","(24115, 1, 18755)","[0.0003243702813051641, 0.00013866310473531485]",1072.0,0.00023151669302023947,"[229, 1915]",3,0.970401406288147
1,"[(11590, 1, 24520), (29649, 1, 11590), (11590, 0, 26645)]","(11590, 1, 29649)","[5.3416039008880034e-05, 4.7829515096964315e-05]",13590.0,5.0622777052922174e-05,"[13583, 13597]",3,0.8879063725471497
1,"[(16314, 1, 15028), (5116, 1, 15028), (15028, 1, 6422)]","(15028, 1, 16314)","[0.28634703159332275, 0.12144635617733002]",2.0,0.20389669388532639,"[2, 2]",3,0.9558466672897339
1,"[(6944, 1, 6572), (6572, 1, 2450), (3377, 1, 6572)]","(6572, 1, 6944)","[0.03340590372681618, 0.03441378474235535]",4.0,0.03390984423458576,"[3, 5]",3,0.8736011981964111
1,"[(21993, 1, 4359), (11202, 0, 21993), (19504, 1, 21993)]","(21993, 1, 19504)","[2.1468869817908853e-05, 3.537193333613686e-05]",23406.5,2.8420401577022858e-05,"[24723, 22090]",3,0.8004068732261658
1,"[(13829, 1, 4185), (4185, 1, 4221), (4184, 0, 4185)]","(4185, 1, 13829)","[4.9760133151721675e-06, 0.0002689568209461868]",20126.5,0.00013696641713067947,"[38480, 1773]",3,0.8398572206497192
1,"[(6657, 1, 18566), (12281, 0, 18566), (18566, 0, 13714)]","(18566, 1, 6657)","[4.241377246216871e-05, 5.05453817822854e-06]",17523.0,2.3734155320198624e-05,"[348, 34698]",3,0.956963837146759
1,"[(11565, 1, 29689), (29689, 0, 12731)]","(29689, 1, 11565)","[2.095894160447642e-06, 1.5979110685293563e-05]",22626.5,9.037502422870602e-06,"[39357, 5896]",2,0.9941294193267822
1,"[(39790, 1, 137), (137, 0, 8233), (136, 6, 137)]","(137, 1, 39790)","[5.120020068716258e-05, 1.3370422493608203e-05]",23814.0,3.228531159038539e-05,"[15911, 31717]",3,0.9594130516052246
1,"[(26814, 1, 13298), (1848, 1, 13298), (13298, 1, 1848)]","(13298, 1, 26814)","[0.00031466977088712156, 0.0001460003259126097]",1834.0,0.00023033504839986563,"[623, 3045]",3,0.9403150677680969
1,"[(20544, 1, 3291), (3291, 1, 25943), (35933, 0, 3291)]","(3291, 1, 20544)","[0.17375081777572632, 0.008184712380170822]",14.0,0.09096776507794857,"[5, 23]",3,0.9723116159439087
1,"[(20104, 1, 2502), (14905, 1, 2502), (10452, 1, 2502)]","(2502, 1, 20104)","[0.0056608556769788265, 0.012806341052055359]",18.5,0.009233598364517093,"[22, 15]",3,0.9245367050170898
1,"[(8390, 1, 14834), (1690, 1, 14834), (14834, 1, 1690)]","(14834, 1, 5110)","[0.018406815826892853, 5.742797839047853e-06]",17001.0,0.00920627931236595,"[8, 33994]",3,0.41509827971458435
1,"[(13633, 1, 4225), (11780, 1, 4225), (4225, 1, 10988)]","(4225, 1, 13633)","[8.767188410274684e-05, 9.833260992309079e-05]",10370.0,9.300224701291882e-05,"[11381, 9359]",3,0.9296045303344727
1,"[(4747, 5, 3149)]","(4747, 0, 22951)","[0.00018443937005940825, 2.3368354959529825e-05]",3409.5,0.00010390386250946904,"[7, 6812]",1,0.09593500196933746
1,"[(20593, 1, 25852), (25852, 0, 4103), (20592, 6, 25852)]","(25852, 1, 20593)","[1.4121013919066172e-05, 2.7903923182748258e-05]",4736.5,2.1012468550907215e-05,"[8272, 1201]",3,0.9246744513511658
1,"[(18417, 1, 3453), (3453, 1, 31080), (3453, 1, 3452)]","(3453, 1, 18417)","[7.741346780676395e-05, 0.00012007807526970282]",10767.5,9.874577153823338e-05,"[13526, 8009]",3,0.9354263544082642
1,"[(33665, 1, 22848), (22848, 1, 22847), (22847, 1, 22848)]","(22848, 1, 33665)","[9.146094089373946e-05, 0.00018723956600297242]",937.0,0.00013935025344835594,"[1452, 422]",3,0.8634375929832458
1,"[(5116, 1, 15028), (16314, 1, 15028), (15028, 1, 6422)]","(15028, 1, 5116)","[0.21847029030323029, 0.14546073973178864]",2.5,0.18196551501750946,"[3, 2]",3,0.9404630661010742
1,"[(19664, 1, 6144), (6144, 0, 765)]","(6144, 1, 19664)","[1.038906066241907e-05, 2.3472344764741138e-05]",9147.0,1.6930702713580104e-05,"[16266, 2028]",2,0.9744139909744263
1,"[(15106, 1, 15107), (15107, 0, 24077)]","(15107, 1, 15106)","[1.2017324479529634e-05, 1.157307815446984e-05]",13074.0,1.1795201316999737e-05,"[12339, 13809]",2,0.9725252389907837
1,"[(10360, 1, 758), (758, 1, 10107), (16744, 0, 758)]","(758, 1, 10360)","[0.0004987184074707329, 0.0004893670557066798]",741.0,0.0004940427315887064,"[656, 826]",3,0.9631841778755188
1,"[(10508, 1, 24179), (24179, 0, 29312), (24178, 1, 24179)]","(24179, 1, 10508)","[6.70751032885164e-05, 5.3655934607377276e-05]",8561.5,6.036551894794684e-05,"[8157, 8966]",3,0.9073452353477478
1,"[(21981, 9, 9303), (9303, 1, 26071), (30311, 0, 9303)]","(9303, 9, 21981)","[3.2666081096976995e-05, 0.00019393170077819377]",8501.5,0.00011329889093758538,"[15224, 1779]",3,0.9587638974189758
1,"[(33711, 5, 9528), (33711, 0, 21113)]","(33711, 5, 19257)","[0.0004310758085921407, 0.00048115415847860277]",109.0,0.0004561149835353717,"[91, 127]",2,0.28957507014274597
1,"[(33545, 1, 18247), (18247, 0, 9486)]","(18247, 1, 33545)","[1.0883049071708228e-05, 1.03144875538419e-05]",16185.0,1.0598768312775064e-05,"[14996, 17374]",2,0.9478031992912292
1,"[(20114, 6, 20115), (12790, 8, 20115)]","(20115, 2, 2580)","[0.003036026144400239, 0.0012974629644304514]",12.0,0.002166744554415345,"[8, 16]",2,0.19860407710075378
1,"[(15927, 1, 23239), (23239, 1, 13090), (23239, 1, 30477)]","(23239, 1, 15927)","[0.00032987582380883396, 0.00026834337040781975]",706.5,0.00029910959710832685,"[666, 747]",3,0.9537962079048157
1,"[(18054, 1, 13338), (35743, 0, 13338), (14307, 0, 13338)]","(13338, 1, 18054)","[1.434695423085941e-05, 1.3960973774373997e-05]",30400.5,1.4153964002616704e-05,"[31383, 29418]",3,0.926688015460968
1,"[(17946, 1, 865), (865, 1, 33933), (865, 1, 5214)]","(865, 1, 17946)","[2.761375071713701e-06, 3.2461034606967587e-06]",36611.5,3.00373926620523e-06,"[37285, 35938]",3,0.8343851566314697
1,"[(2443, 1, 12141), (12141, 0, 3556)]","(12141, 1, 2443)","[8.34248203318566e-06, 6.012976882630028e-05]",11396.0,3.423612542974297e-05,"[22719, 73]",2,0.9717803597450256
1,"[(6242, 1, 27198), (27198, 9, 19791), (19791, 9, 27198)]","(27198, 1, 6242)","[2.208844307460822e-06, 7.126939181034686e-06]",33801.0,4.667891744247754e-06,"[39203, 28399]",3,0.9874051213264465
1,"[(33234, 2, 4090)]","(33234, 2, 2524)","[0.0015652590664103627, 0.004330975469201803]",10.5,0.002948117267806083,"[15, 6]",1,0.04805701971054077
1,"[(19427, 1, 18272), (18272, 1, 170), (170, 1, 18272)]","(18272, 1, 19427)","[7.737656414974481e-05, 6.855695392005146e-05]",8546.0,7.296675903489813e-05,"[8581, 8511]",3,0.9453070163726807
1,"[(23961, 5, 6776)]","(23961, 0, 6776)","[4.06006547564175e-05, 1.1179253306181636e-05]",15983.5,2.5889954031299567e-05,"[706, 31261]",1,0.72646164894104
1,"[(15159, 1, 3072), (3072, 1, 17453), (3072, 1, 21115)]","(3072, 1, 15159)","[6.251223567232955e-06, 0.0001992437319131568]",18840.0,0.00010274747774019488,"[34525, 3155]",3,0.8955927491188049
1,"[(8643, 1, 7117), (7049, 1, 7117), (7117, 0, 25988)]","(7117, 1, 8643)","[0.022266246378421783, 0.026925474405288696]",2.5,0.02459586039185524,"[2, 3]",3,0.94145667552948
1,"[(5176, 1, 6813), (5175, 1, 6813), (32633, 1, 6813)]","(6813, 1, 5175)","[0.002628121990710497, 0.0056418925523757935]",36.5,0.004135007271543145,"[57, 16]",3,0.9172292351722717
1,"[(4665, 1, 4666), (6717, 1, 4666), (16479, 1, 4666)]","(4666, 1, 4665)","[7.330004882533103e-05, 0.00015424229786731303]",9289.5,0.00011377117334632203,"[14101, 4478]",3,0.9331414699554443
1,"[(11813, 1, 11814), (11813, 1, 38731), (11813, 1, 1113)]","(11813, 1, 30361)","[0.9273681640625, 0.9347970485687256]",2.0,0.9310826063156128,"[3, 1]",3,0.9786085486412048
1,"[(26527, 1, 11366), (11366, 1, 42), (11366, 1, 8337)]","(11366, 1, 26527)","[0.08667788654565811, 0.02546842023730278]",6.5,0.056073153391480446,"[4, 9]",3,0.8748989105224609
1,"[(22618, 1, 699), (699, 0, 14921), (699, 0, 700)]","(699, 1, 22618)","[5.841739948664326e-06, 9.898239113681484e-06]",24959.5,7.869989531172905e-06,"[31198, 18721]",3,0.9501182436943054
1,"[(16506, 1, 22728), (22728, 9, 34810)]","(22728, 1, 16506)","[2.3928254449856468e-05, 1.726638038235251e-05]",3397.0,2.0597317416104488e-05,"[2014, 4780]",2,0.978472113609314
1,"[(3712, 1, 28826), (6595, 1, 28826), (28826, 1, 274)]","(28826, 1, 3712)","[0.14934776723384857, 0.07124719023704529]",2.0,0.11029747873544693,"[2, 2]",3,0.9186691641807556
1,"[(12684, 1, 22584), (22585, 9, 22584), (22584, 9, 22585)]","(22584, 1, 12684)","[1.8842703866539523e-05, 2.6359852199675515e-05]",19157.0,2.260127803310752e-05,"[21630, 16684]",3,0.969196081161499
1,"[(21674, 1, 4547), (4547, 1, 32040), (35972, 0, 4547)]","(4547, 1, 21674)","[0.016673732548952103, 0.025890620425343513]",21.0,0.021282176487147808,"[25, 17]",3,0.9718466401100159
1,"[(8310, 6, 26961), (8310, 6, 29307), (8310, 6, 22600)]","(8310, 6, 12531)","[0.26296886801719666, 0.2341436892747879]",3.5,0.24855627864599228,"[4, 3]",3,0.4837391674518585
1,"[(8641, 1, 19459), (19459, 0, 13984)]","(19459, 1, 8641)","[1.9884311768691987e-05, 7.458623258571606e-06]",15328.5,1.3671467513631796e-05,"[3444, 27213]",2,0.974579930305481
1,"[(757, 1, 17190), (17190, 1, 22330), (17190, 1, 8831)]","(17190, 1, 757)","[0.003491082927212119, 0.014869704842567444]",43.0,0.009180393884889781,"[68, 18]",3,0.8933057188987732
1,"[(28605, 1, 6067), (6067, 0, 4724)]","(6067, 1, 28605)","[1.578390038048383e-05, 1.5783509297762066e-05]",6163.0,1.5783704839122947e-05,"[6241, 6085]",2,0.8763036727905273
1,"[(27247, 1, 3929), (12915, 1, 3929), (3929, 1, 19718)]","(3929, 1, 27247)","[0.00012354209320619702, 4.942985833622515e-05]",11040.5,8.648597577121109e-05,"[6424, 15657]",3,0.9612560868263245
1,"[(7436, 1, 2887), (16075, 1, 2887), (2887, 1, 16075)]","(2887, 1, 7436)","[6.597628816962242e-05, 0.00042708596447482705]",7145.0,0.00024653112632222474,"[13450, 840]",3,0.9470379948616028
1,"[(1538, 1, 8734), (8734, 1, 2613), (8734, 0, 6821)]","(8734, 1, 1538)","[0.08443614840507507, 0.06059757247567177]",13.0,0.07251686044037342,"[13, 13]",3,0.9375073909759521
1,"[(20700, 1, 17492), (17492, 1, 26805), (25092, 1, 17492)]","(17492, 1, 20700)","[0.0002840785891748965, 0.0002775981556624174]",1455.5,0.00028083837241865695,"[1768, 1143]",3,0.8671815395355225
1,"[(3647, 1, 3648), (3648, 1, 8714), (8714, 1, 3648)]","(3648, 1, 3647)","[3.7576843169517815e-05, 7.204531721072271e-05]",7105.5,5.4811080190120265e-05,"[11721, 2490]",3,0.9578153491020203
1,"[(35514, 1, 15168), (15168, 0, 4807)]","(15168, 1, 35514)","[6.230143299035262e-06, 1.041465384332696e-05]",23570.0,8.322398571181111e-06,"[29984, 17156]",2,0.949526846408844
1,"[(4502, 6, 36622), (637, 8, 36622)]","(36622, 2, 2580)","[0.0029973338823765516, 0.0012903810711577535]",12.0,0.0021438574767671525,"[8, 16]",2,0.673927366733551
1,"[(9780, 1, 3447), (3447, 1, 14404), (3447, 1, 2835)]","(3447, 1, 9780)","[0.01949596032500267, 0.2386086881160736]",4.5,0.12905232422053814,"[6, 3]",3,0.9036061763763428
1,"[(1038, 4, 34310), (34310, 4, 34311)]","(34310, 0, 184)","[7.36694855731912e-05, 0.00016399442392867059]",50.0,0.00011883195475093089,"[88, 12]",2,0.5521760582923889
1,"[(3858, 1, 4697), (4697, 1, 3857), (3857, 1, 4697)]","(4697, 1, 3858)","[0.00020028141443617642, 6.1032886151224375e-05]",1997.0,0.0001306571502937004,"[147, 3847]",3,0.8556263446807861
1,"[(624, 1, 5656), (34337, 1, 624), (37806, 0, 624)]","(624, 1, 34337)","[2.296608545293566e-05, 1.5100002201506868e-05]",27653.5,1.9033043827221263e-05,"[25112, 30195]",3,0.9748260378837585
1,"[(11642, 1, 14841), (14841, 1, 27207), (27207, 1, 14841)]","(14841, 1, 11642)","[0.018336812034249306, 0.0057920170947909355]",4.5,0.01206441456452012,"[3, 6]",3,0.9237152934074402
