prediction,new_ranks,new_rank,exp_length,exp,original_rank,new_scores,facts,new_score,original_score
"(12356, 1, 20726)",[11319],11319.0,1,"[(20726, 1, 12356)]",1,[6.328922609100118e-05],"[({(20726, 1, 12356)}, -8.970510763687384, 'baseline')]",6.328922609100118e-05,0.8214631676673889
"(31721, 1, 24228)",[13656],13656.0,4,"[(7056, 1, 31721), (24228, 0, 7056), (31721, 1, 7056), (24228, 1, 31721)]",1,[5.5046424677129835e-05],"[({(24228, 1, 31721)}, -8.473044410508296, 'baseline'), ({(7056, 1, 31721)}, -11.63717827450689, 'baseline'), ({(31721, 1, 7056)}, -12.13385488890842, 'baseline')]",5.5046424677129835e-05,0.8690681457519531
"(7982, 1, 20572)",[22088],22088.0,6,"[(20572, 1, 7983), (14618, 3, 7982), (20572, 1, 7982), (7982, 3, 14618), (7983, 3, 14618), (7982, 3, 7983)]",1,[7.847594133636449e-06],"[({(20572, 1, 7982)}, -10.414578684304374, 'baseline'), ({(7982, 3, 7983)}, -11.01450732123739, 'baseline'), ({(14618, 3, 7982)}, -13.333499290355062, 'baseline'), ({(7982, 3, 14618)}, -13.536891482505792, 'baseline')]",7.847594133636449e-06,0.9877474308013916
"(20097, 1, 39891)",[9911],9911.0,1,"[(39891, 1, 20097)]",1,[7.670363265788183e-05],"[({(39891, 1, 20097)}, -10.101458651512525, 'baseline')]",7.670363265788183e-05,0.9519976377487183
"(27089, 0, 25460)",[451],451.0,2,"[(21273, 4, 27089), (21273, 4, 25460)]",1,[7.08775914972648e-05],"[({(21273, 4, 27089)}, -7.416109943787814, 'baseline')]",7.08775914972648e-05,0.5863993167877197
"(522, 1, 21041)",[1037],1037.0,3,"[(21899, 0, 522), (21899, 1, 21041), (21041, 1, 522)]",1,[0.0005135569372214377],"[({(21041, 1, 522)}, -9.57484251554674, 'baseline'), ({(21899, 0, 522)}, -15.208150446170634, 'baseline')]",0.0005135569372214377,0.9422932267189026
"(26856, 1, 26855)",[23924],23924.0,1,"[(26855, 1, 26856)]",1,[2.10136149689788e-05],"[({(26855, 1, 26856)}, -9.809835243347658, 'baseline')]",2.10136149689788e-05,0.9746934175491333
"(29520, 1, 38175)",[10506],10506.0,1,"[(38175, 1, 29520)]",1,[6.298529478954151e-05],"[({(38175, 1, 29520)}, -9.192253916737453, 'baseline')]",6.298529478954151e-05,0.9498961567878723
"(11856, 1, 2643)",[36713],36713.0,1,"[(2643, 1, 11856)]",1,[6.814214430050924e-06],"[({(2643, 1, 11856)}, -8.879554118351793, 'baseline')]",6.814214430050924e-06,0.9860931038856506
"(6787, 1, 26217)",[25655],25655.0,1,"[(26217, 1, 6787)]",1,[2.9279746740940027e-05],"[({(26217, 1, 6787)}, -7.21401945980477, 'baseline')]",2.9279746740940027e-05,0.867676854133606
"(3136, 1, 16161)",[30974],30974.0,5,"[(16161, 0, 3005), (3137, 1, 3136), (3137, 0, 3005), (16161, 1, 3136), (3136, 1, 3137)]",1,[1.2892104678030591e-05],"[({(16161, 1, 3136)}, -8.439384514180224, 'baseline'), ({(3136, 1, 3137)}, -12.122825440211372, 'baseline'), ({(3137, 1, 3136)}, -13.10424743158934, 'baseline')]",1.2892104678030591e-05,0.92377108335495
"(22752, 1, 11603)",[2],2.0,10,"[(22752, 1, 2392), (11603, 1, 7967), (25306, 1, 7967), (28597, 1, 2392), (22752, 0, 7968), (25306, 1, 22752), (22752, 1, 25306), (11603, 1, 22752), (28597, 1, 11603), (7967, 0, 7968)]",1,[0.16184012591838837],"[({(11603, 1, 22752)}, -9.049033411926356, 'baseline'), ({(22752, 1, 25306)}, -10.92784689021923, 'baseline'), ({(22752, 0, 7968)}, -11.125450255419512, 'baseline'), ({(22752, 1, 2392)}, -11.232086264217603, 'baseline'), ({(25306, 1, 22752)}, -11.398187147722936, 'baseline'), ({(2392, 1, 22752)}, -11.782184568338955, 'baseline')]",0.16184012591838837,0.9543496966362
"(20944, 1, 2415)",[25295],25295.0,5,"[(2415, 1, 20944), (2994, 1, 2993), (20944, 1, 2994), (2994, 1, 20944), (2415, 1, 2993)]",1,[1.942284870892763e-05],"[({(2415, 1, 20944)}, -6.847338933353467, 'baseline'), ({(20944, 1, 2994)}, -8.977099337266182, 'baseline'), ({(2994, 1, 20944)}, -9.310182365800447, 'baseline')]",1.942284870892763e-05,0.8592720627784729
"(8742, 1, 19068)",[2550],2550.0,4,"[(8742, 1, 1897), (5674, 1, 19068), (1897, 1, 5674), (19068, 1, 8742)]",1,[0.00027162552578374743],"[({(19068, 1, 8742)}, -10.17532726118775, 'baseline'), ({(8742, 1, 1897)}, -13.735881986560829, 'baseline')]",0.00027162552578374743,0.9776057600975037
"(16624, 9, 15794)",[13252],13252.0,4,"[(15793, 1, 16624), (15794, 9, 16624), (16624, 1, 15793), (15794, 1, 15793)]",1,[9.049292202689685e-06],"[({(15794, 9, 16624)}, -9.964506357040168, 'baseline'), ({(15793, 1, 16624)}, -12.413556366125231, 'baseline'), ({(16624, 1, 15793)}, -12.538391884367126, 'baseline')]",9.049292202689685e-06,0.9656851887702942
"(15588, 1, 15587)",[33],33.0,9,"[(2739, 1, 31654), (15587, 1, 15588), (15588, 1, 31654), (2739, 0, 3978), (2739, 1, 27163), (15588, 1, 27163), (15587, 1, 2739), (31654, 1, 15588), (15588, 0, 3978)]",1,[0.004712843336164951],"[({(15588, 0, 3978)}, 13.648222868139062, 'baseline'), ({(15587, 1, 15588)}, -8.377354662930866, 'baseline'), ({(31654, 1, 15588)}, -11.179480542357785, 'baseline'), ({(15588, 1, 31654)}, -11.366798169787195, 'baseline'), ({(15588, 1, 27163)}, -11.774412515663142, 'baseline'), ({(27163, 1, 15588)}, -11.93352136159767, 'baseline'), ({(15588, 1, 14064)}, -12.489734331424032, 'baseline'), ({(14064, 1, 15588)}, -12.720156511511995, 'baseline')]",0.004712843336164951,0.9287481307983398
"(8754, 1, 4244)",[3832],3832.0,4,"[(8754, 0, 1668), (4243, 0, 1668), (4243, 1, 4244), (4244, 1, 8754)]",1,[0.00022792832169216126],"[({(4244, 1, 8754)}, -9.558666244183264, 'baseline'), ({(8754, 0, 1668)}, -14.136740777924341, 'baseline')]",0.00022792832169216126,0.957123875617981
"(17578, 1, 8885)",[10696],10696.0,5,"[(8885, 1, 17578), (3300, 1, 17578), (26393, 1, 3300), (8885, 1, 26393), (17578, 1, 3300)]",1,[5.607588173006661e-05],"[({(8885, 1, 17578)}, -7.700602665007378, 'baseline'), ({(3300, 1, 17578)}, -10.702819744786437, 'baseline'), ({(17578, 1, 3300)}, -10.921227907297553, 'baseline')]",5.607588173006661e-05,0.8962762355804443
"(30007, 2, 121)",[1],1.0,9,"[(20016, 4, 28966), (20016, 4, 30007), (28966, 2, 121), (27523, 2, 121), (30007, 2, 916), (13030, 6, 16669), (16669, 2, 121), (13030, 6, 30007), (27523, 2, 916)]",1,[0.20629523694515228],"[({(13030, 6, 30007)}, 11.238115907552741, 'baseline'), ({(30007, 2, 916)}, -7.944002917752552, 'baseline'), ({(20016, 4, 30007)}, -9.541916595061597, 'baseline')]",0.20629523694515228,0.23917707800865173
"(8574, 1, 8573)",[1679],1679.0,9,"[(814, 1, 815), (8573, 1, 815), (815, 1, 29585), (814, 1, 8574), (8573, 1, 8574), (8574, 1, 814), (8574, 1, 29585), (8574, 1, 12655), (815, 1, 12655)]",1,[0.00027696159668266773],"[({(8574, 1, 29585)}, -7.340922704383432, 'baseline'), ({(8573, 1, 8574)}, -7.505291663933256, 'baseline'), ({(8574, 1, 814)}, -10.97544859980911, 'baseline'), ({(814, 1, 8574)}, -10.996564029274946, 'baseline'), ({(8574, 1, 12655)}, -11.297175574095682, 'baseline'), ({(12655, 1, 8574)}, -12.398993176798639, 'baseline')]",0.00027696159668266773,0.8929891586303711
"(24115, 1, 18755)",[605],605.0,5,"[(24115, 1, 2300), (2300, 1, 9577), (2300, 1, 24115), (18755, 1, 9577), (18755, 1, 24115)]",1,[0.0002694868599064648],"[({(18755, 1, 24115)}, -9.618705721170658, 'baseline'), ({(2300, 1, 24115)}, -13.450510876228183, 'baseline'), ({(24115, 1, 2300)}, -13.536891482505792, 'baseline')]",0.0002694868599064648,0.970401406288147
"(11590, 1, 29649)",[12400],12400.0,1,"[(29649, 1, 11590)]",1,[6.749627209501341e-05],"[({(29649, 1, 11590)}, -9.884183685732548, 'baseline')]",6.749627209501341e-05,0.8879063725471497
"(15028, 1, 16314)",[3],3.0,10,"[(15028, 1, 21701), (19324, 0, 21701), (5116, 1, 19324), (19324, 1, 16314), (15527, 1, 16314), (6422, 1, 15527), (15028, 1, 6422), (16314, 1, 15028), (5116, 1, 15028), (21701, 1, 15028)]",1,[0.11055280268192291],"[({(16314, 1, 15028)}, -8.549184476764609, 'baseline'), ({(5116, 1, 15028)}, -8.929611572698098, 'baseline'), ({(15028, 1, 6422)}, -11.250254965676236, 'baseline'), ({(15028, 1, 21701)}, -11.46977767984817, 'baseline'), ({(21701, 1, 15028)}, -11.714319366662721, 'baseline'), ({(6422, 1, 15028)}, -11.906654161089447, 'baseline')]",0.11055280268192291,0.9558466672897339
"(6572, 1, 6944)",[506],506.0,9,"[(6572, 1, 2450), (2449, 1, 11955), (2449, 1, 6944), (2449, 1, 2450), (3377, 1, 2449), (11955, 1, 6572), (3377, 1, 6572), (6944, 1, 6572), (6572, 1, 3377)]",1,[0.0005125377792865038],"[({(6944, 1, 6572)}, -6.797487104636437, 'baseline'), ({(6572, 1, 2450)}, -9.522180404600078, 'baseline'), ({(3377, 1, 6572)}, -9.95819025735428, 'baseline'), ({(6572, 1, 3377)}, -10.124984297999381, 'baseline'), ({(11955, 1, 6572)}, -10.1490767155374, 'baseline'), ({(6572, 1, 11955)}, -11.301991026681556, 'baseline')]",0.0005125377792865038,0.8736011981964111
"(21993, 1, 19504)",[12055],12055.0,4,"[(11202, 0, 21993), (19504, 0, 17245), (11202, 1, 17245), (19504, 1, 21993)]",1,[8.027012518141419e-05],"[({(11202, 0, 21993)}, -8.55970585664385, 'baseline'), ({(19504, 1, 21993)}, -8.569396286399703, 'baseline')]",8.027012518141419e-05,0.8004068732261658
"(4185, 1, 13829)",[3997],3997.0,1,"[(13829, 1, 4185)]",1,[0.00010344167822040617],"[({(13829, 1, 4185)}, -8.17332295678857, 'baseline')]",0.00010344167822040617,0.8398572206497192
"(18566, 1, 6657)",[30158],30158.0,1,"[(6657, 1, 18566)]",1,[1.565657657920383e-05],"[({(6657, 1, 18566)}, -8.317969526851119, 'baseline')]",1.565657657920383e-05,0.956963837146759
"(29689, 1, 11565)",[28868],28868.0,1,"[(11565, 1, 29689)]",1,[1.1381373042240739e-05],"[({(11565, 1, 29689)}, -11.27814234736336, 'baseline')]",1.1381373042240739e-05,0.9941294193267822
"(137, 1, 39790)",[2767],2767.0,1,"[(39790, 1, 137)]",1,[0.000234995546634309],"[({(39790, 1, 137)}, -10.268738958427111, 'baseline')]",0.000234995546634309,0.9594130516052246
"(13298, 1, 26814)",[13360],13360.0,5,"[(2612, 1, 1848), (2612, 1, 26814), (13298, 1, 1848), (26814, 1, 13298), (1848, 1, 13298)]",1,[4.698401244240813e-05],"[({(26814, 1, 13298)}, -8.731712695796073, 'baseline'), ({(1848, 1, 13298)}, -11.657633557793618, 'baseline'), ({(13298, 1, 1848)}, -11.846636303173957, 'baseline')]",4.698401244240813e-05,0.9403150677680969
"(3291, 1, 20544)",[28746],28746.0,8,"[(20544, 1, 3291), (2276, 0, 3291), (2277, 1, 2276), (25943, 1, 3291), (25943, 1, 28902), (28902, 1, 20544), (3291, 1, 25943), (2277, 0, 20544)]",1,[1.021777825371828e-05],"[({(20544, 1, 3291)}, -10.231644393743709, 'baseline'), ({(3291, 1, 25943)}, -12.214667457300756, 'baseline'), ({(25943, 1, 3291)}, -12.760839292371934, 'baseline'), ({(2276, 0, 3291)}, -13.450510876228183, 'baseline')]",1.021777825371828e-05,0.9723116159439087
"(2502, 1, 20104)",[18117],18117.0,5,"[(5307, 1, 20104), (10452, 1, 5307), (2502, 1, 10452), (10452, 1, 2502), (20104, 1, 2502)]",1,[4.22002631239593e-05],"[({(20104, 1, 2502)}, -7.391995755779607, 'baseline'), ({(10452, 1, 2502)}, -10.70547466541656, 'baseline'), ({(2502, 1, 10452)}, -11.897856476345456, 'baseline')]",4.22002631239593e-05,0.9245367050170898
"(14834, 1, 5110)",[38387],38387.0,9,"[(21702, 1, 5110), (8389, 1, 8390), (14834, 1, 1690), (21702, 0, 14834), (1690, 1, 14834), (8389, 1, 5110), (5110, 1, 28345), (28345, 1, 1690), (8390, 1, 14834)]",1,[2.5514598291920265e-06],"[({(21702, 0, 14834)}, 8.637075924973551, 'baseline'), ({(8390, 1, 14834)}, -7.2115899283851785, 'baseline'), ({(1690, 1, 14834)}, -9.420087924831256, 'baseline'), ({(14834, 1, 1690)}, -10.098556479294057, 'baseline')]",2.5514598291920265e-06,0.41509827971458435
"(4225, 1, 13633)",[636],636.0,1,"[(13633, 1, 4225)]",1,[0.0009681714582256973],"[({(13633, 1, 4225)}, -7.844693745811151, 'baseline')]",0.0009681714582256973,0.9296045303344727
"(4747, 0, 22951)",[8321],8321.0,2,"[(4747, 5, 3149), (22951, 5, 3149)]",1,[2.748806946328841e-05],"[({(4747, 5, 3149)}, -9.27841361613961, 'baseline')]",2.748806946328841e-05,0.09593500196933746
"(25852, 1, 20593)",[1759],1759.0,3,"[(20593, 1, 20592), (20593, 1, 25852), (20592, 6, 25852)]",1,[9.33830306166783e-05],"[({(20593, 1, 25852)}, -8.106075760157626, 'baseline'), ({(20592, 6, 25852)}, -10.424565727707867, 'baseline')]",9.33830306166783e-05,0.9246744513511658
"(3453, 1, 18417)",[2444],2444.0,1,"[(18417, 1, 3453)]",1,[0.0003928105579689145],"[({(18417, 1, 3453)}, -10.495258601697042, 'baseline')]",0.0003928105579689145,0.9354263544082642
"(22848, 1, 33665)",[34799],34799.0,4,"[(6889, 0, 239), (33665, 1, 6889), (33665, 1, 22848), (22848, 0, 239)]",1,[9.621485332900193e-06],"[({(33665, 1, 22848)}, -7.648463061034804, 'baseline'), ({(22848, 0, 239)}, -13.536891482505792, 'baseline')]",9.621485332900193e-06,0.8634375929832458
"(15028, 1, 5116)",[6],6.0,10,"[(15527, 1, 5116), (15028, 1, 21701), (19324, 0, 21701), (5116, 1, 19324), (19324, 1, 16314), (6422, 1, 15527), (15028, 1, 6422), (16314, 1, 15028), (5116, 1, 15028), (21701, 1, 15028)]",1,[0.05472439527511597],"[({(5116, 1, 15028)}, -8.35911518973181, 'baseline'), ({(16314, 1, 15028)}, -8.4502002500007, 'baseline'), ({(15028, 1, 6422)}, -11.08968447470808, 'baseline'), ({(15028, 1, 21701)}, -11.179480542357785, 'baseline'), ({(21701, 1, 15028)}, -11.356550367363576, 'baseline'), ({(6422, 1, 15028)}, -11.597481705254944, 'baseline')]",0.05472439527511597,0.9404630661010742
"(6144, 1, 19664)",[27882],27882.0,1,"[(19664, 1, 6144)]",1,[1.3745922842645086e-05],"[({(19664, 1, 6144)}, -9.076813797508605, 'baseline')]",1.3745922842645086e-05,0.9744139909744263
"(15107, 1, 15106)",[23804],23804.0,1,"[(15106, 1, 15107)]",1,[2.0912857507937588e-05],"[({(15106, 1, 15107)}, -10.495258601697042, 'baseline')]",2.0912857507937588e-05,0.9725252389907837
"(758, 1, 10360)",[1911],1911.0,1,"[(10360, 1, 758)]",1,[0.00023041266831569374],"[({(10360, 1, 758)}, -8.732821658332922, 'baseline')]",0.00023041266831569374,0.9631841778755188
"(24179, 1, 10508)",[10966],10966.0,1,"[(10508, 1, 24179)]",1,[5.8913585235131904e-05],"[({(10508, 1, 24179)}, -8.28978602799835, 'baseline')]",5.8913585235131904e-05,0.9073452353477478
"(9303, 9, 21981)",[2827],2827.0,5,"[(9303, 1, 26071), (21981, 1, 26071), (21981, 0, 6139), (9303, 0, 6139), (21981, 9, 9303)]",1,[0.00014433017349801958],"[({(21981, 9, 9303)}, -8.533303993936784, 'baseline'), ({(9303, 1, 26071)}, -9.586063190322138, 'baseline'), ({(9303, 0, 6139)}, -12.342772919308844, 'baseline')]",0.00014433017349801958,0.9587638974189758
"(33711, 5, 19257)",[129],129.0,5,"[(21113, 5, 19257), (22365, 5, 9528), (33711, 0, 21113), (22365, 5, 19257), (33711, 5, 9528)]",1,[0.00035073270555585623],"[({(33711, 5, 9528)}, -7.0946873450033365, 'baseline'), ({(33711, 0, 21113)}, -7.403098457933443, 'baseline')]",0.00035073270555585623,0.28957507014274597
"(18247, 1, 33545)",[19704],19704.0,1,"[(33545, 1, 18247)]",1,[2.7211370252189226e-05],"[({(33545, 1, 18247)}, -9.037431379234572, 'baseline')]",2.7211370252189226e-05,0.9478031992912292
"(20115, 2, 2580)",[5],5.0,3,"[(39563, 2, 2580), (20114, 6, 20115), (20114, 6, 39563)]",1,[0.020225174725055695],"[({(20114, 6, 20115)}, -9.322110683531154, 'baseline')]",0.020225174725055695,0.19860407710075378
"(23239, 1, 15927)",[2759],2759.0,6,"[(15927, 1, 23239), (708, 1, 15927), (15927, 0, 1786), (23239, 0, 708), (1786, 1, 23239), (23239, 1, 1786)]",1,[0.00016347919881809503],"[({(15927, 1, 23239)}, -8.521856398809936, 'baseline'), ({(1786, 1, 23239)}, -11.766700401322671, 'baseline'), ({(23239, 0, 708)}, -11.790017498338024, 'baseline'), ({(23239, 1, 1786)}, -11.942639933498826, 'baseline')]",0.00016347919881809503,0.9537962079048157
"(13338, 1, 18054)",[39063],39063.0,7,"[(16747, 0, 18054), (35743, 0, 13338), (2060, 0, 18054), (14307, 1, 16747), (14307, 0, 13338), (18054, 1, 13338), (35743, 5, 2060)]",1,[2.8313702387094963e-06],"[({(18054, 1, 13338)}, -9.591284729577156, 'baseline'), ({(35743, 0, 13338)}, -9.9333173510105, 'baseline'), ({(14307, 0, 13338)}, -10.153659379364246, 'baseline')]",2.8313702387094963e-06,0.926688015460968
"(865, 1, 17946)",[15757],15757.0,1,"[(17946, 1, 865)]",1,[5.02426628372632e-05],"[({(17946, 1, 865)}, -9.983697578381628, 'baseline')]",5.02426628372632e-05,0.8343851566314697
"(12141, 1, 2443)",[18137],18137.0,4,"[(2443, 1, 12141), (12141, 0, 3556), (1058, 0, 3556), (2443, 1, 1058)]",1,[8.9162813310395e-06],"[({(2443, 1, 12141)}, -8.51737342682592, 'baseline'), ({(12141, 0, 3556)}, -11.657633557793618, 'baseline')]",8.9162813310395e-06,0.9717803597450256
"(27198, 1, 6242)",[36765],36765.0,4,"[(19791, 9, 27198), (6242, 1, 19791), (27198, 9, 19791), (6242, 1, 27198)]",1,[3.4688466712395893e-06],"[({(6242, 1, 27198)}, -9.04044504629243, 'baseline'), ({(27198, 9, 19791)}, -10.971972304407165, 'baseline'), ({(19791, 9, 27198)}, -11.534633642338166, 'baseline')]",3.4688466712395893e-06,0.9874051213264465
"(33234, 2, 2524)",[22],22.0,3,"[(33234, 2, 4090), (28149, 2, 4090), (28149, 2, 2524)]",1,[0.001273142290301621],"[({(33234, 2, 4090)}, -9.6080017776288, 'baseline')]",0.001273142290301621,0.04805701971054077
"(18272, 1, 19427)",[311],311.0,8,"[(19427, 1, 23137), (169, 1, 170), (169, 1, 19427), (170, 1, 18272), (23137, 1, 18272), (19427, 1, 18272), (18272, 1, 23137), (18272, 1, 170)]",1,[0.00016053310537245125],"[({(19427, 1, 18272)}, -8.058213889554066, 'baseline'), ({(18272, 1, 170)}, -10.14148530067279, 'baseline'), ({(170, 1, 18272)}, -10.343620355922575, 'baseline'), ({(18272, 1, 23137)}, -10.543816592758443, 'baseline'), ({(23137, 1, 18272)}, -11.528560730345516, 'baseline')]",0.00016053310537245125,0.9453070163726807
"(23961, 0, 6776)",[30911],30911.0,1,"[(23961, 5, 6776)]",1,[1.4373632438946515e-05],"[({(23961, 5, 6776)}, -8.910434828527244, 'baseline')]",1.4373632438946515e-05,0.72646164894104
"(3072, 1, 15159)",[32467],32467.0,1,"[(15159, 1, 3072)]",1,[9.04212356545031e-06],"[({(15159, 1, 3072)}, -8.16490153934743, 'baseline')]",9.04212356545031e-06,0.8955927491188049
"(7117, 1, 8643)",[5865],5865.0,8,"[(8643, 1, 7117), (7117, 9, 7118), (7049, 1, 7117), (7118, 1, 8643), (7118, 1, 25743), (7049, 1, 7118), (25743, 1, 7117), (7117, 1, 25743)]",1,[9.41164544201456e-05],"[({(7117, 9, 7118)}, 12.926058232012588, 'baseline'), ({(8643, 1, 7117)}, -8.978989785576072, 'baseline'), ({(7049, 1, 7117)}, -9.144244294199753, 'baseline'), ({(7117, 1, 25743)}, -11.366798169787195, 'baseline'), ({(25743, 1, 7117)}, -11.805869858162744, 'baseline'), ({(7118, 9, 7117)}, -13.852511481795528, 'baseline')]",9.41164544201456e-05,0.94145667552948
