perspective,original_rank,new_rank,#facts,new_score,new_ranks,new_scores,original_score,prediction,facts
all,1,5.0,3,7.742220246242937e-06,"[6, 4]","[3.646561808068327e-08, 1.544797487440519e-05]",0.00010146859858650714,"(5110, 8, 7593)","[(18783, 8, 7593), (22987, 8, 7593), (23960, 8, 7593)]"
all,1,3.5,3,5.883621611246781e-06,"[4, 3]","[3.6157741760689532e-06, 8.151469046424609e-06]",5.487277832116888e-08,"(7201, 10, 7830)","[(7201, 3, 6), (7201, 3, 7), (7201, 2, 30)]"
all,1,19.0,7,3.463524334751389e-06,"[23, 15]","[4.879969206506019e-10, 6.926560672582127e-06]",0.0008862688555382192,"(5844, 8, 7427)","[(5844, 2, 30), (25101, 8, 7427), (25101, 2, 30), (25101, 8, 7427), (25101, 3, 39), (5844, 3, 39), (24581, 8, 7427)]"
all,1,2.0,3,0.0002754012016339402,"[1, 3]","[0.0005360147915780544, 1.4787611689826008e-05]",8.646970672998577e-05,"(4952, 11, 7956)","[(4952, 4, 66), (4952, 3, 180), (25799, 11, 7956)]"
all,1,40.0,5,1.1595297295663443e-06,"[48, 32]","[3.1749012308068814e-09, 2.3158845579018816e-06]",0.00014518971147481352,"(6054, 9, 8151)","[(11633, 3, 6059), (11633, 9, 8151), (6054, 3, 6059), (6054, 2, 305), (15857, 9, 8151)]"
all,1,2.5,3,0.00040501718467567116,"[3, 2]","[0.0001854033034760505, 0.0006246310658752918]",0.0002951537608169019,"(6263, 11, 8038)","[(6263, 4, 66), (6263, 1, 65), (6263, 3, 41)]"
all,1,6.0,3,2.3020887738312013e-06,"[6, 6]","[2.388981329204398e-06, 2.2151962184580043e-06]",5.031374872288552e-09,"(7328, 10, 7830)","[(7328, 1, 65), (7328, 3, 40), (7328, 3, 56)]"
all,1,12.5,9,5.413029876977227e-05,"[17, 8]","[6.528193541299743e-09, 0.00010825406934600323]",0.0015577415470033884,"(4912, 8, 7410)","[(21902, 2, 31), (21902, 8, 7410), (4912, 2, 31), (10213, 8, 7410), (10213, 2, 31), (4912, 2, 31), (4912, 3, 75), (10213, 8, 7410), (10213, 3, 75)]"
all,1,38.0,9,5.117950365729484e-07,"[18, 58]","[7.17213310963416e-08, 9.518687420495553e-07]",7.97808897914365e-05,"(4870, 9, 8151)","[(16088, 2, 171), (16088, 9, 8151), (4870, 2, 171), (24480, 2, 31), (24480, 9, 8151), (4870, 2, 31), (4870, 2, 68), (21950, 2, 68), (21950, 9, 8151)]"
all,1,4.5,3,2.4668631226631987e-06,"[2, 7]","[3.778951622734894e-06, 1.1547746225915034e-06]",3.855851460343729e-08,"(7751, 10, 7830)","[(7751, 3, 6), (7751, 3, 9), (7751, 3, 17)]"
all,1,5.0,3,4.3972520330726184e-05,"[5, 5]","[8.857412581164681e-07, 8.70592994033359e-05]",0.026959797367453575,"(5781, 8, 7410)","[(15535, 8, 7410), (5781, 2, 31), (5781, 1, 65)]"
all,1,4.5,9,2.2997721544015803e-05,"[4, 5]","[2.185738594562281e-07, 4.577686922857538e-05]",0.013211838901042938,"(5849, 8, 7410)","[(5849, 2, 68), (25165, 8, 7410), (25165, 2, 68), (5849, 2, 31), (9990, 8, 7410), (9990, 2, 31), (5849, 3, 7), (23950, 8, 7410), (23950, 3, 7)]"
all,1,3.5,9,0.036571241354977246,"[5, 2]","[4.2541694710962474e-05, 0.07309994101524353]",0.000957758747972548,"(7628, 12, 8676)","[(24810, 12, 8676), (24810, 3, 6), (7628, 3, 6), (10818, 12, 8676), (7628, 3, 40), (10818, 3, 40), (24810, 12, 8676), (7628, 2, 31), (24810, 2, 31)]"
all,1,7.5,9,1.297764382712785e-05,"[7, 8]","[1.5779421858042042e-07, 2.579749343567528e-05]",0.003208134090527892,"(7335, 8, 7410)","[(23089, 8, 7410), (7335, 2, 30), (23089, 2, 30), (7335, 3, 40), (20705, 8, 7410), (20705, 3, 40), (20719, 2, 30), (20719, 8, 7410), (7335, 2, 30)]"
all,1,30.5,9,8.760442772315358e-05,"[56, 5]","[3.0393971783837515e-09, 0.00017520581604912877]",0.0004672103968914598,"(6083, 9, 8418)","[(6083, 3, 39), (17391, 9, 8418), (17391, 3, 39), (18600, 9, 8418), (18600, 2, 69), (6083, 2, 69), (6083, 2, 69), (17391, 9, 8418), (17391, 2, 69)]"
all,1,2.5,3,0.0024950742565863493,"[4, 1]","[6.804862664466782e-07, 0.004989468026906252]",0.023995403200387955,"(4870, 8, 7567)","[(4870, 2, 709), (4870, 3, 88), (4870, 3, 780)]"
all,1,4.5,3,3.422067251790395e-06,"[2, 7]","[6.501941243186593e-06, 3.4219326039419684e-07]",3.580371910061331e-08,"(6320, 10, 7830)","[(6320, 3, 6), (6320, 3, 7), (6320, 3, 9)]"
all,1,5.5,3,1.7140654904324037e-06,"[6, 5]","[2.0953089006070513e-06, 1.3328220802577562e-06]",8.622164315852388e-09,"(6983, 10, 7830)","[(6983, 4, 66), (6983, 2, 30), (6983, 3, 10)]"
all,1,4.0,3,0.004075499105283598,"[1, 7]","[0.008146271109580994, 4.727100986201549e-06]",2.1323852706700563e-05,"(7125, 11, 7956)","[(7125, 4, 66), (7125, 3, 40), (13012, 11, 7956)]"
all,1,3.5,3,3.775466302613495e-05,"[3, 4]","[1.645647171244491e-05, 5.905285433982499e-05]",0.00044393775169737637,"(6437, 11, 8038)","[(6437, 4, 66), (6437, 2, 29), (6437, 3, 6438)]"
all,1,24.0,9,3.3313589781203135e-07,"[25, 23]","[1.3461877168552405e-09, 6.649256079072074e-07]",0.0007060354109853506,"(6383, 8, 7427)","[(6383, 3, 7), (24690, 8, 7427), (24690, 3, 7), (6383, 2, 68), (23625, 2, 68), (23625, 8, 7427), (6383, 3, 3058), (23625, 3, 3058), (23625, 8, 7427)]"
all,1,5.5,3,5.2501199263588205e-06,"[3, 8]","[9.69360007729847e-06, 8.066397754191712e-07]",5.266637259637719e-08,"(7450, 10, 7830)","[(7450, 2, 31), (7450, 2, 30), (7450, 1, 65)]"
all,1,3.5,3,2.006476279348135e-06,"[2, 5]","[3.1113715976971434e-06, 9.015809609991265e-07]",3.360280231845536e-08,"(6848, 10, 7830)","[(6848, 3, 6), (6848, 3, 7), (6848, 3, 9)]"
all,1,4.0,3,0.007325242663227982,"[2, 6]","[0.014640908688306808, 9.57663814915577e-06]",6.771103926439537e-06,"(4777, 11, 7956)","[(4777, 1, 1054), (4777, 3, 427), (25083, 11, 7956)]"
all,1,4.5,9,0.00023604240732311155,"[4, 5]","[8.967900612333324e-06, 0.00046311691403388977]",0.010452235117554665,"(5411, 8, 7410)","[(5411, 2, 31), (17452, 8, 7410), (17452, 2, 31), (15709, 2, 68), (5411, 2, 68), (15709, 8, 7410), (17452, 2, 68), (17452, 8, 7410), (5411, 2, 68)]"
all,1,4.5,3,2.8870151140836242e-06,"[6, 3]","[7.631964535903535e-07, 5.010833774576895e-06]",1.7677559416284794e-09,"(6853, 10, 7830)","[(6853, 1, 65), (6853, 3, 651), (6853, 3, 6854)]"
all,1,7.0,3,4.837088027898062e-07,"[8, 6]","[4.91342461828026e-07, 4.7607514375158644e-07]",3.598073616828401e-09,"(6383, 10, 7830)","[(6383, 3, 6), (6383, 3, 7), (6383, 3, 9)]"
all,1,6.0,3,3.109685167146381e-06,"[3, 9]","[2.8037293304805644e-06, 3.4156410038121976e-06]",1.2816738490073476e-05,"(7125, 11, 8038)","[(7125, 4, 66), (7125, 2, 1813), (7125, 3, 40)]"
all,1,4.5,3,6.8603469856043375e-06,"[4, 5]","[1.2994605640415102e-05, 7.260883307935728e-07]",5.568748662199141e-08,"(5067, 10, 7830)","[(5067, 3, 6), (5067, 3, 9), (5067, 3, 10)]"
all,1,7.0,3,1.156828943749133e-06,"[7, 7]","[1.267524453396618e-06, 1.0461334341016482e-06]",1.025166298518343e-07,"(7788, 10, 7830)","[(7788, 4, 66), (7788, 3, 40), (7788, 3, 220)]"
all,1,3.0,3,0.00011535740304680075,"[3, 3]","[4.5602060708915815e-05, 0.0001851127453846857]",1.2339714885456488e-05,"(6394, 11, 8038)","[(6394, 3, 7), (6394, 3, 20), (6394, 2, 31)]"
all,1,12.0,5,4.981769461953611e-05,"[20, 4]","[8.049085842287695e-10, 9.9634584330488e-05]",0.00016190372116398066,"(7097, 8, 7567)","[(12800, 3, 10), (7097, 3, 10), (12800, 8, 7567), (10104, 8, 7567), (24162, 8, 7567)]"
all,1,4.5,3,1.0159731687053863e-06,"[2, 7]","[1.462366071791621e-06, 5.695802656191518e-07]",2.871291258088604e-07,"(5627, 10, 7830)","[(5627, 3, 6), (5627, 3, 7), (5627, 3, 9)]"
all,1,5.0,3,0.00019598820699684438,"[4, 6]","[1.4110876691120211e-05, 0.00037786553730256855]",0.00015194447769317776,"(5575, 11, 8038)","[(5575, 1, 2467), (5575, 4, 66), (5575, 2, 27)]"
all,1,4.5,3,8.35755251671344e-07,"[3, 6]","[1.5415288316944498e-06, 1.2998167164823826e-07]",3.285558847210268e-08,"(6004, 10, 7830)","[(6004, 3, 9), (6004, 3, 10), (6004, 2, 31)]"
all,1,6.0,9,9.291837429659111e-05,"[10, 2]","[1.2749247879639825e-08, 0.00018582399934530258]",0.0004571357276290655,"(5110, 8, 7567)","[(5110, 2, 2028), (22400, 2, 2028), (22400, 8, 7567), (12131, 3, 277), (5110, 3, 277), (12131, 8, 7567), (5110, 3, 276), (21063, 8, 7567), (21063, 3, 276)]"
all,1,51.0,5,0.0006285828515179004,"[95, 7]","[1.1828242829636793e-09, 0.0012571645202115178]",0.00033357946085743606,"(7610, 9, 7903)","[(23692, 9, 7903), (19555, 9, 7903), (18547, 9, 7903), (18547, 2, 30), (7610, 2, 30)]"
all,1,3.5,3,3.6713363442686386e-06,"[2, 5]","[5.275531748338835e-06, 2.067140940198442e-06]",4.245953633130739e-08,"(7365, 10, 7830)","[(7365, 3, 6), (7365, 3, 7), (7365, 3, 17)]"
all,1,4.0,3,1.3629393379233079e-05,"[4, 4]","[4.974690455128439e-07, 2.6761317712953314e-05]",0.00016445291112177074,"(5110, 8, 7408)","[(12625, 8, 7408), (15858, 8, 7408), (21537, 8, 7408)]"
all,1,3.5,3,1.4412210447289908e-06,"[2, 5]","[2.56596899816941e-06, 3.164730912885716e-07]",9.861518712739326e-09,"(7125, 10, 7830)","[(7125, 1, 65), (7125, 3, 39), (15463, 10, 7830)]"
all,1,4.0,3,0.00015766607339173788,"[4, 4]","[1.853809408203233e-05, 0.00029679405270144343]",0.00026256981072947383,"(6213, 11, 8038)","[(6213, 3, 6), (6213, 3, 9), (6213, 3, 10)]"
all,1,11.5,3,8.31167359338636e-06,"[15, 8]","[9.882136886574244e-09, 1.6613465049886145e-05]",0.0002039859682554379,"(6137, 8, 7410)","[(19983, 8, 7410), (22811, 8, 7410), (18975, 8, 7410)]"
all,1,5.0,3,1.5679672173973813e-06,"[4, 6]","[2.6000313937402098e-06, 5.359030410545529e-07]",2.7909027977557344e-08,"(4882, 10, 7830)","[(4882, 3, 1), (4882, 3, 6), (4882, 3, 7)]"
all,1,5.0,9,2.622666431673082e-05,"[5, 5]","[2.026422230017033e-08, 5.243306441116147e-05]",0.0007456682506017387,"(5558, 8, 7393)","[(5558, 1, 65), (25753, 1, 65), (25753, 8, 7393), (19798, 3, 149), (5558, 3, 149), (19798, 8, 7393), (23089, 3, 149), (5558, 3, 149), (23089, 8, 7393)]"
all,1,6.5,5,5.6082530235812555e-05,"[8, 5]","[1.4318740682028874e-07, 0.00011202187306480482]",0.002314773853868246,"(5447, 8, 7410)","[(17698, 3, 78), (5447, 3, 78), (17698, 8, 7410), (5447, 3, 17), (5447, 2, 1099)]"
all,1,11.0,7,0.00015244765254301962,"[16, 6]","[1.3362263517890938e-09, 0.00030489396885968745]",0.006617997772991657,"(6427, 8, 7410)","[(7553, 3, 9), (6427, 3, 9), (7553, 8, 7410), (22281, 2, 30), (22281, 8, 7410), (6427, 2, 30), (7553, 8, 7410)]"
all,1,4.0,3,2.1412329829217924e-06,"[4, 4]","[3.7839354263269342e-06, 4.985305395166506e-07]",2.7475641761753877e-09,"(5073, 10, 7830)","[(5073, 3, 6), (5073, 2, 30), (5073, 2, 31)]"
all,1,2.5,9,0.08398738875985146,"[3, 2]","[0.0006363913416862488, 0.16733838617801666]",0.07337050884962082,"(5586, 12, 4492)","[(23140, 3, 78), (23140, 12, 4492), (5586, 3, 78), (5586, 3, 6), (23140, 12, 4492), (23140, 3, 6), (23140, 2, 68), (23140, 12, 4492), (5586, 2, 68)]"
all,1,9.0,9,1.2102603233365983e-05,"[9, 9]","[1.020267781370876e-08, 2.4195003788918257e-05]",0.0023090641479939222,"(7289, 8, 7410)","[(7289, 3, 9), (16023, 3, 9), (16023, 8, 7410), (7289, 3, 39), (9970, 3, 39), (9970, 8, 7410), (22285, 8, 7410), (7289, 3, 39), (22285, 3, 39)]"
all,1,5.5,3,2.203699040137508e-06,"[3, 8]","[4.1384132600796875e-06, 2.689848201953282e-07]",1.1674138988837512e-07,"(5665, 10, 7830)","[(5665, 3, 6), (5665, 3, 7), (5665, 3, 9)]"
all,1,5.5,3,4.713981979875825e-06,"[5, 6]","[4.2882002162514254e-06, 5.139763743500225e-06]",1.0907464265130784e-08,"(7065, 10, 7830)","[(7065, 3, 9), (7065, 3, 10), (7065, 2, 30)]"
all,1,4.5,3,7.3871150902959926e-06,"[2, 7]","[1.2990852155780885e-05, 1.7833780248110997e-06]",1.0917164061652329e-08,"(5133, 10, 7830)","[(5133, 3, 10), (5133, 1, 65), (5133, 4, 485)]"
all,1,1.5,3,0.0023897533283161465,"[1, 2]","[0.004746086895465851, 3.3419761166442186e-05]",0.00012833354412578046,"(6004, 11, 7956)","[(6004, 4, 66), (6004, 3, 220), (6004, 3, 6010)]"
all,1,4.0,3,0.0001508239415670687,"[3, 5]","[1.9304088709759526e-06, 0.0002997174742631614]",0.014452626928687096,"(6205, 8, 7410)","[(6205, 5, 6207), (6205, 3, 460), (6205, 2, 30)]"
all,1,5.0,3,3.6563969842973165e-06,"[4, 6]","[3.2761990951257758e-06, 4.036594873468857e-06]",2.007188548702743e-08,"(6213, 10, 7830)","[(6213, 1, 65), (24276, 10, 7830), (23221, 10, 7830)]"
all,1,12.5,5,3.1943707115011932e-06,"[13, 12]","[1.0186323784466822e-08, 6.37855509921792e-06]",8.857455395627767e-05,"(6213, 8, 7410)","[(22811, 8, 7410), (24786, 8, 7410), (6213, 3, 6), (20420, 3, 6), (20420, 8, 7410)]"
all,1,18.5,3,0.007308887990802759,"[5, 32]","[0.0001069982026820071, 0.014510777778923512]",0.00012008265184704214,"(7536, 12, 4492)","[(16734, 12, 4492), (18099, 12, 4492), (19798, 12, 4492)]"
all,1,8.0,3,1.391174578202481e-06,"[4, 12]","[1.9636659089883324e-06, 8.186832474166295e-07]",5.255751602817327e-06,"(6966, 11, 8038)","[(6966, 3, 4), (6966, 3, 6), (6966, 3, 9)]"
all,1,5.5,3,6.58097711436767e-07,"[4, 7]","[1.1432209703343688e-06, 1.7297445253916521e-07]",2.1284087381445715e-08,"(5920, 10, 7830)","[(5920, 3, 6), (5920, 3, 7), (5920, 3, 9)]"
all,1,7.5,5,1.9741322384803084e-05,"[7, 8]","[4.750383553187021e-08, 3.94351409340743e-05]",0.0003303271369077265,"(6105, 8, 7393)","[(24058, 8, 7393), (11465, 8, 7393), (9020, 8, 7393), (6105, 3, 2350), (9020, 3, 2350)]"
all,1,2.0,3,0.007478893006918952,"[1, 3]","[0.01439746469259262, 0.0005603213212452829]",6.464199395850301e-05,"(7788, 11, 7956)","[(7788, 4, 66), (7788, 2, 31), (7788, 3, 666)]"
all,1,5.5,3,2.905372710415577e-06,"[4, 7]","[5.44387694390025e-06, 3.6686847693090385e-07]",8.774312831860698e-09,"(5269, 10, 7830)","[(5269, 1, 65), (5269, 2, 728), (5269, 3, 5272)]"
all,1,4.0,3,5.710126131930338e-06,"[3, 5]","[1.1108284525107592e-05, 3.119677387530828e-07]",4.383919005590542e-08,"(4912, 10, 7830)","[(4912, 3, 6), (4912, 3, 7), (4912, 3, 20)]"
all,1,6.0,3,5.082252028643097e-05,"[5, 7]","[2.2132736887670035e-07, 0.00010142371320398524]",0.0005842457758262753,"(4882, 8, 7410)","[(8704, 8, 7410), (21472, 8, 7410), (20364, 8, 7410)]"
all,1,2.0,3,0.0006959111669857521,"[2, 2]","[8.317919127875939e-05, 0.0013086431426927447]",0.00025431104586459696,"(7788, 11, 8038)","[(7788, 3, 9), (7788, 3, 10), (7788, 2, 27)]"
all,1,2.0,3,0.009581577923199802,"[2, 2]","[0.019135301932692528, 2.7853913707076572e-05]",5.2181261708028615e-05,"(7177, 11, 7956)","[(7177, 4, 169), (7177, 2, 31), (7177, 3, 40)]"
all,1,3.5,3,1.502890739857321e-06,"[3, 4]","[2.46224999500555e-06, 5.435314847090922e-07]",5.526598068072985e-10,"(7182, 10, 7830)","[(7182, 3, 1), (7182, 3, 7), (7182, 3, 20)]"
all,1,8.5,5,4.236781945721191e-05,"[10, 7]","[8.08688795927992e-08, 8.465477003483102e-05]",0.0038276715204119682,"(7080, 8, 7410)","[(16729, 8, 7410), (21960, 3, 37), (7080, 3, 37), (21960, 8, 7410), (20319, 8, 7410)]"
all,1,8.0,5,3.841171708707236e-06,"[10, 6]","[2.258176756697594e-08, 7.659761649847496e-06]",0.00022191622701939195,"(4870, 8, 7593)","[(10104, 8, 7593), (17481, 8, 7593), (20885, 3, 40), (4870, 3, 40), (20885, 8, 7593)]"
all,1,3.5,3,9.045838140764317e-07,"[2, 5]","[1.5011723917268682e-06, 3.0799523642599524e-07]",1.0150869478309232e-08,"(5897, 10, 7830)","[(5897, 3, 9), (5897, 3, 10), (5897, 2, 31)]"
all,1,2.0,3,0.014280869969297783,"[2, 2]","[0.028516091406345367, 4.5648532250197604e-05]",3.7333531508920714e-05,"(7289, 11, 7956)","[(7289, 2, 31), (7289, 3, 39), (7289, 3, 78)]"
all,1,4.5,3,6.536420187330805e-07,"[3, 6]","[8.082121780716989e-07, 4.990718593944621e-07]",9.579575355189718e-09,"(5586, 10, 7830)","[(5586, 2, 30), (5586, 3, 149), (5586, 1, 65)]"
