exp_length,original_rank,prediction,new_scores,new_ranks,new_rank,original_score,facts,new_score,exp
3,1,"(7706, 17, 1002)",[8.367504],[1],1.0,8.005735,"[([(4646, 25, 62), (7706, 25, 62), (4646, 17, 1002)], 0.3867998, 'xrule'), ({(7706, 17, 60), (138, 42, 7706), (1374, 20, 7706), (7706, 41, 212)}, 0.22942356346508097, 'baseline'), ({(7706, 17, 60), (138, 42, 7706), (7706, 41, 212), (985, 42, 7706)}, 0.2215290474244592, 'baseline'), ({(7706, 17, 60), (138, 42, 7706), (1374, 20, 7706), (985, 42, 7706)}, 0.22064022298343344, 'baseline'), ({(7706, 17, 60), (138, 42, 7706), (7706, 48, 32), (1374, 20, 7706)}, 0.21283821334310757, 'baseline'), ({(7706, 17, 60), (138, 42, 7706), (7706, 48, 32), (7706, 41, 212)}, 0.21245006793004323, 'baseline'), ({(138, 42, 7706), (7706, 41, 212), (1374, 20, 7706), (985, 42, 7706)}, 0.2086000846680809, 'baseline'), ({(7706, 17, 60), (138, 42, 7706), (7706, 48, 32), (985, 42, 7706)}, 0.2036981986798242, 'baseline'), ({(7706, 17, 60), (1374, 20, 7706), (7706, 41, 212), (985, 42, 7706)}, 0.20129207835708215, 'baseline'), ({(138, 42, 7706), (7706, 48, 32), (1374, 20, 7706), (7706, 41, 212)}, 0.20074466928824874, 'baseline'), ({(138, 42, 7706), (7706, 17, 60), (5392, 76, 7706), (1374, 20, 7706)}, 0.19685940012207603, 'baseline')]",8.367504,"[(4646, 25, 62), (7706, 25, 62), (4646, 17, 1002)]"
7,1,"(2494, 85, 434)",[8.0708475],[1],1.0,8.090952,"[([(1445, 205, 1080), (1445, 62, 1080), (1080, 54, 1445), (1445, 133, 1080), (2494, 48, 1080), (1080, 15, 1445), (434, 161, 1445)], 1.0705004, 'xrule'), ({(2494, 48, 32), (2494, 48, 1080), (2494, 24, 1445)}, 0.356674235598793, 'baseline'), ({(2494, 24, 1445), (2494, 48, 32), (2494, 48, 1080), (2934, 8, 2494)}, 0.35433105781742624, 'baseline'), ({(2494, 192, 2500), (2494, 48, 32), (2494, 48, 1080), (2494, 24, 1445)}, 0.3530493195094441, 'baseline'), ({(2500, 192, 2494), (2494, 48, 32), (2494, 48, 1080), (2494, 24, 1445)}, 0.351191561927401, 'baseline'), ({(2494, 24, 1445), (2494, 48, 32), (2494, 48, 1080), (2494, 8, 360)}, 0.34430698701307705, 'baseline'), ({(2494, 24, 1445), (2494, 48, 32), (2494, 48, 1080), (2494, 45, 4028)}, 0.3436842376368318, 'baseline'), ({(5700, 84, 2494), (2494, 48, 32), (2494, 48, 1080), (2494, 24, 1445)}, 0.34345630952607015, 'baseline'), ({(360, 8, 2494), (2494, 48, 32), (2494, 48, 1080), (2494, 24, 1445)}, 0.34232525173746803, 'baseline'), ({(4028, 45, 2494), (2494, 48, 32), (2494, 48, 1080), (2494, 24, 1445)}, 0.3402204924962192, 'baseline'), ({(4181, 84, 2494), (2494, 48, 32), (2494, 48, 1080), (2494, 24, 1445)}, 0.3396625930330502, 'baseline')]",8.0708475,"[(1080, 54, 1445), (434, 161, 1445), (1445, 205, 1080), (1445, 62, 1080), (1445, 133, 1080), (2494, 48, 1080), (1080, 15, 1445)]"
4,1,"(5672, 26, 64)",[7.3991313],[1],1.0,7.616864,"[([(8293, 26, 64), (5672, 28, 32), (5672, 13, 32), (8293, 13, 32)], 0.7564001, 'xrule'), ({(5672, 14, 160), (5672, 31, 1211), (5672, 26, 1960), (5672, 26, 1098)}, 0.3932152209939866, 'baseline'), ({(5672, 14, 160), (5672, 31, 1211), (5672, 28, 32), (5672, 26, 1098)}, 0.3907223163203349, 'baseline'), ({(5672, 14, 160), (5672, 31, 1211), (658, 2, 5672), (5672, 26, 1098)}, 0.376247447450623, 'baseline'), ({(5672, 14, 160), (5672, 31, 1211), (5672, 26, 1098), (5672, 106, 592)}, 0.37330822316718076, 'baseline'), ({(5672, 31, 1211), (5672, 26, 1960), (5672, 28, 32), (5672, 26, 1098)}, 0.3684254106590675, 'baseline'), ({(5672, 14, 160), (5672, 31, 1211), (268, 32, 5672), (5672, 26, 1098)}, 0.3610697205883254, 'baseline'), ({(658, 2, 5672), (5672, 31, 1211), (5672, 26, 1960), (5672, 26, 1098)}, 0.35944656688226106, 'baseline'), ({(5672, 31, 1211), (5672, 26, 1960), (5672, 26, 1098), (5672, 106, 592)}, 0.35931972820610925, 'baseline'), ({(5672, 14, 160), (5672, 26, 1098), (5672, 26, 1960), (5672, 28, 32)}, 0.35913566907948863, 'baseline'), ({(5672, 31, 1211), (5672, 26, 1960), (5672, 26, 1098)}, 0.2866650035680029, 'baseline')]",7.3991313,"[(8293, 26, 64), (5672, 28, 32), (5672, 13, 32), (8293, 13, 32)]"
11,1,"(3350, 48, 32)",[6.7451706],[1],1.0,8.392536,"[({(3350, 17, 862), (3350, 85, 434), (3350, 43, 384), (3350, 17, 1002)}, 2.25765812141947, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (3350, 24, 1327), (3350, 17, 1002)}, 2.0669880916590553, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (3350, 17, 1192), (3350, 17, 1002)}, 1.9039746217141391, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (3350, 24, 1327), (3350, 43, 384)}, 1.6921807097541401, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (3350, 43, 384), (3350, 17, 1192)}, 1.5674687132471736, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (3350, 17, 1002)}, 1.556526253618596, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (3350, 6, 4497), (3350, 17, 1002)}, 1.5203791343574016, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (11316, 1, 3350), (3350, 17, 1002)}, 1.5100355822899656, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (3350, 24, 1327), (3350, 17, 1192)}, 1.5028553680341306, 'baseline'), ({(3350, 17, 862), (3350, 85, 434), (3350, 6, 6439), (3350, 17, 1002)}, 1.4978714658544534, 'baseline'), ([(9323, 133, 32), (3350, 85, 434), (32, 15, 9323), (434, 161, 9323)], 1.0749998, 'xrule')]",6.7451706,"[(8188, 48, 32), (12820, 17, 862), (12820, 48, 32), (3350, 85, 434), (434, 161, 32), (10159, 48, 32), (3350, 17, 862), (3350, 17, 1002), (8188, 43, 384), (3350, 43, 384), (10159, 17, 1002)]"
4,1,"(6933, 25, 62)",[5.683578],[1],1.0,5.3587217,"[([(13066, 150, 382), (13066, 25, 62), (6933, 135, 382), (382, 15, 6933)], 0.9613, 'xrule'), ({(382, 15, 6933), (1124, 15, 6933)}, 0.7785826193358167, 'baseline'), ({(1124, 15, 6933)}, 0.3429382259099383, 'baseline'), ({(382, 15, 6933)}, 0.25453047050651606, 'baseline'), ({(434, 161, 6933)}, 0.19402984839791806, 'baseline'), ({(6933, 133, 1124)}, 0.08630422786022103, 'baseline'), ({(8925, 160, 6933)}, 0.04236392207244916, 'baseline'), ({(6933, 154, 5054)}, 0.026160995450134842, 'baseline'), ({(6933, 94, 1495)}, 0.018702308602084827, 'baseline'), ({(5570, 83, 6933)}, 0.003590146978564502, 'baseline')]",5.683578,"[(13066, 150, 382), (13066, 25, 62), (6933, 135, 382), (382, 15, 6933)]"
8,1,"(10762, 25, 62)",[9.775982],[1],1.0,7.438649,"[({(10762, 62, 7983), (1080, 15, 10762), (10762, 154, 2620)}, 3.517329096325302, 'baseline'), ({(10762, 62, 7983), (1080, 15, 10762)}, 2.703915289319436, 'baseline'), ({(1080, 15, 10762)}, 1.7662704793380586, 'baseline'), ({(1080, 15, 10762), (10762, 154, 2620)}, 1.6975897123060713, 'baseline'), ({(1080, 15, 10762), (7983, 15, 10762)}, 1.538040706649122, 'baseline'), ([(10252, 25, 62), (1080, 15, 10762), (10252, 13, 1080)], 1.1660998, 'xrule'), ({(10762, 62, 7983)}, 0.5934787232838075, 'baseline'), ({(10762, 62, 7983), (10762, 154, 2620)}, 0.1968589232932988, 'baseline'), ({(10762, 62, 7983), (7983, 15, 10762)}, 0.0349769992175673, 'baseline'), ({(10762, 154, 2620)}, -0.5892266791612208, 'baseline'), ({(7983, 15, 10762)}, -0.6452164207065214, 'baseline')]",9.775982,"[(1080, 15, 12003), (10762, 62, 7983), (12003, 25, 62), (1080, 15, 10762), (7983, 25, 62), (10958, 25, 62), (10958, 154, 2620), (10762, 154, 2620)]"
9,1,"(1892, 26, 1098)",[7.1799254],[1],1.0,7.2906313,"[({(1892, 28, 32), (1892, 26, 1881), (1892, 26, 1960), (1892, 26, 990)}, 0.3156090192964498, 'baseline'), ({(1892, 26, 1881), (1892, 28, 32), (2116, 7, 1892), (1892, 26, 990)}, 0.27235130569102334, 'baseline'), ({(326, 6, 1892), (1892, 26, 1960), (1892, 28, 32), (1892, 26, 990)}, 0.26121429696473114, 'baseline'), ({(1892, 26, 1881), (1892, 28, 32), (1892, 116, 527), (1892, 26, 990)}, 0.2599735666847394, 'baseline'), ({(1892, 26, 1881), (1892, 28, 32), (1892, 26, 990)}, 0.25761608376122813, 'baseline'), ({(1892, 84, 1917), (1892, 26, 1881), (1892, 28, 32), (1892, 26, 990)}, 0.25211242927687827, 'baseline'), ({(326, 6, 1892), (1892, 26, 1881), (1892, 26, 1960), (1892, 26, 990)}, 0.2513752389797627, 'baseline'), ({(1892, 26, 1881), (1892, 28, 32), (7642, 6, 1892), (1892, 26, 990)}, 0.25022320040293966, 'baseline'), ({(1892, 26, 1960), (1892, 28, 32), (2116, 7, 1892), (1892, 26, 990)}, 0.24711040742535037, 'baseline'), ({(1892, 26, 1881), (1892, 28, 32), (2937, 6, 1892), (1892, 26, 990)}, 0.24693302403091597, 'baseline'), ([(500, 26, 1098), (1905, 6, 500), (1905, 6, 1892)], 0.13980007, 'xrule')]",7.1799254,"[(13009, 26, 1960), (13009, 26, 1098), (1892, 26, 1881), (1892, 28, 32), (1892, 26, 990), (13009, 26, 1881), (13009, 13, 32), (13009, 26, 990), (1892, 26, 1960)]"
8,1,"(6342, 13, 1682)",[6.085584],[1],1.0,5.9206314,"[([(7467, 139, 90), (1682, 234, 90), (7467, 219, 90), (1682, 219, 90), (1682, 139, 90), (6342, 13, 7467), (7467, 206, 90), (1682, 206, 90)], 0.8913002, 'xrule'), ({(6342, 13, 834), (6342, 13, 2282), (6342, 13, 1934), (6342, 13, 202)}, 0.19740967023947445, 'baseline'), ({(6342, 13, 1046), (6342, 13, 834), (6342, 13, 2282), (6342, 13, 202)}, 0.19353203042983483, 'baseline'), ({(6342, 13, 1046), (6342, 13, 2282), (6342, 13, 1934), (6342, 13, 202)}, 0.19349006876781422, 'baseline'), ({(6342, 13, 834), (6342, 13, 2282), (6342, 13, 202)}, 0.15070060939488497, 'baseline'), ({(6342, 13, 2282), (6342, 13, 1934), (6342, 13, 202)}, 0.14964012352950595, 'baseline'), ({(6342, 13, 834), (6342, 13, 1934), (6342, 13, 202)}, 0.1475887700860212, 'baseline'), ({(6342, 13, 1046), (6342, 13, 2282), (6342, 13, 202)}, 0.14616398064976646, 'baseline'), ({(6342, 13, 1046), (6342, 13, 1934), (6342, 13, 202)}, 0.14259056294185854, 'baseline'), ({(6342, 13, 1046), (6342, 13, 834), (6342, 13, 202)}, 0.1424904271520227, 'baseline'), ({(6342, 13, 119), (6342, 13, 2282), (6342, 13, 202)}, 0.13241008964163, 'baseline')]",6.085584,"[(7467, 139, 90), (1682, 234, 90), (7467, 219, 90), (1682, 219, 90), (1682, 139, 90), (6342, 13, 7467), (7467, 206, 90), (1682, 206, 90)]"
11,1,"(12508, 17, 2123)",[5.7178955],[3],3.0,6.6341934,"[({(12508, 43, 141), (12508, 17, 60), (12508, 17, 1002), (12508, 41, 138)}, 0.7323427656639658, 'baseline'), ({(12508, 43, 141), (12508, 17, 60), (12508, 17, 1002), (1374, 20, 12508)}, 0.7050466989413813, 'baseline'), ({(12508, 43, 141), (12508, 17, 60), (12508, 17, 1002), (12508, 41, 139)}, 0.6720600575333971, 'baseline'), ({(12508, 17, 60), (12508, 17, 1002), (1374, 20, 12508), (12508, 41, 138)}, 0.6525145021005567, 'baseline'), ({(12508, 17, 60), (12508, 17, 1002), (12508, 41, 138), (12508, 41, 139)}, 0.6447630371676004, 'baseline'), ({(12508, 43, 141), (12508, 17, 60), (12508, 17, 2424), (12508, 17, 1002)}, 0.6367187942104423, 'baseline'), ({(12508, 43, 141), (12508, 17, 60), (12508, 17, 2424), (12508, 41, 138)}, 0.6152744732031863, 'baseline'), ({(12508, 17, 60), (12508, 17, 1002), (1374, 20, 12508), (12508, 41, 139)}, 0.5974655588114236, 'baseline'), ({(12508, 43, 141), (12508, 17, 60), (12508, 17, 2424), (1374, 20, 12508)}, 0.5719004111280053, 'baseline'), ({(12508, 43, 141), (12508, 17, 60), (12508, 17, 1002)}, 0.5471888018998841, 'baseline'), ([(8298, 41, 138), (8298, 17, 2123), (12508, 41, 138), (138, 42, 12508)], 0.2908001, 'xrule')]",5.7178955,"[(12508, 17, 60), (138, 42, 5203), (7323, 17, 2123), (12508, 17, 1002), (5203, 17, 2123), (2123, 181, 1002), (7323, 43, 141), (8666, 17, 60), (12508, 43, 141), (8666, 17, 2123), (12508, 41, 138)]"
6,1,"(2457, 13, 382)",[6.098082],[1],1.0,6.046425,"[([(2457, 28, 32), (2457, 13, 32), (382, 152, 119), (119, 218, 32), (32, 152, 119), (119, 152, 32)], 0.3699999, 'xrule'), ({(2457, 13, 32), (2457, 13, 1080)}, 0.09160427287938697, 'baseline'), ({(2457, 13, 1080)}, 0.05308918184613766, 'baseline'), ({(2457, 13, 637)}, 0.05188183017232641, 'baseline'), ({(2457, 13, 181)}, 0.04413894839788072, 'baseline'), ({(2457, 13, 32)}, 0.03791240881048641, 'baseline'), ({(2457, 13, 308)}, 0.03717712587375824, 'baseline'), ({(2457, 13, 853)}, 0.03112320130480155, 'baseline'), ({(2457, 13, 119)}, 0.027473489689627775, 'baseline'), ({(2457, 13, 1046)}, 0.024721185640297603, 'baseline'), ({(2457, 34, 90)}, 0.022361795370711122, 'baseline')]",6.098082,"[(2457, 28, 32), (2457, 13, 32), (382, 152, 119), (32, 152, 119), (119, 152, 32), (119, 218, 32)]"
11,1,"(7327, 17, 215)",[5.631138],[2],2.0,6.6937075,"[({(7327, 85, 434), (7327, 17, 862), (7327, 43, 141), (7327, 17, 393)}, 1.0877080494068523, 'baseline'), ({(7327, 48, 32), (7327, 85, 434), (7327, 17, 862), (7327, 17, 393)}, 1.032687715664521, 'baseline'), ({(7327, 48, 32), (7327, 17, 862), (7327, 43, 141), (7327, 17, 393)}, 1.00675826406367, 'baseline'), ({(7327, 85, 434), (7327, 17, 862), (53, 22, 7327), (7327, 17, 393)}, 1.0055184873926948, 'baseline'), ({(7327, 17, 862), (53, 22, 7327), (7327, 43, 141), (7327, 17, 393)}, 0.9785333183328297, 'baseline'), ({(7327, 100, 160), (7327, 85, 434), (7327, 17, 862), (7327, 17, 393)}, 0.9711728598187884, 'baseline'), ({(7327, 48, 32), (7327, 17, 862), (53, 22, 7327), (7327, 17, 393)}, 0.9637198948550493, 'baseline'), ({(3169, 22, 7327), (7327, 85, 434), (7327, 17, 862), (7327, 17, 393)}, 0.9474373360153879, 'baseline'), ({(7327, 100, 160), (7327, 17, 862), (7327, 43, 141), (7327, 17, 393)}, 0.9468594093608894, 'baseline'), ({(7327, 85, 434), (7327, 17, 862), (7327, 82, 1771), (7327, 17, 393)}, 0.9390688437578021, 'baseline'), ([(7327, 100, 160), (4378, 100, 160), (4378, 17, 215)], 0.44799995, 'xrule')]",5.631138,"[(13205, 17, 393), (7327, 43, 141), (13205, 43, 141), (13205, 17, 215), (7327, 17, 393), (7327, 17, 862), (9660, 85, 434), (9660, 17, 215), (14213, 17, 862), (7327, 85, 434), (14213, 17, 215)]"
4,1,"(1127, 10, 6315)",[5.9006534],[3],3.0,6.301168,"[([(1127, 47, 4130), (4130, 19, 1654), (1654, 10, 6315), (4130, 19, 1127)], 1.2523003, 'xrule'), ({(1127, 47, 670), (670, 19, 1127), (1127, 10, 4121), (1127, 10, 6066)}, 0.032259027424211016, 'baseline'), ({(1127, 47, 670), (1127, 7, 1335), (1127, 10, 4121), (1127, 10, 6066)}, 0.027805368398185953, 'baseline'), ({(1127, 47, 670), (1127, 10, 468), (1127, 10, 6066), (1127, 10, 4121)}, 0.027000467227995192, 'baseline'), ({(1127, 10, 6066), (1127, 7, 1335), (670, 19, 1127), (1127, 10, 4121)}, 0.02601055328996147, 'baseline'), ({(1127, 10, 468), (670, 19, 1127), (1127, 10, 4121), (1127, 10, 6066)}, 0.02482418243431177, 'baseline'), ({(1127, 7, 296), (1127, 47, 670), (1127, 10, 6066), (1127, 10, 4121)}, 0.02429966156015984, 'baseline'), ({(1127, 7, 1608), (1127, 47, 670), (1127, 10, 6066), (1127, 10, 4121)}, 0.023794214216247826, 'baseline'), ({(1127, 47, 670), (1127, 7, 440), (1127, 10, 6066), (1127, 10, 4121)}, 0.023450891416974026, 'baseline'), ({(1127, 7, 296), (670, 19, 1127), (1127, 10, 4121), (1127, 10, 6066)}, 0.022531549417902037, 'baseline'), ({(1127, 47, 670), (1127, 10, 6066), (1127, 10, 4121), (1127, 7, 2502)}, 0.02223400301980559, 'baseline')]",5.9006534,"[(1127, 47, 4130), (4130, 19, 1654), (1654, 10, 6315), (4130, 19, 1127)]"
10,1,"(8758, 19, 1724)",[6.7772465],[2],2.0,7.7758446,"[({(8758, 48, 1928), (8758, 82, 8686), (8758, 19, 4418), (8758, 6, 4975)}, 1.986632441449234, 'baseline'), ({(8758, 82, 8686), (8758, 17, 5529), (8758, 19, 4418), (8758, 6, 4975)}, 1.860519495018777, 'baseline'), ({(8758, 82, 8759), (8758, 82, 8686), (8758, 19, 4418), (8758, 6, 4975)}, 1.8334437258676113, 'baseline'), ({(8758, 48, 1928), (8758, 17, 5529), (8758, 19, 4418), (8758, 6, 4975)}, 1.8273592833656542, 'baseline'), ({(8758, 17, 862), (8758, 82, 8686), (8758, 19, 4418), (8758, 6, 4975)}, 1.8068638673564525, 'baseline'), ({(8758, 48, 1928), (8758, 82, 8759), (8758, 19, 4418), (8758, 6, 4975)}, 1.7994747983012864, 'baseline'), ({(11663, 165, 8758), (8758, 17, 5529), (8758, 19, 4418), (8758, 6, 4975)}, 1.7917404991028565, 'baseline'), ({(11663, 165, 8758), (8758, 82, 8686), (8758, 19, 4418), (8758, 6, 4975)}, 1.7864094593688695, 'baseline'), ({(8758, 17, 862), (8758, 48, 1928), (8758, 19, 4418), (8758, 6, 4975)}, 1.7620211446903875, 'baseline'), ({(11663, 165, 8758), (8758, 48, 1928), (8758, 19, 4418), (8758, 6, 4975)}, 1.7529288132994778, 'baseline'), ([(1724, 7, 2382), (2382, 30, 1724), (4418, 7, 2382), (8758, 19, 4418)], 0.27369976, 'xrule')]",6.7772465,"[(13176, 19, 1724), (8758, 19, 4418), (8758, 6, 4975), (9918, 19, 4418), (1724, 7, 4975), (13176, 48, 1928), (8758, 82, 8686), (1724, 47, 9918), (9918, 82, 8686), (8758, 48, 1928)]"
11,1,"(9376, 25, 62)",[7.1213493],[1],1.0,7.0566015,"[({(1019, 89, 9376), (9376, 61, 3360), (9376, 61, 2940), (9376, 124, 2846)}, 0.9474287529424881, 'baseline'), ({(9376, 124, 2846), (3181, 89, 9376), (9376, 61, 2940), (9376, 61, 3360)}, 0.9242318168205707, 'baseline'), ({(3830, 63, 9376), (9376, 61, 3360), (9376, 61, 2940), (9376, 124, 2846)}, 0.9192083372479422, 'baseline'), ({(1019, 89, 9376), (3181, 89, 9376), (9376, 61, 2940), (9376, 124, 2846)}, 0.8688669684972584, 'baseline'), ({(9376, 124, 2846), (9376, 61, 3360), (9376, 166, 5422), (9376, 61, 2940)}, 0.8674874786025275, 'baseline'), ({(9376, 124, 2846), (9376, 166, 5422), (3830, 63, 9376), (9376, 108, 5422)}, 0.8635688307410831, 'baseline'), ({(9376, 124, 2846), (9376, 61, 3360), (9376, 61, 2940), (9376, 108, 5422)}, 0.8447454451555126, 'baseline'), ({(9376, 124, 2846), (9376, 166, 5422), (9376, 61, 2940), (9376, 108, 5422)}, 0.824852275351463, 'baseline'), ({(3830, 63, 9376), (3181, 89, 9376), (9376, 61, 2940), (9376, 124, 2846)}, 0.8148873322646711, 'baseline'), ({(1019, 89, 9376), (9376, 124, 2846), (9376, 61, 2940), (3830, 63, 9376)}, 0.7974660863906593, 'baseline'), ([(9406, 25, 62), (9376, 166, 5422), (9406, 166, 5422), (9376, 108, 5422)], 0.48999977, 'xrule')]",7.1213493,"[(13973, 25, 62), (9376, 61, 3360), (1019, 89, 9376), (12908, 124, 2846), (9376, 61, 2940), (13973, 95, 2940), (12908, 25, 62), (9545, 25, 62), (9376, 124, 2846), (1019, 89, 9545), (13973, 95, 3360)]"
4,1,"(1658, 26, 990)",[6.832684],[1],1.0,6.9488378,"[([(1658, 13, 32), (6617, 26, 990), (1658, 28, 32), (6617, 28, 32)], 0.77610016, 'xrule'), ({(1658, 31, 657), (1658, 26, 342), (1658, 28, 32), (1658, 31, 4)}, 0.34729484866362076, 'baseline'), ({(1658, 26, 342), (1658, 34, 90), (1658, 28, 32), (1658, 31, 4)}, 0.3317709380107947, 'baseline'), ({(1658, 31, 657), (1658, 26, 342), (1658, 34, 90), (1658, 31, 4)}, 0.32861904440966605, 'baseline'), ({(1658, 31, 657), (1658, 26, 342), (982, 7, 1658), (1658, 31, 4)}, 0.3235903196850358, 'baseline'), ({(982, 7, 1658), (1658, 26, 342), (1658, 28, 32), (1658, 31, 4)}, 0.32221798234994115, 'baseline'), ({(1658, 31, 657), (1658, 26, 342), (1658, 34, 90), (1658, 28, 32)}, 0.3126402310830352, 'baseline'), ({(982, 7, 1658), (1658, 26, 342), (1658, 34, 90), (1658, 31, 4)}, 0.3043117932503081, 'baseline'), ({(1658, 31, 657), (1658, 26, 342), (982, 7, 1658), (1658, 28, 32)}, 0.3028421811232431, 'baseline'), ({(4362, 6, 1658), (1658, 26, 342), (1658, 28, 32), (1658, 31, 4)}, 0.2958555630633832, 'baseline'), ({(1658, 31, 657), (4362, 6, 1658), (1658, 26, 342), (1658, 31, 4)}, 0.29374698910145, 'baseline')]",6.832684,"[(1658, 13, 32), (6617, 26, 990), (1658, 28, 32), (6617, 28, 32)]"
2,1,"(3577, 48, 32)",[6.466936],[1],1.0,6.6759186,"[([(1652, 133, 32), (3577, 66, 1652)], 0.74970007, 'xrule'), ({(4877, 22, 3577), (3577, 66, 4986), (3577, 38, 364), (3577, 66, 3796)}, 0.3335147315075148, 'baseline'), ({(3577, 66, 4986), (4877, 22, 3577), (3577, 6, 5432), (3577, 66, 3796)}, 0.3308725768212163, 'baseline'), ({(4877, 22, 3577), (3577, 66, 4986), (3577, 66, 3796)}, 0.3275342398691602, 'baseline'), ({(80, 3, 3577), (4877, 22, 3577), (3577, 66, 4986), (3577, 66, 3796)}, 0.3270821982148307, 'baseline'), ({(80, 8, 3577), (4877, 22, 3577), (3577, 66, 4986), (3577, 66, 3796)}, 0.32606558137755237, 'baseline'), ({(3333, 8, 3577), (4877, 22, 3577), (3577, 66, 4986), (3577, 66, 3796)}, 0.317765753739616, 'baseline'), ({(3577, 66, 4986), (4877, 22, 3577), (3577, 8, 988), (3577, 66, 3796)}, 0.3173242025561605, 'baseline'), ({(4877, 22, 3577), (3577, 66, 4986), (3577, 8, 2380), (3577, 66, 3796)}, 0.3081975392549518, 'baseline'), ({(3577, 8, 9514), (4877, 22, 3577), (3577, 66, 4986), (3577, 66, 3796)}, 0.306974451952678, 'baseline'), ({(4877, 22, 3577), (3577, 66, 4986), (1367, 3, 3577), (3577, 66, 3796)}, 0.30366806310016237, 'baseline')]",6.466936,"[(1652, 133, 32), (3577, 66, 1652)]"
5,1,"(2016, 17, 60)",[6.718231],[1],1.0,6.498813,"[([(2016, 66, 592), (7301, 160, 592), (2016, 160, 592), (592, 122, 2016), (7301, 17, 60)], 0.09299946, 'xrule'), ({(4325, 8, 2016), (1920, 21, 2016), (792, 8, 2016), (2016, 8, 4325)}, 0.03815607257219951, 'baseline'), ({(4325, 3, 2016), (1920, 21, 2016), (792, 8, 2016), (2016, 8, 4325)}, 0.037484209038068046, 'baseline'), ({(4325, 8, 2016), (4325, 3, 2016), (1920, 21, 2016), (2016, 8, 4325)}, 0.03746370500305074, 'baseline'), ({(4325, 8, 2016), (4325, 3, 2016), (1920, 21, 2016), (792, 8, 2016)}, 0.03738741106557783, 'baseline'), ({(4325, 8, 2016), (1920, 21, 2016), (792, 8, 2016), (2016, 3, 4325)}, 0.03675035662507728, 'baseline'), ({(4325, 8, 2016), (1920, 21, 2016), (2016, 8, 4325), (2016, 3, 4325)}, 0.03656200596279342, 'baseline'), ({(1920, 21, 2016), (2016, 3, 4325), (792, 8, 2016), (2016, 8, 4325)}, 0.036519567437036576, 'baseline'), ({(4325, 3, 2016), (1920, 21, 2016), (792, 8, 2016), (2016, 3, 4325)}, 0.03618721193315773, 'baseline'), ({(4325, 3, 2016), (1920, 21, 2016), (2016, 8, 4325), (2016, 3, 4325)}, 0.036108056957725815, 'baseline'), ({(4325, 8, 2016), (4325, 3, 2016), (1920, 21, 2016), (2016, 3, 4325)}, 0.035872022574469, 'baseline')]",6.718231,"[(2016, 66, 592), (7301, 160, 592), (2016, 160, 592), (592, 122, 2016), (7301, 17, 60)]"
3,1,"(5605, 17, 862)",[6.4582214],[1],1.0,6.5098124,"[([(2059, 100, 160), (2059, 17, 862), (5605, 100, 160)], 0.38710022, 'xrule'), ({(5605, 17, 1192)}, 0.20924333803031903, 'baseline'), ({(5605, 77, 1686), (5605, 17, 1192)}, 0.1993112967840751, 'baseline'), ({(5605, 45, 7550), (5605, 17, 1192)}, 0.19367746574919073, 'baseline'), ({(5605, 77, 5293), (5605, 17, 1192)}, 0.19034914236599734, 'baseline'), ({(5293, 77, 5605), (5605, 17, 1192)}, 0.18677524785063215, 'baseline'), ({(5605, 17, 1192), (5605, 164, 2458)}, 0.18526510457029624, 'baseline'), ({(5605, 45, 7550), (5605, 77, 1686), (5605, 17, 1192)}, 0.184382478974314, 'baseline'), ({(5605, 45, 5194), (5605, 17, 1192)}, 0.18420223454874932, 'baseline'), ({(5605, 17, 1192), (5293, 164, 5605)}, 0.18178800802885864, 'baseline'), ({(3441, 123, 5605), (5605, 17, 1192)}, 0.18166259984926236, 'baseline')]",6.4582214,"[(2059, 100, 160), (2059, 17, 862), (5605, 100, 160)]"
