new_ranks,original_rank,exp_length,exp,new_scores,original_score,prediction,new_rank,facts,new_score
[10],1,11,"[(6195, 2, 31), (25757, 2, 31), (6195, 3, 40), (6195, 2, 3219), (25757, 2, 3219), (25757, 3, 40), (6195, 3, 2022), (6195, 1, 65), (25757, 9, 8721), (25757, 3, 2022), (25757, 1, 65)]",[3.96868],6.0124025,"(6195, 9, 8721)",10.0,"[([(6195, 2, 3219), (25757, 2, 3219), (25757, 9, 8721)], 0.7607994, 'xrule'), ([(6195, 2, 31), (25757, 2, 31), (25757, 9, 8721)], 0.6313, 'xrule'), ([(25757, 1, 65), (25757, 9, 8721), (6195, 1, 65)], 0.6264, 'xrule'), ([(6195, 3, 40), (25757, 3, 40), (25757, 9, 8721)], 0.6182995, 'xrule'), ([(25757, 3, 2022), (6195, 3, 2022), (25757, 9, 8721)], 0.6114998, 'xrule'), ({(6195, 2, 3219), (6195, 2, 31), (6195, 3, 2021), (6195, 3, 6197)}, 0.5998602350506599, 'baseline'), ({(6195, 2, 3219), (6195, 3, 2021), (6195, 3, 6197), (6195, 1, 65)}, 0.5795612769717406, 'baseline'), ({(6195, 2, 3219), (6195, 2, 31), (6195, 3, 6200), (6195, 3, 2021)}, 0.5684857801824845, 'baseline'), ({(6195, 2, 3219), (6195, 3, 2021), (6195, 3, 2022), (6195, 3, 6197)}, 0.5626755193065534, 'baseline'), ({(6195, 2, 3219), (6195, 3, 6200), (6195, 3, 2021), (6195, 3, 6197)}, 0.5581803754122786, 'baseline'), ({(6195, 2, 3219), (6195, 2, 31), (6195, 3, 6200), (6195, 3, 6197)}, 0.5579715206777759, 'baseline'), ({(6195, 2, 3219), (6195, 2, 31), (6195, 3, 2021), (6195, 3, 2022)}, 0.5500464870631158, 'baseline'), ({(6195, 2, 3219), (6195, 2, 31), (6195, 3, 6197), (6195, 1, 65)}, 0.5464764071738029, 'baseline'), ({(6195, 2, 3219), (6195, 3, 6200), (6195, 3, 2021), (6195, 1, 65)}, 0.5458770228783583, 'baseline'), ({(6195, 2, 3219), (6195, 3, 6200), (6195, 3, 2021), (6195, 3, 2022)}, 0.5399413538437073, 'baseline')]",3.96868
[2],1,16,"[(2010, 3, 2014), (23410, 9, 2010), (5717, 3, 279), (2010, 3, 2013), (23410, 3, 2014), (24132, 3, 279), (5717, 3, 2014), (5717, 2, 2011), (24132, 2, 4760), (2010, 2, 2011), (5717, 3, 1345), (24132, 3, 1345), (5717, 3, 2013), (24132, 9, 2010), (23410, 2, 2011), (5717, 2, 4760)]",[6.3643384],7.6262035,"(5717, 9, 2010)",2.0,"[([(5717, 3, 2014), (23410, 9, 2010), (23410, 3, 2014)], 0.46399975, 'xrule'), ({(5717, 2, 2011), (5717, 3, 1345), (5717, 3, 2014), (5717, 3, 2013)}, 0.43811420823181996, 'baseline'), ([(5717, 2, 2011), (23410, 2, 2011), (23410, 9, 2010)], 0.43190002, 'xrule'), ({(5717, 2, 2011), (5717, 3, 279), (5717, 3, 2014), (5717, 3, 2013)}, 0.4306230964122636, 'baseline'), ({(5717, 2, 2011), (5717, 2, 4760), (5717, 3, 2014), (5717, 3, 2013)}, 0.4184675634374815, 'baseline'), ([(5717, 3, 40), (23410, 9, 2010), (23410, 3, 40)], 0.40509987, 'xrule'), ({(5717, 3, 2014), (5717, 3, 1345), (5717, 3, 279), (5717, 3, 2013)}, 0.38993744232914207, 'baseline'), ({(5717, 2, 2011), (5717, 3, 2014), (5717, 3, 9), (5717, 3, 2013)}, 0.3897133288779827, 'baseline'), ({(5717, 2, 2011), (5717, 3, 2014), (5717, 3, 6), (5717, 3, 2013)}, 0.38587002134876436, 'baseline'), ({(5717, 2, 2011), (5717, 3, 2014), (5717, 3, 2013), (5717, 3, 78)}, 0.3853245196810707, 'baseline'), ({(5717, 3, 2014), (5717, 3, 1345), (5717, 2, 4760), (5717, 3, 2013)}, 0.38061336848422056, 'baseline'), ({(5717, 2, 2011), (5717, 3, 5723), (5717, 3, 2014), (5717, 3, 2013)}, 0.379791301242879, 'baseline'), ({(5717, 3, 2014), (5717, 2, 4760), (5717, 3, 279), (5717, 3, 2013)}, 0.3738174852347227, 'baseline'), ([(5717, 3, 6), (23410, 9, 2010), (23410, 3, 6)], 0.36419964, 'xrule'), ([(23410, 9, 2010), (23410, 2, 30), (5717, 2, 30)], 0.35919952, 'xrule')]",6.3643384
[1],1,11,"[(25534, 3, 113), (5179, 3, 113), (5179, 2, 2584), (25534, 3, 9), (5179, 3, 9), (5179, 2, 5181), (25534, 9, 13676), (25534, 2, 5181), (25534, 3, 2586), (25534, 2, 2584), (5179, 3, 2586)]",[7.873315],8.899089,"(5179, 9, 13676)",1.0,"[([(25534, 9, 13676), (25534, 3, 2586), (5179, 3, 2586)], 0.4864006, 'xrule'), ([(5179, 3, 113), (25534, 9, 13676), (25534, 3, 113)], 0.4758997, 'xrule'), ([(25534, 9, 13676), (25534, 3, 9), (5179, 3, 9)], 0.46460056, 'xrule'), ([(25534, 9, 13676), (25534, 2, 5181), (5179, 2, 5181)], 0.46420002, 'xrule'), ([(25534, 9, 13676), (25534, 2, 2584), (5179, 2, 2584)], 0.46210003, 'xrule'), ({(5179, 5, 5180), (5179, 2, 5181), (5179, 3, 2586), (5179, 2, 2584)}, 0.3745575365139139, 'baseline'), ({(5179, 5, 5180), (5179, 3, 2586), (5179, 3, 78), (5179, 2, 2584)}, 0.3474064285220882, 'baseline'), ({(5179, 2, 5181), (5179, 3, 2586), (5179, 3, 78), (5179, 2, 2584)}, 0.3397417480070373, 'baseline'), ({(5179, 2, 5181), (5179, 3, 2586), (5179, 3, 5184), (5179, 2, 2584)}, 0.334478419419327, 'baseline'), ({(5179, 5, 5180), (5179, 2, 5181), (5179, 3, 78), (5179, 2, 2584)}, 0.3303032332105236, 'baseline'), ({(5179, 1, 65), (5179, 2, 5181), (5179, 3, 2586), (5179, 2, 2584)}, 0.32405380540279227, 'baseline'), ({(5179, 5, 5180), (5179, 2, 5181), (5179, 3, 5184), (5179, 2, 2584)}, 0.3227005415535532, 'baseline'), ({(5179, 3, 5183), (5179, 2, 5181), (5179, 3, 2586), (5179, 2, 2584)}, 0.3225708418041735, 'baseline'), ({(5179, 3, 56), (5179, 5, 5180), (5179, 3, 2586), (5179, 2, 2584)}, 0.31728462505991006, 'baseline'), ({(5179, 5, 5180), (5179, 2, 5181), (5179, 3, 2586), (5179, 3, 5184)}, 0.31690315534243707, 'baseline')]",7.873315
[2],1,14,"[(4912, 3, 75), (23412, 11, 7869), (24926, 11, 7869), (12997, 3, 2044), (15227, 11, 7869), (4912, 3, 7), (20378, 11, 7869), (4912, 3, 2044), (20378, 3, 75), (12997, 11, 7869), (23412, 3, 2043), (4912, 3, 2043), (15227, 3, 7), (24926, 3, 75)]",[6.228631],7.3935227,"(4912, 11, 7869)",2.0,"[([(4912, 3, 75), (20378, 3, 75), (20378, 11, 7869)], 0.53200054, 'xrule'), ([(23412, 11, 7869), (23412, 3, 2043), (4912, 3, 2043)], 0.49740028, 'xrule'), ([(4912, 3, 75), (24926, 3, 75), (24926, 11, 7869)], 0.4116001, 'xrule'), ([(4912, 3, 2044), (12997, 11, 7869), (12997, 3, 2044)], 0.3945999, 'xrule'), ([(15227, 3, 7), (15227, 11, 7869), (4912, 3, 7)], 0.38440037, 'xrule'), ({(4912, 3, 2044), (4912, 3, 436), (4912, 3, 6), (4912, 3, 2043)}, 0.3842182574354586, 'baseline'), ({(4912, 3, 2044), (4912, 3, 436), (4912, 3, 504), (4912, 3, 2043)}, 0.3792496142332676, 'baseline'), ({(4912, 3, 2044), (4912, 3, 436), (4912, 3, 7), (4912, 3, 2043)}, 0.3762779650355318, 'baseline'), ({(4912, 3, 2044), (4912, 3, 436), (4912, 3, 40), (4912, 3, 2043)}, 0.3710136827667797, 'baseline'), ({(4912, 3, 2044), (4912, 3, 436), (4912, 3, 2966), (4912, 3, 2043)}, 0.362363856641765, 'baseline'), ({(4912, 3, 2044), (4912, 3, 436), (4912, 3, 10), (4912, 3, 2043)}, 0.3528118546223147, 'baseline'), ({(4912, 3, 2044), (4912, 3, 436), (4912, 3, 220), (4912, 3, 2043)}, 0.3457947189497723, 'baseline'), ({(4912, 3, 2044), (4912, 3, 504), (4912, 3, 6), (4912, 3, 2043)}, 0.3450336868349419, 'baseline'), ({(4912, 3, 2044), (4912, 3, 436), (4912, 2, 68), (4912, 3, 2043)}, 0.3438148910479839, 'baseline'), ({(4912, 3, 2044), (4912, 3, 7), (4912, 3, 6), (4912, 3, 2043)}, 0.3408794814674915, 'baseline')]",6.228631
[2],1,19,"[(18479, 2, 31), (6162, 3, 5727), (18317, 3, 5727), (6162, 3, 40), (24132, 3, 88), (6162, 3, 2017), (24132, 3, 149), (18479, 9, 2010), (18479, 2, 30), (2010, 2, 2011), (6162, 3, 149), (6162, 3, 88), (6162, 2, 31), (6162, 2, 2011), (24132, 9, 2010), (18317, 9, 2010), (6162, 2, 30), (24132, 3, 40), (2010, 3, 2017)]",[5.7158275],8.629868,"(6162, 9, 2010)",2.0,"[({(6162, 3, 2017), (6162, 3, 88), (6162, 3, 40), (6162, 3, 149)}, 0.35610203105682237, 'baseline'), ({(6162, 3, 149), (6162, 3, 88), (6162, 3, 40), (6162, 3, 5727)}, 0.3493347580359347, 'baseline'), ([(18479, 9, 2010), (6162, 2, 31), (18479, 2, 31)], 0.34810066, 'xrule'), ([(18479, 9, 2010), (6162, 2, 30), (18479, 2, 30)], 0.34600067, 'xrule'), ({(6162, 3, 149), (6162, 3, 88), (6162, 2, 2011), (6162, 3, 40)}, 0.3441925460632639, 'baseline'), ({(6162, 3, 149), (6162, 3, 88), (6162, 3, 2014), (6162, 3, 40)}, 0.3405056411311089, 'baseline'), ({(6162, 3, 149), (6162, 3, 88), (6162, 3, 2013), (6162, 3, 40)}, 0.3376217299808949, 'baseline'), ({(6162, 3, 88), (6162, 3, 149), (6162, 3, 2012), (6162, 3, 40)}, 0.33758739774210705, 'baseline'), ([(18479, 9, 2010), (18479, 3, 6), (6162, 3, 6)], 0.33530045, 'xrule'), ({(6162, 3, 149), (6162, 3, 88), (6162, 2, 4760), (6162, 3, 40)}, 0.33311275782214744, 'baseline'), ([(24132, 3, 40), (6162, 3, 40), (24132, 9, 2010)], 0.33210087, 'xrule'), ({(6162, 3, 2017), (6162, 3, 88), (6162, 3, 40), (6162, 3, 5727)}, 0.3305616790043821, 'baseline'), ({(6162, 3, 2017), (6162, 3, 88), (6162, 3, 5727), (6162, 3, 149)}, 0.32986645038795037, 'baseline'), ({(6162, 3, 149), (6162, 3, 88), (6162, 3, 6166), (6162, 3, 40)}, 0.3287468367451444, 'baseline'), ([(24132, 3, 88), (6162, 3, 88), (24132, 9, 2010)], 0.32140064, 'xrule')]",5.7158275
[1],1,19,"[(7517, 3, 4), (22399, 3, 5934), (22399, 9, 7759), (17137, 3, 4), (17156, 9, 7759), (7517, 1, 168), (24693, 3, 6), (24693, 9, 7759), (17156, 2, 2271), (7517, 3, 5934), (7517, 3, 293), (7517, 3, 2279), (7517, 3, 6), (20525, 1, 168), (17137, 3, 2279), (7517, 2, 2271), (20525, 3, 293), (17137, 9, 7759), (20525, 9, 7759)]",[8.125394],8.731943,"(7517, 9, 7759)",1.0,"[({(7517, 3, 4), (7517, 2, 2271), (7517, 3, 2279), (7517, 1, 168)}, 0.43383221049432286, 'baseline'), ({(7517, 3, 4), (7517, 3, 5934), (7517, 3, 2279), (7517, 1, 168)}, 0.4305506171570337, 'baseline'), ({(7517, 3, 4), (7517, 3, 293), (7517, 3, 2279), (7517, 1, 168)}, 0.4276161612215729, 'baseline'), ({(7517, 3, 4), (7517, 3, 293), (7517, 3, 2279), (7517, 2, 2271)}, 0.42602352513306135, 'baseline'), ({(7517, 3, 4), (7517, 3, 6), (7517, 3, 2279), (7517, 2, 2271)}, 0.42121891388557575, 'baseline'), ({(7517, 3, 4), (7517, 3, 6), (7517, 3, 2279), (7517, 1, 168)}, 0.4190884054282853, 'baseline'), ({(7517, 3, 4), (7517, 3, 5934), (7517, 3, 2279), (7517, 2, 2271)}, 0.4120827138238794, 'baseline'), ({(7517, 3, 5934), (7517, 2, 2271), (7517, 3, 2279), (7517, 1, 168)}, 0.4109402119805484, 'baseline'), ({(7517, 2, 2271), (7517, 3, 293), (7517, 3, 2279), (7517, 1, 168)}, 0.41036514640575517, 'baseline'), ({(7517, 2, 2271), (7517, 3, 6), (7517, 3, 2279), (7517, 1, 168)}, 0.4079628407756101, 'baseline'), ([(15740, 9, 7759), (7517, 3, 2279), (15740, 3, 2279)], 0.20429993, 'xrule'), ([(7517, 3, 4), (15740, 9, 7759), (15740, 3, 4)], 0.20390034, 'xrule'), ([(15740, 1, 168), (15740, 9, 7759), (7517, 1, 168)], 0.20040035, 'xrule'), ([(15740, 9, 7759), (7517, 3, 6), (15740, 3, 6)], 0.19210052, 'xrule'), ([(15740, 9, 7759), (7517, 3, 293), (15740, 3, 293)], 0.18770027, 'xrule')]",8.125394
[1],1,17,"[(22330, 3, 74), (21899, 3, 40), (5920, 3, 111), (5920, 2, 69), (17052, 2, 69), (17052, 3, 111), (5920, 3, 40), (17052, 3, 532), (5920, 3, 532), (21899, 3, 10), (22330, 9, 8418), (5920, 3, 10), (5920, 3, 74), (21899, 3, 9), (21899, 9, 8418), (5920, 3, 9), (17052, 9, 8418)]",[8.361847],9.054642,"(5920, 9, 8418)",1.0,"[({(5920, 3, 74), (5920, 3, 532), (5920, 3, 111), (5920, 2, 69)}, 0.4505215111669616, 'baseline'), ({(5920, 3, 74), (5920, 2, 69), (5920, 3, 111), (5920, 3, 10)}, 0.4361677588895831, 'baseline'), ({(5920, 3, 74), (5920, 3, 9), (5920, 3, 111), (5920, 2, 69)}, 0.41593174341051214, 'baseline'), ({(5920, 3, 74), (5920, 3, 40), (5920, 3, 111), (5920, 2, 69)}, 0.40890697832504597, 'baseline'), ({(5920, 3, 9), (5920, 2, 69), (5920, 3, 111), (5920, 3, 10)}, 0.40863613482423117, 'baseline'), ({(5920, 3, 532), (5920, 2, 69), (5920, 3, 111), (5920, 3, 10)}, 0.4072952687264367, 'baseline'), ({(5920, 3, 74), (5920, 3, 220), (5920, 3, 111), (5920, 2, 69)}, 0.40605930683611324, 'baseline'), ({(5920, 3, 40), (5920, 2, 69), (5920, 3, 111), (5920, 3, 10)}, 0.40534214372901456, 'baseline'), ({(5920, 3, 220), (5920, 2, 69), (5920, 3, 111), (5920, 3, 10)}, 0.40128712047393406, 'baseline'), ({(5920, 3, 532), (5920, 3, 9), (5920, 3, 111), (5920, 2, 69)}, 0.39675144542312196, 'baseline'), ([(5920, 3, 111), (25113, 9, 8418), (25113, 3, 111)], 0.1534996, 'xrule'), ([(25812, 9, 8418), (25812, 3, 111), (5920, 3, 111)], 0.15069962, 'xrule'), ([(22405, 3, 111), (22405, 9, 8418), (5920, 3, 111)], 0.14039993, 'xrule'), ([(5920, 3, 218), (25113, 9, 8418), (25113, 3, 218)], 0.13739967, 'xrule'), ([(5920, 3, 111), (8674, 9, 8418), (8674, 3, 111)], 0.13700008, 'xrule')]",8.361847
[5],1,19,"[(6822, 3, 1112), (6822, 3, 41), (7869, 3, 2044), (14783, 3, 41), (16127, 11, 7869), (7869, 3, 436), (14783, 2, 30), (6822, 2, 30), (6822, 3, 40), (7869, 3, 2043), (6822, 3, 2044), (6822, 3, 6), (14783, 11, 7869), (6822, 3, 436), (14783, 3, 6), (17218, 3, 40), (16127, 3, 1112), (17218, 11, 7869), (6822, 3, 2043)]",[5.0501957],6.63501,"(6822, 11, 7869)",5.0,"[({(6822, 3, 2043), (6822, 3, 2044), (6822, 3, 436), (6822, 3, 6)}, 0.5031509825285259, 'baseline'), ({(6822, 3, 2043), (6822, 3, 2044), (6822, 3, 436), (6822, 3, 40)}, 0.5002742239285665, 'baseline'), ({(6822, 3, 2043), (6822, 3, 2044), (6822, 3, 436), (6822, 3, 1112)}, 0.4977970548538091, 'baseline'), ({(6822, 3, 2043), (6822, 3, 41), (6822, 3, 2044), (6822, 3, 436)}, 0.477074188568441, 'baseline'), ({(6822, 3, 2043), (6822, 3, 2044), (6822, 3, 436), (6822, 2, 30)}, 0.47663168371291553, 'baseline'), ({(6822, 3, 2043), (6822, 3, 2044), (6822, 3, 436), (6822, 1, 65)}, 0.4690146868679604, 'baseline'), ({(6822, 3, 2043), (6822, 3, 2044), (6822, 3, 436), (6822, 4, 66)}, 0.4669251864349332, 'baseline'), ({(6822, 3, 2043), (6822, 3, 2044), (6822, 3, 436), (6822, 3, 220)}, 0.4653845255371375, 'baseline'), ({(6822, 3, 2043), (6822, 3, 2044), (6822, 3, 1112), (6822, 3, 6)}, 0.4598279420890931, 'baseline'), ({(6822, 3, 2043), (6822, 3, 2044), (6822, 3, 436), (6822, 3, 10)}, 0.4591169778573515, 'baseline'), ([(6822, 3, 2043), (17096, 3, 2043), (17096, 11, 7869)], 0.18109989, 'xrule'), ([(6822, 3, 436), (17096, 11, 7869), (17096, 3, 436)], 0.10560036, 'xrule'), ([(6822, 3, 436), (23983, 11, 7869), (23983, 3, 436)], 0.067700386, 'xrule'), ([(6822, 3, 436), (24159, 3, 436), (24159, 11, 7869)], 0.05870056, 'xrule'), ([(6822, 3, 2043), (23983, 3, 2043), (23983, 11, 7869)], 0.045300484, 'xrule')]",5.0501957
[108],2,11,"[(16696, 3, 6), (16696, 3, 276), (7365, 3, 6), (7365, 3, 276), (7365, 4, 66), (16696, 4, 66), (16696, 3, 277), (16696, 3, 7), (7365, 3, 277), (7365, 3, 7), (16696, 12, 6095)]",[3.0524766],7.641706,"(7365, 12, 6095)",108.0,"[([(16696, 3, 6), (7365, 3, 6), (16696, 12, 6095)], 2.2503, 'xrule'), ([(16696, 3, 7), (7365, 3, 7), (16696, 12, 6095)], 2.2185001, 'xrule'), ([(16696, 3, 276), (7365, 3, 276), (16696, 12, 6095)], 2.2147002, 'xrule'), ([(16696, 3, 277), (7365, 3, 277), (16696, 12, 6095)], 2.2140002, 'xrule'), ([(16696, 4, 66), (7365, 4, 66), (16696, 12, 6095)], 2.2081003, 'xrule'), ({(7365, 3, 6), (7365, 3, 277), (7365, 3, 279), (7365, 3, 2226)}, 0.2691383769150275, 'baseline'), ({(7365, 3, 6), (7365, 3, 91), (7365, 3, 279), (7365, 3, 2226)}, 0.26736835734007613, 'baseline'), ({(7365, 3, 6), (7365, 3, 91), (7365, 3, 279), (7365, 3, 277)}, 0.26536897918090435, 'baseline'), ({(7365, 3, 276), (7365, 3, 6), (7365, 3, 279), (7365, 3, 2226)}, 0.26450447335662225, 'baseline'), ({(7365, 3, 276), (7365, 3, 277), (7365, 3, 6), (7365, 3, 279)}, 0.260675471001378, 'baseline'), ({(7365, 3, 276), (7365, 3, 91), (7365, 3, 6), (7365, 3, 279)}, 0.2597976137689324, 'baseline'), ({(7365, 3, 40), (7365, 3, 6), (7365, 3, 279), (7365, 3, 2226)}, 0.2575569559344123, 'baseline'), ({(7365, 3, 6), (7365, 3, 91), (7365, 3, 2226), (7365, 3, 277)}, 0.25741009010256094, 'baseline'), ({(7365, 3, 6), (7365, 3, 7), (7365, 3, 279), (7365, 3, 2226)}, 0.25729707967698007, 'baseline'), ({(7365, 3, 276), (7365, 3, 277), (7365, 3, 6), (7365, 3, 2226)}, 0.2554340768842812, 'baseline')]",3.0524766
[3],2,17,"[(5110, 3, 2040), (24968, 1, 65), (25592, 3, 2040), (5110, 3, 5113), (24918, 11, 6729), (10439, 2, 788), (5110, 3, 5115), (25592, 11, 6729), (5110, 1, 65), (5110, 2, 788), (24968, 11, 6729), (25172, 3, 5113), (10439, 11, 6729), (25172, 11, 6729), (5110, 3, 2031), (24918, 3, 5115), (25592, 3, 2031)]",[4.9528494],6.395771,"(5110, 11, 6729)",3.0,"[({(5110, 2, 788), (5110, 3, 2040), (5110, 3, 5115), (5110, 1, 65)}, 0.34735683749616075, 'baseline'), ({(5110, 2, 788), (5110, 3, 2040), (5110, 3, 2031), (5110, 1, 65)}, 0.34144977871242893, 'baseline'), ({(5110, 2, 788), (5110, 1, 65), (5110, 3, 2031), (5110, 3, 5115)}, 0.338588755728481, 'baseline'), ({(5110, 2, 788), (5110, 3, 5113), (5110, 3, 5115), (5110, 1, 65)}, 0.33029560382187095, 'baseline'), ({(5110, 2, 788), (5110, 3, 2040), (5110, 3, 2031), (5110, 3, 5115)}, 0.3206191473048344, 'baseline'), ({(5110, 2, 788), (5110, 3, 2040), (5110, 3, 277), (5110, 3, 5115)}, 0.31448463723520553, 'baseline'), ({(5110, 2, 788), (5110, 3, 5113), (5110, 3, 2040), (5110, 1, 65)}, 0.31421474742446576, 'baseline'), ({(5110, 2, 788), (5110, 3, 39), (5110, 3, 2040), (5110, 3, 5115)}, 0.3134632520479281, 'baseline'), ({(5110, 2, 788), (5110, 3, 2031), (5110, 3, 277), (5110, 3, 5115)}, 0.31238846111590945, 'baseline'), ({(5110, 2, 788), (5110, 3, 5113), (5110, 3, 2031), (5110, 1, 65)}, 0.30829338356505087, 'baseline'), ([(25172, 3, 40), (25172, 11, 6729), (5110, 3, 40)], 0.18410015, 'xrule'), ([(5110, 1, 65), (25172, 11, 6729), (25172, 1, 65)], 0.17850018, 'xrule'), ([(24053, 3, 40), (5110, 3, 40), (24053, 11, 6729)], 0.17140007, 'xrule'), ([(23335, 3, 40), (5110, 3, 40), (23335, 11, 6729)], 0.16329956, 'xrule'), ([(11096, 11, 6729), (5110, 3, 40), (11096, 3, 40)], 0.16320038, 'xrule')]",4.9528494
[1],1,14,"[(7655, 3, 220), (24904, 3, 39), (8038, 3, 10), (7655, 3, 10), (7655, 3, 39), (24904, 3, 476), (7655, 3, 479), (24904, 11, 8038), (24904, 3, 479), (7655, 3, 476), (21168, 11, 8038), (23179, 11, 8038), (23179, 3, 220), (21168, 3, 220)]",[6.0351877],6.992312,"(7655, 11, 8038)",1.0,"[([(7655, 3, 220), (21168, 11, 8038), (21168, 3, 220)], 0.6907997, 'xrule'), ({(7655, 3, 220), (7655, 3, 479), (7655, 3, 476), (7655, 3, 39)}, 0.3981714664618846, 'baseline'), ({(7655, 3, 479), (7655, 3, 476), (7655, 3, 10), (7655, 3, 39)}, 0.3905439792020215, 'baseline'), ({(7655, 3, 220), (7655, 3, 479), (7655, 3, 10), (7655, 3, 39)}, 0.38801483491316574, 'baseline'), ({(7655, 3, 220), (7655, 3, 479), (7655, 3, 476), (7655, 3, 10)}, 0.38219074581658746, 'baseline'), ({(7655, 3, 40), (7655, 3, 479), (7655, 3, 476), (7655, 3, 39)}, 0.38017372465548765, 'baseline'), ({(7655, 3, 479), (7655, 3, 9), (7655, 3, 10), (7655, 3, 39)}, 0.3784599718787353, 'baseline'), ({(7655, 3, 220), (7655, 3, 479), (7655, 3, 9), (7655, 3, 39)}, 0.3767242845743676, 'baseline'), ({(7655, 3, 479), (7655, 3, 476), (7655, 3, 9), (7655, 3, 39)}, 0.3758173402976937, 'baseline'), ({(7655, 3, 40), (7655, 3, 479), (7655, 3, 10), (7655, 3, 39)}, 0.3755712923337003, 'baseline'), ({(7655, 3, 40), (7655, 3, 479), (7655, 3, 220), (7655, 3, 39)}, 0.37364963855996247, 'baseline'), ([(21168, 3, 39), (21168, 11, 8038), (7655, 3, 39)], 0.21819973, 'xrule'), ([(7655, 3, 40), (13114, 11, 8038), (13114, 3, 40)], 0.20129967, 'xrule'), ([(13114, 11, 8038), (7655, 3, 10), (13114, 3, 10)], 0.16380024, 'xrule'), ([(17655, 3, 479), (7655, 3, 479), (17655, 11, 8038)], 0.12829971, 'xrule')]",6.0351877
[4],1,11,"[(22481, 3, 9), (22481, 3, 1870), (6812, 3, 78), (6812, 3, 7), (6812, 3, 10), (22481, 3, 78), (22481, 12, 13960), (22481, 3, 7), (22481, 3, 10), (6812, 3, 1870), (6812, 3, 9)]",[4.676914],7.1088166,"(6812, 12, 13960)",4.0,"[([(22481, 3, 10), (6812, 3, 10), (22481, 12, 13960)], 1.1051002, 'xrule'), ([(22481, 12, 13960), (22481, 3, 1870), (6812, 3, 1870)], 1.0924001, 'xrule'), ([(6812, 3, 9), (22481, 12, 13960), (22481, 3, 9)], 1.0916004, 'xrule'), ([(22481, 3, 78), (6812, 3, 78), (22481, 12, 13960)], 1.0879002, 'xrule'), ([(22481, 12, 13960), (22481, 3, 7), (6812, 3, 7)], 1.0726004, 'xrule'), ({(6812, 3, 6818), (6812, 3, 1870), (6812, 3, 6815)}, 0.5760536627961035, 'baseline'), ({(6812, 3, 6818), (6812, 3, 294), (6812, 3, 6815)}, 0.5245247315492286, 'baseline'), ({(6812, 3, 6817), (6812, 3, 6818), (6812, 3, 6815)}, 0.46321014809246963, 'baseline'), ({(6812, 3, 6818), (6812, 3, 6815)}, 0.4036069332736468, 'baseline'), ({(6812, 3, 6817), (6812, 3, 294), (6812, 3, 6815)}, 0.3414287979057062, 'baseline'), ({(6812, 3, 1870), (6812, 3, 6815)}, 0.33362726506931645, 'baseline'), ({(6812, 3, 6817), (6812, 3, 6818), (6812, 3, 294)}, 0.3161096982965313, 'baseline'), ({(6812, 5, 6813), (6812, 3, 6815)}, 0.3017826489208221, 'baseline'), ({(6812, 3, 6818), (6812, 3, 1870)}, 0.2994809559643876, 'baseline'), ({(6812, 5, 6813), (6812, 3, 6818)}, 0.2911029270700187, 'baseline')]",4.676914
[12],1,17,"[(21692, 3, 3675), (18965, 3, 2084), (20395, 3, 1728), (11980, 2, 2083), (24095, 9, 11980), (18965, 9, 11980), (18126, 3, 2085), (5218, 3, 1728), (18126, 9, 11980), (5218, 3, 2085), (24095, 2, 2082), (5218, 2, 2083), (5218, 3, 3675), (5218, 3, 2084), (5218, 2, 2082), (21692, 9, 11980), (20395, 9, 11980)]",[3.5385475],6.9315023,"(5218, 9, 11980)",12.0,"[({(5218, 3, 2085), (5218, 2, 2082), (5218, 2, 2083), (5218, 3, 3675)}, 0.9504976770014293, 'baseline'), ({(5218, 3, 2085), (5218, 2, 2082), (5218, 2, 2083), (5218, 3, 1728)}, 0.9194593920424262, 'baseline'), ({(5218, 3, 2085), (5218, 2, 2083), (5218, 3, 1728), (5218, 3, 3675)}, 0.9164906038070811, 'baseline'), ({(5218, 3, 2085), (5218, 2, 2082), (5218, 2, 2083), (5218, 3, 2084)}, 0.9042625914749634, 'baseline'), ({(5218, 3, 2085), (5218, 2, 2083), (5218, 3, 3675), (5218, 3, 2084)}, 0.8992519864836876, 'baseline'), ({(5218, 3, 2085), (5218, 3, 2092), (5218, 2, 2082), (5218, 2, 2083)}, 0.8794560914626929, 'baseline'), ({(5218, 3, 2085), (5218, 2, 2083), (5218, 3, 1728), (5218, 3, 2084)}, 0.873658228342211, 'baseline'), ({(5218, 3, 2085), (5218, 3, 2092), (5218, 2, 2083), (5218, 3, 3675)}, 0.8709736351134307, 'baseline'), ({(5218, 2, 2082), (5218, 2, 2083), (5218, 3, 1728), (5218, 3, 3675)}, 0.8490739345223411, 'baseline'), ({(5218, 3, 2085), (5218, 3, 2092), (5218, 2, 2083), (5218, 3, 2084)}, 0.8412418840829943, 'baseline'), ([(18965, 2, 2083), (18965, 9, 11980), (5218, 2, 2083)], 0.56550026, 'xrule'), ([(5218, 3, 2085), (18965, 3, 2085), (18965, 9, 11980)], 0.559, 'xrule'), ([(18965, 2, 2082), (5218, 2, 2082), (18965, 9, 11980)], 0.48690033, 'xrule'), ([(18965, 3, 2084), (18965, 9, 11980), (5218, 3, 2084)], 0.45230007, 'xrule'), ([(5218, 3, 2092), (18965, 3, 2092), (18965, 9, 11980)], 0.4055004, 'xrule')]",3.5385475
