new_rank,#facts,prediction,new_ranks,facts,original_rank,original_score,new_score,new_scores
1.0,6,"(7706, 17, 1002)","[1, 1]","[([(7706, 17, 60), (138, 42, 7706), (7706, 41, 212), (1374, 20, 7706)], 0.22942356346508097, 'kelpie'), ([(985, 42, 7706), (7706, 17, 60), (138, 42, 7706), (7706, 41, 212)], 0.2215290474244592, 'kelpie'), ([(985, 42, 7706), (7706, 17, 60), (138, 42, 7706), (1374, 20, 7706)], 0.22064022298343344, 'kelpie'), ([(1455, 17, 1002), (985, 42, 7706), (7706, 41, 985), (985, 42, 1455), (7706, 134, 985)], -0.008799553, 'xrule'), ([(8501, 17, 1002), (985, 42, 7706), (985, 42, 8501), (7706, 41, 985), (7706, 134, 985)], -0.048099518, 'xrule'), ([(4936, 134, 985), (985, 42, 7706), (7706, 41, 985), (4936, 17, 1002), (7706, 134, 985)], -0.10909939, 'xrule')]",1,8.005735,7.8877764,"[7.808209, 7.9673433]"
1.0,6,"(2494, 85, 434)","[1, 1]","[([(2494, 17, 393), (6257, 85, 434), (6257, 17, 393)], 2.2475, 'xrule'), ([(2494, 100, 160), (2197, 85, 434), (2197, 100, 160)], 1.7241001, 'xrule'), ([(2494, 17, 393), (2197, 17, 393), (2197, 85, 434)], 1.3347006, 'xrule'), ([(2494, 48, 1080), (2494, 24, 1445), (2494, 48, 32)], 0.356674235598793, 'kelpie'), ([(2494, 48, 1080), (2934, 8, 2494), (2494, 24, 1445), (2494, 48, 32)], 0.35433105781742624, 'kelpie'), ([(2494, 48, 1080), (2494, 192, 2500), (2494, 24, 1445), (2494, 48, 32)], 0.3530493195094441, 'kelpie')]",1,8.090952,7.346532,"[7.5464916, 7.1465726]"
2.0,6,"(5672, 26, 64)","[2, 2]","[([(5672, 28, 32), (2547, 193, 32), (5672, 13, 32), (2547, 26, 64), (2547, 28, 32), (2547, 13, 32)], 0.46450043, 'xrule'), ([(4681, 26, 64), (4681, 28, 32), (5672, 28, 32), (5672, 13, 32), (4681, 193, 32), (4681, 13, 32)], 0.4062004, 'xrule'), ([(5672, 26, 1960), (5672, 31, 1211), (5672, 14, 160), (5672, 26, 1098)], 0.3932152209939866, 'kelpie'), ([(4559, 26, 64), (5672, 28, 32), (5672, 13, 32), (4559, 28, 32), (4559, 13, 32)], 0.3771, 'xrule'), ([(5672, 26, 1960), (5672, 28, 32), (5672, 31, 1211), (5672, 26, 1098)], 0.3684254106590675, 'kelpie'), ([(5672, 26, 1960), (5672, 31, 1211), (658, 2, 5672), (5672, 26, 1098)], 0.35944656688226106, 'kelpie')]",1,7.616864,6.8811007,"[7.0736117, 6.6885896]"
1.0,6,"(3350, 48, 32)","[1, 1]","[([(3350, 85, 434), (3350, 17, 862), (3350, 17, 1002), (3350, 43, 384)], 2.25765812141947, 'kelpie'), ([(3350, 85, 434), (3350, 24, 1327), (3350, 17, 862), (3350, 17, 1002)], 2.0669880916590553, 'kelpie'), ([(3350, 85, 434), (3350, 17, 862), (3350, 17, 1192), (3350, 17, 1002)], 1.9039746217141391, 'kelpie'), ([(3350, 17, 862), (8863, 48, 32), (8863, 17, 862)], 0.46170044, 'xrule'), ([(10155, 48, 32), (3350, 85, 434), (10155, 85, 434)], 0.40470028, 'xrule'), ([(9842, 85, 434), (3350, 85, 434), (9842, 48, 32)], 0.39220047, 'xrule')]",1,8.392536,5.83253,"[5.7306004, 5.9344597]"
1.0,6,"(6933, 25, 62)","[1, 1]","[([(4615, 25, 62), (6933, 133, 1124), (1124, 15, 4615), (1124, 15, 6933)], 0.7901, 'xrule'), ([(1124, 15, 6933), (382, 15, 6933)], 0.7785826193358167, 'kelpie'), ([(2754, 25, 62), (1124, 15, 2754), (6933, 133, 1124), (1124, 15, 6933)], 0.6553999, 'xrule'), ([(7671, 48, 1124), (6933, 133, 1124), (7671, 25, 62), (1124, 15, 6933)], 0.63259995, 'xrule'), ([(1124, 15, 6933)], 0.3429382259099383, 'kelpie'), ([(382, 15, 6933)], 0.25453047050651606, 'kelpie')]",1,5.3587217,5.6201653,"[5.537877, 5.7024536]"
1.0,6,"(10762, 25, 62)","[1, 1]","[([(10762, 62, 7983), (10762, 154, 2620), (1080, 15, 10762)], 3.517329096325302, 'kelpie'), ([(10762, 62, 7983), (1080, 15, 10762)], 2.703915289319436, 'kelpie'), ([(1080, 15, 10762)], 1.7662704793380586, 'kelpie'), ([(315, 28, 1080), (1080, 15, 10762), (315, 25, 62)], 1.5346003, 'xrule'), ([(2271, 25, 62), (1080, 15, 10762), (2271, 13, 1080)], 1.4563003, 'xrule'), ([(2823, 48, 1080), (1080, 15, 10762), (2823, 25, 62)], 1.3840001, 'xrule')]",1,7.438649,9.561937,"[9.445027, 9.678847]"
1.0,6,"(1892, 26, 1098)","[1, 1]","[([(1892, 26, 1881), (1892, 26, 990), (1892, 26, 1960), (1892, 28, 32)], 0.3156090192964498, 'kelpie'), ([(2116, 7, 1892), (1892, 26, 1881), (1892, 26, 990), (1892, 28, 32)], 0.27235130569102334, 'kelpie'), ([(1892, 26, 990), (1892, 26, 1960), (1892, 28, 32), (326, 6, 1892)], 0.26121429696473114, 'kelpie'), ([(70, 28, 32), (1892, 28, 32), (70, 13, 32), (70, 26, 1098)], 0.23009968, 'xrule'), ([(4232, 28, 32), (1892, 28, 32), (4232, 13, 32), (4232, 26, 1098)], 0.18089962, 'xrule'), ([(1292, 26, 1098), (1892, 28, 32), (1292, 13, 32)], 0.17169952, 'xrule')]",1,7.2906313,6.9906325,"[7.0030394, 6.9782257]"
9.0,6,"(6342, 13, 1682)","[8, 10]","[([(1682, 234, 90), (1682, 219, 90), (1682, 139, 90), (119, 219, 90), (6342, 13, 119), (119, 139, 90), (119, 206, 90), (1682, 206, 90)], 0.6779003, 'xrule'), ([(6342, 13, 2282), (6342, 13, 834), (6342, 13, 202), (6342, 13, 1934)], 0.19740967023947445, 'kelpie'), ([(6342, 13, 2282), (6342, 13, 834), (6342, 13, 202), (6342, 13, 1046)], 0.19353203042983483, 'kelpie'), ([(6342, 13, 2282), (6342, 13, 202), (6342, 13, 1934), (6342, 13, 1046)], 0.19349006876781422, 'kelpie'), ([(1682, 234, 90), (1682, 219, 90), (1934, 206, 90), (1682, 139, 90), (1934, 219, 90), (1934, 139, 90), (6342, 13, 1934), (1682, 206, 90)], 0.0632, 'xrule'), ([(1304, 234, 90), (1682, 234, 90), (1304, 219, 90), (1682, 219, 90), (1304, 139, 90), (1682, 139, 90), (6342, 13, 1304), (1682, 206, 90)], -0.3789997, 'xrule')]",1,5.9206314,5.547066,"[5.3187485, 5.775384]"
3.0,6,"(12508, 17, 2123)","[3, 3]","[([(12508, 17, 1002), (12508, 17, 60), (12508, 41, 138), (12508, 43, 141)], 0.7323427656639658, 'kelpie'), ([(12508, 17, 1002), (12508, 17, 60), (1374, 20, 12508), (12508, 43, 141)], 0.7050466989413813, 'kelpie'), ([(12508, 17, 1002), (12508, 17, 60), (12508, 17, 2424), (12508, 43, 141)], 0.6367187942104423, 'kelpie'), ([(8298, 41, 138), (8298, 17, 2123), (12508, 41, 138), (138, 42, 12508)], 0.2904997, 'xrule'), ([(3764, 17, 2123), (138, 42, 3764), (12508, 41, 138), (138, 42, 12508)], 0.2904997, 'xrule'), ([(4603, 17, 2123), (138, 42, 4603), (4603, 41, 138), (4603, 134, 138), (12508, 41, 138), (138, 42, 12508)], 0.2904997, 'xrule')]",1,6.6341934,5.35014,"[5.2611084, 5.439172]"
2.5,6,"(2457, 13, 382)","[2, 3]","[([(2457, 28, 32), (2457, 13, 32), (3673, 28, 32), (3673, 13, 32), (3673, 13, 382)], 1.4356995, 'xrule'), ([(2457, 28, 32), (2457, 13, 32), (7803, 147, 382), (7803, 28, 32), (7803, 13, 32)], 1.1799994, 'xrule'), ([(2457, 28, 32), (2114, 28, 382), (2457, 13, 32), (2114, 28, 32), (2114, 147, 382)], 1.1615, 'xrule'), ([(2457, 13, 32), (2457, 13, 1080)], 0.09160427287938697, 'kelpie'), ([(2457, 13, 1080)], 0.05308918184613766, 'kelpie'), ([(2457, 13, 32)], 0.03791240881048641, 'kelpie')]",1,6.046425,6.0991163,"[6.2056017, 5.9926305]"
2.5,6,"(7327, 17, 215)","[2, 3]","[([(7327, 85, 434), (7327, 43, 141), (7327, 17, 393), (7327, 17, 862)], 1.0877080494068523, 'kelpie'), ([(7327, 85, 434), (7327, 17, 393), (7327, 48, 32), (7327, 17, 862)], 1.032687715664521, 'kelpie'), ([(7327, 43, 141), (7327, 17, 393), (7327, 48, 32), (7327, 17, 862)], 1.00675826406367, 'kelpie'), ([(7327, 85, 434), (1316, 17, 215), (1316, 85, 434)], 0.28009987, 'xrule'), ([(3652, 17, 215), (3652, 43, 141), (7327, 43, 141)], 0.26100063, 'xrule'), ([(9186, 43, 141), (7327, 43, 141), (9186, 17, 215)], 0.22340012, 'xrule')]",1,6.6937075,5.2840157,"[5.096149, 5.471883]"
7.0,6,"(1127, 10, 6315)","[8, 6]","[([(6078, 19, 1654), (1654, 10, 6315), (6078, 19, 1127)], 1.3776007, 'xrule'), ([(1121, 47, 10956), (10956, 19, 1121), (1121, 10, 6315), (1127, 47, 10956), (10956, 19, 1127)], 1.3548002, 'xrule'), ([(1127, 47, 625), (1121, 10, 6315), (625, 19, 1121), (625, 19, 1127)], 1.2842007, 'xrule'), ([(1127, 47, 670), (670, 19, 1127), (1127, 10, 4121), (1127, 10, 6066)], 0.032259027424211016, 'kelpie'), ([(1127, 47, 670), (1127, 7, 1335), (1127, 10, 4121), (1127, 10, 6066)], 0.027805368398185953, 'kelpie'), ([(1127, 47, 670), (1127, 10, 4121), (1127, 10, 468), (1127, 10, 6066)], 0.027000467227995192, 'kelpie')]",1,6.301168,5.8145347,"[5.7694845, 5.859585]"
3.0,6,"(8758, 19, 1724)","[3, 3]","[([(8758, 6, 4975), (8758, 19, 4418), (8758, 82, 8686), (8758, 48, 1928)], 1.986632441449234, 'kelpie'), ([(8758, 6, 4975), (8758, 19, 4418), (8758, 17, 5529), (8758, 82, 8686)], 1.860519495018777, 'kelpie'), ([(8758, 6, 4975), (8758, 19, 4418), (8758, 82, 8686), (8758, 82, 8759)], 1.8334437258676113, 'kelpie'), ([(6094, 19, 1724), (8758, 19, 4418), (6094, 19, 4418)], 0.31970024, 'xrule'), ([(4418, 47, 7237), (1724, 47, 7237), (7237, 19, 1724), (8758, 19, 4418)], 0.3032999, 'xrule'), ([(12644, 19, 1724), (4418, 47, 12644), (12644, 19, 4418), (8758, 19, 4418)], 0.3031006, 'xrule')]",1,7.7758446,5.313107,"[5.104788, 5.521426]"
1.0,6,"(9376, 25, 62)","[1, 1]","[([(1019, 89, 9376), (9376, 61, 2940), (9376, 124, 2846), (9376, 61, 3360)], 0.9474287529424881, 'kelpie'), ([(3181, 89, 9376), (9376, 61, 2940), (9376, 124, 2846), (9376, 61, 3360)], 0.9242318168205707, 'kelpie'), ([(9376, 61, 2940), (3830, 63, 9376), (9376, 124, 2846), (9376, 61, 3360)], 0.9192083372479422, 'kelpie'), ([(9376, 124, 2846), (5568, 25, 62), (5568, 124, 2846)], 0.7657001, 'xrule'), ([(7075, 61, 2940), (7075, 25, 62), (9376, 61, 2940)], 0.48510003, 'xrule'), ([(9376, 124, 2846), (1247, 124, 2846), (1247, 25, 62)], 0.4790001, 'xrule')]",1,7.0566015,6.7547083,"[6.7488093, 6.760607]"
1.0,6,"(1658, 26, 990)","[1, 1]","[([(1658, 25, 62), (652, 25, 62), (652, 26, 990)], 0.5944996, 'xrule'), ([(1658, 25, 62), (6068, 25, 62), (6068, 26, 990)], 0.54489994, 'xrule'), ([(652, 28, 32), (1658, 13, 32), (652, 26, 990), (1658, 28, 32)], 0.50160027, 'xrule'), ([(1658, 31, 657), (1658, 31, 4), (1658, 28, 32), (1658, 26, 342)], 0.34729484866362076, 'kelpie'), ([(1658, 31, 4), (1658, 28, 32), (1658, 34, 90), (1658, 26, 342)], 0.3317709380107947, 'kelpie'), ([(1658, 31, 657), (1658, 31, 4), (1658, 34, 90), (1658, 26, 342)], 0.32861904440966605, 'kelpie')]",1,6.9488378,6.2554812,"[6.4291697, 6.081793]"
1.0,6,"(3577, 48, 32)","[1, 1]","[([(1745, 48, 32), (1745, 43, 141), (3577, 43, 141)], 0.50699997, 'xrule'), ([(2008, 43, 141), (2008, 48, 32), (3577, 43, 141)], 0.3460002, 'xrule'), ([(3577, 66, 3796), (4877, 22, 3577), (3577, 38, 364), (3577, 66, 4986)], 0.3335147315075148, 'kelpie'), ([(3577, 66, 3796), (3577, 6, 5432), (4877, 22, 3577), (3577, 66, 4986)], 0.3308725768212163, 'kelpie'), ([(3577, 66, 3796), (4877, 22, 3577), (3577, 66, 4986)], 0.3275342398691602, 'kelpie'), ([(50, 48, 32), (50, 43, 141), (3577, 43, 141)], 0.32539988, 'xrule')]",1,6.6759186,6.017644,"[5.9284987, 6.1067896]"
3.0,6,"(2016, 17, 60)","[3, 3]","[([(5809, 17, 60), (2016, 66, 592), (5809, 66, 592), (2016, 160, 592), (592, 122, 2016)], 0.093299866, 'xrule'), ([(2880, 17, 60), (310, 42, 2880), (2016, 41, 310)], 0.05739975, 'xrule'), ([(2016, 19, 1921), (5263, 17, 60), (5263, 19, 1921)], 0.052900314, 'xrule'), ([(1920, 21, 2016), (792, 8, 2016), (2016, 8, 4325), (4325, 8, 2016)], 0.03815607257219951, 'kelpie'), ([(1920, 21, 2016), (792, 8, 2016), (2016, 8, 4325), (4325, 3, 2016)], 0.037484209038068046, 'kelpie'), ([(1920, 21, 2016), (2016, 8, 4325), (4325, 3, 2016), (4325, 8, 2016)], 0.03746370500305074, 'kelpie')]",1,6.498813,6.298619,"[6.286331, 6.3109064]"
1.0,6,"(5605, 17, 862)","[1, 1]","[([(6104, 48, 32), (6104, 17, 862), (5605, 48, 32)], 0.79830027, 'xrule'), ([(7102, 17, 862), (7102, 48, 32), (5605, 48, 32)], 0.7442999, 'xrule'), ([(1591, 48, 32), (1591, 17, 862), (5605, 48, 32)], 0.66989994, 'xrule'), ([(5605, 17, 1192)], 0.20924333803031903, 'kelpie'), ([(5605, 17, 1192), (5605, 77, 1686)], 0.1993112967840751, 'kelpie'), ([(5605, 17, 1192), (5605, 45, 7550)], 0.19367746574919073, 'kelpie')]",1,6.5098124,6.155237,"[6.028717, 6.281758]"
1.0,6,"(7019, 11, 23)","[1, 1]","[([(7019, 14, 160), (7019, 26, 64), (7019, 26, 1098), (7019, 31, 163)], 0.4949875303127973, 'kelpie'), ([(7019, 26, 342), (7019, 14, 160), (7019, 26, 64), (7019, 31, 163)], 0.4823913997992985, 'kelpie'), ([(7019, 26, 342), (7019, 14, 160), (7019, 26, 1098), (7019, 31, 163)], 0.4759426540314028, 'kelpie'), ([(9919, 11, 23), (4, 2, 7019), (9919, 31, 4)], 0.42199993, 'xrule'), ([(4, 2, 7019), (1500, 11, 23), (1500, 31, 4)], 0.37660027, 'xrule'), ([(10152, 31, 4), (4, 2, 7019), (10152, 11, 23)], 0.3409996, 'xrule')]",1,8.85631,8.351725,"[8.4111805, 8.292269]"
2.0,6,"(868, 26, 342)","[3, 1]","[([(868, 28, 32), (868, 14, 160), (868, 26, 64), (868, 26, 1098)], 0.37411407798968666, 'kelpie'), ([(868, 28, 32), (868, 84, 869), (868, 26, 64), (868, 26, 1098)], 0.33296970662584496, 'kelpie'), ([(3032, 6, 868), (868, 28, 32), (868, 26, 64), (868, 26, 1098)], 0.3315906935820361, 'kelpie'), ([(4094, 26, 342), (868, 86, 1283), (4094, 86, 1283)], 0.029800415, 'xrule'), ([(341, 13, 637), (341, 26, 342), (868, 13, 637)], -0.06550026, 'xrule'), ([(4094, 26, 342), (868, 31, 136), (4094, 31, 136)], -0.17029953, 'xrule')]",1,7.565317,7.2779484,"[7.0413103, 7.514587]"
1.0,6,"(3116, 11, 23)","[1, 1]","[([(1642, 32, 3116), (3116, 14, 160), (3116, 31, 4), (3116, 13, 32)], 1.2009811963684007, 'kelpie'), ([(467, 7, 3116), (3116, 14, 160), (3116, 31, 4), (3116, 13, 32)], 1.132514054180931, 'kelpie'), ([(3116, 14, 160), (7999, 2, 3116), (3116, 31, 4), (3116, 13, 32)], 1.1035137710843217, 'kelpie'), ([(3116, 13, 32), (6249, 13, 32), (3116, 28, 32), (6249, 11, 23)], 0.8572006, 'xrule'), ([(3116, 28, 32), (4917, 11, 23), (3116, 13, 32), (4917, 28, 32), (4917, 13, 32)], 0.7198, 'xrule'), ([(3116, 13, 32), (3617, 28, 32), (3116, 28, 32), (3617, 11, 23)], 0.6630001, 'xrule')]",1,7.8973103,6.5388904,"[6.580028, 6.4977527]"
3.5,6,"(3481, 13, 1934)","[6, 1]","[([(3481, 13, 27), (3481, 13, 637), (3481, 13, 202), (3481, 13, 1080)], 0.14859966482652645, 'kelpie'), ([(3481, 13, 27), (3481, 13, 637), (3481, 13, 2282), (3481, 13, 1080)], 0.1369991704448371, 'kelpie'), ([(3481, 13, 27), (3481, 13, 637), (3481, 13, 449), (3481, 13, 1080)], 0.13386825763017443, 'kelpie'), ([(3481, 13, 1080), (10577, 28, 1080), (10577, 13, 1934), (3481, 28, 1080)], -0.061699867, 'xrule'), ([(3358, 28, 32), (3481, 28, 32), (3481, 13, 32), (3358, 13, 1934)], -0.24740028, 'xrule'), ([(3481, 13, 1080), (3481, 28, 1080), (3358, 13, 1934), (3358, 13, 1080)], -0.25119972, 'xrule')]",1,6.271813,6.1282396,"[6.055456, 6.201023]"
1.0,6,"(6848, 28, 32)","[1, 1]","[([(6848, 11, 23), (6238, 28, 32), (6238, 11, 23)], 2.1878996, 'xrule'), ([(7413, 13, 32), (6848, 11, 23), (7413, 11, 23)], 2.0007, 'xrule'), ([(805, 31, 4), (6848, 31, 4), (805, 13, 32), (4, 2, 6848)], 1.934, 'xrule'), ([(1702, 32, 6848), (6848, 31, 2461), (6848, 11, 23), (6848, 86, 742)], 0.40975479479207194, 'kelpie'), ([(2961, 6, 6848), (1702, 32, 6848), (6848, 11, 23), (6848, 86, 742)], 0.4061985432656162, 'kelpie'), ([(1702, 32, 6848), (6848, 86, 87), (6848, 11, 23), (6848, 86, 742)], 0.3867063937638992, 'kelpie')]",1,7.389966,6.523322,"[6.424552, 6.622092]"
3.0,6,"(6079, 220, 8450)","[3, 3]","[([(6079, 220, 6386), (6079, 220, 4005), (6079, 25, 62), (434, 161, 6079)], 0.7700424656795258, 'kelpie'), ([(6079, 220, 6386), (6079, 220, 4005), (6079, 25, 62), (6079, 148, 7018)], 0.6688576191340091, 'kelpie'), ([(6079, 220, 6386), (6079, 148, 2034), (6079, 220, 4005), (6079, 25, 62)], 0.6662741153642882, 'kelpie'), ([(43, 25, 62), (43, 220, 8450), (6079, 25, 62)], 0.36700058, 'xrule'), ([(2806, 220, 8450), (6079, 25, 62), (2806, 25, 62)], 0.36660004, 'xrule'), ([(9277, 25, 62), (9277, 220, 8450), (6079, 25, 62)], 0.3593998, 'xrule')]",1,8.157777,7.283588,"[7.100152, 7.467024]"
1.0,6,"(4592, 17, 818)","[1, 1]","[([(4592, 48, 32), (9902, 48, 32), (9902, 17, 818)], 1.1413999, 'xrule'), ([(8743, 48, 32), (4592, 48, 32), (8743, 17, 818)], 1.1034002, 'xrule'), ([(2356, 17, 818), (4592, 48, 32), (2356, 48, 32)], 1.0921001, 'xrule'), ([(7146, 8, 4592), (4592, 8, 7146)], 0.002663652369009108, 'kelpie'), ([(4592, 8, 7146)], 0.0009437007479124597, 'kelpie'), ([(7146, 8, 4592), (4592, 8, 7146), (2569, 8, 4592)], 0.0005636615359198028, 'kelpie')]",1,5.790435,5.3391848,"[5.1741056, 5.5042644]"
