new_scores,original_score,exp,original_rank,prediction,new_rank,new_score,new_ranks,facts,exp_length
[0.0003861072182189673],0.8343851566314697,"[(17946, 1, 865)]",1,"(865, 1, 17946)",3200.0,0.0003861072182189673,[3200],"[({(17946, 1, 865)}, -9.983697578381628, 'baseline')]",1
[0.003592754015699029],0.9717803597450256,"[(2443, 1, 12141)]",1,"(12141, 1, 2443)",4.0,0.003592754015699029,[4],"[({(2443, 1, 12141)}, -8.51737342682592, 'baseline'), ({(12141, 0, 3556)}, -11.657633557793618, 'baseline')]",1
[0.0007634472567588091],0.9874051213264465,"[(6242, 1, 27198)]",1,"(27198, 1, 6242)",71.0,0.0007634472567588091,[71],"[({(6242, 1, 27198)}, -9.04044504629243, 'baseline'), ({(27198, 9, 19791)}, -10.971972304407165, 'baseline'), ({(19791, 9, 27198)}, -11.534633642338166, 'baseline')]",1
[0.004177314229309559],0.04805701971054077,"[(33234, 2, 4090), (28149, 2, 4090), (28149, 2, 2524)]",1,"(33234, 2, 2524)",6.0,0.004177314229309559,[6],"[({(33234, 2, 4090)}, -9.6080017776288, 'baseline')]",3
[0.1218254342675209],0.9453070163726807,"[(19427, 1, 18272)]",1,"(18272, 1, 19427)",2.0,0.1218254342675209,[2],"[({(19427, 1, 18272)}, -8.058213889554066, 'baseline'), ({(18272, 1, 170)}, -10.14148530067279, 'baseline'), ({(170, 1, 18272)}, -10.343620355922575, 'baseline'), ({(18272, 1, 23137)}, -10.543816592758443, 'baseline'), ({(23137, 1, 18272)}, -11.528560730345516, 'baseline')]",1
[1.1550011549843475e-05],0.72646164894104,"[(23961, 5, 6776)]",1,"(23961, 0, 6776)",28726.0,1.1550011549843475e-05,[28726],"[({(23961, 5, 6776)}, -8.910434828527244, 'baseline')]",1
[0.00021772952459286898],0.8955927491188049,"[(15159, 1, 3072)]",1,"(3072, 1, 15159)",3030.0,0.00021772952459286898,[3030],"[({(15159, 1, 3072)}, -8.16490153934743, 'baseline')]",1
[0.9774786233901978],0.94145667552948,"[(7118, 1, 8643), (7117, 9, 7118)]",1,"(7117, 1, 8643)",1.0,0.9774786233901978,[1],"[({(7117, 9, 7118)}, 12.926058232012588, 'baseline'), ({(8643, 1, 7117)}, -8.978989785576072, 'baseline'), ({(7049, 1, 7117)}, -9.144244294199753, 'baseline'), ({(7117, 1, 25743)}, -11.366798169787195, 'baseline'), ({(25743, 1, 7117)}, -11.805869858162744, 'baseline'), ({(7118, 9, 7117)}, -13.852511481795528, 'baseline')]",2
[0.8864663243293762],0.9172292351722717,"[(5176, 1, 6813), (5175, 0, 5176)]",1,"(6813, 1, 5175)",1.0,0.8864663243293762,[1],"[({(5176, 1, 6813)}, -8.503749592967182, 'baseline'), ({(5175, 1, 6813)}, -9.231661987535212, 'baseline'), ({(32633, 1, 6813)}, -9.90904806414173, 'baseline'), ({(6813, 1, 32633)}, -10.231644393743709, 'baseline')]",2
[0.00033191623515449464],0.9331414699554443,"[(4665, 1, 4666)]",1,"(4666, 1, 4665)",2170.0,0.00033191623515449464,[2170],"[({(4665, 1, 4666)}, -9.974695827251042, 'baseline')]",1
[8.18519401946105e-05],0.9786085486412048,"[(30361, 1, 11813)]",1,"(11813, 1, 30361)",12248.0,8.18519401946105e-05,[12248],"[({(30361, 1, 11813)}, -13.047361727187953, 'baseline')]",1
[0.03958095610141754],0.8748989105224609,"[(26527, 1, 11366)]",1,"(11366, 1, 26527)",4.0,0.03958095610141754,[4],"[({(26527, 1, 11366)}, -8.094675423336998, 'baseline'), ({(11366, 1, 42)}, -10.161344128386775, 'baseline'), ({(42, 1, 11366)}, -11.356550367363576, 'baseline'), ({(11366, 1, 4958)}, -11.657633557793618, 'baseline'), ({(4958, 1, 11366)}, -12.538391884367126, 'baseline')]",1
[7.613826164742932e-05],0.9501182436943054,"[(22618, 1, 699)]",1,"(699, 1, 22618)",5539.0,7.613826164742932e-05,[5539],"[({(22618, 1, 699)}, -8.752996131427357, 'baseline')]",1
[0.00043905412894673645],0.978472113609314,"[(16506, 1, 22728)]",1,"(22728, 1, 16506)",162.0,0.00043905412894673645,[162],"[({(16506, 1, 22728)}, -9.004381489861137, 'baseline'), ({(22728, 9, 34810)}, -9.99408549577204, 'baseline')]",1
[0.07863125205039978],0.9186691641807556,"[(3712, 1, 28826)]",1,"(28826, 1, 3712)",1.0,0.07863125205039978,[1],"[({(3712, 1, 28826)}, -7.633188571952783, 'baseline'), ({(6595, 1, 28826)}, -9.115096861060282, 'baseline'), ({(28826, 1, 274)}, -9.222568290813475, 'baseline'), ({(274, 1, 28826)}, -10.250019697264385, 'baseline')]",1
[9.912484529195353e-05],0.969196081161499,"[(12684, 1, 22584)]",1,"(22584, 1, 12684)",3786.0,9.912484529195353e-05,[3786],"[({(12684, 1, 22584)}, -9.15321307458841, 'baseline'), ({(22585, 9, 22584)}, -12.226764276841777, 'baseline'), ({(22584, 9, 22585)}, -12.68106431133927, 'baseline')]",1
[0.01925276219844818],0.9718466401100159,"[(21674, 1, 4547)]",1,"(4547, 1, 21674)",13.0,0.01925276219844818,[13],"[({(21674, 1, 4547)}, -9.37832678433553, 'baseline'), ({(14510, 1, 4547)}, -12.521908235425027, 'baseline'), ({(4547, 1, 14510)}, -12.893873583651446, 'baseline')]",1
[0.23997847735881805],0.4837391674518585,"[(4632, 6, 26961), (8310, 6, 26961), (4632, 6, 12531)]",1,"(8310, 6, 12531)",9.0,0.23997847735881805,[9],"[({(8310, 6, 26961)}, -9.787292813487664, 'baseline'), ({(8310, 6, 22600)}, -9.965774377846584, 'baseline'), ({(8310, 6, 2349)}, -10.192687607110633, 'baseline'), ({(8310, 6, 8984)}, -10.305478964751396, 'baseline'), ({(8310, 6, 11942)}, -11.273440109179688, 'baseline')]",3
[1.594337732058193e-06],0.974579930305481,"[(8641, 1, 19459)]",1,"(19459, 1, 8641)",40231.0,1.594337732058193e-06,[40231],"[({(8641, 1, 19459)}, -8.296219803051196, 'baseline')]",1
[0.006016371306031942],0.8933057188987732,"[(757, 1, 17190)]",1,"(17190, 1, 757)",34.0,0.006016371306031942,[34],"[({(757, 1, 17190)}, -9.92963919999838, 'baseline'), ({(17190, 1, 8831)}, -11.196710127094269, 'baseline'), ({(8831, 1, 17190)}, -11.87191849191228, 'baseline')]",1
[2.288185351062566e-05],0.8763036727905273,"[(28605, 1, 6067)]",1,"(6067, 1, 28605)",17621.0,2.288185351062566e-05,[17621],"[({(28605, 1, 6067)}, -7.755608332953804, 'baseline')]",1
[0.00021751475287601352],0.9612560868263245,"[(27247, 1, 3929)]",1,"(3929, 1, 27247)",4775.0,0.00021751475287601352,[4775],"[({(27247, 1, 3929)}, -11.559300944787935, 'baseline'), ({(21238, 0, 3929)}, -13.164565329333547, 'baseline')]",1
[0.0003192860458511859],0.9470379948616028,"[(7436, 1, 2887)]",1,"(2887, 1, 7436)",1946.0,0.0003192860458511859,[1946],"[({(7436, 1, 2887)}, -8.016325201470334, 'baseline')]",1
