new_score,new_ranks,original_score,prediction,original_rank,#facts,new_scores,new_rank,facts
2.282347,"[1, 1]",9.888962,"(6847, 25, 62)",1,6,"[2.6859488, 1.8787451]",1.0,"[([(706, 89, 12010), (706, 89, 6847), (12010, 25, 62)], 2.7390995, 'xrule'), ([(6847, 22, 3807)], 0.6857490988190211, 10227.665020616425), ([(6847, 61, 224), (8741, 61, 224), (8741, 25, 62)], 0.47289944, 'xrule'), ([(706, 89, 6847), (8741, 25, 62), (706, 89, 8741)], 0.21920013, 'xrule'), ([(6847, 61, 224)], -0.26199146018199926, 2.4348742163463792), ([(6847, 22, 9544)], -1.052138753239131, 7.258814603028112)]"
1.5661589,"[1, 1]",8.882477,"(6298, 25, 62)",1,3,"[1.5657282, 1.5665896]",1.0,"[([(3814, 76, 6298)], 0.5694513753960674, -7239.361363436744), ([(6298, 119, 3815)], 0.035250703754798184, 5879.508811753494), ([(6298, 164, 1267)], -0.9159049497919562, -7295.71420698674)]"
0.49173552,"[1, 1]",3.2678545,"(5672, 26, 64)",1,10,"[0.43884492, 0.5446261]",1.0,"[([(5595, 26, 1936), (5672, 26, 1936), (5595, 26, 64)], 1.4847002, 'xrule'), ([(5672, 26, 1881), (3259, 26, 64), (3259, 26, 1881)], 1.2579002, 'xrule'), ([(5672, 26, 2948)], 1.2496023755692915, 1353.7772310128923), ([(5672, 26, 1936), (3259, 26, 1936), (3259, 26, 64)], 0.6015005, 'xrule'), ([(5595, 26, 64), (5595, 26, 1960), (5672, 26, 1960)], 0.57159996, 'xrule'), ([(4974, 6, 5672)], 0.4008136211986278, 533.5988831156401), ([(5595, 26, 1881), (5672, 26, 1881), (5595, 26, 64)], 0.31260014, 'xrule'), ([(5672, 31, 1211), (1173, 31, 1211), (1173, 26, 64)], -0.0038995743, 'xrule'), ([(5672, 26, 1881), (807, 26, 64), (807, 26, 1881)], -0.1612997, 'xrule'), ([(5672, 12, 10115)], -0.44143863295209373, 8195.39139821526)]"
0.926283,"[1, 1]",5.255939,"(11754, 85, 434)",1,13,"[1.169697, 0.68286896]",1.0,"[([(4311, 85, 434), (4311, 17, 862), (11754, 17, 862)], 3.1212997, 'xrule'), ([(5159, 85, 434), (5159, 17, 818), (11754, 17, 818)], 1.6801996, 'xrule'), ([(11754, 17, 862), (2118, 85, 434), (2118, 17, 862)], 1.2334003, 'xrule'), ([(11754, 17, 862), (3140, 85, 434), (3140, 17, 862)], 1.0143003, 'xrule'), ([(11754, 66, 592), (9399, 85, 434), (9399, 66, 592)], 0.8292999, 'xrule'), ([(11754, 17, 871)], 0.8124847881573302, 8.69263873469583), ([(11754, 17, 862), (9399, 85, 434), (9399, 17, 862)], 0.27420044, 'xrule'), ([(11754, 17, 967), (8930, 85, 434), (8930, 17, 967)], 0.103300095, 'xrule'), ([(2118, 17, 818), (11754, 17, 818), (2118, 85, 434)], -0.2532997, 'xrule'), ([(8291, 85, 434), (8291, 17, 818), (11754, 17, 818)], -0.3473997, 'xrule'), ([(11754, 66, 592)], -1.100553459196194, 36.24963619718771), ([(11754, 202, 2904)], -1.282721937483874, 12740.217087235827), ([(8930, 85, 434), (11754, 17, 862), (8930, 17, 862)], -1.5585003, 'xrule')]"
0.54404247,"[2, 1]",11.156679,"(2145, 43, 141)",2,9,"[0.58152246, 0.5065625]",1.5,"[([(3035, 19, 1469), (1469, 47, 2145), (3035, 43, 141), (1469, 47, 3035)], 3.3483, 'xrule'), ([(3343, 43, 141), (2146, 3, 2145), (3343, 8, 2146), (3343, 3, 2146), (2145, 8, 2146), (2145, 3, 2146), (2146, 8, 3343)], 1.1774998, 'xrule'), ([(2145, 48, 308), (11498, 48, 308), (11498, 43, 141)], 1.0627003, 'xrule'), ([(2145, 8, 3454)], 0.1261549397353712, 422.53149696297424), ([(3667, 19, 1469), (1469, 47, 2145), (3667, 43, 141)], -0.05490017, 'xrule'), ([(3453, 3, 2145)], -0.4568662221979792, -1730.6122705041685), ([(682, 43, 141), (1469, 47, 682), (1469, 47, 2145), (682, 19, 1469)], -0.5089998, 'xrule'), ([(2145, 8, 8044)], -0.6066851177725356, -2449.6471842723167), ([(1342, 43, 141), (1342, 19, 1469), (1469, 47, 2145)], -2.4686995, 'xrule')]"
1.1089162,"[1, 1]",3.7750387,"(3120, 148, 3021)",1,13,"[0.9684064, 1.2494259]",1.0,"[([(5778, 25, 62), (3120, 25, 62), (5778, 148, 3021)], 3.1244993, 'xrule'), ([(3120, 220, 4005), (4896, 148, 3021), (4896, 220, 4005)], 2.0157995, 'xrule'), ([(3120, 122, 6655)], 1.8783036148434993, 7239.867416144619), ([(3120, 220, 4005), (705, 148, 3021), (705, 220, 4005)], 1.8363991, 'xrule'), ([(434, 161, 3120), (5445, 148, 3021), (434, 161, 5445)], 1.5382996, 'xrule'), ([(3120, 25, 62), (4896, 148, 3021), (4896, 25, 62)], 1.2311993, 'xrule'), ([(434, 161, 3120), (4896, 148, 3021), (434, 161, 4896)], 1.2050991, 'xrule'), ([(5293, 66, 3120)], 0.9089031708117987, 6022.712775655145), ([(5293, 160, 3120)], 0.8159580700845301, 10022.693377667621), ([(3020, 148, 3021), (3120, 220, 4005), (3020, 220, 4005)], 0.8114996, 'xrule'), ([(3120, 25, 62), (5445, 148, 3021), (5445, 25, 62)], 0.78499985, 'xrule'), ([(3120, 220, 4005), (5778, 220, 4005), (5778, 148, 3021)], 0.14389992, 'xrule'), ([(3120, 220, 4005), (5445, 148, 3021), (5445, 220, 4005)], -0.25419998, 'xrule')]"
1.4336119,"[1, 1]",11.078495,"(9475, 25, 62)",1,3,"[1.3889072, 1.4783165]",1.0,"[([(10008, 20, 9475)], 1.4129682222584883, 58.8042336781185), ([(138, 92, 9475)], 0.8726258759013169, 13182.705291784237), ([(4669, 20, 9475)], 0.6045165499552476, 12175.64668893059)]"
0.32701278,"[1, 1]",5.5329022,"(5649, 48, 32)",1,6,"[0.31632474, 0.33770084]",1.0,"[([(7550, 8, 366), (366, 8, 5649), (7550, 48, 32), (5649, 8, 366)], 3.283, 'xrule'), ([(7550, 48, 32), (7550, 8, 1662), (1662, 8, 7550), (5649, 8, 1662)], 1.6615, 'xrule'), ([(4144, 77, 5649)], 0.5244656037163106, 10515.62819136953), ([(5649, 66, 592), (32, 15, 12459), (12459, 83, 592)], 0.42440033, 'xrule'), ([(5649, 8, 7550)], 0.4211178243831733, 8578.603750694458), ([(5649, 8, 1662)], 0.1724148199382107, 8158.5429972332695)]"
6.3683863,"[1, 1]",12.986469,"(13632, 25, 62)",1,13,"[6.341858, 6.3949146]",1.0,"[([(13632, 199, 9277)], -0.8305015090770292, 5.3035390291590145), ([(10787, 25, 62), (10787, 46, 9740), (13632, 46, 9740)], -0.94710064, 'xrule'), ([(13632, 83, 9277)], -1.0585555507380917, -0.7424144224201001), ([(13632, 46, 9740)], -1.2011851702275966, -0.7687355615862058), ([(10136, 46, 9740), (13632, 46, 9740), (10136, 25, 62)], -1.4254007, 'xrule'), ([(10153, 25, 62), (10153, 46, 9740), (13632, 46, 9740)], -1.6007004, 'xrule'), ([(13632, 46, 152), (11934, 46, 152), (11934, 25, 62)], -2.0846004, 'xrule'), ([(12892, 24, 9277), (13632, 83, 9277), (12892, 25, 62), (13632, 199, 9277)], -2.25, 'xrule'), ([(13632, 83, 9277), (5048, 143, 9277), (5048, 25, 62), (13632, 199, 9277)], -3.6162004, 'xrule'), ([(13632, 83, 9277), (9277, 25, 62), (13632, 199, 9277)], -3.9191008, 'xrule'), ([(4805, 25, 62), (4805, 46, 9740), (13632, 46, 9740)], -4.0136003, 'xrule'), ([(10787, 25, 62), (13632, 46, 152), (10787, 46, 152)], -4.3901005, 'xrule'), ([(13632, 46, 152), (12752, 46, 152), (12752, 25, 62)], -4.4596004, 'xrule')]"
4.3440056,"[1, 1]",9.799974,"(11272, 25, 62)",1,12,"[4.5814385, 4.1065726]",1.0,"[([(3181, 89, 11272), (3181, 89, 12923), (12923, 25, 62)], 2.4286003, 'xrule'), ([(1323, 89, 2979), (2979, 25, 62), (1323, 89, 11272)], 1.7754002, 'xrule'), ([(3181, 89, 11272), (3181, 89, 7436), (7436, 25, 62)], 1.6864004, 'xrule'), ([(11272, 124, 2846), (1160, 25, 62), (1160, 124, 2846)], 1.5230999, 'xrule'), ([(4896, 15, 11272)], 1.5221939766984802, 21.82086131763905), ([(2979, 25, 62), (2979, 101, 4907), (11272, 101, 4907)], 1.5108004, 'xrule'), ([(1019, 89, 11272), (5153, 25, 62), (1019, 89, 5153)], 1.4211998, 'xrule'), ([(12463, 124, 2846), (11272, 124, 2846), (12463, 25, 62)], 1.2470007, 'xrule'), ([(11272, 124, 2846), (8508, 25, 62), (8508, 124, 2846)], 0.8095999, 'xrule'), ([(11272, 101, 2371), (8956, 25, 62), (8956, 101, 2371)], 0.7635002, 'xrule'), ([(11272, 101, 2371)], 0.5495534374233695, 3424.634031968873), ([(11272, 101, 11875)], -0.3992123187647733, 12.401501593470481)]"
1.8114265,"[1, 2]",5.5377464,"(8386, 85, 434)",1,13,"[2.2887354, 1.3341177]",1.5,"[([(8386, 6, 753)], 2.5668522437114882, 237.92869752753487), ([(8386, 38, 753)], 2.4495731766110316, 13632.92053022245), ([(8386, 19, 1126)], 2.037602999467515, 11144.884688954773), ([(6224, 43, 141), (8386, 43, 141), (6224, 85, 434)], 0.47429943, 'xrule'), ([(434, 161, 3243), (8386, 48, 32), (32, 15, 3243), (3243, 133, 32)], 0.36909962, 'xrule'), ([(8238, 43, 141), (8238, 85, 434), (8386, 43, 141)], 0.34140015, 'xrule'), ([(5986, 43, 141), (5986, 85, 434), (8386, 43, 141)], 0.1317997, 'xrule'), ([(1150, 43, 141), (1150, 85, 434), (8386, 43, 141)], -0.03730011, 'xrule'), ([(9885, 85, 434), (8386, 43, 141), (9885, 43, 141)], -0.18010044, 'xrule'), ([(9201, 85, 434), (8386, 85, 1665), (9201, 85, 1665)], -1.1578007, 'xrule'), ([(1150, 66, 1327), (8386, 24, 1327), (1150, 85, 434)], -1.5021, 'xrule'), ([(10070, 85, 434), (8386, 43, 141), (10070, 43, 141)], -1.5674, 'xrule'), ([(8386, 48, 32), (10070, 48, 32), (10070, 85, 434)], -2.0208006, 'xrule')]"
0.12324202,"[2, 1]",1.2048147,"(80, 19, 559)",1,6,"[0.11218871, 0.13429533]",1.5,"[([(1610, 8, 80), (686, 19, 559), (686, 8, 1610), (1610, 8, 686)], 1.0685005, 'xrule'), ([(80, 8, 1070)], 0.30727676671427173, -633.4237795980137), ([(80, 8, 6697)], -0.741275741576466, 6345.322725227214), ([(1609, 8, 80), (686, 19, 559), (1609, 8, 686)], -1.2200994, 'xrule'), ([(80, 6, 9251)], -1.7479719324512564, -614.8516968307451), ([(1610, 8, 80), (1610, 3, 1357), (1357, 19, 559), (1357, 3, 1610)], -1.7832003, 'xrule')]"
0.36106884,"[1, 1]",5.6463876,"(2446, 48, 32)",1,10,"[0.278971, 0.44316673]",1.0,"[([(2446, 17, 215), (7880, 48, 32), (7880, 17, 215)], 3.3674994, 'xrule'), ([(2446, 17, 862), (7880, 48, 32), (7880, 17, 862)], 2.6662998, 'xrule'), ([(2446, 17, 215), (11091, 48, 32), (11091, 17, 215)], 1.3260994, 'xrule'), ([(2446, 17, 862), (2479, 48, 32), (2479, 17, 862)], 0.6359997, 'xrule'), ([(2446, 17, 243), (10384, 17, 243), (10384, 48, 32)], 0.2989998, 'xrule'), ([(2446, 38, 5945)], 0.009532014787012676, 1337.5023829756553), ([(2446, 17, 862), (9827, 48, 32), (9827, 17, 862)], -0.44070053, 'xrule'), ([(9827, 85, 1665), (9827, 48, 32), (2446, 85, 1665)], -0.47000027, 'xrule'), ([(2446, 19, 955)], -0.5909595053805072, -5422.643585280481), ([(2446, 38, 6061)], -1.3012518287757477, -4845.786045598396)]"
2.6854172,"[1, 1]",9.008254,"(11737, 43, 141)",2,14,"[2.7818031, 2.5890312]",1.0,"[([(12051, 43, 141), (12051, 17, 862), (11737, 17, 862)], 0.6012001, 'xrule'), ([(11322, 85, 434), (11737, 85, 434), (11322, 43, 141)], 0.5102005, 'xrule'), ([(2497, 17, 862), (2497, 43, 141), (11737, 17, 862)], 0.38040066, 'xrule'), ([(9916, 48, 1124), (9916, 43, 141), (11737, 48, 1124)], 0.30340004, 'xrule'), ([(2492, 85, 434), (2492, 43, 141), (11737, 85, 434)], -0.12909985, 'xrule'), ([(11737, 24, 249)], -0.35181899712134446, 537.4129413786239), ([(1254, 17, 862), (1254, 43, 141), (11737, 17, 862)], -0.49450016, 'xrule'), ([(11737, 48, 1124)], -0.5437812374986252, -0.6326916007065233), ([(1254, 85, 434), (1254, 43, 141), (11737, 85, 434)], -0.6595001, 'xrule'), ([(13653, 17, 862), (13653, 43, 141), (11737, 17, 862)], -0.98139954, 'xrule'), ([(11737, 66, 249)], -2.066742796738366, 1.1123715055834893), ([(9916, 17, 862), (9916, 43, 141), (11737, 17, 862)], -2.1759996, 'xrule'), ([(7662, 43, 141), (11737, 48, 1124), (7662, 48, 1124)], -2.4784994, 'xrule'), ([(13653, 85, 434), (13653, 43, 141), (11737, 85, 434)], -3.1865997, 'xrule')]"
0.32460347,"[2, 1]",3.7558599,"(4551, 26, 1098)",2,13,"[0.20316677, 0.44604015]",1.5,"[([(4551, 26, 990)], 1.5873652213507425, 9631.830245075202), ([(77, 7, 4551)], 1.5393076630382936, 10900.823364047264), ([(1085, 6, 4551)], 0.5739756064056525, 1971.6396800085854), ([(1004, 34, 90), (1004, 26, 1098), (4551, 34, 90)], -0.3238001, 'xrule'), ([(9943, 26, 1098), (4551, 26, 64), (9943, 26, 64)], -1.1528006, 'xrule'), ([(1004, 31, 163), (1004, 26, 1098), (4551, 31, 163)], -1.4357004, 'xrule'), ([(4551, 26, 64), (1004, 26, 1098), (1004, 26, 64)], -2.1007004, 'xrule'), ([(4551, 26, 64), (5092, 26, 1098), (5092, 26, 64)], -2.3781004, 'xrule'), ([(5092, 31, 163), (5092, 26, 1098), (4551, 31, 163)], -2.4771004, 'xrule'), ([(2908, 26, 64), (4551, 26, 64), (2908, 26, 1098)], -2.5278997, 'xrule'), ([(4232, 31, 163), (4232, 26, 1098), (4551, 31, 163)], -3.0974998, 'xrule'), ([(4232, 34, 90), (4232, 26, 1098), (4551, 34, 90)], -3.2385006, 'xrule'), ([(533, 34, 90), (4551, 34, 90), (533, 26, 1098)], -4.0128, 'xrule')]"
5.922678,"[1, 99]",9.085274,"(2899, 25, 62)",1,13,"[5.6889153, 6.1564407]",50.0,"[([(2899, 16, 32)], 0.7621078952327826, -6.318188804394643), ([(9893, 25, 62), (32, 15, 9893), (2899, 16, 32)], 0.011799812, 'xrule'), ([(2899, 16, 32), (10315, 25, 62), (10315, 48, 32)], -0.03390026, 'xrule'), ([(7919, 25, 62), (2899, 16, 32), (7919, 48, 32)], -0.052700043, 'xrule'), ([(7638, 25, 62), (32, 15, 7638), (2899, 16, 32)], -0.26270008, 'xrule'), ([(2899, 16, 32), (2002, 25, 62), (2002, 48, 32)], -0.4883995, 'xrule'), ([(2899, 46, 9740)], -0.4898876719275209, -6.620079980365188), ([(4332, 25, 62), (2899, 16, 32), (4332, 133, 32), (32, 15, 4332)], -0.64939976, 'xrule'), ([(32, 15, 12743), (12743, 25, 62), (2899, 16, 32), (12743, 133, 32)], -1.0552998, 'xrule'), ([(2899, 83, 2900)], -1.1425566127783366, -6.758148736904675), ([(13520, 25, 62), (32, 15, 13520), (2899, 16, 32)], -1.7817001, 'xrule'), ([(9060, 25, 62), (32, 15, 9060), (2899, 16, 32)], -1.8415995, 'xrule'), ([(2899, 16, 32), (32, 15, 12724), (12724, 25, 62)], -2.6713, 'xrule')]"
0.37882558,"[1, 1]",5.3139343,"(6597, 48, 32)",1,4,"[0.33848858, 0.41916257]",1.0,"[([(32, 15, 2607), (572, 106, 2607), (6597, 6, 572), (2607, 133, 32)], 0.85130024, 'xrule'), ([(6597, 19, 2399)], 0.09828762251309843, 329.5245521333953), ([(6597, 19, 1661)], -0.4319333611422373, 2964.3936647474093), ([(6597, 3, 5025)], -1.2107157142038016, 838.2295744280747)]"
