original_rank,prediction,original_score,new_score,new_ranks,facts,new_rank,new_scores,exp_length,exp
1,"(2035, 1, 8589)",8.747489,4.5289297,[10],"[([(8589, 1, 2035)], 1.1447, 'xrule'), ({(2035, 1, 3839), (2035, 1, 23638), (8589, 1, 2035)}, 0.6291199171532056, 'baseline'), ({(2035, 1, 3839), (3839, 1, 2035), (2035, 1, 23638)}, 0.23803619626421305, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638), (23638, 1, 2035)}, 0.1633911535707448, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638), (647, 0, 2035)}, 0.10885051926066584, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, 0.08483604622620029, 'baseline'), ([(8589, 1, 647), (647, 1, 8589), (647, 0, 2035)], 0.07240009, 'xrule'), ({(2035, 1, 3839), (2035, 1, 23638)}, 0.05389885138182219, 'baseline'), ({(2035, 1, 3839), (25494, 0, 2035), (2035, 1, 23638)}, 0.02931694215633813, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, 0.010783235499544968, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, 0.009400407751637056, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, -0.025279958785058513, 'baseline'), ([(8589, 1, 647), (23638, 1, 647), (2035, 1, 23638), (23638, 1, 2035), (647, 1, 8589), (647, 1, 23638)], -0.031300545, 'xrule'), ([(1896, 1, 3839), (3839, 1, 2035), (1896, 1, 8589), (2035, 1, 3839), (8589, 1, 1896), (3839, 1, 1896)], -0.06099987, 'xrule'), ([(25494, 0, 2035), (8589, 1, 25494)], -0.10910034, 'xrule')]",10.0,[4.5289297],10,"[(23638, 1, 647), (1896, 1, 3839), (3839, 1, 2035), (1896, 1, 8589), (23638, 1, 2035), (2035, 1, 23638), (647, 0, 2035), (8589, 1, 647), (8589, 1, 2035), (2035, 1, 3839)]"
1,"(16865, 1, 8774)",10.44133,1.6469941,[65],"[({(8774, 1, 16865)}, 4.082934993221134, 'baseline'), ({(16865, 5, 212), (8774, 1, 16865)}, 3.991396511692028, 'baseline'), ([(8774, 1, 16865)], 2.8085003, 'xrule'), ({(8774, 1, 16865)}, 2.5834962468327554, 'baseline'), ({(16865, 5, 212)}, -0.3287257737032978, 'baseline'), ([(8775, 1, 8774), (8774, 1, 8775), (16865, 5, 212), (8775, 5, 212)], -0.3994999, 'xrule')]",65.0,[1.6469941],4,"[(8775, 1, 8774), (16865, 5, 212), (8774, 1, 16865), (8775, 5, 212)]"
1,"(26185, 1, 15249)",11.001265,-2.9047923,[35818],"[({(15249, 1, 26185)}, 11.325535632022063, 'baseline'), ([(15249, 1, 26185)], 8.3498, 'xrule'), ({(15249, 1, 26185)}, 5.114180819038805, 'baseline')]",35818.0,[-2.9047923],1,"[(15249, 1, 26185)]"
1,"(7708, 1, 7707)",8.797766,-6.0437346,[19674],"[({(7708, 1, 9498), (7707, 1, 7708), (9498, 1, 7708)}, 10.323369156936344, 'baseline'), ([(7707, 1, 7708)], 3.6897998, 'xrule'), ({(7708, 1, 9498), (7707, 1, 7708)}, 2.658598586424096, 'baseline'), ({(7707, 1, 7708)}, 2.6563350401678356, 'baseline'), ({(7707, 1, 7708), (9498, 1, 7708)}, 2.6535846430669263, 'baseline'), ({(7708, 1, 9498)}, -0.6052264729779118, 'baseline'), ({(9498, 1, 7708)}, -0.6072835484407295, 'baseline'), ([(7708, 1, 9498), (9498, 1, 15877), (15877, 1, 9498), (7707, 0, 15877), (9498, 1, 7708)], -1.1478004, 'xrule'), ({(7708, 1, 9498), (9498, 1, 7708)}, -1.3942059842704575, 'baseline'), ([(7708, 1, 9498), (9498, 1, 7708), (7707, 1, 9498), (9498, 1, 7707)], -1.5653, 'xrule')]",19674.0,[-6.0437346],4,"[(7708, 1, 9498), (7707, 1, 7708), (9498, 1, 7707), (9498, 1, 7708)]"
1,"(37429, 1, 32885)",10.5282135,-5.027114,[34961],"[([(32885, 1, 37429)], 6.4867005, 'xrule'), ({(32885, 1, 37429)}, 4.775011790980614, 'baseline')]",34961.0,[-5.027114],1,"[(32885, 1, 37429)]"
1,"(5826, 1, 10722)",9.052063,-0.081198335,[2067],"[({(10722, 1, 5826)}, 6.331197179697321, 'baseline'), ([(10722, 1, 5826)], 4.2447, 'xrule'), ({(10722, 1, 5826)}, 3.5930608771176256, 'baseline'), ({(10722, 1, 5826)}, 3.537588960516721, 'baseline'), ({(10722, 1, 5826)}, 3.5326513098092716, 'baseline'), ({(10722, 1, 5826)}, 3.4190085807923745, 'baseline')]",2067.0,[-0.081198335],1,"[(10722, 1, 5826)]"
1,"(20692, 1, 21524)",9.7515745,-8.090248,[40620],"[([(21524, 1, 20692)], 3.6782002, 'xrule'), ({(21524, 1, 20692)}, 2.7857415119529465, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 1.9811182960545486, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 1.7126866159906446, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 1.6389437456208824, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 1.2440834620997034, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 1.130155617506503, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 0.9712629820068328, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 0.6366625274382279, 'baseline'), ({(20692, 1, 1062)}, 0.011957208607915293, 'baseline'), ({(20692, 1, 1062)}, -0.11296649733340518, 'baseline'), ([(21524, 0, 1062), (1062, 1, 20692), (20692, 1, 1062)], -0.9843998, 'xrule')]",40620.0,[-8.090248],3,"[(21524, 0, 1062), (21524, 1, 20692), (20692, 1, 1062)]"
1,"(25999, 1, 31140)",9.611744,-0.8773119,[17463],"[([(31140, 1, 25999)], 6.9379997, 'xrule'), ({(31140, 1, 25999)}, 3.276004599432599, 'baseline')]",17463.0,[-0.8773119],1,"[(31140, 1, 25999)]"
1,"(22500, 1, 15849)",8.751211,-1.5520154,[25707],"[({(15849, 1, 22500)}, 5.152828534354646, 'baseline'), ([(15849, 1, 22500)], 4.1816998, 'xrule'), ({(15849, 1, 22500)}, 2.5711671438708463, 'baseline'), ({(15849, 1, 22500)}, 2.203887097502802, 'baseline'), ({(15849, 1, 22500)}, 1.8112698429386307, 'baseline'), ({(15849, 1, 22500)}, 1.4385758091195973, 'baseline'), ({(15849, 1, 22500)}, 1.299219190851166, 'baseline')]",25707.0,[-1.5520154],1,"[(15849, 1, 22500)]"
1,"(21811, 0, 278)",7.6046906,4.9847775,[23],"[([(21810, 4, 3388), (21810, 4, 21811), (3388, 0, 278)], 11.610901, 'xrule'), ([(21810, 4, 9817), (21810, 4, 21811), (9817, 0, 278)], 11.6057, 'xrule'), ([(21810, 4, 17429), (17429, 0, 278), (21810, 4, 21811)], 11.5879, 'xrule'), ([(21810, 4, 6819), (21810, 4, 21811), (6819, 0, 278)], 11.5779, 'xrule'), ([(36998, 0, 278), (21810, 4, 36998), (21810, 4, 21811)], 11.5292, 'xrule'), ({(21810, 4, 21811)}, 7.867651377240566, 'baseline')]",23.0,[4.9847775],11,"[(21810, 4, 6819), (21810, 4, 36998), (21810, 4, 17429), (21810, 4, 9817), (6819, 0, 278), (17429, 0, 278), (21810, 4, 3388), (36998, 0, 278), (3388, 0, 278), (9817, 0, 278), (21810, 4, 21811)]"
1,"(33440, 2, 121)",7.4783945,8.86697,[8],"[({(4170, 6, 33440)}, 5.400144429037235, 'baseline')]",8.0,[8.86697],3,"[(4170, 6, 20535), (4170, 6, 33440), (20535, 2, 121)]"
1,"(14576, 5, 2971)",5.459032,5.604797,[1],"[({(14576, 1, 904), (904, 1, 14576)}, 1.0570540950390304, 'baseline'), ([(14576, 1, 904), (17185, 0, 904), (904, 1, 14576), (17185, 5, 2971)], 0.9424, 'xrule'), ([(14576, 1, 904), (11097, 0, 904), (904, 1, 14576), (11097, 5, 2971)], 0.8238001, 'xrule'), ({(14576, 1, 904), (904, 1, 14576)}, 0.7683344349198742, 'baseline'), ([(14576, 1, 904), (24018, 5, 2971), (904, 1, 14576), (24018, 0, 904)], 0.7101002, 'xrule'), ([(21333, 0, 904), (14576, 1, 904), (21333, 5, 2971), (904, 1, 14576)], 0.70149994, 'xrule'), ({(22518, 0, 14576)}, 0.2702331950166484, 'baseline'), ([(22518, 0, 14576), (22518, 5, 2971)], 0.23440027, 'xrule'), ({(904, 1, 14576)}, 0.22068170779807403, 'baseline'), ({(14576, 1, 904)}, 0.21687607041463866, 'baseline'), ({(904, 1, 14576)}, 0.16658024049493536, 'baseline'), ({(14576, 1, 904)}, 0.16641000961316105, 'baseline'), ({(14576, 1, 1156), (14576, 1, 904)}, 0.032357255896104206, 'baseline'), ({(1156, 1, 14576), (904, 1, 14576)}, 0.03026441760590767, 'baseline')]",1.0,[5.604797],8,"[(14576, 1, 904), (11097, 0, 904), (11097, 5, 2971), (904, 1, 14576), (24018, 0, 904), (17185, 0, 904), (17185, 5, 2971), (24018, 5, 2971)]"
1,"(12905, 1, 5832)",9.152345,-1.203174,[5791],"[({(28697, 1, 12905), (5832, 1, 12905), (12904, 1, 12905), (12905, 1, 28697)}, 1.7628012503841732, 'baseline'), ({(28697, 1, 12905), (12905, 1, 28697), (5832, 1, 12905), (12905, 1, 12904)}, 1.7503081160858767, 'baseline'), ({(28697, 1, 12905), (5832, 1, 12905), (12905, 1, 28697)}, 1.4563780483036899, 'baseline'), ({(12905, 1, 28697), (5832, 1, 12905), (12904, 1, 12905), (12905, 1, 12904)}, 1.408211771378821, 'baseline'), ({(28697, 1, 12905), (5832, 1, 12905), (12904, 1, 12905), (12905, 1, 12904)}, 1.4077292121654956, 'baseline'), ([(5832, 1, 12905)], 1.4026995, 'xrule'), ({(5832, 1, 12905), (12904, 1, 12905), (12905, 1, 12904)}, 1.1364231653606909, 'baseline'), ({(12905, 1, 28697), (5832, 1, 12905), (12905, 1, 12904)}, 1.0313787976239597, 'baseline'), ({(12905, 1, 28697), (5832, 1, 12905), (12905, 1, 12904)}, 0.4720840877079006, 'baseline'), ({(28697, 1, 12905), (12905, 1, 12904), (12905, 1, 28697)}, -0.14275928289450207, 'baseline'), ({(12905, 1, 12904), (12905, 1, 28697)}, -0.16253181244903428, 'baseline'), ([(12905, 1, 12904), (5832, 1, 1757), (12904, 1, 1757), (1757, 1, 5832), (1757, 1, 12904), (12904, 1, 12905)], -0.20800018, 'xrule'), ([(12905, 1, 28697), (5832, 1, 1757), (1757, 1, 5832), (28697, 1, 12905), (28697, 1, 1757), (1757, 1, 28697)], -0.23420048, 'xrule')]",5791.0,[-1.203174],8,"[(12905, 1, 12904), (12904, 1, 1757), (1757, 1, 5832), (5832, 1, 12905), (12905, 1, 28697), (28697, 1, 12905), (28697, 1, 1757), (12904, 1, 12905)]"
1,"(17819, 1, 653)",9.249761,-3.5868082,[28165],"[({(17819, 1, 17820), (653, 1, 17819), (17820, 1, 17819)}, 5.9767710270176435, 'baseline'), ([(653, 1, 17819)], 2.012, 'xrule'), ({(17819, 1, 17820), (653, 1, 17819)}, 1.1428175517757795, 'baseline'), ({(17820, 1, 17819), (653, 1, 17819)}, 1.1372290201240223, 'baseline'), ({(653, 1, 17819)}, 1.0470448060243382, 'baseline'), ({(653, 1, 17819)}, 0.911924411058881, 'baseline'), ({(17819, 1, 17820), (17820, 1, 17819)}, 0.07056621739322738, 'baseline'), ({(17819, 1, 17820)}, -0.07462592889564706, 'baseline'), ({(17820, 1, 17819)}, -0.10169311327568502, 'baseline'), ([(17819, 1, 17820), (17820, 0, 12901), (17820, 1, 17819), (653, 0, 12901)], -0.14410019, 'xrule'), ({(17819, 1, 17820)}, -0.5461415814096723, 'baseline'), ([(654, 1, 653), (17819, 1, 17820), (653, 1, 654), (654, 1, 17820), (17820, 1, 17819)], -0.5493002, 'xrule')]",28165.0,[-3.5868082],5,"[(653, 1, 17819), (17820, 1, 17819), (17820, 0, 12901), (653, 0, 12901), (17819, 1, 17820)]"
1,"(17014, 2, 3167)",7.138199,1.8406024,[228],"[([(8221, 2, 3167), (8221, 2, 909), (17014, 2, 909)], 10.4026, 'xrule'), ([(28036, 2, 909), (28036, 2, 3167), (17014, 2, 909)], 10.402101, 'xrule'), ([(17219, 2, 909), (17219, 2, 3167), (17014, 2, 909)], 10.4013, 'xrule'), ({(17014, 2, 909)}, 6.876429727617267, 'baseline')]",228.0,[1.8406024],7,"[(8221, 2, 3167), (17219, 2, 909), (17219, 2, 3167), (28036, 2, 3167), (8221, 2, 909), (17014, 2, 909), (28036, 2, 909)]"
1,"(32701, 0, 522)",6.671388,0.68582475,[295],"[([(4393, 1, 522), (522, 1, 4393), (1049, 1, 32701), (32701, 1, 1049), (1049, 0, 4393)], 4.6268997, 'xrule'), ([(1048, 1, 1049), (1048, 0, 522), (1049, 1, 32701), (1049, 1, 1048), (32701, 1, 1049)], 4.4993, 'xrule'), ({(32701, 1, 1049), (1049, 1, 32701)}, 4.206099247179424, 'baseline'), ({(32701, 1, 1049)}, 0.7181826091953801, 'baseline'), ({(1049, 1, 32701)}, 0.7174315906230033, 'baseline')]",295.0,[0.68582475],8,"[(1048, 1, 1049), (522, 1, 4393), (1049, 1, 32701), (32701, 1, 1049), (4393, 1, 522), (1048, 0, 522), (1049, 1, 1048), (1049, 0, 4393)]"
1,"(3104, 1, 3103)",9.955729,-2.4986644,[19776],"[([(3103, 1, 3104)], 9.5898, 'xrule'), ({(3103, 1, 3104)}, 8.067532968206326, 'baseline')]",19776.0,[-2.4986644],1,"[(3103, 1, 3104)]"
1,"(17011, 3, 17169)",8.8337755,-1.2262571,[25851],"[([(17169, 3, 17011)], 2.6324005, 'xrule'), ({(17169, 3, 17011)}, 2.28702604788479, 'baseline'), ({(17169, 3, 17011)}, 2.2854892015958, 'baseline'), ({(17169, 3, 17011)}, 2.2212649524967873, 'baseline'), ({(17169, 3, 17011)}, 2.0170832645248193, 'baseline'), ({(17169, 3, 17011)}, 1.8733445080448234, 'baseline'), ({(17169, 3, 17011)}, 1.843274678060478, 'baseline'), ({(17169, 3, 17011)}, 1.8423753631873332, 'baseline')]",25851.0,[-1.2262571],1,"[(17169, 3, 17011)]"
1,"(23647, 0, 1338)",7.0427074,1.2989664,[209],"[([(16202, 0, 14302), (23647, 0, 14302), (16202, 0, 1338)], 12.0021, 'xrule'), ([(23589, 0, 14302), (23589, 0, 1338), (23647, 0, 14302)], 12.000099, 'xrule'), ([(128, 0, 1338), (23647, 0, 14302), (128, 0, 14302)], 11.9993, 'xrule'), ([(14302, 0, 1338), (23647, 0, 14302)], 11.956599, 'xrule'), ({(23647, 0, 14302)}, 8.395473880489597, 'baseline')]",209.0,[1.2989664],8,"[(23589, 0, 14302), (23589, 0, 1338), (128, 0, 14302), (128, 0, 1338), (16202, 0, 14302), (23647, 0, 14302), (14302, 0, 1338), (16202, 0, 1338)]"
1,"(4765, 1, 4764)",9.360676,-0.23183657,[9135],"[({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.7266318147581137, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.429979935721279, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.3748937937077312, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.32370865739106, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.296191335906294, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.2326093862975136, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.228551501659603, 'baseline'), ([(4764, 1, 4765)], 1.7367, 'xrule'), ({(4765, 1, 29462), (4764, 1, 4765)}, 1.4128142038413296, 'baseline'), ({(4765, 1, 29462), (4764, 1, 4765)}, 1.3709011697012683, 'baseline'), ({(4765, 1, 29462), (4764, 1, 4765)}, 1.3591204304678723, 'baseline'), ([(29462, 1, 4765), (29140, 1, 29462), (29140, 1, 4764), (4764, 1, 29140), (4765, 1, 29462), (29462, 1, 29140)], 0.028700829, 'xrule'), ([(4764, 1, 21665), (29462, 1, 4765), (4765, 1, 29462), (21665, 1, 29462), (21665, 1, 4764)], -0.089099884, 'xrule')]",9135.0,[-0.23183657],5,"[(4765, 1, 29462), (21665, 1, 29462), (4764, 1, 4765), (29462, 1, 4765), (4764, 1, 21665)]"
1,"(8742, 1, 19068)",8.114485,3.798061,[29],"[([(19068, 1, 8742)], 1.6946998, 'xrule'), ({(19068, 1, 8742)}, 1.306679785288654, 'baseline'), ({(19068, 1, 8742)}, 1.2904081935244416, 'baseline'), ({(19068, 1, 8742)}, 1.1875978074974796, 'baseline'), ({(8742, 1, 1897), (19068, 1, 8742)}, 1.1675453738529276, 'baseline'), ({(19068, 1, 8742)}, 1.159036691336243, 'baseline'), ({(19068, 1, 8742)}, 1.1563778472593063, 'baseline'), ({(19068, 1, 8742)}, 1.1464734624134982, 'baseline'), ({(19068, 1, 8742)}, 1.1334777421023068, 'baseline'), ([(5674, 1, 1897), (8742, 1, 1897), (1897, 1, 5674), (1897, 1, 8742), (19068, 1, 5674), (5674, 1, 19068)], 0.091199875, 'xrule'), ({(8742, 1, 1897)}, -0.18594737788207424, 'baseline'), ({(8742, 1, 1897)}, -0.21638198622571014, 'baseline')]",29.0,[3.798061],4,"[(8742, 1, 1897), (5674, 1, 19068), (1897, 1, 5674), (19068, 1, 8742)]"
1,"(13806, 1, 28087)",9.769687,-1.5146112,[28182],"[({(28087, 1, 13806)}, 6.260065559268487, 'baseline'), ([(28087, 1, 13806)], 4.4971004, 'xrule'), ({(28087, 1, 13806)}, 4.412908922901865, 'baseline'), ({(28087, 1, 13806)}, 3.249389926650838, 'baseline'), ({(28087, 1, 13806)}, 2.6461559959756302, 'baseline'), ({(28087, 1, 13806)}, 2.392315994848119, 'baseline')]",28182.0,[-1.5146112],1,"[(28087, 1, 13806)]"
