new_scores,prediction,exp_length,new_ranks,original_score,facts,new_score,new_rank,exp,original_rank
[3.97872],"(6195, 9, 8721)",11,[18],6.0124025,"[([(6195, 2, 3219), (25757, 2, 3219), (25757, 9, 8721)], 0.7607994, 'xrule'), ([(6195, 2, 31), (25757, 2, 31), (25757, 9, 8721)], 0.6313, 'xrule'), ([(25757, 1, 65), (25757, 9, 8721), (6195, 1, 65)], 0.6264, 'xrule'), ([(6195, 3, 40), (25757, 3, 40), (25757, 9, 8721)], 0.6182995, 'xrule'), ([(25757, 3, 2022), (6195, 3, 2022), (25757, 9, 8721)], 0.6114998, 'xrule')]",3.97872,18.0,"[(6195, 2, 31), (25757, 2, 31), (6195, 3, 40), (6195, 2, 3219), (25757, 2, 3219), (25757, 3, 40), (6195, 3, 2022), (6195, 1, 65), (25757, 9, 8721), (25757, 3, 2022), (25757, 1, 65)]",1
[5.10042],"(5717, 9, 2010)",11,[5],7.6262035,"[([(5717, 3, 2014), (23410, 9, 2010), (23410, 3, 2014)], 0.46399975, 'xrule'), ([(5717, 2, 2011), (23410, 2, 2011), (23410, 9, 2010)], 0.43190002, 'xrule'), ([(5717, 3, 40), (23410, 9, 2010), (23410, 3, 40)], 0.40509987, 'xrule'), ([(5717, 3, 6), (23410, 9, 2010), (23410, 3, 6)], 0.36419964, 'xrule'), ([(23410, 9, 2010), (23410, 2, 30), (5717, 2, 30)], 0.35919952, 'xrule')]",5.10042,5.0,"[(5717, 3, 6), (23410, 9, 2010), (23410, 3, 2014), (23410, 3, 40), (5717, 3, 2014), (5717, 2, 2011), (5717, 2, 30), (5717, 3, 40), (23410, 2, 2011), (23410, 3, 6), (23410, 2, 30)]",1
[7.862952],"(5179, 9, 13676)",11,[1],8.899089,"[([(25534, 9, 13676), (25534, 3, 2586), (5179, 3, 2586)], 0.4864006, 'xrule'), ([(5179, 3, 113), (25534, 9, 13676), (25534, 3, 113)], 0.4758997, 'xrule'), ([(25534, 9, 13676), (25534, 3, 9), (5179, 3, 9)], 0.46460056, 'xrule'), ([(25534, 9, 13676), (25534, 2, 5181), (5179, 2, 5181)], 0.46420002, 'xrule'), ([(25534, 9, 13676), (25534, 2, 2584), (5179, 2, 2584)], 0.46210003, 'xrule')]",7.862952,1.0,"[(25534, 3, 113), (5179, 3, 113), (5179, 2, 2584), (25534, 3, 9), (5179, 3, 9), (5179, 2, 5181), (25534, 9, 13676), (25534, 2, 5181), (25534, 3, 2586), (25534, 2, 2584), (5179, 3, 2586)]",1
[6.7694283],"(4912, 11, 7869)",14,[2],7.3935227,"[([(4912, 3, 75), (20378, 3, 75), (20378, 11, 7869)], 0.53200054, 'xrule'), ([(23412, 11, 7869), (23412, 3, 2043), (4912, 3, 2043)], 0.49740028, 'xrule'), ([(4912, 3, 75), (24926, 3, 75), (24926, 11, 7869)], 0.4116001, 'xrule'), ([(4912, 3, 2044), (12997, 11, 7869), (12997, 3, 2044)], 0.3945999, 'xrule'), ([(15227, 3, 7), (15227, 11, 7869), (4912, 3, 7)], 0.38440037, 'xrule')]",6.7694283,2.0,"[(4912, 3, 75), (23412, 11, 7869), (24926, 11, 7869), (12997, 3, 2044), (15227, 11, 7869), (4912, 3, 7), (20378, 11, 7869), (4912, 3, 2044), (20378, 3, 75), (12997, 11, 7869), (23412, 3, 2043), (4912, 3, 2043), (15227, 3, 7), (24926, 3, 75)]",1
[8.3550205],"(7517, 9, 7759)",11,[1],8.731943,"[([(15740, 9, 7759), (7517, 3, 2279), (15740, 3, 2279)], 0.20429993, 'xrule'), ([(7517, 3, 4), (15740, 9, 7759), (15740, 3, 4)], 0.20390034, 'xrule'), ([(15740, 1, 168), (15740, 9, 7759), (7517, 1, 168)], 0.20040035, 'xrule'), ([(15740, 9, 7759), (7517, 3, 6), (15740, 3, 6)], 0.19210052, 'xrule'), ([(15740, 9, 7759), (7517, 3, 293), (15740, 3, 293)], 0.18770027, 'xrule')]",8.3550205,1.0,"[(7517, 3, 4), (7517, 3, 293), (7517, 3, 2279), (15740, 3, 6), (15740, 3, 293), (7517, 3, 6), (15740, 1, 168), (7517, 1, 168), (15740, 9, 7759), (15740, 3, 4), (15740, 3, 2279)]",1
[6.2686],"(6162, 9, 2010)",12,[2],8.629868,"[([(18479, 9, 2010), (6162, 2, 31), (18479, 2, 31)], 0.34810066, 'xrule'), ([(18479, 9, 2010), (6162, 2, 30), (18479, 2, 30)], 0.34600067, 'xrule'), ([(18479, 9, 2010), (18479, 3, 6), (6162, 3, 6)], 0.33530045, 'xrule'), ([(24132, 3, 40), (6162, 3, 40), (24132, 9, 2010)], 0.33210087, 'xrule'), ([(24132, 3, 88), (6162, 3, 88), (24132, 9, 2010)], 0.32140064, 'xrule')]",6.2686,2.0,"[(18479, 2, 31), (6162, 3, 6), (18479, 9, 2010), (18479, 2, 30), (6162, 3, 40), (24132, 3, 88), (6162, 3, 88), (24132, 3, 40), (6162, 2, 31), (18479, 3, 6), (24132, 9, 2010), (6162, 2, 30)]",1
[8.41448],"(5920, 9, 8418)",11,[1],9.054642,"[([(5920, 3, 111), (25113, 9, 8418), (25113, 3, 111)], 0.1534996, 'xrule'), ([(25812, 9, 8418), (25812, 3, 111), (5920, 3, 111)], 0.15069962, 'xrule'), ([(22405, 3, 111), (22405, 9, 8418), (5920, 3, 111)], 0.14039993, 'xrule'), ([(5920, 3, 218), (25113, 9, 8418), (25113, 3, 218)], 0.13739967, 'xrule'), ([(5920, 3, 111), (8674, 9, 8418), (8674, 3, 111)], 0.13700008, 'xrule')]",8.41448,1.0,"[(22405, 9, 8418), (25812, 9, 8418), (5920, 3, 111), (25113, 3, 111), (22405, 3, 111), (25812, 3, 111), (8674, 9, 8418), (8674, 3, 111), (5920, 3, 218), (25113, 9, 8418), (25113, 3, 218)]",1
[6.51289],"(6822, 11, 7869)",10,[1],6.63501,"[([(6822, 3, 2043), (17096, 3, 2043), (17096, 11, 7869)], 0.18109989, 'xrule'), ([(6822, 3, 436), (17096, 11, 7869), (17096, 3, 436)], 0.10560036, 'xrule'), ([(6822, 3, 436), (23983, 11, 7869), (23983, 3, 436)], 0.067700386, 'xrule'), ([(6822, 3, 436), (24159, 3, 436), (24159, 11, 7869)], 0.05870056, 'xrule'), ([(6822, 3, 2043), (23983, 3, 2043), (23983, 11, 7869)], 0.045300484, 'xrule')]",6.51289,1.0,"[(24159, 11, 7869), (17096, 3, 2043), (6822, 3, 436), (17096, 3, 436), (23983, 11, 7869), (6822, 3, 2043), (23983, 3, 2043), (23983, 3, 436), (24159, 3, 436), (17096, 11, 7869)]",1
[3.226291],"(7365, 12, 6095)",11,[104],7.641706,"[([(16696, 3, 6), (7365, 3, 6), (16696, 12, 6095)], 2.2503, 'xrule'), ([(16696, 3, 7), (7365, 3, 7), (16696, 12, 6095)], 2.2185001, 'xrule'), ([(16696, 3, 276), (7365, 3, 276), (16696, 12, 6095)], 2.2147002, 'xrule'), ([(16696, 3, 277), (7365, 3, 277), (16696, 12, 6095)], 2.2140002, 'xrule'), ([(16696, 4, 66), (7365, 4, 66), (16696, 12, 6095)], 2.2081003, 'xrule')]",3.226291,104.0,"[(16696, 3, 6), (16696, 3, 276), (7365, 3, 6), (7365, 3, 276), (7365, 4, 66), (16696, 4, 66), (16696, 3, 277), (16696, 3, 7), (7365, 3, 277), (7365, 3, 7), (16696, 12, 6095)]",2
[6.04644],"(5110, 11, 6729)",11,[2],6.395771,"[([(25172, 3, 40), (25172, 11, 6729), (5110, 3, 40)], 0.18410015, 'xrule'), ([(5110, 1, 65), (25172, 11, 6729), (25172, 1, 65)], 0.17850018, 'xrule'), ([(24053, 3, 40), (5110, 3, 40), (24053, 11, 6729)], 0.17140007, 'xrule'), ([(23335, 3, 40), (5110, 3, 40), (23335, 11, 6729)], 0.16329956, 'xrule'), ([(11096, 11, 6729), (5110, 3, 40), (11096, 3, 40)], 0.16320038, 'xrule')]",6.04644,2.0,"[(25172, 3, 40), (5110, 3, 40), (11096, 11, 6729), (24053, 3, 40), (23335, 3, 40), (25172, 1, 65), (11096, 3, 40), (24053, 11, 6729), (23335, 11, 6729), (5110, 1, 65), (25172, 11, 6729)]",2
[5.8887897],"(7655, 11, 8038)",13,[2],6.992312,"[([(7655, 3, 220), (21168, 11, 8038), (21168, 3, 220)], 0.6907997, 'xrule'), ([(21168, 3, 39), (21168, 11, 8038), (7655, 3, 39)], 0.21819973, 'xrule'), ([(7655, 3, 40), (13114, 11, 8038), (13114, 3, 40)], 0.20129967, 'xrule'), ([(13114, 11, 8038), (7655, 3, 10), (13114, 3, 10)], 0.16380024, 'xrule'), ([(17655, 3, 479), (7655, 3, 479), (17655, 11, 8038)], 0.12829971, 'xrule')]",5.8887897,2.0,"[(7655, 3, 220), (7655, 3, 40), (13114, 3, 40), (7655, 3, 10), (7655, 3, 39), (17655, 11, 8038), (7655, 3, 479), (21168, 3, 39), (13114, 3, 10), (13114, 11, 8038), (21168, 11, 8038), (17655, 3, 479), (21168, 3, 220)]",1
[5.088155],"(6812, 12, 13960)",11,[6],7.1088166,"[([(22481, 3, 10), (6812, 3, 10), (22481, 12, 13960)], 1.1051002, 'xrule'), ([(22481, 12, 13960), (22481, 3, 1870), (6812, 3, 1870)], 1.0924001, 'xrule'), ([(6812, 3, 9), (22481, 12, 13960), (22481, 3, 9)], 1.0916004, 'xrule'), ([(22481, 3, 78), (6812, 3, 78), (22481, 12, 13960)], 1.0879002, 'xrule'), ([(22481, 12, 13960), (22481, 3, 7), (6812, 3, 7)], 1.0726004, 'xrule')]",5.088155,6.0,"[(22481, 3, 9), (22481, 3, 1870), (6812, 3, 78), (6812, 3, 7), (6812, 3, 10), (22481, 3, 78), (22481, 12, 13960), (22481, 3, 7), (22481, 3, 10), (6812, 3, 1870), (6812, 3, 9)]",1
[5.1751714],"(5218, 9, 11980)",11,[4],6.9315023,"[([(18965, 2, 2083), (18965, 9, 11980), (5218, 2, 2083)], 0.56550026, 'xrule'), ([(5218, 3, 2085), (18965, 3, 2085), (18965, 9, 11980)], 0.559, 'xrule'), ([(18965, 2, 2082), (5218, 2, 2082), (18965, 9, 11980)], 0.48690033, 'xrule'), ([(18965, 3, 2084), (18965, 9, 11980), (5218, 3, 2084)], 0.45230007, 'xrule'), ([(5218, 3, 2092), (18965, 3, 2092), (18965, 9, 11980)], 0.4055004, 'xrule')]",5.1751714,4.0,"[(18965, 3, 2084), (18965, 2, 2082), (5218, 3, 2092), (18965, 9, 11980), (18965, 3, 2092), (5218, 3, 2085), (18965, 3, 2085), (18965, 2, 2083), (5218, 2, 2083), (5218, 3, 2084), (5218, 2, 2082)]",1
[7.8756514],"(7236, 9, 7903)",11,[1],8.511835,"[([(14237, 9, 7903), (14237, 3, 418), (7236, 3, 418)], 0.26390076, 'xrule'), ([(14237, 9, 7903), (14237, 2, 1188), (7236, 2, 1188)], 0.2538004, 'xrule'), ([(16337, 2, 1188), (16337, 9, 7903), (7236, 2, 1188)], 0.24590015, 'xrule'), ([(7236, 4, 66), (16337, 4, 66), (16337, 9, 7903)], 0.23520088, 'xrule'), ([(14237, 3, 40), (7236, 3, 40), (14237, 9, 7903)], 0.22530079, 'xrule')]",7.8756514,1.0,"[(16337, 4, 66), (16337, 2, 1188), (14237, 3, 418), (14237, 2, 1188), (14237, 9, 7903), (7236, 3, 40), (7236, 2, 1188), (14237, 3, 40), (7236, 4, 66), (7236, 3, 418), (16337, 9, 7903)]",1
[6.323559],"(5756, 11, 7869)",13,[1],6.1215763,"[([(20946, 11, 7869), (20946, 2, 30), (5756, 2, 30)], 0.61310005, 'xrule'), ([(5756, 3, 75), (13995, 11, 7869), (13995, 3, 75)], 0.59959984, 'xrule'), ([(5756, 3, 6), (24457, 11, 7869), (24457, 3, 6)], 0.5937004, 'xrule'), ([(23399, 2, 30), (23399, 11, 7869), (5756, 2, 30)], 0.58650017, 'xrule'), ([(5756, 2, 31), (20946, 11, 7869), (20946, 2, 31)], 0.54730034, 'xrule')]",6.323559,1.0,"[(5756, 3, 75), (24457, 11, 7869), (20946, 2, 30), (24457, 3, 6), (20946, 11, 7869), (23399, 11, 7869), (13995, 3, 75), (5756, 3, 6), (23399, 2, 30), (5756, 2, 31), (20946, 2, 31), (13995, 11, 7869), (5756, 2, 30)]",2
[6.807012],"(6419, 9, 7991)",11,[1],7.2348595,"[([(6419, 3, 1823), (11461, 3, 1823), (11461, 9, 7991)], 0.35149956, 'xrule'), ([(16014, 9, 7991), (6419, 3, 1823), (16014, 3, 1823)], 0.3164997, 'xrule'), ([(11461, 9, 7991), (6419, 3, 733), (11461, 3, 733)], 0.3135996, 'xrule'), ([(11461, 9, 7991), (6419, 3, 756), (11461, 3, 756)], 0.31029987, 'xrule'), ([(6419, 4, 66), (11461, 4, 66), (11461, 9, 7991)], 0.30569935, 'xrule')]",6.807012,1.0,"[(16014, 9, 7991), (11461, 3, 1823), (6419, 3, 733), (11461, 9, 7991), (11461, 3, 733), (11461, 4, 66), (6419, 4, 66), (6419, 3, 756), (6419, 3, 1823), (16014, 3, 1823), (11461, 3, 756)]",1
[8.558949],"(6323, 9, 8418)",11,[1],9.2064905,"[([(14712, 9, 8418), (14712, 3, 111), (6323, 3, 111)], 0.13290024, 'xrule'), ([(13048, 9, 8418), (6323, 3, 111), (13048, 3, 111)], 0.13229942, 'xrule'), ([(6323, 3, 111), (14580, 3, 111), (14580, 9, 8418)], 0.13070011, 'xrule'), ([(13048, 9, 8418), (6323, 3, 2638), (13048, 3, 2638)], 0.12879944, 'xrule'), ([(6323, 3, 111), (12131, 9, 8418), (12131, 3, 111)], 0.12809944, 'xrule')]",8.558949,1.0,"[(14712, 3, 111), (13048, 9, 8418), (14580, 3, 111), (6323, 3, 2638), (13048, 3, 2638), (14712, 9, 8418), (6323, 3, 111), (13048, 3, 111), (14580, 9, 8418), (12131, 9, 8418), (12131, 3, 111)]",1
[7.337797],"(6885, 9, 1470)",11,[1],9.047374,"[([(6885, 2, 1166), (12340, 2, 1166), (12340, 9, 1470)], 0.21510029, 'xrule'), ([(6885, 3, 516), (12340, 3, 516), (12340, 9, 1470)], 0.2105999, 'xrule'), ([(6885, 2, 1166), (14626, 9, 1470), (14626, 2, 1166)], 0.19029999, 'xrule'), ([(6885, 3, 40), (12340, 3, 40), (12340, 9, 1470)], 0.17740059, 'xrule'), ([(25735, 2, 1166), (6885, 2, 1166), (25735, 9, 1470)], 0.17170048, 'xrule')]",7.337797,1.0,"[(6885, 2, 1166), (12340, 2, 1166), (14626, 9, 1470), (25735, 9, 1470), (6885, 3, 516), (12340, 3, 516), (6885, 3, 40), (12340, 3, 40), (12340, 9, 1470), (25735, 2, 1166), (14626, 2, 1166)]",1
[8.27713],"(5770, 9, 1470)",11,[1],9.176466,"[([(5770, 2, 1166), (14803, 9, 1470), (14803, 2, 1166)], 0.16839981, 'xrule'), ([(5770, 2, 1166), (25424, 9, 1470), (25424, 2, 1166)], 0.14150047, 'xrule'), ([(8628, 2, 1166), (5770, 2, 1166), (8628, 9, 1470)], 0.12930012, 'xrule'), ([(5770, 2, 1166), (10961, 2, 1166), (10961, 9, 1470)], 0.125, 'xrule'), ([(5770, 2, 1166), (20277, 9, 1470), (20277, 2, 1166)], 0.12020016, 'xrule')]",8.27713,1.0,"[(8628, 2, 1166), (14803, 9, 1470), (20277, 9, 1470), (10961, 9, 1470), (20277, 2, 1166), (25424, 9, 1470), (8628, 9, 1470), (14803, 2, 1166), (5770, 2, 1166), (10961, 2, 1166), (25424, 2, 1166)]",1
[5.7180624],"(5575, 11, 8038)",14,[2],6.8954225,"[([(25429, 11, 8038), (25429, 4, 66), (5575, 4, 66)], 0.8323002, 'xrule'), ([(5575, 3, 75), (10332, 11, 8038), (10332, 3, 75)], 0.8154001, 'xrule'), ([(20908, 3, 725), (20908, 11, 8038), (5575, 3, 725)], 0.57750034, 'xrule'), ([(20908, 3, 651), (20908, 11, 8038), (5575, 3, 651)], 0.53490067, 'xrule'), ([(20230, 3, 100), (20230, 11, 8038), (5575, 3, 100)], 0.53200054, 'xrule')]",5.7180624,2.0,"[(20230, 11, 8038), (5575, 3, 651), (10332, 3, 75), (5575, 3, 725), (25429, 11, 8038), (5575, 3, 75), (20908, 3, 725), (20908, 11, 8038), (20908, 3, 651), (20230, 3, 100), (25429, 4, 66), (10332, 11, 8038), (5575, 3, 100), (5575, 4, 66)]",1
[5.602729],"(5067, 11, 7992)",13,[1],5.6155605,"[([(23486, 11, 7992), (23486, 3, 78), (5067, 3, 78)], 0.87199974, 'xrule'), ([(12340, 11, 7992), (12340, 3, 78), (5067, 3, 78)], 0.86569977, 'xrule'), ([(5067, 2, 31), (14544, 2, 31), (14544, 11, 7992)], 0.85700035, 'xrule'), ([(5067, 2, 30), (14544, 2, 30), (14544, 11, 7992)], 0.8125, 'xrule'), ([(5067, 3, 6), (25622, 3, 6), (25622, 11, 7992)], 0.51830006, 'xrule')]",5.602729,1.0,"[(25622, 11, 7992), (23486, 11, 7992), (14544, 2, 31), (5067, 3, 6), (23486, 3, 78), (25622, 3, 6), (14544, 11, 7992), (14544, 2, 30), (12340, 11, 7992), (5067, 2, 31), (5067, 2, 30), (12340, 3, 78), (5067, 3, 78)]",1
[4.608412],"(5645, 9, 11980)",11,[8],6.96239,"[([(5645, 2, 2083), (18965, 2, 2083), (18965, 9, 11980)], 0.42319965, 'xrule'), ([(18965, 3, 2085), (18965, 9, 11980), (5645, 3, 2085)], 0.39729977, 'xrule'), ([(18965, 2, 2082), (18965, 9, 11980), (5645, 2, 2082)], 0.39350033, 'xrule'), ([(5645, 4, 66), (18965, 9, 11980), (18965, 4, 66)], 0.3764, 'xrule'), ([(18965, 9, 11980), (18965, 1, 65), (5645, 1, 65)], 0.31869984, 'xrule')]",4.608412,8.0,"[(18965, 2, 2082), (5645, 2, 2082), (18965, 9, 11980), (5645, 4, 66), (18965, 3, 2085), (18965, 2, 2083), (5645, 3, 2085), (5645, 2, 2083), (18965, 1, 65), (18965, 4, 66), (5645, 1, 65)]",2
[7.083849],"(7628, 12, 4492)",11,[4],8.398114,"[([(24360, 12, 4492), (24360, 3, 40), (7628, 3, 40)], 0.23589993, 'xrule'), ([(7628, 3, 279), (23877, 3, 279), (23877, 12, 4492)], 0.21880054, 'xrule'), ([(7628, 3, 279), (14117, 3, 279), (14117, 12, 4492)], 0.20460033, 'xrule'), ([(23877, 3, 149), (23877, 12, 4492), (7628, 3, 149)], 0.20390034, 'xrule'), ([(23877, 12, 4492), (7628, 3, 40), (23877, 3, 40)], 0.20370007, 'xrule')]",7.083849,4.0,"[(7628, 3, 279), (24360, 3, 40), (24360, 12, 4492), (7628, 3, 40), (7628, 3, 149), (23877, 3, 279), (14117, 3, 279), (14117, 12, 4492), (23877, 12, 4492), (23877, 3, 40), (23877, 3, 149)]",2
