facts,new_rank,exp_length,prediction,new_scores,exp,new_score,original_rank,new_ranks,original_score
"[([(12227, 1, 14940)], 0.5226, 'xrule'), ([(5927, 1, 1025), (1025, 1, 5927), (1025, 1, 12227), (12227, 1, 1025), (5927, 1, 14940), (14940, 1, 5927)], -0.46649998, 'xrule'), ([(13800, 1, 12227), (5927, 1, 13800), (13800, 1, 5927), (5927, 1, 14940), (14940, 1, 5927)], -0.47529995, 'xrule')]",10745.0,10,"(14940, 1, 12227)",[3.396150714252144e-05],"[(1025, 1, 12227), (1025, 1, 5927), (12227, 1, 14940), (12227, 1, 1025), (14940, 1, 5927), (13800, 1, 12227), (5927, 1, 13800), (13800, 1, 5927), (5927, 1, 14940), (5927, 1, 1025)]",3.396150714252144e-05,1,[10745],0.8385334610939026
"[([(8019, 1, 2949)], 0.1337, 'xrule'), ([(2949, 1, 9188), (9188, 1, 30805), (30805, 1, 8019), (30805, 1, 9188), (9188, 1, 2949)], -0.0045000017, 'xrule'), ([(2949, 1, 9188), (8019, 1, 15469), (9188, 1, 15469), (9188, 1, 2949), (15469, 1, 8019)], -0.0414, 'xrule')]",3722.0,9,"(2949, 1, 8019)",[0.00022375595290213823],"[(9188, 1, 30805), (30805, 1, 9188), (9188, 1, 15469), (9188, 1, 2949), (15469, 1, 8019), (2949, 1, 9188), (8019, 1, 15469), (8019, 1, 2949), (30805, 1, 8019)]",0.00022375595290213823,1,[3722],0.8824633359909058
"[([(15171, 1, 31425), (15171, 1, 12999), (12999, 1, 15171), (31425, 1, 15171), (15729, 1, 31425)], 0.0, 'xrule'), ([(15730, 1, 15171), (15171, 1, 12999), (15729, 1, 15730), (12999, 1, 15171), (15730, 1, 15729), (15171, 1, 15730)], 0.0, 'xrule'), ([(15171, 1, 12999), (15729, 1, 16455), (16455, 1, 15729), (16455, 1, 15171), (12999, 1, 15171), (15171, 1, 16455)], -0.0001, 'xrule')]",12514.0,13,"(15729, 1, 12999)",[2.5124345484073274e-05],"[(15171, 1, 31425), (15730, 1, 15171), (15729, 1, 16455), (16455, 1, 15171), (31425, 1, 15171), (15730, 1, 15729), (15171, 1, 16455), (15171, 1, 12999), (15729, 1, 15730), (12999, 1, 15171), (16455, 1, 15729), (15729, 1, 31425), (15171, 1, 15730)]",2.5124345484073274e-05,1,[12514],0.19728238880634308
"[([(18592, 1, 20124)], 0.9814, 'xrule')]",29573.0,1,"(20124, 1, 18592)",[1.652351056691259e-05],"[(18592, 1, 20124)]",1.652351056691259e-05,1,[29573],0.9615100622177124
"[([(1116, 1, 23468)], 0.39970002, 'xrule')]",1109.0,1,"(23468, 1, 1116)",[0.00032240853761322796],"[(1116, 1, 23468)]",0.00032240853761322796,1,[1109],0.9318868517875671
"[([(9535, 4, 9536), (9535, 4, 25282), (25282, 0, 265)], 0.0099, 'xrule'), ([(9535, 4, 9536), (24998, 0, 265), (9535, 4, 24998)], 0.0099, 'xrule')]",699.0,5,"(9536, 0, 265)",[0.00029972349875606596],"[(9535, 4, 25282), (25282, 0, 265), (24998, 0, 265), (9535, 4, 24998), (9535, 4, 9536)]",0.00029972349875606596,1,[699],0.6587778329849243
"[([(22014, 1, 1419)], 0.64959997, 'xrule'), ([(13051, 1, 22014), (22014, 1, 13051), (19671, 1, 13051), (13051, 1, 19671), (1419, 1, 19671), (19671, 1, 1419)], 0.03759998, 'xrule')]",27111.0,7,"(1419, 1, 22014)",[2.2452581106335856e-05],"[(13051, 1, 22014), (22014, 1, 13051), (22014, 1, 1419), (1419, 1, 19671), (19671, 1, 1419), (19671, 1, 13051), (13051, 1, 19671)]",2.2452581106335856e-05,1,[27111],0.8030797243118286
"[([(2507, 1, 16918)], 0.8302, 'xrule'), ([(16918, 1, 20126), (2507, 5, 6166), (20126, 5, 6166)], 0.70350003, 'xrule'), ([(16918, 1, 16919), (16919, 5, 6166), (16919, 1, 16918), (2507, 5, 6166)], 0.4975, 'xrule'), ([(16476, 1, 16918), (12741, 1, 16476), (16476, 1, 12741), (16918, 1, 16476), (12741, 1, 2507), (2507, 1, 12741)], 0.4406, 'xrule'), ([(2507, 1, 21185), (16918, 1, 6789), (6789, 1, 16918), (21185, 1, 2507), (6789, 1, 21185), (21185, 1, 6789)], 0.4188, 'xrule')]",19.0,19,"(16918, 1, 2507)",[0.0010842294432222843],"[(16918, 1, 6789), (21185, 1, 2507), (2507, 1, 16918), (6789, 1, 21185), (16919, 5, 6166), (2507, 1, 12741), (12741, 1, 16476), (2507, 1, 21185), (16476, 1, 16918), (16918, 1, 20126), (2507, 5, 6166), (21185, 1, 6789), (16476, 1, 12741), (16918, 1, 16919), (6789, 1, 16918), (16919, 1, 16918), (20126, 5, 6166), (16918, 1, 16476), (12741, 1, 2507)]",0.0010842294432222843,1,[19],0.9153757691383362
"[([(20726, 1, 12356)], 0.8545, 'xrule')]",9510.0,1,"(12356, 1, 20726)",[7.332214590860531e-05],"[(20726, 1, 12356)]",7.332214590860531e-05,1,[9510],0.8214631676673889
"[([(24228, 1, 31721)], 0.6764, 'xrule'), ([(7056, 1, 31721), (24228, 0, 7056), (31721, 1, 7056)], -0.3229, 'xrule')]",13475.0,4,"(31721, 1, 24228)",[5.0071903388015926e-05],"[(7056, 1, 31721), (24228, 0, 7056), (31721, 1, 7056), (24228, 1, 31721)]",5.0071903388015926e-05,1,[13475],0.8690681457519531
"[([(20572, 1, 7982)], 0.9855, 'xrule'), ([(7982, 3, 14618), (20572, 1, 7983), (7983, 1, 20572), (7983, 3, 14618), (14618, 3, 7982), (14618, 3, 7983)], 0.034200013, 'xrule'), ([(7983, 1, 20572), (20572, 1, 7983), (7982, 3, 7983)], 0.018700004, 'xrule')]",35543.0,8,"(7982, 1, 20572)",[3.6225251278665382e-06],"[(20572, 1, 7983), (14618, 3, 7982), (20572, 1, 7982), (7982, 3, 14618), (7983, 1, 20572), (7983, 3, 14618), (14618, 3, 7983), (7982, 3, 7983)]",3.6225251278665382e-06,1,[35543],0.9877474308013916
"[([(33277, 0, 25460), (21273, 4, 27089), (21273, 4, 33277)], 0.0061, 'xrule'), ([(21273, 4, 32246), (21273, 4, 27089), (32246, 0, 25460)], 0.006, 'xrule'), ([(21273, 4, 27089), (21273, 4, 21274), (21274, 0, 25460)], 0.006, 'xrule'), ([(21273, 4, 27089), (38219, 0, 25460), (21273, 4, 38219)], 0.006, 'xrule'), ([(21273, 4, 27089), (21273, 4, 32720), (32720, 0, 25460)], 0.0058999998, 'xrule')]",5244.0,11,"(27089, 0, 25460)",[2.6245599656249397e-05],"[(21273, 4, 27089), (21273, 4, 32720), (21273, 4, 21274), (21273, 4, 38219), (33277, 0, 25460), (21273, 4, 32246), (32720, 0, 25460), (21274, 0, 25460), (32246, 0, 25460), (21273, 4, 33277), (38219, 0, 25460)]",2.6245599656249397e-05,1,[5244],0.5863993167877197
"[([(39891, 1, 20097)], 0.7571, 'xrule')]",1082.0,1,"(20097, 1, 39891)",[0.0004855141160078347],"[(39891, 1, 20097)]",0.0004855141160078347,1,[1082],0.9519976377487183
"[([(21041, 1, 522)], 0.035299998, 'xrule'), ([(17635, 1, 21041), (21041, 1, 17635), (17635, 0, 522)], -0.0191, 'xrule'), ([(21899, 0, 522), (21899, 1, 21041), (21041, 1, 21899)], -0.5809, 'xrule')]",9952.0,7,"(522, 1, 21041)",[7.26072903489694e-05],"[(21899, 0, 522), (21041, 1, 522), (17635, 0, 522), (21041, 1, 17635), (21899, 1, 21041), (21041, 1, 21899), (17635, 1, 21041)]",7.26072903489694e-05,1,[9952],0.9422932267189026
"[([(26855, 1, 26856)], 0.8927, 'xrule')]",5387.0,1,"(26856, 1, 26855)",[8.44034439069219e-05],"[(26855, 1, 26856)]",8.44034439069219e-05,1,[5387],0.9746934175491333
"[([(38175, 1, 29520)], 0.997, 'xrule')]",21345.0,1,"(29520, 1, 38175)",[2.7968928407062776e-05],"[(38175, 1, 29520)]",2.7968928407062776e-05,1,[21345],0.9498961567878723
"[([(2643, 1, 11856)], 0.9026, 'xrule')]",1157.0,1,"(11856, 1, 2643)",[0.0003938979934900999],"[(2643, 1, 11856)]",0.0003938979934900999,1,[1157],0.9860931038856506
"[([(26217, 1, 6787)], 0.5224, 'xrule')]",8115.0,1,"(6787, 1, 26217)",[0.00011133848602185026],"[(26217, 1, 6787)]",0.00011133848602185026,1,[8115],0.867676854133606
"[([(16161, 1, 3136)], 0.0538, 'xrule'), ([(16161, 0, 3005), (3137, 1, 3136), (3137, 0, 3005), (3136, 1, 3137)], -0.42839998, 'xrule')]",599.0,5,"(3136, 1, 16161)",[0.0006349104223772883],"[(16161, 0, 3005), (3137, 1, 3136), (3137, 0, 3005), (16161, 1, 3136), (3136, 1, 3137)]",0.0006349104223772883,1,[599],0.92377108335495
"[([(11603, 1, 22752)], 0.8962, 'xrule'), ([(22752, 1, 2392), (2392, 1, 22752), (2392, 1, 28597), (28597, 1, 2392), (28597, 1, 11603), (11603, 1, 28597)], 0.6516, 'xrule'), ([(22752, 1, 2392), (11603, 1, 7967), (7967, 1, 2392), (2392, 1, 22752), (2392, 1, 7967), (7967, 1, 11603)], 0.5719, 'xrule'), ([(11603, 1, 7967), (25306, 1, 7967), (7967, 1, 25306), (25306, 1, 22752), (22752, 1, 25306), (7967, 1, 11603)], 0.43780002, 'xrule'), ([(11603, 1, 7967), (7967, 0, 7968), (7967, 1, 11603), (22752, 0, 7968)], 0.30480003, 'xrule')]",35516.0,17,"(22752, 1, 11603)",[8.395413715334143e-06],"[(22752, 1, 2392), (11603, 1, 7967), (25306, 1, 7967), (2392, 1, 22752), (28597, 1, 2392), (25306, 1, 22752), (22752, 0, 7968), (7967, 0, 7968), (11603, 1, 22752), (22752, 1, 25306), (7967, 1, 2392), (2392, 1, 7967), (2392, 1, 28597), (28597, 1, 11603), (7967, 1, 25306), (11603, 1, 28597), (7967, 1, 11603)]",8.395413715334143e-06,1,[35516],0.9543496966362
"[([(19068, 1, 8742)], 0.5146, 'xrule'), ([(5674, 1, 1897), (8742, 1, 1897), (1897, 1, 5674), (1897, 1, 8742), (19068, 1, 5674), (5674, 1, 19068)], 0.14429998, 'xrule')]",454.0,7,"(8742, 1, 19068)",[0.0011252674739807844],"[(1897, 1, 8742), (5674, 1, 19068), (19068, 1, 8742), (5674, 1, 1897), (8742, 1, 1897), (1897, 1, 5674), (19068, 1, 5674)]",0.0011252674739807844,1,[454],0.9776057600975037
"[([(2415, 1, 20944)], 0.6179, 'xrule'), ([(2993, 1, 2994), (2994, 1, 2993), (20944, 1, 2994), (2993, 1, 2415), (2994, 1, 20944), (2415, 1, 2993)], -0.019800007, 'xrule')]",25736.0,7,"(20944, 1, 2415)",[2.8506357921287417e-05],"[(2415, 1, 20944), (2994, 1, 2993), (20944, 1, 2994), (2994, 1, 20944), (2993, 1, 2994), (2415, 1, 2993), (2993, 1, 2415)]",2.8506357921287417e-05,1,[25736],0.8592720627784729
"[([(15794, 9, 16624)], 0.9081, 'xrule'), ([(15793, 1, 16624), (16624, 1, 15793), (15793, 1, 15794), (15794, 1, 15793)], -0.09140003, 'xrule')]",8514.0,5,"(16624, 9, 15794)",[1.2822129974665586e-05],"[(16624, 1, 15793), (15794, 1, 15793), (15793, 1, 16624), (15793, 1, 15794), (15794, 9, 16624)]",1.2822129974665586e-05,1,[8514],0.9656851887702942
"[([(15587, 1, 15588)], 0.7572, 'xrule'), ([(15587, 1, 2739), (31654, 1, 15588), (2739, 1, 31654), (15588, 1, 31654), (2739, 1, 15587), (31654, 1, 2739)], 0.47419998, 'xrule'), ([(15587, 1, 2739), (2739, 1, 14064), (14064, 1, 2739), (15588, 1, 14064), (14064, 1, 15588), (2739, 1, 15587)], 0.4227, 'xrule'), ([(27163, 1, 15588), (15587, 1, 2739), (2739, 1, 27163), (2739, 1, 15587), (15588, 1, 27163), (27163, 1, 2739)], 0.23289996, 'xrule'), ([(15587, 1, 2739), (15588, 0, 3978), (2739, 0, 3978), (2739, 1, 15587)], 0.108799994, 'xrule')]",29592.0,17,"(15588, 1, 15587)",[2.1361465769587085e-05],"[(15587, 1, 15588), (2739, 1, 31654), (15588, 1, 31654), (14064, 1, 15588), (2739, 1, 27163), (2739, 0, 3978), (15588, 1, 27163), (15587, 1, 2739), (31654, 1, 15588), (2739, 1, 14064), (14064, 1, 2739), (15588, 1, 14064), (27163, 1, 15588), (2739, 1, 15587), (15588, 0, 3978), (27163, 1, 2739), (31654, 1, 2739)]",2.1361465769587085e-05,1,[29592],0.9287481307983398
"[([(4244, 1, 8754)], 0.3762, 'xrule'), ([(8754, 0, 1668), (4244, 0, 5746), (1668, 1, 5746)], 0.034399986, 'xrule'), ([(8754, 0, 1668), (4243, 0, 1668), (4243, 1, 4244), (4244, 1, 4243)], -0.3089, 'xrule')]",14285.0,7,"(8754, 1, 4244)",[8.783640078036115e-05],"[(8754, 0, 1668), (4244, 0, 5746), (4243, 0, 1668), (4244, 1, 8754), (4243, 1, 4244), (4244, 1, 4243), (1668, 1, 5746)]",8.783640078036115e-05,1,[14285],0.957123875617981
"[([(8885, 1, 17578)], 0.1314, 'xrule'), ([(3300, 1, 17578), (17578, 1, 3300), (3300, 1, 26393), (8885, 1, 26393), (26393, 1, 8885), (26393, 1, 3300)], -0.839, 'xrule')]",2025.0,7,"(17578, 1, 8885)",[0.00019621315004769713],"[(3300, 1, 17578), (8885, 1, 17578), (26393, 1, 3300), (17578, 1, 3300), (3300, 1, 26393), (8885, 1, 26393), (26393, 1, 8885)]",0.00019621315004769713,1,[2025],0.8962762355804443
"[([(20016, 4, 14054), (20016, 4, 30007), (14054, 2, 121)], 0.0, 'xrule'), ([(26608, 2, 121), (26608, 2, 916), (30007, 2, 916)], -9.999995e-05, 'xrule'), ([(20016, 4, 28966), (20016, 4, 30007), (28966, 2, 121)], -0.00019999995, 'xrule'), ([(35960, 2, 916), (30007, 2, 916), (35960, 2, 121)], -0.00049999997, 'xrule'), ([(1091, 2, 121), (20016, 4, 30007), (20016, 4, 1091)], -0.0025999998, 'xrule')]",1.0,12,"(30007, 2, 121)",[0.621977686882019],"[(1091, 2, 121), (26608, 2, 121), (20016, 4, 28966), (20016, 4, 30007), (28966, 2, 121), (14054, 2, 121), (30007, 2, 916), (20016, 4, 1091), (35960, 2, 916), (20016, 4, 14054), (35960, 2, 121), (26608, 2, 916)]",0.621977686882019,1,[1],0.23917707800865173
"[([(8573, 1, 8574)], 0.7694, 'xrule'), ([(12655, 1, 8574), (8573, 1, 815), (8574, 1, 12655), (815, 1, 12655), (815, 1, 8573)], 0.45539996, 'xrule'), ([(8574, 1, 814), (814, 1, 815), (8573, 1, 815), (814, 1, 8574), (815, 1, 814), (815, 1, 8573)], 0.35579997, 'xrule'), ([(29585, 1, 815), (8573, 1, 815), (8574, 1, 29585), (815, 1, 29585), (815, 1, 8573)], -0.05190003, 'xrule')]",8065.0,13,"(8574, 1, 8573)",[7.215305959107354e-05],"[(29585, 1, 815), (814, 1, 815), (8573, 1, 815), (815, 1, 29585), (814, 1, 8574), (8573, 1, 8574), (8574, 1, 814), (12655, 1, 8574), (8574, 1, 29585), (8574, 1, 12655), (815, 1, 814), (815, 1, 12655), (815, 1, 8573)]",7.215305959107354e-05,1,[8065],0.8929891586303711
"[([(18755, 1, 24115)], 0.8311, 'xrule'), ([(24115, 1, 2300), (2300, 1, 24115), (18755, 1, 9577), (2300, 1, 9577)], -0.1588, 'xrule'), ([(2300, 1, 18754), (18754, 1, 2300), (18755, 1, 18754), (24115, 1, 2300), (2300, 1, 24115), (18754, 1, 18755)], -0.16039997, 'xrule')]",5498.0,9,"(24115, 1, 18755)",[5.684770439984277e-05],"[(24115, 1, 2300), (2300, 1, 18754), (2300, 1, 9577), (2300, 1, 24115), (18754, 1, 18755), (18754, 1, 2300), (18755, 1, 9577), (18755, 1, 18754), (18755, 1, 24115)]",5.684770439984277e-05,1,[5498],0.970401406288147
"[([(29649, 1, 11590)], 0.4994, 'xrule')]",12024.0,1,"(11590, 1, 29649)",[7.175590872066095e-05],"[(29649, 1, 11590)]",7.175590872066095e-05,1,[12024],0.8879063725471497
"[([(16314, 1, 15028)], 0.46019998, 'xrule'), ([(15028, 1, 21701), (21701, 1, 3999), (16314, 1, 3999), (21701, 1, 15028), (3999, 1, 16314), (3999, 1, 21701)], 0.2094, 'xrule'), ([(16314, 1, 3999), (6422, 1, 15028), (6422, 1, 3999), (3999, 1, 16314), (3999, 1, 6422), (15028, 1, 6422)], 0.14789999, 'xrule'), ([(16314, 1, 5117), (6422, 1, 5117), (6422, 1, 15028), (5117, 1, 16314), (5117, 1, 6422), (15028, 1, 6422)], 0.1419, 'xrule'), ([(15028, 1, 21701), (21701, 1, 15527), (15527, 1, 16314), (15527, 1, 21701), (16314, 1, 15527), (21701, 1, 15028)], 0.12989998, 'xrule')]",1039.0,19,"(15028, 1, 16314)",[0.0002894700737670064],"[(15028, 1, 21701), (5117, 1, 16314), (15028, 1, 6422), (16314, 1, 15028), (16314, 1, 3999), (15527, 1, 16314), (3999, 1, 16314), (5117, 1, 6422), (6422, 1, 5117), (21701, 1, 15028), (21701, 1, 3999), (15527, 1, 21701), (16314, 1, 15527), (3999, 1, 21701), (3999, 1, 6422), (16314, 1, 5117), (6422, 1, 15028), (21701, 1, 15527), (6422, 1, 3999)]",0.0002894700737670064,1,[1039],0.9558466672897339
"[([(6944, 1, 6572)], 0.097, 'xrule'), ([(2449, 1, 11955), (2449, 1, 6944), (11955, 1, 2449), (11955, 1, 6572), (6944, 1, 2449), (6572, 1, 11955)], 0.0653, 'xrule'), ([(2449, 1, 6944), (3377, 1, 2449), (6572, 1, 3377), (6944, 1, 2449), (2449, 1, 3377), (3377, 1, 6572)], 0.0496, 'xrule'), ([(6572, 1, 2450), (2449, 1, 6944), (2449, 1, 2450), (6944, 1, 2449), (2450, 1, 2449)], 0.009400003, 'xrule')]",1945.0,14,"(6572, 1, 6944)",[0.00023172264627646655],"[(6572, 1, 2450), (2449, 1, 11955), (2449, 1, 6944), (3377, 1, 2449), (2449, 1, 2450), (11955, 1, 6572), (6944, 1, 2449), (3377, 1, 6572), (6944, 1, 6572), (6572, 1, 3377), (11955, 1, 2449), (2449, 1, 3377), (2450, 1, 2449), (6572, 1, 11955)]",0.00023172264627646655,1,[1945],0.8736011981964111
"[([(19504, 1, 21993)], 0.60510004, 'xrule'), ([(17245, 1, 11202), (11202, 0, 21993), (19504, 0, 17245), (11202, 1, 17245)], 0.14790002, 'xrule')]",12183.0,5,"(21993, 1, 19504)",[7.750092481728643e-05],"[(11202, 1, 17245), (11202, 0, 21993), (19504, 0, 17245), (17245, 1, 11202), (19504, 1, 21993)]",7.750092481728643e-05,1,[12183],0.8004068732261658
"[([(13829, 1, 4185)], 0.4371, 'xrule')]",18038.0,1,"(4185, 1, 13829)",[3.4819808206520975e-05],"[(13829, 1, 4185)]",3.4819808206520975e-05,1,[18038],0.8398572206497192
"[([(6657, 1, 18566)], 0.7186, 'xrule')]",18622.0,1,"(18566, 1, 6657)",[3.904856930603273e-05],"[(6657, 1, 18566)]",3.904856930603273e-05,1,[18622],0.956963837146759
"[([(11565, 1, 29689)], 0.56490004, 'xrule')]",2011.0,1,"(29689, 1, 11565)",[5.964450610917993e-05],"[(11565, 1, 29689)]",5.964450610917993e-05,1,[2011],0.9941294193267822
"[([(39790, 1, 137)], 0.51269996, 'xrule')]",11726.0,1,"(137, 1, 39790)",[6.472279346780851e-05],"[(39790, 1, 137)]",6.472279346780851e-05,1,[11726],0.9594130516052246
"[([(20544, 1, 3291)], 0.0823, 'xrule'), ([(3291, 1, 25943), (25943, 1, 5500), (20544, 1, 5500), (5500, 1, 25943), (25943, 1, 3291), (5500, 1, 20544)], 0.019199997, 'xrule'), ([(2277, 1, 2276), (2277, 0, 20544), (2276, 0, 3291), (2276, 1, 2277)], 0.012199998, 'xrule'), ([(25943, 1, 28902), (28902, 1, 20544), (3291, 1, 25943), (25943, 1, 3291), (28902, 1, 25943)], -0.002000004, 'xrule')]",7785.0,14,"(3291, 1, 20544)",[9.540800238028169e-05],"[(20544, 1, 3291), (2276, 0, 3291), (25943, 1, 5500), (2277, 1, 2276), (5500, 1, 25943), (25943, 1, 3291), (25943, 1, 28902), (2276, 1, 2277), (28902, 1, 20544), (20544, 1, 5500), (3291, 1, 25943), (2277, 0, 20544), (5500, 1, 20544), (28902, 1, 25943)]",9.540800238028169e-05,1,[7785],0.9723116159439087
"[([(26814, 1, 13298)], 0.4808, 'xrule'), ([(1848, 1, 2612), (13298, 1, 1848), (2612, 1, 1848), (2612, 1, 26814), (26814, 1, 2612), (1848, 1, 13298)], -0.22289997, 'xrule')]",16476.0,7,"(13298, 1, 26814)",[4.657387034967542e-05],"[(2612, 1, 1848), (2612, 1, 26814), (26814, 1, 2612), (1848, 1, 2612), (13298, 1, 1848), (26814, 1, 13298), (1848, 1, 13298)]",4.657387034967542e-05,1,[16476],0.9403150677680969
"[([(20104, 1, 2502)], 0.0096, 'xrule'), ([(10452, 1, 5307), (5307, 1, 20104), (2502, 1, 10452), (10452, 1, 2502), (20104, 1, 5307), (5307, 1, 10452)], -0.0726, 'xrule')]",16827.0,7,"(2502, 1, 20104)",[5.0383339839754626e-05],"[(5307, 1, 20104), (10452, 1, 5307), (20104, 1, 5307), (2502, 1, 10452), (10452, 1, 2502), (20104, 1, 2502), (5307, 1, 10452)]",5.0383339839754626e-05,1,[16827],0.9245367050170898
