prediction,original_score,facts,#facts,new_score,new_scores,new_rank,original_rank,new_ranks
"(14940, 1, 12227)",0.8385334610939026,"[(13800, 1, 12227), (1025, 1, 12227), (12227, 1, 14940)]",3,0.002347230911254883,"[0.0021625906229019165, 0.002531871199607849]",16.0,1,"[22, 10]"
"(2949, 1, 8019)",0.8824633359909058,"[(25760, 0, 2949), (30805, 1, 8019), (15469, 1, 8019)]",3,0.9319316446781158,"[0.955095648765564, 0.9087676405906677]",1.0,1,"[1, 1]"
"(15729, 1, 12999)",0.19728238880634308,"[(15171, 1, 12999), (16455, 1, 15729), (15730, 1, 15729)]",3,0.03827458247542381,"[0.03567648306488991, 0.04087268188595772]",6.5,1,"[7, 6]"
"(23468, 1, 1116)",0.9318868517875671,"[(7314, 1, 1116), (9661, 1, 23468), (1117, 1, 1116)]",3,0.8785279393196106,"[0.8346595168113708, 0.9223963618278503]",1.0,1,"[1, 1]"
"(20124, 1, 18592)",0.9615100622177124,"[(16684, 0, 20124), (36656, 1, 18592), (9041, 3, 18592)]",3,0.9775390028953552,"[0.9781859517097473, 0.9768920540809631]",1.0,1,"[1, 1]"
"(9536, 0, 265)",0.6587778329849243,"[(6395, 0, 265), (6643, 0, 265), (6280, 0, 265)]",3,0.15865539014339447,"[0.17637841403484344, 0.1409323662519455]",2.0,1,"[2, 2]"
"(1419, 1, 22014)",0.8030797243118286,"[(6155, 0, 1419), (13051, 1, 22014), (22014, 1, 1419)]",3,0.011085337493568659,"[0.014316480606794357, 0.00785419438034296]",8.0,1,"[4, 12]"
"(16918, 1, 2507)",0.9153757691383362,"[(22956, 0, 2507), (21185, 1, 2507), (16476, 1, 16918)]",3,0.9874089062213898,"[0.9868736863136292, 0.9879441261291504]",1.0,1,"[1, 1]"
"(12356, 1, 20726)",0.8214631676673889,"[(20726, 1, 12356), (12355, 1, 12356)]",2,5.482774486154085e-05,"[9.199906344292685e-05, 1.7656426280154847e-05]",18416.0,1,"[8174, 28658]"
"(31721, 1, 24228)",0.8690681457519531,"[(34783, 0, 31721), (24228, 1, 31721), (7056, 1, 31721)]",3,4.9779564506025054e-05,"[5.426167626865208e-05, 4.5297452743398026e-05]",11962.0,1,"[9132, 14792]"
"(7982, 1, 20572)",0.9877474308013916,"[(30373, 0, 20572), (769, 0, 20572), (2428, 0, 20572)]",3,0.9860164225101471,"[0.9849010109901428, 0.9871318340301514]",1.0,1,"[1, 1]"
"(27089, 0, 25460)",0.5863993167877197,"[(38219, 0, 25460), (25459, 0, 25460), (32246, 0, 25460)]",3,0.25554581731557846,"[0.15879051387310028, 0.35230112075805664]",1.5,1,"[2, 1]"
"(20097, 1, 39891)",0.9519976377487183,"[(39891, 1, 20097), (11870, 1, 20097), (22506, 1, 20097)]",3,7.501357868022751e-05,"[5.4482869018102065e-05, 9.554428834235296e-05]",12240.0,1,"[14971, 9509]"
"(522, 1, 21041)",0.9422932267189026,"[(21899, 1, 21041), (39334, 0, 522), (4204, 0, 522)]",3,0.8979980945587158,"[0.8574273586273193, 0.9385688304901123]",1.0,1,"[1, 1]"
"(26856, 1, 26855)",0.9746934175491333,"[(9579, 0, 26856), (26855, 1, 26856)]",2,9.306405991083011e-05,"[6.618165207328275e-05, 0.00011994646774837747]",2498.0,1,"[3959, 1037]"
"(29520, 1, 38175)",0.9498961567878723,"[(38175, 1, 29520), (30680, 10, 38175)]",2,4.299963984522037e-05,"[3.1136281904764473e-05, 5.486299778567627e-05]",10490.0,1,"[11496, 9484]"
"(11856, 1, 2643)",0.9860931038856506,"[(10350, 1, 2643), (2643, 1, 11856), (13671, 0, 2643)]",3,4.560437810141593e-05,"[3.502448817016557e-05, 5.6184268032666296e-05]",16504.5,1,"[19555, 13454]"
"(6787, 1, 26217)",0.867676854133606,"[(11298, 1, 6787), (7239, 0, 26217), (38487, 0, 26217)]",3,0.8957751989364624,"[0.8875850439071655, 0.9039653539657593]",1.0,1,"[1, 1]"
"(3136, 1, 16161)",0.92377108335495,"[(16161, 1, 3136), (3137, 1, 3136), (39882, 0, 3136)]",3,0.004506542347371578,"[0.005500150844454765, 0.003512933850288391]",21.0,1,"[23, 19]"
"(22752, 1, 11603)",0.9543496966362,"[(11878, 1, 22752), (28597, 1, 11603), (2392, 1, 22752)]",3,0.9424721002578735,"[0.9583789110183716, 0.9265652894973755]",1.0,1,"[1, 1]"
"(20944, 1, 2415)",0.8592720627784729,"[(2993, 1, 2415), (40370, 0, 20944), (8699, 1, 2415)]",3,0.9248747229576111,"[0.8941118121147156, 0.9556376338005066]",1.0,1,"[1, 1]"
"(8742, 1, 19068)",0.9776057600975037,"[(17368, 1, 19068), (1897, 1, 8742), (300, 1, 19068)]",3,0.8882476687431335,"[0.8953088521957397, 0.8811864852905273]",1.0,1,"[1, 1]"
"(16624, 9, 15794)",0.9656851887702942,"[(15793, 1, 15794), (15794, 9, 16624), (15793, 1, 16624)]",3,3.909729275619611e-05,"[2.0120922272326425e-05, 5.80736632400658e-05]",7690.5,1,"[12038, 3343]"
"(15588, 1, 15587)",0.9287481307983398,"[(14064, 1, 15588), (15587, 1, 15588), (27163, 1, 15588)]",3,0.09731864929199219,"[0.11095971614122391, 0.08367758244276047]",2.0,1,"[2, 2]"
"(8754, 1, 4244)",0.957123875617981,"[(16483, 0, 4244), (11316, 1, 8754), (4243, 1, 4244)]",3,0.8542189002037048,"[0.7989884614944458, 0.9094493389129639]",1.0,1,"[1, 1]"
"(17578, 1, 8885)",0.8962762355804443,"[(31094, 0, 17578), (8885, 1, 17578), (8886, 1, 8885)]",3,0.008532588370144367,"[0.01083496306091547, 0.006230213679373264]",3.5,1,"[3, 4]"
"(30007, 2, 121)",0.23917707800865173,"[(3217, 2, 121), (698, 2, 121), (5079, 2, 121)]",3,0.36574938893318176,"[0.25973013043403625, 0.47176864743232727]",1.0,1,"[1, 1]"
"(8574, 1, 8573)",0.8929891586303711,"[(12655, 1, 8574), (8573, 1, 8574), (815, 1, 8573)]",3,0.11581140384078026,"[0.1776517629623413, 0.05397104471921921]",2.0,1,"[2, 2]"
"(24115, 1, 18755)",0.970401406288147,"[(18755, 1, 24115), (2300, 1, 24115), (18754, 1, 18755)]",3,0.050268370658159256,"[0.05418653413653374, 0.046350207179784775]",3.0,1,"[3, 3]"
"(11590, 1, 29649)",0.8879063725471497,"[(11589, 1, 11590), (29649, 1, 11590)]",2,8.549619451514445e-05,"[8.897591033019125e-05, 8.201647870009765e-05]",11889.0,1,"[10972, 12806]"
"(15028, 1, 16314)",0.9558466672897339,"[(6422, 1, 15028), (21701, 1, 15028), (5117, 1, 16314)]",3,0.9474495947360992,"[0.9477953910827637, 0.9471037983894348]",1.0,1,"[1, 1]"
"(6572, 1, 6944)",0.8736011981964111,"[(12270, 1, 6944), (11955, 1, 6572), (2449, 1, 6944)]",3,0.9318074882030487,"[0.9328338503837585, 0.9307811260223389]",1.0,1,"[1, 1]"
"(21993, 1, 19504)",0.8004068732261658,"[(11202, 0, 21993), (877, 1, 21993), (27075, 1, 21993)]",3,0.9180788099765778,"[0.9373085498809814, 0.8988490700721741]",1.0,1,"[1, 1]"
"(4185, 1, 13829)",0.8398572206497192,"[(4221, 1, 4185), (16710, 1, 13829), (25284, 3, 13829)]",3,0.901926726102829,"[0.9011267423629761, 0.9027267098426819]",1.0,1,"[1, 1]"
"(18566, 1, 6657)",0.956963837146759,"[(6657, 1, 18566), (21399, 1, 6657), (12281, 0, 18566)]",3,2.972092988784425e-05,"[4.102394450455904e-05, 1.841791527112946e-05]",10075.5,1,"[4219, 15932]"
"(29689, 1, 11565)",0.9941294193267822,"[(26015, 0, 11565), (5675, 1, 11565), (26203, 0, 11565)]",3,0.9675005972385406,"[0.9680533409118652, 0.9669478535652161]",1.0,1,"[1, 1]"
"(137, 1, 39790)",0.9594130516052246,"[(39790, 1, 137), (20423, 6, 137), (136, 6, 137)]",3,2.6677505502448184e-05,"[1.0671577001630794e-05, 4.2683434003265575e-05]",22770.0,1,"[32206, 13334]"
"(13298, 1, 26814)",0.9403150677680969,"[(2612, 1, 26814), (6415, 1, 13298), (26814, 1, 13298)]",3,0.0012436794058885425,"[0.0017265798524022102, 0.0007607789593748748]",142.5,1,"[73, 212]"
"(3291, 1, 20544)",0.9723116159439087,"[(26483, 0, 20544), (2277, 0, 20544), (35933, 0, 3291)]",3,0.932362288236618,"[0.8866322040557861, 0.97809237241745]",1.0,1,"[1, 1]"
"(2502, 1, 20104)",0.9245367050170898,"[(5307, 1, 20104), (10452, 1, 2502), (8159, 0, 2502)]",3,0.924286276102066,"[0.957976758480072, 0.8905957937240601]",1.0,1,"[1, 1]"
"(14834, 1, 5110)",0.41509827971458435,"[(14833, 0, 14834), (21702, 1, 5110), (5111, 1, 5110)]",3,0.1000174731016159,"[0.10995269566774368, 0.09008225053548813]",5.0,1,"[4, 6]"
"(4225, 1, 13633)",0.9296045303344727,"[(10988, 1, 4225), (5679, 1, 13633), (13633, 1, 4225)]",3,0.0009395458910148591,"[0.00024792662588879466, 0.0016311651561409235]",2138.0,1,"[3996, 280]"
"(4747, 0, 22951)",0.09593500196933746,"[(24714, 0, 22951), (29997, 1, 22951), (34665, 0, 22951)]",3,0.016207966022193432,"[0.01674407534301281, 0.015671856701374054]",2.0,1,"[2, 2]"
"(25852, 1, 20593)",0.9246744513511658,"[(20592, 1, 20593), (20592, 6, 25852), (20593, 1, 25852)]",3,0.00010624690366967116,"[0.0001531750021968037, 5.931880514253862e-05]",2172.5,1,"[1325, 3020]"
"(3453, 1, 18417)",0.9354263544082642,"[(12009, 0, 3453), (31080, 1, 3453), (3452, 1, 3453)]",3,0.960068941116333,"[0.9435431361198425, 0.9765947461128235]",1.0,1,"[1, 1]"
"(22848, 1, 33665)",0.8634375929832458,"[(6889, 1, 33665), (33665, 1, 22848), (22847, 1, 22848)]",3,0.0008181572775356472,"[0.0007520638755522668, 0.0008842506795190275]",168.5,1,"[198, 139]"
"(15028, 1, 5116)",0.9404630661010742,"[(3999, 1, 5116), (19324, 1, 5116), (9495, 1, 5116)]",3,0.9456535875797272,"[0.950591504573822, 0.9407156705856323]",1.0,1,"[1, 1]"
"(6144, 1, 19664)",0.9744139909744263,"[(12382, 1, 19664), (24124, 0, 19664), (19664, 1, 6144)]",3,2.363554904150078e-05,"[3.56013115379028e-05, 1.166978654509876e-05]",22390.5,1,"[16124, 28657]"
"(15107, 1, 15106)",0.9725252389907837,"[(15106, 1, 15107)]",1,2.6136415726796258e-05,"[1.1149824786116369e-05, 4.112300666747615e-05]",23100.5,1,"[31783, 14418]"
"(758, 1, 10360)",0.9631841778755188,"[(757, 0, 758), (23235, 1, 10360), (15133, 0, 10360)]",3,0.9410770833492279,"[0.9565417170524597, 0.9256124496459961]",2.0,1,"[2, 2]"
"(24179, 1, 10508)",0.9073452353477478,"[(24178, 1, 24179), (10508, 1, 24179)]",2,9.326767531092628e-05,"[1.2982603038835805e-05, 0.00017355274758301675]",17603.5,1,"[33713, 1494]"
"(9303, 9, 21981)",0.9587638974189758,"[(30311, 0, 9303), (26071, 1, 21981), (19971, 1, 9303)]",3,0.9473806023597717,"[0.9503350853919983, 0.9444261193275452]",1.0,1,"[1, 1]"
"(33711, 5, 19257)",0.28957507014274597,"[(27263, 5, 19257), (36696, 5, 19257), (19256, 5, 19257)]",3,0.16908876597881317,"[0.12004172801971436, 0.218135803937912]",1.0,1,"[1, 1]"
"(18247, 1, 33545)",0.9478031992912292,"[(33545, 1, 18247)]",1,1.874131430668058e-05,"[2.155573201889638e-05, 1.592689659446478e-05]",24387.5,1,"[22856, 25919]"
"(20115, 2, 2580)",0.19860407710075378,"[(13025, 2, 2580), (16549, 2, 2580), (20059, 2, 2580)]",3,0.47581368684768677,"[0.42135387659072876, 0.5302734971046448]",1.0,1,"[1, 1]"
"(23239, 1, 15927)",0.9537962079048157,"[(1786, 1, 23239), (15927, 1, 23239), (708, 1, 15927)]",3,0.0004424513754202053,"[0.0005618524155579507, 0.00032305033528245986]",1520.5,1,"[840, 2201]"
"(13338, 1, 18054)",0.926688015460968,"[(35743, 0, 13338), (8568, 0, 18054), (5664, 0, 18054)]",3,0.8768336176872253,"[0.8171625137329102, 0.9365047216415405]",1.0,1,"[1, 1]"
"(865, 1, 17946)",0.8343851566314697,"[(17945, 0, 17946), (14691, 0, 17946), (758, 1, 865)]",3,0.9227553606033325,"[0.8815710544586182, 0.9639396667480469]",1.0,1,"[1, 1]"
"(12141, 1, 2443)",0.9717803597450256,"[(28619, 1, 2443), (2444, 1, 2443), (5163, 9, 2443)]",3,0.9740022122859955,"[0.9776631593704224, 0.9703412652015686]",1.0,1,"[1, 1]"
"(27198, 1, 6242)",0.9874051213264465,"[(9210, 0, 6242), (17245, 0, 6242), (25529, 0, 6242)]",3,0.9909832179546356,"[0.9965959191322327, 0.9853705167770386]",1.0,1,"[1, 1]"
"(33234, 2, 2524)",0.04805701971054077,"[(22869, 1, 2524), (23912, 2, 2524), (7577, 2, 2524)]",3,0.0859501026570797,"[0.11460529267787933, 0.05729491263628006]",1.0,1,"[1, 1]"
"(18272, 1, 19427)",0.9453070163726807,"[(23137, 1, 19427), (169, 1, 19427), (19427, 1, 18272)]",3,0.060826254077255726,"[0.09807948023080826, 0.023573027923703194]",4.5,1,"[3, 6]"
"(3072, 1, 15159)",0.8955927491188049,"[(12112, 9, 3072), (1890, 1, 15159), (26508, 1, 15159)]",3,0.8781249225139618,"[0.8862252235412598, 0.8700246214866638]",1.0,1,"[1, 1]"
"(23961, 0, 6776)",0.72646164894104,"[(32130, 5, 6776), (13073, 0, 6776), (27577, 0, 6776)]",3,0.735135555267334,"[0.748831033706665, 0.7214400768280029]",1.0,1,"[1, 1]"
"(7117, 1, 8643)",0.94145667552948,"[(8642, 0, 8643), (7118, 9, 7117), (7118, 1, 8643)]",3,0.8960850238800049,"[0.9203236103057861, 0.8718464374542236]",1.0,1,"[1, 1]"
"(6813, 1, 5175)",0.9172292351722717,"[(5176, 1, 6813), (5175, 1, 6813), (15174, 1, 6813)]",3,0.005999102955684066,"[0.006022194400429726, 0.005976011510938406]",12.5,1,"[13, 12]"
"(4666, 1, 4665)",0.9331414699554443,"[(6717, 1, 4666), (18098, 1, 4666), (4665, 1, 4666)]",3,0.00016953271551756188,"[0.00016795787087175995, 0.00017110756016336381]",4147.0,1,"[4033, 4261]"
"(11813, 1, 30361)",0.9786085486412048,"[(8885, 0, 11813), (21736, 1, 11813), (13439, 1, 11813)]",3,0.9502513706684113,"[0.9412023425102234, 0.9593003988265991]",1.0,1,"[1, 1]"
"(11366, 1, 26527)",0.8748989105224609,"[(4958, 1, 11366), (25252, 1, 26527), (16023, 1, 11366)]",3,0.955033004283905,"[0.9673351049423218, 0.9427309036254883]",1.0,1,"[1, 1]"
"(699, 1, 22618)",0.9501182436943054,"[(22618, 1, 699)]",1,2.9045611881883815e-05,"[2.737842805800028e-05, 3.071279570576735e-05]",16191.0,1,"[15495, 16887]"
"(28826, 1, 3712)",0.9186691641807556,"[(6595, 1, 28826), (22173, 0, 3712), (11002, 0, 3712)]",3,0.9662332236766815,"[0.9613707661628723, 0.9710956811904907]",1.0,1,"[1, 1]"
"(22728, 1, 16506)",0.978472113609314,"[(13218, 1, 16506), (16506, 1, 22728), (34810, 1, 16506)]",3,6.980069929340971e-05,"[6.945193490537349e-06, 0.00013265620509628206]",18160.5,1,"[34526, 1795]"
"(22584, 1, 12684)",0.969196081161499,"[(22585, 9, 22584), (12684, 1, 22584), (12683, 1, 12684)]",3,1.741584537739982e-05,"[8.900810826162342e-06, 2.5930879928637296e-05]",26676.0,1,"[33474, 19878]"
"(4547, 1, 21674)",0.9718466401100159,"[(10478, 1, 4547), (28789, 0, 4547), (18872, 0, 4547)]",3,0.9267919957637787,"[0.946129322052002, 0.9074546694755554]",1.0,1,"[1, 1]"
"(8310, 6, 12531)",0.4837391674518585,"[(4632, 6, 12531), (2724, 4, 8310), (1167, 6, 8310)]",3,0.1175944171845913,"[0.07038622349500656, 0.16480261087417603]",10.0,1,"[14, 6]"
"(19459, 1, 8641)",0.974579930305481,"[(17795, 1, 8641), (38727, 0, 8641), (20492, 1, 8641)]",3,0.9856098592281342,"[0.9831772446632385, 0.9880424737930298]",1.0,1,"[1, 1]"
"(17190, 1, 757)",0.8933057188987732,"[(28503, 0, 17190), (5769, 0, 17190), (8831, 1, 17190)]",3,0.8913293778896332,"[0.8820257186889648, 0.9006330370903015]",1.0,1,"[1, 1]"
"(6067, 1, 28605)",0.8763036727905273,"[(28605, 1, 6067)]",1,4.081222868990153e-05,"[4.833771163248457e-05, 3.328674574731849e-05]",8150.0,1,"[6893, 9407]"
"(3929, 1, 27247)",0.9612560868263245,"[(12915, 1, 3929), (7581, 6, 27247), (6637, 1, 3929)]",3,0.9000433683395386,"[0.9375820159912109, 0.8625047206878662]",1.0,1,"[1, 1]"
"(2887, 1, 7436)",0.9470379948616028,"[(1452, 1, 7436), (7436, 1, 2887), (8523, 0, 2887)]",3,9.947767648554873e-05,"[0.00015237917250487953, 4.657618046621792e-05]",12124.5,1,"[7105, 17144]"
"(8734, 1, 1538)",0.9375073909759521,"[(1537, 0, 1538), (8733, 0, 8734), (28868, 0, 8734)]",3,0.9807990491390228,"[0.9669711589813232, 0.9946269392967224]",1.0,1,"[1, 1]"
"(17492, 1, 20700)",0.8671815395355225,"[(25092, 1, 17492), (26805, 1, 17492), (20700, 1, 17492)]",3,0.00032367408130085096,"[0.00024310256412718445, 0.00040424559847451746]",1638.0,1,"[2333, 943]"
"(3648, 1, 3647)",0.9578153491020203,"[(23848, 1, 3647), (11438, 1, 3647), (3647, 1, 3648)]",3,0.16617345064878464,"[0.17354029417037964, 0.15880660712718964]",1.5,1,"[1, 2]"
"(15168, 1, 35514)",0.949526846408844,"[(35514, 1, 15168)]",1,1.0906309398706071e-05,"[2.5092813302762806e-06, 1.930333746713586e-05]",31340.0,1,"[39244, 23436]"
"(36622, 2, 2580)",0.673927366733551,"[(32726, 2, 2580), (11127, 2, 2580), (16426, 2, 2580)]",3,0.7265011072158813,"[0.7811889052391052, 0.6718133091926575]",1.0,1,"[1, 1]"
"(3447, 1, 9780)",0.9036061763763428,"[(7044, 1, 3447), (7207, 1, 3447), (9780, 1, 3447)]",3,0.047657646238803864,"[0.05035415664315224, 0.04496113583445549]",4.0,1,"[4, 4]"
"(34310, 0, 184)",0.5521760582923889,"[(1038, 4, 34310), (9547, 0, 184), (7455, 0, 184)]",3,0.013752878468949348,"[0.02585429698228836, 0.0016514599556103349]",19.0,1,"[4, 34]"
"(4697, 1, 3858)",0.8556263446807861,"[(3857, 1, 4697), (3857, 1, 3858), (3858, 1, 4697)]",3,1.494337971053028e-05,"[2.4191243937821127e-05, 5.695515483239433e-06]",30707.5,1,"[24840, 36575]"
"(624, 1, 34337)",0.9748260378837585,"[(13756, 0, 624), (10480, 1, 624), (34337, 1, 624)]",3,7.319334326894023e-05,"[0.00010295985703123733, 4.3426829506643116e-05]",15401.5,1,"[12199, 18604]"
"(14841, 1, 11642)",0.9237152934074402,"[(4853, 1, 11642), (24315, 1, 11642), (11642, 1, 14841)]",3,0.02128150360658765,"[0.00782847125083208, 0.034734535962343216]",8.0,1,"[12, 4]"
