new_ranks,original_rank,new_rank,original_score,new_score,facts,#facts,prediction,perspective,new_scores
"[6, 3, 2]",1,3.6666666666666665,1.2339714885456488e-05,0.007849874417691657,"[(6394, 3, 7)]",1,"(6394, 11, 8038)",all,"[7.256098342622863e-06, 0.0022984857205301523, 0.021243881434202194]"
"[3, 2, 14]",1,6.333333333333333,0.0003303277771919966,4.5453947488264625e-05,"[(24058, 8, 7393)]",1,"(6105, 8, 7393)",all,"[1.4183124221744947e-05, 0.00012139548198319972, 7.832362598492182e-07]"
"[2, 1, 1]",1,1.3333333333333333,0.07337052375078201,0.6939501961072286,"[(23140, 3, 78), (23140, 12, 4492), (5586, 3, 78)]",3,"(5586, 12, 4492)",all,"[0.947380781173706, 0.3622399568557739, 0.7722298502922058]"
"[6, 1, 1]",1,2.6666666666666665,1.1674128330696476e-07,0.019061861050702806,"[(5665, 3, 6)]",1,"(5665, 10, 7830)",all,"[5.172923422946951e-08, 0.05713958665728569, 4.594476558850147e-05]"
"[7, 1, 1]",1,3.0,9.566136327521235e-09,0.005353841092744875,"[(6300, 3, 6)]",1,"(6300, 10, 7830)",all,"[1.402824079121956e-08, 0.016004903241991997, 5.660600800183602e-05]"
"[2, 8, 31]",1,13.666666666666666,0.006617984268814325,0.00011658524592187784,"[(7553, 3, 9), (6427, 3, 9), (7553, 8, 7410)]",3,"(6427, 8, 7410)",all,"[0.00034550641430541873, 4.199996965326136e-06, 4.9326494888646266e-08]"
"[6, 1, 2]",1,3.0,9.861574667979767e-09,0.007295445435426373,"[(7125, 1, 65)]",1,"(7125, 10, 7830)",all,"[2.3602110488241124e-08, 0.02188451774418354, 1.794959985090827e-06]"
"[2, 6, 104]",1,37.333333333333336,0.0008862692047841847,1.0110306007060643e-05,"[(5844, 2, 30), (25101, 8, 7427), (25101, 2, 30)]",3,"(5844, 8, 7427)",all,"[2.6943233024212532e-05, 3.3854971661639865e-06, 2.187830805411295e-09]"
"[2, 8, 47]",1,19.0,0.0007060347124934196,9.03449884859242e-06,"[(6383, 3, 7), (24690, 8, 7427), (24690, 3, 7)]",3,"(6383, 8, 7427)",all,"[5.475732450577198e-06, 2.1574383936240338e-05, 5.338015895972603e-08]"
"[12, 1, 1]",1,4.666666666666667,0.00012008276098640636,0.30329999576012295,"[(16734, 12, 4492)]",1,"(7536, 12, 4492)",all,"[0.026622779667377472, 0.5053359866142273, 0.37794122099876404]"
"[3, 1, 2]",1,2.0,3.285558847210268e-08,0.0014013310413976872,"[(6004, 3, 9)]",1,"(6004, 10, 7830)",all,"[1.2988961373139318e-07, 0.004192183259874582, 1.167997470474802e-05]"
"[9, 1, 2]",1,4.0,1.090750600951651e-08,0.0027319302627836586,"[(7065, 3, 9)]",1,"(7065, 10, 7830)",all,"[2.9088015551792523e-08, 0.008188169449567795, 7.592250767629594e-06]"
"[6, 4, 2]",1,4.0,0.00026256981072947383,0.02049296304812742,"[(6213, 3, 6)]",1,"(6213, 11, 8038)",all,"[1.3635090908792336e-05, 0.01306670717895031, 0.04839854687452316]"
"[1, 1, 1]",1,1.0,6.771097559976624e-06,0.5978763867727442,"[(4777, 1, 1054)]",1,"(4777, 11, 7956)",all,"[4.743615136248991e-05, 0.8075495958328247, 0.9860321283340454]"
"[1, 1, 1]",1,1.0,3.7333706131903455e-05,0.6243952268268913,"[(7289, 2, 31)]",1,"(7289, 11, 7956)",all,"[0.003273532958701253, 0.8803422451019287, 0.989569902420044]"
"[4, 2, 1]",1,2.3333333333333335,0.00025431078393012285,0.04204603728794609,"[(7788, 3, 9)]",1,"(7788, 11, 8038)",all,"[2.9551851184805855e-05, 0.0035272494424134493, 0.12258131057024002]"
"[6, 6, 25]",1,12.333333333333334,0.00045713677536696196,2.135796862035022e-06,"[(24461, 8, 7567)]",1,"(5110, 8, 7567)",all,"[8.540965268366563e-07, 5.45355214853771e-06, 9.97419107306996e-08]"
"[5, 1, 1]",1,2.3333333333333335,3.36029302161478e-08,0.001977519985563466,"[(6848, 3, 6)]",1,"(6848, 10, 7830)",all,"[9.427536440398399e-08, 0.00591144198551774, 2.102369580825325e-05]"
"[3, 2, 6]",1,3.6666666666666665,0.0009577605524100363,0.0659937063852946,"[(24810, 12, 8676), (24810, 3, 6), (7628, 3, 6)]",3,"(7628, 12, 8676)",all,"[0.15856410562992096, 0.02927936054766178, 0.010137652978301048]"
"[3, 9, 36]",1,16.0,0.00022191622701939195,1.0791162109076897e-06,"[(10104, 8, 7593)]",1,"(4870, 8, 7593)",all,"[2.5542228740960127e-06, 6.651152375525271e-07, 1.8010521074529606e-08]"
"[11, 1, 1]",1,4.333333333333333,5.568727345917068e-08,0.005583406367316949,"[(5067, 3, 6)]",1,"(5067, 10, 7830)",all,"[1.557999951273814e-08, 0.016690125688910484, 6.007783304085024e-05]"
"[7, 1, 1]",1,3.0,1.2131610382937197e-08,0.024385207145408334,"[(6914, 3, 6)]",1,"(6914, 10, 7830)",all,"[7.809202173802987e-09, 0.07313375174999237, 2.1861877030460164e-05]"
"[3, 12, 46]",1,20.333333333333332,0.00010146840941160917,2.4815439149487397e-06,"[(18783, 8, 7593)]",1,"(5110, 8, 7593)",all,"[6.662359737674706e-06, 7.637119097125833e-07, 1.8560097458930613e-08]"
"[1, 1, 17]",1,6.333333333333333,0.01179476547986269,0.0011124673604475295,"[(5756, 3, 37)]",1,"(5756, 8, 7410)",all,"[0.00301385298371315, 0.00031446042703464627, 9.088670594792347e-06]"
"[2, 1, 1]",1,1.3333333333333333,4.1949319573575394e-09,0.006081252275227674,"[(5645, 1, 65)]",1,"(5645, 10, 7830)",all,"[4.129070987346495e-07, 0.01815181039273739, 9.153352584689856e-05]"
"[3, 1, 1]",1,1.6666666666666667,3.855851460343729e-08,0.07059950258265364,"[(7751, 3, 6)]",1,"(7751, 10, 7830)",all,"[3.41556081195904e-08, 0.2117832899093628, 1.5183682990027592e-05]"
"[2, 1, 1]",1,1.3333333333333333,2.790897468685216e-08,0.003842015068030946,"[(4882, 3, 1)]",1,"(4882, 10, 7830)",all,"[2.2373221497673512e-07, 0.01150583941489458, 1.9982056983280927e-05]"
"[10, 1, 2]",1,4.333333333333333,2.8712858579638123e-07,0.0016613409410751363,"[(5627, 3, 6)]",1,"(5627, 10, 7830)",all,"[1.407100835848496e-08, 0.004968672059476376, 1.5336692740675062e-05]"
"[3, 1, 1]",1,1.6666666666666667,8.622148328640833e-09,0.008914173861942487,"[(6983, 4, 66)]",1,"(6983, 10, 7830)",all,"[1.9179122290324813e-08, 0.026636801660060883, 0.0001057007466442883]"
"[1, 2, 23]",1,8.666666666666666,0.014452626928687096,9.191755291719043e-05,"[(6205, 5, 6207)]",1,"(6205, 8, 7410)",all,"[0.0001183448766823858, 0.0001566735445521772, 7.34237517008296e-07]"
"[3, 1, 1]",1,1.6666666666666667,2.132391273335088e-05,0.6078096157119338,"[(7125, 4, 66)]",1,"(7125, 11, 7956)",all,"[5.481416155816987e-05, 0.8996595144271851, 0.9237145185470581]"
"[1, 1, 1]",1,1.0,1.0251643089986828e-07,0.03231323980350472,"[(7788, 4, 66)]",1,"(7788, 10, 7830)",all,"[1.778218603476489e-07, 0.09688446670770645, 5.5074880947358906e-05]"
"[2, 1, 1]",1,1.3333333333333333,2.0071926343234736e-08,0.04702665563737322,"[(6213, 1, 65)]",1,"(6213, 10, 7830)",all,"[4.894002714195267e-08, 0.14101731777191162, 6.260020018089563e-05]"
"[6, 3, 1]",1,3.3333333333333335,5.255761607259046e-06,0.0014292237301939774,"[(6966, 3, 4)]",1,"(6966, 11, 8038)",all,"[8.223233862736379e-07, 8.251557301264256e-05, 0.004204333294183016]"
"[3, 1, 1]",1,1.6666666666666667,6.148095366143025e-09,0.00600846186295693,"[(6373, 1, 65)]",1,"(6373, 10, 7830)",all,"[6.173114286411874e-08, 0.017917748540639877, 0.0001075753170880489]"
"[2, 11, 26]",1,13.0,4.635970981325954e-05,3.438772750996577e-06,"[(6383, 2, 68), (8641, 8, 7429), (8641, 2, 68)]",3,"(6383, 8, 7429)",all,"[5.886866347282194e-06, 4.088163677806733e-06, 3.412882279008045e-07]"
"[2, 3, 51]",1,18.666666666666668,0.004286978393793106,0.0003095905627953736,"[(16932, 8, 7410)]",1,"(7058, 8, 7410)",all,"[0.0005600295262411237, 0.00036870912299491465, 3.3039150082458946e-08]"
"[2, 2, 18]",1,7.333333333333333,0.000584246648941189,4.916869330647463e-05,"[(8704, 8, 7410)]",1,"(4882, 8, 7410)",all,"[2.971000867546536e-05, 0.00011770765559049323, 8.841565346529023e-08]"
"[1, 5, 27]",1,11.0,0.0023090632166713476,1.8389220869607925e-05,"[(7289, 3, 9), (16023, 3, 9), (16023, 8, 7410)]",3,"(7289, 8, 7410)",all,"[4.416231604409404e-05, 1.0828252925421111e-05, 1.770936393086231e-07]"
"[3, 1, 1]",1,1.6666666666666667,5.487277832116888e-08,0.012511357440856704,"[(7201, 3, 6)]",1,"(7201, 10, 7830)",all,"[2.6974204203611407e-08, 0.037507593631744385, 2.645171662152279e-05]"
"[2, 4, 17]",1,7.666666666666667,0.0004249627818353474,1.1631780220492752e-05,"[(6900, 3, 741), (21872, 8, 7393), (21872, 3, 741)]",3,"(6900, 8, 7393)",all,"[1.704461465124041e-05, 1.7023287000483833e-05, 8.274390097540163e-07]"
"[4, 1, 2]",1,2.3333333333333335,3.598094266976659e-09,0.002414604952973557,"[(6383, 3, 6)]",1,"(6383, 10, 7830)",all,"[4.3627405688084764e-08, 0.007228091359138489, 1.567987237649504e-05]"
"[5, 3, 2]",1,3.3333333333333335,0.00044393580174073577,0.008118626716774694,"[(6437, 4, 66)]",1,"(6437, 11, 8038)",all,"[4.614868885255419e-06, 0.009865634143352509, 0.014485631138086319]"
"[2, 1, 35]",1,12.666666666666666,0.001143264933489263,0.00020248946385947875,"[(18573, 8, 7410)]",1,"(5897, 8, 7410)",all,"[5.5226766562554985e-05, 0.0005521575221791863, 8.410283669491037e-08]"
"[4, 1, 1]",1,2.0,4.245945461889278e-08,0.011813457721312778,"[(7365, 3, 6)]",1,"(7365, 10, 7830)",all,"[2.24085585642797e-08, 0.03538591042160988, 5.444033376988955e-05]"
"[4, 1, 1]",1,2.0,1.7677490582457267e-09,0.018103109402690148,"[(6853, 1, 65)]",1,"(6853, 10, 7830)",all,"[3.752254684741274e-08, 0.05429581552743912, 1.347515808447497e-05]"
"[3, 5, 42]",1,16.666666666666668,0.0010024775983765721,6.943266869304428e-06,"[(23766, 3, 6), (23766, 8, 7427), (6105, 3, 6)]",3,"(6105, 8, 7427)",all,"[1.5789004464750178e-05, 5.026479811931495e-06, 1.4316331231611912e-08]"
"[1, 1, 1]",1,1.0,1.3795550330542028e-05,0.6570861606936281,"[(6976, 4, 485)]",1,"(6976, 11, 7956)",all,"[0.0012728777946904302, 0.9711138606071472, 0.9988717436790466]"
"[3, 1, 1]",1,1.6666666666666667,9.406714518434e-09,0.02011298917463004,"[(5380, 3, 2)]",1,"(5380, 10, 7830)",all,"[2.2943642363770778e-07, 0.06033429503440857, 4.443053057912039e-06]"
"[8, 3, 2]",1,4.333333333333333,0.00015194433217402548,0.009322948514447186,"[(5575, 1, 2467)]",1,"(5575, 11, 8038)",all,"[1.6840443777255132e-06, 0.01973620057106018, 0.008230960927903652]"
"[1, 3, 90]",1,31.333333333333332,0.0002039851970039308,9.807760710452602e-05,"[(19983, 8, 7410)]",1,"(6137, 8, 7410)",all,"[0.00028469160315580666, 9.532765034236945e-06, 8.4531235344798e-09]"
"[3, 3, 24]",1,10.0,0.0021270744036883116,1.3717493025922067e-05,"[(18777, 8, 7427)]",1,"(5665, 8, 7427)",all,"[8.964051403381745e-07, 4.022854409413412e-05, 2.7529843293905287e-08]"
"[2, 1, 22]",1,8.333333333333334,0.010452235117554665,9.129267887904764e-05,"[(5411, 2, 31), (17452, 8, 7410), (17452, 2, 31)]",3,"(5411, 8, 7410)",all,"[9.304464037995785e-05, 0.00018044990429189056, 3.8349196529452456e-07]"
"[1, 1, 1]",1,1.0,9.579446569318861e-09,0.0020522325601319835,"[(5586, 2, 30)]",1,"(5586, 10, 7830)",all,"[1.4998686026501673e-07, 0.006056916434317827, 9.963125921785831e-05]"
"[5, 1, 1]",1,2.3333333333333335,8.774295956470723e-09,0.010068404641462672,"[(5269, 1, 65)]",1,"(5269, 10, 7830)",all,"[9.305336945431009e-09, 0.0301826074719429, 2.2597147108172067e-05]"
"[31, 4, 26]",1,20.333333333333332,0.0004672106879297644,0.0010955377714102117,"[(6083, 3, 39), (17391, 9, 8418), (17391, 3, 39)]",3,"(6083, 9, 8418)",all,"[1.4225318409444299e-05, 0.0032240531872957945, 4.833480852539651e-05]"
"[1, 1, 1]",1,1.0,1.6883053177707552e-08,0.04370409859312948,"[(6263, 3, 9)]",1,"(6263, 10, 7830)",all,"[2.824507134846499e-07, 0.13106167316436768, 5.034016430727206e-05]"
"[2, 4, 41]",1,15.666666666666666,0.00013452170242089778,1.1557828059949316e-05,"[(19498, 8, 7410)]",1,"(6766, 8, 7410)",all,"[5.097349458083045e-06, 2.9547989470302127e-05, 2.8145251462774468e-08]"
"[1, 1, 1]",1,1.0,6.464199395850301e-05,0.5880704541535428,"[(7788, 4, 66)]",1,"(7788, 11, 7956)",all,"[0.003704017261043191, 0.7663454413414001, 0.9941619038581848]"
"[8, 1, 1]",1,3.3333333333333335,8.69010374771051e-09,0.00543193444764789,"[(7499, 2, 1323)]",1,"(7499, 10, 7830)",all,"[5.071813191648289e-09, 0.01628393679857254, 1.1861472557939123e-05]"
"[3, 1, 2]",1,2.0,0.022079462185502052,0.28438736995061237,"[(7628, 2, 31), (4492, 2, 31)]",2,"(7628, 12, 4492)",all,"[0.14069068431854248, 0.33933839201927185, 0.3731330335140228]"
"[1, 1, 1]",1,1.0,4.18413728766609e-05,0.5973819804567029,"[(6344, 2, 31)]",1,"(6344, 11, 7956)",all,"[7.948648271849379e-05, 0.8628546595573425, 0.9292117953300476]"
"[6, 1, 1]",1,2.6666666666666665,3.6794955970975707e-09,0.012748847862610546,"[(7097, 1, 65)]",1,"(7097, 10, 7830)",all,"[3.2619993817206705e-08, 0.03823411837220192, 1.2392595635901671e-05]"
"[4, 1, 1]",1,2.0,5.266637259637719e-08,0.004499373865783103,"[(7450, 2, 31)]",1,"(7450, 10, 7830)",all,"[2.5150638904847256e-08, 0.013471417129039764, 2.6679317670641467e-05]"
"[1, 4, 110]",1,38.333333333333336,0.0038276768755167723,2.9221804700515126e-05,"[(16729, 8, 7410)]",1,"(7080, 8, 7410)",all,"[8.500267722411081e-05, 2.6607579002302373e-06, 1.978977204331045e-09]"
"[6, 1, 1]",1,2.6666666666666665,2.1283966589180636e-08,0.005881248531917294,"[(5920, 3, 6)]",1,"(5920, 10, 7830)",all,"[1.7294997434191828e-08, 0.0175674669444561, 7.626135629834607e-05]"
"[1, 4, 24]",1,9.666666666666666,0.00017373502487316728,1.0509396920118283e-05,"[(5269, 1, 65)]",1,"(5269, 8, 7410)",all,"[2.595346813905053e-05, 5.43892156201764e-06, 1.3580105928667763e-07]"
"[5, 3, 2]",1,3.3333333333333335,0.0002951548667624593,0.09442790679531754,"[(6263, 4, 66)]",1,"(6263, 11, 8038)",all,"[4.829711906495504e-05, 0.03487137705087662, 0.24836404621601105]"
"[3, 4, 66]",1,24.333333333333332,0.0015577422454953194,5.181611398323109e-06,"[(21902, 2, 31), (21902, 8, 7410), (4912, 2, 31)]",3,"(4912, 8, 7410)",all,"[5.660011083818972e-06, 9.876956937659997e-06, 7.866173490356232e-09]"
"[1, 2, 25]",1,9.333333333333334,0.013211856596171856,5.4360268687029624e-05,"[(5849, 2, 68), (25165, 8, 7410), (25165, 2, 68)]",3,"(5849, 8, 7410)",all,"[0.00012662106018979102, 3.599852789193392e-05, 4.6121797936393705e-07]"
