exp_length,original_score,facts,prediction,original_rank,new_scores,new_ranks,exp,new_score,new_rank
11,6.5098124,"[([(2059, 100, 160), (2059, 17, 862), (5605, 100, 160)], 0.38710022, 'xrule'), ([(2059, 48, 32), (2059, 17, 862), (5605, 48, 32)], 0.26500034, 'xrule'), ({(5605, 17, 1192)}, 0.20924333803031903, 'baseline'), ({(5605, 77, 1686), (5605, 17, 1192)}, 0.1993112967840751, 'baseline'), ({(5605, 45, 7550), (5605, 17, 1192)}, 0.19367746574919073, 'baseline'), ({(5605, 77, 5293), (5605, 17, 1192)}, 0.19034914236599734, 'baseline'), ({(5293, 77, 5605), (5605, 17, 1192)}, 0.18677524785063215, 'baseline'), ({(5605, 17, 1192), (5605, 164, 2458)}, 0.18526510457029624, 'baseline'), ({(5605, 45, 7550), (5605, 77, 1686), (5605, 17, 1192)}, 0.184382478974314, 'baseline'), ({(5605, 45, 5194), (5605, 17, 1192)}, 0.18420223454874932, 'baseline'), ({(5605, 17, 1192), (5293, 164, 5605)}, 0.18178800802885864, 'baseline'), ({(3441, 123, 5605), (5605, 17, 1192)}, 0.18166259984926236, 'baseline'), ([(4684, 17, 1192), (5605, 17, 1192), (4684, 17, 862)], 0.10730028, 'xrule'), ([(8435, 17, 862), (8435, 100, 160), (5605, 100, 160)], 0.08669996, 'xrule'), ([(5605, 17, 215), (8594, 17, 215), (8594, 17, 862)], 0.027500153, 'xrule')]","(5605, 17, 862)",1,[6.157729],[1],"[(2059, 48, 32), (2059, 100, 160), (5605, 77, 1686), (1686, 17, 862), (1192, 181, 862), (7550, 17, 862), (5605, 17, 1192), (5605, 100, 160), (5605, 45, 7550), (2059, 17, 862), (5605, 48, 32)]",6.157729,1.0
18,8.85631,"[({(7019, 26, 1098), (7019, 26, 64), (7019, 31, 163), (7019, 14, 160)}, 0.4949875303127973, 'baseline'), ({(7019, 31, 163), (7019, 26, 64), (7019, 26, 342), (7019, 14, 160)}, 0.4823913997992985, 'baseline'), ({(7019, 31, 163), (7019, 26, 1098), (7019, 26, 342), (7019, 14, 160)}, 0.4759426540314028, 'baseline'), ({(7019, 26, 64), (7019, 26, 1881), (7019, 31, 163), (7019, 14, 160)}, 0.45216755303761375, 'baseline'), ({(7019, 26, 1098), (7019, 26, 1881), (7019, 31, 163), (7019, 14, 160)}, 0.44452099233727455, 'baseline'), ({(7019, 31, 163), (7019, 26, 64), (7019, 31, 84), (7019, 14, 160)}, 0.4412870827032251, 'baseline'), ({(7019, 31, 163), (7019, 26, 1098), (7019, 31, 84), (7019, 14, 160)}, 0.435870212507766, 'baseline'), ({(7019, 26, 64), (7019, 28, 1080), (7019, 31, 163), (7019, 14, 160)}, 0.43342213053281453, 'baseline'), ({(7019, 31, 163), (7019, 26, 1881), (7019, 26, 342), (7019, 14, 160)}, 0.4316320838213833, 'baseline'), ({(7019, 31, 163), (7019, 26, 1098), (7019, 26, 64), (7019, 26, 342)}, 0.4303303183993812, 'baseline'), ([(4482, 28, 382), (7019, 28, 382), (4482, 11, 23)], 0.3018999, 'xrule'), ([(8455, 28, 1080), (7019, 28, 1080), (8455, 11, 23)], 0.2744999, 'xrule'), ([(4826, 14, 160), (4826, 11, 23), (7019, 14, 160)], 0.26259995, 'xrule'), ([(552, 11, 23), (552, 31, 163), (7019, 31, 163)], 0.25590038, 'xrule'), ([(522, 11, 23), (7019, 28, 382), (522, 28, 382), (522, 90, 23)], 0.23580074, 'xrule')]","(7019, 11, 23)",1,[8.230524],[1],"[(7019, 26, 1098), (8471, 11, 23), (2114, 26, 1098), (7019, 26, 342), (7019, 14, 160), (5849, 11, 23), (5472, 26, 342), (7019, 26, 1881), (10359, 14, 160), (12358, 26, 1881), (12358, 11, 23), (5472, 11, 23), (8471, 31, 163), (5849, 26, 64), (2114, 11, 23), (10359, 11, 23), (7019, 26, 64), (7019, 31, 163)]",8.230524,1.0
22,7.565317,"[({(868, 28, 32), (868, 14, 160), (868, 26, 1098), (868, 26, 64)}, 0.37411407798968666, 'baseline'), ([(868, 28, 32), (6242, 28, 32), (6242, 26, 342), (6242, 13, 32), (868, 13, 32)], 0.3388996, 'xrule'), ([(868, 28, 32), (70, 28, 32), (70, 13, 32), (868, 13, 32), (70, 26, 342)], 0.33510017, 'xrule'), ({(868, 28, 32), (868, 84, 869), (868, 26, 1098), (868, 26, 64)}, 0.33296970662584496, 'baseline'), ({(868, 28, 32), (3032, 6, 868), (868, 26, 1098), (868, 26, 64)}, 0.3315906935820361, 'baseline'), ({(868, 28, 32), (868, 34, 90), (868, 26, 1098), (868, 26, 64)}, 0.32584957416435945, 'baseline'), ({(868, 28, 32), (868, 106, 249), (868, 26, 1098), (868, 26, 64)}, 0.3175249510195371, 'baseline'), ({(868, 84, 869), (868, 14, 160), (868, 26, 1098), (868, 26, 64)}, 0.3161688261111015, 'baseline'), ({(868, 26, 1098), (3032, 6, 868), (868, 26, 64), (868, 14, 160)}, 0.31405357647072674, 'baseline'), ({(868, 28, 32), (868, 26, 1098), (2259, 7, 868), (868, 26, 64)}, 0.31309894843694086, 'baseline'), ({(868, 34, 90), (868, 14, 160), (868, 26, 1098), (868, 26, 64)}, 0.30758194251190535, 'baseline'), ({(868, 106, 249), (868, 14, 160), (868, 26, 1098), (868, 26, 64)}, 0.3071537427616059, 'baseline'), ([(70, 31, 84), (84, 2, 70), (868, 31, 84), (70, 26, 342), (84, 2, 868)], 0.2215004, 'xrule'), ([(269, 31, 136), (868, 31, 136), (269, 26, 342)], 0.21389961, 'xrule'), ([(868, 28, 32), (2470, 13, 32), (2470, 26, 342), (868, 13, 32), (2470, 28, 32)], 0.19950008, 'xrule')]","(868, 26, 342)",1,[7.3585362],[2],"[(3032, 6, 868), (2973, 84, 869), (2973, 26, 342), (868, 28, 32), (868, 84, 869), (70, 26, 342), (6242, 13, 32), (13009, 26, 342), (868, 14, 160), (868, 26, 64), (13009, 26, 64), (13009, 14, 160), (868, 26, 1098), (6242, 28, 32), (13009, 26, 1098), (70, 13, 32), (868, 13, 32), (7391, 26, 342), (70, 28, 32), (13009, 13, 32), (6242, 26, 342), (3032, 6, 7391)]",7.3585362,2.0
20,7.8973103,"[({(3116, 14, 160), (1642, 32, 3116), (3116, 31, 4), (3116, 13, 32)}, 1.2009811963684007, 'baseline'), ({(3116, 14, 160), (467, 7, 3116), (3116, 31, 4), (3116, 13, 32)}, 1.132514054180931, 'baseline'), ({(3116, 14, 160), (7999, 2, 3116), (3116, 31, 4), (3116, 13, 32)}, 1.1035137710843217, 'baseline'), ({(3116, 14, 160), (1250, 7, 3116), (3116, 31, 4), (3116, 13, 32)}, 1.0961914595316298, 'baseline'), ({(3116, 14, 160), (3116, 13, 32), (3116, 31, 4), (3116, 31, 7999)}, 1.0801153711156395, 'baseline'), ({(3116, 14, 160), (3116, 31, 4), (3116, 13, 32)}, 1.0549011752175455, 'baseline'), ({(3116, 14, 160), (3116, 31, 4), (3116, 109, 6850), (3116, 13, 32)}, 1.0453806442890572, 'baseline'), ({(3116, 14, 160), (2558, 102, 3116), (3116, 31, 4), (3116, 13, 32)}, 1.0424938720463603, 'baseline'), ({(3116, 14, 160), (3116, 31, 4), (3116, 30, 1501), (3116, 13, 32)}, 1.034238866997477, 'baseline'), ({(3116, 14, 160), (3116, 31, 4), (3116, 84, 3810), (3116, 13, 32)}, 1.0288601437398626, 'baseline'), ([(4721, 28, 32), (4721, 11, 23), (3116, 28, 32), (4721, 13, 32), (3116, 13, 32)], 0.9125004, 'xrule'), ([(3116, 13, 32), (4809, 11, 23), (3116, 28, 32), (4809, 13, 32)], 0.6917, 'xrule'), ([(4, 2, 4503), (4503, 31, 4), (3116, 31, 4), (4503, 11, 23)], 0.6665001, 'xrule'), ([(4272, 11, 23), (3116, 28, 32), (3116, 13, 32), (4272, 28, 32), (4272, 13, 32)], 0.64070034, 'xrule'), ([(3116, 13, 32), (4503, 11, 23), (3116, 28, 32), (4503, 13, 32)], 0.50180054, 'xrule')]","(3116, 11, 23)",1,[7.2527266],[1],"[(467, 7, 3644), (1642, 32, 3116), (1642, 32, 10679), (3116, 31, 7999), (467, 7, 3116), (9520, 11, 23), (9520, 31, 4), (1250, 7, 3116), (10648, 11, 23), (10679, 28, 32), (3644, 11, 23), (1250, 7, 10679), (3116, 14, 160), (10359, 14, 160), (7999, 2, 3116), (10648, 31, 7999), (3116, 31, 4), (3116, 13, 32), (10359, 11, 23), (10679, 11, 23)]",7.2527266,1.0
21,6.271813,"[([(3481, 13, 382), (6286, 29, 1934), (6286, 29, 382)], 0.3600998, 'xrule'), ({(3481, 13, 202), (3481, 13, 637), (3481, 13, 1080), (3481, 13, 27)}, 0.14859966482652645, 'baseline'), ({(3481, 13, 1080), (3481, 13, 637), (3481, 13, 2282), (3481, 13, 27)}, 0.1369991704448371, 'baseline'), ({(3481, 13, 1080), (3481, 13, 637), (3481, 13, 449), (3481, 13, 27)}, 0.13386825763017443, 'baseline'), ([(3481, 13, 382), (382, 23, 57), (1934, 23, 57)], 0.13080025, 'xrule'), ({(3481, 13, 202), (3481, 13, 637), (3481, 13, 1080), (3481, 13, 2282)}, 0.12966541491045344, 'baseline'), ({(3481, 13, 1080), (3481, 13, 637), (3481, 13, 2410), (3481, 13, 27)}, 0.12957576953006233, 'baseline'), ({(3481, 13, 1361), (3481, 13, 637), (3481, 13, 1080), (3481, 13, 27)}, 0.12860874376029777, 'baseline'), ({(3481, 13, 1080), (3481, 13, 637), (3481, 203, 5143), (3481, 13, 27)}, 0.12795261584130468, 'baseline'), ({(3481, 13, 1080), (3481, 13, 637), (3481, 14, 160), (3481, 13, 27)}, 0.12747005666885564, 'baseline'), ({(3481, 13, 202), (3481, 13, 637), (3481, 13, 1080), (3481, 13, 449)}, 0.12673000534293138, 'baseline'), ({(3481, 13, 1080), (3481, 13, 637), (3481, 13, 2600), (3481, 13, 27)}, 0.12134365284357279, 'baseline'), ([(32, 139, 90), (1934, 206, 90), (32, 206, 90), (32, 234, 90), (1934, 219, 90), (1934, 139, 90), (3481, 28, 32), (3481, 13, 32)], 0.08330059, 'xrule'), ([(4174, 25, 62), (3481, 25, 62), (4174, 13, 1934)], 0.076200485, 'xrule'), ([(1060, 7, 3481), (1060, 7, 2115), (2115, 13, 1934)], 0.05679989, 'xrule')]","(3481, 13, 1934)",1,[6.243824],[3],"[(1373, 151, 2282), (13671, 150, 1080), (6286, 29, 382), (13671, 150, 1934), (1373, 151, 1934), (3481, 13, 382), (3481, 13, 202), (27, 58, 1934), (3481, 13, 449), (4745, 13, 1934), (6286, 29, 1934), (3481, 13, 2282), (3481, 13, 1080), (3481, 13, 27), (382, 23, 57), (3481, 13, 637), (1934, 23, 57), (1934, 58, 637), (9894, 163, 1934), (9894, 131, 202), (4745, 13, 449)]",6.243824,3.0
20,7.389966,"[({(6848, 31, 2461), (6848, 11, 23), (1702, 32, 6848), (6848, 86, 742)}, 0.40975479479207194, 'baseline'), ({(6848, 11, 23), (1702, 32, 6848), (2961, 6, 6848), (6848, 86, 742)}, 0.4061985432656162, 'baseline'), ({(6848, 86, 87), (6848, 11, 23), (1702, 32, 6848), (6848, 86, 742)}, 0.3867063937638992, 'baseline'), ({(6848, 11, 23), (1702, 32, 6848), (6848, 86, 742), (5137, 6, 6848)}, 0.38271145203244444, 'baseline'), ({(7785, 6, 6848), (6848, 11, 23), (1702, 32, 6848), (6848, 86, 742)}, 0.380462687966595, 'baseline'), ({(6848, 31, 2461), (6848, 11, 23), (6848, 86, 742), (2961, 6, 6848)}, 0.37521271080840907, 'baseline'), ({(6848, 31, 2461), (6848, 11, 23), (6848, 86, 742), (5137, 6, 6848)}, 0.35850624401013, 'baseline'), ({(3248, 2, 6848), (6848, 11, 23), (1702, 32, 6848), (6848, 86, 742)}, 0.35668758706513254, 'baseline'), ({(6848, 11, 23), (1702, 32, 6848), (6848, 86, 742), (8976, 6, 6848)}, 0.35574440314309147, 'baseline'), ({(6848, 86, 87), (6848, 11, 23), (6848, 86, 742), (6848, 31, 2461)}, 0.35396293949398133, 'baseline'), ([(78, 86, 742), (78, 13, 32), (78, 28, 32), (742, 32, 78), (6848, 86, 742), (742, 32, 6848)], 0.27000046, 'xrule'), ([(742, 32, 8980), (6848, 86, 742), (742, 32, 6848), (8980, 13, 32)], 0.2695999, 'xrule'), ([(195, 13, 32), (6848, 31, 4), (4, 2, 6848), (195, 28, 32), (195, 31, 4)], 0.23859978, 'xrule'), ([(8196, 31, 4), (6848, 31, 4), (8196, 13, 32), (4, 2, 6848)], 0.22900009, 'xrule'), ([(5296, 6, 6848), (5754, 28, 32), (5296, 6, 5754)], 0.22480011, 'xrule')]","(6848, 28, 32)",1,[6.8278284],[1],"[(1702, 32, 6848), (6848, 31, 2461), (6848, 86, 87), (32, 15, 9656), (7785, 6, 6848), (654, 185, 32), (6848, 11, 23), (7785, 48, 32), (6848, 86, 742), (10026, 13, 32), (654, 107, 2461), (87, 32, 3892), (10026, 11, 23), (3892, 28, 32), (2961, 48, 32), (2961, 6, 6848), (5137, 6, 6848), (5137, 48, 32), (10026, 86, 1702), (742, 83, 9656)]",6.8278284,1.0
21,8.157777,"[({(434, 161, 6079), (6079, 220, 4005), (6079, 220, 6386), (6079, 25, 62)}, 0.7700424656795258, 'baseline'), ({(6079, 220, 4005), (6079, 148, 7018), (6079, 220, 6386), (6079, 25, 62)}, 0.6688576191340091, 'baseline'), ({(6079, 220, 4005), (6079, 148, 2034), (6079, 220, 6386), (6079, 25, 62)}, 0.6662741153642882, 'baseline'), ({(6079, 220, 4005), (6079, 220, 6386), (6079, 25, 62), (6079, 148, 1264)}, 0.6595564333881776, 'baseline'), ({(6079, 220, 4005), (6079, 220, 6386), (6079, 25, 62), (6079, 148, 6025)}, 0.6594229189445293, 'baseline'), ({(6079, 220, 4005), (6079, 148, 1922), (6079, 220, 6386), (6079, 25, 62)}, 0.652261778401398, 'baseline'), ({(6079, 148, 9623), (6079, 220, 4005), (6079, 220, 6386), (6079, 25, 62)}, 0.6509323564141846, 'baseline'), ({(6079, 220, 4005), (6079, 220, 6386), (6079, 25, 62), (6079, 148, 3021)}, 0.6468420472199025, 'baseline'), ({(434, 161, 6079), (6079, 220, 4005), (6079, 148, 7018), (6079, 220, 6386)}, 0.6020870646244455, 'baseline'), ({(434, 161, 6079), (6079, 220, 4005), (6079, 148, 2034), (6079, 220, 6386)}, 0.594090505375283, 'baseline'), ([(9277, 25, 62), (9277, 220, 8450), (6079, 25, 62)], 0.35809994, 'xrule'), ([(2780, 25, 62), (2780, 220, 8450), (6079, 25, 62)], 0.35750008, 'xrule'), ([(4994, 220, 8450), (6079, 25, 62), (4994, 25, 62)], 0.34299946, 'xrule'), ([(6680, 25, 62), (6079, 25, 62), (6680, 220, 8450)], 0.33150005, 'xrule'), ([(3426, 25, 62), (6079, 25, 62), (3426, 220, 8450)], 0.29579926, 'xrule')]","(6079, 220, 8450)",1,[6.9165783],[3],"[(10954, 220, 4005), (6079, 220, 6386), (6079, 148, 6025), (10954, 220, 8450), (12954, 220, 8450), (12954, 25, 62), (4557, 148, 6025), (10954, 148, 7018), (10954, 148, 1264), (6079, 148, 2034), (13528, 220, 8450), (434, 161, 5778), (6079, 220, 4005), (5778, 220, 8450), (6079, 25, 62), (6079, 148, 7018), (4557, 220, 8450), (6079, 148, 1264), (434, 161, 6079), (13528, 220, 6386), (10954, 148, 2034)]",6.9165783,3.0
11,5.790435,"[([(7865, 48, 32), (4592, 48, 32), (7865, 17, 818)], 0.92129993, 'xrule'), ([(4592, 43, 384), (8792, 43, 384), (8792, 17, 818)], 0.9046998, 'xrule'), ([(4592, 48, 32), (8792, 48, 32), (8792, 17, 818)], 0.89890003, 'xrule'), ([(9572, 17, 818), (4592, 48, 32), (9572, 48, 32)], 0.7517996, 'xrule'), ([(7535, 48, 32), (4592, 48, 32), (7535, 17, 818)], 0.73639965, 'xrule'), ({(7146, 8, 4592), (4592, 8, 7146)}, 0.002663652369009108, 'baseline'), ({(4592, 8, 7146)}, 0.0009437007479124597, 'baseline'), ({(7146, 8, 4592), (4592, 8, 7146), (2569, 8, 4592)}, 0.0005636615359198028, 'baseline'), ({(7146, 8, 4592)}, 0.000365297267246047, 'baseline'), ({(4592, 8, 7146), (2569, 8, 4592)}, 0.00033430285101405634, 'baseline'), ({(7146, 8, 4592), (2569, 8, 4592)}, -0.0002746182048509764, 'baseline'), ({(2569, 8, 4592)}, -0.001056631124470992, 'baseline'), ({(4592, 8, 7146), (10076, 8, 4592)}, -0.008153398567077084, 'baseline'), ({(4592, 8, 10076), (4592, 8, 7146)}, -0.008176763569798904, 'baseline'), ({(7146, 8, 4592), (10076, 8, 4592), (4592, 8, 7146)}, -0.008346994429895838, 'baseline')]","(4592, 17, 818)",1,[5.128814],[1],"[(4592, 43, 384), (9572, 17, 818), (9572, 48, 32), (7535, 48, 32), (8792, 48, 32), (7865, 48, 32), (4592, 48, 32), (7865, 17, 818), (7535, 17, 818), (8792, 43, 384), (8792, 17, 818)]",5.128814,1.0
22,7.8901253,"[({(8007, 48, 32), (8007, 85, 434), (8007, 17, 2044), (8007, 39, 150)}, 3.4584139390330835, 'baseline'), ({(8007, 48, 32), (8007, 85, 434), (8007, 19, 1060), (8007, 39, 150)}, 2.995221358558082, 'baseline'), ({(8007, 48, 32), (8007, 85, 434), (2468, 27, 8007), (8007, 39, 150)}, 2.8927270991426774, 'baseline'), ({(8007, 48, 32), (8007, 85, 434), (9171, 12, 8007), (8007, 39, 150)}, 2.8746740412805907, 'baseline'), ({(8007, 48, 32), (8007, 85, 434), (1060, 47, 8007), (8007, 39, 150)}, 2.870028215870274, 'baseline'), ({(8007, 48, 32), (8007, 85, 434), (8007, 39, 150), (9508, 183, 8007)}, 2.8578831713756925, 'baseline'), ({(8007, 48, 32), (8007, 85, 434), (8007, 39, 150)}, 2.8576981584539256, 'baseline'), ({(8007, 48, 32), (8007, 85, 434), (8007, 39, 150), (4322, 183, 8007)}, 2.8546363865085103, 'baseline'), ({(8007, 19, 2167), (8007, 85, 434), (8007, 48, 32), (8007, 39, 150)}, 2.8499519373974453, 'baseline'), ({(8007, 48, 32), (8007, 85, 434), (8007, 38, 9171), (8007, 39, 150)}, 2.8372833258561294, 'baseline'), ([(8007, 85, 434), (429, 43, 141), (429, 85, 434)], 1.0674005, 'xrule'), ([(8007, 85, 434), (8730, 85, 434), (8730, 43, 141)], 0.95040035, 'xrule'), ([(8007, 48, 32), (861, 43, 141), (861, 48, 32)], 0.94680023, 'xrule'), ([(8007, 85, 434), (754, 85, 434), (754, 43, 141)], 0.8898001, 'xrule'), ([(8007, 48, 32), (8554, 43, 141), (8554, 48, 32)], 0.8642001, 'xrule')]","(8007, 43, 141)",1,[5.3493414],[1],"[(8007, 48, 32), (2468, 27, 8007), (10702, 85, 434), (12439, 43, 141), (12439, 17, 2044), (14350, 48, 32), (8007, 19, 1060), (10702, 43, 141), (8007, 39, 150), (2812, 43, 141), (11381, 39, 150), (8007, 85, 434), (12810, 19, 1060), (11381, 43, 141), (2468, 27, 10098), (8007, 17, 2044), (14350, 43, 141), (1060, 47, 8007), (9171, 12, 8007), (2812, 38, 9171), (12810, 43, 141), (10098, 43, 141)]",5.3493414,1.0
11,7.833797,"[({(3861, 28, 32), (3861, 31, 4), (3861, 13, 32), (3861, 26, 990)}, 0.3380060607226724, 'baseline'), ({(3861, 26, 1881), (3861, 31, 4), (3861, 13, 32), (3861, 26, 990)}, 0.32627968125940005, 'baseline'), ({(3861, 26, 1881), (3861, 28, 32), (3861, 31, 4), (3861, 13, 32)}, 0.3211288862568805, 'baseline'), ({(3861, 26, 1881), (3861, 28, 32), (3861, 13, 32), (3861, 26, 990)}, 0.31943706798205546, 'baseline'), ({(3861, 26, 1881), (3861, 28, 32), (3861, 31, 4), (3861, 26, 990)}, 0.3107548169764775, 'baseline'), ({(3861, 28, 32), (3861, 31, 4), (3861, 13, 32), (84, 2, 3861)}, 0.3096094541182588, 'baseline'), ({(3861, 31, 4), (3861, 13, 32), (3861, 26, 990), (84, 2, 3861)}, 0.30834202096639146, 'baseline'), ({(3861, 28, 32), (3861, 13, 32), (3861, 26, 990), (84, 2, 3861)}, 0.30056194580427353, 'baseline'), ({(3861, 28, 32), (3861, 31, 4), (3861, 26, 990), (84, 2, 3861)}, 0.29357818875389663, 'baseline'), ({(3861, 26, 1881), (3861, 31, 4), (3861, 13, 32), (84, 2, 3861)}, 0.29137138635114035, 'baseline'), ([(3861, 28, 32), (4648, 26, 64), (3861, 13, 32), (4648, 28, 32)], 0.083999634, 'xrule'), ([(3861, 86, 268), (268, 32, 3861), (2886, 26, 64), (268, 38, 3861), (2886, 86, 268)], 0.043899536, 'xrule'), ([(3861, 28, 32), (70, 26, 64), (70, 28, 32), (70, 13, 32), (3861, 13, 32)], -0.07540035, 'xrule'), ([(6617, 31, 657), (3861, 31, 657), (6617, 26, 64)], -0.10060024, 'xrule'), ([(3861, 28, 32), (7013, 26, 64), (3861, 13, 32), (7013, 13, 32)], -0.116500854, 'xrule')]","(3861, 26, 64)",1,[7.6058536],[1],"[(13009, 31, 4), (3861, 26, 1881), (3861, 13, 32), (3861, 26, 990), (5849, 28, 32), (13009, 26, 1881), (3861, 28, 32), (5849, 26, 64), (13009, 26, 990), (13009, 26, 64), (3861, 31, 4)]",7.6058536,1.0
21,6.3330984,"[({(9419, 116, 10417), (9419, 31, 6394), (9419, 31, 9900), (2300, 7, 9419)}, 0.3450279648132301, 'baseline'), ({(9419, 31, 9900), (9419, 31, 6394), (9419, 86, 482), (2300, 7, 9419)}, 0.33125213917804575, 'baseline'), ({(9419, 31, 6394), (3179, 7, 9419), (9419, 31, 9900), (2300, 7, 9419)}, 0.31932358074469136, 'baseline'), ({(9419, 34, 90), (9419, 31, 6394), (9419, 31, 9900), (2300, 7, 9419)}, 0.3168592863021063, 'baseline'), ({(9419, 116, 10417), (9419, 31, 9900), (9419, 31, 6394), (9419, 86, 482)}, 0.31023268027811324, 'baseline'), ({(2636, 7, 9419), (9419, 31, 6394), (9419, 31, 9900), (2300, 7, 9419)}, 0.3075910024275154, 'baseline'), ({(863, 7, 9419), (9419, 31, 6394), (9419, 31, 9900), (2300, 7, 9419)}, 0.2949715069219657, 'baseline'), ({(14, 7, 9419), (9419, 31, 6394), (9419, 31, 9900), (2300, 7, 9419)}, 0.2935657909860068, 'baseline'), ({(2227, 7, 9419), (9419, 31, 6394), (9419, 31, 9900), (2300, 7, 9419)}, 0.281945746193597, 'baseline'), ({(9419, 30, 14), (9419, 31, 6394), (9419, 31, 9900), (2300, 7, 9419)}, 0.28057674674945393, 'baseline'), ([(3224, 25, 62), (3224, 31, 2512), (9419, 25, 62)], 0.18809986, 'xrule'), ([(3238, 31, 2512), (3238, 25, 62), (9419, 25, 62)], 0.18090057, 'xrule'), ([(5760, 31, 2512), (5760, 25, 62), (9419, 25, 62)], 0.17949963, 'xrule'), ([(5247, 31, 2512), (5247, 25, 62), (9419, 25, 62)], 0.17850018, 'xrule'), ([(5817, 25, 62), (9419, 25, 62), (5817, 31, 2512)], 0.15579987, 'xrule')]","(9419, 31, 2512)",1,[5.709211],[4],"[(9419, 116, 10417), (9419, 31, 9900), (9419, 86, 482), (5247, 116, 10417), (2300, 7, 9419), (8002, 31, 2512), (3179, 7, 9419), (9419, 31, 6394), (9419, 34, 90), (3053, 31, 2512), (6487, 34, 90), (3179, 7, 3265), (1228, 31, 2512), (12112, 31, 6394), (482, 32, 1228), (2300, 7, 8002), (3053, 31, 9900), (3265, 31, 2512), (5247, 31, 2512), (12112, 31, 2512), (6487, 31, 2512)]",5.709211,4.0
18,8.66317,"[({(4929, 14, 160), (4929, 26, 1098), (4929, 26, 64), (4929, 26, 342)}, 0.5297403764424977, 'baseline'), ({(4929, 14, 160), (4929, 26, 1098), (4929, 26, 64), (4929, 106, 249)}, 0.5127907225891137, 'baseline'), ({(4929, 14, 160), (2250, 2, 4929), (4929, 26, 64), (4929, 26, 1098)}, 0.49365238624058655, 'baseline'), ({(4929, 106, 249), (4929, 14, 160), (4929, 26, 64), (4929, 26, 342)}, 0.49323276953444595, 'baseline'), ({(4929, 106, 249), (4929, 14, 160), (4929, 26, 1098), (4929, 26, 342)}, 0.48187832298332806, 'baseline'), ({(4929, 14, 160), (4929, 26, 1098), (4929, 26, 64), (4929, 106, 1327)}, 0.4740581935327866, 'baseline'), ({(4929, 14, 160), (2250, 2, 4929), (4929, 26, 64), (4929, 26, 342)}, 0.4724216883767447, 'baseline'), ({(4929, 14, 160), (2250, 2, 4929), (4929, 26, 1098), (4929, 26, 342)}, 0.46370319768663554, 'baseline'), ({(4929, 14, 160), (2250, 2, 4929), (4929, 26, 64), (4929, 106, 249)}, 0.45938209933428725, 'baseline'), ({(4929, 106, 249), (4929, 26, 1098), (4929, 26, 64), (4929, 26, 342)}, 0.4551735345315423, 'baseline'), ([(4929, 13, 32), (8281, 28, 32), (8281, 11, 23)], 0.4442997, 'xrule'), ([(4929, 13, 32), (4616, 28, 32), (4616, 11, 23)], 0.2989998, 'xrule'), ([(192, 51, 160), (4929, 14, 160), (192, 11, 23), (192, 14, 160)], 0.2215004, 'xrule'), ([(307, 31, 163), (307, 11, 23), (4929, 31, 163)], 0.22130013, 'xrule'), ([(4929, 13, 32), (257, 28, 32), (257, 11, 23), (257, 13, 32)], 0.2208004, 'xrule')]","(4929, 11, 23)",1,[8.042779],[1],"[(4929, 26, 1098), (2250, 2, 8344), (2114, 26, 1098), (4929, 26, 342), (8344, 11, 23), (5472, 26, 342), (5849, 11, 23), (9522, 11, 23), (10359, 14, 160), (5472, 11, 23), (10359, 11, 23), (2250, 2, 4929), (9522, 106, 249), (5849, 26, 64), (2114, 11, 23), (4929, 14, 160), (4929, 26, 64), (4929, 106, 249)]",8.042779,1.0
