prediction,exp,new_ranks,original_score,new_scores,exp_length,new_rank,new_score,facts,original_rank
"(2035, 1, 8589)","[(23638, 1, 647), (1896, 1, 3839), (3839, 1, 2035), (1896, 1, 8589), (23638, 1, 2035), (2035, 1, 23638), (647, 0, 2035), (8589, 1, 647), (8589, 1, 2035), (2035, 1, 3839)]",[16],8.747489,[4.0316668],10,16.0,4.0316668,"[({(2035, 1, 3839), (2035, 1, 23638), (8589, 1, 2035)}, 0.6291199171532056, 'baseline'), ({(2035, 1, 3839), (3839, 1, 2035), (2035, 1, 23638)}, 0.23803619626421305, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638), (23638, 1, 2035)}, 0.1633911535707448, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638), (647, 0, 2035)}, 0.10885051926066584, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, 0.08483604622620029, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, 0.05389885138182219, 'baseline'), ({(2035, 1, 3839), (25494, 0, 2035), (2035, 1, 23638)}, 0.02931694215633813, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, 0.010783235499544968, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, 0.009400407751637056, 'baseline'), ({(2035, 1, 3839), (2035, 1, 23638)}, -0.025279958785058513, 'baseline')]",1
"(16865, 1, 8774)","[(8775, 1, 8774), (16865, 5, 212), (8774, 1, 16865), (8775, 5, 212)]",[35],10.44133,[3.3478765],4,35.0,3.3478765,"[({(8774, 1, 16865)}, 4.082934993221134, 'baseline'), ({(16865, 5, 212), (8774, 1, 16865)}, 3.991396511692028, 'baseline'), ({(8774, 1, 16865)}, 2.5834962468327554, 'baseline'), ({(16865, 5, 212)}, -0.3287257737032978, 'baseline')]",1
"(26185, 1, 15249)","[(15249, 1, 26185)]",[24460],11.001265,[-2.204533],1,24460.0,-2.204533,"[({(15249, 1, 26185)}, 11.325535632022063, 'baseline'), ({(15249, 1, 26185)}, 5.114180819038805, 'baseline')]",1
"(7708, 1, 7707)","[(7708, 1, 9498), (7707, 1, 7708), (9498, 1, 7707), (9498, 1, 7708)]",[36383],8.797766,[-8.376041],4,36383.0,-8.376041,"[({(7708, 1, 9498), (7707, 1, 7708), (9498, 1, 7708)}, 10.323369156936344, 'baseline'), ({(7708, 1, 9498), (7707, 1, 7708)}, 2.658598586424096, 'baseline'), ({(7707, 1, 7708)}, 2.6563350401678356, 'baseline'), ({(7707, 1, 7708), (9498, 1, 7708)}, 2.6535846430669263, 'baseline'), ({(7708, 1, 9498)}, -0.6052264729779118, 'baseline'), ({(9498, 1, 7708)}, -0.6072835484407295, 'baseline'), ({(7708, 1, 9498), (9498, 1, 7708)}, -1.3942059842704575, 'baseline')]",1
"(37429, 1, 32885)","[(32885, 1, 37429)]",[38712],10.5282135,[-2.4393053],1,38712.0,-2.4393053,"[({(32885, 1, 37429)}, 4.775011790980614, 'baseline')]",1
"(5826, 1, 10722)","[(10722, 1, 5826)]",[3418],9.052063,[-0.08959094],1,3418.0,-0.08959094,"[({(10722, 1, 5826)}, 6.331197179697321, 'baseline'), ({(10722, 1, 5826)}, 3.5930608771176256, 'baseline'), ({(10722, 1, 5826)}, 3.537588960516721, 'baseline'), ({(10722, 1, 5826)}, 3.5326513098092716, 'baseline'), ({(10722, 1, 5826)}, 3.4190085807923745, 'baseline')]",1
"(20692, 1, 21524)","[(21524, 0, 1062), (21524, 1, 20692), (20692, 1, 1062)]",[40788],9.7515745,[-5.2752576],3,40788.0,-5.2752576,"[({(21524, 1, 20692)}, 2.7857415119529465, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 1.9811182960545486, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 1.7126866159906446, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 1.6389437456208824, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 1.2440834620997034, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 1.130155617506503, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 0.9712629820068328, 'baseline'), ({(21524, 1, 20692), (20692, 1, 1062)}, 0.6366625274382279, 'baseline'), ({(20692, 1, 1062)}, 0.011957208607915293, 'baseline'), ({(20692, 1, 1062)}, -0.11296649733340518, 'baseline')]",1
"(25999, 1, 31140)","[(31140, 1, 25999)]",[36954],9.611744,[-3.0256252],1,36954.0,-3.0256252,"[({(31140, 1, 25999)}, 3.276004599432599, 'baseline')]",1
"(22500, 1, 15849)","[(15849, 1, 22500)]",[20947],8.751211,[-0.7683706],1,20947.0,-0.7683706,"[({(15849, 1, 22500)}, 5.152828534354646, 'baseline'), ({(15849, 1, 22500)}, 2.5711671438708463, 'baseline'), ({(15849, 1, 22500)}, 2.203887097502802, 'baseline'), ({(15849, 1, 22500)}, 1.8112698429386307, 'baseline'), ({(15849, 1, 22500)}, 1.4385758091195973, 'baseline'), ({(15849, 1, 22500)}, 1.299219190851166, 'baseline')]",1
"(21811, 0, 278)","[(21810, 4, 3388), (21810, 4, 21811), (3388, 0, 278)]",[20],7.6046906,[5.5864773],3,20.0,5.5864773,"[({(21810, 4, 21811)}, 7.867651377240566, 'baseline')]",1
"(33440, 2, 121)","[(4170, 6, 20535), (4170, 6, 33440), (20535, 2, 121)]",[2],7.4783945,[8.948602],3,2.0,8.948602,"[({(4170, 6, 33440)}, 5.400144429037235, 'baseline')]",1
"(14576, 5, 2971)","[(14576, 1, 904), (22518, 5, 2971), (904, 1, 14576), (24018, 0, 904), (22518, 0, 14576), (24018, 5, 2971)]",[2],5.459032,[3.688675],6,2.0,3.688675,"[({(14576, 1, 904), (904, 1, 14576)}, 1.0570540950390304, 'baseline'), ({(14576, 1, 904), (904, 1, 14576)}, 0.7683344349198742, 'baseline'), ({(22518, 0, 14576)}, 0.2702331950166484, 'baseline'), ({(904, 1, 14576)}, 0.22068170779807403, 'baseline'), ({(14576, 1, 904)}, 0.21687607041463866, 'baseline'), ({(904, 1, 14576)}, 0.16658024049493536, 'baseline'), ({(14576, 1, 904)}, 0.16641000961316105, 'baseline'), ({(14576, 1, 1156), (14576, 1, 904)}, 0.032357255896104206, 'baseline'), ({(1156, 1, 14576), (904, 1, 14576)}, 0.03026441760590767, 'baseline')]",1
"(12905, 1, 5832)","[(12905, 1, 12904), (12904, 1, 1757), (1757, 1, 5832), (5832, 1, 12905), (12905, 1, 28697), (28697, 1, 12905), (28697, 1, 1757), (12904, 1, 12905)]",[268],9.152345,[0.8322874],8,268.0,0.8322874,"[({(28697, 1, 12905), (5832, 1, 12905), (12904, 1, 12905), (12905, 1, 28697)}, 1.7628012503841732, 'baseline'), ({(28697, 1, 12905), (12905, 1, 28697), (5832, 1, 12905), (12905, 1, 12904)}, 1.7503081160858767, 'baseline'), ({(28697, 1, 12905), (5832, 1, 12905), (12905, 1, 28697)}, 1.4563780483036899, 'baseline'), ({(12905, 1, 28697), (5832, 1, 12905), (12904, 1, 12905), (12905, 1, 12904)}, 1.408211771378821, 'baseline'), ({(28697, 1, 12905), (5832, 1, 12905), (12904, 1, 12905), (12905, 1, 12904)}, 1.4077292121654956, 'baseline'), ({(5832, 1, 12905), (12904, 1, 12905), (12905, 1, 12904)}, 1.1364231653606909, 'baseline'), ({(12905, 1, 28697), (5832, 1, 12905), (12905, 1, 12904)}, 1.0313787976239597, 'baseline'), ({(12905, 1, 28697), (5832, 1, 12905), (12905, 1, 12904)}, 0.4720840877079006, 'baseline'), ({(28697, 1, 12905), (12905, 1, 12904), (12905, 1, 28697)}, -0.14275928289450207, 'baseline'), ({(12905, 1, 12904), (12905, 1, 28697)}, -0.16253181244903428, 'baseline')]",1
"(17819, 1, 653)","[(653, 1, 17819), (17820, 1, 17819), (17820, 0, 12901), (653, 0, 12901), (17819, 1, 17820)]",[25178],9.249761,[-2.040011],5,25178.0,-2.040011,"[({(17819, 1, 17820), (653, 1, 17819), (17820, 1, 17819)}, 5.9767710270176435, 'baseline'), ({(17819, 1, 17820), (653, 1, 17819)}, 1.1428175517757795, 'baseline'), ({(17820, 1, 17819), (653, 1, 17819)}, 1.1372290201240223, 'baseline'), ({(653, 1, 17819)}, 1.0470448060243382, 'baseline'), ({(653, 1, 17819)}, 0.911924411058881, 'baseline'), ({(17819, 1, 17820), (17820, 1, 17819)}, 0.07056621739322738, 'baseline'), ({(17819, 1, 17820)}, -0.07462592889564706, 'baseline'), ({(17820, 1, 17819)}, -0.10169311327568502, 'baseline'), ({(17819, 1, 17820)}, -0.5461415814096723, 'baseline')]",1
"(17014, 2, 3167)","[(17219, 2, 909), (17219, 2, 3167), (17014, 2, 909)]",[251],7.138199,[1.6933507],3,251.0,1.6933507,"[({(17014, 2, 909)}, 6.876429727617267, 'baseline')]",1
"(32701, 0, 522)","[(1048, 1, 1049), (32701, 1, 1049), (1049, 1, 32701), (1048, 0, 522)]",[315],6.671388,[0.8961607],4,315.0,0.8961607,"[({(32701, 1, 1049), (1049, 1, 32701)}, 4.206099247179424, 'baseline'), ({(32701, 1, 1049)}, 0.7181826091953801, 'baseline'), ({(1049, 1, 32701)}, 0.7174315906230033, 'baseline')]",1
"(3104, 1, 3103)","[(3103, 1, 3104)]",[16818],9.955729,[-1.5607501],1,16818.0,-1.5607501,"[({(3103, 1, 3104)}, 8.067532968206326, 'baseline')]",1
"(17011, 3, 17169)","[(17169, 3, 17011)]",[1612],8.8337755,[0.5688019],1,1612.0,0.5688019,"[({(17169, 3, 17011)}, 2.28702604788479, 'baseline'), ({(17169, 3, 17011)}, 2.2854892015958, 'baseline'), ({(17169, 3, 17011)}, 2.2212649524967873, 'baseline'), ({(17169, 3, 17011)}, 2.0170832645248193, 'baseline'), ({(17169, 3, 17011)}, 1.8733445080448234, 'baseline'), ({(17169, 3, 17011)}, 1.843274678060478, 'baseline'), ({(17169, 3, 17011)}, 1.8423753631873332, 'baseline')]",1
"(23647, 0, 1338)","[(14302, 0, 1338), (23647, 0, 14302)]",[229],7.0427074,[1.2399162],2,229.0,1.2399162,"[({(23647, 0, 14302)}, 8.395473880489597, 'baseline')]",1
"(4765, 1, 4764)","[(4765, 1, 29462), (21665, 1, 29462), (4764, 1, 4765), (29462, 1, 4765), (4764, 1, 21665)]",[610],9.360676,[0.8430557],5,610.0,0.8430557,"[({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.7266318147581137, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.429979935721279, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.3748937937077312, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.32370865739106, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.296191335906294, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.2326093862975136, 'baseline'), ({(4765, 1, 29462), (29462, 1, 4765), (4764, 1, 4765)}, 2.228551501659603, 'baseline'), ({(4765, 1, 29462), (4764, 1, 4765)}, 1.4128142038413296, 'baseline'), ({(4765, 1, 29462), (4764, 1, 4765)}, 1.3709011697012683, 'baseline'), ({(4765, 1, 29462), (4764, 1, 4765)}, 1.3591204304678723, 'baseline')]",1
"(8742, 1, 19068)","[(8742, 1, 1897), (5674, 1, 19068), (1897, 1, 5674), (19068, 1, 8742)]",[50],8.114485,[3.492814],4,50.0,3.492814,"[({(19068, 1, 8742)}, 1.306679785288654, 'baseline'), ({(19068, 1, 8742)}, 1.2904081935244416, 'baseline'), ({(19068, 1, 8742)}, 1.1875978074974796, 'baseline'), ({(8742, 1, 1897), (19068, 1, 8742)}, 1.1675453738529276, 'baseline'), ({(19068, 1, 8742)}, 1.159036691336243, 'baseline'), ({(19068, 1, 8742)}, 1.1563778472593063, 'baseline'), ({(19068, 1, 8742)}, 1.1464734624134982, 'baseline'), ({(19068, 1, 8742)}, 1.1334777421023068, 'baseline'), ({(8742, 1, 1897)}, -0.18594737788207424, 'baseline'), ({(8742, 1, 1897)}, -0.21638198622571014, 'baseline')]",1
"(13806, 1, 28087)","[(28087, 1, 13806)]",[23479],9.769687,[-1.4293914],1,23479.0,-1.4293914,"[({(28087, 1, 13806)}, 6.260065559268487, 'baseline'), ({(28087, 1, 13806)}, 4.412908922901865, 'baseline'), ({(28087, 1, 13806)}, 3.249389926650838, 'baseline'), ({(28087, 1, 13806)}, 2.6461559959756302, 'baseline'), ({(28087, 1, 13806)}, 2.392315994848119, 'baseline')]",1
"(3210, 5, 1819)","[(13794, 1, 3210), (553, 1, 13794), (5796, 5, 1819), (3210, 0, 14885), (5796, 0, 3210), (8242, 5, 1819), (553, 0, 1819), (14885, 5, 1819), (135, 0, 3210), (8242, 0, 3210), (135, 5, 1819), (3210, 1, 13794)]",[11],6.574163,[2.7700818],12,11.0,2.7700818,"[({(5796, 0, 3210), (8242, 0, 3210), (135, 0, 3210), (3210, 0, 14885)}, 1.2791300407099493, 'baseline'), ({(135, 0, 3210), (13794, 1, 3210), (8242, 0, 3210), (3210, 0, 14885)}, 1.222811755797619, 'baseline'), ({(135, 0, 3210), (3210, 1, 13794), (8242, 0, 3210), (3210, 0, 14885)}, 1.2206678958605786, 'baseline'), ({(5796, 0, 3210), (13794, 1, 3210), (135, 0, 3210), (3210, 0, 14885)}, 1.1960650051629182, 'baseline'), ({(5796, 0, 3210), (3210, 1, 13794), (135, 0, 3210), (3210, 0, 14885)}, 1.1934385860246424, 'baseline'), ({(135, 0, 3210), (13794, 1, 3210), (3210, 1, 13794), (3210, 0, 14885)}, 1.19084506864138, 'baseline'), ({(135, 0, 3210), (8242, 0, 3210), (3210, 0, 14885)}, 1.1186733784638605, 'baseline'), ({(135, 0, 3210), (8242, 0, 3210), (3210, 0, 14885)}, 1.1163592876443347, 'baseline'), ({(135, 0, 3210), (8242, 0, 3210), (3210, 0, 14885)}, 1.0967078741716754, 'baseline'), ({(135, 0, 3210), (3210, 0, 14885)}, 0.9090877067754906, 'baseline')]",1
"(11480, 2, 1534)","[(8721, 0, 1754), (11480, 2, 8721), (1534, 0, 1754)]",[709],5.108136,[-0.22922266],3,709.0,-0.22922266,"[({(11480, 2, 8721)}, 5.760177944211675, 'baseline')]",1
"(26647, 1, 3407)","[(12197, 1, 3407), (26647, 9, 12197), (12197, 9, 26647), (3407, 1, 26647)]",[1405],8.59272,[0.3252035],4,1405.0,0.3252035,"[({(26647, 9, 12197), (12197, 9, 26647), (3407, 1, 26647)}, 3.1174252111610437, 'baseline'), ({(26647, 9, 12197), (12197, 9, 26647), (3407, 1, 26647)}, 3.115998990875246, 'baseline'), ({(26647, 9, 12197), (3407, 1, 26647)}, 2.1450530164218886, 'baseline'), ({(12197, 9, 26647), (3407, 1, 26647)}, 2.14275704526866, 'baseline'), ({(3407, 1, 26647)}, 2.057930569076419, 'baseline'), ({(26647, 9, 12197), (3407, 1, 26647)}, 1.9861145962478655, 'baseline'), ({(12197, 9, 26647), (3407, 1, 26647)}, 1.9750333766689994, 'baseline'), ({(3407, 1, 26647)}, 1.9725204446279165, 'baseline'), ({(3407, 1, 26647)}, 1.8312359696953242, 'baseline'), ({(26647, 9, 12197), (3407, 1, 26647)}, 1.7675314752725815, 'baseline')]",1
"(12274, 1, 9268)","[(9960, 1, 469), (9268, 1, 12274), (9268, 0, 469), (12274, 0, 9960)]",[2506],10.34638,[-1.513382],4,2506.0,-1.513382,"[({(12274, 0, 9960), (9268, 1, 12274)}, 11.26221105432825, 'baseline'), ({(9268, 1, 12274)}, 2.9948713599899945, 'baseline'), ({(12274, 0, 9960)}, -0.3005246707091229, 'baseline')]",1
"(17578, 1, 8885)","[(8885, 1, 17578), (3300, 1, 17578), (26393, 1, 3300), (8885, 1, 26393), (17578, 1, 3300)]",[176],9.063567,[1.0786812],5,176.0,1.0786812,"[({(3300, 1, 17578), (8885, 1, 17578), (17578, 1, 3300)}, 4.9247984547742965, 'baseline'), ({(3300, 1, 17578), (8885, 1, 17578), (17578, 1, 3300)}, 3.581492803404015, 'baseline'), ({(3300, 1, 17578), (8885, 1, 17578), (17578, 1, 3300)}, 2.969454027066804, 'baseline'), ({(3300, 1, 17578), (8885, 1, 17578)}, 2.747566399714784, 'baseline'), ({(8885, 1, 17578)}, 2.7431375356365963, 'baseline'), ({(8885, 1, 17578), (17578, 1, 3300)}, 2.7421814769084367, 'baseline'), ({(3300, 1, 17578), (8885, 1, 17578)}, 2.643027943655908, 'baseline'), ({(8885, 1, 17578), (17578, 1, 3300)}, 2.640255135359894, 'baseline'), ({(8885, 1, 17578)}, 2.5304004224798526, 'baseline'), ({(8885, 1, 17578), (17578, 1, 3300)}, 1.8903990669657877, 'baseline')]",1
"(3152, 1, 34834)","[(34834, 1, 3152)]",[28320],9.688642,[-0.8094106],1,28320.0,-0.8094106,"[({(34834, 1, 3152)}, 2.2406159598018656, 'baseline'), ({(34834, 1, 3152)}, 2.2369033052820178, 'baseline'), ({(34834, 1, 3152)}, 2.233603591932262, 'baseline'), ({(34834, 1, 3152)}, 1.4727593127271157, 'baseline'), ({(34834, 1, 3152)}, 1.4678612412131657, 'baseline'), ({(34834, 1, 3152)}, 1.4659500778196948, 'baseline'), ({(34834, 1, 3152)}, 1.3031225799478705, 'baseline'), ({(34834, 1, 3152)}, 1.1460810253818279, 'baseline'), ({(34834, 1, 3152)}, 1.1437254497394416, 'baseline'), ({(34834, 1, 3152)}, 1.1425600597005152, 'baseline')]",1
"(36104, 0, 81)","[(3970, 0, 81), (16415, 4, 36104), (16415, 4, 3970)]",[88],7.7996135,[2.947034],3,88.0,2.947034,"[({(16415, 4, 36104)}, 8.290613955810413, 'baseline')]",1
"(25305, 0, 2099)","[(1620, 6, 25305), (1620, 4, 35819), (35819, 0, 2099)]",[221],7.398238,[1.3252711],3,221.0,1.3252711,"[({(1620, 6, 25305)}, 7.878408633620579, 'baseline')]",1
"(24512, 1, 24859)","[(24859, 1, 24512)]",[932],10.221,[0.20576978],1,932.0,0.20576978,"[({(24859, 1, 24512)}, 11.111385430382114, 'baseline'), ({(24859, 1, 24512)}, 5.277983261755385, 'baseline')]",1
"(13731, 1, 3340)","[(11130, 1, 13731), (3340, 1, 13731), (25343, 1, 3340), (13730, 1, 13694), (13694, 1, 3340), (13731, 1, 11130), (13731, 1, 13730), (25343, 1, 11130), (13730, 1, 13731)]",[114],9.419868,[1.5989233],9,114.0,1.5989233,"[({(3340, 1, 13731), (13731, 1, 11130), (13731, 1, 13730), (13730, 1, 13731)}, 1.175459917247279, 'baseline'), ({(3340, 1, 13731), (11130, 1, 13731), (13730, 1, 13731), (13731, 1, 11130)}, 1.1320477074068083, 'baseline'), ({(3340, 1, 13731), (11130, 1, 13731), (13731, 1, 13730), (13731, 1, 11130)}, 1.1206770482798964, 'baseline'), ({(3340, 1, 13731), (11130, 1, 13731), (13731, 1, 11130)}, 0.9656057858454711, 'baseline'), ({(3340, 1, 13731), (13731, 1, 11130), (13730, 1, 13731)}, 0.5261707734232374, 'baseline'), ({(3340, 1, 13731), (13731, 1, 11130), (13731, 1, 13730)}, 0.521060986406536, 'baseline'), ({(3340, 1, 13731), (13731, 1, 11130)}, 0.48509125179219775, 'baseline'), ({(3340, 1, 13731), (13731, 1, 11130), (13731, 0, 586)}, 0.32900337514906336, 'baseline'), ({(13730, 1, 13731), (11130, 1, 13731), (13731, 1, 13730), (13731, 1, 11130)}, 0.22117332690695682, 'baseline'), ({(3340, 1, 13731), (13731, 1, 11130), (13731, 0, 586), (13731, 1, 13730)}, 0.16054538935179644, 'baseline')]",1
"(21993, 1, 19504)","[(11202, 0, 21993), (19504, 0, 17245), (11202, 1, 17245), (19504, 1, 21993)]",[40649],8.579209,[-2.6603727],4,40649.0,-2.6603727,"[({(11202, 0, 21993), (19504, 1, 21993)}, 1.1761150915525693, 'baseline'), ({(11202, 0, 21993), (19504, 1, 21993)}, 1.1385317393257082, 'baseline'), ({(11202, 0, 21993), (19504, 1, 21993)}, 1.1378450937801872, 'baseline'), ({(19504, 1, 21993)}, 0.7220373608198155, 'baseline'), ({(11202, 0, 21993)}, 0.01338104433659458, 'baseline')]",1
"(14202, 1, 14201)","[(14202, 0, 31982), (14201, 1, 31982), (14201, 1, 14202)]",[19148],10.240109,[-4.408759],3,19148.0,-4.408759,"[({(14202, 0, 31982), (14201, 1, 14202)}, 11.215954638835232, 'baseline'), ({(14201, 1, 14202)}, 4.436533838854867, 'baseline'), ({(14202, 0, 31982)}, -0.6663808376867043, 'baseline')]",1
