new_rank,#facts,new_scores,original_score,new_ranks,original_rank,prediction,facts,new_score
16255.0,4,"[1.1335499038978014e-05, 0.00024165383365470916]",0.9318868517875671,"[31089, 1421]",1,"(23468, 1, 1116)","[([(1116, 1, 23468), (9661, 1, 23468), (23468, 1, 9661)], 0.8275247688514623, 'kelpie'), ([(1116, 1, 23468), (23468, 1, 9661)], 0.7598528726358121, 'kelpie'), ([(1116, 1, 23468), (23468, 1, 16843), (23468, 1, 9661)], 0.5241420697255684, 'kelpie'), ([(1116, 1, 23468)], 0.39970002, 'xrule')]",0.0001264946663468436
28039.5,5,"[2.5202360120601952e-05, 1.026889822242083e-05]",0.8030797243118286,"[22498, 33581]",1,"(1419, 1, 22014)","[([(22014, 1, 1419), (1419, 1, 19671), (19671, 1, 1419)], 0.8499506592853081, 'kelpie'), ([(22014, 1, 1419), (1419, 1, 19671), (19671, 1, 1419), (1419, 1, 1418)], 0.8385891196668167, 'kelpie'), ([(22014, 1, 1419), (1419, 1, 19671), (1418, 1, 1419)], 0.7298803189213426, 'kelpie'), ([(22014, 1, 1419)], 0.64959997, 'xrule'), ([(13051, 1, 22014), (22014, 1, 13051), (19671, 1, 13051), (13051, 1, 19671), (1419, 1, 19671), (19671, 1, 1419)], 0.03759998, 'xrule')]",1.773562917151139e-05
381.0,6,"[0.0007479673950001597, 0.00010033737635239959]",0.9153757691383362,"[23, 739]",1,"(16918, 1, 2507)","[([(2507, 1, 16918), (16476, 1, 16918), (16918, 1, 6789), (16918, 1, 16476)], 0.910315264454406, 'kelpie'), ([(2507, 1, 16918), (6789, 1, 16918), (16918, 1, 6789), (16918, 1, 16476)], 0.8761153106693073, 'kelpie'), ([(2507, 1, 16918), (16476, 1, 16918), (16918, 1, 16476), (16918, 1, 20126)], 0.8375614759543812, 'kelpie'), ([(2507, 1, 16918)], 0.8302, 'xrule'), ([(16918, 1, 20126), (2507, 5, 6166), (20126, 5, 6166)], 0.70350003, 'xrule'), ([(16918, 1, 16919), (16919, 5, 6166), (16919, 1, 16918), (2507, 5, 6166)], 0.4975, 'xrule')]",0.00042415238567627966
20647.0,4,"[4.092032668268075e-06, 1.3077540643280372e-05]",0.8214631676673889,"[33983, 7311]",1,"(12356, 1, 20726)","[([(20726, 1, 12356), (12356, 0, 323), (12356, 1, 12355), (12355, 1, 12356)], 0.9086143863019002, 'kelpie'), ([(20726, 1, 12356), (12356, 1, 12355), (12355, 1, 12356), (12356, 3, 13416)], 0.9053586017167825, 'kelpie'), ([(20726, 1, 12356), (12356, 1, 12355), (12355, 1, 12356)], 0.8695691112460386, 'kelpie'), ([(20726, 1, 12356)], 0.8545, 'xrule')]",8.584786655774224e-06
8741.5,5,"[1.1142840776301455e-05, 1.2015581887681037e-05]",0.8690681457519531,"[8329, 9154]",1,"(31721, 1, 24228)","[([(24228, 1, 31721), (34783, 0, 31721)], 0.862727153564322, 'kelpie'), ([(24228, 1, 31721), (31721, 1, 7056)], 0.7022560094327596, 'kelpie'), ([(24228, 1, 31721)], 0.6764, 'xrule'), ([(31721, 1, 7056), (34783, 0, 31721)], -0.08959217832422788, 'kelpie'), ([(7056, 1, 31721), (24228, 0, 7056), (31721, 1, 7056)], -0.3229, 'xrule')]",1.1579211331991246e-05
31528.5,6,"[2.336896841370617e-06, 7.145668405428296e-06]",0.9877474308013916,"[38363, 24694]",1,"(7982, 1, 20572)","[([(20572, 1, 7982), (14618, 3, 7982), (7982, 3, 14618)], 0.9865751175653031, 'kelpie'), ([(20572, 1, 7982)], 0.9855, 'xrule'), ([(20572, 1, 7982), (7982, 3, 7983), (14618, 3, 7982)], 0.978532185864425, 'kelpie'), ([(20572, 1, 7982), (7982, 3, 14618)], 0.8392221806119212, 'kelpie'), ([(7982, 3, 14618), (20572, 1, 7983), (7983, 1, 20572), (7983, 3, 14618), (14618, 3, 7982), (14618, 3, 7983)], 0.034200013, 'xrule'), ([(7983, 1, 20572), (20572, 1, 7983), (7982, 3, 7983)], 0.018700004, 'xrule')]",4.7412826233994565e-06
8226.0,4,"[4.606299989973195e-05, 0.00021139498858246952]",0.9519976377487183,"[14946, 1506]",1,"(20097, 1, 39891)","[([(39891, 1, 20097), (20097, 1, 22506), (22506, 1, 20097), (20097, 1, 14699)], 0.7969897260133563, 'kelpie'), ([(39891, 1, 20097)], 0.7571, 'xrule'), ([(39891, 1, 20097), (20097, 1, 22506), (14699, 1, 20097), (20097, 1, 14699)], 0.7050040816118994, 'kelpie'), ([(39891, 1, 20097), (20097, 1, 22506), (20097, 1, 11870), (14699, 1, 20097)], 0.7039341186020318, 'kelpie')]",0.00012872899424110074
9444.0,4,"[1.6854335626703687e-05, 3.488811125862412e-05]",0.5863993167877197,"[16662, 2226]",1,"(27089, 0, 25460)","[([(21273, 4, 27089)], 0.32992209139831147, 'kelpie'), ([(33277, 0, 25460), (21273, 4, 27089), (21273, 4, 33277)], 0.0061, 'xrule'), ([(21273, 4, 32246), (21273, 4, 27089), (32246, 0, 25460)], 0.006, 'xrule'), ([(21273, 4, 27089), (21273, 4, 21274), (21274, 0, 25460)], 0.006, 'xrule')]",2.5871223442663904e-05
9950.5,6,"[4.685059320763685e-05, 5.716234591091052e-05]",0.9422932267189026,"[10851, 9050]",1,"(522, 1, 21041)","[([(21041, 1, 522), (522, 1, 4393), (522, 1, 6484)], 0.6845484228386726, 'kelpie'), ([(21041, 1, 522), (522, 1, 4393)], 0.654845401371145, 'kelpie'), ([(522, 1, 4393), (522, 1, 6484)], 0.03888354726279147, 'kelpie'), ([(21041, 1, 522)], 0.035299998, 'xrule'), ([(17635, 1, 21041), (21041, 1, 17635), (17635, 0, 522)], -0.0191, 'xrule'), ([(21899, 0, 522), (21899, 1, 21041), (21041, 1, 21899)], -0.5809, 'xrule')]",5.200646955927368e-05
5860.5,4,"[1.0675343219190836e-05, 2.0166738977422938e-05]",0.9746934175491333,"[9568, 2153]",1,"(26856, 1, 26855)","[([(26855, 1, 26856)], 0.9669085646325088, 'kelpie'), ([(26855, 1, 26856)], 0.8927, 'xrule'), ([(26856, 0, 4469)], -0.0008579092513085005, 'kelpie'), ([(9579, 0, 26856)], -0.00410075954458805, 'kelpie')]",1.5421041098306887e-05
23692.0,4,"[7.214965535240481e-06, 6.72468013362959e-06]",0.9498961567878723,"[21103, 26281]",1,"(29520, 1, 38175)","[([(38175, 1, 29520)], 0.997, 'xrule'), ([(38175, 1, 29520), (29520, 0, 29521)], 0.9867889790622505, 'kelpie'), ([(38175, 1, 29520)], 0.7586768133698146, 'kelpie'), ([(29520, 0, 29521)], 0.0004688305397460739, 'kelpie')]",6.9698228344350355e-06
32915.0,4,"[1.7112419300246984e-05, 8.994339623313863e-06]",0.9860931038856506,"[29224, 36606]",1,"(11856, 1, 2643)","[([(2643, 1, 11856), (11856, 0, 15035)], 0.9741773511709497, 'kelpie'), ([(2643, 1, 11856)], 0.9026, 'xrule'), ([(2643, 1, 11856)], 0.5049376317709482, 'kelpie'), ([(11856, 0, 15035)], -0.007289846452187002, 'kelpie')]",1.3053379461780423e-05
5069.5,4,"[9.460576984565705e-05, 0.0007747019990347326]",0.867676854133606,"[9682, 457]",1,"(6787, 1, 26217)","[([(26217, 1, 6787), (6787, 1, 11298), (6787, 1, 6855), (3635, 3, 6787)], 0.8946753034094346, 'kelpie'), ([(26217, 1, 6787), (6787, 1, 11298), (6787, 1, 6855), (6855, 1, 6787)], 0.8520482659849047, 'kelpie'), ([(26217, 1, 6787), (6787, 1, 11298), (6787, 1, 6786), (6787, 1, 6855)], 0.720418200584485, 'kelpie'), ([(26217, 1, 6787)], 0.5224, 'xrule')]",0.0004346538844401948
8003.5,5,"[7.352876855293289e-05, 9.039366705110297e-05]",0.92377108335495,"[7424, 8583]",1,"(3136, 1, 16161)","[([(16161, 1, 3136), (3137, 1, 3136), (3136, 1, 3137), (39882, 0, 3136)], 0.9049340378458276, 'kelpie'), ([(16161, 1, 3136), (3136, 1, 3137), (3136, 0, 31424), (39882, 0, 3136)], 0.8330768820006557, 'kelpie'), ([(16161, 1, 3136), (3137, 1, 3136), (3136, 1, 3137)], 0.730723665035948, 'kelpie'), ([(16161, 1, 3136)], 0.0538, 'xrule'), ([(16161, 0, 3005), (3137, 1, 3136), (3137, 0, 3005), (3136, 1, 3137)], -0.42839998, 'xrule')]",8.196121780201793e-05
20150.5,6,"[1.7851827578851953e-05, 4.329801595304161e-05]",0.9543496966362,"[27079, 13222]",1,"(22752, 1, 11603)","[([(11603, 1, 22752)], 0.8962, 'xrule'), ([(11603, 1, 22752), (22752, 1, 2392), (2392, 1, 22752), (25306, 1, 22752)], 0.8275384183234907, 'kelpie'), ([(11603, 1, 22752), (22752, 1, 2392), (2392, 1, 22752), (22752, 1, 25306)], 0.8023595085500249, 'kelpie'), ([(22752, 1, 2392), (2392, 1, 22752), (2392, 1, 28597), (28597, 1, 2392), (28597, 1, 11603), (11603, 1, 28597)], 0.6516, 'xrule'), ([(22752, 1, 2392), (11603, 1, 7967), (7967, 1, 2392), (2392, 1, 22752), (2392, 1, 7967), (7967, 1, 11603)], 0.5719, 'xrule'), ([(11603, 1, 22752), (22752, 1, 2392), (25306, 1, 22752), (22752, 1, 25306)], 0.5039746591243415, 'kelpie')]",3.057492176594678e-05
33907.5,5,"[7.912733053672127e-06, 8.12133112049196e-06]",0.8592720627784729,"[35918, 31897]",1,"(20944, 1, 2415)","[([(2415, 1, 20944), (20944, 1, 2994), (2994, 1, 20944), (20944, 1, 24134)], 0.7333912113696976, 'kelpie'), ([(2415, 1, 20944), (2994, 1, 20944), (20944, 1, 24134)], 0.6662757246808855, 'kelpie'), ([(2415, 1, 20944)], 0.6179, 'xrule'), ([(2415, 1, 20944), (40370, 0, 20944), (20944, 1, 24134)], 0.6172864876405173, 'kelpie'), ([(2993, 1, 2994), (2994, 1, 2993), (20944, 1, 2994), (2993, 1, 2415), (2994, 1, 20944), (2415, 1, 2993)], -0.019800007, 'xrule')]",8.017032087082043e-06
6012.5,5,"[6.747625593561679e-05, 0.0010843059280887246]",0.9776057600975037,"[11747, 278]",1,"(8742, 1, 19068)","[([(19068, 1, 8742), (8742, 1, 1897), (8741, 0, 8742)], 0.6711247414154159, 'kelpie'), ([(19068, 1, 8742), (8742, 1, 1897)], 0.60231141648382, 'kelpie'), ([(19068, 1, 8742)], 0.5146, 'xrule'), ([(5674, 1, 1897), (8742, 1, 1897), (1897, 1, 5674), (1897, 1, 8742), (19068, 1, 5674), (5674, 1, 19068)], 0.14429998, 'xrule'), ([(8742, 1, 1897), (8742, 1, 9355), (8742, 1, 15133)], 0.0459794802604142, 'kelpie')]",0.0005758910920121707
9404.5,5,"[9.495147423876915e-06, 8.326545867021196e-06]",0.9656851887702942,"[9913, 8896]",1,"(16624, 9, 15794)","[([(15794, 9, 16624)], 0.9487658639779512, 'kelpie'), ([(15794, 9, 16624)], 0.9081, 'xrule'), ([(15793, 1, 16624)], -0.004976113397231917, 'kelpie'), ([(16624, 1, 15793)], -0.01336952025327222, 'kelpie'), ([(15793, 1, 16624), (16624, 1, 15793), (15793, 1, 15794), (15794, 1, 15793)], -0.09140003, 'xrule')]",8.910846645449055e-06
18109.5,6,"[1.8122524124919437e-05, 0.00010586759890429676]",0.9287481307983398,"[28955, 7264]",1,"(15588, 1, 15587)","[([(15587, 1, 15588)], 0.7572, 'xrule'), ([(15587, 1, 15588), (15588, 1, 31654), (15588, 1, 27163), (15588, 1, 14064)], 0.7114217137991015, 'kelpie'), ([(15587, 1, 2739), (31654, 1, 15588), (2739, 1, 31654), (15588, 1, 31654), (2739, 1, 15587), (31654, 1, 2739)], 0.47419998, 'xrule'), ([(15587, 1, 2739), (2739, 1, 14064), (14064, 1, 2739), (15588, 1, 14064), (14064, 1, 15588), (2739, 1, 15587)], 0.4227, 'xrule'), ([(15587, 1, 15588), (15588, 1, 31654), (15588, 1, 14064), (15588, 1, 25865)], 0.28865901739964916, 'kelpie'), ([(15588, 1, 31654), (15588, 1, 27163), (15588, 1, 14064), (15588, 1, 25865)], -0.03013946584902612, 'kelpie')]",6.19950615146081e-05
29773.0,6,"[6.824183856224408e-06, 3.4841311844502343e-06]",0.957123875617981,"[22793, 36753]",1,"(8754, 1, 4244)","[([(4244, 1, 8754), (8754, 1, 7921), (6098, 1, 8754), (8754, 1, 11316)], 0.4898194201342185, 'kelpie'), ([(4244, 1, 8754), (8754, 1, 7921), (8754, 1, 11316), (11316, 1, 8754)], 0.486052674768085, 'kelpie'), ([(4244, 1, 8754)], 0.3762, 'xrule'), ([(4244, 1, 8754), (8754, 1, 7921), (7921, 1, 8754), (8754, 1, 11316)], 0.2951168230670224, 'kelpie'), ([(8754, 0, 1668), (4244, 0, 5746), (1668, 1, 5746)], 0.034399986, 'xrule'), ([(8754, 0, 1668), (4243, 0, 1668), (4243, 1, 4244), (4244, 1, 4243)], -0.3089, 'xrule')]",5.154157520337321e-06
15447.5,5,"[8.927529961511027e-06, 9.376296475238632e-06]",0.8962762355804443,"[14338, 16557]",1,"(17578, 1, 8885)","[([(8885, 1, 17578), (3300, 1, 17578), (17578, 1, 3300), (31094, 0, 17578)], 0.9092985880460193, 'kelpie'), ([(8885, 1, 17578), (17578, 1, 3300), (17578, 0, 17555)], 0.6878228636794699, 'kelpie'), ([(8885, 1, 17578), (3300, 1, 17578), (17578, 1, 3300)], 0.6511794772823245, 'kelpie'), ([(8885, 1, 17578)], 0.1314, 'xrule'), ([(3300, 1, 17578), (17578, 1, 3300), (3300, 1, 26393), (8885, 1, 26393), (26393, 1, 8885), (26393, 1, 3300)], -0.839, 'xrule')]",9.15191321837483e-06
1.0,6,"[0.04681001231074333, 0.11270139366388321]",0.23917707800865173,"[1, 1]",1,"(30007, 2, 121)","[([(20016, 4, 30007), (13030, 6, 30007), (30007, 2, 916)], 0.2732942213741177, 'kelpie'), ([(20016, 4, 30007), (30007, 2, 916)], 0.1647640571429834, 'kelpie'), ([(13030, 6, 30007), (30007, 2, 916)], 0.023233990140873958, 'kelpie'), ([(20016, 4, 14054), (20016, 4, 30007), (14054, 2, 121)], 0.0, 'xrule'), ([(26608, 2, 121), (26608, 2, 916), (30007, 2, 916)], -9.999995e-05, 'xrule'), ([(20016, 4, 28966), (20016, 4, 30007), (28966, 2, 121)], -0.00019999995, 'xrule')]",0.07975570298731327
7579.5,6,"[5.9387173678260297e-05, 4.824859934160486e-05]",0.970401406288147,"[6980, 8179]",1,"(24115, 1, 18755)","[([(18755, 1, 24115), (24115, 1, 2300), (2300, 1, 24115)], 0.9535825750225595, 'kelpie'), ([(18755, 1, 24115)], 0.8311, 'xrule'), ([(18755, 1, 24115), (24115, 1, 2300)], 0.6489099708065929, 'kelpie'), ([(24115, 1, 2300)], -0.030959864190406194, 'kelpie'), ([(24115, 1, 2300), (2300, 1, 24115), (18755, 1, 9577), (2300, 1, 9577)], -0.1588, 'xrule'), ([(2300, 1, 18754), (18754, 1, 2300), (18755, 1, 18754), (24115, 1, 2300), (2300, 1, 24115), (18754, 1, 18755)], -0.16039997, 'xrule')]",5.381788650993258e-05
801.0,6,"[0.00021562969777733088, 0.0003874246322084218]",0.8929891586303711,"[1370, 232]",1,"(8574, 1, 8573)","[([(8573, 1, 8574), (814, 1, 8574), (8574, 1, 814), (8574, 1, 12655)], 0.7841381895654883, 'kelpie'), ([(8573, 1, 8574)], 0.7694, 'xrule'), ([(8573, 1, 8574), (8574, 1, 814), (8574, 1, 29585)], 0.7484149199202029, 'kelpie'), ([(8573, 1, 8574), (814, 1, 8574), (8574, 1, 814)], 0.7437792282272787, 'kelpie'), ([(12655, 1, 8574), (8573, 1, 815), (8574, 1, 12655), (815, 1, 12655), (815, 1, 8573)], 0.45539996, 'xrule'), ([(8574, 1, 814), (814, 1, 815), (8573, 1, 815), (814, 1, 8574), (815, 1, 814), (815, 1, 8573)], 0.35579997, 'xrule')]",0.00030152716499287635
11444.5,4,"[4.516882108873688e-05, 4.70851082354784e-05]",0.8879063725471497,"[10651, 12238]",1,"(11590, 1, 29649)","[([(29649, 1, 11590), (11590, 1, 11589), (11590, 1, 24520), (11589, 1, 11590)], 0.8727078322713437, 'kelpie'), ([(29649, 1, 11590), (11590, 1, 11589), (11590, 1, 24520)], 0.7132839417292659, 'kelpie'), ([(29649, 1, 11590), (11590, 1, 11589), (11589, 1, 11590)], 0.5689852074908125, 'kelpie'), ([(29649, 1, 11590)], 0.4994, 'xrule')]",4.612696466210764e-05
23636.5,6,"[5.648907972499728e-06, 8.57293252920499e-06]",0.9558466672897339,"[27999, 19274]",1,"(15028, 1, 16314)","[([(16314, 1, 15028)], 0.46019998, 'xrule'), ([(16314, 1, 15028), (15028, 1, 21701), (15028, 1, 6422), (5116, 1, 15028)], 0.3056937865445801, 'kelpie'), ([(15028, 1, 21701), (21701, 1, 3999), (16314, 1, 3999), (21701, 1, 15028), (3999, 1, 16314), (3999, 1, 21701)], 0.2094, 'xrule'), ([(16314, 1, 3999), (6422, 1, 15028), (6422, 1, 3999), (3999, 1, 16314), (3999, 1, 6422), (15028, 1, 6422)], 0.14789999, 'xrule'), ([(16314, 1, 15028), (15028, 1, 21701), (15028, 1, 6422)], 0.04255340527739845, 'kelpie'), ([(16314, 1, 15028), (15028, 1, 21701), (15028, 1, 6422), (15028, 0, 6408)], 0.03723559806351931, 'kelpie')]",7.1109202508523595e-06
10901.0,6,"[7.353907858487219e-05, 4.953578900313005e-05]",0.8736011981964111,"[7773, 14029]",1,"(6572, 1, 6944)","[([(6944, 1, 6572), (3377, 1, 6572), (6572, 1, 3377), (6572, 1, 11955)], 0.7971071471936954, 'kelpie'), ([(6944, 1, 6572), (3377, 1, 6572), (6572, 1, 3377), (6572, 1, 15712)], 0.7950193156238553, 'kelpie'), ([(6944, 1, 6572), (11955, 1, 6572), (6572, 1, 3377), (6572, 1, 11955)], 0.6673305480954771, 'kelpie'), ([(6944, 1, 6572)], 0.097, 'xrule'), ([(2449, 1, 11955), (2449, 1, 6944), (11955, 1, 2449), (11955, 1, 6572), (6944, 1, 2449), (6572, 1, 11955)], 0.0653, 'xrule'), ([(2449, 1, 6944), (3377, 1, 2449), (6572, 1, 3377), (6944, 1, 2449), (2449, 1, 3377), (3377, 1, 6572)], 0.0496, 'xrule')]",6.153743379400112e-05
