facts,exp,new_ranks,original_rank,prediction,new_score,new_rank,original_score,exp_length,new_scores
"[({(9377, 38, 5818)}, 3.726808878315869, 'baseline'), ({(1062, 7, 5818)}, 3.3669195782886048, 'baseline'), ({(9173, 6, 5818)}, 1.147400365136243, 'baseline'), ({(4082, 6, 5818)}, 1.0884883745017846, 'baseline'), ({(8120, 173, 5818)}, 0.7499452342330458, 'baseline'), ({(2477, 173, 5818)}, -0.18134424042341357, 'baseline'), ({(6631, 38, 5818)}, -0.630101197683834, 'baseline'), ({(2477, 38, 5818)}, -5.095384962140137, 'baseline')]","[(32, 206, 90), (9377, 38, 5818), (9377, 48, 32)]",[1],1,"(5818, 34, 90)",0.9940932393074036,1.0,0.9906631708145142,3,[0.9940932393074036]
[],[],[1],1,"(7681, 48, 32)",0.8627499938011169,1.0,0.9179816246032715,0,[0.8627499938011169]
"[({(8357, 123, 9201)}, -2.0030745525696445, 'baseline')]","[(8357, 48, 32), (8357, 123, 9201)]",[1],1,"(9201, 48, 32)",0.641750156879425,1.0,0.6412914395332336,2,[0.641750156879425]
"[({(5469, 8, 2062)}, 0.6834234303719384, 'baseline'), ({(8452, 1, 2062)}, 0.47548113642631623, 'baseline'), ({(1434, 8, 2062)}, 0.3357507637604097, 'baseline'), ({(5181, 8, 2062)}, 0.17089445144713133, 'baseline'), ({(266, 8, 2062)}, 0.12835043299187066, 'baseline'), ({(360, 8, 2062)}, -0.2832410823664909, 'baseline'), ({(1353, 8, 2062)}, -1.1238961265651226, 'baseline'), ({(8955, 8, 2062)}, -1.6503394438239778, 'baseline'), ({(6906, 8, 2062)}, -2.18198806804003, 'baseline')]","[(5469, 43, 384), (5469, 8, 2062)]",[2],1,"(2062, 43, 384)",0.7306392192840576,2.0,0.8457817435264587,2,[0.7306392192840576]
"[({(8871, 8, 409)}, 1.4773538207364039, 'baseline'), ({(3968, 8, 409)}, 0.3949904621255511, 'baseline'), ({(2381, 8, 409)}, -0.1548549096203336, 'baseline'), ({(4171, 77, 409)}, -0.45799393104003244, 'baseline'), ({(408, 8, 409)}, -1.215695731645132, 'baseline'), ({(5653, 153, 409)}, -1.784121629823762, 'baseline'), ({(2380, 8, 409)}, -1.844313388718373, 'baseline'), ({(1893, 123, 409)}, -2.3598949650078245, 'baseline'), ({(3607, 8, 409)}, -2.884459209226392, 'baseline'), ({(1027, 192, 409)}, -2.9730306522745145, 'baseline')]","[(5834, 14, 160), (8871, 6, 5834), (8871, 8, 409)]",[1],1,"(409, 100, 160)",0.9575251936912537,1.0,0.9844846725463867,3,[0.9575251936912537]
"[({(6537, 45, 7739)}, 4.510574889043799, 'baseline'), ({(5113, 1, 7739)}, 2.2299118168940133, 'baseline'), ({(8512, 45, 7739)}, 2.092655910329967, 'baseline'), ({(9354, 1, 7739)}, 1.5614586829272858, 'baseline'), ({(3142, 45, 7739)}, 0.4123522931989521, 'baseline'), ({(8084, 123, 7739)}, -0.2350296202745833, 'baseline'), ({(9821, 45, 7739)}, -3.334687583070829, 'baseline')]","[(6537, 48, 32), (6537, 45, 7739)]",[1],1,"(7739, 48, 32)",0.6966248154640198,1.0,0.8271660208702087,2,[0.6966248154640198]
[],[],[1],1,"(8557, 25, 62)",0.9930130839347839,1.0,0.9874509572982788,0,[0.9930130839347839]
"[({(3637, 47, 6678)}, 0.9626924937943575, 'baseline'), ({(13513, 71, 6678)}, 0.6072984030215814, 'baseline'), ({(6912, 47, 6678)}, -0.2488062062385193, 'baseline')]","[(3637, 47, 6678), (3637, 47, 13024), (13024, 43, 384)]",[1],1,"(6678, 43, 384)",0.9558858871459961,1.0,0.9217239618301392,3,[0.9558858871459961]
"[({(1374, 20, 5361)}, 1.845748441103341, 'baseline'), ({(2750, 20, 5361)}, 1.7822754997503685, 'baseline'), ({(8105, 20, 5361)}, -1.0920876642515303, 'baseline'), ({(1834, 42, 5361)}, -1.140487381680402, 'baseline'), ({(138, 42, 5361)}, -2.71426573529516, 'baseline')]","[(1374, 20, 5361), (1374, 20, 7884), (1271, 92, 7884)]",[1],1,"(5361, 177, 1271)",0.9203307628631592,1.0,0.6285704970359802,3,[0.9203307628631592]
"[({(1184, 47, 9774)}, 0.9643408165771994, 'baseline'), ({(3086, 47, 9774)}, -2.332691135106498, 'baseline')]","[(1184, 47, 9774), (10979, 25, 62), (10979, 19, 1184)]",[1],1,"(9774, 25, 62)",0.992833137512207,1.0,0.9894706010818481,3,[0.992833137512207]
"[({(3183, 22, 3039)}, 0.612075362219705, 'baseline'), ({(2381, 8, 3039)}, 0.5126236788028209, 'baseline'), ({(6036, 8, 3039)}, 0.31366272640642323, 'baseline'), ({(6428, 8, 3039)}, 0.12093282072297208, 'baseline'), ({(8871, 8, 3039)}, 0.07442739721822027, 'baseline'), ({(3607, 8, 3039)}, -0.09434592871971849, 'baseline'), ({(2380, 8, 3039)}, -1.510506826317609, 'baseline'), ({(408, 8, 3039)}, -1.7214924481117841, 'baseline')]","[(3183, 22, 3039), (6873, 85, 434), (3183, 22, 6873)]",[1],1,"(3039, 85, 434)",0.9938475489616394,1.0,0.988152801990509,3,[0.9938475489616394]
"[({(9917, 50, 4878)}, 1.8477993585340111, 'baseline'), ({(2099, 47, 4878)}, 0.9342041790224741, 'baseline'), ({(879, 71, 4878)}, -0.012734193825612965, 'baseline'), ({(1207, 8, 4878)}, -1.1567772679170183, 'baseline'), ({(4853, 8, 4878)}, -2.3043508196650255, 'baseline')]","[(4539, 39, 592), (9917, 50, 4539), (9917, 50, 4878)]",[1],1,"(4878, 39, 592)",0.2786107361316681,1.0,0.1647690385580063,3,[0.2786107361316681]
"[({(3458, 7, 7614)}, 3.153031928260113, 'baseline'), ({(1974, 7, 7614)}, 1.1176347995695983, 'baseline'), ({(7570, 7, 7614)}, -0.2941561104708187, 'baseline'), ({(8550, 38, 7614)}, -1.1070990627969066, 'baseline')]","[(5055, 91, 494), (3458, 7, 7614), (5055, 30, 3458)]",[1],1,"(7614, 91, 494)",0.9968756437301636,1.0,0.9964919686317444,3,[0.9968756437301636]
"[({(3387, 215, 13452)}, -2.611639758480286, 'baseline')]","[(5969, 212, 4563), (3387, 215, 5969), (3387, 215, 13452)]",[1],1,"(13452, 212, 4563)",0.982079267501831,1.0,0.9722623825073242,3,[0.982079267501831]
"[({(961, 15, 7417)}, -3.1487582066403417, 'baseline')]","[(961, 15, 7417), (9985, 33, 90), (961, 15, 9985)]",[1],1,"(7417, 33, 90)",0.9902026653289795,1.0,0.9863195419311523,3,[0.9902026653289795]
[],[],[1],1,"(5912, 100, 1672)",0.6652960181236267,1.0,0.902134120464325,0,[0.6652960181236267]
"[({(10544, 1, 4550)}, 1.4740224385398266, 'baseline'), ({(2855, 77, 4550)}, 1.3528047775692997, 'baseline'), ({(1266, 8, 4550)}, 0.8708854416110479, 'baseline'), ({(3289, 192, 4550)}, 0.6441416012214937, 'baseline'), ({(2077, 76, 4550)}, 0.22981896131116883, 'baseline'), ({(3016, 76, 4550)}, 0.045171275980789606, 'baseline'), ({(4472, 164, 4550)}, -0.5360629512509371, 'baseline'), ({(3289, 8, 4550)}, -0.9677597818572887, 'baseline'), ({(6860, 45, 4550)}, -2.5863935306345662, 'baseline'), ({(8328, 8, 4550)}, -3.3599987338161044, 'baseline')]","[(1557, 129, 90), (1557, 158, 10544), (10544, 1, 4550)]",[1],1,"(4550, 60, 90)",0.9981426000595093,1.0,0.9950908422470093,3,[0.9981426000595093]
"[({(3624, 7, 1504)}, 1.878833446354569, 'baseline'), ({(3301, 38, 1504)}, 1.665004692720956, 'baseline'), ({(2001, 103, 1504)}, 1.2117879110339422, 'baseline'), ({(2823, 38, 1504)}, -0.5550156157582609, 'baseline'), ({(4019, 38, 1504)}, -0.5778697223012119, 'baseline'), ({(11737, 6, 1504)}, -0.6952999187394521, 'baseline'), ({(84, 2, 1504)}, -0.7820724387851617, 'baseline'), ({(8300, 2, 1504)}, -1.9407532758702812, 'baseline')]","[(3624, 7, 6891), (3624, 7, 1504), (6891, 14, 5334)]",[2],1,"(1504, 14, 5334)",0.25534775853157043,2.0,0.5538073182106018,3,[0.25534775853157043]
"[({(403, 30, 7494)}, 1.8783130571099242, 'baseline'), ({(8215, 30, 7494)}, 1.3766329923783107, 'baseline')]","[(403, 30, 12403), (403, 30, 7494), (12403, 67, 259)]",[1],1,"(7494, 67, 259)",0.8631935119628906,1.0,0.8372358083724976,3,[0.8631935119628906]
"[({(491, 38, 805)}, 2.5456496827119164, 'baseline'), ({(492, 38, 805)}, 0.6909790098702274, 'baseline'), ({(2782, 6, 805)}, -0.05997432731238215, 'baseline'), ({(559, 7, 805)}, -2.215819187275812, 'baseline')]","[(491, 38, 805), (491, 38, 1201), (1201, 115, 747)]",[1],1,"(805, 115, 747)",0.774784505367279,1.0,0.9535616040229797,3,[0.774784505367279]
"[({(6801, 28, 2600)}, 1.7132817976919412, 'baseline'), ({(2440, 13, 2600)}, 0.6083432769143882, 'baseline'), ({(2968, 13, 2600)}, -0.018810085758428678, 'baseline'), ({(1036, 13, 2600)}, -0.7988317497409073, 'baseline'), ({(449, 58, 2600)}, -1.5287076925069862, 'baseline')]","[(6801, 28, 2600), (1705, 23, 57), (6801, 28, 1705)]",[1],1,"(2600, 23, 57)",0.9257714748382568,1.0,0.9564436674118042,3,[0.9257714748382568]
"[({(892, 7, 5400)}, 2.807505067685596, 'baseline'), ({(5010, 6, 5400)}, 1.3810118280932169, 'baseline'), ({(3352, 2, 5400)}, 0.8180034069886165, 'baseline'), ({(5622, 38, 5400)}, 0.7386307498067781, 'baseline'), ({(394, 6, 5400)}, 0.4640955364843432, 'baseline'), ({(694, 38, 5400)}, -0.899674942596963, 'baseline'), ({(394, 38, 5400)}, -0.9927401140068263, 'baseline'), ({(2317, 32, 5400)}, -4.44927003588198, 'baseline')]","[(892, 7, 5478), (892, 7, 5400), (5478, 31, 4)]",[1],1,"(5400, 31, 4)",0.8475934863090515,1.0,0.9161665439605713,3,[0.8475934863090515]
"[({(1031, 75, 1454)}, 5.285248337669953, 'baseline'), ({(2556, 75, 1454)}, 2.1285981523319206, 'baseline'), ({(2230, 75, 1454)}, 1.438478877609681, 'baseline'), ({(2544, 75, 1454)}, 0.9159192793908677, 'baseline'), ({(1031, 9, 1454)}, 0.5579315818668076, 'baseline'), ({(6171, 75, 1454)}, 0.47053763875518745, 'baseline'), ({(11226, 41, 1454)}, -0.7454349981039636, 'baseline'), ({(7706, 41, 1454)}, -1.745679059261445, 'baseline')]","[(4162, 75, 1031), (1031, 75, 1454), (4162, 92, 5562)]",[2],1,"(1454, 92, 5562)",0.7179736495018005,2.0,0.5090774893760681,3,[0.7179736495018005]
"[({(5775, 190, 1429)}, 2.42064009411733, 'baseline'), ({(95, 15, 1429)}, 0.13837740240676596, 'baseline'), ({(3494, 24, 1429)}, -0.13335220948156917, 'baseline'), ({(5775, 15, 1429)}, -1.4461233486207585, 'baseline')]","[(5775, 58, 8820), (8820, 120, 791), (5775, 190, 1429)]",[1],1,"(1429, 120, 791)",0.9920505881309509,1.0,0.9932956099510193,3,[0.9920505881309509]
"[({(604, 32, 6848)}, 3.5103737809319635, 'baseline'), ({(4, 2, 6848)}, 1.4235764814531444, 'baseline'), ({(5296, 6, 6848)}, 1.131961968158508, 'baseline'), ({(6083, 6, 6848)}, -0.012816935317149211, 'baseline'), ({(2961, 6, 6848)}, -0.02451334195570975, 'baseline'), ({(10950, 6, 6848)}, -0.2944229098006388, 'baseline'), ({(1352, 6, 6848)}, -0.34040726378247405, 'baseline'), ({(5137, 6, 6848)}, -0.40480008456652855, 'baseline'), ({(2422, 6, 6848)}, -0.7579144379352034, 'baseline'), ({(7785, 6, 6848)}, -3.103416975012622, 'baseline')]","[(6584, 86, 604), (604, 32, 6848), (6584, 28, 32)]",[1],1,"(6848, 28, 32)",0.7943617105484009,1.0,0.9276204109191895,3,[0.7943617105484009]
[],[],[1],1,"(11021, 46, 152)",0.7033365964889526,1.0,0.7165725827217102,0,[0.7033365964889526]
"[({(475, 32, 5)}, 1.6541439528626558, 'baseline'), ({(2317, 32, 5)}, 0.9330797368895779, 'baseline')]","[(475, 32, 5), (475, 32, 12358), (12358, 90, 1885)]",[2],1,"(5, 90, 1885)",0.23718266189098358,2.0,0.9416294097900391,3,[0.23718266189098358]
"[({(9037, 22, 1569)}, 2.207996391602451, 'baseline'), ({(4747, 8, 1569)}, 0.21587349817955942, 'baseline'), ({(2825, 84, 1569)}, -0.11191790747942841, 'baseline'), ({(879, 71, 1569)}, -0.31620689678152947, 'baseline'), ({(3358, 84, 1569)}, -0.8749876771119316, 'baseline'), ({(9461, 8, 1569)}, -2.2901875851640887, 'baseline'), ({(5665, 22, 1569)}, -2.892993617391306, 'baseline')]","[(13679, 85, 434), (9037, 22, 13679), (9037, 22, 1569)]",[1],1,"(1569, 85, 434)",0.9900820851325989,1.0,0.9909408688545227,3,[0.9900820851325989]
[],[],[2],1,"(7889, 46, 3115)",0.2608592212200165,2.0,0.3568492531776428,0,[0.2608592212200165]
"[({(6339, 6, 6149)}, 4.747049919895836, 'baseline'), ({(1513, 7, 6149)}, 1.3376656999320102, 'baseline'), ({(4, 2, 6149)}, 0.8434177544132511, 'baseline'), ({(7172, 103, 6149)}, 0.24347881082630954, 'baseline'), ({(912, 103, 6149)}, -0.04171769727010098, 'baseline'), ({(601, 7, 6149)}, -0.8322525766844185, 'baseline'), ({(1759, 7, 6149)}, -2.747121559220523, 'baseline')]","[(3909, 26, 64), (6339, 6, 6149), (6339, 6, 3909)]",[1],1,"(6149, 26, 64)",0.9374738335609436,1.0,0.7856136560440063,3,[0.9374738335609436]
"[({(1700, 165, 7278)}, 1.1199506399061656, 'baseline'), ({(6905, 71, 7278)}, -4.476605324599973, 'baseline')]","[(10233, 118, 774), (1700, 165, 7278), (1700, 165, 10233)]",[1],1,"(7278, 118, 774)",0.9867205619812012,1.0,0.9920915365219116,3,[0.9867205619812012]
"[({(6571, 8, 6260)}, 0.10292578645966263, 'baseline'), ({(320, 8, 6260)}, -0.0316525685637934, 'baseline'), ({(940, 8, 6260)}, -0.42209035692122704, 'baseline'), ({(3772, 1, 6260)}, -1.1815182440294505, 'baseline'), ({(8465, 8, 6260)}, -4.2515064432324206, 'baseline')]","[(6571, 8, 6260), (6571, 3, 3691)]",[1],1,"(6260, 8, 3691)",0.7426297664642334,1.0,0.664778470993042,2,[0.7426297664642334]
"[({(1654, 10, 6045)}, 1.6971888594006832, 'baseline'), ({(3356, 10, 6045)}, 0.8700370496794637, 'baseline'), ({(1501, 10, 6045)}, 0.7915274157241646, 'baseline'), ({(1137, 10, 6045)}, -0.9036398479309798, 'baseline'), ({(2820, 10, 6045)}, -0.9874474441923576, 'baseline'), ({(4304, 10, 6045)}, -1.390084498470745, 'baseline')]","[(1654, 10, 6045), (1654, 182, 3202)]",[1],1,"(6045, 210, 3202)",0.990369975566864,1.0,0.9898172616958618,2,[0.990369975566864]
"[({(1652, 15, 8790)}, 0.43216942546533743, 'baseline'), ({(1019, 89, 8790)}, 0.2326251757987758, 'baseline'), ({(3554, 15, 8790)}, -0.08381355976512608, 'baseline'), ({(32, 15, 8790)}, -0.1746994136252551, 'baseline'), ({(4709, 89, 8790)}, -0.19959241206915554, 'baseline')]","[(1652, 15, 8790), (10990, 83, 1652), (10990, 25, 62)]",[1],1,"(8790, 25, 62)",0.9919719696044922,1.0,0.9913109540939331,3,[0.9919719696044922]
"[({(5108, 15, 6791)}, 2.766553790265371, 'baseline'), ({(4709, 89, 6791)}, 1.0760311829379026, 'baseline'), ({(7852, 79, 6791)}, 0.8454685397920175, 'baseline'), ({(4218, 44, 6791)}, -0.5406422824555497, 'baseline')]","[(5108, 15, 6791), (5108, 25, 62)]",[1],1,"(6791, 25, 62)",0.9950761198997498,1.0,0.990455687046051,2,[0.9950761198997498]
"[({(8319, 159, 8194)}, -0.35611976610057094, 'baseline'), ({(8675, 15, 8194)}, -1.55447976993286, 'baseline'), ({(119, 15, 8194)}, -1.8319257227064232, 'baseline')]","[(8319, 159, 8194), (8319, 66, 10468), (10468, 154, 2620)]",[1],1,"(8194, 154, 2620)",0.8369166254997253,1.0,0.4746376872062683,3,[0.8369166254997253]
"[({(637, 2, 2154)}, 2.714686663444835, 'baseline'), ({(5334, 2, 2154)}, 1.7321062711972341, 'baseline'), ({(2003, 7, 2154)}, 0.08630147930515844, 'baseline'), ({(3960, 7, 2154)}, -0.15320156887045336, 'baseline'), ({(839, 7, 2154)}, -0.31438369062126176, 'baseline'), ({(600, 38, 2154)}, -0.5326538274834308, 'baseline'), ({(779, 103, 2154)}, -0.863415497657681, 'baseline'), ({(600, 6, 2154)}, -1.25905197372335, 'baseline'), ({(601, 7, 2154)}, -1.5210598212374151, 'baseline')]","[(8092, 26, 1960), (637, 2, 2154), (8092, 13, 637)]",[1],1,"(2154, 26, 1960)",0.7543627023696899,1.0,0.6236992478370667,3,[0.7543627023696899]
"[({(6905, 71, 5263)}, 3.2889732872741706, 'baseline'), ({(4149, 47, 5263)}, 0.9145387074517694, 'baseline'), ({(6555, 3, 5263)}, 0.44803861341368156, 'baseline'), ({(3137, 47, 5263)}, -0.5616269900521003, 'baseline'), ({(5523, 8, 5263)}, -0.5919028253166974, 'baseline'), ({(8457, 233, 5263)}, -0.7271539939212035, 'baseline'), ({(12502, 20, 5263)}, -0.7421432983404388, 'baseline'), ({(9887, 47, 5263)}, -2.84928680530159, 'baseline'), ({(10143, 76, 5263)}, -3.096484960101375, 'baseline')]","[(11586, 48, 32), (6905, 71, 5263), (6905, 71, 11586)]",[1],1,"(5263, 48, 32)",0.9438960552215576,1.0,0.9680300951004028,3,[0.9438960552215576]
"[({(5678, 59, 7200)}, 3.1335961122250464, 'baseline'), ({(1148, 7, 7200)}, 2.755015445444296, 'baseline'), ({(1536, 6, 7200)}, 1.8150585823278997, 'baseline'), ({(2259, 7, 7200)}, 0.09949852035403622, 'baseline'), ({(742, 32, 7200)}, -1.6210316935447666, 'baseline')]","[(5678, 59, 12616), (5678, 59, 7200), (12616, 13, 32)]",[1],1,"(7200, 28, 32)",0.855898916721344,1.0,0.8547556400299072,3,[0.855898916721344]
"[({(285, 47, 4433)}, 3.4879899777890224, 'baseline'), ({(2127, 8, 4433)}, 1.572409476376151, 'baseline'), ({(3018, 8, 4433)}, 0.33420548518291376, 'baseline'), ({(5090, 8, 4433)}, -0.20316955479158014, 'baseline'), ({(4222, 8, 4433)}, -2.133379277324978, 'baseline')]","[(285, 47, 4433), (8616, 17, 862), (8616, 19, 285)]",[1],1,"(4433, 17, 862)",0.9406319260597229,1.0,0.9954941272735596,3,[0.9406319260597229]
"[({(1121, 7, 9711)}, 1.66840476203239, 'baseline'), ({(12319, 38, 9711)}, 0.3962185597046167, 'baseline'), ({(6210, 38, 9711)}, 0.2916977443140817, 'baseline'), ({(457, 7, 9711)}, -0.571820936324975, 'baseline'), ({(908, 7, 9711)}, -0.8400729699191021, 'baseline'), ({(268, 32, 9711)}, -1.4023542600286152, 'baseline'), ({(1130, 2, 9711)}, -2.430951427055696, 'baseline')]","[(1121, 7, 3735), (3735, 11, 23), (1121, 7, 9711)]",[1],1,"(9711, 11, 23)",0.996826708316803,1.0,0.9838512539863586,3,[0.996826708316803]
"[({(8104, 52, 8105)}, -0.47028723454035204, 'baseline')]","[(1374, 20, 8042), (8104, 52, 8105), (8104, 20, 8042)]",[1],1,"(8105, 52, 1374)",0.7259858250617981,1.0,0.8518562912940979,3,[0.7259858250617981]
"[({(657, 2, 746)}, 1.7115095273198009, 'baseline'), ({(1938, 32, 746)}, 0.6569559812431442, 'baseline'), ({(1314, 2, 746)}, 0.2896898581732557, 'baseline'), ({(11401, 6, 746)}, -0.41780698306840286, 'baseline'), ({(1489, 7, 746)}, -1.2505435272849739, 'baseline'), ({(2215, 6, 746)}, -2.0652585406187227, 'baseline'), ({(492, 38, 746)}, -2.281005470886921, 'baseline'), ({(285, 7, 746)}, -3.8829304031776295, 'baseline')]","[(2553, 193, 1682), (2553, 31, 657), (657, 2, 746)]",[2],1,"(746, 13, 1682)",0.9768362641334534,2.0,0.9694784283638,3,[0.9768362641334534]
[],[],[3],1,"(10740, 20, 1366)",0.2779718041419983,3.0,0.8317307829856873,0,[0.2779718041419983]
"[({(236, 44, 6998)}, 0.7685088099625144, 'baseline'), ({(4709, 89, 6998)}, -1.6385705490675933, 'baseline'), ({(6064, 159, 6998)}, -4.873978353675933, 'baseline')]","[(236, 63, 110), (110, 101, 1467), (236, 44, 6998)]",[1],1,"(6998, 101, 1467)",0.9534769058227539,1.0,0.886987566947937,3,[0.9534769058227539]
"[({(1796, 130, 6543)}, 3.8453829959039902, 'baseline'), ({(7253, 130, 6543)}, 0.6680276390607791, 'baseline'), ({(8239, 130, 6543)}, 0.07943024880080175, 'baseline'), ({(11600, 130, 6543)}, -1.2763500681415654, 'baseline')]","[(10656, 98, 8248), (1796, 130, 6543), (1796, 130, 10656)]",[1],1,"(6543, 98, 8248)",0.9052773714065552,1.0,0.9474917650222778,3,[0.9052773714065552]
"[({(2378, 84, 7535)}, 0.6935757361394924, 'baseline'), ({(7481, 3, 7535)}, 0.3045559780354321, 'baseline'), ({(2984, 47, 7535)}, -0.2991262852355403, 'baseline'), ({(5243, 47, 7535)}, -0.2998172389426663, 'baseline'), ({(270, 47, 7535)}, -0.3050572910365946, 'baseline'), ({(8083, 47, 7535)}, -1.3462596439042274, 'baseline')]","[(1530, 6, 2378), (2378, 84, 7535), (1530, 17, 215)]",[2],1,"(7535, 17, 215)",0.5925928354263306,2.0,0.8892365097999573,3,[0.5925928354263306]
"[({(2257, 8, 8285)}, 0.6315393191295386, 'baseline'), ({(1878, 21, 8285)}, -1.7295060069065664, 'baseline'), ({(1352, 8, 8285)}, -1.732334594577455, 'baseline')]","[(2257, 17, 862), (2257, 8, 8285)]",[1],1,"(8285, 17, 862)",0.8690804839134216,1.0,0.9222087264060974,2,[0.8690804839134216]
"[({(2970, 12, 6350)}, 2.7000388291550594, 'baseline'), ({(5563, 84, 6350)}, 2.439819702659478, 'baseline'), ({(882, 47, 6350)}, 1.616543149835819, 'baseline'), ({(5563, 12, 6350)}, 1.4171587059847603, 'baseline'), ({(2970, 109, 6350)}, -0.16789682089233612, 'baseline'), ({(2970, 84, 6350)}, -1.386746306566772, 'baseline'), ({(9639, 27, 6350)}, -5.783310654699898, 'baseline')]","[(2970, 12, 6350), (4412, 38, 2970), (4412, 43, 141)]",[1],1,"(6350, 43, 141)",0.9944827556610107,1.0,0.9883594512939453,3,[0.9944827556610107]
"[({(211, 42, 6183)}, 2.241705660715523, 'baseline'), ({(8833, 76, 6183)}, 1.2671193480538308, 'baseline'), ({(268, 76, 6183)}, 1.2544963008954408, 'baseline'), ({(2687, 76, 6183)}, 1.0160769295244017, 'baseline'), ({(479, 42, 6183)}, 0.16941688340789066, 'baseline'), ({(10550, 20, 6183)}, 0.09223659816812085, 'baseline'), ({(1756, 42, 6183)}, -0.16802766359586105, 'baseline'), ({(3490, 45, 6183)}, -0.4131719657733555, 'baseline'), ({(1547, 3, 6183)}, -1.2194103937175458, 'baseline')]","[(211, 42, 6183), (1492, 17, 1002), (211, 42, 1492)]",[2],1,"(6183, 17, 1002)",0.7020090222358704,2.0,0.8010475039482117,3,[0.7020090222358704]
