new_ranks,original_score,new_score,new_rank,#facts,prediction,facts,new_scores,original_rank
"[3, 2]",0.16975777,0.14383435,2.5,1,"(2173, 6, 38083)","[(2173, 6, 25880)]","[0.19102429, 0.096644424]",1
"[4675, 606]",3.1416736,4.9833255,2640.5,1,"(38386, 0, 1904)","[(10444, 4, 38386)]","[5.83899, 4.1276608]",1
"[112, 101]",1.6178828,3.7070901,106.5,1,"(33711, 5, 19257)","[(33711, 5, 9528)]","[3.9020562, 3.512124]",1
"[1, 1]",1.0016706,1.2375171,1.0,1,"(3741, 6, 11977)","[(3741, 6, 9062)]","[1.2673876, 1.2076466]",1
"[11, 194]",1.0748414,4.79403,102.5,1,"(18018, 2, 916)","[(18018, 2, 121)]","[5.3506155, 4.2374444]",1
"[44, 25]",4.8635826,4.6724443,34.5,1,"(36972, 5, 172)","[(36972, 0, 220)]","[4.978475, 4.366414]",1
"[13, 8]",1.1540937,1.2878947,10.5,1,"(33791, 0, 2687)","[(33791, 4, 11695)]","[1.3051496, 1.2706399]",1
"[172, 23119]",0.75780964,5.2525764,11645.5,1,"(33324, 0, 284)","[(2924, 4, 33324)]","[5.1649036, 5.340249]",1
"[200, 35]",1.5995007,2.1830115,117.5,1,"(18333, 0, 1929)","[(18332, 4, 18333)]","[2.3145792, 2.051444]",1
"[1044, 713]",2.6455247,4.7550483,878.5,1,"(27097, 0, 10241)","[(3408, 8, 27097)]","[5.2480183, 4.2620783]",1
"[1, 1]",1.2696587,2.541255,1.0,1,"(19442, 2, 1137)","[(19442, 5, 774)]","[2.516564, 2.565946]",1
"[1, 2]",1.4160054,1.2131164,1.5,1,"(1864, 0, 1703)","[(1864, 4, 15092)]","[1.3399311, 1.0863017]",1
"[24, 16]",0.9023785,2.5558043,20.0,1,"(18451, 5, 1238)","[(18451, 5, 2971)]","[2.629764, 2.4818444]",1
"[1, 1]",2.1907704,1.4100931,1.0,1,"(7396, 0, 39)","[(3608, 4, 7396)]","[1.660493, 1.1596932]",1
"[1767, 1009]",2.5990837,2.7287126,1388.0,1,"(15952, 0, 3163)","[(15952, 4, 19515)]","[3.0986075, 2.3588173]",1
"[129, 434]",2.976766,5.175851,281.5,1,"(40221, 5, 73)","[(40221, 0, 3411)]","[5.071782, 5.27992]",1
"[16, 22]",1.3780348,2.0836859,19.0,1,"(33163, 5, 4554)","[(33163, 5, 19146)]","[2.1191757, 2.0481958]",1
"[2978, 179]",1.6982498,2.9800014,1578.5,1,"(19351, 0, 265)","[(6122, 4, 19351)]","[3.4223878, 2.5376153]",1
"[8, 44]",0.8656637,2.0981834,26.0,1,"(14814, 0, 292)","[(1864, 4, 14814)]","[1.9365704, 2.2597964]",1
"[6, 1]",1.9819248,1.1652063,3.5,1,"(21561, 0, 39)","[(21561, 4, 21562)]","[1.1010852, 1.2293274]",1
"[237, 18549]",1.2893803,5.131012,9393.0,1,"(34758, 0, 284)","[(7922, 4, 34758)]","[5.307057, 4.9549665]",1
"[4436, 1083]",1.6508205,5.138392,2759.5,1,"(38617, 0, 21)","[(1432, 4, 38617)]","[4.7397137, 5.5370703]",1
"[7, 2]",1.4379002,4.686096,4.5,1,"(9939, 2, 2580)","[(4927, 6, 9939)]","[4.9535666, 4.418626]",1
"[231, 691]",1.2075223,2.6514382,461.0,1,"(36255, 0, 10055)","[(76, 4, 36255)]","[2.674704, 2.6281724]",1
"[1, 1]",0.3502208,0.5227898,1.0,1,"(31376, 2, 743)","[(12272, 6, 31376)]","[0.34551713, 0.7000624]",1
"[2, 1]",0.6015825,0.6424918,1.5,1,"(14888, 0, 2518)","[(14888, 4, 14889)]","[0.58203715, 0.70294654]",1
"[159, 212]",0.8335239,5.427459,185.5,1,"(35944, 2, 916)","[(35944, 2, 121)]","[5.5348377, 5.32008]",1
"[2, 1]",1.4449646,0.72083217,1.5,1,"(5767, 4, 21704)","[(5767, 4, 19213)]","[0.87586474, 0.5657996]",1
"[72, 387]",1.6959426,5.1803827,229.5,1,"(37756, 0, 278)","[(21810, 4, 37756)]","[5.366911, 4.9938545]",1
"[1, 1]",0.52756256,0.93268925,1.0,1,"(38545, 2, 3943)","[(7700, 6, 38545)]","[1.0971951, 0.76818335]",1
"[1324, 126]",2.5358155,3.080312,725.0,1,"(1521, 0, 532)","[(6962, 4, 1521)]","[3.1188223, 3.0418017]",1
"[5, 4]",0.56383824,1.531979,4.5,1,"(516, 0, 292)","[(1864, 4, 516)]","[1.411319, 1.6526389]",1
"[1, 69]",2.244032,1.2184858,35.0,1,"(10303, 0, 1380)","[(10303, 1, 1771)]","[1.0004696, 1.436502]",1
"[1, 1]",0.6526841,0.51207894,1.0,1,"(2381, 2, 12273)","[(2381, 6, 21795)]","[0.5314136, 0.4927443]",1
"[4, 1]",0.89742965,1.6361756,2.5,1,"(14588, 2, 121)","[(14588, 2, 916)]","[1.4403517, 1.8319995]",1
"[3, 1]",0.9920295,2.0944042,2.0,1,"(37558, 2, 741)","[(193, 6, 37558)]","[2.5142245, 1.6745838]",1
"[61, 87]",3.3573053,5.1096764,74.0,1,"(39375, 0, 265)","[(15314, 4, 39375)]","[4.960433, 5.2589192]",1
"[11331, 1015]",1.2787083,5.681986,6173.0,1,"(30773, 0, 184)","[(1038, 4, 30773)]","[5.6321096, 5.731862]",1
"[1, 4]",0.405201,0.5468222,2.5,1,"(27989, 2, 17930)","[(27989, 5, 2404)]","[0.5354904, 0.558154]",1
"[2927, 11178]",1.7977273,5.201921,7052.5,1,"(37725, 0, 23377)","[(15016, 4, 37725)]","[5.4405003, 4.9633417]",1
"[5, 1]",0.61166525,1.4234346,3.0,1,"(22121, 0, 351)","[(512, 4, 22121)]","[1.5769475, 1.2699218]",1
"[24, 19]",1.4945084,2.255046,21.5,1,"(27757, 0, 1929)","[(450, 4, 27757)]","[2.420326, 2.0897655]",1
"[1, 2]",0.49443048,0.60017455,1.5,1,"(7397, 0, 296)","[(7396, 4, 7397)]","[0.56545234, 0.63489676]",1
"[1, 2]",1.264704,2.809616,1.5,1,"(36622, 2, 2580)","[(4502, 6, 36622)]","[2.982849, 2.6363835]",1
"[1128, 2776]",2.0178685,4.8488884,1952.0,1,"(25076, 0, 265)","[(17623, 4, 25076)]","[4.391649, 5.3061285]",1
"[305, 32]",1.266521,2.3283806,168.5,1,"(35086, 0, 1929)","[(13084, 4, 35086)]","[2.476287, 2.180474]",1
"[58, 3]",3.2201586,1.6754853,30.5,1,"(29122, 0, 1500)","[(5382, 4, 29122)]","[1.6671879, 1.6837826]",1
"[1658, 2239]",1.3406936,5.1371794,1948.5,1,"(23647, 0, 1338)","[(23647, 0, 14302)]","[4.89017, 5.384188]",1
