new_scores,new_score,original_rank,new_rank,new_ranks,exp,facts,original_score,prediction,exp_length
[4.6885147],4.6885147,1,11.0,[11],"[(8774, 1, 16865)]","[([(8774, 1, 16865)], 2.8085003, 'xrule'), ({(8774, 1, 16865)}, 2.5836173636282465, 'baseline'), ({(16865, 5, 212)}, -0.3286351746726941, 'baseline')]",10.44133,"(16865, 1, 8774)",1
[-2.657548],-2.657548,1,31584.0,[31584],"[(15249, 1, 26185)]","[([(15249, 1, 26185)], 8.3498, 'xrule'), ({(15249, 1, 26185)}, 5.114186062293291, 'baseline')]",11.001265,"(26185, 1, 15249)",1
[3.0812652],3.0812652,1,8.0,[8],"[(7707, 1, 7708)]","[([(7707, 1, 7708)], 3.6897998, 'xrule'), ({(7707, 1, 7708)}, 2.6564161025391924, 'baseline'), ({(7708, 1, 9498)}, -0.6051997700480136, 'baseline'), ({(9498, 1, 7708)}, -0.6072949925062008, 'baseline')]",8.797766,"(7708, 1, 7707)",1
[-2.6782026],-2.6782026,1,25507.0,[25507],"[(32885, 1, 37429)]","[([(32885, 1, 37429)], 6.4867005, 'xrule'), ({(32885, 1, 37429)}, 4.774894012659452, 'baseline')]",10.5282135,"(37429, 1, 32885)",1
[-0.1480598],-0.1480598,1,4592.0,[4592],"[(10722, 1, 5826)]","[([(10722, 1, 5826)], 4.2447, 'xrule'), ({(10722, 1, 5826)}, 3.4187606254412257, 'baseline')]",9.052063,"(5826, 1, 10722)",1
[4.2141447],4.2141447,1,12.0,[12],"[(21524, 1, 20692)]","[([(21524, 1, 20692)], 3.6782002, 'xrule'), ({(21524, 1, 20692)}, 0.7012625191590216, 'baseline'), ({(20692, 1, 1062)}, -0.13900752815335604, 'baseline'), ({(1062, 1, 20692)}, -0.14155669963311843, 'baseline')]",9.7515745,"(20692, 1, 21524)",1
[-1.6447852],-1.6447852,1,20668.0,[20668],"[(31140, 1, 25999)]","[([(31140, 1, 25999)], 6.9379997, 'xrule'), ({(31140, 1, 25999)}, 3.2760217656453086, 'baseline')]",9.611744,"(25999, 1, 31140)",1
[-0.13405934],-0.13405934,1,7067.0,[7067],"[(15849, 1, 22500)]","[([(15849, 1, 22500)], 4.1816998, 'xrule'), ({(15849, 1, 22500)}, 1.560462067735936, 'baseline')]",8.751211,"(22500, 1, 15849)",1
[5.110644],5.110644,1,18.0,[18],"[(21810, 4, 3388), (21810, 4, 21811), (3388, 0, 278)]","[([(21810, 4, 3388), (21810, 4, 21811), (3388, 0, 278)], 11.610901, 'xrule'), ({(21810, 4, 21811)}, 7.868524021619627, 'baseline')]",7.6046906,"(21811, 0, 278)",3
[8.5506935],8.5506935,1,6.0,[6],"[(4170, 6, 20535), (4170, 6, 33440), (20535, 2, 121)]","[({(4170, 6, 33440)}, 5.3997777369614335, 'baseline')]",7.4783945,"(33440, 2, 121)",3
[4.6072354],4.6072354,1,2.0,[2],"[(14576, 1, 904), (17185, 0, 904), (904, 1, 14576), (17185, 5, 2971)]","[([(14576, 1, 904), (17185, 0, 904), (904, 1, 14576), (17185, 5, 2971)], 0.9424, 'xrule'), ({(904, 1, 14576)}, 0.16616110063684594, 'baseline'), ({(14576, 1, 904)}, 0.16605285857646587, 'baseline'), ({(22518, 0, 14576)}, 0.12404731952284571, 'baseline'), ({(1156, 1, 14576)}, -0.09079166220433084, 'baseline'), ({(14576, 1, 1156)}, -0.09343286319992104, 'baseline')]",5.459032,"(14576, 5, 2971)",4
[7.2550898],7.2550898,1,1.0,[1],"[(5832, 1, 12905)]","[([(5832, 1, 12905)], 1.4026995, 'xrule'), ({(5832, 1, 12905)}, 0.8057594767907363, 'baseline'), ({(28697, 1, 12905)}, -0.021558721571455764, 'baseline'), ({(12905, 1, 28697)}, -0.02266498380157672, 'baseline'), ({(12905, 1, 12904)}, -0.06778808402725484, 'baseline'), ({(12904, 1, 12905)}, -0.07023902701339717, 'baseline')]",9.152345,"(12905, 1, 5832)",1
[5.9757185],5.9757185,1,1.0,[1],"[(653, 1, 17819)]","[([(653, 1, 17819)], 2.012, 'xrule'), ({(653, 1, 17819)}, 0.9119701874276097, 'baseline'), ({(17819, 1, 17820)}, -0.07451244166116351, 'baseline'), ({(17820, 1, 17819)}, -0.10173412127263899, 'baseline')]",9.249761,"(17819, 1, 653)",1
[1.7813249],1.7813249,1,281.0,[281],"[(8221, 2, 3167), (8221, 2, 909), (17014, 2, 909)]","[([(8221, 2, 3167), (8221, 2, 909), (17014, 2, 909)], 10.4026, 'xrule'), ({(17014, 2, 909)}, 6.876253301968563, 'baseline')]",7.138199,"(17014, 2, 3167)",3
[-0.8336134],-0.8336134,1,5358.0,[5358],"[(522, 1, 4393), (1049, 1, 32701), (32701, 1, 1049), (4393, 1, 522), (1049, 0, 4393)]","[([(4393, 1, 522), (522, 1, 4393), (1049, 1, 32701), (32701, 1, 1049), (1049, 0, 4393)], 4.6268997, 'xrule'), ({(32701, 1, 1049)}, 0.7189226604336729, 'baseline'), ({(1049, 1, 32701)}, 0.7175627208304095, 'baseline')]",6.671388,"(32701, 0, 522)",5
[-1.3377168],-1.3377168,1,10990.0,[10990],"[(3103, 1, 3104)]","[([(3103, 1, 3104)], 9.5898, 'xrule'), ({(3103, 1, 3104)}, 8.067659799592336, 'baseline')]",9.955729,"(3104, 1, 3103)",1
[0.10468665],0.10468665,1,4695.0,[4695],"[(17169, 3, 17011)]","[([(17169, 3, 17011)], 2.6324005, 'xrule'), ({(17169, 3, 17011)}, 1.838922108253758, 'baseline')]",8.8337755,"(17011, 3, 17169)",1
[1.1890812],1.1890812,1,197.0,[197],"[(16202, 0, 14302), (23647, 0, 14302), (16202, 0, 1338)]","[([(16202, 0, 14302), (23647, 0, 14302), (16202, 0, 1338)], 12.0021, 'xrule'), ({(23647, 0, 14302)}, 8.396094793072805, 'baseline')]",7.0427074,"(23647, 0, 1338)",3
[5.804676],5.804676,1,1.0,[1],"[(4764, 1, 4765)]","[([(4764, 1, 4765)], 1.7367, 'xrule'), ({(4764, 1, 4765)}, 0.8379860398911381, 'baseline'), ({(4765, 1, 29462)}, 0.12413124286383459, 'baseline'), ({(29462, 1, 4765)}, 0.11855034074100411, 'baseline')]",9.360676,"(4765, 1, 4764)",1
[4.169853],4.169853,1,22.0,[22],"[(19068, 1, 8742)]","[([(19068, 1, 8742)], 1.6946998, 'xrule'), ({(19068, 1, 8742)}, 1.0672207403803715, 'baseline'), ({(8742, 1, 1897)}, -0.06680866050919153, 'baseline'), ({(1897, 1, 8742)}, -0.0674342708964393, 'baseline')]",8.114485,"(8742, 1, 19068)",1
[-0.84805554],-0.84805554,1,16746.0,[16746],"[(28087, 1, 13806)]","[([(28087, 1, 13806)], 4.4971004, 'xrule'), ({(28087, 1, 13806)}, 2.6448075001582576, 'baseline')]",9.769687,"(13806, 1, 28087)",1
[5.3144674],5.3144674,1,1.0,[1],"[(10107, 5, 1819), (10107, 0, 14885), (3210, 0, 14885)]","[([(10107, 5, 1819), (10107, 0, 14885), (3210, 0, 14885)], 1.0324998, 'xrule'), ({(3210, 0, 14885)}, 0.6948409530792367, 'baseline'), ({(135, 0, 3210)}, 0.13516096321162602, 'baseline'), ({(8242, 0, 3210)}, 0.05961755939152136, 'baseline'), ({(13794, 1, 3210)}, 0.05048612783968538, 'baseline'), ({(3210, 1, 13794)}, 0.04902843664927955, 'baseline'), ({(5796, 0, 3210)}, 0.04705290027428572, 'baseline')]",6.574163,"(3210, 5, 1819)",3
[-4.0206766],-4.0206766,1,5345.0,[5345],"[(8721, 0, 1754), (11480, 2, 8721), (1534, 0, 1754)]","[([(8721, 0, 1754), (11480, 2, 8721), (1534, 0, 1754)], 9.8356, 'xrule'), ({(11480, 2, 8721)}, 5.75968823417111, 'baseline')]",5.108136,"(11480, 2, 1534)",3
[5.239295],5.239295,1,2.0,[2],"[(3407, 1, 26647)]","[({(3407, 1, 26647)}, 1.8577137849987742, 'baseline'), ([(3407, 1, 26647)], 1.8472004, 'xrule'), ({(26647, 9, 12197)}, -0.17128558900522367, 'baseline'), ({(12197, 9, 26647)}, -0.1729240014274526, 'baseline')]",8.59272,"(26647, 1, 3407)",1
[6.130104],6.130104,1,2.0,[2],"[(9268, 1, 12274)]","[([(9268, 1, 12274)], 3.1246, 'xrule'), ({(9268, 1, 12274)}, 2.9948684987816563, 'baseline'), ({(12274, 0, 9960)}, -0.30047889433362296, 'baseline')]",10.34638,"(12274, 1, 9268)",1
[4.99574],4.99574,1,4.0,[4],"[(8885, 1, 17578)]","[([(8885, 1, 17578)], 2.4449, 'xrule'), ({(8885, 1, 17578)}, 1.809701048549741, 'baseline'), ({(17578, 1, 3300)}, -0.21338554150575706, 'baseline'), ({(3300, 1, 17578)}, -0.21721072918597767, 'baseline')]",9.063567,"(17578, 1, 8885)",1
[-0.10617917],-0.10617917,1,13832.0,[13832],"[(34834, 1, 3152)]","[([(34834, 1, 3152)], 6.6275, 'xrule'), ({(34834, 1, 3152)}, 1.144129807694078, 'baseline')]",9.688642,"(3152, 1, 34834)",1
[2.3009007],2.3009007,1,99.0,[99],"[(3970, 0, 81), (16415, 4, 36104), (16415, 4, 3970)]","[([(3970, 0, 81), (16415, 4, 36104), (16415, 4, 3970)], 11.35, 'xrule'), ({(16415, 4, 36104)}, 8.29233443595319, 'baseline')]",7.7996135,"(36104, 0, 81)",3
[-0.20942014],-0.20942014,1,465.0,[465],"[(1620, 6, 25305), (33663, 0, 2099), (1620, 4, 33663)]","[([(1620, 6, 25305), (33663, 0, 2099), (1620, 4, 33663)], 11.8175, 'xrule'), ({(1620, 6, 25305)}, 7.878249845034241, 'baseline')]",7.398238,"(25305, 0, 2099)",3
[-0.5459052],-0.5459052,1,3133.0,[3133],"[(24859, 1, 24512)]","[([(24859, 1, 24512)], 6.6045003, 'xrule'), ({(24859, 1, 24512)}, 5.277992319593081, 'baseline')]",10.221,"(24512, 1, 24859)",1
[8.180734],8.180734,1,1.0,[1],"[(3340, 1, 13731)]","[({(3340, 1, 13731)}, 0.3490600998177927, 'baseline'), ({(11130, 1, 13731)}, 0.02657894322687749, 'baseline'), ({(13731, 1, 11130)}, 0.02612785525133898, 'baseline'), ({(13730, 1, 13731)}, -0.0002946453659013311, 'baseline'), ({(13731, 1, 13730)}, -0.0016460018925003126, 'baseline'), ({(13731, 0, 586)}, -0.20594688187760846, 'baseline')]",9.419868,"(13731, 1, 3340)",1
[1.4327686],1.4327686,1,234.0,[234],"[(19504, 1, 21993)]","[([(19504, 1, 21993)], 5.1183004, 'xrule'), ({(19504, 1, 21993)}, 0.6809044332176022, 'baseline'), ({(11202, 0, 21993)}, 0.19768718945850988, 'baseline')]",8.579209,"(21993, 1, 19504)",1
[4.446889],4.446889,1,2.0,[2],"[(14201, 1, 14202)]","[({(14201, 1, 14202)}, 4.436471372937372, 'baseline'), ([(14201, 1, 14202)], 4.1718, 'xrule'), ({(14202, 0, 31982)}, -0.6664828808273733, 'baseline')]",10.240109,"(14202, 1, 14201)",1
[5.50655],5.50655,1,5.0,[5],"[(6752, 1, 3450)]","[([(6752, 1, 3450)], 1.5372005, 'xrule'), ({(6752, 1, 3450)}, 1.1940003001947856, 'baseline'), ({(13763, 1, 3450)}, -0.05472083859771731, 'baseline'), ({(3450, 1, 13763)}, -0.05779643821999401, 'baseline'), ({(13968, 1, 3450)}, -0.07508369251959271, 'baseline'), ({(19171, 0, 3450)}, -0.09509368703645621, 'baseline'), ({(15388, 1, 3450)}, -0.11816592970834476, 'baseline'), ({(12980, 1, 3450)}, -0.11840911667606481, 'baseline'), ({(3450, 1, 15388)}, -0.11970229901978895, 'baseline'), ({(3450, 1, 12980)}, -0.1202573374782407, 'baseline')]",8.6875305,"(3450, 1, 6752)",1
[4.078923],4.078923,1,5.0,[5],"[(1287, 1, 18173)]","[([(1287, 1, 18173)], 3.0297003, 'xrule'), ({(1287, 1, 18173)}, 2.7351428826111936, 'baseline'), ({(23932, 1, 18173)}, 0.04869941896622269, 'baseline')]",8.870047,"(18173, 1, 1287)",1
[3.561017],3.561017,1,11.0,[11],"[(17826, 3, 14917)]","[([(17826, 3, 14917)], 3.0593, 'xrule'), ({(17826, 3, 14917)}, 1.4964428616733851, 'baseline'), ({(14917, 3, 17825)}, 0.11263469895666399, 'baseline')]",8.515327,"(14917, 3, 17826)",1
[-0.26339194],-0.26339194,1,10992.0,[10992],"[(9037, 1, 26613)]","[({(9037, 1, 26613)}, 2.523134377124965, 'baseline')]",9.101814,"(26613, 1, 9037)",1
[2.0013735],2.0013735,1,43.0,[43],"[(1019, 4, 39576), (1019, 4, 28305), (39576, 0, 3141)]","[({(1019, 4, 28305)}, 5.472739714975529, 'baseline'), ([(1019, 4, 23273), (1019, 4, 28305), (23273, 0, 3141)], 5.2717004, 'xrule')]",8.571083,"(28305, 0, 3141)",3
[-4.373294],-4.373294,1,4796.0,[4796],"[(24714, 5, 3149), (4747, 5, 3149), (24714, 0, 22951)]","[([(24714, 5, 3149), (4747, 5, 3149), (24714, 0, 22951)], 14.4095, 'xrule'), ({(4747, 5, 3149)}, 10.38924587081491, 'baseline')]",7.647258,"(4747, 0, 22951)",3
[4.921933],4.921933,1,2.0,[2],"[(2938, 1, 15497)]","[([(2938, 1, 15497)], 2.7598996, 'xrule'), ({(2938, 1, 15497)}, 1.4024124777006275, 'baseline'), ({(7315, 0, 15497)}, 0.24061207061324313, 'baseline')]",9.88568,"(15497, 1, 2938)",1
[0.71332014],0.71332014,1,1354.0,[1354],"[(5862, 1, 14121)]","[([(5862, 1, 14121)], 2.6597, 'xrule'), ({(5862, 1, 14121)}, 1.5529542663159217, 'baseline')]",7.876352,"(14121, 1, 5862)",1
[6.005319],6.005319,1,8.0,[8],"[(1038, 4, 39279), (22149, 0, 184), (1038, 4, 22149)]","[([(1038, 4, 39279), (22149, 0, 184), (1038, 4, 22149)], 12.8801, 'xrule'), ({(1038, 4, 39279)}, 11.377507094558638, 'baseline')]",8.77287,"(39279, 0, 184)",3
[4.457532],4.457532,1,4.0,[4],"[(25165, 1, 7514)]","[([(25165, 1, 7514)], 2.0916996, 'xrule'), ({(25165, 1, 7514)}, 0.5949278314202425, 'baseline'), ({(21485, 1, 7514)}, 0.07837681006922419, 'baseline'), ({(7514, 1, 21485)}, 0.07550148203230113, 'baseline'), ({(3331, 1, 7514)}, 0.03610901065179918, 'baseline'), ({(7514, 1, 3331)}, 0.0356026096083266, 'baseline')]",9.075606,"(7514, 1, 25165)",1
[8.22641],8.22641,1,1.0,[1],"[(5116, 1, 15028)]","[([(5116, 1, 15028)], 0.47210026, 'xrule'), ({(5116, 1, 15028)}, 0.31575874613959537, 'baseline'), ({(16314, 1, 15028)}, 0.08560661509807145, 'baseline'), ({(15028, 1, 21701)}, 0.011381189265875988, 'baseline'), ({(21701, 1, 15028)}, 0.009264032323726534, 'baseline'), ({(15028, 1, 6422)}, -0.07775302698039813, 'baseline'), ({(6422, 1, 15028)}, -0.07847781941282676, 'baseline')]",9.27175,"(15028, 1, 5116)",1
[0.47970334],0.47970334,1,3307.0,[3307],"[(5782, 1, 6726)]","[([(5782, 1, 6726)], 4.6273, 'xrule'), ({(5782, 1, 6726)}, 0.5725403265904968, 'baseline')]",9.564367,"(6726, 1, 5782)",1
[0.7198231],0.7198231,1,298.0,[298],"[(5329, 1, 12530)]","[([(5329, 1, 12530)], 5.6194997, 'xrule'), ({(5329, 1, 12530)}, 3.6638335519725187, 'baseline')]",10.27132,"(12530, 1, 5329)",1
[-1.4126627],-1.4126627,1,20807.0,[20807],"[(14159, 1, 40286)]","[([(14159, 1, 40286)], 7.4143, 'xrule'), ({(14159, 1, 40286)}, 6.316315010999121, 'baseline')]",10.40897,"(40286, 1, 14159)",1
[4.550579],4.550579,1,4.0,[4],"[(7703, 1, 26785)]","[({(7703, 1, 26785)}, 4.227009524412198, 'baseline'), ([(7703, 1, 26785)], 3.1688004, 'xrule'), ({(26785, 0, 17167)}, -0.48362727693263946, 'baseline')]",10.314679,"(26785, 1, 7703)",1
[6.498805],6.498805,1,3.0,[3],"[(7329, 1, 5855)]","[([(7329, 1, 5855)], 1.4405003, 'xrule'), ({(7329, 1, 5855)}, 0.6447182144879807, 'baseline'), ({(11474, 0, 5855)}, 0.08782486154784157, 'baseline'), ({(5855, 1, 28317)}, 0.01584057041677979, 'baseline'), ({(28317, 1, 5855)}, 0.01436142150442485, 'baseline')]",8.925503,"(5855, 1, 7329)",1
[5.8169723],5.8169723,1,3.0,[3],"[(6485, 1, 30984)]","[([(6485, 1, 30984)], 1.9948006, 'xrule'), ({(6485, 1, 30984)}, 1.1585255218752126, 'baseline'), ({(30984, 0, 957)}, 0.3373270446425075, 'baseline')]",9.050512,"(30984, 1, 6485)",1
[6.084079],6.084079,1,1.0,[1],"[(1137, 5, 774), (29963, 2, 1137)]","[({(29963, 2, 1137)}, 5.850420152190415, 'baseline'), ([(39696, 5, 774), (29963, 2, 1137), (39696, 2, 1137)], 5.4474998, 'xrule')]",8.869197,"(29963, 5, 774)",2
[2.657126],2.657126,1,34.0,[34],"[(2573, 1, 17030)]","[([(2573, 1, 17030)], 2.6565003, 'xrule'), ({(2573, 1, 17030)}, 2.5545946662167798, 'baseline'), ({(17030, 1, 13110)}, -0.31352515889692606, 'baseline'), ({(13110, 1, 17030)}, -0.31541057303884, 'baseline')]",8.604788,"(17030, 1, 2573)",1
[6.3949156],6.3949156,1,1.0,[1],"[(39563, 2, 2580), (20114, 6, 20115), (20114, 6, 39563)]","[({(20114, 6, 20115)}, 1.915011495332419, 'baseline'), ([(20114, 6, 4716), (20114, 6, 20115), (4716, 2, 2580)], 1.8128996, 'xrule')]",8.1901455,"(20115, 2, 2580)",3
[-1.5743065],-1.5743065,1,27597.0,[27597],"[(18271, 1, 3741)]","[([(18271, 1, 3741)], 6.2082, 'xrule'), ({(18271, 1, 3741)}, 1.0087214027226916, 'baseline')]",10.975729,"(3741, 1, 18271)",1
[-0.033289626],-0.033289626,1,7491.0,[7491],"[(7531, 1, 7532)]","[([(7531, 1, 7532)], 4.1284995, 'xrule'), ({(7531, 1, 7532)}, 1.6192169914096355, 'baseline')]",8.390123,"(7532, 1, 7531)",1
[4.591275],4.591275,1,18.0,[18],"[(36226, 1, 1771)]","[([(36226, 1, 1771)], 2.6282, 'xrule'), ({(36226, 1, 1771)}, 0.18369487983445115, 'baseline'), ({(9610, 1, 1771)}, 0.16147808288976823, 'baseline')]",9.191784,"(1771, 1, 36226)",1
[5.9603395],5.9603395,1,2.0,[2],"[(10563, 9, 6882)]","[([(10563, 9, 6882)], 2.2876997, 'xrule'), ({(10563, 9, 6882)}, 1.3903198868821423, 'baseline'), ({(9971, 1, 6882)}, -0.13333698069551858, 'baseline'), ({(6882, 1, 9971)}, -0.13415332593025014, 'baseline'), ({(6882, 0, 6883)}, -0.16434951567848144, 'baseline')]",10.239602,"(6882, 9, 10563)",1
[5.5612144],5.5612144,1,1.0,[1],"[(27614, 5, 172), (27614, 0, 28580)]","[([(27614, 5, 172), (27614, 0, 28580)], 1.6579001, 'xrule'), ({(27614, 0, 28580)}, 1.2990559933405887, 'baseline')]",7.0875874,"(28580, 5, 172)",2
[-3.9176607],-3.9176607,1,10936.0,[10936],"[(28165, 1, 40453)]","[([(28165, 1, 40453)], 15.1956005, 'xrule'), ({(28165, 1, 40453)}, 11.62026042629262, 'baseline')]",9.401691,"(40453, 1, 28165)",1
[7.5242825],7.5242825,1,1.0,[1],"[(16026, 1, 21645)]","[([(16026, 1, 21645)], 1.0545006, 'xrule'), ({(16026, 1, 21645)}, 0.7970276346103573, 'baseline'), ({(21645, 1, 14574)}, -0.06868930627752735, 'baseline'), ({(14574, 1, 21645)}, -0.07057567408466156, 'baseline'), ({(32962, 1, 21645)}, -0.15537544040108273, 'baseline'), ({(21645, 1, 32962)}, -0.15578552035187426, 'baseline')]",9.251232,"(21645, 1, 16026)",1
[1.6084435],1.6084435,1,58.0,[58],"[(13752, 1, 11251)]","[([(13752, 1, 11251)], 4.1373, 'xrule'), ({(13752, 1, 11251)}, 2.4058209782838564, 'baseline')]",9.526362,"(11251, 1, 13752)",1
[0.43049535],0.43049535,1,746.0,[746],"[(11702, 1, 26645)]","[([(11702, 1, 26645)], 3.8939004, 'xrule'), ({(11702, 1, 26645)}, 2.0796977101827254, 'baseline'), ({(26645, 5, 129)}, -0.22719951389826495, 'baseline')]",10.44846,"(26645, 1, 11702)",1
[5.8416204],5.8416204,1,1.0,[1],"[(23887, 6, 31376), (23887, 6, 13632), (13632, 2, 743)]","[([(23887, 6, 31376), (23887, 6, 13632), (13632, 2, 743)], 1.7526002, 'xrule'), ({(23887, 6, 31376)}, 1.0763340523805784, 'baseline'), ({(10052, 6, 31376)}, 0.126823465444857, 'baseline'), ({(12272, 6, 31376)}, -0.17348047040416817, 'baseline')]",7.7001705,"(31376, 2, 743)",3
[6.473925],6.473925,1,1.0,[1],"[(2601, 1, 5394)]","[([(2601, 1, 5394)], 1.7930002, 'xrule'), ({(2601, 1, 5394)}, 0.856279420986408, 'baseline'), ({(20358, 0, 5394)}, 0.17155555936997713, 'baseline'), ({(19801, 0, 5394)}, 0.10427383616882158, 'baseline'), ({(13722, 0, 5394)}, 0.08052448463900895, 'baseline')]",9.64728,"(5394, 1, 2601)",1
[5.4629297],5.4629297,1,3.0,[3],"[(2617, 1, 11144)]","[([(2617, 1, 11144)], 2.4752998, 'xrule'), ({(2617, 1, 11144)}, 1.828364456154238, 'baseline'), ({(11144, 0, 21098)}, -0.10830112258590158, 'baseline')]",9.984545,"(11144, 1, 2617)",1
[3.9165266],3.9165266,1,16.0,[16],"[(8153, 1, 10925)]","[({(8153, 1, 10925)}, 2.6174241690035895, 'baseline'), ([(8153, 1, 10925)], 2.5667, 'xrule'), ({(12946, 1, 10925)}, 0.05927852816956424, 'baseline')]",9.006329,"(10925, 1, 8153)",1
[-1.7893151],-1.7893151,1,23936.0,[23936],"[(15729, 1, 16455), (16455, 1, 15171), (15171, 1, 16455), (15171, 1, 12999), (12999, 1, 15171), (16455, 1, 15729)]","[([(15171, 1, 12999), (15729, 1, 16455), (16455, 1, 15729), (16455, 1, 15171), (12999, 1, 15171), (15171, 1, 16455)], 4.3131, 'xrule'), ({(15171, 1, 12999)}, 0.6256070577548827, 'baseline'), ({(12999, 1, 15171)}, 0.6216030560812194, 'baseline')]",6.798723,"(12999, 1, 15729)",6
[-1.0141964],-1.0141964,1,16224.0,[16224],"[(19910, 9, 8634)]","[([(19910, 9, 8634)], 5.0952997, 'xrule'), ({(19910, 9, 8634)}, 3.515775560500913, 'baseline')]",9.567928,"(8634, 9, 19910)",1
[6.162306],6.162306,1,1.0,[1],"[(5596, 1, 32633)]","[([(5596, 1, 32633)], 1.6665001, 'xrule'), ({(5596, 1, 32633)}, 1.62142093291008, 'baseline'), ({(32633, 0, 5176)}, 0.0022764605868343855, 'baseline'), ({(6813, 1, 32633)}, -0.30845351891299777, 'baseline'), ({(32633, 1, 6813)}, -0.3178624696830462, 'baseline')]",9.348708,"(32633, 1, 5596)",1
[1.3781416],1.3781416,1,312.0,[312],"[(9012, 0, 2536), (2536, 9, 2537), (2537, 5, 7786), (2537, 9, 2536)]","[([(9012, 0, 2536), (2536, 9, 2537), (2537, 5, 7786), (2537, 9, 2536)], 11.879499, 'xrule'), ({(9012, 0, 2536)}, 8.49486192369749, 'baseline')]",8.305224,"(9012, 5, 7786)",4
[-5.8850126],-5.8850126,1,9035.0,[9035],"[(25496, 0, 25497), (5309, 0, 5310), (5309, 0, 25497)]","[([(25496, 0, 25497), (5309, 0, 5310), (5309, 0, 25497)], 12.4868, 'xrule'), ({(25496, 0, 25497)}, 8.807988329841871, 'baseline')]",7.0187235,"(25496, 0, 5310)",3
[5.5148687],5.5148687,1,1.0,[1],"[(4691, 1, 36188)]","[([(4691, 1, 36188)], 1.8999996, 'xrule'), ({(4691, 1, 36188)}, 0.9568014643397418, 'baseline'), ({(36188, 1, 20727)}, -0.17035003445940436, 'baseline'), ({(20727, 1, 36188)}, -0.17063995145468558, 'baseline')]",9.827701,"(36188, 1, 4691)",1
