exp_length,prediction,new_rank,facts,original_score,new_scores,new_ranks,original_rank,new_score,exp
2,"(2494, 85, 434)",1.0,"[({(2494, 48, 32)}, 0.34546700687952075, 'baseline'), ({(2494, 48, 1080)}, -0.613590289517085, 'baseline'), ({(2494, 24, 1445)}, -1.33965821864998, 'baseline'), ({(2494, 45, 4028)}, -1.5837353905095928, 'baseline'), ({(2500, 192, 2494)}, -1.8022786717964703, 'baseline'), ({(2494, 8, 360)}, -2.0148467517918656, 'baseline'), ({(2494, 192, 2500)}, -2.0315255846951, 'baseline'), ({(2494, 102, 5311)}, -2.1680412582583988, 'baseline'), ({(2494, 38, 5311)}, -2.1684347248213243, 'baseline'), ({(5700, 84, 2494)}, -2.2076052617279953, 'baseline')]",8.090952,[7.761304],[1],1,7.761304,"[(434, 161, 32), (2494, 48, 32)]"
3,"(5672, 26, 64)",1.0,"[({(5672, 34, 90)}, -0.5734165417875511, 'baseline'), ({(5672, 14, 160)}, -0.5774813529124762, 'baseline'), ({(5672, 28, 32)}, -0.6088706103449888, 'baseline'), ({(5672, 26, 1098)}, -0.650965442733516, 'baseline'), ({(5672, 26, 1960)}, -0.7853895440123209, 'baseline'), ({(5672, 106, 592)}, -0.9474308608607731, 'baseline'), ({(5672, 26, 2948)}, -0.9847236722607025, 'baseline'), ({(5672, 31, 1211)}, -0.986913955422448, 'baseline'), ({(5672, 31, 470)}, -1.1042098855403168, 'baseline'), ({(5672, 84, 5506)}, -1.5924277758285421, 'baseline')]",7.616864,[7.550665],[1],1,7.550665,"[(13009, 26, 64), (13009, 34, 90), (5672, 34, 90)]"
2,"(3350, 48, 32)",1.0,"[({(3350, 85, 434)}, 0.34546700687952075, 'baseline'), ({(3350, 43, 384)}, -0.07307245734674764, 'baseline'), ({(3350, 17, 862)}, -0.1445132581060205, 'baseline'), ({(3350, 24, 1327)}, -0.44501032002733126, 'baseline'), ({(3350, 17, 1002)}, -0.6516597676742595, 'baseline'), ({(3350, 17, 1192)}, -0.7203915808074006, 'baseline'), ({(3350, 77, 186)}, -1.5402600799159225, 'baseline'), ({(3350, 6, 4497)}, -1.6223866132184588, 'baseline'), ({(3350, 164, 2810)}, -1.6563854068575667, 'baseline'), ({(3350, 6, 6439)}, -1.7013921480776386, 'baseline')]",8.392536,[8.186721],[1],1,8.186721,"[(3350, 85, 434), (434, 161, 32)]"
3,"(6933, 25, 62)",1.0,"[({(6933, 15, 5570)}, 5.284505075576748, 'baseline'), ({(6933, 133, 1124)}, -0.8532622223547772, 'baseline'), ({(6933, 135, 382)}, -0.9898835971545042, 'baseline'), ({(6933, 154, 5054)}, -1.33855693647791, 'baseline'), ({(1124, 15, 6933)}, -2.5387216259465775, 'baseline'), ({(6933, 94, 1495)}, -2.5624828400974913, 'baseline'), ({(382, 15, 6933)}, -2.6695447429243715, 'baseline'), ({(6933, 94, 6918)}, -2.892768939206983, 'baseline'), ({(434, 161, 6933)}, -3.165609172253856, 'baseline')]",5.3587217,[5.9958777],[1],1,5.9958777,"[(5570, 22, 1908), (6933, 15, 5570), (1908, 25, 62)]"
3,"(10762, 25, 62)",1.0,"[({(10762, 154, 2620)}, -1.14534344147608, 'baseline'), ({(1080, 15, 10762)}, -2.4792012949258635, 'baseline'), ({(10762, 62, 7983)}, -2.6387670624836104, 'baseline'), ({(7983, 15, 10762)}, -3.5437620272761388, 'baseline')]",7.438649,[8.256874],[1],1,8.256874,"[(10958, 25, 62), (10958, 154, 2620), (10762, 154, 2620)]"
3,"(1892, 26, 1098)",1.0,"[({(1892, 28, 32)}, -0.6299566824354677, 'baseline'), ({(1892, 26, 990)}, -0.6843530520993574, 'baseline'), ({(1892, 26, 1881)}, -0.8009689931605535, 'baseline'), ({(1892, 26, 1960)}, -0.8407592085694936, 'baseline'), ({(1892, 116, 527)}, -1.2039624433558265, 'baseline'), ({(1892, 84, 1917)}, -1.4613430183363239, 'baseline'), ({(1892, 84, 8064)}, -1.7089106719776523, 'baseline'), ({(326, 6, 1892)}, -1.8446823485485029, 'baseline'), ({(2937, 6, 1892)}, -1.848401231812377, 'baseline'), ({(1892, 97, 5651)}, -1.8979170930421532, 'baseline')]",7.2906313,[7.334233],[1],1,7.334233,"[(1892, 28, 32), (13009, 13, 32), (13009, 26, 1098)]"
2,"(6342, 13, 1682)",1.0,"[({(6342, 13, 202)}, -1.1591435028039723, 'baseline'), ({(6342, 13, 834)}, -1.197837312454561, 'baseline'), ({(6342, 13, 1046)}, -1.2039355726922631, 'baseline'), ({(6342, 13, 1934)}, -1.2049646528527131, 'baseline'), ({(6342, 13, 27)}, -1.2147951177090381, 'baseline'), ({(6342, 13, 2282)}, -1.2193020507117636, 'baseline'), ({(6342, 13, 119)}, -1.2479242956041614, 'baseline'), ({(6342, 13, 92)}, -1.2587838889303873, 'baseline'), ({(6342, 13, 2410)}, -1.2905272598177837, 'baseline'), ({(6342, 13, 1361)}, -1.2936044211757427, 'baseline')]",5.9206314,[6.279575],[1],1,6.279575,"[(1682, 58, 202), (6342, 13, 202)]"
3,"(12508, 17, 2123)",1.0,"[({(12508, 43, 141)}, -0.7143729006555778, 'baseline'), ({(12508, 17, 60)}, -0.7500196922373786, 'baseline'), ({(12508, 17, 1002)}, -0.7543605136383137, 'baseline'), ({(12508, 17, 2424)}, -0.9298404247114788, 'baseline'), ({(12508, 41, 138)}, -1.0518543173893775, 'baseline'), ({(12508, 41, 139)}, -1.2322239472391783, 'baseline'), ({(138, 42, 12508)}, -1.3665963743248237, 'baseline'), ({(1374, 20, 12508)}, -1.5248650699026876, 'baseline'), ({(2815, 20, 12508)}, -1.652104005055096, 'baseline'), ({(7160, 20, 12508)}, -1.7115138927850597, 'baseline')]",6.6341934,[6.785818],[1],1,6.785818,"[(12508, 43, 141), (7323, 17, 2123), (7323, 43, 141)]"
2,"(2457, 13, 382)",1.0,"[({(2457, 34, 90)}, -0.9851813056497452, 'baseline'), ({(2457, 28, 32)}, -1.0632388653886347, 'baseline'), ({(2457, 13, 1080)}, -1.1877336258585542, 'baseline'), ({(2457, 13, 637)}, -1.2084267939800717, 'baseline'), ({(2457, 13, 32)}, -1.2397516936740953, 'baseline'), ({(2457, 13, 181)}, -1.2426053066331935, 'baseline'), ({(2457, 13, 119)}, -1.2809214689378188, 'baseline'), ({(2457, 13, 1046)}, -1.3533792186299958, 'baseline'), ({(2457, 13, 308)}, -1.3635065318108313, 'baseline'), ({(2457, 13, 853)}, -1.4103374950149108, 'baseline')]",6.046425,[5.793418],[1],1,5.793418,"[(2457, 34, 90), (382, 234, 90)]"
3,"(7327, 17, 215)",1.0,"[({(7327, 85, 434)}, -0.23925192612386595, 'baseline'), ({(7327, 43, 141)}, -0.26448962887694594, 'baseline'), ({(7327, 48, 32)}, -0.4379199708943294, 'baseline'), ({(7327, 17, 393)}, -0.5184031345230768, 'baseline'), ({(7327, 100, 160)}, -0.5466046685827229, 'baseline'), ({(7327, 17, 862)}, -0.6257346102383828, 'baseline'), ({(7327, 82, 1771)}, -0.6467962402120636, 'baseline'), ({(7327, 19, 2998)}, -1.5692774594023993, 'baseline'), ({(7327, 19, 1974)}, -1.7215664112596916, 'baseline'), ({(53, 22, 7327)}, -1.7414569448294548, 'baseline')]",6.6937075,[6.634901],[1],1,6.634901,"[(7327, 85, 434), (9660, 85, 434), (9660, 17, 215)]"
3,"(1127, 10, 6315)",3.0,"[({(1127, 10, 6066)}, -0.7846758469467328, 'baseline'), ({(1127, 10, 4121)}, -0.8013994152238872, 'baseline'), ({(1127, 10, 468)}, -0.8148360090656246, 'baseline'), ({(670, 19, 1127)}, -1.4381002379757954, 'baseline'), ({(1127, 7, 1608)}, -1.6266800414707183, 'baseline'), ({(1127, 47, 670)}, -1.6412337199207743, 'baseline'), ({(1127, 7, 2758)}, -1.6602244463237976, 'baseline'), ({(1127, 7, 296)}, -1.6628273041427755, 'baseline'), ({(1127, 7, 4600)}, -1.6928984952899946, 'baseline'), ({(1127, 7, 440)}, -1.6948799249926059, 'baseline')]",6.301168,[6.134806],[3],1,6.134806,"[(1127, 10, 6066), (5136, 10, 6066), (5136, 10, 6315)]"
3,"(8758, 19, 1724)",1.0,"[({(8758, 19, 4418)}, -0.7296062002893272, 'baseline'), ({(8758, 6, 4975)}, -1.1652176725400425, 'baseline'), ({(8758, 82, 8686)}, -1.3086361205440993, 'baseline'), ({(8758, 48, 1928)}, -1.460613041668433, 'baseline'), ({(8758, 43, 141)}, -1.5010555167606112, 'baseline'), ({(7015, 192, 8758)}, -1.5019259558632578, 'baseline'), ({(8758, 192, 7015)}, -1.506201924437529, 'baseline'), ({(11663, 165, 8758)}, -1.578580018842705, 'baseline'), ({(8758, 82, 8759)}, -1.5979848381074049, 'baseline'), ({(8758, 17, 862)}, -1.8559018516284829, 'baseline')]",7.7758446,[7.415217],[1],1,7.415217,"[(1724, 47, 9918), (9918, 19, 4418), (8758, 19, 4418)]"
3,"(9376, 25, 62)",1.0,"[({(9376, 124, 2846)}, -0.5859404705202935, 'baseline'), ({(9376, 61, 2940)}, -0.9694932989411412, 'baseline'), ({(9376, 61, 3360)}, -1.4555684836670784, 'baseline'), ({(9376, 166, 5422)}, -1.549268877864189, 'baseline'), ({(9376, 101, 6590)}, -1.5596191730573241, 'baseline'), ({(9376, 108, 5422)}, -1.593528077362454, 'baseline'), ({(3830, 63, 9376)}, -2.337628149043961, 'baseline'), ({(9376, 101, 8681)}, -2.4070792340407876, 'baseline')]",7.0566015,[7.12545],[1],1,7.12545,"[(9376, 124, 2846), (12908, 124, 2846), (12908, 25, 62)]"
3,"(1658, 26, 990)",1.0,"[({(1658, 34, 90)}, -0.6382969834918959, 'baseline'), ({(1658, 28, 32)}, -0.6794168861302182, 'baseline'), ({(1658, 26, 342)}, -0.698184636944346, 'baseline'), ({(1658, 31, 4)}, -0.9090407478727863, 'baseline'), ({(1658, 31, 657)}, -1.1827445930397715, 'baseline'), ({(1658, 31, 1130)}, -1.5316949480549915, 'baseline'), ({(3552, 6, 1658)}, -1.8802805701969518, 'baseline'), ({(4362, 6, 1658)}, -1.8841892348122884, 'baseline'), ({(982, 7, 1658)}, -1.9519794470143352, 'baseline'), ({(9608, 6, 1658)}, -1.9708352596959655, 'baseline')]",6.9488378,[7.0905185],[1],1,7.0905185,"[(1658, 34, 90), (9470, 26, 990), (9470, 34, 90)]"
2,"(3577, 48, 32)",1.0,"[({(3577, 66, 3796)}, -1.2852457735438336, 'baseline'), ({(4877, 22, 3577)}, -1.5948534915252413, 'baseline'), ({(3577, 38, 364)}, -1.8025532794520414, 'baseline'), ({(3577, 6, 5432)}, -1.8759938172762438, 'baseline'), ({(3577, 66, 4986)}, -1.9750086049269275, 'baseline'), ({(3577, 8, 988)}, -2.2208876482121997, 'baseline'), ({(3577, 8, 2380)}, -2.3803869306940326, 'baseline'), ({(3577, 3, 2891)}, -2.414277964422457, 'baseline'), ({(3577, 3, 6082)}, -2.6085650249148316, 'baseline'), ({(6081, 8, 3577)}, -2.620690146377107, 'baseline')]",6.6759186,[6.5608926],[1],1,6.5608926,"[(32, 15, 3796), (3577, 66, 3796)]"
2,"(2016, 17, 60)",3.0,"[({(2016, 196, 4688)}, -1.5138404224295645, 'baseline'), ({(2016, 45, 4688)}, -1.811075599840581, 'baseline'), ({(792, 8, 2016)}, -1.9287478406974017, 'baseline'), ({(2016, 8, 4325)}, -1.932920655509404, 'baseline'), ({(2016, 3, 4325)}, -1.9868123387841248, 'baseline'), ({(4325, 8, 2016)}, -2.007919975851042, 'baseline'), ({(1920, 21, 2016)}, -2.032796253342413, 'baseline'), ({(4325, 3, 2016)}, -2.0409012780925657, 'baseline'), ({(7578, 8, 2016)}, -2.062305119037757, 'baseline'), ({(8501, 164, 2016)}, -2.0875241954396766, 'baseline')]",6.498813,[6.3282228],[3],1,6.3282228,"[(2016, 196, 4688), (4688, 17, 60)]"
2,"(5605, 17, 862)",1.0,"[({(5605, 17, 1192)}, -0.752828901712777, 'baseline'), ({(5605, 45, 7550)}, -1.70154926863546, 'baseline'), ({(5605, 123, 3441)}, -1.778493144163137, 'baseline'), ({(5605, 77, 1686)}, -1.8276669538395849, 'baseline'), ({(5605, 123, 8435)}, -1.8350391554792747, 'baseline'), ({(5605, 45, 5293)}, -1.9108339605639855, 'baseline'), ({(5605, 77, 5293)}, -1.9173733350320064, 'baseline'), ({(5605, 123, 1471)}, -2.0113604317908953, 'baseline'), ({(5605, 77, 4684)}, -2.0319443183498676, 'baseline'), ({(5605, 45, 5194)}, -2.0969941228662172, 'baseline')]",6.5098124,[6.366884],[1],1,6.366884,"[(1192, 181, 862), (5605, 17, 1192)]"
3,"(7019, 11, 23)",1.0,"[({(7019, 14, 160)}, -0.12417888827166745, 'baseline'), ({(7019, 26, 64)}, -0.4716819328207765, 'baseline'), ({(7019, 26, 1098)}, -0.49864509201401896, 'baseline'), ({(7019, 26, 342)}, -0.5381091143286157, 'baseline'), ({(7019, 31, 163)}, -0.6179121461259498, 'baseline'), ({(7019, 26, 1881)}, -0.6597489442100437, 'baseline'), ({(7019, 28, 1080)}, -0.8063375978783613, 'baseline'), ({(7019, 31, 84)}, -0.905386592614615, 'baseline'), ({(7019, 184, 6110)}, -0.9085749258296417, 'baseline'), ({(7019, 28, 158)}, -1.0154239884248957, 'baseline')]",8.85631,[9.28645],[1],1,9.28645,"[(10359, 11, 23), (10359, 14, 160), (7019, 14, 160)]"
3,"(868, 26, 342)",1.0,"[({(868, 34, 90)}, -0.6324874509515077, 'baseline'), ({(868, 14, 160)}, -0.6492577995174423, 'baseline'), ({(868, 28, 32)}, -0.6739769407616731, 'baseline'), ({(868, 26, 1098)}, -0.695003074972811, 'baseline'), ({(868, 26, 64)}, -0.6972368869898686, 'baseline'), ({(868, 28, 382)}, -0.9590657314315193, 'baseline'), ({(868, 14, 5334)}, -1.0691779330710385, 'baseline'), ({(868, 106, 249)}, -1.1488259686660076, 'baseline'), ({(868, 26, 3054)}, -1.3586478498502077, 'baseline'), ({(868, 13, 637)}, -1.411247927778747, 'baseline')]",7.565317,[7.458063],[1],1,7.458063,"[(868, 34, 90), (9470, 26, 342), (9470, 34, 90)]"
3,"(3116, 11, 23)",1.0,"[({(3116, 14, 160)}, -0.12417888827166745, 'baseline'), ({(3116, 31, 4)}, -0.4577755824684077, 'baseline'), ({(3116, 13, 32)}, -0.4668899685119985, 'baseline'), ({(3116, 30, 1501)}, -1.3179834530026657, 'baseline'), ({(3116, 31, 7999)}, -1.4938990663845586, 'baseline'), ({(1642, 32, 3116)}, -1.6163833105959153, 'baseline'), ({(467, 7, 3116)}, -1.7779454890469626, 'baseline'), ({(3116, 109, 6850)}, -1.8190704414410586, 'baseline'), ({(1250, 7, 3116)}, -1.8695643405869706, 'baseline'), ({(7999, 2, 3116)}, -1.9436144346179172, 'baseline')]",7.8973103,[8.000542],[1],1,8.000542,"[(3116, 14, 160), (10359, 11, 23), (10359, 14, 160)]"
3,"(3481, 13, 1934)",3.0,"[({(3481, 13, 202)}, -1.1990505580735482, 'baseline'), ({(3481, 13, 27)}, -1.2058947698959093, 'baseline'), ({(3481, 13, 637)}, -1.2095877045832468, 'baseline'), ({(3481, 203, 5143)}, -1.2097143349292856, 'baseline'), ({(3481, 14, 160)}, -1.2204697719557671, 'baseline'), ({(3481, 34, 90)}, -1.2412122302327688, 'baseline'), ({(3481, 13, 2282)}, -1.273816852864764, 'baseline'), ({(3481, 13, 1080)}, -1.2741992924083168, 'baseline'), ({(3481, 13, 2410)}, -1.2898933085569197, 'baseline'), ({(3481, 13, 449)}, -1.2900229283083473, 'baseline')]",6.271813,[5.943004],[3],1,5.943004,"[(3481, 13, 202), (9894, 163, 1934), (9894, 131, 202)]"
3,"(6848, 28, 32)",1.0,"[({(6848, 11, 23)}, -0.13963066023181614, 'baseline'), ({(6848, 28, 382)}, -0.781816086027194, 'baseline'), ({(6848, 86, 742)}, -0.798305478922696, 'baseline'), ({(6848, 86, 87)}, -1.2905300965075908, 'baseline'), ({(6848, 31, 3248)}, -1.5733281858672776, 'baseline'), ({(6848, 31, 2461)}, -1.6023524090314716, 'baseline'), ({(2961, 6, 6848)}, -1.6396317988294025, 'baseline'), ({(7785, 6, 6848)}, -1.6600077246634697, 'baseline'), ({(8210, 6, 6848)}, -1.699850742283446, 'baseline'), ({(5137, 6, 6848)}, -1.7100499278875738, 'baseline')]",7.389966,[7.377451],[1],1,7.377451,"[(6848, 11, 23), (10026, 11, 23), (10026, 13, 32)]"
3,"(6079, 220, 8450)",2.0,"[({(6079, 220, 6386)}, -0.1944080306114191, 'baseline'), ({(6079, 220, 4005)}, -0.2309673964107927, 'baseline'), ({(6079, 148, 7018)}, -0.5280178567759058, 'baseline'), ({(6079, 148, 1264)}, -0.5542964733740563, 'baseline'), ({(6079, 148, 6025)}, -0.5643906843574126, 'baseline'), ({(6079, 148, 2034)}, -0.5648838754227818, 'baseline'), ({(6079, 148, 3021)}, -0.5757671190022247, 'baseline'), ({(6079, 148, 9623)}, -0.58433417934178, 'baseline'), ({(6079, 148, 1922)}, -0.5853198807728854, 'baseline'), ({(434, 161, 6079)}, -1.2647758028542355, 'baseline')]",8.157777,[8.131989],[2],1,8.131989,"[(13528, 220, 8450), (13528, 220, 6386), (6079, 220, 6386)]"
2,"(4592, 17, 818)",1.0,"[({(4592, 3, 750)}, -2.1122380029517647, 'baseline'), ({(4592, 8, 10076)}, -2.141336648766165, 'baseline'), ({(4592, 8, 7146)}, -2.1471375645153925, 'baseline'), ({(4592, 3, 316)}, -2.1528526981237333, 'baseline'), ({(4592, 8, 2246)}, -2.2074824732001557, 'baseline'), ({(4592, 3, 10076)}, -2.2077976470571605, 'baseline'), ({(4592, 3, 317)}, -2.2225897939845614, 'baseline'), ({(4592, 8, 2586)}, -2.2423854177029945, 'baseline'), ({(7146, 8, 4592)}, -2.3123875818638266, 'baseline'), ({(10076, 8, 4592)}, -2.31850998708954, 'baseline')]",5.790435,[5.40488],[1],1,5.40488,"[(4592, 3, 750), (750, 17, 818)]"
3,"(8007, 43, 141)",1.0,"[({(8007, 85, 434)}, 0.5980760345699644, 'baseline'), ({(8007, 48, 32)}, 0.24850546189809705, 'baseline'), ({(8007, 39, 150)}, -1.0218875591318417, 'baseline'), ({(8007, 17, 2044)}, -1.1267236305290214, 'baseline'), ({(8007, 19, 1060)}, -1.1317446806664198, 'baseline'), ({(8007, 19, 2167)}, -1.5854238755394292, 'baseline'), ({(8007, 38, 9171)}, -1.9296089477601837, 'baseline'), ({(1060, 47, 8007)}, -2.134619225786907, 'baseline'), ({(8007, 38, 7458)}, -2.134846017996573, 'baseline'), ({(9508, 183, 8007)}, -2.1623085979388383, 'baseline')]",7.8901253,[7.048147],[1],1,7.048147,"[(8007, 85, 434), (10702, 85, 434), (10702, 43, 141)]"
