prediction,new_scores,#facts,new_score,new_ranks,new_rank,original_score,original_rank,facts
"(9530, 48, 32)","[1.201164, 0.8068931]",1,1.0040286,"[1, 1]",1.0,8.240005,1,"[(9530, 17, 871)]"
"(7155, 25, 62)","[6.500036, 6.364096]",1,6.432066,"[1, 1]",1.0,15.6308975,3,"[(7155, 67, 911)]"
"(3861, 14, 160)","[0.1954813, 0.16404441]",1,0.17976286,"[1, 1]",1.0,2.8738413,1,"[(3861, 26, 1881)]"
"(1392, 43, 141)","[2.5313115, 3.790313]",1,3.1608124,"[2, 2]",2.0,9.411259,1,"[(6549, 88, 1392)]"
"(1897, 14, 160)","[0.21413276, 0.2089024]",1,0.21151757,"[2, 1]",1.5,4.157199,2,"[(1897, 12, 9802)]"
"(10238, 85, 434)","[1.3512328, 1.9366992]",1,1.643966,"[2, 2]",2.0,7.8994675,2,"[(10238, 19, 1759)]"
"(1432, 98, 8236)","[1.1684073, 1.2805102]",1,1.2244587,"[1, 1]",1.0,3.708118,1,"[(1432, 49, 5453)]"
"(8789, 17, 862)","[0.42969507, 0.3689318]",1,0.39931345,"[1, 1]",1.0,6.1907783,26,"[(9720, 77, 8789)]"
"(1259, 13, 202)","[0.21784732, 0.19870378]",1,0.20827556,"[1, 1]",1.0,4.5881968,7,"[(1259, 13, 92)]"
"(4819, 85, 434)","[1.3480518, 1.7639117]",1,1.5559818,"[1, 1]",1.0,7.894772,1,"[(4819, 82, 2456)]"
"(4123, 172, 1978)","[0.7701326, 0.8376722]",1,0.8039024,"[1, 1]",1.0,3.0339537,1,"[(4123, 101, 3135)]"
"(1309, 25, 62)","[4.7271795, 5.6237416]",1,5.175461,"[1, 1]",1.0,12.2361145,1,"[(1308, 66, 1309)]"
"(3866, 28, 274)","[0.5813515, 0.61955595]",1,0.60045373,"[21, 33]",27.0,5.9332037,14,"[(3866, 13, 32)]"
"(8425, 124, 4722)","[0.48382393, 0.94066477]",1,0.71224433,"[1, 4]",2.5,3.366718,5,"[(8425, 166, 90)]"
"(11039, 43, 141)","[1.0413307, 0.6218764]",1,0.8316035,"[2, 2]",2.0,5.5954394,1,"[(4908, 47, 11039)]"
"(7474, 85, 434)","[2.0931413, 1.1166449]",1,1.6048931,"[2, 2]",2.0,9.356104,3,"[(6912, 47, 7474)]"
"(1431, 91, 494)","[0.6245726, 0.56741923]",1,0.5959959,"[1, 1]",1.0,4.5499496,1,"[(675, 38, 1431)]"
"(1598, 26, 342)","[0.20719236, 0.1836762]",1,0.19543427,"[1, 2]",1.5,4.9227076,4,"[(1598, 13, 816)]"
"(6433, 85, 434)","[1.8655089, 0.6835203]",1,1.2745147,"[1, 1]",1.0,8.570226,1,"[(6433, 102, 12546)]"
"(1956, 98, 8986)","[1.6694436, 1.4371121]",1,1.5532779,"[2, 2]",2.0,3.3958833,1,"[(1956, 98, 11218)]"
"(7729, 43, 141)","[1.0485442, 0.7855748]",1,0.9170595,"[1, 1]",1.0,6.228981,1,"[(7729, 85, 1665)]"
"(4282, 25, 62)","[1.548281, 1.4416599]",1,1.4949704,"[1, 1]",1.0,13.760386,1,"[(4282, 116, 527)]"
"(5958, 13, 308)","[0.17233999, 0.22791635]",1,0.20012817,"[5, 7]",6.0,2.5320902,19,"[(5958, 13, 2046)]"
"(9448, 0, 4494)","[1.0100012, 0.4430359]",1,0.7265185,"[3, 1]",2.0,2.8390942,1,"[(434, 161, 9448)]"
"(7349, 11, 23)","[0.21064085, 0.20285091]",1,0.20674588,"[1, 1]",1.0,5.4507256,2,"[(13785, 59, 7349)]"
"(4270, 14, 160)","[0.24401994, 0.35459238]",1,0.29930615,"[2, 3]",2.5,5.48673,1,"[(6638, 97, 4270)]"
"(5563, 34, 90)","[0.22839683, 0.22854334]",1,0.22847009,"[1, 1]",1.0,3.426412,1,"[(5563, 31, 8400)]"
"(1174, 60, 90)","[0.1710786, 0.24132662]",1,0.20620261,"[1, 1]",1.0,5.8760414,1,"[(941, 84, 1174)]"
"(7448, 43, 141)","[1.7293427, 1.2209771]",1,1.4751599,"[1, 2]",1.5,14.561535,2102,"[(441, 32, 7448)]"
"(12589, 43, 141)","[2.358285, 1.5126325]",1,1.9354587,"[2, 1]",1.5,8.304846,1,"[(12589, 19, 1654)]"
"(2302, 60, 90)","[0.17992207, 0.23574337]",2,0.20783272,"[1, 1]",1.0,3.670332,1,"[(2302, 6, 7019), (2302, 48, 32)]"
