new_scores,facts,new_ranks,prediction,new_score,new_rank,original_score,original_rank,#facts
"[0.04736485332250595, 0.04131190851330757]","[(14940, 1, 5927), (12227, 1, 14940), (14940, 5, 2939)]","[5, 6]","(14940, 1, 12227)",0.04433838091790676,5.5,0.8385334610939026,1,3
"[0.003531089751049876, 0.011820899322628975]","[(8019, 1, 2949), (2949, 1, 2948), (2949, 1, 9188)]","[58, 6]","(2949, 1, 8019)",0.0076759945368394256,32.0,0.8824633359909058,1,3
"[0.15401753783226013, 0.07004579156637192]","[(15729, 0, 3362), (15729, 1, 31425), (15729, 1, 16455)]","[2, 6]","(15729, 1, 12999)",0.11203166469931602,4.0,0.19728238880634308,1,3
"[8.325513590534683e-06, 0.00015704087854828686]","[(18592, 1, 20124), (25202, 0, 20124), (16684, 0, 20124)]","[37373, 1823]","(20124, 1, 18592)",8.268319606941077e-05,19598.0,0.9615100622177124,1,3
"[0.00021692780137527734, 0.00019711226923391223]","[(23468, 1, 9661), (23468, 1, 16843), (1116, 1, 23468)]","[1487, 2139]","(23468, 1, 1116)",0.00020702003530459478,1813.0,0.9318868517875671,1,3
"[0.0002872599579859525, 0.00018512138922233135]","[(9535, 4, 9536), (9536, 4, 35483)]","[6, 10]","(9536, 0, 265)",0.00023619067360414192,8.0,0.6587778329849243,1,2
"[0.05773153528571129, 0.04766400158405304]","[(1419, 1, 19671), (1419, 1, 1418), (22014, 1, 1419)]","[5, 6]","(1419, 1, 22014)",0.052697768434882164,5.5,0.8030797243118286,1,3
"[0.28252944350242615, 0.5720558166503906]","[(16918, 1, 16476), (16918, 1, 6789), (2507, 1, 16918)]","[3, 3]","(16918, 1, 2507)",0.4272926300764084,3.0,0.9153757691383362,1,3
"[0.00018224910309072584, 9.583921928424388e-05]","[(20726, 1, 12356), (12356, 1, 12355), (12355, 1, 12356)]","[2390, 7122]","(12356, 1, 20726)",0.00013904416118748486,4756.0,0.8214631676673889,1,3
"[2.3735461581964046e-05, 0.00013106079131830484]","[(31721, 1, 7056), (24228, 1, 31721), (7056, 1, 31721)]","[24267, 4022]","(31721, 1, 24228)",7.739812645013444e-05,14144.5,0.8690681457519531,1,3
"[0.0001125453200074844, 3.708315853145905e-05]","[(20572, 1, 7982), (7982, 3, 14618), (14618, 3, 7982)]","[1672, 17083]","(7982, 1, 20572)",7.481423926947173e-05,9377.5,0.9877474308013916,1,3
"[4.263640948920511e-05, 5.904846329940483e-05]","[(21273, 4, 27089)]","[1007, 275]","(27089, 0, 25460)",5.084243639430497e-05,641.0,0.5863993167877197,1,1
"[5.922757554799318e-05, 7.665412704227492e-05]","[(39891, 1, 20097), (20097, 1, 14699), (20097, 1, 11870)]","[13494, 9597]","(20097, 1, 39891)",6.794085129513405e-05,11545.5,0.9519976377487183,1,3
"[9.478166612097993e-05, 8.905374852474779e-05]","[(21041, 1, 522), (522, 1, 6484), (522, 1, 4393)]","[7380, 5818]","(522, 1, 21041)",9.191770732286386e-05,6599.0,0.9422932267189026,1,3
"[1.0764838407339994e-05, 1.5620993508491665e-05]","[(26855, 1, 26856), (26856, 0, 4469), (9579, 0, 26856)]","[6603, 8518]","(26856, 1, 26855)",1.319291595791583e-05,7560.5,0.9746934175491333,1,3
"[1.3644610589835793e-05, 2.006661452469416e-05]","[(38175, 1, 29520), (29520, 0, 29521)]","[3396, 4372]","(29520, 1, 38175)",1.6855612557264976e-05,3884.0,0.9498961567878723,1,2
"[8.074378456512932e-06, 7.109471880539786e-06]","[(2643, 1, 11856), (11856, 0, 15035), (11856, 6, 10189)]","[13847, 31450]","(11856, 1, 2643)",7.591925168526359e-06,22648.5,0.9860931038856506,1,3
"[0.9862339496612549, 0.986512303352356]","[(6787, 1, 11298), (6787, 1, 6855), (6787, 1, 6786)]","[2, 3]","(6787, 1, 26217)",0.9863731265068054,2.5,0.867676854133606,1,3
"[0.0012624519877135754, 0.0008623118628747761]","[(3136, 1, 3137), (16161, 1, 3136), (3137, 1, 3136)]","[182, 580]","(3136, 1, 16161)",0.0010623819252941757,381.0,0.92377108335495,1,3
"[0.3625481128692627, 0.26927265524864197]","[(22752, 1, 25306), (22752, 1, 2392), (11603, 1, 22752)]","[4, 4]","(22752, 1, 11603)",0.31591038405895233,4.0,0.9543496966362,1,3
"[0.0007247708272188902, 0.01487442571669817]","[(19068, 1, 8742), (8742, 1, 9355), (8742, 1, 1897)]","[672, 15]","(8742, 1, 19068)",0.00779959827195853,343.5,0.9776057600975037,1,3
"[6.365250010276213e-05, 0.0003439574793446809]","[(20944, 1, 2994), (2415, 1, 20944), (2994, 1, 20944)]","[15286, 1573]","(20944, 1, 2415)",0.00020380498972372152,8429.5,0.8592720627784729,1,3
"[2.228162884421181e-06, 1.498128222010564e-05]","[(15794, 9, 16624), (16624, 1, 15793), (15793, 1, 16624)]","[33188, 4692]","(16624, 9, 15794)",8.60472255226341e-06,18940.0,0.9656851887702942,1,3
"[0.8223311305046082, 0.7451935410499573]","[(15588, 1, 27163), (15588, 1, 14064), (15588, 1, 25865)]","[3, 4]","(15588, 1, 15587)",0.7837623357772827,3.5,0.9287481307983398,1,3
"[0.0021836855448782444, 0.0005252630799077451]","[(8754, 1, 11316), (8754, 1, 7921), (4244, 1, 8754)]","[94, 987]","(8754, 1, 4244)",0.0013544743123929948,540.5,0.957123875617981,1,3
"[0.0002694169816095382, 0.00010482707148185]","[(17578, 1, 3300), (8885, 1, 17578), (3300, 1, 17578)]","[779, 6299]","(17578, 1, 8885)",0.0001871220265456941,3539.0,0.8962762355804443,1,3
"[0.07119882106781006, 0.12217890471220016]","[(30007, 2, 916), (20016, 4, 30007), (13030, 6, 30007)]","[1, 1]","(30007, 2, 121)",0.09668886289000511,1.0,0.23917707800865173,1,3
"[4.776520290761255e-05, 0.00036208415986038744]","[(18755, 1, 24115), (24115, 1, 2300), (2300, 1, 24115)]","[5921, 303]","(24115, 1, 18755)",0.000204924681384,3112.0,0.970401406288147,1,3
"[0.04149600863456726, 0.10025714337825775]","[(8574, 1, 12655), (8574, 1, 814), (8573, 1, 8574)]","[4, 4]","(8574, 1, 8573)",0.0708765760064125,4.0,0.8929891586303711,1,3
"[6.535268039442599e-05, 6.382378342095762e-05]","[(29649, 1, 11590), (11590, 1, 11589), (11590, 1, 24520)]","[12543, 11545]","(11590, 1, 29649)",6.45882319076918e-05,12044.0,0.8879063725471497,1,3
"[0.42044851183891296, 0.23756098747253418]","[(15028, 1, 21701), (15028, 1, 6422), (16314, 1, 15028)]","[3, 4]","(15028, 1, 16314)",0.32900474965572357,3.5,0.9558466672897339,1,3
"[0.9055635333061218, 0.9171361923217773]","[(6572, 1, 15712), (6572, 1, 3377), (6572, 1, 11955)]","[3, 2]","(6572, 1, 6944)",0.9113498628139496,2.5,0.8736011981964111,1,3
"[0.0010823223274201155, 0.006227262783795595]","[(19504, 1, 21993), (21993, 1, 24827), (21993, 1, 27075)]","[394, 44]","(21993, 1, 19504)",0.0036547925556078553,219.0,0.8004068732261658,1,3
"[0.00044577897642739117, 0.00020101373957004398]","[(13829, 1, 4185), (4221, 1, 4185), (4185, 0, 608)]","[656, 2224]","(4185, 1, 13829)",0.0003233963579987176,1440.0,0.8398572206497192,1,3
"[1.2710452210740186e-05, 7.57353518565651e-06]","[(6657, 1, 18566), (12281, 0, 18566), (18566, 0, 13714)]","[4103, 30000]","(18566, 1, 6657)",1.0141993698198348e-05,17051.5,0.956963837146759,1,3
"[9.408901860297192e-06, 1.5930769222904928e-05]","[(11565, 1, 29689), (29689, 0, 12731)]","[9926, 8077]","(29689, 1, 11565)",1.266983554160106e-05,9001.5,0.9941294193267822,1,2
"[0.00010240799747407436, 5.669768506777473e-05]","[(39790, 1, 137), (136, 6, 137), (20423, 6, 137)]","[4816, 9977]","(137, 1, 39790)",7.955284127092455e-05,7396.5,0.9594130516052246,1,3
"[0.9207453727722168, 0.9334291219711304]","[(3291, 1, 8103), (3291, 1, 25943), (3291, 1, 11874)]","[2, 3]","(3291, 1, 20544)",0.9270872473716736,2.5,0.9723116159439087,1,3
"[0.009065843187272549, 0.0015587868401780725]","[(13298, 1, 6415), (13298, 1, 1848), (26814, 1, 13298)]","[11, 88]","(13298, 1, 26814)",0.0053123150137253106,49.5,0.9403150677680969,1,3
"[0.978097140789032, 0.945874810218811]","[(2502, 1, 14905), (2502, 1, 10452), (2502, 1, 2503)]","[2, 4]","(2502, 1, 20104)",0.9619859755039215,3.0,0.9245367050170898,1,3
"[0.005953805986791849, 0.019835274666547775]","[(8390, 1, 14834), (14834, 0, 11439), (14834, 1, 1690)]","[20, 9]","(14834, 1, 5110)",0.012894540326669812,14.5,0.41509827971458435,1,3
"[0.9311345815658569, 0.9310218095779419]","[(4225, 1, 22136), (4225, 1, 4226), (4225, 1, 3916)]","[1, 2]","(4225, 1, 13633)",0.9310781955718994,1.5,0.9296045303344727,1,3
"[3.373497384018265e-05, 2.4842443963279948e-05]","[(4747, 5, 3149)]","[2225, 5815]","(4747, 0, 22951)",2.9288708901731297e-05,4020.0,0.09593500196933746,1,1
"[1.1115151210105978e-05, 3.612563159549609e-05]","[(20593, 1, 25852), (25852, 0, 4103), (20592, 6, 25852)]","[6010, 740]","(25852, 1, 20593)",2.3620391402801033e-05,3375.0,0.9246744513511658,1,3
"[0.967007040977478, 0.8799723386764526]","[(3453, 1, 31080), (3453, 1, 3452), (3453, 1, 12867)]","[1, 4]","(3453, 1, 18417)",0.9234896898269653,2.5,0.9354263544082642,1,3
"[0.00014017155626788735, 0.00013940151256974787]","[(33665, 1, 22848), (22848, 1, 22847), (22847, 1, 22848)]","[606, 963]","(22848, 1, 33665)",0.0001397865344188176,784.5,0.8634375929832458,1,3
"[0.40777355432510376, 0.4201515018939972]","[(15028, 1, 21701), (15028, 1, 6422), (5116, 1, 15028)]","[3, 4]","(15028, 1, 5116)",0.4139625281095505,3.5,0.9404630661010742,1,3
"[5.681860329787014e-06, 2.622675856400747e-05]","[(19664, 1, 6144), (6144, 0, 765)]","[23781, 2001]","(6144, 1, 19664)",1.595430944689724e-05,12891.0,0.9744139909744263,1,2
"[5.495444838743424e-06, 8.222212272812612e-06]","[(15106, 1, 15107), (15107, 0, 24077)]","[24752, 27986]","(15107, 1, 15106)",6.858828555778018e-06,26369.0,0.9725252389907837,1,2
"[0.0007697538821958005, 0.0005542516591958702]","[(10360, 1, 758), (758, 1, 10107), (758, 1, 865)]","[620, 745]","(758, 1, 10360)",0.0006620027706958354,682.5,0.9631841778755188,1,3
"[5.5819833505665883e-05, 5.7003395340871066e-05]","[(24179, 1, 24178), (10508, 1, 24179), (24178, 1, 24179)]","[7526, 6787]","(24179, 1, 10508)",5.6411614423268475e-05,7156.5,0.9073452353477478,1,3
"[1.54819390445482e-05, 0.00024413756909780204]","[(21981, 9, 9303), (26627, 1, 9303), (9303, 5, 6166)]","[26920, 1762]","(9303, 9, 21981)",0.00012980975407117512,14341.0,0.9587638974189758,1,3
"[0.00039731801371090114, 0.0005725231603719294]","[(33711, 5, 9528), (33711, 0, 21113)]","[122, 68]","(33711, 5, 19257)",0.0004849205870414153,95.0,0.28957507014274597,1,2
"[1.4504500541079324e-05, 9.066249731404241e-06]","[(33545, 1, 18247), (18247, 0, 9486)]","[2793, 25330]","(18247, 1, 33545)",1.1785375136241782e-05,14061.5,0.9478031992912292,1,2
"[0.0006422884180210531, 0.0006096839788369834]","[(20114, 6, 20115), (12790, 8, 20115)]","[21, 36]","(20115, 2, 2580)",0.0006259861984290183,28.5,0.19860407710075378,1,2
"[5.965144737274386e-05, 0.00011741787602659315]","[(15927, 1, 23239), (23239, 1, 1786), (1786, 1, 23239)]","[14185, 4357]","(23239, 1, 15927)",8.85346616996685e-05,9271.0,0.9537962079048157,1,3
"[4.5925444283057004e-05, 0.000664438062813133]","[(18054, 1, 13338), (13338, 1, 13339), (9357, 1, 13338)]","[16107, 619]","(13338, 1, 18054)",0.000355181753548095,8363.0,0.926688015460968,1,3
"[0.9179443717002869, 0.9619335532188416]","[(865, 1, 9806), (865, 1, 5214), (865, 1, 22330)]","[4, 1]","(865, 1, 17946)",0.9399389624595642,2.5,0.8343851566314697,1,3
"[6.178430794534506e-06, 3.345994628034532e-05]","[(2443, 1, 12141), (12141, 0, 3556)]","[21444, 961]","(12141, 1, 2443)",1.9819188537439913e-05,11202.5,0.9717803597450256,1,2
"[2.477839416314964e-06, 4.018619165435666e-06]","[(6242, 1, 27198), (19791, 9, 27198), (27198, 9, 19791)]","[37088, 38140]","(27198, 1, 6242)",3.248229290875315e-06,37614.0,0.9874051213264465,1,3
"[0.0005003506666980684, 0.0026923632249236107]","[(33234, 2, 4090)]","[27, 7]","(33234, 2, 2524)",0.0015963569458108395,17.0,0.04805701971054077,1,1
"[0.00015532190445810556, 0.0008555015083402395]","[(18272, 1, 170), (19427, 1, 18272), (170, 1, 18272)]","[1668, 127]","(18272, 1, 19427)",0.0005054117063991725,897.5,0.9453070163726807,1,3
"[1.2439413694664836e-05, 3.132982601528056e-05]","[(23961, 5, 6776)]","[28332, 2588]","(23961, 0, 6776)",2.1884619854972698e-05,15460.0,0.72646164894104,1,1
"[0.8742355108261108, 0.8617700338363647]","[(3072, 1, 2011), (3072, 1, 3073), (3072, 1, 17453)]","[1, 3]","(3072, 1, 15159)",0.8680027723312378,2.0,0.8955927491188049,1,3
"[0.003888541366904974, 0.01134280115365982]","[(7117, 1, 25743), (8643, 1, 7117), (25743, 1, 7117)]","[12, 4]","(7117, 1, 8643)",0.007615671260282397,8.0,0.94145667552948,1,3
"[0.9812049865722656, 0.9853819608688354]","[(6813, 1, 32633), (6813, 1, 15174), (32633, 1, 6813)]","[2, 2]","(6813, 1, 5175)",0.9832934737205505,2.0,0.9172292351722717,1,3
"[0.9941397905349731, 0.9723230004310608]","[(4666, 1, 16479), (4666, 1, 18098), (4666, 1, 6717)]","[3, 4]","(4666, 1, 4665)",0.983231395483017,3.5,0.9331414699554443,1,3
"[0.9114125967025757, 0.8063223958015442]","[(11813, 1, 229), (11813, 1, 11814), (11813, 1, 230)]","[2, 3]","(11813, 1, 30361)",0.8588674962520599,2.5,0.9786085486412048,1,3
"[0.9127376079559326, 0.9318107962608337]","[(11366, 1, 42), (11366, 1, 16023), (11366, 1, 4958)]","[2, 2]","(11366, 1, 26527)",0.9222742021083832,2.0,0.8748989105224609,1,3
"[6.2174294725991786e-06, 9.261812920158263e-06]","[(22618, 1, 699), (699, 0, 14921), (699, 0, 700)]","[21273, 24663]","(699, 1, 22618)",7.739621196378721e-06,22968.0,0.9501182436943054,1,3
"[9.328846317657735e-06, 6.097633740864694e-05]","[(12684, 1, 22584), (22584, 0, 3362), (22584, 9, 22585)]","[32069, 7939]","(22584, 1, 12684)",3.515259186315234e-05,20004.0,0.969196081161499,1,3
"[0.04349856823682785, 0.06279262900352478]","[(3712, 1, 28826), (274, 1, 28826), (6595, 1, 28826)]","[1, 1]","(28826, 1, 3712)",0.053145598620176315,1.0,0.9186691641807556,1,3
"[1.5029807400424033e-05, 2.7425205189501867e-05]","[(16506, 1, 22728), (22728, 9, 34810)]","[2491, 1769]","(22728, 1, 16506)",2.122750629496295e-05,2130.0,0.978472113609314,1,2
"[0.9312334060668945, 0.9831826686859131]","[(4547, 1, 10478), (4547, 1, 15694), (4547, 1, 6104)]","[2, 1]","(4547, 1, 21674)",0.9572080373764038,1.5,0.9718466401100159,1,3
"[0.04231780767440796, 0.1448971927165985]","[(8310, 6, 8984), (8310, 6, 2349), (8310, 6, 22600)]","[34, 12]","(8310, 6, 12531)",0.09360750019550323,23.0,0.4837391674518585,1,3
"[1.8418318177282345e-06, 2.614871846162714e-06]","[(8641, 1, 19459), (19459, 0, 13984)]","[38637, 39738]","(19459, 1, 8641)",2.2283518319454743e-06,39187.5,0.974579930305481,1,2
"[0.007449803873896599, 0.005176187958568335]","[(17190, 1, 8831), (17190, 1, 22330), (757, 1, 17190)]","[44, 56]","(17190, 1, 757)",0.006312995916232467,50.0,0.8933057188987732,1,3
"[1.115963368647499e-05, 1.3509617019735742e-05]","[(28605, 1, 6067), (6067, 0, 4724)]","[5928, 12643]","(6067, 1, 28605)",1.2334625353105366e-05,9285.5,0.8763036727905273,1,2
"[0.8601550459861755, 0.9494816660881042]","[(3929, 1, 12915), (3929, 1, 19718), (3929, 1, 2716)]","[4, 2]","(3929, 1, 27247)",0.9048183560371399,3.0,0.9612560868263245,1,3
"[3.0736704502487555e-05, 0.0001201149498228915]","[(2887, 1, 2888), (2887, 1, 16075), (7436, 1, 2887)]","[24119, 8656]","(2887, 1, 7436)",7.542582716268953e-05,16387.5,0.9470379948616028,1,3
"[0.011646904982626438, 0.03302786871790886]","[(8734, 1, 2613), (1538, 1, 8734), (8733, 0, 8734)]","[16, 13]","(8734, 1, 1538)",0.02233738685026765,14.5,0.9375073909759521,1,3
"[6.773522909497842e-05, 2.1275387553032488e-05]","[(17492, 1, 26805), (20700, 1, 17492), (26805, 1, 17492)]","[8729, 28067]","(17492, 1, 20700)",4.4505308324005455e-05,18398.0,0.8671815395355225,1,3
"[1.7622931409277953e-05, 6.086137000238523e-05]","[(3648, 1, 8714), (3647, 1, 3648), (8714, 1, 3648)]","[21187, 2788]","(3648, 1, 3647)",3.924215070583159e-05,11987.5,0.9578153491020203,1,3
"[6.1804284996469505e-06, 7.707597433181945e-06]","[(35514, 1, 15168), (15168, 0, 4807)]","[21385, 29643]","(15168, 1, 35514)",6.944012966414448e-06,25514.0,0.949526846408844,1,2
"[0.0006346723530441523, 0.0006064622430130839]","[(4502, 6, 36622), (637, 8, 36622)]","[21, 36]","(36622, 2, 2580)",0.0006205672980286181,28.5,0.673927366733551,1,2
"[0.05545462667942047, 0.011921479366719723]","[(9780, 1, 3447), (3447, 1, 7044), (3447, 1, 2835)]","[6, 10]","(3447, 1, 9780)",0.0336880530230701,8.0,0.9036061763763428,1,3
"[8.631103992229328e-05, 0.00030771782621741295]","[(1038, 4, 34310), (34310, 4, 34311)]","[116, 2]","(34310, 0, 184)",0.0001970144330698531,59.0,0.5521760582923889,1,2
"[1.928872734424658e-05, 6.544909410877153e-05]","[(3858, 1, 4697), (3857, 1, 4697), (4697, 0, 1128)]","[25045, 9612]","(4697, 1, 3858)",4.236891072650906e-05,17328.5,0.8556263446807861,1,3
"[0.8958056569099426, 0.9350351691246033]","[(624, 1, 10480), (624, 1, 8099), (624, 1, 623)]","[4, 4]","(624, 1, 34337)",0.915420413017273,4.0,0.9748260378837585,1,3
"[0.09738533943891525, 0.045934341847896576]","[(14841, 1, 19445), (11642, 1, 14841), (14841, 1, 27207)]","[5, 6]","(14841, 1, 11642)",0.07165984064340591,5.5,0.9237152934074402,1,3
