new_score,new_ranks,new_rank,new_scores,prediction,original_score,exp,exp_length,original_rank,facts
8.039506,[1],1.0,[8.039506],"(2494, 85, 434)",8.090952,"[(434, 161, 1044), (434, 118, 774), (434, 161, 32), (434, 161, 10763), (434, 161, 532), (2494, 48, 32)]",6,1,"[([(2494, 48, 32), (434, 161, 10763)], 1.3161993, 'xrule'), ([(2494, 48, 32), (434, 118, 774)], 1.3139992, 'xrule'), ([(2494, 48, 32), (434, 161, 532)], 1.3077993, 'xrule'), ([(2494, 48, 32), (434, 161, 1044)], 1.2947998, 'xrule'), ([(2494, 48, 32), (434, 161, 32)], 1.2746, 'xrule')]"
7.585911,[1],1.0,[7.585911],"(5672, 26, 64)",7.616864,"[(4261, 26, 64), (4616, 26, 64), (5672, 13, 32), (2627, 17, 64), (5672, 28, 32), (503, 26, 64), (2212, 26, 64)]",7,1,"[([(5672, 28, 32), (5672, 13, 32), (4616, 26, 64)], 0.47520065, 'xrule'), ([(5672, 28, 32), (5672, 13, 32), (2627, 17, 64)], 0.47210026, 'xrule'), ([(5672, 28, 32), (5672, 13, 32), (2212, 26, 64)], 0.4590006, 'xrule'), ([(5672, 28, 32), (5672, 13, 32), (503, 26, 64)], 0.45180035, 'xrule'), ([(5672, 28, 32), (5672, 13, 32), (4261, 26, 64)], 0.4385004, 'xrule')]"
8.400024,[1],1.0,[8.400024],"(3350, 48, 32)",8.392536,"[(2642, 193, 32), (434, 161, 32), (3350, 24, 1327), (1327, 133, 32), (32, 15, 588), (32, 15, 1327), (10324, 160, 32)]",7,1,"[([(3350, 24, 1327), (10324, 160, 32)], 0.5976, 'xrule'), ([(3350, 24, 1327), (2642, 193, 32)], 0.5895996, 'xrule'), ([(3350, 24, 1327), (1327, 133, 32), (32, 15, 1327)], 0.58689976, 'xrule'), ([(3350, 24, 1327), (434, 161, 32)], 0.5848999, 'xrule'), ([(3350, 24, 1327), (32, 15, 588)], 0.57859993, 'xrule')]"
6.204803,[1],1.0,[6.204803],"(6933, 25, 62)",5.3587217,"[(2147, 25, 62), (6933, 133, 1124), (4242, 25, 62), (1124, 15, 6933), (5006, 25, 62), (796, 25, 62), (2872, 25, 62)]",7,1,"[([(6933, 133, 1124), (1124, 15, 6933), (4242, 25, 62)], 0.57019997, 'xrule'), ([(6933, 133, 1124), (1124, 15, 6933), (796, 25, 62)], 0.53499985, 'xrule'), ([(6933, 133, 1124), (1124, 15, 6933), (5006, 25, 62)], 0.5339999, 'xrule'), ([(6933, 133, 1124), (1124, 15, 6933), (2147, 25, 62)], 0.50719976, 'xrule'), ([(6933, 133, 1124), (1124, 15, 6933), (2872, 25, 62)], 0.4893999, 'xrule')]"
8.119651,[1],1.0,[8.119651],"(10762, 25, 62)",7.438649,"[(1080, 15, 10762), (90, 25, 62), (2361, 25, 62), (8587, 25, 62), (57, 25, 62), (4103, 25, 62)]",6,1,"[([(1080, 15, 10762), (8587, 25, 62)], 1.9501, 'xrule'), ([(1080, 15, 10762), (2361, 25, 62)], 1.9431996, 'xrule'), ([(1080, 15, 10762), (4103, 25, 62)], 1.9315996, 'xrule'), ([(1080, 15, 10762), (57, 25, 62)], 1.9301, 'xrule'), ([(1080, 15, 10762), (90, 25, 62)], 1.8885999, 'xrule')]"
7.3107777,[1],1.0,[7.3107777],"(1892, 26, 1098)",7.2906313,"[(3714, 26, 1098), (6502, 26, 1098), (1892, 28, 32), (503, 26, 1098), (4374, 26, 1098), (4897, 26, 1098)]",6,1,"[([(1892, 28, 32), (6502, 26, 1098)], 0.39080048, 'xrule'), ([(1892, 28, 32), (3714, 26, 1098)], 0.38510036, 'xrule'), ([(1892, 28, 32), (503, 26, 1098)], 0.38119984, 'xrule'), ([(1892, 28, 32), (4897, 26, 1098)], 0.3696003, 'xrule'), ([(1892, 28, 32), (4374, 26, 1098)], 0.36450005, 'xrule')]"
6.5206633,[1],1.0,[6.5206633],"(12508, 17, 2123)",6.6341934,"[(2541, 17, 2123), (138, 42, 12508), (2181, 17, 2123), (832, 17, 2123), (8359, 17, 2123), (12508, 41, 138), (6956, 17, 2123)]",7,1,"[([(12508, 41, 138), (138, 42, 12508), (2541, 17, 2123)], 0.42469978, 'xrule'), ([(12508, 41, 138), (138, 42, 12508), (6956, 17, 2123)], 0.40600014, 'xrule'), ([(12508, 41, 138), (138, 42, 12508), (8359, 17, 2123)], 0.40060043, 'xrule'), ([(12508, 41, 138), (138, 42, 12508), (2181, 17, 2123)], 0.3987999, 'xrule'), ([(12508, 41, 138), (138, 42, 12508), (832, 17, 2123)], 0.39400005, 'xrule')]"
6.049567,[1],1.0,[6.049567],"(6342, 13, 1682)",5.9206314,"[(6342, 13, 1934), (1682, 72, 2864), (1682, 73, 1914), (1682, 73, 1059), (10302, 29, 1682), (1682, 73, 302)]",6,1,"[([(6342, 13, 1934), (10302, 29, 1682)], 0.097299576, 'xrule'), ([(6342, 13, 1934), (1682, 72, 2864)], 0.09490013, 'xrule'), ([(6342, 13, 1934), (1682, 73, 1914)], 0.09430027, 'xrule'), ([(6342, 13, 1934), (1682, 73, 302)], 0.09360027, 'xrule'), ([(6342, 13, 1934), (1682, 73, 1059)], 0.0934, 'xrule')]"
5.7745843,[4],4.0,[5.7745843],"(2457, 13, 382)",6.046425,"[(2457, 28, 32), (2457, 13, 32), (181, 152, 382), (181, 218, 382), (2457, 13, 181), (382, 152, 32), (32, 218, 382), (1046, 152, 382), (382, 58, 637), (637, 152, 382), (637, 58, 382), (382, 152, 637), (382, 218, 32), (2457, 13, 853), (382, 152, 1046), (382, 152, 181), (2457, 13, 637)]",17,1,"[([(2457, 13, 181), (181, 218, 382), (181, 152, 382), (382, 152, 181)], 0.8696995, 'xrule'), ([(2457, 28, 32), (2457, 13, 32), (382, 152, 32), (32, 218, 382), (382, 218, 32)], 0.6091995, 'xrule'), ([(2457, 28, 32), (2457, 13, 32), (382, 152, 1046), (1046, 152, 382)], 0.3218994, 'xrule'), ([(2457, 13, 853), (382, 152, 1046), (1046, 152, 382)], 0.2770996, 'xrule'), ([(2457, 13, 637), (382, 152, 637), (382, 58, 637), (637, 152, 382), (637, 58, 382)], 0.18789959, 'xrule')]"
6.2849717,[1],1.0,[6.2849717],"(7327, 17, 215)",6.6937075,"[(7327, 100, 160), (2193, 17, 215), (7327, 48, 32), (9187, 17, 215), (3918, 17, 215), (12717, 17, 215), (2871, 17, 215), (7327, 17, 393)]",8,1,"[([(7327, 17, 393), (2871, 17, 215)], 0.38170052, 'xrule'), ([(7327, 17, 393), (9187, 17, 215)], 0.33810043, 'xrule'), ([(7327, 17, 393), (12717, 17, 215)], 0.32120037, 'xrule'), ([(7327, 100, 160), (2193, 17, 215)], 0.14050007, 'xrule'), ([(7327, 48, 32), (3918, 17, 215)], 0.1359005, 'xrule')]"
6.028281,[4],4.0,[6.028281],"(1127, 10, 6315)",6.301168,"[(6315, 103, 780), (1127, 10, 6066), (356, 10, 6315), (1127, 47, 670), (467, 10, 6315), (1654, 10, 6315), (1121, 10, 6315), (1127, 10, 468), (670, 19, 1127)]",9,1,"[([(1127, 47, 670), (670, 19, 1127), (1654, 10, 6315)], 0.38810062, 'xrule'), ([(1127, 47, 670), (670, 19, 1127), (467, 10, 6315)], 0.3465004, 'xrule'), ([(1127, 10, 6066), (1121, 10, 6315)], 0.23340034, 'xrule'), ([(1127, 47, 670), (670, 19, 1127), (6315, 103, 780)], 0.22949982, 'xrule'), ([(1127, 10, 468), (356, 10, 6315)], 0.21350002, 'xrule')]"
7.2354617,[2],2.0,[7.2354617],"(8758, 19, 1724)",7.7758446,"[(1724, 47, 10287), (8758, 19, 4418), (1724, 47, 11164), (11921, 19, 1724), (1724, 7, 8376), (10287, 19, 1724), (4177, 30, 1724), (8376, 30, 1724)]",8,1,"[([(8758, 19, 4418), (8376, 30, 1724), (1724, 7, 8376)], 0.3692999, 'xrule'), ([(8758, 19, 4418), (11921, 19, 1724)], 0.35809994, 'xrule'), ([(8758, 19, 4418), (4177, 30, 1724)], 0.35490036, 'xrule'), ([(8758, 19, 4418), (1724, 47, 11164)], 0.33780003, 'xrule'), ([(8758, 19, 4418), (1724, 47, 10287), (10287, 19, 1724)], 0.32540035, 'xrule')]"
7.32662,[1],1.0,[7.32662],"(9376, 25, 62)",7.0566015,"[(7083, 25, 62), (9376, 61, 2940), (11197, 25, 62), (2754, 25, 62), (9376, 166, 5422), (9376, 108, 5422), (9376, 124, 2846), (10020, 25, 62), (8747, 25, 62)]",9,1,"[([(9376, 124, 2846), (2754, 25, 62)], 0.3991995, 'xrule'), ([(9376, 124, 2846), (11197, 25, 62)], 0.27509975, 'xrule'), ([(9376, 166, 5422), (9376, 108, 5422), (7083, 25, 62)], 0.16599941, 'xrule'), ([(9376, 166, 5422), (9376, 108, 5422), (8747, 25, 62)], 0.16160011, 'xrule'), ([(9376, 61, 2940), (10020, 25, 62)], 0.15899944, 'xrule')]"
6.7241087,[1],1.0,[6.7241087],"(1658, 26, 990)",6.9488378,"[(1959, 26, 990), (4616, 26, 990), (4880, 26, 990), (1658, 28, 32), (182, 26, 990), (1658, 13, 32), (4856, 26, 990)]",7,1,"[([(1658, 13, 32), (1658, 28, 32), (1959, 26, 990)], 0.53079987, 'xrule'), ([(1658, 13, 32), (1658, 28, 32), (4616, 26, 990)], 0.5279999, 'xrule'), ([(1658, 13, 32), (1658, 28, 32), (4856, 26, 990)], 0.5255003, 'xrule'), ([(1658, 13, 32), (1658, 28, 32), (4880, 26, 990)], 0.50909996, 'xrule'), ([(1658, 13, 32), (1658, 28, 32), (182, 26, 990)], 0.5080004, 'xrule')]"
6.290132,[1],1.0,[6.290132],"(3577, 48, 32)",6.6759186,"[(3796, 62, 32), (3796, 133, 32), (32, 15, 4986), (4986, 133, 32), (95, 205, 32), (3796, 135, 32), (3577, 66, 3796), (95, 135, 32), (32, 15, 3796), (32, 15, 3432), (2160, 13, 32), (95, 62, 32), (95, 133, 32), (32, 15, 95), (3577, 24, 4986), (2160, 28, 32), (3577, 66, 4986), (3796, 205, 32)]",18,1,"[([(3577, 66, 3796), (3796, 62, 32), (3796, 133, 32), (3796, 135, 32), (32, 15, 3796), (3796, 205, 32)], 0.43589973, 'xrule'), ([(3577, 66, 3796), (32, 15, 3432)], 0.4293995, 'xrule'), ([(3577, 24, 4986), (3577, 66, 4986), (32, 15, 4986), (4986, 133, 32)], 0.3757, 'xrule'), ([(3577, 24, 4986), (3577, 66, 4986), (2160, 28, 32), (2160, 13, 32)], 0.31599998, 'xrule'), ([(3577, 66, 3796), (95, 62, 32), (95, 133, 32), (32, 15, 95), (95, 205, 32), (95, 135, 32)], 0.31540012, 'xrule')]"
6.334577,[2],2.0,[6.334577],"(2016, 17, 60)",6.498813,"[(1920, 21, 2016), (4472, 17, 60), (1920, 17, 60), (4325, 8, 2016), (4325, 3, 2016), (4324, 17, 60), (2492, 17, 60), (4325, 17, 60), (2016, 8, 4325), (2016, 3, 4325)]",10,1,"[([(1920, 21, 2016), (4324, 17, 60)], 1.0620999, 'xrule'), ([(4325, 8, 2016), (4325, 3, 2016), (2016, 8, 4325), (2016, 3, 4325), (4472, 17, 60)], 0.9941001, 'xrule'), ([(1920, 21, 2016), (2492, 17, 60)], 0.8994999, 'xrule'), ([(4325, 8, 2016), (4325, 3, 2016), (2016, 8, 4325), (2016, 3, 4325), (4325, 17, 60)], 0.89900017, 'xrule'), ([(1920, 21, 2016), (1920, 17, 60)], 0.8062, 'xrule')]"
6.4690237,[1],1.0,[6.4690237],"(5605, 17, 862)",6.5098124,"[(5605, 77, 1686), (1192, 181, 862), (7550, 17, 862), (5605, 17, 1192), (5605, 45, 7550), (3288, 17, 862), (4363, 17, 862), (11833, 17, 862)]",8,1,"[([(5605, 17, 1192), (1192, 181, 862)], 0.6995001, 'xrule'), ([(5605, 17, 1192), (4363, 17, 862)], 0.68200016, 'xrule'), ([(5605, 45, 7550), (7550, 17, 862)], 0.13549995, 'xrule'), ([(5605, 77, 1686), (3288, 17, 862)], 0.13040066, 'xrule'), ([(5605, 77, 1686), (11833, 17, 862)], 0.120500565, 'xrule')]"
8.605856,[1],1.0,[8.605856],"(7019, 11, 23)",8.85631,"[(7019, 26, 1098), (8316, 11, 23), (7019, 26, 342), (7019, 14, 160), (778, 11, 23), (865, 90, 23), (10307, 90, 23), (7019, 26, 64), (10718, 11, 23)]",9,1,"[([(7019, 14, 160), (10718, 11, 23)], 0.25360012, 'xrule'), ([(7019, 14, 160), (8316, 11, 23)], 0.22710037, 'xrule'), ([(7019, 26, 64), (778, 11, 23)], 0.10599995, 'xrule'), ([(7019, 26, 1098), (865, 90, 23)], 0.09469986, 'xrule'), ([(7019, 26, 342), (10307, 90, 23)], 0.07199955, 'xrule')]"
7.701293,[1],1.0,[7.701293],"(868, 26, 342)",7.565317,"[(4897, 26, 342), (1303, 26, 342), (868, 28, 32), (4261, 26, 342), (4616, 26, 342), (868, 13, 32), (4880, 26, 342)]",7,1,"[([(868, 28, 32), (868, 13, 32), (4616, 26, 342)], 0.5960007, 'xrule'), ([(868, 28, 32), (868, 13, 32), (1303, 26, 342)], 0.5930004, 'xrule'), ([(868, 28, 32), (868, 13, 32), (4880, 26, 342)], 0.59140015, 'xrule'), ([(868, 28, 32), (868, 13, 32), (4897, 26, 342)], 0.5734005, 'xrule'), ([(868, 28, 32), (868, 13, 32), (4261, 26, 342)], 0.55480003, 'xrule')]"
7.5515146,[1],1.0,[7.5515146],"(3116, 11, 23)",7.8973103,"[(11403, 90, 23), (2240, 90, 23), (7867, 90, 23), (3116, 28, 32), (3116, 13, 32), (192, 11, 23), (2971, 90, 23)]",7,1,"[([(3116, 13, 32), (3116, 28, 32), (2240, 90, 23)], 0.86069965, 'xrule'), ([(3116, 13, 32), (3116, 28, 32), (7867, 90, 23)], 0.8513994, 'xrule'), ([(3116, 13, 32), (3116, 28, 32), (192, 11, 23)], 0.8512993, 'xrule'), ([(3116, 13, 32), (3116, 28, 32), (11403, 90, 23)], 0.8402996, 'xrule'), ([(3116, 13, 32), (3116, 28, 32), (2971, 90, 23)], 0.8385, 'xrule')]"
5.961488,[3],3.0,[5.961488],"(3481, 13, 1934)",6.271813,"[(1934, 58, 637), (98, 37, 1934), (3790, 66, 1934), (12309, 39, 1934), (1934, 72, 1537), (3481, 13, 637), (3481, 28, 1080), (1537, 157, 1934), (3481, 13, 1080), (637, 58, 1934), (3481, 14, 160)]",11,1,"[([(3481, 14, 160), (3790, 66, 1934)], 0.21890068, 'xrule'), ([(3481, 13, 1080), (3481, 28, 1080), (12309, 39, 1934)], 0.07860088, 'xrule'), ([(3481, 13, 1080), (3481, 28, 1080), (1934, 58, 637), (637, 58, 1934)], 0.07590008, 'xrule'), ([(3481, 13, 637), (1934, 72, 1537), (1537, 157, 1934)], 0.05090046, 'xrule'), ([(3481, 13, 637), (98, 37, 1934)], 0.050700188, 'xrule')]"
7.195282,[1],1.0,[7.195282],"(6848, 28, 32)",7.389966,"[(2584, 28, 32), (4667, 13, 32), (1044, 205, 32), (1112, 28, 32), (1044, 62, 32), (6848, 86, 742), (742, 32, 6848), (32, 15, 1044), (2584, 13, 32), (1129, 147, 32), (6848, 11, 23)]",11,1,"[([(6848, 86, 742), (742, 32, 6848), (1112, 28, 32)], 0.4322996, 'xrule'), ([(6848, 86, 742), (742, 32, 6848), (4667, 13, 32)], 0.4289999, 'xrule'), ([(6848, 86, 742), (742, 32, 6848), (32, 15, 1044), (1044, 205, 32), (1044, 62, 32)], 0.41320038, 'xrule'), ([(6848, 11, 23), (1129, 147, 32)], 0.2939005, 'xrule'), ([(6848, 11, 23), (2584, 28, 32), (2584, 13, 32)], 0.27600002, 'xrule')]"
7.727893,[1],1.0,[7.727893],"(6079, 220, 8450)",8.157777,"[(6079, 25, 62), (120, 220, 8450), (7893, 220, 8450), (4896, 220, 8450), (6680, 220, 8450), (1445, 220, 8450), (434, 161, 6079)]",7,1,"[([(6079, 25, 62), (7893, 220, 8450)], 0.99050045, 'xrule'), ([(6079, 25, 62), (4896, 220, 8450)], 0.974, 'xrule'), ([(434, 161, 6079), (120, 220, 8450)], 0.24570084, 'xrule'), ([(434, 161, 6079), (6680, 220, 8450)], 0.22810078, 'xrule'), ([(434, 161, 6079), (1445, 220, 8450)], 0.16970062, 'xrule')]"
5.340061,[1],1.0,[5.340061],"(4592, 17, 818)",5.790435,"[(4592, 8, 10076), (4592, 3, 10076), (10076, 8, 4592), (1958, 17, 818), (749, 17, 818), (10076, 17, 818), (7146, 8, 4592), (1095, 17, 818), (4592, 8, 7146), (2569, 17, 818)]",10,1,"[([(4592, 8, 10076), (4592, 3, 10076), (10076, 8, 4592), (10076, 17, 818)], 0.17400074, 'xrule'), ([(4592, 8, 10076), (4592, 3, 10076), (10076, 8, 4592), (2569, 17, 818)], 0.15750027, 'xrule'), ([(7146, 8, 4592), (4592, 8, 7146), (749, 17, 818)], 0.14890003, 'xrule'), ([(4592, 8, 10076), (4592, 3, 10076), (10076, 8, 4592), (1095, 17, 818)], 0.14850044, 'xrule'), ([(4592, 8, 10076), (4592, 3, 10076), (10076, 8, 4592), (1958, 17, 818)], 0.14620018, 'xrule')]"
5.9822598,[1],1.0,[5.9822598],"(8007, 43, 141)",7.8901253,"[(1145, 43, 141), (8007, 85, 434), (11554, 43, 141), (8007, 48, 32), (4789, 43, 141), (11364, 43, 141), (3857, 43, 141)]",7,1,"[([(8007, 85, 434), (11364, 43, 141)], 0.75979996, 'xrule'), ([(8007, 48, 32), (1145, 43, 141)], 0.52320004, 'xrule'), ([(8007, 48, 32), (11554, 43, 141)], 0.51970005, 'xrule'), ([(8007, 48, 32), (3857, 43, 141)], 0.5187998, 'xrule'), ([(8007, 48, 32), (4789, 43, 141)], 0.50949955, 'xrule')]"
7.9335613,[1],1.0,[7.9335613],"(3861, 26, 64)",7.833797,"[(4616, 26, 64), (3177, 26, 64), (898, 26, 64), (3861, 13, 32), (3861, 28, 32), (10313, 26, 64), (2627, 17, 64)]",7,1,"[([(3861, 28, 32), (3861, 13, 32), (2627, 17, 64)], 0.69900036, 'xrule'), ([(3861, 28, 32), (3861, 13, 32), (4616, 26, 64)], 0.6819, 'xrule'), ([(3861, 28, 32), (3861, 13, 32), (898, 26, 64)], 0.67540073, 'xrule'), ([(3861, 28, 32), (3861, 13, 32), (10313, 26, 64)], 0.66779995, 'xrule'), ([(3861, 28, 32), (3861, 13, 32), (3177, 26, 64)], 0.64170074, 'xrule')]"
5.9411244,[3],3.0,[5.9411244],"(9419, 31, 2512)",6.3330984,"[(9419, 34, 90), (6275, 31, 2512), (9419, 30, 2300), (8089, 31, 2512), (2300, 7, 9419), (2512, 2, 5995), (10142, 31, 2512), (7182, 31, 2512)]",8,1,"[([(9419, 34, 90), (8089, 31, 2512)], 0.34109974, 'xrule'), ([(9419, 34, 90), (10142, 31, 2512)], 0.3366995, 'xrule'), ([(9419, 34, 90), (7182, 31, 2512)], 0.33099937, 'xrule'), ([(9419, 34, 90), (2512, 2, 5995)], 0.3303995, 'xrule'), ([(9419, 30, 2300), (2300, 7, 9419), (6275, 31, 2512)], 0.14199924, 'xrule')]"
