new_score,new_ranks,#facts,prediction,new_rank,new_scores,original_score,facts,original_rank
2.2467527,"[1, 1]",4,"(6847, 25, 62)",1.0,"[2.278225, 2.2152805]",9.888962,"[([(706, 89, 12010), (706, 89, 6847), (12010, 25, 62)], 2.7390995, 'xrule'), ([(6847, 22, 3807)], 0.6857490988190211, 10227.665020616425), ([(6847, 61, 224), (8741, 61, 224), (8741, 25, 62)], 0.47289944, 'xrule'), ([(706, 89, 6847), (8741, 25, 62), (706, 89, 8741)], 0.21920013, 'xrule')]",1
1.2028252,"[1, 1]",1,"(6298, 25, 62)",1.0,"[1.3204563, 1.0851941]",8.882477,"[([(6298, 119, 3815)], 0.035250703754798184, 5879.508811753494)]",1
0.4631781,"[3, 2]",8,"(5672, 26, 64)",2.5,"[0.23425846, 0.6920977]",3.2678545,"[([(5595, 26, 1936), (5672, 26, 1936), (5595, 26, 64)], 1.4847002, 'xrule'), ([(5672, 26, 1881), (3259, 26, 64), (3259, 26, 1881)], 1.2579002, 'xrule'), ([(5672, 26, 1936), (3259, 26, 1936), (3259, 26, 64)], 0.6015005, 'xrule'), ([(5595, 26, 64), (5595, 26, 1960), (5672, 26, 1960)], 0.57159996, 'xrule'), ([(5595, 26, 1881), (5672, 26, 1881), (5595, 26, 64)], 0.31260014, 'xrule'), ([(5672, 31, 1211), (1173, 31, 1211), (1173, 26, 64)], -0.0038995743, 'xrule'), ([(5672, 26, 1881), (807, 26, 64), (807, 26, 1881)], -0.1612997, 'xrule'), ([(5672, 12, 10115)], -0.44143863295209373, 8195.39139821526)]",1
1.0988972,"[1, 1]",11,"(11754, 85, 434)",1.0,"[0.7174139, 1.4803804]",5.255939,"[([(4311, 85, 434), (4311, 17, 862), (11754, 17, 862)], 3.1212997, 'xrule'), ([(5159, 85, 434), (5159, 17, 818), (11754, 17, 818)], 1.6801996, 'xrule'), ([(11754, 17, 862), (2118, 85, 434), (2118, 17, 862)], 1.2334003, 'xrule'), ([(11754, 17, 862), (3140, 85, 434), (3140, 17, 862)], 1.0143003, 'xrule'), ([(11754, 66, 592), (9399, 85, 434), (9399, 66, 592)], 0.8292999, 'xrule'), ([(11754, 17, 862), (9399, 85, 434), (9399, 17, 862)], 0.27420044, 'xrule'), ([(11754, 17, 967), (8930, 85, 434), (8930, 17, 967)], 0.103300095, 'xrule'), ([(2118, 17, 818), (11754, 17, 818), (2118, 85, 434)], -0.2532997, 'xrule'), ([(8291, 85, 434), (8291, 17, 818), (11754, 17, 818)], -0.3473997, 'xrule'), ([(11754, 202, 2904)], -1.282721937483874, 12740.217087235827), ([(8930, 85, 434), (11754, 17, 862), (8930, 17, 862)], -1.5585003, 'xrule')]",1
0.53973114,"[1, 1]",7,"(2145, 43, 141)",1.0,"[0.55372137, 0.52574086]",11.156679,"[([(3035, 19, 1469), (1469, 47, 2145), (3035, 43, 141), (1469, 47, 3035)], 3.3483, 'xrule'), ([(3343, 43, 141), (2146, 3, 2145), (3343, 8, 2146), (3343, 3, 2146), (2145, 8, 2146), (2145, 3, 2146), (2146, 8, 3343)], 1.1774998, 'xrule'), ([(2145, 48, 308), (11498, 48, 308), (11498, 43, 141)], 1.0627003, 'xrule'), ([(2145, 8, 3454)], 0.1261549397353712, 422.53149696297424), ([(3667, 19, 1469), (1469, 47, 2145), (3667, 43, 141)], -0.05490017, 'xrule'), ([(682, 43, 141), (1469, 47, 682), (1469, 47, 2145), (682, 19, 1469)], -0.5089998, 'xrule'), ([(1342, 43, 141), (1342, 19, 1469), (1469, 47, 2145)], -2.4686995, 'xrule')]",2
0.78753686,"[1, 1]",11,"(3120, 148, 3021)",1.0,"[0.96314096, 0.6119327]",3.7750387,"[([(5778, 25, 62), (3120, 25, 62), (5778, 148, 3021)], 3.1244993, 'xrule'), ([(3120, 220, 4005), (4896, 148, 3021), (4896, 220, 4005)], 2.0157995, 'xrule'), ([(3120, 220, 4005), (705, 148, 3021), (705, 220, 4005)], 1.8363991, 'xrule'), ([(434, 161, 3120), (5445, 148, 3021), (434, 161, 5445)], 1.5382996, 'xrule'), ([(3120, 25, 62), (4896, 148, 3021), (4896, 25, 62)], 1.2311993, 'xrule'), ([(434, 161, 3120), (4896, 148, 3021), (434, 161, 4896)], 1.2050991, 'xrule'), ([(5293, 160, 3120)], 0.8159580700845301, 10022.693377667621), ([(3020, 148, 3021), (3120, 220, 4005), (3020, 220, 4005)], 0.8114996, 'xrule'), ([(3120, 25, 62), (5445, 148, 3021), (5445, 25, 62)], 0.78499985, 'xrule'), ([(3120, 220, 4005), (5778, 220, 4005), (5778, 148, 3021)], 0.14389992, 'xrule'), ([(3120, 220, 4005), (5445, 148, 3021), (5445, 220, 4005)], -0.25419998, 'xrule')]",1
1.2918956,"[1, 1]",1,"(9475, 25, 62)",1.0,"[1.218857, 1.3649342]",11.078495,"[([(138, 92, 9475)], 0.8726258759013169, 13182.705291784237)]",1
0.30268312,"[1, 1]",4,"(5649, 48, 32)",1.0,"[0.2965212, 0.30884504]",5.5329022,"[([(7550, 8, 366), (366, 8, 5649), (7550, 48, 32), (5649, 8, 366)], 3.283, 'xrule'), ([(7550, 48, 32), (7550, 8, 1662), (1662, 8, 7550), (5649, 8, 1662)], 1.6615, 'xrule'), ([(4144, 77, 5649)], 0.5244656037163106, 10515.62819136953), ([(5649, 66, 592), (32, 15, 12459), (12459, 83, 592)], 0.42440033, 'xrule')]",1
6.5856233,"[1, 1]",11,"(13632, 25, 62)",1.0,"[6.338552, 6.8326945]",12.986469,"[([(13632, 199, 9277)], -0.8305015090770292, 5.3035390291590145), ([(10787, 25, 62), (10787, 46, 9740), (13632, 46, 9740)], -0.94710064, 'xrule'), ([(10136, 46, 9740), (13632, 46, 9740), (10136, 25, 62)], -1.4254007, 'xrule'), ([(10153, 25, 62), (10153, 46, 9740), (13632, 46, 9740)], -1.6007004, 'xrule'), ([(13632, 46, 152), (11934, 46, 152), (11934, 25, 62)], -2.0846004, 'xrule'), ([(12892, 24, 9277), (13632, 83, 9277), (12892, 25, 62), (13632, 199, 9277)], -2.25, 'xrule'), ([(13632, 83, 9277), (5048, 143, 9277), (5048, 25, 62), (13632, 199, 9277)], -3.6162004, 'xrule'), ([(13632, 83, 9277), (9277, 25, 62), (13632, 199, 9277)], -3.9191008, 'xrule'), ([(4805, 25, 62), (4805, 46, 9740), (13632, 46, 9740)], -4.0136003, 'xrule'), ([(10787, 25, 62), (13632, 46, 152), (10787, 46, 152)], -4.3901005, 'xrule'), ([(13632, 46, 152), (12752, 46, 152), (12752, 25, 62)], -4.4596004, 'xrule')]",1
3.886962,"[1, 1]",10,"(11272, 25, 62)",1.0,"[4.0126247, 3.7612991]",9.799974,"[([(3181, 89, 11272), (3181, 89, 12923), (12923, 25, 62)], 2.4286003, 'xrule'), ([(1323, 89, 2979), (2979, 25, 62), (1323, 89, 11272)], 1.7754002, 'xrule'), ([(3181, 89, 11272), (3181, 89, 7436), (7436, 25, 62)], 1.6864004, 'xrule'), ([(11272, 124, 2846), (1160, 25, 62), (1160, 124, 2846)], 1.5230999, 'xrule'), ([(2979, 25, 62), (2979, 101, 4907), (11272, 101, 4907)], 1.5108004, 'xrule'), ([(1019, 89, 11272), (5153, 25, 62), (1019, 89, 5153)], 1.4211998, 'xrule'), ([(12463, 124, 2846), (11272, 124, 2846), (12463, 25, 62)], 1.2470007, 'xrule'), ([(11272, 124, 2846), (8508, 25, 62), (8508, 124, 2846)], 0.8095999, 'xrule'), ([(11272, 101, 2371), (8956, 25, 62), (8956, 101, 2371)], 0.7635002, 'xrule'), ([(11272, 101, 2371)], 0.5495534374233695, 3424.634031968873)]",1
0.97645223,"[1, 1]",11,"(8386, 85, 434)",1.0,"[1.3880785, 0.564826]",5.5377464,"[([(8386, 38, 753)], 2.4495731766110316, 13632.92053022245), ([(6224, 43, 141), (8386, 43, 141), (6224, 85, 434)], 0.47429943, 'xrule'), ([(434, 161, 3243), (8386, 48, 32), (32, 15, 3243), (3243, 133, 32)], 0.36909962, 'xrule'), ([(8238, 43, 141), (8238, 85, 434), (8386, 43, 141)], 0.34140015, 'xrule'), ([(5986, 43, 141), (5986, 85, 434), (8386, 43, 141)], 0.1317997, 'xrule'), ([(1150, 43, 141), (1150, 85, 434), (8386, 43, 141)], -0.03730011, 'xrule'), ([(9885, 85, 434), (8386, 43, 141), (9885, 43, 141)], -0.18010044, 'xrule'), ([(9201, 85, 434), (8386, 85, 1665), (9201, 85, 1665)], -1.1578007, 'xrule'), ([(1150, 66, 1327), (8386, 24, 1327), (1150, 85, 434)], -1.5021, 'xrule'), ([(10070, 85, 434), (8386, 43, 141), (10070, 43, 141)], -1.5674, 'xrule'), ([(8386, 48, 32), (10070, 48, 32), (10070, 85, 434)], -2.0208006, 'xrule')]",1
0.109365806,"[1, 1]",4,"(80, 19, 559)",1.0,"[0.110152714, 0.1085789]",1.2048147,"[([(1610, 8, 80), (686, 19, 559), (686, 8, 1610), (1610, 8, 686)], 1.0685005, 'xrule'), ([(80, 8, 6697)], -0.741275741576466, 6345.322725227214), ([(1609, 8, 80), (686, 19, 559), (1609, 8, 686)], -1.2200994, 'xrule'), ([(1610, 8, 80), (1610, 3, 1357), (1357, 19, 559), (1357, 3, 1610)], -1.7832003, 'xrule')]",1
0.40636173,"[1, 1]",8,"(2446, 48, 32)",1.0,"[0.27281195, 0.5399115]",5.6463876,"[([(2446, 17, 215), (7880, 48, 32), (7880, 17, 215)], 3.3674994, 'xrule'), ([(2446, 17, 862), (7880, 48, 32), (7880, 17, 862)], 2.6662998, 'xrule'), ([(2446, 17, 215), (11091, 48, 32), (11091, 17, 215)], 1.3260994, 'xrule'), ([(2446, 17, 862), (2479, 48, 32), (2479, 17, 862)], 0.6359997, 'xrule'), ([(2446, 17, 243), (10384, 17, 243), (10384, 48, 32)], 0.2989998, 'xrule'), ([(2446, 38, 5945)], 0.009532014787012676, 1337.5023829756553), ([(2446, 17, 862), (9827, 48, 32), (9827, 17, 862)], -0.44070053, 'xrule'), ([(9827, 85, 1665), (9827, 48, 32), (2446, 85, 1665)], -0.47000027, 'xrule')]",1
1.8215363,"[2, 2]",12,"(11737, 43, 141)",2.0,"[2.265676, 1.3773966]",9.008254,"[([(12051, 43, 141), (12051, 17, 862), (11737, 17, 862)], 0.6012001, 'xrule'), ([(11322, 85, 434), (11737, 85, 434), (11322, 43, 141)], 0.5102005, 'xrule'), ([(2497, 17, 862), (2497, 43, 141), (11737, 17, 862)], 0.38040066, 'xrule'), ([(9916, 48, 1124), (9916, 43, 141), (11737, 48, 1124)], 0.30340004, 'xrule'), ([(2492, 85, 434), (2492, 43, 141), (11737, 85, 434)], -0.12909985, 'xrule'), ([(11737, 24, 249)], -0.35181899712134446, 537.4129413786239), ([(1254, 17, 862), (1254, 43, 141), (11737, 17, 862)], -0.49450016, 'xrule'), ([(1254, 85, 434), (1254, 43, 141), (11737, 85, 434)], -0.6595001, 'xrule'), ([(13653, 17, 862), (13653, 43, 141), (11737, 17, 862)], -0.98139954, 'xrule'), ([(9916, 17, 862), (9916, 43, 141), (11737, 17, 862)], -2.1759996, 'xrule'), ([(7662, 43, 141), (11737, 48, 1124), (7662, 48, 1124)], -2.4784994, 'xrule'), ([(13653, 85, 434), (13653, 43, 141), (11737, 85, 434)], -3.1865997, 'xrule')]",2
0.35488755,"[1, 3]",11,"(4551, 26, 1098)",2.0,"[0.42141873, 0.28835633]",3.7558599,"[([(77, 7, 4551)], 1.5393076630382936, 10900.823364047264), ([(1004, 34, 90), (1004, 26, 1098), (4551, 34, 90)], -0.3238001, 'xrule'), ([(9943, 26, 1098), (4551, 26, 64), (9943, 26, 64)], -1.1528006, 'xrule'), ([(1004, 31, 163), (1004, 26, 1098), (4551, 31, 163)], -1.4357004, 'xrule'), ([(4551, 26, 64), (1004, 26, 1098), (1004, 26, 64)], -2.1007004, 'xrule'), ([(4551, 26, 64), (5092, 26, 1098), (5092, 26, 64)], -2.3781004, 'xrule'), ([(5092, 31, 163), (5092, 26, 1098), (4551, 31, 163)], -2.4771004, 'xrule'), ([(2908, 26, 64), (4551, 26, 64), (2908, 26, 1098)], -2.5278997, 'xrule'), ([(4232, 31, 163), (4232, 26, 1098), (4551, 31, 163)], -3.0974998, 'xrule'), ([(4232, 34, 90), (4232, 26, 1098), (4551, 34, 90)], -3.2385006, 'xrule'), ([(533, 34, 90), (4551, 34, 90), (533, 26, 1098)], -4.0128, 'xrule')]",2
4.876527,"[1, 1]",11,"(2899, 25, 62)",1.0,"[4.8429785, 4.910075]",9.085274,"[([(2899, 16, 32)], 0.7621078952327826, -6.318188804394643), ([(9893, 25, 62), (32, 15, 9893), (2899, 16, 32)], 0.011799812, 'xrule'), ([(2899, 16, 32), (10315, 25, 62), (10315, 48, 32)], -0.03390026, 'xrule'), ([(7919, 25, 62), (2899, 16, 32), (7919, 48, 32)], -0.052700043, 'xrule'), ([(7638, 25, 62), (32, 15, 7638), (2899, 16, 32)], -0.26270008, 'xrule'), ([(2899, 16, 32), (2002, 25, 62), (2002, 48, 32)], -0.4883995, 'xrule'), ([(4332, 25, 62), (2899, 16, 32), (4332, 133, 32), (32, 15, 4332)], -0.64939976, 'xrule'), ([(32, 15, 12743), (12743, 25, 62), (2899, 16, 32), (12743, 133, 32)], -1.0552998, 'xrule'), ([(13520, 25, 62), (32, 15, 13520), (2899, 16, 32)], -1.7817001, 'xrule'), ([(9060, 25, 62), (32, 15, 9060), (2899, 16, 32)], -1.8415995, 'xrule'), ([(2899, 16, 32), (32, 15, 12724), (12724, 25, 62)], -2.6713, 'xrule')]",1
0.3080954,"[1, 1]",2,"(6597, 48, 32)",1.0,"[0.27670938, 0.3394814]",5.3139343,"[([(32, 15, 2607), (572, 106, 2607), (6597, 6, 572), (2607, 133, 32)], 0.85130024, 'xrule'), ([(6597, 19, 1661)], -0.4319333611422373, 2964.3936647474093)]",1
4.642851,"[1, 75]",11,"(12379, 120, 791)",38.0,"[2.8809395, 6.4047623]",8.62182,"[([(12379, 133, 32)], 1.0553823039246912, 7696.741807099117), ([(32, 87, 4938), (12379, 133, 32), (4938, 120, 791)], 0.8786001, 'xrule'), ([(3627, 120, 791), (3627, 25, 62), (12379, 25, 62)], 0.73219967, 'xrule'), ([(12379, 133, 32), (32, 15, 4031), (4031, 133, 32), (4031, 120, 791)], 0.2222004, 'xrule'), ([(4717, 120, 791), (12379, 25, 62), (4717, 25, 62)], -0.074700356, 'xrule'), ([(5384, 25, 62), (5384, 120, 791), (12379, 25, 62)], -0.35459995, 'xrule'), ([(2851, 133, 32), (12379, 133, 32), (2851, 120, 791), (32, 15, 2851)], -0.6194, 'xrule'), ([(12379, 133, 32), (32, 15, 4717), (4717, 120, 791)], -0.80490017, 'xrule'), ([(12379, 133, 32), (3627, 120, 791), (32, 15, 3627)], -1.0832996, 'xrule'), ([(12379, 133, 32), (4994, 133, 32), (32, 15, 4994), (4994, 120, 791)], -1.7862997, 'xrule'), ([(12379, 133, 32), (532, 120, 791), (532, 133, 32)], -1.9917002, 'xrule')]",1
0.3332565,"[9, 1]",11,"(5745, 35, 2589)",5.0,"[0.3447147, 0.32179832]",3.4511123,"[([(2473, 35, 2589), (2473, 35, 2792), (5745, 35, 2792)], 2.2412996, 'xrule'), ([(688, 35, 2589), (688, 35, 2792), (5745, 35, 2792)], 2.2382002, 'xrule'), ([(4979, 64, 4734), (4979, 35, 2589), (4734, 64, 4979), (4734, 64, 5745)], 1.0881996, 'xrule'), ([(4734, 64, 2473), (2473, 35, 2589), (2473, 64, 4734), (4734, 64, 5745)], 1.0137005, 'xrule'), ([(2473, 64, 5745), (2473, 35, 2589), (5745, 64, 2473)], 0.81410027, 'xrule'), ([(2589, 118, 774), (2792, 118, 774), (5745, 35, 2792)], 0.7080002, 'xrule'), ([(4979, 35, 2589), (4979, 35, 2792), (5745, 35, 2792)], 0.5938997, 'xrule'), ([(2589, 18, 1771), (2792, 18, 1771), (5745, 35, 2792)], 0.5860996, 'xrule'), ([(2473, 64, 4979), (4979, 35, 2589), (4979, 64, 2473), (2473, 64, 5745), (5745, 64, 2473)], -0.14289951, 'xrule'), ([(5745, 35, 611), (2589, 18, 1771), (611, 18, 1771)], -1.3885002, 'xrule'), ([(4733, 64, 5745)], -1.5332507402326916, 1712.1775185514573)]",9
3.115279,"[2, 1]",13,"(6443, 43, 141)",1.5,"[3.0988393, 3.1317186]",9.557828,"[([(966, 43, 141), (6443, 25, 62), (966, 25, 62)], 3.5899, 'xrule'), ([(806, 17, 2006), (806, 43, 141), (6443, 17, 2006)], 2.8581, 'xrule'), ([(6443, 25, 62), (1451, 43, 141), (1451, 25, 62)], 2.1913996, 'xrule'), ([(1627, 43, 141), (6443, 25, 62), (1627, 25, 62)], 1.8389997, 'xrule'), ([(2118, 43, 141), (2118, 25, 62), (6443, 25, 62)], 1.0074997, 'xrule'), ([(6443, 17, 2006), (966, 17, 2006), (966, 43, 141)], 0.9708996, 'xrule'), ([(2373, 17, 2006), (2373, 43, 141), (6443, 17, 2006)], 0.17939949, 'xrule'), ([(1215, 43, 141), (6443, 25, 62), (1215, 25, 62)], 0.032699585, 'xrule'), ([(6443, 196, 3593)], 0.02188781926734279, 27.505471726363485), ([(1325, 25, 62), (6443, 25, 62), (1325, 43, 141)], -0.3327999, 'xrule'), ([(2287, 43, 141), (6443, 25, 62), (2287, 25, 62)], -0.7069998, 'xrule'), ([(1001, 43, 141), (1001, 25, 62), (6443, 25, 62)], -0.7392998, 'xrule'), ([(2373, 43, 141), (6443, 21, 1943), (2373, 21, 1943)], -1.2833004, 'xrule')]",1
