facts,#facts,new_score,original_score,original_rank,new_rank,prediction,new_ranks,new_scores
"[([(8589, 1, 2035)], 1.1447, 'xrule'), ([(8589, 1, 2035), (2035, 1, 23638), (2035, 1, 3839), (2035, 1, 1012)], 0.6291199171532056, 'kelpie'), ([(3839, 1, 2035), (2035, 1, 23638), (2035, 1, 3839), (2035, 1, 1012)], 0.23803619626421305, 'kelpie'), ([(2035, 1, 23638), (23638, 1, 2035), (2035, 1, 3839), (2035, 1, 1012)], 0.1633911535707448, 'kelpie'), ([(8589, 1, 647), (647, 1, 8589), (647, 0, 2035)], 0.07240009, 'xrule'), ([(8589, 1, 647), (23638, 1, 647), (2035, 1, 23638), (23638, 1, 2035), (647, 1, 8589), (647, 1, 23638)], -0.031300545, 'xrule')]",6,3.6807308,8.747489,1,26.0,"(2035, 1, 8589)","[19, 33]","[3.8534102, 3.5080516]"
"[([(8774, 1, 16865), (16865, 0, 8663)], 4.082934993221134, 'kelpie'), ([(8774, 1, 16865), (16865, 5, 212)], 3.991396511692028, 'kelpie'), ([(8774, 1, 16865)], 2.8085003, 'xrule'), ([(8774, 1, 16865)], 2.5834962468327554, 'kelpie'), ([(8775, 1, 8774), (8774, 1, 8775), (16865, 5, 212), (8775, 5, 212)], -0.3994999, 'xrule')]",5,-8.285732,10.44133,1,36228.0,"(16865, 1, 8774)","[38640, 33816]","[-8.028802, -8.542662]"
"[([(15249, 1, 26185), (26185, 0, 17196)], 11.325535632022063, 'kelpie'), ([(15249, 1, 26185)], 8.3498, 'xrule'), ([(15249, 1, 26185)], 5.114180819038805, 'kelpie'), ([(26185, 0, 17196)], -0.6161450900712908, 'kelpie')]",4,-8.146464,11.001265,1,35821.0,"(26185, 1, 15249)","[35473, 36169]","[-6.8340545, -9.458874]"
"[([(7707, 1, 7708), (7708, 1, 9498), (9498, 1, 7708)], 10.323369156936344, 'kelpie'), ([(7707, 1, 7708)], 3.6897998, 'xrule'), ([(7707, 1, 7708), (7708, 1, 9498)], 2.658598586424096, 'kelpie'), ([(7707, 1, 7708)], 2.6563350401678356, 'kelpie'), ([(7708, 1, 9498), (9498, 1, 15877), (15877, 1, 9498), (7707, 0, 15877), (9498, 1, 7708)], -1.1478004, 'xrule'), ([(7708, 1, 9498), (9498, 1, 7708), (7707, 1, 9498), (9498, 1, 7707)], -1.5653, 'xrule')]",6,-7.557634,8.797766,1,32993.5,"(7708, 1, 7707)","[39743, 26244]","[-8.684163, -6.4311047]"
"[([(32885, 1, 37429)], 6.4867005, 'xrule'), ([(32885, 1, 37429)], 4.775011790980614, 'kelpie'), ([(37429, 0, 300)], -0.8601445672770505, 'kelpie')]",3,-2.7243204,10.5282135,1,9519.0,"(37429, 1, 32885)","[15441, 3597]","[-3.2642138, -2.1844268]"
"[([(10722, 1, 5826), (3775, 1, 5826), (5826, 1, 3775)], 6.331197179697321, 'kelpie'), ([(10722, 1, 5826)], 4.2447, 'xrule'), ([(10722, 1, 5826), (5826, 0, 125)], 3.5930608771176256, 'kelpie'), ([(10722, 1, 5826), (5826, 1, 3775)], 3.5326513098092716, 'kelpie')]",4,-3.2307405,9.052063,1,11348.0,"(5826, 1, 10722)","[6429, 16267]","[-1.8542874, -4.607194]"
"[([(21524, 1, 20692)], 3.6782002, 'xrule'), ([(21524, 1, 20692), (20692, 0, 7755), (12703, 0, 20692), (8489, 0, 20692)], 2.7857415119529465, 'kelpie'), ([(21524, 1, 20692), (20692, 1, 1062), (20692, 0, 7755), (12703, 0, 20692)], 1.9811182960545486, 'kelpie'), ([(21524, 1, 20692), (20692, 1, 1062), (20692, 0, 7755), (8489, 0, 20692)], 1.7126866159906446, 'kelpie'), ([(21524, 0, 1062), (1062, 1, 20692), (20692, 1, 1062)], -0.9843998, 'xrule')]",5,-7.5564566,9.7515745,1,32854.5,"(20692, 1, 21524)","[39705, 26004]","[-8.68307, -6.429843]"
"[([(31140, 1, 25999)], 6.9379997, 'xrule'), ([(31140, 1, 25999)], 3.276004599432599, 'kelpie'), ([(25998, 0, 25999)], -0.13521953381083096, 'kelpie'), ([(25999, 0, 12912)], -0.3968867839751397, 'kelpie')]",4,-5.4209538,9.611744,1,21846.0,"(25999, 1, 31140)","[10760, 32932]","[-2.5938053, -8.248102]"
"[([(15849, 1, 22500), (22500, 1, 26110), (25081, 0, 22500), (26110, 1, 22500)], 5.152828534354646, 'kelpie'), ([(15849, 1, 22500)], 4.1816998, 'xrule'), ([(15849, 1, 22500), (22500, 1, 26110), (26110, 1, 22500)], 2.5711671438708463, 'kelpie'), ([(15849, 1, 22500), (22500, 1, 26110), (25081, 0, 22500)], 2.203887097502802, 'kelpie')]",4,-0.8748667,8.751211,1,10153.0,"(22500, 1, 15849)","[8138, 12168]","[-0.7645504, -0.9851831]"
"[([(21810, 4, 3388), (21810, 4, 21811), (3388, 0, 278)], 11.610901, 'xrule'), ([(21810, 4, 9817), (21810, 4, 21811), (9817, 0, 278)], 11.6057, 'xrule'), ([(21810, 4, 17429), (17429, 0, 278), (21810, 4, 21811)], 11.5879, 'xrule'), ([(21810, 4, 21811)], 7.867651377240566, 'kelpie')]",4,5.657714,7.6046906,1,22.0,"(21811, 0, 278)","[15, 29]","[5.94637, 5.3690577]"
"[([(4170, 6, 33440)], 5.400144429037235, 'kelpie')]",1,9.977134,7.4783945,1,5.5,"(33440, 2, 121)","[9, 2]","[9.670578, 10.2836895]"
"[([(14576, 1, 904), (904, 1, 14576), (14576, 0, 7981)], 1.0570540950390304, 'kelpie'), ([(14576, 1, 904), (17185, 0, 904), (904, 1, 14576), (17185, 5, 2971)], 0.9424, 'xrule'), ([(14576, 1, 904), (11097, 0, 904), (904, 1, 14576), (11097, 5, 2971)], 0.8238001, 'xrule'), ([(14576, 1, 904), (904, 1, 14576)], 0.7683344349198742, 'kelpie'), ([(14576, 1, 904), (24018, 5, 2971), (904, 1, 14576), (24018, 0, 904)], 0.7101002, 'xrule'), ([(22518, 0, 14576), (14576, 0, 7981)], 0.2702331950166484, 'kelpie')]",6,3.871058,5.459032,1,2.5,"(14576, 5, 2971)","[3, 2]","[3.8859186, 3.8561974]"
"[([(5832, 1, 12905), (12905, 1, 12904), (12905, 1, 28697), (28697, 1, 12905)], 1.7503081160858767, 'kelpie'), ([(5832, 1, 12905), (12905, 1, 12904), (12905, 1, 28697), (12904, 1, 12905)], 1.408211771378821, 'kelpie'), ([(5832, 1, 12905)], 1.4026995, 'xrule'), ([(5832, 1, 12905), (12905, 1, 12904), (12905, 1, 28697)], 1.0313787976239597, 'kelpie'), ([(12905, 1, 12904), (5832, 1, 1757), (12904, 1, 1757), (1757, 1, 5832), (1757, 1, 12904), (12904, 1, 12905)], -0.20800018, 'xrule'), ([(12905, 1, 28697), (5832, 1, 1757), (1757, 1, 5832), (28697, 1, 12905), (28697, 1, 1757), (1757, 1, 28697)], -0.23420048, 'xrule')]",6,-4.5662303,9.152345,1,38108.0,"(12905, 1, 5832)","[36405, 39811]","[-5.1364403, -3.9960203]"
"[([(653, 1, 17819), (17819, 1, 17820), (17820, 1, 17819)], 5.9767710270176435, 'kelpie'), ([(653, 1, 17819)], 2.012, 'xrule'), ([(653, 1, 17819), (17819, 1, 17820)], 1.1428175517757795, 'kelpie'), ([(17819, 1, 17820)], -0.07462592889564706, 'kelpie'), ([(17819, 1, 17820), (17820, 0, 12901), (17820, 1, 17819), (653, 0, 12901)], -0.14410019, 'xrule'), ([(654, 1, 653), (17819, 1, 17820), (653, 1, 654), (654, 1, 17820), (17820, 1, 17819)], -0.5493002, 'xrule')]",6,-11.901207,9.249761,1,40641.0,"(17819, 1, 653)","[40649, 40633]","[-14.70262, -9.099794]"
"[([(8221, 2, 3167), (8221, 2, 909), (17014, 2, 909)], 10.4026, 'xrule'), ([(28036, 2, 909), (28036, 2, 3167), (17014, 2, 909)], 10.402101, 'xrule'), ([(17219, 2, 909), (17219, 2, 3167), (17014, 2, 909)], 10.4013, 'xrule'), ([(17014, 2, 909)], 6.876429727617267, 'kelpie')]",4,2.473492,7.138199,1,187.0,"(17014, 2, 3167)","[169, 205]","[2.416296, 2.5306878]"
"[([(4393, 1, 522), (522, 1, 4393), (1049, 1, 32701), (32701, 1, 1049), (1049, 0, 4393)], 4.6268997, 'xrule'), ([(1048, 1, 1049), (1048, 0, 522), (1049, 1, 32701), (1049, 1, 1048), (32701, 1, 1049)], 4.4993, 'xrule'), ([(32701, 1, 1049), (1049, 1, 32701)], 4.206099247179424, 'kelpie'), ([(32701, 1, 1049)], 0.7181826091953801, 'kelpie'), ([(1049, 1, 32701)], 0.7174315906230033, 'kelpie')]",5,0.73729134,6.671388,1,1393.0,"(32701, 0, 522)","[2696, 90]","[-0.18482631, 1.6594089]"
"[([(3103, 1, 3104)], 9.5898, 'xrule'), ([(3103, 1, 3104)], 8.067532968206326, 'kelpie'), ([(3104, 5, 1981)], -1.099399513304397, 'kelpie')]",3,-4.304406,9.955729,1,17161.5,"(3104, 1, 3103)","[9589, 24734]","[-2.4114513, -6.197361]"
"[([(17169, 3, 17011)], 2.6324005, 'xrule'), ([(17169, 3, 17011), (17011, 1, 17848), (17011, 3, 17012), (17012, 3, 17011)], 2.28702604788479, 'kelpie'), ([(17169, 3, 17011), (17848, 1, 17011), (17011, 3, 17012), (17012, 3, 17011)], 2.2854892015958, 'kelpie'), ([(17169, 3, 17011), (17011, 3, 17012), (17011, 3, 24571), (17012, 3, 17011)], 2.2212649524967873, 'kelpie')]",4,0.62569606,8.8337755,1,649.5,"(17011, 3, 17169)","[920, 379]","[0.5038737, 0.7475184]"
"[([(16202, 0, 14302), (23647, 0, 14302), (16202, 0, 1338)], 12.0021, 'xrule'), ([(23589, 0, 14302), (23589, 0, 1338), (23647, 0, 14302)], 12.000099, 'xrule'), ([(128, 0, 1338), (23647, 0, 14302), (128, 0, 14302)], 11.9993, 'xrule'), ([(23647, 0, 14302)], 8.395473880489597, 'kelpie')]",4,1.0448511,7.0427074,1,339.0,"(23647, 0, 1338)","[172, 506]","[2.5864239, -0.49672174]"
"[([(4764, 1, 4765), (4765, 1, 29462), (29462, 1, 4765), (10608, 0, 4765)], 2.7266318147581137, 'kelpie'), ([(4764, 1, 4765), (4765, 1, 29462), (29462, 1, 4765), (4765, 0, 889)], 2.429979935721279, 'kelpie'), ([(4764, 1, 4765), (4765, 1, 29462), (29462, 1, 4765), (27968, 0, 4765)], 2.3748937937077312, 'kelpie'), ([(4764, 1, 4765)], 1.7367, 'xrule'), ([(29462, 1, 4765), (29140, 1, 29462), (29140, 1, 4764), (4764, 1, 29140), (4765, 1, 29462), (29462, 1, 29140)], 0.028700829, 'xrule'), ([(4764, 1, 21665), (29462, 1, 4765), (4765, 1, 29462), (21665, 1, 29462), (21665, 1, 4764)], -0.089099884, 'xrule')]",6,-0.55614537,9.360676,1,17162.0,"(4765, 1, 4764)","[30764, 3560]","[-1.0549395, -0.057351287]"
"[([(19068, 1, 8742)], 1.6946998, 'xrule'), ([(19068, 1, 8742), (8742, 1, 9355), (8742, 1, 15133), (15432, 0, 8742)], 1.306679785288654, 'kelpie'), ([(19068, 1, 8742), (9355, 1, 8742), (8742, 1, 9355), (8742, 1, 15133)], 1.2904081935244416, 'kelpie'), ([(19068, 1, 8742), (8742, 1, 9355), (15133, 1, 8742), (8742, 1, 15133)], 1.1875978074974796, 'kelpie'), ([(5674, 1, 1897), (8742, 1, 1897), (1897, 1, 5674), (1897, 1, 8742), (19068, 1, 5674), (5674, 1, 19068)], 0.091199875, 'xrule')]",5,-0.08587108,8.114485,1,7224.5,"(8742, 1, 19068)","[4456, 9993]","[0.09116842, -0.26291057]"
"[([(28087, 1, 13806), (13805, 4, 13806), (13806, 0, 1380)], 6.260065559268487, 'kelpie'), ([(28087, 1, 13806)], 4.4971004, 'xrule'), ([(28087, 1, 13806), (13805, 4, 13806)], 4.412908922901865, 'kelpie'), ([(28087, 1, 13806), (13806, 0, 1380)], 3.249389926650838, 'kelpie')]",4,-1.1293378,9.769687,1,10247.0,"(13806, 1, 28087)","[16475, 4019]","[-1.8334845, -0.42519096]"
"[([(3210, 0, 14885), (5796, 0, 3210), (135, 0, 3210), (13794, 1, 3210)], 1.1960650051629182, 'kelpie'), ([(3210, 0, 14885), (5796, 0, 3210), (135, 0, 3210), (3210, 1, 13794)], 1.1934385860246424, 'kelpie'), ([(3210, 0, 14885), (135, 0, 3210), (13794, 1, 3210), (3210, 1, 13794)], 1.19084506864138, 'kelpie'), ([(10107, 5, 1819), (10107, 0, 14885), (3210, 0, 14885)], 1.0324998, 'xrule'), ([(15370, 0, 14885), (15370, 5, 1819), (3210, 0, 14885)], 0.89750004, 'xrule'), ([(14885, 5, 1819), (3210, 0, 14885)], 0.89419985, 'xrule')]",6,4.067569,6.574163,1,3.5,"(3210, 5, 1819)","[4, 3]","[4.1088457, 4.0262923]"
"[([(8721, 0, 1754), (11480, 2, 8721), (1534, 0, 1754)], 9.8356, 'xrule'), ([(11480, 2, 8721)], 5.760177944211675, 'kelpie')]",2,0.060758874,5.108136,1,447.5,"(11480, 2, 1534)","[329, 566]","[0.38235068, -0.26083294]"
"[([(3407, 1, 26647), (12197, 9, 26647), (26647, 9, 12197), (26646, 1, 26647)], 3.1174252111610437, 'kelpie'), ([(3407, 1, 26647), (12197, 9, 26647), (26647, 9, 12197), (26647, 1, 26646)], 3.115998990875246, 'kelpie'), ([(3407, 1, 26647), (26647, 9, 12197), (26647, 1, 26646), (26646, 1, 26647)], 2.1450530164218886, 'kelpie'), ([(3407, 1, 26647)], 1.8472004, 'xrule'), ([(12197, 1, 3407), (26647, 9, 12197), (12197, 9, 26647), (3407, 1, 12197)], -0.028900146, 'xrule')]",5,-0.7679056,8.59272,1,16898.5,"(26647, 1, 3407)","[31419, 2378]","[-1.3900185, -0.14579277]"
"[([(9268, 1, 12274), (12274, 0, 9960)], 11.26221105432825, 'kelpie'), ([(9268, 1, 12274)], 3.1246, 'xrule'), ([(9268, 1, 12274)], 2.9948713599899945, 'kelpie'), ([(9960, 1, 469), (469, 1, 9960), (9268, 0, 469), (12274, 0, 9960)], 0.048999786, 'xrule'), ([(12274, 0, 9960)], -0.3005246707091229, 'kelpie')]",5,-3.429834,10.34638,1,12810.0,"(12274, 1, 9268)","[16050, 9570]","[-3.3479776, -3.5116904]"
"[([(8885, 1, 17578), (3300, 1, 17578), (17578, 1, 3300), (31094, 0, 17578)], 4.9247984547742965, 'kelpie'), ([(8885, 1, 17578), (3300, 1, 17578), (17578, 0, 17555), (31094, 0, 17578)], 2.747566399714784, 'kelpie'), ([(8885, 1, 17578), (17578, 1, 3300), (17578, 0, 17555), (31094, 0, 17578)], 2.7421814769084367, 'kelpie'), ([(8885, 1, 17578)], 2.4449, 'xrule'), ([(3300, 1, 17578), (17578, 1, 3300), (3300, 1, 26393), (8885, 1, 26393), (26393, 1, 8885), (26393, 1, 3300)], -0.31869984, 'xrule')]",5,-4.8789473,9.063567,1,21843.5,"(17578, 1, 8885)","[21572, 22115]","[-4.094066, -5.6638284]"
"[([(34834, 1, 3152)], 6.6275, 'xrule'), ([(34834, 1, 3152), (3152, 1, 8251), (8251, 1, 3152), (3152, 1, 3151)], 2.2406159598018656, 'kelpie'), ([(34834, 1, 3152), (3152, 1, 8251), (3151, 1, 3152), (3152, 1, 3151)], 1.4659500778196948, 'kelpie'), ([(34834, 1, 3152), (3152, 1, 8251), (3152, 1, 3151)], 1.1437254497394416, 'kelpie')]",4,-10.136456,9.688642,1,39507.5,"(3152, 1, 34834)","[38954, 40061]","[-8.19374, -12.079172]"
"[([(3970, 0, 81), (16415, 4, 36104), (16415, 4, 3970)], 11.35, 'xrule'), ([(16415, 4, 36104)], 8.290613955810413, 'kelpie')]",2,2.4875717,7.7996135,1,151.5,"(36104, 0, 81)","[154, 149]","[2.7735815, 2.2015622]"
"[([(1620, 6, 25305), (33663, 0, 2099), (1620, 4, 33663)], 11.8175, 'xrule'), ([(16667, 0, 2099), (1620, 6, 25305), (1620, 4, 16667)], 11.816401, 'xrule'), ([(1620, 6, 25305), (1620, 4, 35819), (35819, 0, 2099)], 11.811, 'xrule'), ([(1620, 6, 25305)], 7.878408633620579, 'kelpie')]",4,1.2803541,7.398238,1,323.5,"(25305, 0, 2099)","[446, 201]","[1.0214429, 1.5392654]"
"[([(24859, 1, 24512), (24512, 0, 14773)], 11.111385430382114, 'kelpie'), ([(24859, 1, 24512)], 6.6045003, 'xrule'), ([(24859, 1, 24512)], 5.277983261755385, 'kelpie'), ([(24512, 0, 14773)], -0.7162770771741128, 'kelpie')]",4,-4.1648273,10.221,1,18023.5,"(24512, 1, 24859)","[25852, 10195]","[-4.7154284, -3.6142259]"
"[([(3340, 1, 13731), (11130, 1, 13731), (13731, 1, 11130), (13731, 1, 13730)], 1.1206770482798964, 'kelpie'), ([(3340, 1, 13731), (13731, 1, 11130), (13731, 1, 13730)], 0.521060986406536, 'kelpie'), ([(3340, 1, 13731), (13731, 1, 11130), (13731, 0, 586), (13731, 1, 13730)], 0.16054538935179644, 'kelpie')]",3,6.461996,9.419868,1,2.0,"(13731, 1, 3340)","[2, 2]","[6.6630325, 6.26096]"
"[([(19504, 1, 21993)], 5.1183004, 'xrule'), ([(19504, 1, 21993), (21993, 1, 14080), (21993, 1, 27075), (21993, 1, 24827)], 0.7220373608198155, 'kelpie'), ([(11202, 0, 21993), (21993, 1, 14080), (21993, 1, 27075), (21993, 1, 24827)], 0.01338104433659458, 'kelpie'), ([(21993, 1, 14080), (21993, 1, 27075), (27075, 1, 21993), (21993, 1, 24827)], -0.1512364938659663, 'kelpie'), ([(17245, 1, 11202), (11202, 0, 21993), (19504, 0, 17245), (11202, 1, 17245)], -0.24300003, 'xrule')]",5,-4.7281494,8.579209,1,40753.0,"(21993, 1, 19504)","[40715, 40791]","[-4.2158165, -5.240483]"
"[([(14201, 1, 14202), (14202, 0, 31982)], 11.215954638835232, 'kelpie'), ([(14201, 1, 14202)], 4.436533838854867, 'kelpie'), ([(14201, 1, 14202)], 4.1718, 'xrule'), ([(14202, 0, 31982), (31982, 1, 14201), (14201, 1, 31982)], -0.3597002, 'xrule'), ([(14202, 0, 31982)], -0.6663808376867043, 'kelpie')]",5,-3.1945148,10.240109,1,10963.0,"(14202, 1, 14201)","[8705, 13221]","[-2.2688742, -4.1201553]"
"[([(6752, 1, 3450)], 1.5372005, 'xrule'), ([(6752, 1, 3450), (3450, 1, 13763), (3450, 1, 15388), (13763, 1, 3450)], 1.455267017687169, 'kelpie'), ([(6752, 1, 3450), (3450, 1, 13763), (3450, 1, 3451)], 1.3821058897139822, 'kelpie'), ([(6752, 1, 3450), (3450, 1, 13763), (3450, 1, 15388), (3450, 1, 3451)], 1.340868057038706, 'kelpie'), ([(6752, 1, 2604), (13968, 1, 2604), (13968, 1, 3450), (2604, 1, 13968)], 0.12390041, 'xrule'), ([(19171, 9, 2604), (2604, 9, 19171), (19171, 0, 3450), (6752, 1, 2604)], 0.120700836, 'xrule')]",6,3.377697,8.6875305,1,14.5,"(3450, 1, 6752)","[16, 13]","[3.1846766, 3.5707173]"
"[([(1287, 1, 18173), (23932, 1, 18173)], 4.275698448043939, 'kelpie'), ([(1287, 1, 18173)], 3.0297003, 'xrule'), ([(1287, 1, 18173)], 2.734903987258514, 'kelpie'), ([(1287, 1, 18173), (18173, 1, 30417)], 2.603176272698727, 'kelpie'), ([(1287, 1, 6371), (23932, 1, 6371), (6371, 1, 23932), (6371, 1, 1287), (23932, 1, 18173)], 1.1086998, 'xrule'), ([(23932, 1, 18173), (406, 1, 23932), (1287, 1, 406)], -0.43550014, 'xrule')]",6,0.49884197,8.870047,1,650.0,"(18173, 1, 1287)","[673, 627]","[0.53833854, 0.4593454]"
"[([(17826, 3, 14917)], 3.0593, 'xrule'), ([(17826, 3, 14917), (14917, 3, 17825), (14917, 3, 14918)], 2.174474825239134, 'kelpie'), ([(17826, 3, 14917), (14917, 3, 17825)], 2.1050716478716884, 'kelpie'), ([(17826, 3, 14917), (14917, 3, 17825), (14917, 3, 28987)], 2.0425210982582596, 'kelpie'), ([(17826, 3, 17825), (17825, 3, 17826), (14917, 3, 17825)], -0.25619984, 'xrule')]",5,0.24493903,8.515327,1,2786.0,"(14917, 3, 17826)","[1804, 3768]","[0.36356646, 0.12631162]"
"[([(1019, 4, 28305)], 5.472718732849443, 'kelpie'), ([(1019, 4, 23273), (1019, 4, 28305), (23273, 0, 3141)], 5.2717004, 'xrule'), ([(15755, 0, 3141), (1019, 4, 28305), (1019, 4, 15755)], 5.2553005, 'xrule'), ([(1019, 4, 38703), (38703, 0, 3141), (1019, 4, 28305)], 5.2007008, 'xrule'), ([(28305, 4, 28306)], -2.0091380114183055, 'kelpie')]",5,2.9672918,8.571083,1,119.0,"(28305, 0, 3141)","[138, 100]","[2.9485788, 2.986005]"
"[([(24714, 5, 3149), (4747, 5, 3149), (24714, 0, 22951)], 14.4095, 'xrule'), ([(35121, 0, 22951), (4747, 5, 3149), (35121, 5, 3149)], 14.3413, 'xrule'), ([(4747, 5, 3149), (3148, 5, 3149), (3148, 0, 22951)], 14.338, 'xrule'), ([(4747, 5, 3149)], 10.38888355347207, 'kelpie')]",4,-3.868808,7.647258,1,4206.0,"(4747, 0, 22951)","[5258, 3154]","[-3.4725118, -4.2651043]"
"[([(9037, 1, 26613), (9459, 1, 26613), (26613, 1, 9459), (26613, 0, 10457)], 4.965049290459993, 'kelpie'), ([(9037, 1, 26613), (26613, 0, 8724), (26613, 1, 9459), (26613, 0, 10457)], 3.702782579823611, 'kelpie'), ([(9037, 1, 26613), (9459, 1, 26613), (26613, 1, 9459)], 3.4442676067055342, 'kelpie')]",3,-2.9174907,9.101814,1,9803.5,"(26613, 1, 9037)","[4317, 15290]","[-1.3817426, -4.453239]"
