facts,original_score,new_rank,new_scores,prediction,new_score,new_ranks,original_rank,#facts
"[([(8589, 1, 2035)], 1.1447, 'xrule'), ([(2035, 1, 3839)], 0.10188011366355783, 'kelpie'), ([(8589, 1, 647), (647, 1, 8589), (647, 0, 2035)], 0.07240009, 'xrule'), ([(2035, 1, 23638)], 0.04749206732883123, 'kelpie'), ([(8589, 1, 647), (23638, 1, 647), (2035, 1, 23638), (23638, 1, 2035), (647, 1, 8589), (647, 1, 23638)], -0.031300545, 'xrule'), ([(2035, 1, 1012)], -0.08229919242883775, 'kelpie')]",8.747489,3.5,"[6.3566284, 6.203025]","(2035, 1, 8589)",6.2798266,"[3, 4]",1,6
"[([(8774, 1, 16865)], 2.8085003, 'xrule'), ([(8774, 1, 16865)], 2.5836173636282465, 'kelpie'), ([(16865, 0, 8663)], -0.18540187615797343, 'kelpie'), ([(16865, 5, 212)], -0.3286351746726941, 'kelpie'), ([(8775, 1, 8774), (8774, 1, 8775), (16865, 5, 212), (8775, 5, 212)], -0.3994999, 'xrule')]",10.44133,28158.5,"[-5.0481205, -8.91351]","(16865, 1, 8774)",-6.9808154,"[19533, 36784]",1,5
"[([(15249, 1, 26185)], 8.3498, 'xrule'), ([(15249, 1, 26185)], 5.114186062293291, 'kelpie'), ([(26185, 0, 17196)], -0.6159448184491861, 'kelpie')]",11.001265,31833.5,"[-7.483102, -8.190837]","(26185, 1, 15249)",-7.8369694,"[28022, 35645]",1,3
"[([(7707, 1, 7708)], 3.6897998, 'xrule'), ([(7707, 1, 7708)], 2.6564161025391924, 'kelpie'), ([(7708, 1, 9498)], -0.6051997700480136, 'kelpie'), ([(9498, 1, 7708)], -0.6072949925062008, 'kelpie'), ([(7708, 1, 9498), (9498, 1, 15877), (15877, 1, 9498), (7707, 0, 15877), (9498, 1, 7708)], -1.1478004, 'xrule'), ([(7708, 1, 9498), (9498, 1, 7708), (7707, 1, 9498), (9498, 1, 7707)], -1.5653, 'xrule')]",8.797766,40224.0,"[-13.708155, -30.34414]","(7708, 1, 7707)",-22.026146,"[39827, 40621]",1,6
"[([(32885, 1, 37429)], 6.4867005, 'xrule'), ([(32885, 1, 37429)], 4.774894012659452, 'kelpie'), ([(37429, 0, 300)], -0.8602466104882867, 'kelpie')]",10.5282135,33825.0,"[-10.968115, -6.3842344]","(37429, 1, 32885)",-8.676174,"[36123, 31527]",1,3
"[([(10722, 1, 5826)], 4.2447, 'xrule'), ([(10722, 1, 5826)], 3.4187606254412257, 'kelpie'), ([(5826, 1, 3775)], -0.40918441417954465, 'kelpie'), ([(3775, 1, 5826)], -0.4109582484032172, 'kelpie')]",9.052063,1384.5,"[-0.1585226, 0.32514238]","(5826, 1, 10722)",0.08330989,"[1949, 820]",1,4
"[([(21524, 1, 20692)], 3.6782002, 'xrule'), ([(21524, 1, 20692)], 0.7012625191590216, 'kelpie'), ([(12703, 0, 20692)], 0.18054489350983136, 'kelpie'), ([(20692, 0, 7755)], 0.170848886713702, 'kelpie'), ([(21524, 0, 1062), (1062, 1, 20692), (20692, 1, 1062)], -0.9843998, 'xrule')]",9.7515745,40751.0,"[-6.0391264, -12.394062]","(20692, 1, 21524)",-9.216595,"[40613, 40889]",1,5
"[([(31140, 1, 25999)], 6.9379997, 'xrule'), ([(31140, 1, 25999)], 3.2760217656453086, 'kelpie'), ([(25998, 0, 25999)], -0.13508411206725582, 'kelpie'), ([(25999, 0, 12912)], -0.3966989101322176, 'kelpie')]",9.611744,31547.0,"[-9.982674, -5.466928]","(25999, 1, 31140)",-7.724801,"[34172, 28922]",1,4
"[([(15849, 1, 22500)], 4.1816998, 'xrule'), ([(15849, 1, 22500)], 1.560462067735936, 'kelpie'), ([(25081, 0, 22500)], -0.03517242247410706, 'kelpie'), ([(22500, 1, 26110)], -0.12821574961418594, 'kelpie')]",8.751211,23975.0,"[-1.8868222, -0.5430216]","(22500, 1, 15849)",-1.214922,"[36510, 11440]",1,4
"[([(21810, 4, 3388), (21810, 4, 21811), (3388, 0, 278)], 11.610901, 'xrule'), ([(21810, 4, 9817), (21810, 4, 21811), (9817, 0, 278)], 11.6057, 'xrule'), ([(21810, 4, 17429), (17429, 0, 278), (21810, 4, 21811)], 11.5879, 'xrule'), ([(21810, 4, 21811)], 7.868524021619627, 'kelpie')]",7.6046906,22.0,"[5.3758755, 5.9861207]","(21811, 0, 278)",5.680998,"[25, 19]",1,4
"[([(4170, 6, 33440)], 5.3997777369614335, 'kelpie')]",7.4783945,5.0,"[10.048457, 9.872504]","(33440, 2, 121)",9.960481,"[2, 8]",1,1
"[([(14576, 1, 904), (17185, 0, 904), (904, 1, 14576), (17185, 5, 2971)], 0.9424, 'xrule'), ([(14576, 1, 904), (11097, 0, 904), (904, 1, 14576), (11097, 5, 2971)], 0.8238001, 'xrule'), ([(14576, 1, 904), (24018, 5, 2971), (904, 1, 14576), (24018, 0, 904)], 0.7101002, 'xrule'), ([(904, 1, 14576)], 0.16616110063684594, 'kelpie'), ([(14576, 1, 904)], 0.16605285857646587, 'kelpie'), ([(14576, 0, 7981)], 0.06048444938680473, 'kelpie')]",5.459032,1.5,"[4.4430995, 5.623865]","(14576, 5, 2971)",5.0334826,"[2, 1]",1,6
"[([(5832, 1, 12905)], 1.4026995, 'xrule'), ([(5832, 1, 12905)], 0.8057594767907363, 'kelpie'), ([(12905, 1, 28697)], -0.02266498380157672, 'kelpie'), ([(12905, 1, 12904)], -0.06778808402725484, 'kelpie'), ([(12905, 1, 12904), (5832, 1, 1757), (12904, 1, 1757), (1757, 1, 5832), (1757, 1, 12904), (12904, 1, 12905)], -0.20800018, 'xrule'), ([(12905, 1, 28697), (5832, 1, 1757), (1757, 1, 5832), (28697, 1, 12905), (28697, 1, 1757), (1757, 1, 28697)], -0.23420048, 'xrule')]",9.152345,37961.5,"[-4.166073, -2.0824096]","(12905, 1, 5832)",-3.1242414,"[40242, 35681]",1,6
"[([(653, 1, 17819)], 2.012, 'xrule'), ([(653, 1, 17819)], 0.9119701874276097, 'kelpie'), ([(17819, 1, 17820)], -0.07451244166116351, 'kelpie'), ([(17820, 1, 17819)], -0.10173412127263899, 'kelpie'), ([(17819, 1, 17820), (17820, 0, 12901), (17820, 1, 17819), (653, 0, 12901)], -0.14410019, 'xrule'), ([(654, 1, 653), (17819, 1, 17820), (653, 1, 654), (654, 1, 17820), (17820, 1, 17819)], -0.5493002, 'xrule')]",9.249761,40691.0,"[-9.488787, -6.496605]","(17819, 1, 653)",-7.992696,"[40782, 40600]",1,6
"[([(8221, 2, 3167), (8221, 2, 909), (17014, 2, 909)], 10.4026, 'xrule'), ([(28036, 2, 909), (28036, 2, 3167), (17014, 2, 909)], 10.402101, 'xrule'), ([(17219, 2, 909), (17219, 2, 3167), (17014, 2, 909)], 10.4013, 'xrule'), ([(17014, 2, 909)], 6.876253301968563, 'kelpie')]",7.138199,166.0,"[2.013926, 2.6743944]","(17014, 2, 3167)",2.34416,"[163, 169]",1,4
"[([(4393, 1, 522), (522, 1, 4393), (1049, 1, 32701), (32701, 1, 1049), (1049, 0, 4393)], 4.6268997, 'xrule'), ([(1048, 1, 1049), (1048, 0, 522), (1049, 1, 32701), (1049, 1, 1048), (32701, 1, 1049)], 4.4993, 'xrule'), ([(32701, 1, 1049)], 0.7189226604336729, 'kelpie'), ([(1049, 1, 32701)], 0.7175627208304095, 'kelpie'), ([(730, 1, 32701)], -0.5344237852022963, 'kelpie')]",6.671388,376.0,"[0.54685473, 1.4221563]","(32701, 0, 522)",0.98450553,"[585, 167]",1,5
"[([(3103, 1, 3104)], 9.5898, 'xrule'), ([(3103, 1, 3104)], 8.067659799592336, 'kelpie'), ([(3104, 5, 1981)], -1.0993213120146375, 'kelpie')]",9.955729,14057.5,"[-3.9430232, -2.7619507]","(3104, 1, 3103)",-3.352487,"[13718, 14397]",1,3
"[([(17169, 3, 17011)], 2.6324005, 'xrule'), ([(17169, 3, 17011)], 1.838922108253758, 'kelpie'), ([(17011, 3, 17012)], -0.17811675807550587, 'kelpie'), ([(17011, 3, 24571)], -0.2514867376333121, 'kelpie')]",8.8337755,2349.5,"[0.93873525, 0.1849876]","(17011, 3, 17169)",0.5618614,"[338, 4361]",1,4
"[([(16202, 0, 14302), (23647, 0, 14302), (16202, 0, 1338)], 12.0021, 'xrule'), ([(23589, 0, 14302), (23589, 0, 1338), (23647, 0, 14302)], 12.000099, 'xrule'), ([(128, 0, 1338), (23647, 0, 14302), (128, 0, 14302)], 11.9993, 'xrule'), ([(23647, 0, 14302)], 8.396094793072805, 'kelpie')]",7.0427074,181.0,"[1.4065024, 2.2921195]","(23647, 0, 1338)",1.8493109,"[206, 156]",1,4
"[([(4764, 1, 4765)], 1.7367, 'xrule'), ([(4764, 1, 4765)], 0.8379860398911381, 'kelpie'), ([(4765, 1, 29462)], 0.12413124286383459, 'kelpie'), ([(29462, 1, 4765)], 0.11855034074100411, 'kelpie'), ([(29462, 1, 4765), (29140, 1, 29462), (29140, 1, 4764), (4764, 1, 29140), (4765, 1, 29462), (29462, 1, 29140)], 0.028700829, 'xrule'), ([(4764, 1, 21665), (29462, 1, 4765), (4765, 1, 29462), (21665, 1, 29462), (21665, 1, 4764)], -0.089099884, 'xrule')]",9.360676,14148.0,"[-0.88239527, 0.46871877]","(4765, 1, 4764)",-0.20683825,"[26363, 1933]",1,6
"[([(19068, 1, 8742)], 1.6946998, 'xrule'), ([(5674, 1, 1897), (8742, 1, 1897), (1897, 1, 5674), (1897, 1, 8742), (19068, 1, 5674), (5674, 1, 19068)], 0.091199875, 'xrule'), ([(8742, 1, 9355)], -0.033663709659555605, 'kelpie'), ([(8742, 1, 1897)], -0.06680866050919153, 'kelpie'), ([(8742, 1, 15133)], -0.07649322319444159, 'kelpie')]",8.114485,120.5,"[2.5482888, 2.205554]","(8742, 1, 19068)",2.3769214,"[88, 153]",1,5
"[([(28087, 1, 13806)], 4.4971004, 'xrule'), ([(28087, 1, 13806)], 2.6448075001582576, 'kelpie'), ([(13805, 4, 13806)], -0.014186819116654256, 'kelpie'), ([(13806, 0, 1380)], -0.16377349641075525, 'kelpie')]",9.769687,21397.0,"[-1.3303958, -2.7350507]","(13806, 1, 28087)",-2.0327232,"[10870, 31924]",1,4
"[([(10107, 5, 1819), (10107, 0, 14885), (3210, 0, 14885)], 1.0324998, 'xrule'), ([(15370, 0, 14885), (15370, 5, 1819), (3210, 0, 14885)], 0.89750004, 'xrule'), ([(14885, 5, 1819), (3210, 0, 14885)], 0.89419985, 'xrule'), ([(3210, 0, 14885)], 0.6948409530792367, 'kelpie'), ([(135, 0, 3210)], 0.13516096321162602, 'kelpie'), ([(8242, 0, 3210)], 0.05961755939152136, 'kelpie')]",6.574163,5.0,"[4.477208, 4.5181284]","(3210, 5, 1819)",4.4976683,"[5, 5]",1,6
"[([(8721, 0, 1754), (11480, 2, 8721), (1534, 0, 1754)], 9.8356, 'xrule'), ([(11480, 2, 8721)], 5.75968823417111, 'kelpie')]",5.108136,860.5,"[-1.7647859, -0.46182072]","(11480, 2, 1534)",-1.1133033,"[1087, 634]",1,2
"[([(3407, 1, 26647)], 1.8577137849987742, 'kelpie'), ([(3407, 1, 26647)], 1.8472004, 'xrule'), ([(12197, 1, 3407), (26647, 9, 12197), (12197, 9, 26647), (3407, 1, 12197)], -0.028900146, 'xrule'), ([(26647, 9, 12197)], -0.17128558900522367, 'kelpie'), ([(26647, 1, 26646)], -0.26332088213750054, 'kelpie')]",8.59272,7212.0,"[-0.62394565, -0.41462576]","(26647, 1, 3407)",-0.5192857,"[7413, 7011]",1,5
"[([(9268, 1, 12274)], 3.1246, 'xrule'), ([(9268, 1, 12274)], 2.9948684987816563, 'kelpie'), ([(9960, 1, 469), (469, 1, 9960), (9268, 0, 469), (12274, 0, 9960)], 0.048999786, 'xrule'), ([(12274, 0, 9960)], -0.30047889433362296, 'kelpie')]",10.34638,12520.0,"[-4.299972, -2.0608613]","(12274, 1, 9268)",-3.1804166,"[15751, 9289]",1,4
"[([(8885, 1, 17578)], 2.4449, 'xrule'), ([(8885, 1, 17578)], 1.809701048549741, 'kelpie'), ([(31094, 0, 17578)], -0.01831241419202005, 'kelpie'), ([(17578, 1, 3300)], -0.21338554150575706, 'kelpie'), ([(3300, 1, 17578), (17578, 1, 3300), (3300, 1, 26393), (8885, 1, 26393), (26393, 1, 8885), (26393, 1, 3300)], -0.31869984, 'xrule')]",9.063567,20014.5,"[-2.2171493, -1.3197478]","(17578, 1, 8885)",-1.7684486,"[23010, 17019]",1,5
"[([(34834, 1, 3152)], 6.6275, 'xrule'), ([(34834, 1, 3152)], 1.144129807694078, 'kelpie'), ([(3152, 1, 8251)], -0.10577770035535292, 'kelpie'), ([(3152, 1, 3151)], -0.2015418602022077, 'kelpie')]",9.688642,35697.5,"[-3.7083375, -1.6538312]","(3152, 1, 34834)",-2.6810844,"[40036, 31359]",1,4
"[([(3970, 0, 81), (16415, 4, 36104), (16415, 4, 3970)], 11.35, 'xrule'), ([(16415, 4, 36104)], 8.29233443595319, 'kelpie')]",7.7996135,143.5,"[2.3059936, 2.2445498]","(36104, 0, 81)",2.2752717,"[122, 165]",1,2
"[([(1620, 6, 25305), (33663, 0, 2099), (1620, 4, 33663)], 11.8175, 'xrule'), ([(16667, 0, 2099), (1620, 6, 25305), (1620, 4, 16667)], 11.816401, 'xrule'), ([(1620, 6, 25305), (1620, 4, 35819), (35819, 0, 2099)], 11.811, 'xrule'), ([(1620, 6, 25305)], 7.878249845034241, 'kelpie')]",7.398238,297.5,"[1.0587585, 0.8160906]","(25305, 0, 2099)",0.93742454,"[236, 359]",1,4
"[([(24859, 1, 24512)], 6.6045003, 'xrule'), ([(24859, 1, 24512)], 5.277992319593081, 'kelpie'), ([(24512, 0, 14773)], -0.7162684940455131, 'kelpie')]",10.221,17773.0,"[-5.605561, -2.6477017]","(24512, 1, 24859)",-4.1266313,"[22026, 13520]",1,3
"[([(3340, 1, 13731)], 0.3490600998177927, 'kelpie'), ([(11130, 1, 13731)], 0.02657894322687749, 'kelpie'), ([(13731, 1, 11130)], 0.02612785525133898, 'kelpie')]",9.419868,2.0,"[7.657034, 7.2729683]","(13731, 1, 3340)",7.465001,"[2, 2]",1,3
"[([(19504, 1, 21993)], 5.1183004, 'xrule'), ([(21993, 1, 27075)], -0.02643676569363464, 'kelpie'), ([(21993, 1, 14080)], -0.04524608423759901, 'kelpie'), ([(21993, 1, 24827)], -0.06181999016139153, 'kelpie'), ([(17245, 1, 11202), (11202, 0, 21993), (19504, 0, 17245), (11202, 1, 17245)], -0.24300003, 'xrule')]",8.579209,40875.0,"[-5.6467724, -2.9758768]","(21993, 1, 19504)",-4.3113246,"[40898, 40852]",1,5
"[([(14201, 1, 14202)], 4.436471372937372, 'kelpie'), ([(14201, 1, 14202)], 4.1718, 'xrule'), ([(14202, 0, 31982), (31982, 1, 14201), (14201, 1, 31982)], -0.3597002, 'xrule'), ([(14202, 0, 31982)], -0.6664828808273733, 'kelpie')]",10.240109,16796.0,"[-2.814753, -4.705739]","(14202, 1, 14201)",-3.760246,"[7450, 26142]",1,4
"[([(6752, 1, 3450)], 1.5372005, 'xrule'), ([(6752, 1, 3450)], 1.1940003001947856, 'kelpie'), ([(6752, 1, 2604), (13968, 1, 2604), (13968, 1, 3450), (2604, 1, 13968)], 0.12390041, 'xrule'), ([(19171, 9, 2604), (2604, 9, 19171), (19171, 0, 3450), (6752, 1, 2604)], 0.120700836, 'xrule'), ([(3450, 1, 13763)], -0.05779643821999401, 'kelpie'), ([(3450, 1, 15388)], -0.11970229901978895, 'kelpie')]",8.6875305,15.5,"[3.6780865, 4.20627]","(3450, 1, 6752)",3.9421782,"[17, 14]",1,6
"[([(1287, 1, 18173)], 3.0297003, 'xrule'), ([(1287, 1, 18173)], 2.7351428826111936, 'kelpie'), ([(1287, 1, 6371), (23932, 1, 6371), (6371, 1, 23932), (6371, 1, 1287), (23932, 1, 18173)], 1.1086998, 'xrule'), ([(23932, 1, 18173)], 0.04869941896622269, 'kelpie'), ([(23932, 1, 18173), (406, 1, 23932), (1287, 1, 406)], -0.43550014, 'xrule'), ([(18173, 1, 30417)], -0.49186034722748967, 'kelpie')]",8.870047,2572.0,"[0.3202933, -0.027015671]","(18173, 1, 1287)",0.14663881,"[1155, 3989]",1,6
"[([(17826, 3, 14917)], 3.0593, 'xrule'), ([(17826, 3, 14917)], 1.4964428616733851, 'kelpie'), ([(14917, 3, 14918)], -0.14808364658130485, 'kelpie'), ([(14917, 3, 28987)], -0.21598525771743265, 'kelpie'), ([(17826, 3, 17825), (17825, 3, 17826), (14917, 3, 17825)], -0.25619984, 'xrule')]",8.515327,1548.0,"[0.7169106, 0.31856164]","(14917, 3, 17826)",0.51773614,"[544, 2552]",1,5
"[([(9037, 1, 26613)], 2.523134377124965, 'kelpie'), ([(26613, 0, 10457)], -0.14326091563133958, 'kelpie'), ([(26613, 1, 9459)], -0.35946841878957075, 'kelpie')]",9.101814,6416.0,"[0.57609546, -0.6552682]","(26613, 1, 9037)",-0.039586365,"[786, 12046]",1,3
"[([(1019, 4, 28305)], 5.472739714975529, 'kelpie'), ([(1019, 4, 23273), (1019, 4, 28305), (23273, 0, 3141)], 5.2717004, 'xrule'), ([(15755, 0, 3141), (1019, 4, 28305), (1019, 4, 15755)], 5.2553005, 'xrule'), ([(1019, 4, 38703), (38703, 0, 3141), (1019, 4, 28305)], 5.2007008, 'xrule'), ([(28305, 4, 28306)], -2.009027385148083, 'kelpie')]",8.571083,84.0,"[2.5759883, 3.8401442]","(28305, 0, 3141)",3.2080662,"[106, 62]",1,5
"[([(24714, 5, 3149), (4747, 5, 3149), (24714, 0, 22951)], 14.4095, 'xrule'), ([(35121, 0, 22951), (4747, 5, 3149), (35121, 5, 3149)], 14.3413, 'xrule'), ([(4747, 5, 3149), (3148, 5, 3149), (3148, 0, 22951)], 14.338, 'xrule'), ([(4747, 5, 3149)], 10.38924587081491, 'kelpie')]",7.647258,3346.0,"[-4.2430816, -3.5957384]","(4747, 0, 22951)",-3.91941,"[3352, 3340]",1,4
"[([(2938, 1, 15497)], 2.7598996, 'xrule'), ([(2938, 1, 15497)], 1.4024124777006275, 'kelpie'), ([(7315, 0, 15497)], 0.24061207061324313, 'kelpie'), ([(5712, 0, 2938), (7315, 1, 5712), (7315, 0, 15497), (5712, 1, 7315)], 0.17789936, 'xrule'), ([(16075, 0, 15497)], 0.05040172766193757, 'kelpie')]",9.88568,1221.5,"[1.0788137, 0.4706066]","(15497, 1, 2938)",0.7747101,"[319, 2124]",1,5
"[([(5862, 1, 14121)], 2.6597, 'xrule'), ([(5862, 1, 14121)], 1.5529542663159217, 'kelpie'), ([(14121, 1, 20816)], -0.008239706087126875, 'kelpie'), ([(14121, 1, 37161)], -0.09197231098963612, 'kelpie')]",7.876352,2024.5,"[0.5102792, 0.40982103]","(14121, 1, 5862)",0.4600501,"[1363, 2686]",1,4
"[([(1038, 4, 39279), (22149, 0, 184), (1038, 4, 22149)], 12.8801, 'xrule'), ([(6598, 0, 184), (1038, 4, 39279), (1038, 4, 6598)], 12.8787, 'xrule'), ([(1038, 4, 39279), (1038, 4, 32299), (32299, 0, 184)], 12.8241005, 'xrule'), ([(1038, 4, 39279)], 11.377507094558638, 'kelpie')]",8.77287,9.5,"[6.9159007, 6.3621144]","(39279, 0, 184)",6.6390076,"[7, 12]",1,4
"[([(25165, 1, 7514)], 2.0916996, 'xrule'), ([(25165, 1, 7514)], 0.5949278314202425, 'kelpie'), ([(7514, 1, 21485)], 0.07550148203230113, 'kelpie'), ([(7514, 1, 3331)], 0.0356026096083266, 'kelpie'), ([(21485, 1, 7514), (5598, 1, 25165), (5598, 1, 21485), (25165, 1, 5598), (21485, 0, 5598), (7514, 1, 21485), (21485, 1, 5598)], -0.05960083, 'xrule'), ([(5598, 1, 25165), (25165, 1, 5598), (3331, 0, 5598), (3331, 1, 7514), (5598, 1, 3331), (3331, 1, 5598), (7514, 1, 3331)], -0.0819006, 'xrule')]",9.075606,28642.5,"[-0.92837024, -0.16465533]","(7514, 1, 25165)",-0.5465128,"[37088, 20197]",1,6
"[([(5116, 1, 15028)], 0.47210026, 'xrule'), ([(5116, 1, 15028)], 0.31575874613959537, 'kelpie'), ([(15028, 1, 21701), (5117, 1, 5116), (21701, 1, 15028), (21701, 1, 5117), (5116, 1, 5117), (5117, 1, 21701)], 0.10420036, 'xrule'), ([(16314, 1, 5117), (16314, 1, 15028), (5117, 1, 5116), (5117, 1, 16314), (5116, 1, 5117)], 0.10270023, 'xrule'), ([(16314, 1, 15028)], 0.08560661509807145, 'kelpie'), ([(15028, 1, 21701)], 0.011381189265875988, 'kelpie')]",9.27175,2.0,"[6.123746, 6.2062635]","(15028, 1, 5116)",6.1650047,"[2, 2]",1,6
"[([(5782, 1, 6726)], 4.6273, 'xrule'), ([(5782, 1, 6726)], 0.5725403265904968, 'kelpie'), ([(6726, 1, 35914)], -0.02415176205462448, 'kelpie'), ([(6726, 1, 13865)], -0.07769962119805082, 'kelpie')]",9.564367,11762.0,"[-0.3246414, 0.57817924]","(6726, 1, 5782)",0.12676892,"[20833, 2691]",1,4
"[([(5329, 1, 12530)], 5.6194997, 'xrule'), ([(5329, 1, 12530)], 3.6638335519725187, 'kelpie'), ([(12530, 0, 1025)], -0.24859233610609238, 'kelpie'), ([(12530, 0, 11638)], -0.2996148654217231, 'kelpie')]",10.27132,30262.0,"[-7.541708, -6.6872873]","(12530, 1, 5329)",-7.1144977,"[28152, 32372]",1,4
"[([(14159, 1, 40286)], 7.4143, 'xrule'), ([(14159, 1, 40286)], 6.316315010999121, 'kelpie'), ([(40286, 0, 5905)], -0.9099339949827178, 'kelpie')]",10.40897,24459.5,"[-5.9707446, -4.559835]","(40286, 1, 14159)",-5.26529,"[23389, 25530]",1,3
"[([(7703, 1, 26785)], 4.227009524412198, 'kelpie'), ([(7703, 1, 26785)], 3.1688004, 'xrule'), ([(17167, 1, 15649), (26785, 0, 17167), (7703, 0, 15649), (15649, 1, 17167)], 0.06910038, 'xrule'), ([(26785, 0, 17167), (7703, 1, 707), (707, 1, 7703), (707, 0, 17167)], -0.1286993, 'xrule'), ([(26785, 0, 17167)], -0.48362727693263946, 'kelpie')]",10.314679,618.5,"[-0.11501931, 0.15321997]","(26785, 1, 7703)",0.01910033,"[428, 809]",1,5
"[([(7329, 1, 5855)], 1.4405003, 'xrule'), ([(8458, 0, 7329), (11474, 1, 8458), (11474, 0, 5855), (8458, 1, 11474)], 0.109900475, 'xrule'), ([(5855, 1, 17345)], 0.026293794557852506, 'kelpie'), ([(5855, 1, 28317)], 0.01584057041677979, 'kelpie'), ([(28317, 0, 7329), (28317, 1, 5855), (5855, 1, 28317)], -0.034399986, 'xrule'), ([(5855, 1, 11997)], -0.09524627491897304, 'kelpie')]",8.925503,20.0,"[4.4285135, 4.7713137]","(5855, 1, 7329)",4.5999136,"[23, 17]",1,6
