new_ranks,original_rank,new_scores,new_score,#facts,new_rank,facts,prediction,original_score
"[151, 2]",1,"[4.5684342, 5.2872896]",4.927862,11,76.5,"[([(78, 0, 79)], 1.6950727271714077, 45.84489009857351), ([(35502, 5, 172), (78, 0, 79), (35502, 0, 79)], 0.47140026, 'xrule'), ([(19755, 0, 79), (78, 0, 79), (19755, 5, 172)], 0.3260002, 'xrule'), ([(15966, 0, 79), (78, 0, 79), (15966, 5, 172)], -0.15509987, 'xrule'), ([(79, 5, 172), (78, 0, 79)], -1.3267994, 'xrule'), ([(3052, 0, 79), (78, 0, 79), (3052, 5, 172)], -1.5672998, 'xrule'), ([(4787, 5, 172), (78, 0, 79), (79, 0, 4787)], -1.6475992, 'xrule'), ([(22764, 0, 79), (78, 0, 79), (22764, 5, 172)], -1.9632998, 'xrule'), ([(22566, 5, 172), (78, 0, 79), (22566, 0, 79)], -2.0147, 'xrule'), ([(78, 0, 79), (3328, 0, 79), (3328, 5, 172)], -2.3006, 'xrule'), ([(7325, 5, 172), (78, 0, 79), (7325, 0, 79)], -4.5684996, 'xrule')]","(78, 5, 172)",2.3237505
"[4320, 640]",1,"[5.9761724, 4.4143257]",5.195249,6,2480.0,"[([(18847, 6, 16074)], 3.2494995993131006, 5726.962655117292), ([(18847, 6, 16074), (18847, 6, 18848), (18848, 0, 18268)], 1.1849995, 'xrule'), ([(16074, 5, 10754), (18267, 5, 10754), (18267, 0, 18268)], 1.0945997, 'xrule'), ([(18847, 6, 16074), (18267, 0, 18268), (18847, 6, 18267)], 0.41349983, 'xrule'), ([(16670, 0, 18268), (16670, 5, 10754), (16074, 5, 10754)], -0.14070034, 'xrule'), ([(16074, 5, 10754), (18848, 0, 18268), (18848, 5, 10754)], -1.5662003, 'xrule')]","(16074, 0, 18268)",1.1613934
"[4, 3]",1,"[1.7924069, 1.1990193]",1.4957131,11,3.5,"[([(1858, 2, 121), (1858, 2, 916), (34189, 2, 121)], 2.4953003, 'xrule'), ([(7518, 2, 916), (7518, 2, 121), (34189, 2, 121)], 1.6100998, 'xrule'), ([(4798, 2, 121), (4798, 2, 916), (34189, 2, 121)], 1.5697002, 'xrule'), ([(5151, 2, 121), (5151, 2, 916), (34189, 2, 121)], 1.4761, 'xrule'), ([(6718, 2, 121), (6718, 2, 916), (34189, 2, 121)], 1.1821003, 'xrule'), ([(1284, 2, 121), (1284, 2, 916), (34189, 2, 121)], -0.010199547, 'xrule'), ([(6764, 2, 916), (34189, 2, 121), (6764, 2, 121)], -0.22000027, 'xrule'), ([(695, 2, 121), (695, 2, 916), (34189, 2, 121)], -0.26879978, 'xrule'), ([(6438, 2, 916), (6438, 2, 121), (34189, 2, 121)], -0.7247, 'xrule'), ([(12688, 2, 916), (34189, 2, 121), (12688, 2, 121)], -1.7046995, 'xrule'), ([(34189, 2, 121)], -2.0114525788455, 114.11800569897495)]","(34189, 2, 916)",0.55414593
"[1, 17]",1,"[5.3769107, 5.7978787]",5.5873947,11,9.0,"[([(3034, 5, 774), (23474, 2, 1137), (23474, 5, 774)], -0.6097002, 'xrule'), ([(3034, 5, 774)], -0.7874030601323285, 179.31272654457362), ([(3034, 5, 774), (20262, 5, 774), (20262, 2, 1137)], -0.93029976, 'xrule'), ([(3034, 5, 774), (18637, 2, 1137), (18637, 5, 774)], -1.6588001, 'xrule'), ([(3033, 8, 24912), (3033, 8, 3034), (24912, 2, 1137)], -1.7663994, 'xrule'), ([(3034, 5, 774), (8483, 2, 1137), (8483, 2, 774)], -1.9993, 'xrule'), ([(3034, 5, 774), (1137, 5, 774)], -2.6669998, 'xrule'), ([(3034, 5, 774), (21482, 2, 1137), (21482, 5, 774)], -3.1028996, 'xrule'), ([(3034, 5, 774), (24227, 2, 1137), (24227, 5, 774)], -3.5337, 'xrule'), ([(3034, 5, 774), (24912, 5, 774), (24912, 2, 1137)], -4.2948, 'xrule'), ([(3034, 5, 774), (20068, 2, 1137), (20068, 5, 774)], -4.7733994, 'xrule')]","(3034, 2, 1137)",1.4543347
"[57, 19997]",1,"[5.3294077, 5.6715436]",5.500476,1,10027.0,"[([(33413, 4, 27450)], 4.178018288656134, 8413.98490256144)]","(33413, 0, 292)",2.947596
"[1, 1]",1,"[0.8636589, 0.7979027]",0.8307808,7,1.0,"[([(22133, 4, 36654)], 2.786719028304906, 7446.941953901795), ([(10223, 0, 1730), (10222, 4, 10223), (10222, 4, 22133)], -0.2493, 'xrule'), ([(14077, 0, 1730), (10222, 4, 14077), (10222, 4, 22133)], -1.0952997, 'xrule'), ([(10222, 4, 36763), (36763, 0, 1730), (10222, 4, 22133)], -2.0109005, 'xrule'), ([(14829, 0, 1730), (10222, 4, 14829), (10222, 4, 22133)], -3.3234005, 'xrule'), ([(33940, 0, 1730), (10222, 4, 33940), (10222, 4, 22133)], -3.7560997, 'xrule'), ([(10222, 4, 2457), (2457, 0, 1730), (10222, 4, 22133)], -5.2446003, 'xrule')]","(22133, 0, 1730)",0.86834943
"[42, 7065]",1,"[4.6153073, 5.542015]",5.078661,7,3553.5,"[([(7298, 0, 278), (21810, 4, 7298), (21810, 4, 21811)], 2.4323997, 'xrule'), ([(21810, 4, 6819), (21810, 4, 21811), (6819, 0, 278)], 0.25419998, 'xrule'), ([(21810, 4, 9817), (21810, 4, 21811), (9817, 0, 278)], -0.037700653, 'xrule'), ([(21810, 4, 3388), (21810, 4, 21811), (3388, 0, 278)], -0.35099983, 'xrule'), ([(36998, 0, 278), (21810, 4, 36998), (21810, 4, 21811)], -0.38339996, 'xrule'), ([(21810, 4, 17429), (17429, 0, 278), (21810, 4, 21811)], -0.7844, 'xrule'), ([(21810, 4, 21811)], -0.8252849106626499, -1069.6953570369405)]","(21811, 0, 278)",1.2848617
"[1124, 2597]",1,"[5.527932, 5.341467]",5.4346995,11,1860.5,"[([(11149, 6, 39206)], 1.3783894206837428, 1038.7987321995963), ([(11149, 6, 36392), (11149, 6, 39206), (36392, 0, 12650)], 0.91590023, 'xrule'), ([(32754, 0, 12650), (11149, 6, 32754), (11149, 6, 39206)], 0.60099983, 'xrule'), ([(15838, 0, 12650), (11149, 6, 39206), (11149, 6, 15838)], 0.48010063, 'xrule'), ([(26438, 0, 12650), (11149, 6, 39206), (11149, 6, 26438)], -0.56699944, 'xrule'), ([(35241, 0, 12650), (11149, 6, 39206), (11149, 6, 35241)], -0.6310997, 'xrule'), ([(12465, 0, 12650), (11149, 6, 39206), (11149, 6, 12465)], -0.66119957, 'xrule'), ([(18636, 0, 12650), (11149, 6, 39206), (11149, 6, 18636)], -0.66209984, 'xrule'), ([(11149, 6, 23309), (11149, 6, 39206), (23309, 0, 12650)], -2.0012999, 'xrule'), ([(11149, 6, 37568), (11149, 6, 39206), (37568, 0, 12650)], -2.0254002, 'xrule'), ([(11149, 6, 39206), (11149, 6, 11150), (11150, 0, 12650)], -3.8962994, 'xrule')]","(39206, 0, 12650)",0.7448149
"[66, 284]",1,"[5.4997663, 5.4343762]",5.4670715,11,175.0,"[([(3584, 2, 1137), (37417, 2, 1137), (3584, 5, 774)], 2.3373003, 'xrule'), ([(12279, 2, 1137), (37417, 2, 1137), (12279, 5, 774)], 1.7219, 'xrule'), ([(7069, 2, 1137), (37417, 2, 1137), (7069, 5, 774)], 1.6363001, 'xrule'), ([(37417, 2, 1137)], 0.0034389895982231355, 4173.500859736549), ([(37417, 2, 1137), (14476, 5, 774), (14476, 2, 1137)], -0.3437996, 'xrule'), ([(7028, 5, 774), (37417, 2, 1137), (7028, 2, 1137)], -0.7049999, 'xrule'), ([(11004, 2, 1137), (37417, 2, 1137), (11004, 5, 774)], -0.83469963, 'xrule'), ([(8021, 2, 1137), (37417, 2, 1137), (8021, 5, 774)], -1.6372004, 'xrule'), ([(4159, 2, 1137), (37417, 2, 1137), (4159, 5, 774)], -1.6731005, 'xrule'), ([(14766, 2, 1137), (37417, 2, 1137), (14766, 5, 774)], -2.4138002, 'xrule'), ([(14827, 5, 774), (37417, 2, 1137), (14827, 2, 1137)], -2.5877, 'xrule')]","(37417, 5, 774)",2.0156152
"[58, 304]",1,"[4.9350643, 5.134099]",5.0345817,5,181.0,"[([(829, 1, 830), (830, 1, 829), (830, 1, 13975), (13975, 0, 1677), (13975, 1, 830)], 2.6609, 'xrule'), ([(1014, 1, 829), (10621, 1, 1014), (829, 1, 1014), (10621, 0, 1677), (1014, 1, 10621)], -0.038599968, 'xrule'), ([(1014, 1, 829)], -1.0378045517892704, 1281.2615738192078), ([(3160, 1, 1677), (1014, 1, 829), (829, 1, 1014), (1014, 0, 3160), (1677, 1, 3160)], -1.2172003, 'xrule'), ([(830, 1, 6728), (6728, 0, 1677), (829, 1, 830), (830, 1, 829), (6728, 1, 830)], -3.5163002, 'xrule')]","(829, 0, 1677)",1.4397378
"[78, 18]",1,"[5.0632057, 4.888907]",4.976056,5,48.0,"[([(1349, 6, 37929)], 2.45963205779093, 225.92126296735148), ([(1349, 6, 37929), (25607, 2, 121), (1349, 6, 25607)], 0.35620022, 'xrule'), ([(1349, 6, 37929), (1349, 6, 37700), (37700, 2, 121)], -0.48420048, 'xrule'), ([(1349, 6, 37929), (11308, 2, 121), (1349, 6, 11308)], -1.3779001, 'xrule'), ([(1349, 6, 37929), (11137, 2, 121), (1349, 6, 11137)], -2.9761, 'xrule')]","(37929, 2, 121)",1.7267122
"[3, 9]",1,"[5.268687, 4.8298903]",5.0492887,10,6.0,"[([(8317, 0, 9103), (8317, 5, 914), (7848, 0, 9103)], 4.1724997, 'xrule'), ([(20491, 1, 7848), (20490, 1, 20491), (20490, 5, 914), (7848, 1, 20491), (20491, 1, 20490)], 3.37, 'xrule'), ([(7848, 0, 724), (914, 1, 8596), (8596, 1, 914), (8596, 0, 724)], 2.9520998, 'xrule'), ([(7847, 1, 7848), (7847, 1, 20490), (7848, 1, 7847), (20490, 5, 914)], 2.4509, 'xrule'), ([(17170, 0, 9103), (7848, 0, 9103), (17170, 5, 914)], 2.0812998, 'xrule'), ([(1210, 5, 914), (7848, 0, 9103), (1210, 4, 9103)], 2.0493002, 'xrule'), ([(7848, 0, 9103), (23771, 0, 9103), (23771, 5, 914)], 1.5029001, 'xrule'), ([(20491, 1, 7848)], 0.2441158700643234, 112.56072768008802), ([(9103, 5, 914), (7848, 0, 9103)], 0.20190048, 'xrule'), ([(31037, 1, 9103), (31037, 5, 914), (7848, 0, 9103), (9103, 1, 31037)], -0.22309971, 'xrule')]","(7848, 5, 914)",2.4129827
"[10365, 2189]",1,"[3.7611763, 2.9546375]",3.3579068,11,6277.0,"[([(4980, 0, 1244), (4979, 4, 4980), (4979, 4, 14487)], 3.0333004, 'xrule'), ([(4979, 4, 29548), (29548, 0, 1244), (4979, 4, 14487)], 2.9106007, 'xrule'), ([(37065, 0, 1244), (4979, 4, 37065), (4979, 4, 14487)], 2.5199003, 'xrule'), ([(4979, 4, 24608), (24608, 0, 1244), (4979, 4, 14487)], 1.4623003, 'xrule'), ([(4979, 4, 2765), (2765, 0, 1244), (4979, 4, 14487)], 1.1290007, 'xrule'), ([(4979, 4, 14487), (4979, 4, 19734), (19734, 0, 1244)], 0.5984001, 'xrule'), ([(34514, 0, 1244), (4979, 4, 34514), (4979, 4, 14487)], 0.19120026, 'xrule'), ([(4979, 4, 33027), (33027, 0, 1244), (4979, 4, 14487)], -0.3456993, 'xrule'), ([(4979, 4, 14487)], -0.43697448353515045, 3688.3924621149254), ([(14992, 0, 1244), (4979, 4, 14992), (4979, 4, 14487)], -0.79609966, 'xrule'), ([(36260, 0, 1244), (4979, 4, 36260), (4979, 4, 14487)], -1.125, 'xrule')]","(14487, 0, 1244)",2.14187
"[243, 114]",1,"[5.379643, 5.1469727]",5.2633076,11,178.5,"[([(1038, 4, 22167), (22167, 0, 184), (1038, 4, 32164)], 0.9038, 'xrule'), ([(1038, 4, 32164), (12259, 0, 184), (1038, 4, 12259)], 0.8232002, 'xrule'), ([(1038, 4, 16103), (1038, 4, 32164), (16103, 0, 184)], 0.4317007, 'xrule'), ([(1038, 4, 32164), (24151, 0, 184), (1038, 4, 24151)], 0.17800045, 'xrule'), ([(1038, 4, 32164), (1038, 4, 20651), (20651, 0, 184)], 0.054600716, 'xrule'), ([(25787, 0, 184), (1038, 4, 32164), (1038, 4, 25787)], -1.0670996, 'xrule'), ([(1038, 4, 32164), (1038, 4, 22120), (22120, 0, 184)], -1.4229994, 'xrule'), ([(15654, 0, 184), (1038, 4, 15654), (1038, 4, 32164)], -1.5583, 'xrule'), ([(32164, 4, 32165)], -1.7574471630051327, 4514.147110342976), ([(1038, 4, 12791), (12791, 0, 184), (1038, 4, 32164)], -2.4401999, 'xrule'), ([(1038, 4, 32164), (16770, 0, 184), (1038, 4, 16770)], -3.7886, 'xrule')]","(32164, 0, 184)",0.74327976
"[18, 13]",1,"[5.708107, 5.5990043]",5.653556,11,15.5,"[([(35945, 0, 5108), (17062, 5, 914), (5108, 0, 17062)], 2.2712002, 'xrule'), ([(35945, 0, 5108), (33821, 0, 5108), (33821, 5, 914)], 1.6983004, 'xrule'), ([(35945, 0, 5108), (7456, 0, 5108), (7456, 5, 914)], 1.3270998, 'xrule'), ([(35945, 0, 5108), (5820, 0, 5108), (5820, 5, 914)], 1.1534004, 'xrule'), ([(35945, 0, 5108), (25357, 5, 914), (25357, 0, 5108)], 0.79310036, 'xrule'), ([(35945, 0, 5108)], 0.5213547180622177, 2982.627464480104), ([(35945, 0, 5108), (37824, 0, 5108), (37824, 5, 914)], 0.36499977, 'xrule'), ([(35945, 0, 5108), (7059, 5, 914), (7059, 0, 5108)], 0.34969997, 'xrule'), ([(21460, 0, 5108), (35945, 0, 5108), (21460, 5, 914)], -0.7524996, 'xrule'), ([(15848, 0, 5108), (15848, 5, 914), (35945, 0, 5108)], -1.0642996, 'xrule'), ([(35945, 0, 5108), (24935, 0, 5108), (24935, 5, 914)], -1.1501999, 'xrule')]","(35945, 5, 914)",2.8685713
"[119, 9439]",1,"[5.5212207, 5.258143]",5.389682,9,4779.0,"[([(3750, 4, 34828), (34828, 0, 265), (3750, 4, 15205)], 0.8639002, 'xrule'), ([(3750, 4, 34942), (3750, 4, 15205), (34942, 0, 265)], 0.52820015, 'xrule'), ([(8125, 0, 265), (3750, 4, 15205), (3750, 4, 8125)], 0.40280056, 'xrule'), ([(3750, 4, 15205)], 0.34136871639068284, -11581.415477047845), ([(3750, 4, 34778), (34778, 0, 265), (3750, 4, 15205)], 0.14410019, 'xrule'), ([(31024, 0, 265), (3750, 4, 15205), (3750, 4, 31024)], -0.91139984, 'xrule'), ([(3750, 4, 11756), (11756, 0, 265), (3750, 4, 15205)], -1.3587999, 'xrule'), ([(31508, 0, 265), (3750, 4, 15205), (3750, 4, 31508)], -2.3757, 'xrule'), ([(3750, 4, 264), (3750, 4, 15205), (264, 0, 265)], -3.7662, 'xrule')]","(15205, 0, 265)",0.94464505
"[281, 445]",1,"[2.3474514, 2.2920556]",2.3197536,1,363.0,"[([(7326, 4, 11600)], 0.7990684976292803, 1816.689775178492)]","(11600, 0, 13047)",2.725429
"[51, 14]",1,"[5.1165237, 5.2191925]",5.167858,12,32.5,"[([(13522, 2, 4633), (1167, 6, 5134), (1167, 6, 13522)], 3.8682013, 'xrule'), ([(2724, 4, 5134), (2725, 2, 4633), (2724, 4, 2725)], 2.8741999, 'xrule'), ([(5134, 6, 11942), (4632, 6, 11942), (4632, 2, 4633)], 2.6567001, 'xrule'), ([(1167, 6, 2725), (1167, 6, 5134), (2725, 2, 4633)], 1.9968004, 'xrule'), ([(5134, 6, 11942), (8310, 6, 11942), (8310, 2, 4633)], 1.4567003, 'xrule'), ([(5134, 6, 11942), (1241, 6, 11942), (1241, 2, 4633)], 1.1438999, 'xrule'), ([(2724, 4, 5134), (5501, 2, 4633), (2724, 4, 5501)], 0.37320042, 'xrule'), ([(5134, 6, 11942), (13522, 6, 11942), (13522, 2, 4633)], -0.4031, 'xrule'), ([(5501, 2, 4633), (1167, 6, 5134), (1167, 6, 5501)], -0.4862995, 'xrule'), ([(2724, 4, 5134), (13522, 2, 4633), (2724, 4, 13522)], -0.5422001, 'xrule'), ([(1167, 6, 4632), (1167, 6, 5134), (4632, 2, 4633)], -1.1693001, 'xrule'), ([(5134, 8, 32954)], -1.2591084853233208, 21.221127389680944)]","(5134, 2, 4633)",0.51211566
"[62, 79]",1,"[4.3467, 4.361161]",4.3539305,11,70.5,"[([(1864, 4, 26845), (14380, 0, 292), (1864, 4, 14380)], 2.4342003, 'xrule'), ([(1864, 4, 26845), (1864, 4, 2126), (2126, 0, 292)], 2.2082996, 'xrule'), ([(1864, 4, 26845), (1864, 4, 15534), (15534, 0, 292)], 1.6581001, 'xrule'), ([(1864, 4, 26845), (15217, 0, 292), (1864, 4, 15217)], 1.3587999, 'xrule'), ([(1864, 4, 26845), (2463, 0, 292), (1864, 4, 2463)], 0.015999794, 'xrule'), ([(1864, 4, 26845), (1864, 4, 15332), (15332, 0, 292)], -0.106300354, 'xrule'), ([(1864, 4, 26845), (1864, 4, 3352), (3352, 0, 292)], -0.44159985, 'xrule'), ([(26845, 4, 32126)], -0.5823430579954232, -8466.641606375564), ([(1864, 4, 26845), (12084, 0, 292), (1864, 4, 12084)], -0.6142998, 'xrule'), ([(1864, 4, 26845), (1864, 4, 18161), (18161, 0, 292)], -1.0369997, 'xrule'), ([(1864, 4, 26845), (1864, 4, 16205), (16205, 0, 292)], -2.3565998, 'xrule')]","(26845, 0, 292)",0.67443144
"[20073, 22267]",1,"[7.0108814, 6.7221212]",6.8665013,4,21170.0,"[([(23563, 6, 4037)], 0.6226463758124245, -728.3491798240915), ([(4036, 6, 16707), (4036, 6, 4037), (16707, 0, 16708)], -1.1202002, 'xrule'), ([(23563, 6, 4037), (23563, 6, 25770), (25770, 0, 16708)], -1.5324001, 'xrule'), ([(23563, 6, 4037), (23563, 6, 16707), (16707, 0, 16708)], -2.1609, 'xrule')]","(4037, 0, 16708)",1.988281
"[10163, 16520]",1,"[7.327118, 6.0177317]",6.672425,8,13341.5,"[([(33638, 2, 25327), (33638, 2, 499), (8306, 2, 499)], 0.98870087, 'xrule'), ([(4781, 2, 25327), (4781, 2, 499), (8306, 2, 499)], -0.0316, 'xrule'), ([(8306, 2, 499)], -0.06036945155125171, 12.48491220908445), ([(7487, 2, 499), (7487, 2, 25327), (8306, 2, 499)], -0.19669914, 'xrule'), ([(13980, 2, 25327), (13980, 2, 499), (8306, 2, 499)], -0.3595991, 'xrule'), ([(37261, 2, 25327), (37261, 2, 499), (8306, 2, 499)], -0.5675993, 'xrule'), ([(38026, 2, 25327), (38026, 2, 499), (8306, 2, 499)], -1.2264996, 'xrule'), ([(6393, 2, 25327), (6393, 2, 499), (8306, 2, 499)], -1.9944, 'xrule')]","(8306, 2, 25327)",1.4664829
"[29, 136]",1,"[4.4889517, 5.176585]",4.8327684,11,82.5,"[([(1906, 4, 15434), (15434, 0, 184), (1906, 4, 37285)], 1.3171997, 'xrule'), ([(1906, 4, 29705), (29705, 0, 184), (1906, 4, 37285)], 1.2915993, 'xrule'), ([(1906, 4, 37285)], 0.9926758319671686, 6744.729616115155), ([(1906, 4, 28917), (28917, 0, 184), (1906, 4, 37285)], 0.42739964, 'xrule'), ([(13884, 0, 184), (1906, 4, 13884), (1906, 4, 37285)], 0.3810997, 'xrule'), ([(3819, 0, 184), (1906, 4, 3819), (1906, 4, 37285)], 0.17669964, 'xrule'), ([(1906, 4, 34625), (34625, 0, 184), (1906, 4, 37285)], -0.12250042, 'xrule'), ([(1906, 4, 22010), (22010, 0, 184), (1906, 4, 37285)], -0.3529005, 'xrule'), ([(1906, 4, 20178), (20178, 0, 184), (1906, 4, 37285)], -0.64920044, 'xrule'), ([(31412, 0, 184), (1906, 4, 31412), (1906, 4, 37285)], -0.9054003, 'xrule'), ([(1906, 4, 1988), (1988, 0, 184), (1906, 4, 37285)], -0.9387007, 'xrule')]","(37285, 0, 184)",1.4167567
