new_ranks,original_rank,original_score,prediction,facts,new_rank,new_score,#facts,new_scores
"[3198, 14193]",1,1.2848617,"(21811, 0, 278)","[(21810, 4, 21811)]",8695.5,5.05771,1,"[4.6999483, 5.415472]"
"[563, 124]",1,0.7448149,"(39206, 0, 12650)","[(11149, 6, 39206)]",343.5,5.1474543,1,"[5.345395, 4.9495134]"
"[1, 165]",1,2.0156152,"(37417, 5, 774)","[(37417, 2, 1137)]",83.0,5.72589,1,"[5.6631966, 5.788584]"
"[34, 16]",1,1.4397378,"(829, 0, 1677)","[(829, 1, 1014), (1014, 1, 829), (830, 1, 829)]",25.0,1.5975544,3,"[1.948628, 1.246481]"
"[132, 39]",1,1.7267122,"(37929, 2, 121)","[(1349, 6, 37929)]",85.5,5.4538107,1,"[5.6803246, 5.2272964]"
"[2, 2]",1,2.4129827,"(7848, 5, 914)","[(7848, 1, 20491), (20491, 1, 7848), (7847, 1, 7848)]",2.0,1.1666934,3,"[1.2851968, 1.0481902]"
"[21102, 1640]",1,2.14187,"(14487, 0, 1244)","[(4979, 4, 14487), (14487, 4, 32746), (4979, 4, 14487), (14487, 4, 32746)]",11371.0,5.1603966,4,"[5.1001177, 5.2206755]"
"[18859, 5]",1,0.74327976,"(32164, 0, 184)","[(32164, 4, 32165), (1038, 4, 32164), (1038, 4, 32164), (32164, 4, 32165)]",9432.0,5.0320663,4,"[5.511077, 4.5530562]"
"[192, 1331]",1,0.94464505,"(15205, 0, 265)","[(3750, 4, 15205)]",761.5,5.2943287,1,"[5.186691, 5.401967]"
"[46, 5]",1,2.8685713,"(35945, 5, 914)","[(35945, 0, 5108)]",25.5,5.231914,1,"[5.0321426, 5.4316854]"
"[449, 1362]",1,2.725429,"(11600, 0, 13047)","[(7326, 4, 11600), (11600, 4, 15695)]",905.5,5.2721934,2,"[5.3501005, 5.1942863]"
"[1, 1]",1,0.51211566,"(5134, 2, 4633)","[(1167, 6, 5134), (5134, 8, 32954), (5134, 6, 11942)]",1.0,1.4604312,3,"[1.2018927, 1.7189697]"
"[969, 159]",1,0.67443144,"(26845, 0, 292)","[(1864, 4, 26845), (1864, 4, 26845), (26845, 4, 32126), (26845, 4, 32126)]",564.0,5.1221952,4,"[5.3074565, 4.9369335]"
"[5856, 8026]",1,1.988281,"(4037, 0, 16708)","[(23563, 6, 4037), (4036, 6, 4037), (23563, 6, 4037), (4036, 6, 4037)]",6941.0,5.261622,4,"[5.9126434, 4.6106005]"
"[93, 69]",1,1.4664829,"(8306, 2, 25327)","[(8306, 2, 499)]",81.0,4.8004675,1,"[5.2890935, 4.311841]"
"[62, 1080]",1,1.4167567,"(37285, 0, 184)","[(1906, 4, 37285)]",571.0,4.9288797,1,"[4.4073763, 5.4503837]"
"[31, 37]",1,0.6540674,"(30007, 2, 121)","[(20016, 4, 30007), (30007, 2, 916), (30007, 2, 916), (13030, 6, 30007), (30007, 2, 916)]",34.0,5.218706,5,"[4.953681, 5.4837313]"
"[5, 1]",1,1.0805113,"(12266, 4, 18612)","[(13105, 4, 12266), (12266, 4, 9695), (12266, 0, 3640)]",3.0,0.5613133,3,"[0.74167, 0.38095653]"
"[27, 4239]",1,1.3141148,"(31237, 0, 2110)","[(1073, 4, 31237)]",2133.0,4.624302,1,"[4.801781, 4.446822]"
"[19795, 9936]",1,1.9245131,"(24513, 0, 4550)","[(17178, 4, 24513), (24513, 4, 24514), (17178, 4, 24513), (24513, 4, 24514)]",14865.5,4.8578963,4,"[4.8414764, 4.874316]"
"[77, 55]",1,0.6697103,"(9258, 2, 916)","[(3766, 6, 9258), (9258, 2, 121)]",66.0,6.1621943,2,"[6.4689083, 5.85548]"
"[3517, 258]",1,2.4774587,"(36270, 0, 265)","[(12825, 4, 36270)]",1887.5,5.5195346,1,"[5.636879, 5.40219]"
"[572, 998]",1,2.9325104,"(36297, 0, 16303)","[(25916, 6, 36297)]",785.0,5.68489,1,"[5.7478027, 5.6219764]"
"[912, 3505]",1,0.7776886,"(15734, 0, 184)","[(1131, 4, 15734), (15734, 4, 18885)]",2208.5,5.5605073,2,"[5.601572, 5.5194426]"
"[2074, 6952]",1,3.1222603,"(4747, 0, 22951)","[(4747, 5, 3149)]",4513.0,4.938159,1,"[4.289438, 5.5868797]"
"[27, 14]",1,0.6120101,"(18961, 2, 7)","[(2930, 6, 18961), (272, 6, 18961), (3402, 6, 18961)]",20.5,4.805403,3,"[4.435629, 5.1751776]"
"[24596, 17821]",1,0.8926251,"(39279, 0, 184)","[(1038, 4, 39279)]",21208.5,5.7782183,1,"[6.128, 5.4284363]"
"[7318, 2330]",1,1.4126594,"(17933, 0, 160)","[(17932, 4, 17933)]",4824.0,5.0979557,1,"[5.222272, 4.973639]"
"[22, 71]",1,1.6869034,"(22077, 5, 6956)","[(22077, 0, 3517)]",46.5,5.31814,1,"[5.575262, 5.0610185]"
"[929, 487]",1,0.86584294,"(10506, 0, 296)","[(10506, 4, 14076), (10506, 4, 31801), (10506, 4, 15765)]",708.0,2.523653,3,"[2.632537, 2.4147692]"
"[1715, 201]",1,1.3730358,"(33666, 0, 278)","[(3239, 4, 33666)]",958.0,4.9632974,1,"[4.784293, 5.1423016]"
"[32, 1]",1,1.6838268,"(22501, 2, 1326)","[(2899, 6, 22501)]",16.5,5.1581798,1,"[5.726799, 4.5895605]"
"[445, 9339]",1,1.8926018,"(31737, 0, 16660)","[(31737, 0, 4448)]",4892.0,5.441635,1,"[5.009594, 5.8736763]"
"[5509, 106]",1,1.5232298,"(13521, 0, 427)","[(13520, 4, 13521)]",2807.5,5.633024,1,"[5.8448777, 5.42117]"
"[169, 1]",1,1.4715588,"(29963, 5, 774)","[(29963, 2, 1137), (1914, 8, 29963), (1914, 8, 29963), (29963, 2, 1137)]",85.0,4.6696486,4,"[4.507, 4.8322973]"
"[3883, 3210]",1,1.0595998,"(16507, 0, 184)","[(12815, 4, 16507), (16507, 4, 37560), (12815, 4, 16507), (16507, 4, 37560)]",3546.5,5.177182,4,"[4.7353463, 5.6190176]"
"[2, 2]",1,0.16975777,"(2173, 6, 38083)","[(2173, 6, 10711), (2173, 6, 10476), (2173, 2, 6577)]",2.0,0.21335736,3,"[0.23653261, 0.19018212]"
"[4263, 213]",1,3.1416736,"(38386, 0, 1904)","[(10444, 4, 38386)]",2238.0,5.6193237,1,"[6.620951, 4.6176963]"
"[18, 103]",1,1.6178828,"(33711, 5, 19257)","[(33711, 0, 21113), (33711, 5, 9528)]",60.5,5.2648573,2,"[4.98524, 5.5444746]"
"[2, 4]",1,1.0016706,"(3741, 6, 11977)","[(18271, 1, 3741), (23931, 0, 3741), (3741, 0, 3742)]",3.0,0.8119547,3,"[0.7822205, 0.8416889]"
"[19, 52]",1,1.0748414,"(18018, 2, 916)","[(18018, 2, 121)]",35.5,5.055525,1,"[5.2544603, 4.85659]"
"[1, 28]",1,4.8635826,"(36972, 5, 172)","[(13177, 2, 36972), (36972, 0, 220), (11166, 0, 36972)]",14.5,5.0835295,3,"[5.070482, 5.0965776]"
"[5, 1]",1,1.1540937,"(33791, 0, 2687)","[(19383, 4, 33791), (33791, 4, 11695), (33791, 4, 11695), (19383, 4, 33791)]",3.0,1.504344,4,"[1.5321486, 1.4765394]"
"[1202, 27710]",1,1.5995007,"(18333, 0, 1929)","[(18332, 4, 18333), (18333, 4, 1248)]",14456.0,5.4524717,2,"[5.47872, 5.4262238]"
"[6772, 302]",1,2.6455247,"(27097, 0, 10241)","[(38312, 0, 27097), (3408, 8, 27097)]",3537.0,5.181049,2,"[5.0181456, 5.343952]"
"[52, 5176]",1,0.75780964,"(33324, 0, 284)","[(2924, 4, 33324)]",2614.0,5.0233593,1,"[5.1462812, 4.9004374]"
"[105, 3]",1,1.2696587,"(19442, 2, 1137)","[(3188, 8, 19442), (19442, 5, 774)]",54.0,5.5745378,2,"[6.478484, 4.6705914]"
"[1, 2]",1,1.4160054,"(1864, 0, 1703)","[(1864, 4, 35417), (1864, 4, 38359), (1864, 4, 16205)]",1.5,1.2517595,3,"[1.2632003, 1.2403189]"
"[34, 43]",1,0.9023785,"(18451, 5, 1238)","[(18451, 5, 2971), (18451, 0, 17127)]",38.5,4.857567,2,"[5.0831065, 4.6320276]"
"[1, 1]",1,2.1907704,"(7396, 0, 39)","[(7396, 4, 12471), (7396, 4, 32125), (7396, 4, 7397)]",1.0,1.1577452,3,"[1.3090261, 1.0064644]"
"[699, 4116]",1,2.5990837,"(15952, 0, 3163)","[(15952, 4, 19515), (15952, 4, 19515), (15951, 4, 15952), (15951, 4, 15952)]",2407.5,4.76289,4,"[4.845252, 4.680527]"
"[134, 62]",1,2.976766,"(40221, 5, 73)","[(40221, 0, 3411)]",98.0,5.3327637,1,"[5.770043, 4.8954844]"
"[7, 112]",1,1.3780348,"(33163, 5, 4554)","[(33163, 5, 19146), (33163, 0, 34125)]",59.5,5.192043,2,"[4.525687, 5.8583984]"
"[202, 6238]",1,1.6982498,"(19351, 0, 265)","[(6122, 4, 19351), (19351, 4, 11121), (6122, 4, 19351), (19351, 4, 11121)]",3220.0,5.19574,4,"[5.2414722, 5.150008]"
"[294, 24]",1,0.8656637,"(14814, 0, 292)","[(1864, 4, 14814), (14814, 4, 14815)]",159.0,5.0145707,2,"[5.144435, 4.8847065]"
"[1821, 1088]",1,1.9819248,"(21561, 0, 39)","[(21561, 4, 21562), (21561, 4, 7954), (21561, 4, 10155), (21561, 4, 21562), (21561, 4, 12663), (21561, 4, 10155), (21561, 4, 21562), (21561, 4, 12663)]",1454.5,3.0805292,8,"[3.436449, 2.7246094]"
"[8254, 1803]",1,1.2893803,"(34758, 0, 284)","[(7922, 4, 34758)]",5028.5,5.254586,1,"[5.496482, 5.0126905]"
"[9359, 472]",1,1.6508205,"(38617, 0, 21)","[(1432, 4, 38617)]",4915.5,5.3866525,1,"[5.4584036, 5.3149014]"
"[1894, 7074]",1,1.2075223,"(36255, 0, 10055)","[(36255, 6, 33439), (76, 4, 36255)]",4484.0,4.92266,2,"[4.695131, 5.1501884]"
"[28, 11]",1,1.4379002,"(9939, 2, 2580)","[(4927, 6, 9939)]",19.5,5.5891886,1,"[5.8455696, 5.332808]"
"[79, 97]",1,0.3502208,"(31376, 2, 743)","[(12272, 6, 31376), (23887, 6, 31376), (10052, 6, 31376)]",88.0,5.427166,3,"[5.565229, 5.2891026]"
"[2, 1]",1,0.6015825,"(14888, 0, 2518)","[(14888, 4, 24718), (14888, 4, 24694), (14888, 4, 5148)]",1.5,0.5521501,3,"[0.52110875, 0.5831914]"
"[16, 30]",1,0.8335239,"(35944, 2, 916)","[(35944, 2, 121)]",23.0,5.335378,1,"[4.979801, 5.690955]"
"[2, 2]",1,1.4449646,"(5767, 4, 21704)","[(5767, 4, 36641), (28471, 4, 5767), (5767, 4, 10066)]",2.0,0.7470523,3,"[0.9632332, 0.5308715]"
"[2722, 25724]",1,1.6959426,"(37756, 0, 278)","[(21810, 4, 37756)]",14223.0,5.117071,1,"[5.0521517, 5.1819906]"
"[13, 229]",1,0.52756256,"(38545, 2, 3943)","[(7700, 6, 38545), (523, 6, 38545)]",121.0,4.8797174,2,"[5.3043394, 4.4550953]"
"[2444, 482]",1,2.5358155,"(1521, 0, 532)","[(1521, 4, 1522), (6962, 4, 1521), (6962, 4, 1521), (1521, 4, 1522)]",1463.0,5.603391,4,"[5.706688, 5.5000944]"
"[2540, 122]",1,0.56383824,"(516, 0, 292)","[(1864, 4, 516), (516, 4, 517)]",1331.0,5.251572,2,"[5.2734423, 5.229702]"
"[10, 312]",1,2.244032,"(10303, 0, 1380)","[(28372, 1, 10303), (34509, 1, 10303), (10303, 9, 22035)]",161.0,1.4163008,3,"[1.1068854, 1.7257161]"
"[2, 5]",1,0.6526841,"(2381, 2, 12273)","[(2381, 6, 5200), (2381, 6, 10989), (2381, 6, 21795)]",3.5,1.3163536,3,"[1.4000446, 1.2326624]"
"[4, 206]",1,0.89742965,"(14588, 2, 121)","[(8693, 6, 14588), (14588, 2, 916)]",105.0,4.949917,2,"[4.192601, 5.707233]"
"[5, 139]",1,0.9920295,"(37558, 2, 741)","[(193, 6, 37558), (37558, 6, 37709)]",72.0,5.757068,2,"[5.7563696, 5.7577667]"
"[6460, 9303]",1,3.3573053,"(39375, 0, 265)","[(15314, 4, 39375)]",7881.5,5.433534,1,"[5.5902996, 5.2767687]"
"[1266, 40]",1,1.2787083,"(30773, 0, 184)","[(1038, 4, 30773)]",653.0,4.9356728,1,"[4.9709563, 4.9003887]"
"[49, 11]",1,0.405201,"(27989, 2, 17930)","[(27989, 5, 2404), (27989, 2, 1646), (27989, 2, 499)]",30.0,5.3452406,3,"[6.2585316, 4.4319496]"
"[618, 3028]",1,1.7977273,"(37725, 0, 23377)","[(15016, 4, 37725)]",1823.0,5.2032824,1,"[5.205566, 5.2009993]"
"[17739, 254]",1,0.61166525,"(22121, 0, 351)","[(512, 4, 22121), (22121, 4, 13498), (512, 4, 22121), (22121, 4, 13498)]",8996.5,5.5856037,4,"[5.9254646, 5.245743]"
"[13169, 21539]",1,1.4945084,"(27757, 0, 1929)","[(450, 4, 27757), (27757, 4, 13223), (450, 4, 27757), (27757, 4, 13223)]",17354.0,5.4954896,4,"[5.516075, 5.474904]"
"[6, 10]",1,0.49443048,"(7397, 0, 296)","[(7397, 4, 32472), (7396, 4, 7397), (7397, 4, 39152)]",8.0,1.4373188,3,"[1.3954037, 1.479234]"
"[6, 3]",1,1.264704,"(36622, 2, 2580)","[(637, 8, 36622), (4502, 6, 36622), (637, 8, 36622), (4502, 6, 36622)]",4.5,4.769209,4,"[4.6348057, 4.903612]"
"[43, 415]",1,2.0178685,"(25076, 0, 265)","[(17623, 4, 25076)]",229.0,4.7777596,1,"[4.237045, 5.318475]"
"[17050, 1208]",1,1.266521,"(35086, 0, 1929)","[(35086, 4, 38712), (13084, 4, 35086)]",9129.0,5.36933,2,"[5.48763, 5.25103]"
"[17924, 5353]",1,3.2201586,"(29122, 0, 1500)","[(29122, 1, 5382), (5382, 4, 29122), (5382, 1, 29122)]",11638.5,5.2659416,3,"[5.4220834, 5.1097994]"
"[3736, 2446]",1,1.3406936,"(23647, 0, 1338)","[(23647, 0, 14302)]",3091.0,5.7085466,1,"[5.5770936, 5.839999]"
