prediction,original_rank,facts,original_score,perspective,new_rank,new_scores,new_score,#facts,new_ranks
"(25076, 0, 265)",1,"[(20659, 0, 265), (17623, 4, 20659), (17623, 4, 25076), (17623, 4, 17624), (17624, 0, 265), (17623, 4, 25076), (17623, 4, 25076)]",2.0178685,all,605.5,"[5.2184467, 4.943909]",5.0811777,7,"[192, 1019]"
"(9939, 2, 2580)",1,"[(11127, 2, 2580), (4927, 6, 9939), (4927, 6, 11127), (19692, 2, 2580), (13025, 2, 2580), (4927, 6, 9939), (4927, 6, 13025)]",1.4379002,all,5.0,"[5.205272, 4.9769244]",5.0910983,7,"[7, 3]"
"(21026, 0, 306)",1,"[(9857, 0, 306), (27391, 6, 2610), (21026, 6, 27391), (2610, 0, 306), (25064, 0, 306)]",2.045721,all,425.5,"[1.8693775, 1.468185]",1.6687813,5,"[583, 268]"
"(36270, 0, 265)",1,"[(12825, 4, 32698), (32698, 0, 265), (12825, 4, 36270), (12825, 4, 16310), (16310, 0, 265), (12825, 4, 36270), (12825, 4, 36270)]",2.4774587,all,7344.5,"[4.7027626, 5.8206263]",5.2616944,7,"[10108, 4581]"
"(4037, 0, 16708)",1,"[(4036, 6, 4037), (25770, 0, 16708), (23563, 6, 4037)]",1.988281,all,5568.0,"[5.2954006, 6.1359253]",5.715663,3,"[4547, 6589]"
"(33163, 5, 4554)",1,"[(33163, 0, 34125), (19145, 5, 4554), (4554, 0, 15945)]",1.3780348,all,10.0,"[1.9813533, 1.8810513]",1.9312023,3,"[10, 10]"
"(22133, 0, 1730)",1,"[(10223, 0, 1730), (36763, 0, 1730), (10222, 4, 22133)]",0.86834943,all,1.0,"[0.67232347, 0.6205953]",0.64645934,3,"[1, 1]"
"(37558, 2, 741)",1,"[(193, 6, 37558), (193, 6, 22316), (22316, 2, 741), (193, 6, 37558), (5142, 2, 741)]",0.9920295,all,3.0,"[1.9810222, 2.8486495]",2.414836,5,"[3, 3]"
"(39206, 0, 12650)",1,"[(11149, 6, 39206), (15838, 0, 12650), (18636, 0, 12650)]",0.7448149,all,346.0,"[5.0785556, 4.1261206]",4.602338,3,"[658, 34]"
"(38545, 2, 3943)",1,"[(7700, 6, 38545), (523, 6, 38545)]",0.52756256,all,40.5,"[5.6711264, 4.8037386]",5.2374325,2,"[59, 22]"
"(40030, 0, 184)",1,"[(1038, 4, 29795), (29795, 0, 184), (1038, 4, 40030), (9909, 0, 184), (1038, 4, 40030), (1038, 4, 9909), (1038, 4, 10518), (1038, 4, 40030), (10518, 0, 184)]",1.5084891,all,128.0,"[5.0262737, 5.5369673]",5.2816205,9,"[142, 114]"
"(1864, 0, 1703)",1,"[(34381, 0, 1703), (20809, 4, 10021), (10021, 0, 1703), (20809, 4, 1864), (20809, 4, 20647), (20647, 0, 1703), (20809, 4, 1864)]",1.4160054,all,1.5,"[1.2991794, 1.2320921]",1.2656357,7,"[2, 1]"
"(35945, 5, 914)",1,"[(35945, 0, 5108), (17062, 5, 914), (5108, 0, 17062), (35945, 0, 5108), (33821, 0, 5108), (33821, 5, 914), (35945, 0, 5108), (7456, 0, 5108), (7456, 5, 914)]",2.8685713,all,46.0,"[5.4769607, 4.261937]",4.8694487,9,"[88, 4]"
"(33324, 0, 284)",1,"[(2924, 4, 33324), (2924, 4, 33324), (2924, 4, 16851), (16851, 0, 284), (6543, 0, 284)]",0.75780964,all,6308.0,"[5.2022896, 5.425626]",5.3139577,5,"[12487, 129]"
"(21561, 0, 39)",1,"[(21561, 4, 12663), (12663, 0, 39), (21561, 4, 7954), (7954, 0, 39), (14659, 0, 39), (1930, 4, 21561), (1930, 4, 14659)]",1.9819248,all,1.5,"[1.3397759, 1.6435586]",1.4916673,7,"[1, 2]"
"(7397, 0, 296)",1,"[(7396, 4, 7397), (23572, 0, 296), (7396, 4, 23572), (31000, 0, 296), (9983, 0, 296)]",0.49443048,all,3.0,"[0.6759305, 0.6959125]",0.6859215,5,"[4, 2]"
"(3034, 2, 1137)",1,"[(18637, 2, 1137), (24912, 2, 1137), (3034, 5, 774)]",1.4543347,all,1.0,"[2.3153195, 2.8354065]",2.5753632,3,"[1, 1]"
"(16074, 0, 18268)",1,"[(18267, 0, 18268), (18848, 0, 18268), (18847, 6, 16074), (18847, 6, 18848), (18848, 0, 18268)]",1.1613934,all,552.5,"[2.315105, 1.9848537]",2.1499794,5,"[1064, 41]"
"(22077, 5, 6956)",1,"[(2485, 5, 6956), (40154, 0, 3517), (40154, 5, 6956), (22077, 0, 3517), (17475, 5, 6956)]",1.6869034,all,43.0,"[5.58252, 6.557432]",6.069976,5,"[57, 29]"
"(27097, 0, 10241)",1,"[(3408, 8, 27097), (133, 0, 10241), (24530, 0, 10241)]",2.6455247,all,1185.0,"[3.6985362, 4.919163]",4.30885,3,"[1082, 1288]"
"(22501, 2, 1326)",1,"[(33284, 2, 1326), (2899, 6, 36018), (2899, 6, 22501), (36018, 2, 1326), (2899, 6, 22501), (15046, 2, 1326), (2899, 6, 15046)]",1.6838268,all,54.0,"[4.561245, 5.7175655]",5.1394053,7,"[48, 60]"
"(36972, 5, 172)",1,"[(219, 0, 220), (219, 5, 172), (36972, 0, 220), (3077, 5, 172), (23386, 5, 172)]",4.8635826,all,37.0,"[4.6643353, 4.792299]",4.7283173,5,"[43, 31]"
"(18451, 5, 1238)",1,"[(19986, 5, 1238), (18451, 5, 2971), (28304, 5, 1238)]",0.9023785,all,12.0,"[2.7903712, 2.561529]",2.67595,3,"[8, 16]"
"(14487, 0, 1244)",1,"[(4980, 0, 1244), (4979, 4, 4980), (4979, 4, 14487), (4979, 4, 29548), (29548, 0, 1244), (4979, 4, 14487), (37065, 0, 1244), (4979, 4, 37065), (4979, 4, 14487)]",2.14187,all,9183.0,"[3.3044524, 4.1001143]",3.7022834,9,"[3947, 14419]"
"(33666, 0, 278)",1,"[(15700, 0, 278), (4703, 0, 278), (3239, 4, 33666), (5942, 0, 278), (3239, 4, 5942)]",1.3730358,all,7287.5,"[5.01464, 4.7595325]",4.887086,5,"[260, 14315]"
"(40221, 5, 73)",1,"[(37691, 0, 3411), (37691, 5, 73), (40221, 0, 3411), (40221, 0, 3411), (2318, 0, 3411), (2318, 5, 73), (40221, 0, 3411)]",2.976766,all,71.0,"[5.650551, 5.736278]",5.6934147,7,"[32, 110]"
"(33711, 5, 19257)",1,"[(33711, 0, 21113), (19256, 5, 19257), (19256, 0, 21113), (30935, 5, 19257), (33711, 5, 9528)]",1.6178828,all,93.0,"[5.072382, 4.8805275]",4.9764547,5,"[128, 58]"
"(2381, 2, 12273)",1,"[(4109, 6, 2381), (687, 2, 12273), (12272, 2, 12273), (3408, 6, 2381), (3408, 6, 12272)]",0.6526841,all,1.0,"[0.20094782, 0.4857959]",0.34337187,5,"[1, 1]"
"(39279, 0, 184)",1,"[(9321, 0, 184), (5267, 0, 184), (6878, 0, 184)]",0.8926251,all,1.0,"[0.35802805, 0.108269766]",0.2331489,3,"[1, 1]"
"(36622, 2, 2580)",1,"[(20059, 2, 2580), (2579, 2, 2580), (637, 8, 36622), (30955, 2, 2580), (637, 8, 30955)]",1.264704,all,10.0,"[2.264686, 1.9722104]",2.1184483,5,"[5, 15]"
"(7396, 0, 39)",1,"[(3608, 4, 7435), (3608, 4, 7396), (7435, 0, 39), (3608, 4, 7396), (3608, 4, 5173), (3608, 4, 7396), (5173, 0, 39)]",2.1907704,all,1.0,"[1.2434413, 1.5544307]",1.398936,7,"[1, 1]"
"(31237, 0, 2110)",1,"[(1073, 4, 31237), (34048, 0, 2110), (12993, 0, 2110)]",1.3141148,all,206.0,"[5.213688, 5.151026]",5.182357,3,"[55, 357]"
"(37929, 2, 121)",1,"[(11308, 2, 121), (1349, 6, 37929), (37700, 2, 121)]",1.7267122,all,79.5,"[4.4715047, 5.773284]",5.1223946,3,"[113, 46]"
"(38617, 0, 21)",1,"[(1432, 4, 29299), (29299, 0, 21), (1432, 4, 38617), (35567, 0, 21), (1432, 4, 35567), (1432, 4, 38617), (1432, 4, 30245), (1432, 4, 38617), (30245, 0, 21)]",1.6508205,all,2661.5,"[4.814219, 5.831316]",5.3227673,9,"[2813, 2510]"
"(36255, 0, 10055)",1,"[(13567, 0, 10055), (36374, 0, 10055), (27372, 0, 10055)]",1.2075223,all,2583.0,"[2.317379, 3.1266496]",2.7220144,3,"[1318, 3848]"
"(7324, 2, 12273)",1,"[(4808, 6, 7324), (6798, 2, 12273), (4808, 6, 6798), (4808, 6, 7324), (12272, 2, 12273), (4808, 6, 12272), (3408, 6, 7324), (3408, 6, 12484), (12484, 2, 12273)]",0.8107544,all,1.0,"[0.7509335, 0.957247]",0.8540903,9,"[1, 1]"
"(14814, 0, 292)",1,"[(15832, 0, 292), (11158, 0, 292), (2148, 0, 292)]",0.8656637,all,1.0,"[0.63488567, 0.41792923]",0.5264075,3,"[1, 1]"
"(15734, 0, 184)",1,"[(1131, 4, 15734)]",0.7776886,all,3.5,"[1.6008615, 2.028458]",1.8146598,1,"[6, 1]"
"(14588, 2, 121)",1,"[(3122, 2, 916), (3122, 2, 121), (14588, 2, 916), (120, 2, 916), (120, 2, 121), (14588, 2, 916), (14588, 2, 916)]",0.89742965,all,2.0,"[1.4434566, 1.433809]",1.4386328,7,"[3, 1]"
"(22121, 0, 351)",1,"[(512, 4, 21461), (21461, 0, 351), (512, 4, 22121), (580, 0, 351), (512, 4, 580), (512, 4, 22121), (19094, 0, 351)]",0.61166525,all,4.0,"[0.9706229, 1.4276136]",1.1991183,7,"[3, 5]"
"(24513, 0, 4550)",1,"[(17178, 4, 24513), (39700, 0, 4550), (17178, 4, 39700), (17178, 4, 24513), (17178, 4, 27816), (27816, 0, 4550), (39700, 0, 4550)]",1.9245131,all,1724.0,"[2.5979848, 3.2392733]",2.9186292,7,"[468, 2980]"
"(21811, 0, 278)",1,"[(7298, 0, 278), (21810, 4, 7298), (21810, 4, 21811), (36998, 0, 278), (21810, 4, 21811)]",1.2848617,all,3658.0,"[5.017424, 4.9413815]",4.9794025,5,"[6561, 755]"
"(9620, 0, 3716)",1,"[(17657, 0, 3716), (12662, 1, 9620), (9620, 1, 12662), (12662, 1, 17657), (17657, 1, 12662), (17657, 0, 3716), (9620, 1, 12662), (12662, 1, 9620)]",1.701146,all,80.0,"[1.3264418, 1.0481803]",1.187311,8,"[159, 1]"
"(29963, 5, 774)",1,"[(19975, 5, 774), (19975, 2, 1137), (29963, 2, 1137), (19975, 5, 774), (24912, 5, 774)]",1.4715588,all,1.0,"[2.0659752, 2.6783764]",2.3721757,5,"[1, 1]"
"(34189, 2, 916)",1,"[(1858, 2, 121), (1858, 2, 916), (34189, 2, 121), (5151, 2, 916), (7518, 2, 916), (7518, 2, 121), (34189, 2, 121)]",0.55414593,all,2.0,"[1.1046591, 1.1354668]",1.120063,7,"[2, 2]"
"(23647, 0, 1338)",1,"[(14302, 0, 1338), (128, 0, 1338), (16202, 0, 1338)]",1.3406936,all,192.0,"[1.1697065, 1.0396839]",1.1046952,3,"[358, 26]"
"(31376, 2, 743)",1,"[(10052, 6, 31376), (12882, 2, 743), (10052, 6, 12882), (10052, 6, 31376), (33423, 2, 743), (10052, 6, 33423), (35949, 2, 743)]",0.3502208,all,1.5,"[0.7134471, 0.62706125]",0.6702542,7,"[1, 2]"
"(31393, 0, 292)",1,"[(6046, 0, 292), (1864, 4, 14095), (1864, 4, 31393), (14095, 0, 292), (26778, 0, 292)]",1.4777615,all,252.5,"[4.725025, 5.04293]",4.883978,5,"[43, 462]"
"(13521, 0, 427)",1,"[(13520, 4, 13521), (13520, 4, 31693), (31693, 0, 427), (31693, 0, 427), (13520, 4, 13521)]",1.5232298,all,1021.0,"[4.8430147, 5.43212]",5.1375675,5,"[306, 1736]"
"(1521, 0, 532)",1,"[(28972, 0, 532), (6962, 4, 1521), (31590, 0, 532), (6962, 4, 31590), (5102, 0, 532)]",2.5358155,all,1247.5,"[2.9121127, 2.7046304]",2.8083715,5,"[2134, 361]"
"(33791, 0, 2687)",1,"[(9031, 0, 2687), (9031, 0, 19383), (19383, 4, 33791), (19383, 4, 28231), (28231, 0, 2687), (19383, 4, 33791), (19383, 4, 28466), (28466, 0, 2687), (19383, 4, 33791)]",1.1540937,all,7.5,"[1.3827597, 1.2006608]",1.2917103,9,"[9, 6]"
"(23212, 0, 2918)",1,"[(1122, 9, 1123), (1123, 0, 23212), (1122, 0, 2918), (1123, 9, 1122), (1122, 0, 2918), (23212, 9, 1122), (1122, 0, 2918)]",1.6729352,all,19.5,"[1.4147363, 1.3640611]",1.3893987,7,"[20, 19]"
"(39375, 0, 265)",1,"[(15314, 4, 223), (15314, 4, 39375), (223, 0, 265), (17898, 0, 265), (15314, 4, 17898), (15314, 4, 39375), (15314, 4, 39375)]",3.3573053,all,2125.5,"[5.407813, 5.0483847]",5.228099,7,"[65, 4186]"
"(2173, 6, 38083)",1,"[(2173, 6, 22326), (2173, 6, 7021), (5443, 6, 38083), (5443, 6, 25880), (2173, 6, 25880)]",0.16975777,all,1134.0,"[1.7712551, 1.2598943]",1.5155747,5,"[1300, 968]"
"(516, 0, 292)",1,"[(1864, 4, 5061), (1864, 4, 516), (5061, 0, 292), (1864, 4, 516), (39101, 0, 292), (1864, 4, 39101), (7931, 0, 292)]",0.56383824,all,4.0,"[1.2212312, 1.5710541]",1.3961427,7,"[3, 5]"
"(8306, 2, 25327)",1,"[(33638, 2, 25327), (33638, 2, 499), (8306, 2, 499), (4781, 2, 25327), (4781, 2, 25327), (4781, 2, 499), (8306, 2, 499)]",1.4664829,all,162.0,"[6.4848313, 5.9244094]",6.2046204,7,"[129, 195]"
"(5134, 2, 4633)",1,"[(13522, 2, 4633), (1167, 6, 5134), (1167, 6, 13522), (2724, 4, 5134), (2725, 2, 4633), (2724, 4, 2725), (5134, 6, 11942), (4632, 6, 11942), (4632, 2, 4633)]",0.51211566,all,6.0,"[3.5519767, 3.9234867]",3.7377317,9,"[5, 7]"
"(3395, 0, 184)",1,"[(4508, 0, 184), (3889, 0, 184), (9131, 0, 184)]",1.168735,all,1.0,"[0.23004091, 0.43073806]",0.3303895,3,"[1, 1]"
"(16507, 0, 184)",1,"[(26693, 0, 184), (12815, 4, 16507), (12815, 4, 9392), (9392, 0, 184), (6858, 0, 184)]",1.0595998,all,2.5,"[1.3806858, 1.3165135]",1.3485997,5,"[2, 3]"
"(10303, 0, 1380)",1,"[(13508, 1, 1771), (13508, 0, 1380), (10303, 1, 1771), (1771, 1, 13508), (1771, 1, 10303), (10303, 1, 1771), (1771, 1, 10303), (13508, 0, 1380)]",2.244032,all,26.5,"[1.1402862, 1.2003441]",1.1703151,8,"[36, 17]"
"(14768, 6, 24252)",1,"[(21984, 6, 24252), (31029, 6, 24252), (21984, 0, 21985), (14768, 0, 21985), (21984, 6, 24252)]",2.3381553,all,2207.5,"[2.7087436, 5.5070543]",4.1078987,5,"[1031, 3384]"
"(30773, 0, 184)",1,"[(1038, 4, 30773)]",1.2787083,all,9711.5,"[4.9695244, 5.68062]",5.3250723,1,"[18, 19405]"
"(7848, 5, 914)",1,"[(8317, 0, 9103), (8317, 5, 914), (7848, 0, 9103), (20491, 1, 7848), (20490, 1, 20491), (20490, 5, 914), (7848, 1, 20491), (20491, 1, 20490), (7848, 0, 724), (914, 1, 8596), (8596, 1, 914), (8596, 0, 724)]",2.4129827,all,1.5,"[1.8673819, 2.0480947]",1.9577384,12,"[1, 2]"
"(18961, 2, 7)",1,"[(19812, 2, 7), (2930, 6, 19812), (2930, 6, 18961), (9469, 2, 7), (2930, 6, 9469), (2930, 6, 18961), (2931, 2, 7)]",0.6120101,all,3.5,"[0.9518735, 0.6672772]",0.8095753,7,"[4, 3]"
"(19442, 2, 1137)",1,"[(19442, 5, 774), (3188, 8, 19442)]",1.2696587,all,60.5,"[4.354102, 5.682577]",5.0183396,2,"[1, 120]"
"(30007, 2, 121)",1,"[(2206, 2, 916), (2206, 2, 121), (30007, 2, 916), (30007, 2, 916), (1919, 2, 916), (1919, 2, 121), (30007, 2, 916)]",0.6540674,all,3.5,"[0.8260485, 0.9406219]",0.88333523,7,"[3, 4]"
"(38386, 0, 1904)",1,"[(10444, 4, 1904), (1903, 0, 1904), (10444, 4, 38386), (10444, 4, 1903), (1903, 0, 1904)]",3.1416736,all,3082.5,"[5.8004394, 5.967314]",5.883877,5,"[3797, 2368]"
"(26845, 0, 292)",1,"[(16205, 0, 292), (15534, 0, 292), (14380, 0, 292)]",0.67443144,all,1.0,"[0.36434585, 0.39341956]",0.3788827,3,"[1, 1]"
"(5767, 4, 21704)",1,"[(5767, 4, 12886), (5767, 4, 24316), (5767, 4, 18034)]",1.4449646,all,16.5,"[0.93172526, 0.43616784]",0.68394655,3,"[32, 1]"
"(37725, 0, 23377)",1,"[(15016, 4, 37725), (21052, 0, 23377), (15016, 4, 21052), (15016, 4, 37725), (4929, 4, 15016), (4929, 4, 23377), (15016, 4, 37725)]",1.7977273,all,6027.0,"[5.56672, 4.667824]",5.117272,7,"[8642, 3412]"
"(15205, 0, 265)",1,"[(34942, 0, 265), (3750, 4, 34828), (34828, 0, 265), (3750, 4, 15205), (3750, 4, 15205)]",0.94464505,all,3063.0,"[5.053463, 5.0837693]",5.068616,5,"[6029, 97]"
"(14888, 0, 2518)",1,"[(18332, 0, 2518), (21982, 4, 14888), (21982, 4, 18332), (21982, 4, 14888), (18332, 0, 2518)]",0.6015825,all,1.5,"[0.5147243, 0.57126987]",0.5429971,5,"[1, 2]"
"(35944, 2, 916)",1,"[(35944, 2, 121), (7518, 2, 121), (7518, 2, 916), (35944, 2, 121), (17688, 2, 916), (35944, 2, 121), (17688, 2, 121)]",0.8335239,all,17.5,"[5.545711, 5.5239835]",5.5348473,7,"[12, 23]"
"(32164, 0, 184)",1,"[(25787, 0, 184), (22120, 0, 184), (24151, 0, 184)]",0.74327976,all,1.0,"[0.2880904, 0.39849406]",0.34329224,3,"[1, 1]"
"(27989, 2, 17930)",1,"[(27989, 2, 499), (11900, 2, 17930), (11900, 2, 499), (11900, 5, 2404), (11900, 2, 17930), (27989, 5, 2404), (18711, 2, 17930)]",0.405201,all,11.5,"[1.2198128, 2.0673842]",1.6435986,7,"[13, 10]"
"(18333, 0, 1929)",1,"[(18332, 4, 18333), (19658, 0, 1929), (18332, 4, 18333), (18332, 4, 19658), (19658, 0, 1929)]",1.5995007,all,1453.5,"[1.7542579, 2.8180966]",2.2861772,5,"[30, 2877]"
"(37417, 5, 774)",1,"[(3584, 2, 1137), (37417, 2, 1137), (3584, 5, 774), (14476, 5, 774), (14827, 5, 774)]",2.0156152,all,81.5,"[5.5844526, 5.574768]",5.5796103,5,"[103, 60]"
"(22017, 0, 883)",1,"[(22016, 4, 32466), (32466, 0, 883), (22016, 4, 22017), (27376, 0, 883), (22016, 4, 27376), (22016, 4, 22017), (32466, 0, 883)]",0.9429634,all,454.5,"[5.280224, 4.286021]",4.7831225,7,"[793, 116]"
"(36297, 0, 16303)",1,"[(25916, 6, 36297), (26541, 0, 16303), (25916, 6, 36297), (25917, 0, 16303), (25916, 6, 25917)]",2.9325104,all,746.0,"[5.426908, 5.3040595]",5.3654838,5,"[611, 881]"
"(19351, 0, 265)",1,"[(6122, 4, 19351), (18871, 0, 265), (6122, 4, 18871), (6122, 4, 19351), (7260, 0, 265), (6122, 4, 7260), (7260, 0, 265)]",1.6982498,all,951.5,"[2.468073, 2.7193723]",2.5937226,7,"[1359, 544]"
"(34758, 0, 284)",1,"[(7922, 4, 19787), (19787, 0, 284), (7922, 4, 34758), (7922, 4, 6734), (6734, 0, 284), (7922, 4, 34758), (27250, 0, 284), (7922, 4, 34758), (7922, 4, 27250)]",1.2893803,all,1632.0,"[4.9760523, 4.7557116]",4.865882,9,"[3213, 51]"
"(37756, 0, 278)",1,"[(9817, 0, 278), (3388, 0, 278), (36998, 0, 278)]",1.6959426,all,54.5,"[1.2186441, 1.2998286]",1.2592363,3,"[9, 100]"
"(12266, 4, 18612)",1,"[(18612, 0, 6720), (18612, 0, 6720), (14219, 0, 6720), (12266, 4, 14219), (18612, 0, 6720), (13105, 4, 12266), (13105, 4, 6720)]",1.0805113,all,2016.0,"[1.2853459, 1.5105636]",1.3979547,7,"[2002, 2030]"
