new_rank,new_score,new_scores,prediction,facts,new_ranks,exp_length,original_score,exp,original_rank
12.0,4.4425287,[4.4425287],"(20692, 1, 21524)","[({(21524, 1, 20692)}, 9.740092572306517, 'baseline'), ({(1062, 1, 20692)}, 1.8222681258130644, 'baseline')]",[12],1,9.7515745,"[(21524, 1, 20692)]",1
24374.0,-1.7794862,[-1.7794862],"(25999, 1, 31140)","[({(31140, 1, 25999)}, 9.938504121119431, 'baseline')]",[24374],1,9.611744,"[(31140, 1, 25999)]",1
8339.0,-0.32375044,[-0.32375044],"(22500, 1, 15849)","[({(15849, 1, 22500)}, 9.02000417000767, 'baseline')]",[8339],1,8.751211,"[(15849, 1, 22500)]",1
1.0,7.959922,[7.959922],"(21811, 0, 278)",[],[1],0,7.6046906,[],1
4.0,9.810386,[9.810386],"(33440, 2, 121)","[({(4170, 6, 33440)}, 0.9051678240490071, 'baseline')]",[4],3,7.4783945,"[(4170, 6, 20535), (4170, 6, 33440), (20535, 2, 121)]",1
1.0,4.772727,[4.772727],"(14576, 5, 2971)",[],[1],0,5.459032,[],1
3.0,6.524351,[6.524351],"(12905, 1, 5832)","[({(5832, 1, 12905)}, 9.145936665115268, 'baseline'), ({(12904, 1, 12905)}, -1.1639607508609566, 'baseline'), ({(28697, 1, 12905)}, -3.3921723708397393, 'baseline')]",[3],1,9.152345,"[(5832, 1, 12905)]",1
1.0,6.185359,[6.185359],"(17819, 1, 653)","[({(653, 1, 17819)}, 9.207139035080061, 'baseline'), ({(17820, 1, 17819)}, -2.68697051783761, 'baseline')]",[1],1,9.249761,"[(653, 1, 17819)]",1
1.0,6.3234024,[6.3234024],"(17014, 2, 3167)",[],[1],0,7.138199,[],1
2.0,6.007818,[6.007818],"(32701, 0, 522)",[],[2],0,6.671388,[],1
9063.0,-0.97258675,[-0.97258675],"(3104, 1, 3103)","[({(3103, 1, 3104)}, 9.602406449560396, 'baseline')]",[9063],1,9.955729,"[(3103, 1, 3104)]",1
6403.0,0.08823186,[0.08823186],"(17011, 3, 17169)","[({(17169, 3, 17011)}, 8.75431072379143, 'baseline')]",[6403],1,8.8337755,"[(17169, 3, 17011)]",1
1.0,7.8485813,[7.8485813],"(23647, 0, 1338)",[],[1],0,7.0427074,[],1
1.0,5.4315176,[5.4315176],"(4765, 1, 4764)","[({(4764, 1, 4765)}, 9.358682610199985, 'baseline'), ({(29462, 1, 4765)}, 2.706207480957237, 'baseline')]",[1],1,9.360676,"[(4764, 1, 4765)]",1
19.0,4.1679716,[4.1679716],"(8742, 1, 19068)","[({(19068, 1, 8742)}, 8.070193430137948, 'baseline'), ({(1897, 1, 8742)}, 0.4216070271114826, 'baseline')]",[19],1,8.114485,"[(19068, 1, 8742)]",1
33904.0,-2.0038857,[-2.0038857],"(13806, 1, 28087)","[({(28087, 1, 13806)}, 9.675560891682867, 'baseline')]",[33904],1,9.769687,"[(28087, 1, 13806)]",1
1.0,6.351906,[6.351906],"(3210, 5, 1819)","[({(5796, 0, 3210)}, -0.5788362762021939, 'baseline')]",[1],2,6.574163,"[(5796, 0, 3210), (5796, 5, 1819)]",1
1.0,5.408096,[5.408096],"(11480, 2, 1534)",[],[1],0,5.108136,[],1
4.0,4.8720856,[4.8720856],"(26647, 1, 3407)","[({(3407, 1, 26647)}, 8.468541020292335, 'baseline'), ({(12197, 9, 26647)}, -0.18208287378990665, 'baseline')]",[4],1,8.59272,"[(3407, 1, 26647)]",1
3.0,5.6068206,[5.6068206],"(12274, 1, 9268)","[({(9268, 1, 12274)}, 10.050230229777222, 'baseline')]",[3],1,10.34638,"[(9268, 1, 12274)]",1
6.0,4.335557,[4.335557],"(17578, 1, 8885)","[({(8885, 1, 17578)}, 9.026186629469684, 'baseline'), ({(3300, 1, 17578)}, 0.8937441353362439, 'baseline')]",[6],1,9.063567,"[(8885, 1, 17578)]",1
39647.0,-2.512549,[-2.512549],"(3152, 1, 34834)","[({(34834, 1, 3152)}, 10.39588108683531, 'baseline')]",[39647],1,9.688642,"[(34834, 1, 3152)]",1
1.0,8.612965,[8.612965],"(36104, 0, 81)",[],[1],0,7.7996135,[],1
149.0,2.010087,[2.010087],"(25305, 0, 2099)","[({(1620, 6, 25305)}, 0.724537577052428, 'baseline')]",[149],3,7.398238,"[(1620, 6, 25305), (1620, 4, 35819), (35819, 0, 2099)]",1
3811.0,-0.5043464,[-0.5043464],"(24512, 1, 24859)","[({(24859, 1, 24512)}, 10.17291924746722, 'baseline')]",[3811],1,10.221,"[(24859, 1, 24512)]",1
1.0,8.164158,[8.164158],"(13731, 1, 3340)","[({(3340, 1, 13731)}, 9.363721845421212, 'baseline'), ({(11130, 1, 13731)}, -2.198147404151845, 'baseline'), ({(13730, 1, 13731)}, -2.609933011936415, 'baseline')]",[1],1,9.419868,"[(3340, 1, 13731)]",1
9009.0,0.0012885034,[0.0012885034],"(21993, 1, 19504)","[({(19504, 1, 21993)}, 9.094916983630817, 'baseline'), ({(11202, 0, 21993)}, -1.055326706146147, 'baseline')]",[9009],1,8.579209,"[(19504, 1, 21993)]",1
2.0,5.2687154,[5.2687154],"(14202, 1, 14201)","[({(14201, 1, 14202)}, 9.830513090325976, 'baseline')]",[2],1,10.240109,"[(14201, 1, 14202)]",1
5.0,5.3667207,[5.3667207],"(3450, 1, 6752)","[({(6752, 1, 3450)}, 8.64754966636616, 'baseline'), ({(15388, 1, 3450)}, 1.5906042874857766, 'baseline'), ({(19171, 0, 3450)}, 1.367259810379907, 'baseline'), ({(13968, 1, 3450)}, 0.714266098607553, 'baseline')]",[5],1,8.6875305,"[(6752, 1, 3450)]",1
1.0,8.420859,[8.420859],"(18173, 1, 1287)",[],[1],0,8.870047,[],1
9.0,3.63723,[3.63723],"(14917, 3, 17826)","[({(17826, 3, 14917)}, 8.651236577555467, 'baseline')]",[9],1,8.515327,"[(17826, 3, 14917)]",1
1.0,8.517067,[8.517067],"(28305, 0, 3141)",[],[1],0,8.571083,[],1
7427.0,-0.07490611,[-0.07490611],"(26613, 1, 9037)","[({(9037, 1, 26613)}, 9.00785994352975, 'baseline')]",[7427],1,9.101814,"[(9037, 1, 26613)]",1
1.0,7.373799,[7.373799],"(4747, 0, 22951)",[],[1],0,7.647258,[],1
1.0,4.4750795,[4.4750795],"(15497, 1, 2938)","[({(2938, 1, 15497)}, 9.93473480416153, 'baseline'), ({(7315, 0, 15497)}, 1.3528166381621418, 'baseline')]",[1],1,9.88568,"[(2938, 1, 15497)]",1
2201.0,0.47131318,[0.47131318],"(14121, 1, 5862)","[({(5862, 1, 14121)}, 7.875056173249429, 'baseline')]",[2201],1,7.876352,"[(5862, 1, 14121)]",1
1.0,8.858321,[8.858321],"(39279, 0, 184)",[],[1],0,8.77287,[],1
5.0,4.5915375,[4.5915375],"(7514, 1, 25165)","[({(25165, 1, 7514)}, 9.104167918968546, 'baseline'), ({(21485, 1, 7514)}, 1.1877842603601847, 'baseline')]",[5],1,9.075606,"[(25165, 1, 7514)]",1
1.0,8.200922,[8.200922],"(15028, 1, 5116)","[({(5116, 1, 15028)}, 9.237750874431967, 'baseline'), ({(16314, 1, 15028)}, 3.724001661344852, 'baseline'), ({(6422, 1, 15028)}, 0.5423411362917354, 'baseline'), ({(21701, 1, 15028)}, -0.186897426109014, 'baseline')]",[1],1,9.27175,"[(5116, 1, 15028)]",1
16300.0,-0.2810126,[-0.2810126],"(6726, 1, 5782)","[({(5782, 1, 6726)}, 9.890179886359318, 'baseline')]",[16300],1,9.564367,"[(5782, 1, 6726)]",1
993.0,0.2870719,[0.2870719],"(12530, 1, 5329)","[({(5329, 1, 12530)}, 10.258712704390721, 'baseline')]",[993],1,10.27132,"[(5329, 1, 12530)]",1
11354.0,-1.3227127,[-1.3227127],"(40286, 1, 14159)","[({(14159, 1, 40286)}, 10.077357338609126, 'baseline')]",[11354],1,10.40897,"[(14159, 1, 40286)]",1
2.0,4.9189095,[4.9189095],"(26785, 1, 7703)","[({(7703, 1, 26785)}, 9.88626156172365, 'baseline')]",[2],1,10.314679,"[(7703, 1, 26785)]",1
3.0,6.2357006,[6.2357006],"(5855, 1, 7329)","[({(7329, 1, 5855)}, 8.990759508041531, 'baseline'), ({(28317, 1, 5855)}, 0.3269814485921602, 'baseline'), ({(11474, 0, 5855)}, -1.6012702589788732, 'baseline')]",[3],1,8.925503,"[(7329, 1, 5855)]",1
4.0,5.000058,[5.000058],"(30984, 1, 6485)","[({(6485, 1, 30984)}, 9.039470937775821, 'baseline')]",[4],1,9.050512,"[(6485, 1, 30984)]",1
1.0,8.855839,[8.855839],"(29963, 5, 774)",[],[1],0,8.869197,[],1
24.0,3.5046773,[3.5046773],"(17030, 1, 2573)","[({(2573, 1, 17030)}, 8.48848326508119, 'baseline'), ({(13110, 1, 17030)}, 0.5100977125043171, 'baseline')]",[24],1,8.604788,"[(2573, 1, 17030)]",1
1.0,6.9673347,[6.9673347],"(20115, 2, 2580)",[],[1],0,8.1901455,[],1
4101.0,0.017125119,[0.017125119],"(3741, 1, 18271)","[({(18271, 1, 3741)}, 10.933512723430546, 'baseline')]",[4101],1,10.975729,"[(18271, 1, 3741)]",1
15888.0,-0.5609065,[-0.5609065],"(7532, 1, 7531)","[({(7531, 1, 7532)}, 8.415500124448709, 'baseline')]",[15888],1,8.390123,"[(7531, 1, 7532)]",1
20.0,4.5040717,[4.5040717],"(1771, 1, 36226)","[({(36226, 1, 1771)}, 9.367390062191106, 'baseline'), ({(9610, 1, 1771)}, 1.8700835985023494, 'baseline')]",[20],1,9.191784,"[(36226, 1, 1771)]",1
2.0,5.901723,[5.901723],"(6882, 9, 10563)","[({(10563, 9, 6882)}, 10.181862254521828, 'baseline'), ({(9971, 1, 6882)}, 0.6720701696053425, 'baseline')]",[2],1,10.239602,"[(10563, 9, 6882)]",1
1.0,4.5354137,[4.5354137],"(28580, 5, 172)",[],[1],0,7.0875874,[],1
9845.0,-2.8945608,[-2.8945608],"(40453, 1, 28165)","[({(28165, 1, 40453)}, 9.167148536815386, 'baseline')]",[9845],1,9.401691,"[(28165, 1, 40453)]",1
1.0,7.4819927,[7.4819927],"(21645, 1, 16026)","[({(16026, 1, 21645)}, 9.262988682363487, 'baseline'), ({(14574, 1, 21645)}, 0.40486753809146564, 'baseline'), ({(32962, 1, 21645)}, -5.690209141618528, 'baseline')]",[1],1,9.251232,"[(16026, 1, 21645)]",1
13946.0,-0.87989104,[-0.87989104],"(11251, 1, 13752)","[({(13752, 1, 11251)}, 9.460517484281455, 'baseline')]",[13946],1,9.526362,"[(13752, 1, 11251)]",1
1761.0,0.08515461,[0.08515461],"(26645, 1, 11702)","[({(11702, 1, 26645)}, 10.391345257934645, 'baseline')]",[1761],1,10.44846,"[(11702, 1, 26645)]",1
1.0,7.5098467,[7.5098467],"(31376, 2, 743)","[({(10052, 6, 31376)}, 2.5460837055840906, 'baseline')]",[1],3,7.7001705,"[(10052, 6, 31376), (33423, 2, 743), (10052, 6, 33423)]",1
1.0,6.959521,[6.959521],"(5394, 1, 2601)","[({(2601, 1, 5394)}, 9.842139002158556, 'baseline'), ({(19801, 0, 5394)}, 5.897995655532683, 'baseline'), ({(20358, 0, 5394)}, 2.4940802134121025, 'baseline'), ({(13722, 0, 5394)}, -3.332280512992908, 'baseline')]",[1],1,9.64728,"[(2601, 1, 5394)]",1
3.0,5.4344387,[5.4344387],"(11144, 1, 2617)","[({(2617, 1, 11144)}, 9.526803685292936, 'baseline')]",[3],1,9.984545,"[(2617, 1, 11144)]",1
20.0,3.3566055,[3.3566055],"(10925, 1, 8153)","[({(8153, 1, 10925)}, 8.888884290040194, 'baseline')]",[20],1,9.006329,"[(8153, 1, 10925)]",1
1.0,5.861741,[5.861741],"(12999, 1, 15729)","[({(15171, 1, 12999)}, 1.1425608130937335, 'baseline')]",[1],3,6.798723,"[(15171, 1, 31425), (15171, 1, 12999), (15729, 1, 31425)]",1
7963.0,-0.29080954,[-0.29080954],"(8634, 9, 19910)","[({(19910, 9, 8634)}, 9.508459104539416, 'baseline')]",[7963],1,9.567928,"[(19910, 9, 8634)]",1
1.0,6.9627256,[6.9627256],"(32633, 1, 5596)","[({(5596, 1, 32633)}, 9.262607365718381, 'baseline'), ({(6813, 1, 32633)}, 0.045147322961784156, 'baseline')]",[1],1,9.348708,"[(5596, 1, 32633)]",1
23.0,4.529169,[4.529169],"(21505, 0, 296)","[({(8525, 4, 21505)}, -1.5225079956784893, 'baseline')]",[23],3,6.9597425,"[(8525, 4, 23270), (8525, 4, 21505), (23270, 0, 296)]",1
1.0,9.021619,[9.021619],"(9012, 5, 7786)",[],[1],0,8.305224,[],1
2.0,5.6750917,[5.6750917],"(36188, 1, 4691)","[({(4691, 1, 36188)}, 9.966751996222602, 'baseline'), ({(20727, 1, 36188)}, -0.37301646390235593, 'baseline')]",[2],1,9.827701,"[(4691, 1, 36188)]",1
2.0,6.9313264,[6.9313264],"(25496, 0, 5310)",[],[2],0,7.0187235,[],1
12.0,3.0403206,[3.0403206],"(7605, 1, 16736)","[({(16736, 1, 7605)}, 9.216039472022223, 'baseline'), ({(7606, 1, 7605)}, 1.2747814537184543, 'baseline')]",[12],1,9.469548,"[(16736, 1, 7605)]",1
4.0,3.896124,[3.896124],"(37743, 1, 14493)","[({(14493, 1, 37743)}, 9.117339341673391, 'baseline')]",[4],1,9.327404,"[(14493, 1, 37743)]",1
7.0,2.43336,[2.43336],"(2945, 9, 2944)","[({(2944, 9, 2945)}, 10.545587493369569, 'baseline')]",[7],1,10.549395,"[(2944, 9, 2945)]",1
1.0,7.896064,[7.896064],"(2381, 2, 12273)","[({(4109, 6, 2381)}, 1.2736541733166207, 'baseline'), ({(2380, 6, 2381)}, -0.09471785534154863, 'baseline')]",[1],3,8.170172,"[(4109, 6, 17022), (4109, 6, 2381), (17022, 2, 12273)]",1
3.0,6.146517,[6.146517],"(17802, 1, 3847)","[({(3847, 1, 17802)}, 8.95577773683582, 'baseline'), ({(17801, 1, 17802)}, -0.8661407205967736, 'baseline')]",[3],1,8.961193,"[(3847, 1, 17802)]",1
346.0,1.0420084,[1.0420084],"(7673, 1, 8629)","[({(8629, 1, 7673)}, 9.028150424299637, 'baseline')]",[346],1,9.002323,"[(8629, 1, 7673)]",1
1.0,6.008971,[6.008971],"(26644, 1, 16054)","[({(16054, 1, 26644)}, 9.221082217142015, 'baseline'), ({(16053, 3, 26644)}, 2.493433145120869, 'baseline'), ({(4985, 1, 26644)}, -0.4383932021594237, 'baseline')]",[1],1,9.2418165,"[(16054, 1, 26644)]",1
1.0,5.766486,[5.766486],"(29442, 1, 5305)","[({(5305, 1, 29442)}, 8.885050900575505, 'baseline'), ({(8152, 1, 29442)}, 0.7783701996734016, 'baseline')]",[1],1,8.90522,"[(5305, 1, 29442)]",1
13.0,4.9977436,[4.9977436],"(1771, 1, 1770)","[({(1770, 1, 1771)}, 9.050761457477371, 'baseline')]",[13],1,8.726723,"[(1770, 1, 1771)]",1
1.0,8.891031,[8.891031],"(22121, 0, 351)",[],[1],0,8.308378,[],1
20.0,3.762304,[3.762304],"(10990, 1, 4301)","[({(4301, 1, 10990)}, 9.125726739423651, 'baseline')]",[20],1,9.040138,"[(4301, 1, 10990)]",1
40714.0,-2.3207002,[-2.3207002],"(22873, 1, 37187)","[({(37187, 1, 22873)}, 9.839807461884384, 'baseline')]",[40714],1,9.392544,"[(37187, 1, 22873)]",1
1.0,8.536621,[8.536621],"(13776, 2, 121)","[({(2181, 6, 13776)}, 0.3336096462740725, 'baseline')]",[1],3,8.00515,"[(2181, 6, 13776), (30733, 2, 121), (2181, 6, 30733)]",1
35938.0,-1.7978549,[-1.7978549],"(17465, 1, 17464)","[({(17464, 1, 17465)}, 9.658863351302728, 'baseline')]",[35938],1,9.928814,"[(17464, 1, 17465)]",1
1.0,8.57275,[8.57275],"(33614, 5, 172)","[({(26515, 4, 33614)}, 2.488992258934295, 'baseline')]",[1],2,7.783125,"[(26515, 4, 33614), (26515, 5, 172)]",1
221.0,1.0991863,[1.0991863],"(7948, 1, 8993)","[({(8993, 1, 7948)}, 9.413193589539809, 'baseline'), ({(22982, 1, 7948)}, -1.6465553036999518, 'baseline')]",[221],1,9.079611,"[(8993, 1, 7948)]",1
