prediction,new_scores,new_ranks,facts,original_rank,new_score,#facts,new_rank,original_score
"(5110, 8, 7408)","[1.5456857798898382e-13, 1.98395056827394e-07]","[28, 2]","[([(5110, 4, 1893), (5110, 2, 788), (5110, 3, 2039)], 0.11076797089256317, 'kelpie'), ([(5110, 3, 39), (5110, 3, 2040), (5110, 3, 2039)], 0.10953560756792258, 'kelpie'), ([(5110, 2, 788)], 0.10942696320910933, 'kelpie'), ([(5110, 2, 30), (24811, 2, 30), (24811, 8, 7408)], 0.0074000005, 'xrule'), ([(24811, 3, 40), (5110, 3, 40), (24811, 8, 7408)], 0.0067000007, 'xrule'), ([(8287, 8, 7408), (5110, 3, 75), (8287, 3, 75)], 0.0062000006, 'xrule')]",1,9.9197605697986e-08,6,15.0,0.00016445291112177074
"(7177, 11, 7956)","[0.00015096431889105588, 1.4673514669993892e-05]","[1, 4]","[([(7177, 4, 169), (7177, 2, 27), (7177, 2, 30), (7177, 3, 370)], 0.22294887480401734, 'kelpie'), ([(7177, 4, 169), (7177, 2, 31), (7177, 3, 7180), (7177, 2, 27)], 0.22256575106465049, 'kelpie'), ([(7177, 4, 169), (7177, 3, 7180), (7177, 2, 27)], 0.22233789738453572, 'kelpie'), ([(12095, 3, 6), (7177, 3, 6), (12095, 11, 7956)], 0.0, 'xrule'), ([(14020, 3, 6), (7177, 3, 6), (14020, 11, 7956)], 0.0, 'xrule'), ([(18317, 3, 6), (18317, 11, 7956), (7177, 3, 6)], 0.0, 'xrule')]",1,8.281891678052489e-05,6,2.5,5.2181261708028615e-05
"(7536, 12, 4492)","[0.00070626859087497, 9.698685971670784e-06]","[8, 165]","[([(7536, 3, 1077)], 0.0686858175286437, 'kelpie'), ([(7536, 2, 729)], 0.06702284796663777, 'kelpie'), ([(7536, 3, 1321)], 0.0631344272006173, 'kelpie'), ([(22161, 12, 4492), (22161, 2, 30), (7536, 2, 30)], 0.0, 'xrule'), ([(22161, 2, 68), (7536, 2, 68), (22161, 12, 4492)], 0.0, 'xrule'), ([(22161, 3, 506), (22161, 12, 4492), (7536, 3, 506)], 0.0, 'xrule')]",1,0.00035798363842332037,6,86.5,0.00012008265184704214
"(7182, 10, 7830)","[0.6331496834754944, 0.3123888671398163]","[1, 1]","[([(7182, 1, 6071), (7182, 3, 1870), (7182, 2, 266), (7182, 2, 31)], 6.327412528533127e-05, 'kelpie'), ([(7182, 3, 7), (7182, 1, 6071), (7182, 3, 695), (7182, 2, 266)], 6.324461400117094e-05, 'kelpie'), ([(7182, 3, 4735), (7182, 1, 6071), (7182, 3, 7184), (7182, 2, 266)], 6.323553360604909e-05, 'kelpie'), ([(15851, 3, 7), (7182, 3, 7), (15851, 10, 7830)], 0.0, 'xrule'), ([(7182, 3, 7), (18840, 3, 7), (18840, 10, 7830)], 0.0, 'xrule'), ([(19469, 3, 7), (7182, 3, 7), (19469, 10, 7830)], 0.0, 'xrule')]",1,0.47276927530765533,6,1.0,5.526598068072985e-10
"(5234, 8, 7567)","[4.399958587579522e-13, 1.0260206906309577e-08]","[38, 7]","[([(5234, 3, 5239)], 0.0300660943282016, 'kelpie'), ([(5234, 3, 1510)], 0.029753318978674368, 'kelpie'), ([(5234, 3, 9)], 0.029500028997926392, 'kelpie'), ([(5234, 3, 39), (21865, 3, 39), (21865, 8, 7567)], 0.01999998, 'xrule'), ([(21865, 8, 7567), (21865, 2, 68), (5234, 2, 68)], 0.018299997, 'xrule'), ([(5234, 2, 30), (20598, 8, 7567), (20598, 2, 30)], 0.0031000376, 'xrule')]",1,5.1303234510841674e-09,6,22.5,0.07745267450809479
"(5110, 8, 7593)","[2.992804910687853e-14, 5.233884992073001e-10]","[39, 6]","[([(5110, 2, 788)], 0.09071252778320459, 'kelpie'), ([(5110, 2, 788), (5110, 3, 39), (5110, 3, 5115), (5110, 3, 2030)], 0.08938032670212005, 'kelpie'), ([(5110, 3, 39), (5110, 3, 5115)], 0.0868647052503472, 'kelpie'), ([(5110, 1, 65), (23960, 1, 65), (23960, 8, 7593)], -0.0027999878, 'xrule'), ([(22987, 8, 7593), (5110, 3, 39), (22987, 3, 39)], -0.0045000315, 'xrule'), ([(23960, 8, 7593), (23960, 3, 37), (5110, 3, 37)], -0.0065000057, 'xrule')]",1,2.617092136282035e-10,6,22.5,0.00010146859858650714
"(7365, 10, 7830)","[0.9524646997451782, 0.22592072188854218]","[1, 1]","[([(7365, 3, 276), (7365, 3, 346), (7365, 3, 2460), (7365, 3, 7)], 5.624904268347686e-05, 'kelpie'), ([(7365, 2, 171), (7365, 3, 7372), (7365, 3, 117), (7365, 3, 7381)], 5.5950495590412795e-05, 'kelpie'), ([(7365, 3, 276), (7365, 3, 7372), (7365, 3, 120), (7365, 3, 7381)], 5.5765511643886024e-05, 'kelpie'), ([(7365, 2, 31), (9705, 2, 31), (9705, 10, 7830)], 0.0, 'xrule'), ([(11081, 2, 31), (7365, 2, 31), (11081, 10, 7830)], 0.0, 'xrule'), ([(12545, 2, 31), (7365, 2, 31), (12545, 10, 7830)], 0.0, 'xrule')]",1,0.5891927108168602,6,1.0,4.245953633130739e-08
"(6383, 8, 7429)","[1.6286571971699942e-13, 9.495925157310126e-10]","[37, 9]","[([(6383, 2, 68), (8641, 8, 7429), (8641, 2, 68)], 0.2809, 'xrule'), ([(6383, 3, 476), (7833, 8, 7429), (7833, 3, 476)], 0.12650001, 'xrule'), ([(7833, 8, 7429), (7833, 3, 7), (6383, 3, 7)], 0.08399999, 'xrule'), ([(6383, 2, 68)], 1.1147462513558195e-06, 'kelpie'), ([(6383, 3, 220)], -5.765457476526378e-06, 'kelpie'), ([(6383, 3, 2417)], -1.2109685062416195e-05, 'kelpie')]",1,4.748776907253648e-10,6,23.0,4.635970981325954e-05
"(5849, 8, 7410)","[1.4410813653498167e-09, 1.6568198191180272e-07]","[7, 1]","[([(5849, 2, 68), (25165, 8, 7410), (25165, 2, 68)], 0.3477, 'xrule'), ([(5849, 2, 31), (9990, 8, 7410), (9990, 2, 31)], 0.2855, 'xrule'), ([(5849, 3, 7), (23950, 8, 7410), (23950, 3, 7)], 0.2733, 'xrule'), ([(5849, 3, 5076)], 0.00044406975620313256, 'kelpie'), ([(5849, 3, 1328), (5849, 3, 5077), (5849, 3, 5076)], 0.0003143799979738263, 'kelpie'), ([(5849, 3, 1328), (5849, 3, 418), (5849, 3, 91), (5849, 3, 5076)], -0.00033005931511939554, 'kelpie')]",1,8.356153163857627e-08,6,4.0,0.013211838901042938
"(6004, 10, 7830)","[0.7582153081893921, 0.06434570997953415]","[1, 1]","[([(6004, 1, 2548), (6004, 3, 1926), (6004, 4, 66), (6004, 3, 40)], 0.002171659775629103, 'kelpie'), ([(6004, 1, 2548), (6004, 3, 1926), (6004, 3, 928), (6004, 4, 66)], 0.002171655351841785, 'kelpie'), ([(6004, 3, 930), (6004, 3, 39), (6004, 1, 2548), (6004, 4, 66)], 0.002171642546141308, 'kelpie'), ([(6004, 2, 31), (15042, 2, 31), (15042, 10, 7830)], 0.0, 'xrule'), ([(6004, 2, 31), (17444, 2, 31), (17444, 10, 7830)], 0.0, 'xrule'), ([(6004, 2, 31), (17533, 10, 7830), (17533, 2, 31)], 0.0, 'xrule')]",1,0.4112805090844631,6,1.0,3.285558847210268e-08
"(5781, 8, 7410)","[1.0448680115571207e-10, 1.0270647265997468e-07]","[7, 3]","[([(5781, 2, 1166), (5781, 2, 31), (5781, 1, 65)], 0.019533689101868264, 'kelpie'), ([(5781, 1, 65), (5781, 3, 284)], 0.01925070673526874, 'kelpie'), ([(5781, 2, 31), (5781, 1, 65)], 0.019179730609977543, 'kelpie'), ([(15535, 8, 7410), (15535, 3, 41), (5781, 3, 41)], -0.0005000001, 'xrule'), ([(21069, 3, 434), (21069, 8, 7410), (5781, 3, 434)], -0.0015000002, 'xrule'), ([(24915, 2, 31), (24915, 8, 7410), (5781, 2, 31)], -0.0022999998, 'xrule')]",1,5.1405479730565196e-08,6,5.0,0.026959797367453575
"(5575, 11, 8038)","[2.004462885452085e-06, 1.1087454367952887e-06]","[4, 6]","[([(5575, 4, 66), (5575, 3, 2563), (5575, 1, 2467), (5575, 3, 100)], 0.562059684127435, 'kelpie'), ([(5575, 4, 66), (5575, 3, 3079), (5575, 3, 2563), (5575, 1, 2467)], 0.5613637999094896, 'kelpie'), ([(5575, 4, 66), (5575, 3, 2563), (5575, 1, 2467), (5575, 3, 33)], 0.5603270367168895, 'kelpie'), ([(11340, 11, 8038), (5575, 4, 66), (11340, 4, 66)], 0.0, 'xrule'), ([(24014, 11, 8038), (24014, 4, 66), (5575, 4, 66)], 0.0, 'xrule'), ([(9725, 11, 8038), (5575, 2, 30), (9725, 2, 30)], 0.0, 'xrule')]",1,1.556604161123687e-06,6,5.0,0.00015194447769317776
"(4882, 8, 7410)","[3.695624101879291e-12, 5.148914965502627e-07]","[13, 2]","[([(4882, 3, 756)], 0.01751952522023642, 'kelpie'), ([(4882, 3, 478)], 0.01694132103211407, 'kelpie'), ([(4882, 1, 65)], 0.015199892203778854, 'kelpie'), ([(21519, 8, 7410), (21519, 3, 279), (4882, 3, 279)], 0.0055000004, 'xrule'), ([(4882, 2, 31), (8704, 8, 7410), (8704, 2, 31)], 0.0052000005, 'xrule'), ([(4882, 1, 65), (21519, 8, 7410), (21519, 1, 65)], 0.0051, 'xrule')]",1,2.574475960871823e-07,6,7.5,0.0005842457758262753
"(6323, 8, 7427)","[3.702598191696223e-14, 7.086678799339552e-09]","[38, 6]","[([(6323, 3, 716)], 0.00212659028844055, 'kelpie'), ([(6323, 3, 149)], 0.0020867131652342087, 'kelpie'), ([(6323, 3, 75)], 0.0014650725466711834, 'kelpie')]",1,3.5433579126607344e-09,3,22.0,0.0006460305885411799
"(6373, 10, 7830)","[0.8933840990066528, 0.15963147580623627]","[1, 1]","[([(6373, 3, 743), (6373, 3, 166), (6373, 1, 65), (6373, 4, 485)], 0.011179071809678323, 'kelpie'), ([(6373, 1, 65), (6373, 3, 1685), (6373, 4, 485), (6373, 3, 10)], 0.011179012203171376, 'kelpie'), ([(6373, 3, 166), (6373, 1, 65), (6373, 4, 485), (6373, 3, 10)], 0.011178927450169263, 'kelpie'), ([(7833, 10, 7830), (6373, 2, 31), (7833, 2, 31)], 0.0, 'xrule'), ([(14256, 2, 31), (6373, 2, 31), (14256, 10, 7830)], 0.0, 'xrule'), ([(6373, 2, 31), (16033, 10, 7830), (16033, 2, 31)], 0.0, 'xrule')]",1,0.5265077874064445,6,1.0,6.148118458781937e-09
"(4912, 8, 7410)","[2.1984881970471548e-10, 2.6910413453151705e-07]","[7, 3]","[([(21902, 2, 31), (21902, 8, 7410), (4912, 2, 31)], 0.0808, 'xrule'), ([(10213, 8, 7410), (10213, 2, 31), (4912, 2, 31)], 0.07639998, 'xrule'), ([(4912, 3, 75), (10213, 8, 7410), (10213, 3, 75)], 0.064799964, 'xrule'), ([(4912, 3, 1019)], 0.0012939408943257167, 'kelpie'), ([(4912, 3, 10)], 0.0012886998743520783, 'kelpie'), ([(4912, 3, 220)], 0.0012207412393286706, 'kelpie')]",1,1.3466199167561088e-07,6,5.0,0.0015577415470033884
"(7628, 12, 4492)","[0.007088403217494488, 1.1808583622041624e-05]","[3, 33]","[([(7628, 2, 31), (4492, 2, 31)], 0.47580004, 'xrule'), ([(7628, 3, 6), (23140, 12, 4492), (23140, 3, 6)], 0.29440004, 'xrule'), ([(7628, 2, 31), (23140, 12, 4492), (23140, 2, 31)], 0.28470004, 'xrule'), ([(7628, 3, 6), (7628, 3, 149), (7628, 8, 7567)], 0.25817210566801246, 'kelpie'), ([(7628, 3, 40), (7628, 3, 38)], 0.2580813278401256, 'kelpie'), ([(7628, 3, 40), (7628, 8, 7408), (7628, 8, 7410)], 0.25797308576829636, 'kelpie')]",1,0.0035501059005582647,6,18.0,0.022079473361372948
"(5133, 10, 7830)","[0.8737998604774475, 0.414849191904068]","[1, 1]","[([(5133, 3, 4768), (5133, 5, 5134), (5133, 4, 485), (5133, 1, 65)], 9.522995655469725e-05, 'kelpie'), ([(5133, 3, 5146), (5133, 4, 485), (5133, 3, 2543), (5133, 1, 65)], 9.522215672816269e-05, 'kelpie'), ([(5133, 2, 312), (5133, 5, 5134), (5133, 4, 485), (5133, 1, 65)], 9.522070153663686e-05, 'kelpie'), ([(5133, 3, 1019), (22027, 3, 1019), (22027, 10, 7830)], 0.0, 'xrule'), ([(8355, 1, 65), (5133, 1, 65), (8355, 10, 7830)], 0.0, 'xrule'), ([(25478, 10, 7830), (5133, 1, 65), (25478, 1, 65)], 0.0, 'xrule')]",1,0.6443245261907578,6,1.0,1.0917164061652329e-08
"(7201, 10, 7830)","[0.927667498588562, 0.18968786299228668]","[1, 1]","[([(7201, 3, 717), (7201, 3, 6), (7201, 2, 2271), (7201, 5, 7202)], 0.0004123248680920096, 'kelpie'), ([(7201, 3, 1266), (7201, 2, 2271), (7201, 3, 118), (7201, 5, 7202)], 0.00041145518739347104, 'kelpie'), ([(7201, 3, 2279), (7201, 3, 7209), (7201, 3, 82), (7201, 3, 88)], 0.0004070516030378877, 'kelpie'), ([(10701, 10, 7830), (7201, 3, 6), (10701, 3, 6)], 0.0, 'xrule'), ([(7201, 3, 6), (16033, 10, 7830), (16033, 3, 6)], 0.0, 'xrule'), ([(17035, 3, 6), (7201, 3, 6), (17035, 10, 7830)], 0.0, 'xrule')]",1,0.5586776807904243,6,1.0,5.487277832116888e-08
"(5110, 8, 7567)","[9.27820726301929e-16, 1.8819978561679385e-11]","[92, 17]","[([(5110, 2, 2028), (22400, 2, 2028), (22400, 8, 7567)], 0.21310002, 'xrule'), ([(12131, 3, 277), (5110, 3, 277), (12131, 8, 7567)], 0.15169996, 'xrule'), ([(5110, 3, 276), (21063, 8, 7567), (21063, 3, 276)], 0.06909996, 'xrule'), ([(5110, 3, 75), (5110, 3, 276)], 0.047928708561457964, 'kelpie'), ([(5110, 3, 276)], 0.046521517402559484, 'kelpie'), ([(5110, 3, 5118)], 0.044213197166473484, 'kelpie')]",1,9.410453191202843e-12,6,54.5,0.0004571357276290655
"(6213, 11, 8038)","[9.157385647995397e-06, 2.494892328286369e-07]","[3, 6]","[([(6213, 3, 1493), (6213, 2, 31), (6213, 3, 1744), (6213, 2, 729)], 0.020968300245424825, 'kelpie'), ([(6213, 3, 1321), (6213, 3, 1744), (6213, 2, 729)], 0.020850880988409978, 'kelpie'), ([(6213, 3, 1493), (6213, 3, 1321), (6213, 3, 1744), (6213, 2, 729)], 0.020514025288894143, 'kelpie'), ([(23552, 3, 40), (6213, 3, 40), (23552, 11, 8038)], 0.0, 'xrule'), ([(18327, 3, 40), (6213, 3, 40), (18327, 11, 8038)], 0.0, 'xrule'), ([(20684, 3, 40), (6213, 3, 40), (20684, 11, 8038)], 0.0, 'xrule')]",1,4.703437440412017e-06,6,4.5,0.00026256981072947383
"(5558, 8, 7393)","[1.4564382685988697e-11, 8.504910908868624e-08]","[9, 2]","[([(5558, 1, 65), (25753, 1, 65), (25753, 8, 7393)], 0.19370002, 'xrule'), ([(19798, 3, 149), (5558, 3, 149), (19798, 8, 7393)], 0.1724, 'xrule'), ([(23089, 3, 149), (5558, 3, 149), (23089, 8, 7393)], 0.11620003, 'xrule'), ([(5558, 3, 220), (5558, 3, 149)], 0.0022093835074295295, 'kelpie'), ([(5558, 3, 220)], 0.0020638666337265093, 'kelpie'), ([(5558, 2, 31)], 0.0020320789893164158, 'kelpie')]",1,4.253183673568611e-08,6,5.5,0.0007456682506017387
"(5593, 10, 7830)","[0.9587445259094238, 0.5175269842147827]","[1, 1]","[([(5593, 3, 46), (5593, 3, 5600), (5593, 4, 924), (5593, 1, 65)], 2.2993259759941684e-05, 'kelpie'), ([(5593, 3, 5600), (5593, 4, 924), (5593, 1, 65)], 2.2960314223840853e-05, 'kelpie'), ([(5593, 3, 46), (5593, 3, 5601), (5593, 4, 924), (5593, 1, 65)], 2.2921547921636258e-05, 'kelpie'), ([(9644, 2, 31), (9644, 10, 7830), (5593, 2, 31)], 0.0, 'xrule'), ([(14094, 10, 7830), (14094, 2, 31), (5593, 2, 31)], 0.0, 'xrule'), ([(16885, 2, 31), (5593, 2, 31), (16885, 10, 7830)], 0.0, 'xrule')]",1,0.7381357550621033,6,1.0,4.969827660517012e-09
"(6320, 10, 7830)","[0.940601646900177, 0.33485788106918335]","[1, 1]","[([(6320, 3, 717), (6320, 4, 66), (6320, 5, 6321)], 0.0014118642560181326, 'kelpie'), ([(6320, 4, 66), (6320, 3, 9), (6320, 5, 6321)], 0.0014114980132332617, 'kelpie'), ([(6320, 3, 717), (6320, 4, 66), (6320, 3, 2599)], 0.0014100113888337537, 'kelpie'), ([(24659, 10, 7830), (6320, 3, 38), (24659, 3, 38)], 0.0, 'xrule'), ([(25135, 3, 38), (25135, 10, 7830), (6320, 3, 38)], 0.0, 'xrule'), ([(19773, 10, 7830), (19773, 3, 39), (6320, 3, 39)], 0.0, 'xrule')]",1,0.6377297639846802,6,1.0,3.580371910061331e-08
"(4870, 8, 7593)","[4.16330273207699e-13, 1.0161708280387316e-10]","[26, 9]","[([(20885, 3, 40), (4870, 3, 40), (20885, 8, 7593)], 0.004700005, 'xrule'), ([(16612, 8, 7593), (16612, 3, 40), (4870, 3, 40)], 0.003000021, 'xrule'), ([(20946, 2, 172), (20946, 8, 7593), (4870, 2, 172)], 0.0024000406, 'xrule'), ([(4870, 2, 888)], 3.860983693199293e-06, 'kelpie'), ([(4870, 2, 888), (4870, 3, 20), (4870, 3, 4879), (4870, 2, 1100)], -2.2864248909050628e-05, 'kelpie'), ([(4870, 3, 538), (4870, 3, 7)], -9.514931626999574e-05, 'kelpie')]",1,5.101670653854043e-11,6,17.5,0.00022191622701939195
"(4882, 10, 7830)","[0.8020135760307312, 0.12374934554100037]","[1, 1]","[([(4882, 2, 1813), (4882, 3, 4883), (4882, 1, 65)], 0.007600230089781199, 'kelpie'), ([(4882, 3, 756), (4882, 2, 1813), (4882, 3, 1823), (4882, 1, 65)], 0.0076001756648325, 'kelpie'), ([(4882, 3, 1646), (4882, 1, 65), (4882, 2, 30)], 0.007599935845806466, 'kelpie'), ([(4882, 3, 6), (10456, 3, 6), (10456, 10, 7830)], 0.0, 'xrule'), ([(11388, 10, 7830), (4882, 3, 6), (11388, 3, 6)], 0.0, 'xrule'), ([(11521, 10, 7830), (4882, 3, 6), (11521, 3, 6)], 0.0, 'xrule')]",1,0.4628814607858658,6,1.0,2.7909027977557344e-08
"(7125, 10, 7830)","[0.9059587121009827, 0.14457924664020538]","[1, 1]","[([(7125, 4, 66), (7125, 3, 113), (7125, 3, 7133)], 0.00534920064533811, 'kelpie'), ([(7125, 4, 66), (7125, 3, 7133), (7125, 3, 219)], 0.005324361804375133, 'kelpie'), ([(7125, 4, 66), (7125, 3, 7133), (7125, 3, 39)], 0.005323094265369872, 'kelpie'), ([(11096, 3, 39), (7125, 3, 39), (11096, 10, 7830)], 0.0, 'xrule'), ([(12065, 10, 7830), (7125, 3, 39), (12065, 3, 39)], 0.0, 'xrule'), ([(15463, 3, 39), (7125, 3, 39), (15463, 10, 7830)], 0.0, 'xrule')]",1,0.525268979370594,6,1.0,9.861518712739326e-09
"(5269, 10, 7830)","[0.985325276851654, 0.17702436447143555]","[1, 1]","[([(5269, 3, 1966), (5269, 3, 733), (5269, 4, 66), (5269, 3, 46)], 0.008327306184054209, 'kelpie'), ([(5269, 3, 733), (5269, 4, 66), (5269, 3, 46), (5269, 3, 5272)], 0.00831328138751168, 'kelpie'), ([(5269, 3, 663), (5269, 4, 66), (5269, 3, 5272), (5269, 2, 266)], 0.00830890607491693, 'kelpie'), ([(5269, 3, 733), (9015, 3, 733), (9015, 10, 7830)], 0.0, 'xrule'), ([(8301, 2, 30), (8301, 10, 7830), (5269, 2, 30)], 0.0, 'xrule'), ([(9798, 2, 30), (9798, 10, 7830), (5269, 2, 30)], 0.0, 'xrule')]",1,0.5811748206615448,6,1.0,8.774312831860698e-09
