prediction,new_score,new_rank,facts,original_rank,original_score,new_ranks,new_scores,#facts
"(7769, 11, 7956)",3.0782008,1.0,"[(7769, 2, 68)]",3,3.0966597,"[1, 1]","[2.4861813, 3.6702204]",1
"(7469, 11, 7956)",3.0352893,1.0,"[(7469, 3, 368)]",5,3.213222,"[1, 1]","[2.4305735, 3.640005]",1
"(5110, 8, 7410)",2.42754,1.0,"[(5110, 3, 5114)]",3,4.852529,"[1, 1]","[2.3049262, 2.550154]",1
"(6766, 10, 7830)",2.9780538,1.0,"[(6766, 3, 78)]",5,3.4640522,"[1, 1]","[2.7922091, 3.1638985]",1
"(7838, 11, 7956)",2.943801,1.0,"[(7838, 3, 1005)]",2,3.4227931,"[1, 1]","[2.366542, 3.5210598]",1
"(5770, 10, 7830)",3.0097663,1.0,"[(5770, 2, 789)]",5,4.1098666,"[1, 1]","[2.9274244, 3.0921082]",1
"(7236, 9, 7903)",3.6306105,5.5,"[(7236, 3, 748)]",9,2.871933,"[5, 6]","[3.674132, 3.587089]",1
"(5920, 11, 7956)",3.0783782,1.0,"[(5920, 3, 5925)]",3,3.3415859,"[1, 1]","[2.511019, 3.6457372]",1
"(6492, 8, 7429)",2.3008213,2.5,"[(6492, 3, 3448)]",1,5.1737347,"[3, 2]","[2.1854196, 2.416223]",1
"(6300, 11, 7869)",3.083644,1.5,"[(6300, 1, 168)]",2,3.1339943,"[2, 1]","[2.5455053, 3.6217823]",1
"(5067, 11, 7956)",3.2302718,1.5,"[(5067, 3, 40)]",2,3.9591098,"[1, 2]","[2.6898503, 3.7706935]",1
"(5781, 8, 7410)",2.4683552,1.0,"[(5781, 3, 434)]",3,5.775256,"[1, 1]","[2.4172325, 2.5194778]",1
"(4870, 8, 7408)",2.330357,3.5,"[(4870, 3, 88)]",2,5.1319237,"[3, 4]","[2.2001686, 2.4605453]",1
"(6373, 10, 7830)",3.0073056,1.0,"[(6373, 2, 4244)]",5,4.1042304,"[1, 1]","[2.9062839, 3.1083276]",1
"(5107, 11, 7869)",3.3728042,1.5,"[(5107, 3, 1061)]",4,3.9894578,"[2, 1]","[2.9557288, 3.7898793]",1
"(7628, 12, 4492)",4.069577,1.0,"[(7628, 3, 38)]",3,2.7237372,"[1, 1]","[4.5577297, 3.5814252]",1
"(7201, 10, 7830)",3.0096617,1.0,"[(7201, 3, 2279)]",4,2.8545017,"[1, 1]","[2.923556, 3.095767]",1
"(6983, 11, 7956)",2.900385,1.0,"[(6983, 3, 1289)]",2,2.8960073,"[1, 1]","[2.2859976, 3.514772]",1
"(5558, 11, 7956)",3.3821113,1.0,"[(5558, 2, 2083)]",5,4.1423807,"[1, 1]","[2.7379851, 4.0262375]",1
"(4870, 8, 7410)",2.2441678,1.0,"[(4870, 2, 30)]",2,5.1274643,"[1, 1]","[2.1118422, 2.3764935]",1
"(5073, 11, 7956)",3.0454943,1.0,"[(5073, 3, 5076)]",5,3.7088525,"[1, 1]","[2.407848, 3.6831408]",1
"(7125, 10, 7830)",3.130292,1.0,"[(7125, 3, 479)]",5,4.007418,"[1, 1]","[3.009089, 3.2514946]",1
"(5269, 10, 7830)",3.0305004,1.0,"[(5269, 3, 46)]",5,3.974818,"[1, 1]","[2.9677691, 3.093232]",1
"(6383, 10, 7830)",2.9690938,1.0,"[(6383, 3, 3058)]",4,2.8969355,"[1, 1]","[2.8702078, 3.0679798]",1
"(5380, 10, 7830)",2.9556565,1.0,"[(5380, 3, 476)]",2,2.6694508,"[1, 1]","[2.8714035, 3.0399098]",1
"(5620, 8, 7410)",2.2381825,1.0,"[(5620, 3, 39)]",1,4.018502,"[1, 1]","[2.0353425, 2.4410224]",1
"(6812, 11, 7869)",3.3784835,1.5,"[(6812, 3, 519)]",3,3.5179758,"[2, 1]","[3.0340343, 3.7229328]",1
"(6115, 8, 7566)",2.3489773,3.5,"[(6115, 3, 6129)]",1,4.404839,"[3, 4]","[2.1380749, 2.5598798]",1
"(4952, 8, 7410)",2.3065298,1.0,"[(4952, 3, 4957)]",2,5.8348927,"[1, 1]","[2.118337, 2.4947226]",1
"(6966, 10, 8697)",4.58764,1.5,"[(6966, 2, 68)]",4,3.447898,"[2, 1]","[4.4252644, 4.750015]",1
"(5279, 8, 7429)",2.4597297,2.0,"[(5279, 4, 66)]",1,4.3664303,"[2, 2]","[2.3977783, 2.5216813]",1
"(6619, 8, 7410)",2.3252978,1.0,"[(6619, 2, 172)]",3,4.519601,"[1, 1]","[2.1508915, 2.4997041]",1
"(5498, 10, 7830)",2.9898934,1.0,"[(5498, 3, 731)]",5,3.2503138,"[1, 1]","[2.849947, 3.1298397]",1
"(5586, 12, 4492)",4.048405,1.5,"[(5586, 3, 88)]",2,3.338922,"[2, 1]","[4.5267816, 3.5700285]",1
"(7335, 8, 7429)",2.2622027,1.5,"[(7335, 3, 7346)]",7,5.230544,"[2, 1]","[2.1144133, 2.409992]",1
"(5645, 10, 7830)",2.9795384,1.0,"[(5645, 3, 1200)]",5,3.5500622,"[1, 1]","[2.9055705, 3.0535064]",1
"(7058, 8, 7566)",2.464727,4.0,"[(7058, 2, 68)]",1,5.7202277,"[3, 5]","[2.290381, 2.639073]",1
"(6914, 11, 7869)",3.2442617,1.5,"[(6914, 3, 35)]",3,3.5952108,"[2, 1]","[2.747746, 3.7407773]",1
"(6492, 8, 7410)",2.2689333,1.5,"[(6492, 3, 733)]",4,5.323513,"[2, 1]","[2.1267076, 2.4111588]",1
"(6587, 9, 8151)",3.6989279,3.0,"[(6587, 3, 78)]",36,3.5309901,"[2, 4]","[3.6709576, 3.7268984]",1
"(5717, 10, 7830)",2.994469,1.0,"[(5717, 3, 78)]",5,3.39451,"[1, 1]","[2.888836, 3.100102]",1
"(5498, 8, 7429)",2.2650046,2.5,"[(5498, 3, 75)]",1,4.6961765,"[3, 2]","[2.1115406, 2.4184685]",1
"(6195, 8, 7566)",2.3323717,3.5,"[(6195, 1, 65)]",3,5.671821,"[3, 4]","[2.148315, 2.5164285]",1
"(4952, 8, 7567)",2.5318766,3.5,"[(4952, 3, 880)]",2,5.7716856,"[3, 4]","[2.3020916, 2.7616618]",1
"(6812, 8, 7410)",2.4108186,1.0,"[(6812, 3, 10)]",3,5.3270907,"[1, 1]","[2.336302, 2.4853349]",1
"(7655, 10, 7830)",3.0018902,1.0,"[(7655, 3, 476)]",5,3.4012923,"[1, 1]","[2.9448357, 3.0589447]",1
"(5756, 8, 7408)",2.6848521,6.5,"[(5756, 3, 37)]",2,5.3250837,"[6, 7]","[2.5483742, 2.8213303]",1
"(7788, 10, 7830)",2.88195,1.0,"[(7788, 3, 9)]",3,2.5668676,"[1, 1]","[2.7773137, 2.9865859]",1
"(5920, 10, 7830)",3.0652494,1.0,"[(5920, 3, 150)]",5,3.567545,"[1, 1]","[2.9688556, 3.161643]",1
"(7107, 11, 7869)",3.103508,1.5,"[(7107, 3, 40)]",1,2.672183,"[2, 1]","[2.6166923, 3.5903234]",1
"(7756, 10, 7830)",3.1083722,1.0,"[(7756, 3, 427)]",5,2.9227967,"[1, 1]","[3.047956, 3.1687884]",1
"(6320, 11, 7956)",2.9933324,1.5,"[(6320, 3, 1267)]",2,2.8491967,"[1, 2]","[2.345259, 3.641406]",1
"(5822, 11, 7956)",2.9267368,1.0,"[(5822, 3, 5830)]",1,2.6253808,"[1, 1]","[2.2943804, 3.559093]",1
"(5279, 11, 7956)",3.083609,1.0,"[(5279, 3, 2138)]",1,3.3306432,"[1, 1]","[2.5007694, 3.6664486]",1
"(7125, 11, 7956)",3.0791225,1.0,"[(7125, 3, 3454)]",3,3.6683598,"[1, 1]","[2.4770956, 3.6811492]",1
"(4870, 8, 7567)",2.483657,3.5,"[(4870, 2, 172)]",2,5.0585365,"[3, 4]","[2.3076367, 2.6596768]",1
"(5517, 10, 7830)",3.0202043,1.0,"[(5517, 2, 30)]",5,3.568142,"[1, 1]","[3.0026016, 3.037807]",1
"(6213, 10, 7830)",2.9361835,1.0,"[(6213, 3, 20)]",5,3.2811787,"[1, 1]","[2.8263483, 3.0460186]",1
"(6373, 11, 7869)",3.098052,1.5,"[(6373, 1, 65)]",2,3.463342,"[2, 1]","[2.6267846, 3.5693197]",1
"(6966, 10, 7830)",3.027995,1.0,"[(6966, 3, 78)]",4,3.772318,"[1, 1]","[2.9464087, 3.1095817]",1
"(7450, 11, 7956)",2.8865047,1.0,"[(7450, 2, 70)]",1,2.4277787,"[1, 1]","[2.2575636, 3.5154455]",1
"(5907, 11, 7956)",3.2196548,1.0,"[(5907, 2, 1538)]",7,3.9130654,"[1, 1]","[2.6443567, 3.7949529]",1
"(7177, 10, 7830)",3.098064,1.0,"[(7177, 3, 79)]",5,3.7173736,"[1, 1]","[2.9492464, 3.2468812]",1
"(7335, 8, 7410)",2.2239118,1.0,"[(7335, 3, 1270)]",2,5.0394883,"[1, 1]","[2.0487163, 2.3991075]",1
"(5645, 8, 7429)",2.3138926,3.5,"[(5645, 2, 266)]",6,4.9103956,"[5, 2]","[2.1492515, 2.4785337]",1
"(6966, 11, 7956)",3.060784,1.5,"[(6966, 3, 297)]",3,3.4898267,"[1, 2]","[2.4581263, 3.663442]",1
"(6900, 8, 7566)",2.6569195,2.0,"[(6900, 3, 5846)]",1,5.7092123,"[1, 3]","[2.6261132, 2.6877258]",1
"(7065, 10, 7830)",2.9680638,1.0,"[(7065, 3, 1855)]",5,3.4794037,"[1, 1]","[2.854797, 3.0813308]",1
"(5533, 8, 7429)",2.3543837,2.0,"[(5533, 2, 30)]",1,4.629287,"[3, 1]","[2.215304, 2.4934635]",1
"(5907, 8, 7566)",2.5551546,3.0,"[(5907, 3, 712)]",1,5.352762,"[3, 3]","[2.3412104, 2.7690988]",1
"(7125, 11, 7869)",3.2246919,1.5,"[(7125, 3, 10)]",3,3.5670092,"[2, 1]","[2.737228, 3.712156]",1
"(6394, 8, 7427)",2.262432,1.5,"[(6394, 2, 68)]",1,3.8982012,"[1, 2]","[2.017416, 2.5074482]",1
"(7426, 11, 7956)",3.1256819,1.0,"[(7426, 2, 30)]",3,3.2648082,"[1, 1]","[2.5821574, 3.6692064]",1
"(5770, 8, 7410)",2.2794516,1.0,"[(5770, 2, 30)]",3,5.424654,"[1, 1]","[2.1169214, 2.4419818]",1
"(7655, 11, 7956)",2.9871004,1.0,"[(7655, 3, 9)]",3,2.9549463,"[1, 1]","[2.391581, 3.5826197]",1
"(6504, 10, 7830)",3.0190177,1.0,"[(6504, 1, 65)]",5,3.9476411,"[1, 1]","[2.9217148, 3.1163206]",1
"(6492, 8, 7393)",2.2951655,2.5,"[(6492, 3, 3448)]",5,5.3959875,"[3, 2]","[2.153233, 2.437098]",1
"(6383, 11, 7956)",2.9393888,1.0,"[(6383, 3, 730)]",2,2.6421046,"[1, 1]","[2.3013468, 3.577431]",1
"(5558, 8, 7410)",2.5447338,1.0,"[(5558, 3, 630)]",4,5.885943,"[1, 1]","[2.4038084, 2.6856592]",1
"(7628, 12, 8676)",4.0943813,1.0,"[(7628, 8, 7408)]",3,2.6512852,"[1, 1]","[4.5765133, 3.6122496]",1
"(6205, 10, 7830)",3.0375035,1.0,"[(6205, 3, 184)]",5,3.9084363,"[1, 1]","[2.95056, 3.1244469]",1
"(7201, 8, 7410)",2.2882457,1.0,"[(7201, 2, 4111)]",2,4.1836443,"[1, 1]","[2.0929036, 2.4835877]",1
"(4952, 11, 7869)",3.1527991,1.5,"[(4952, 3, 4958)]",3,3.7838056,"[2, 1]","[2.6807644, 3.6248338]",1
