prediction,new_ranks,exp,original_rank,original_score,new_scores,new_rank,exp_length,facts,new_score
"(12274, 1, 9268)",[1],"[(9268, 1, 12274)]",1,10.34638,[5.5744715],1.0,1,"[({(9268, 1, 12274)}, -0.5411753425983151, 'baseline'), ({(12274, 0, 9960)}, -0.8318811399581111, 'baseline')]",5.5744715
"(17578, 1, 8885)",[9],"[(8885, 1, 17578)]",1,9.063567,[4.2551527],9.0,1,"[({(8885, 1, 17578)}, -0.5634726364928088, 'baseline'), ({(3300, 1, 17578)}, -1.0861691955316972, 'baseline'), ({(17578, 1, 3300)}, -1.0938723565097148, 'baseline')]",4.2551527
"(3152, 1, 34834)",[14585],"[(34834, 1, 3152)]",1,9.688642,[-0.28027698],14585.0,1,"[({(34834, 1, 3152)}, -0.3162267992615938, 'baseline')]",-0.28027698
"(36104, 0, 81)",[120],"[(3970, 0, 81), (16415, 4, 36104), (16415, 4, 3970)]",1,7.7996135,[2.3045683],120.0,3,"[({(16415, 4, 36104)}, -1.0939078992988072, 'baseline')]",2.3045683
"(25305, 0, 2099)",[441],"[(1620, 6, 25305), (1620, 4, 35819), (35819, 0, 2099)]",1,7.398238,[-0.23549122],441.0,3,"[({(1620, 6, 25305)}, -1.2325486139193595, 'baseline')]",-0.23549122
"(24512, 1, 24859)",[7066],"[(24859, 1, 24512)]",1,10.221,[-0.91311026],7066.0,1,"[({(24859, 1, 24512)}, -0.39769232353580725, 'baseline')]",-0.91311026
"(13731, 1, 3340)",[1],"[(3340, 1, 13731)]",1,9.419868,[8.227005],1.0,1,"[({(3340, 1, 13731)}, -0.582313853365763, 'baseline'), ({(13731, 1, 11130)}, -0.6562084244692381, 'baseline'), ({(11130, 1, 13731)}, -0.6667675850401532, 'baseline'), ({(13731, 1, 13730)}, -0.706456212510764, 'baseline'), ({(13730, 1, 13731)}, -0.7121217528422985, 'baseline'), ({(13731, 0, 586)}, -1.4981404694223566, 'baseline')]",8.227005
"(21993, 1, 19504)",[2554],"[(19504, 1, 21993)]",1,8.579209,[0.5486757],2554.0,1,"[({(19504, 1, 21993)}, -0.45913591016637273, 'baseline'), ({(11202, 0, 21993)}, -0.8831737591814586, 'baseline')]",0.5486757
"(14202, 1, 14201)",[2],"[(14201, 1, 14202)]",1,10.240109,[5.0882406],2.0,1,"[({(14201, 1, 14202)}, -0.477571008557854, 'baseline'), ({(14202, 0, 31982)}, -1.1364675134533242, 'baseline')]",5.0882406
"(3450, 1, 6752)",[5],"[(6752, 1, 3450)]",1,8.6875305,[5.7880106],5.0,1,"[({(6752, 1, 3450)}, -0.4830518699984395, 'baseline'), ({(3450, 1, 13763)}, -0.9945234399181981, 'baseline'), ({(13763, 1, 3450)}, -0.9968664529682908, 'baseline'), ({(3450, 1, 12980)}, -1.0703036112113997, 'baseline'), ({(12980, 1, 3450)}, -1.0801982052092922, 'baseline'), ({(13968, 1, 3450)}, -1.1206557441696867, 'baseline'), ({(3450, 1, 15388)}, -1.15319838479409, 'baseline'), ({(15388, 1, 3450)}, -1.164486283700311, 'baseline'), ({(19171, 0, 3450)}, -1.1737467469847054, 'baseline')]",5.7880106
"(18173, 1, 1287)",[6],"[(1287, 1, 18173)]",1,8.870047,[4.3547716],6.0,1,"[({(1287, 1, 18173)}, -0.4723027440288227, 'baseline'), ({(23932, 1, 18173)}, -1.1666812926263246, 'baseline')]",4.3547716
"(14917, 3, 17826)",[12],"[(17826, 3, 14917)]",1,8.515327,[3.3632333],12.0,1,"[({(17826, 3, 14917)}, -0.4334095378024074, 'baseline'), ({(14917, 3, 17825)}, -0.8985219586482145, 'baseline')]",3.3632333
"(26613, 1, 9037)",[569],"[(9037, 1, 26613)]",1,9.101814,[0.9105488],569.0,1,"[({(9037, 1, 26613)}, -0.5372200333536048, 'baseline')]",0.9105488
"(28305, 0, 3141)",[24],"[(1019, 4, 39576), (1019, 4, 28305), (39576, 0, 3141)]",1,8.571083,[2.923368],24.0,3,"[({(1019, 4, 28305)}, -0.8737224421816817, 'baseline')]",2.923368
"(4747, 0, 22951)",[1169],"[(4747, 5, 3149), (22951, 5, 3149)]",1,7.647258,[-2.131199],1169.0,2,"[({(4747, 5, 3149)}, -0.7251209643864038, 'baseline')]",-2.131199
"(15497, 1, 2938)",[2],"[(2938, 1, 15497)]",1,9.88568,[4.9196563],2.0,1,"[({(2938, 1, 15497)}, -0.3040988593417671, 'baseline'), ({(7315, 0, 15497)}, -0.8134105252666448, 'baseline')]",4.9196563
"(14121, 1, 5862)",[14359],"[(5862, 1, 14121)]",1,7.876352,[-0.054860204],14359.0,1,"[({(5862, 1, 14121)}, -0.31589435318925924, 'baseline')]",-0.054860204
"(39279, 0, 184)",[10],"[(20385, 0, 184), (1038, 4, 39279), (1038, 4, 20385)]",1,8.77287,[5.965442],10.0,3,"[({(1038, 4, 39279)}, -1.0135073906432113, 'baseline')]",5.965442
"(7514, 1, 25165)",[6],"[(25165, 1, 7514)]",1,9.075606,[4.33287],6.0,1,"[({(25165, 1, 7514)}, -0.31525304813622923, 'baseline'), ({(7514, 1, 21485)}, -0.8152664687448077, 'baseline'), ({(21485, 1, 7514)}, -0.8397877413705239, 'baseline'), ({(7514, 1, 3331)}, -0.9325871142642204, 'baseline'), ({(3331, 1, 7514)}, -0.9378733799984089, 'baseline')]",4.33287
"(15028, 1, 5116)",[1],"[(5116, 1, 15028)]",1,9.27175,[7.8867064],1.0,1,"[({(5116, 1, 15028)}, -0.4825426732429634, 'baseline'), ({(16314, 1, 15028)}, -0.6440832026703616, 'baseline'), ({(15028, 1, 21701)}, -0.6934919153794307, 'baseline'), ({(21701, 1, 15028)}, -0.6997734445959849, 'baseline'), ({(15028, 1, 6422)}, -0.7792623884784358, 'baseline'), ({(6422, 1, 15028)}, -0.7908376407982499, 'baseline')]",7.8867064
"(6726, 1, 5782)",[28316],"[(5782, 1, 6726)]",1,9.564367,[-0.51672125],28316.0,1,"[({(5782, 1, 6726)}, -0.33708692868036055, 'baseline')]",-0.51672125
"(12530, 1, 5329)",[567],"[(5329, 1, 12530)]",1,10.27132,[0.56819624],567.0,1,"[({(5329, 1, 12530)}, -0.3227064385742187, 'baseline')]",0.56819624
"(40286, 1, 14159)",[11589],"[(14159, 1, 40286)]",1,10.40897,[-1.2346903],11589.0,1,"[({(14159, 1, 40286)}, -0.39445583877886625, 'baseline')]",-1.2346903
"(26785, 1, 7703)",[3],"[(7703, 1, 26785)]",1,10.314679,[5.1071925],3.0,1,"[({(7703, 1, 26785)}, -0.4161832276919921, 'baseline'), ({(26785, 0, 17167)}, -0.8780088690733194, 'baseline')]",5.1071925
"(5855, 1, 7329)",[4],"[(7329, 1, 5855)]",1,8.925503,[6.43484],4.0,1,"[({(7329, 1, 5855)}, -0.4687202836367857, 'baseline'), ({(5855, 1, 28317)}, -1.0109975193211735, 'baseline'), ({(28317, 1, 5855)}, -1.0182203997897528, 'baseline'), ({(11474, 0, 5855)}, -1.1045363198340288, 'baseline')]",6.43484
"(30984, 1, 6485)",[3],"[(6485, 1, 30984)]",1,9.050512,[5.1745005],3.0,1,"[({(6485, 1, 30984)}, -0.4641950687429956, 'baseline'), ({(30984, 0, 957)}, -0.9108862858256688, 'baseline')]",5.1745005
"(29963, 5, 774)",[1],"[(1137, 5, 774), (29963, 2, 1137)]",1,8.869197,[5.8652096],1.0,2,"[({(29963, 2, 1137)}, -0.6198969451942293, 'baseline')]",5.8652096
"(17030, 1, 2573)",[47],"[(2573, 1, 17030)]",1,8.604788,[2.4726088],47.0,1,"[({(2573, 1, 17030)}, -0.5361673237314571, 'baseline'), ({(17030, 1, 13110)}, -1.3487796237500482, 'baseline'), ({(13110, 1, 17030)}, -1.3635800278468344, 'baseline')]",2.4726088
"(20115, 2, 2580)",[1],"[(39563, 2, 2580), (20114, 6, 20115), (20114, 6, 39563)]",1,8.1901455,[7.103635],1.0,3,"[({(20114, 6, 20115)}, -1.1585350835714066, 'baseline')]",7.103635
"(3741, 1, 18271)",[3749],"[(18271, 1, 3741)]",1,10.975729,[0.020055175],3749.0,1,"[({(18271, 1, 3741)}, -0.3554725253995882, 'baseline')]",0.020055175
"(7532, 1, 7531)",[2028],"[(7531, 1, 7532)]",1,8.390123,[0.5199299],2028.0,1,"[({(7531, 1, 7532)}, -0.2768866906524632, 'baseline')]",0.5199299
"(1771, 1, 36226)",[17],"[(36226, 1, 1771)]",1,9.191784,[5.055794],17.0,1,"[({(36226, 1, 1771)}, -0.8305680139796493, 'baseline'), ({(9610, 1, 1771)}, -0.998489638857135, 'baseline')]",5.055794
"(6882, 9, 10563)",[2],"[(10563, 9, 6882)]",1,10.239602,[5.6897573],2.0,1,"[({(10563, 9, 6882)}, -0.20303376362392325, 'baseline'), ({(6882, 1, 9971)}, -0.7661908838067618, 'baseline'), ({(9971, 1, 6882)}, -0.7695255881701697, 'baseline'), ({(6882, 0, 6883)}, -1.144109396519029, 'baseline')]",5.6897573
"(28580, 5, 172)",[1],"[(27614, 5, 172), (27614, 0, 28580)]",1,7.0875874,[5.4058323],1.0,2,"[({(27614, 0, 28580)}, -2.945479255377101, 'baseline')]",5.4058323
"(40453, 1, 28165)",[6716],"[(28165, 1, 40453)]",1,9.401691,[-2.576287],6716.0,1,"[({(28165, 1, 40453)}, -0.5661759146329358, 'baseline')]",-2.576287
"(21645, 1, 16026)",[1],"[(16026, 1, 21645)]",1,9.251232,[7.081425],1.0,1,"[({(16026, 1, 21645)}, -0.6129730222699477, 'baseline'), ({(21645, 1, 14574)}, -0.8685501267096879, 'baseline'), ({(14574, 1, 21645)}, -0.8716576818530231, 'baseline'), ({(21645, 1, 32962)}, -0.8781560322853817, 'baseline'), ({(32962, 1, 21645)}, -0.9151701049158072, 'baseline')]",7.081425
"(11251, 1, 13752)",[841],"[(13752, 1, 11251)]",1,9.526362,[0.5132419],841.0,1,"[({(13752, 1, 11251)}, -0.524169941587696, 'baseline')]",0.5132419
"(26645, 1, 11702)",[537],"[(11702, 1, 26645)]",1,10.44846,[0.6354716],537.0,1,"[({(11702, 1, 26645)}, -0.29009573382331055, 'baseline'), ({(26645, 5, 129)}, -1.580882604684335, 'baseline')]",0.6354716
"(31376, 2, 743)",[1],"[(23887, 6, 31376), (32045, 2, 743), (23887, 6, 32045)]",1,7.7001705,[6.8230047],1.0,3,"[({(23887, 6, 31376)}, -1.3512821807485798, 'baseline'), ({(10052, 6, 31376)}, -1.4872632100625474, 'baseline'), ({(12272, 6, 31376)}, -1.5037387799008872, 'baseline')]",6.8230047
"(11144, 1, 2617)",[1],"[(11144, 0, 21098), (21097, 1, 21098), (2617, 0, 21097)]",1,9.984545,[9.83161],1.0,3,"[({(11144, 0, 21098)}, -0.49839761098006263, 'baseline'), ({(2617, 1, 11144)}, -0.5752041658271199, 'baseline')]",9.83161
"(5394, 1, 2601)",[1],"[(2601, 1, 5394)]",1,9.64728,[6.7011995],1.0,1,"[({(2601, 1, 5394)}, -0.36511729499985723, 'baseline'), ({(20358, 0, 5394)}, -0.6608804874218617, 'baseline'), ({(19801, 0, 5394)}, -0.8401454567613409, 'baseline'), ({(13722, 0, 5394)}, -0.9486390120665299, 'baseline')]",6.7011995
"(10925, 1, 8153)",[2],"[(8153, 1, 10925)]",1,9.006329,[4.836911],2.0,1,"[({(8153, 1, 10925)}, -0.6578498863960454, 'baseline'), ({(12946, 1, 10925)}, -1.1642285216585508, 'baseline')]",4.836911
"(12999, 1, 15729)",[2],"[(15171, 1, 31425), (15171, 1, 12999), (15729, 1, 31425)]",1,6.798723,[5.841181],2.0,3,"[({(15171, 1, 12999)}, -0.8182055242853088, 'baseline'), ({(12999, 1, 15171)}, -0.8237560355153694, 'baseline')]",5.841181
"(8634, 9, 19910)",[8255],"[(19910, 9, 8634)]",1,9.567928,[-0.11504023],8255.0,1,"[({(19910, 9, 8634)}, -0.06921093438386419, 'baseline')]",-0.11504023
"(32633, 1, 5596)",[1],"[(5596, 1, 32633)]",1,9.348708,[6.497718],1.0,1,"[({(5596, 1, 32633)}, -0.5241291428667546, 'baseline'), ({(32633, 0, 5176)}, -0.9049680622008012, 'baseline'), ({(32633, 1, 6813)}, -0.9707182143723296, 'baseline'), ({(6813, 1, 32633)}, -0.978725578054067, 'baseline')]",6.497718
"(21505, 0, 296)",[39],"[(8525, 4, 23270), (8525, 4, 21505), (23270, 0, 296)]",1,6.9597425,[4.3072395],39.0,3,"[({(8525, 4, 21505)}, -1.6511927585759951, 'baseline')]",4.3072395
"(9012, 5, 7786)",[80],"[(9012, 0, 2536), (2536, 5, 7786)]",1,8.305224,[3.8224277],80.0,2,"[({(9012, 0, 2536)}, -0.9740854236152828, 'baseline')]",3.8224277
"(36188, 1, 4691)",[2],"[(4691, 1, 36188)]",1,9.827701,[5.620453],2.0,1,"[({(4691, 1, 36188)}, -0.47377048294480917, 'baseline'), ({(36188, 1, 20727)}, -0.7370593835827199, 'baseline'), ({(20727, 1, 36188)}, -0.7579047519417136, 'baseline')]",5.620453
"(25496, 0, 5310)",[4706],"[(25496, 0, 25497), (15830, 0, 5310), (15830, 0, 25497)]",1,7.0187235,[-4.698677],4706.0,3,"[({(25496, 0, 25497)}, -0.8359421109391926, 'baseline')]",-4.698677
"(7605, 1, 16736)",[8],"[(16736, 1, 7605)]",1,9.469548,[3.426693],8.0,1,"[({(16736, 1, 7605)}, -0.5218271254396211, 'baseline'), ({(7605, 1, 7606)}, -0.9963821407448226, 'baseline'), ({(7606, 1, 7605)}, -1.083290051687922, 'baseline')]",3.426693
"(37743, 1, 14493)",[4],"[(14493, 1, 37743)]",1,9.327404,[4.6015677],4.0,1,"[({(14493, 1, 37743)}, -0.6605152824260001, 'baseline'), ({(37743, 0, 25874)}, -1.0376467512359002, 'baseline')]",4.6015677
"(2945, 9, 2944)",[6],"[(2944, 9, 2945)]",1,10.549395,[3.0573509],6.0,1,"[({(2944, 9, 2945)}, -0.5230065111377663, 'baseline'), ({(2945, 0, 203)}, -0.8019102324008891, 'baseline')]",3.0573509
"(2381, 2, 12273)",[1],"[(3408, 6, 2381), (3408, 6, 12273)]",1,8.170172,[7.3476486],1.0,2,"[({(3408, 6, 2381)}, -0.7278294968100506, 'baseline'), ({(2380, 6, 2381)}, -0.9821194547439149, 'baseline'), ({(4109, 6, 2381)}, -1.028621460921639, 'baseline'), ({(2381, 6, 21795)}, -1.1137503430657854, 'baseline'), ({(2381, 6, 5200)}, -1.1328415186413807, 'baseline'), ({(2381, 6, 10989)}, -1.3570479295760016, 'baseline')]",7.3476486
"(17802, 1, 3847)",[2],"[(3847, 1, 17802)]",1,8.961193,[6.1134214],2.0,1,"[({(3847, 1, 17802)}, -0.5659777287847122, 'baseline'), ({(17802, 1, 17801)}, -0.6232572223965162, 'baseline'), ({(17801, 1, 17802)}, -0.6295003524330479, 'baseline')]",6.1134214
"(7673, 1, 8629)",[27],"[(8629, 1, 7673)]",1,9.002323,[2.8354511],27.0,1,"[({(8629, 1, 7673)}, -0.2804337079269488, 'baseline')]",2.8354511
"(26644, 1, 16054)",[1],"[(16054, 1, 26644)]",1,9.2418165,[5.8648605],1.0,1,"[({(16054, 1, 26644)}, -0.5008363652488714, 'baseline'), ({(4985, 1, 26644)}, -0.7799392928086765, 'baseline'), ({(26644, 3, 16053)}, -0.8824273258231449, 'baseline'), ({(16053, 3, 26644)}, -0.8998951235096782, 'baseline')]",5.8648605
"(29442, 1, 5305)",[2],"[(5305, 1, 29442)]",1,8.90522,[5.6024866],2.0,1,"[({(5305, 1, 29442)}, -0.44290728453863976, 'baseline'), ({(29442, 1, 8152)}, -0.8624792963347305, 'baseline'), ({(8152, 1, 29442)}, -0.8696222499861705, 'baseline')]",5.6024866
"(1771, 1, 1770)",[14],"[(1770, 1, 1771)]",1,8.726723,[5.2160482],14.0,1,"[({(1770, 1, 1771)}, -0.482061798010257, 'baseline'), ({(21991, 0, 1771)}, -1.0003226462637171, 'baseline')]",5.2160482
"(22121, 0, 351)",[1],"[(512, 4, 22121), (512, 4, 33810), (33810, 0, 351)]",1,8.308378,[7.8925686],1.0,3,"[({(512, 4, 22121)}, -0.7952308475936277, 'baseline')]",7.8925686
"(10990, 1, 4301)",[10],"[(4301, 1, 10990)]",1,9.040138,[4.223122],10.0,1,"[({(4301, 1, 10990)}, -0.5207990416909382, 'baseline'), ({(10990, 0, 1380)}, -1.0389405874272442, 'baseline')]",4.223122
"(22873, 1, 37187)",[40465],"[(37187, 1, 22873)]",1,9.392544,[-1.1309862],40465.0,1,"[({(37187, 1, 22873)}, -0.8473196223587257, 'baseline')]",-1.1309862
"(13776, 2, 121)",[1],"[(27523, 2, 121), (27523, 2, 916), (13776, 2, 916)]",1,8.00515,[7.0820494],1.0,3,"[({(13776, 2, 916)}, -0.8986564283509625, 'baseline'), ({(2181, 6, 13776)}, -1.8189036356271366, 'baseline')]",7.0820494
"(17465, 1, 17464)",[25957],"[(17464, 1, 17465)]",1,9.928814,[-1.1665102],25957.0,1,"[({(17464, 1, 17465)}, -0.29814858184551446, 'baseline')]",-1.1665102
"(33614, 5, 172)",[1],"[(31682, 0, 5517), (33614, 0, 5517), (31682, 5, 172)]",1,7.783125,[8.324563],1.0,3,"[({(33614, 0, 5517)}, -1.5998804806688123, 'baseline'), ({(26515, 4, 33614)}, -1.7190188898429781, 'baseline')]",8.324563
"(7948, 1, 8993)",[109],"[(8993, 1, 7948)]",1,9.079611,[1.7134966],109.0,1,"[({(8993, 1, 7948)}, -0.4854977701144008, 'baseline'), ({(7948, 1, 22982)}, -0.9710772274745721, 'baseline'), ({(22982, 1, 7948)}, -0.9974235177202231, 'baseline')]",1.7134966
