exp_length,new_scores,original_score,original_rank,prediction,exp,new_score,new_ranks,facts,new_rank
6,[0.08988869190216064],0.9153757691383362,1,"(16918, 1, 2507)","[(2507, 3, 16476), (16476, 1, 16918), (2507, 9, 6789), (16918, 1, 6789), (2507, 1, 16918), (16918, 1, 16476)]",0.08988869190216064,[3],"[({(16918, 1, 6789), (16918, 1, 16476), (2507, 1, 16918), (16476, 1, 16918)}, 0.910315264454406, 'baseline'), ({(16918, 1, 6789), (6789, 1, 16918), (2507, 1, 16918), (16918, 1, 16476)}, 0.8761153106693073, 'baseline'), ({(16918, 1, 20126), (16918, 1, 16476), (2507, 1, 16918), (16476, 1, 16918)}, 0.8375614759543812, 'baseline'), ([(2507, 1, 16918)], 0.8302, 'xrule'), ({(16918, 1, 16919), (16918, 1, 16476), (2507, 1, 16918)}, 0.7975479831404294, 'baseline'), ({(16918, 1, 6789), (16918, 1, 16476), (2507, 1, 16918), (16918, 1, 20126)}, 0.7868572938977378, 'baseline'), ({(16918, 1, 16919), (16918, 1, 16476), (2507, 1, 16918), (16476, 1, 16918)}, 0.7146248078374817, 'baseline'), ({(16918, 1, 6789), (16918, 1, 16476), (2507, 1, 16918)}, 0.7063128207935297, 'baseline'), ({(16918, 1, 6789), (16918, 1, 16476), (2507, 1, 16918), (16919, 1, 16918)}, 0.7016249154555241, 'baseline'), ({(16918, 1, 16919), (16918, 1, 6789), (16918, 1, 16476), (2507, 1, 16918)}, 0.6916271301656828, 'baseline'), ({(16918, 1, 20126), (16918, 1, 16476), (2507, 1, 16918)}, 0.6840371938276011, 'baseline')]",3.0
1,[7.243881100293947e-06],0.8214631676673889,1,"(12356, 1, 20726)","[(20726, 1, 12356)]",7.243881100293947e-06,[35142],"[({(20726, 1, 12356)}, 0.9086143863019002, 'baseline'), ({(20726, 1, 12356)}, 0.9053586017167825, 'baseline'), ({(20726, 1, 12356)}, 0.8695691112460386, 'baseline'), ({(20726, 1, 12356)}, 0.8575177074794736, 'baseline'), ([(20726, 1, 12356)], 0.8545, 'xrule'), ({(20726, 1, 12356)}, 0.8460606812574203, 'baseline'), ({(20726, 1, 12356)}, 0.8302779074434372, 'baseline'), ({(20726, 1, 12356)}, 0.8296113487038903, 'baseline'), ({(20726, 1, 12356)}, 0.8039399853710762, 'baseline'), ({(20726, 1, 12356)}, 0.758376882822058, 'baseline'), ({(20726, 1, 12356)}, 0.6611849514803906, 'baseline')]",35142.0
1,[9.708411380415782e-05],0.8690681457519531,1,"(31721, 1, 24228)","[(24228, 1, 31721)]",9.708411380415782e-05,[6434],"[({(24228, 1, 31721)}, 0.862727153564322, 'baseline'), ({(24228, 1, 31721)}, 0.759540365491851, 'baseline'), ({(7056, 1, 31721), (24228, 1, 31721)}, 0.737641559023134, 'baseline'), ({(31721, 1, 7056), (24228, 1, 31721)}, 0.7022560094327596, 'baseline'), ([(24228, 1, 31721)], 0.6764, 'xrule'), ({(7056, 1, 31721)}, 0.04877338834814261, 'baseline'), ({(31721, 1, 7056)}, -0.08959217832422788, 'baseline'), ({(7056, 1, 31721), (31721, 1, 7056)}, -0.09041865629478087, 'baseline'), ({(31721, 1, 7056)}, -0.09877332015107854, 'baseline')]",6434.0
5,[4.597277074935846e-05],0.9877474308013916,1,"(7982, 1, 20572)","[(20572, 1, 7983), (14618, 3, 7982), (20572, 1, 7982), (7982, 3, 14618), (7983, 3, 14618)]",4.597277074935846e-05,[14831],"[({(14618, 3, 7982), (20572, 1, 7982), (7982, 3, 14618)}, 0.9865751175653031, 'baseline'), ([(20572, 1, 7982)], 0.9855, 'xrule'), ({(14618, 3, 7982), (20572, 1, 7982), (7982, 3, 7983)}, 0.978532185864425, 'baseline'), ({(20572, 1, 7982), (7982, 3, 7983)}, 0.9466757078460346, 'baseline'), ({(20572, 1, 7982), (7982, 3, 14618)}, 0.8392221806119212, 'baseline'), ({(14618, 3, 7982), (20572, 1, 7982)}, 0.6622134892750801, 'baseline'), ({(20572, 1, 7982)}, 0.4931937284789834, 'baseline'), ({(7982, 3, 14618), (7982, 3, 7983)}, 0.001492361477178404, 'baseline'), ({(14618, 3, 7982)}, -0.0001158314295726834, 'baseline'), ({(14618, 3, 7982), (7982, 3, 7983)}, -0.0004899101898525072, 'baseline'), ({(14618, 3, 7982), (7982, 3, 14618)}, -0.0006841021394116004, 'baseline')]",14831.0
1,[6.755666981916875e-05],0.9519976377487183,1,"(20097, 1, 39891)","[(39891, 1, 20097)]",6.755666981916875e-05,[13383],"[({(39891, 1, 20097)}, 0.7969897260133563, 'baseline'), ([(39891, 1, 20097)], 0.7571, 'xrule'), ({(39891, 1, 20097)}, 0.7050040816118994, 'baseline'), ({(39891, 1, 20097)}, 0.7039341186020318, 'baseline'), ({(39891, 1, 20097)}, 0.645429893957505, 'baseline'), ({(39891, 1, 20097)}, 0.5872565943308405, 'baseline'), ({(39891, 1, 20097)}, 0.56230012929569, 'baseline'), ({(39891, 1, 20097)}, 0.4726325398446069, 'baseline'), ({(39891, 1, 20097)}, 0.449029964552458, 'baseline'), ({(39891, 1, 20097)}, 0.21784679167705123, 'baseline')]",13383.0
2,[3.3446605812059715e-05],0.5863993167877197,1,"(27089, 0, 25460)","[(21273, 4, 27089), (21273, 4, 25460)]",3.3446605812059715e-05,[1527],"[({(21273, 4, 27089)}, 0.32992209139831147, 'baseline'), ([(33277, 0, 25460), (21273, 4, 27089), (21273, 4, 33277)], 0.0061, 'xrule')]",1527.0
1,[0.0010918081970885396],0.9422932267189026,1,"(522, 1, 21041)","[(21041, 1, 522)]",0.0010918081970885396,[317],"[({(21041, 1, 522)}, 0.6845484228386726, 'baseline'), ({(21041, 1, 522)}, 0.654845401371145, 'baseline'), ({(21041, 1, 522)}, 0.5809452968592007, 'baseline'), ({(17635, 0, 522)}, 0.06469235850690654, 'baseline'), ([(21041, 1, 522)], 0.035299998, 'xrule')]",317.0
1,[0.000156831243657507],0.9746934175491333,1,"(26856, 1, 26855)","[(26855, 1, 26856)]",0.000156831243657507,[1502],"[({(26855, 1, 26856)}, 0.9669085646325088, 'baseline'), ([(26855, 1, 26856)], 0.8927, 'xrule')]",1502.0
1,[7.355156412813812e-05],0.9498961567878723,1,"(29520, 1, 38175)","[(38175, 1, 29520)]",7.355156412813812e-05,[6375],"[([(38175, 1, 29520)], 0.997, 'xrule'), ({(38175, 1, 29520)}, 0.9867889790622505, 'baseline'), ({(38175, 1, 29520)}, 0.7586768133698146, 'baseline')]",6375.0
1,[0.0001136950813815929],0.9860931038856506,1,"(11856, 1, 2643)","[(2643, 1, 11856)]",0.0001136950813815929,[3935],"[({(2643, 1, 11856)}, 0.9741773511709497, 'baseline'), ([(2643, 1, 11856)], 0.9026, 'xrule'), ({(2643, 1, 11856)}, 0.5049376317709482, 'baseline')]",3935.0
1,[0.0007666856981813908],0.867676854133606,1,"(6787, 1, 26217)","[(26217, 1, 6787)]",0.0007666856981813908,[594],"[({(26217, 1, 6787)}, 0.8946753034094346, 'baseline'), ({(26217, 1, 6787)}, 0.8520482659849047, 'baseline'), ({(26217, 1, 6787)}, 0.8346047875504781, 'baseline'), ({(26217, 1, 6787)}, 0.8324526425419856, 'baseline'), ({(26217, 1, 6787)}, 0.8246508116675703, 'baseline'), ({(26217, 1, 6787)}, 0.7862685192082263, 'baseline'), ({(26217, 1, 6787)}, 0.7780032025287853, 'baseline'), ({(26217, 1, 6787)}, 0.762393103425036, 'baseline'), ({(26217, 1, 6787)}, 0.7543272835792327, 'baseline'), ({(26217, 1, 6787)}, 0.720418200584485, 'baseline'), ([(26217, 1, 6787)], 0.5224, 'xrule')]",594.0
5,[0.000369607238098979],0.92377108335495,1,"(3136, 1, 16161)","[(16161, 0, 3005), (3137, 1, 3136), (3137, 0, 3005), (16161, 1, 3136), (3136, 1, 3137)]",0.000369607238098979,[1390],"[({(16161, 1, 3136), (3137, 1, 3136), (3136, 1, 3137)}, 0.9049340378458276, 'baseline'), ({(16161, 1, 3136), (3136, 1, 3137)}, 0.8330768820006557, 'baseline'), ({(16161, 1, 3136)}, 0.8269167418487418, 'baseline'), ({(16161, 1, 3136), (3136, 1, 3137)}, 0.7377620796322023, 'baseline'), ({(16161, 1, 3136), (3137, 1, 3136), (3136, 1, 3137)}, 0.730723665035948, 'baseline'), ({(16161, 1, 3136), (3136, 1, 3137)}, 0.6331642115241076, 'baseline'), ({(16161, 1, 3136), (3136, 1, 3137)}, 0.6060460647796518, 'baseline'), ({(16161, 1, 3136), (3136, 1, 3137)}, 0.4046962677898985, 'baseline'), ([(16161, 1, 3136)], 0.0538, 'xrule'), ({(3136, 1, 3137)}, -0.04859199097604889, 'baseline'), ({(3136, 1, 3137)}, -0.05732860140919089, 'baseline')]",1390.0
1,[0.4977264404296875],0.9543496966362,1,"(22752, 1, 11603)","[(11603, 1, 22752)]",0.4977264404296875,[1],"[([(11603, 1, 22752)], 0.8962, 'xrule'), ({(22752, 1, 2392), (25306, 1, 22752), (11603, 1, 22752), (2392, 1, 22752)}, 0.8275384183234907, 'baseline'), ({(22752, 1, 2392), (11603, 1, 22752), (2392, 1, 22752), (22752, 1, 25306)}, 0.8023595085500249, 'baseline'), ({(22752, 1, 2392), (11603, 1, 22752), (2392, 1, 22752), (22752, 0, 7968)}, 0.7120998358596247, 'baseline'), ({(22752, 1, 2392), (11603, 1, 22752), (25306, 1, 22752)}, 0.6032146653054999, 'baseline'), ({(22752, 1, 2392), (11603, 1, 22752), (25306, 1, 22752), (22752, 1, 25306)}, 0.5039746591243415, 'baseline'), ({(22752, 1, 2392), (11603, 1, 22752), (22752, 1, 25306)}, 0.29132406028882074, 'baseline'), ({(22752, 1, 2392), (22752, 1, 25306), (11603, 1, 22752), (22752, 0, 7968)}, 0.1992546127727558, 'baseline'), ({(22752, 1, 2392), (11603, 1, 22752), (22752, 1, 25306)}, 0.1830237315267373, 'baseline'), ({(22752, 1, 2392), (22752, 1, 25306)}, -0.025165279430218002, 'baseline'), ({(22752, 1, 2392), (22752, 1, 25306), (22752, 0, 7968)}, -0.02888180783485873, 'baseline')]",1.0
5,[2.307918521182728e-06],0.8592720627784729,1,"(20944, 1, 2415)","[(2415, 1, 20944), (2994, 1, 2993), (20944, 1, 2994), (2994, 1, 20944), (2415, 1, 2993)]",2.307918521182728e-06,[38515],"[({(2415, 1, 20944), (2994, 1, 20944), (20944, 1, 2994)}, 0.7333912113696976, 'baseline'), ({(2415, 1, 20944), (2994, 1, 20944)}, 0.6662757246808855, 'baseline'), ({(2415, 1, 20944)}, 0.652733728012256, 'baseline'), ([(2415, 1, 20944)], 0.6179, 'xrule'), ({(2415, 1, 20944)}, 0.6172864876405173, 'baseline'), ({(2415, 1, 20944), (20944, 1, 2994)}, 0.5719662742460035, 'baseline'), ({(2415, 1, 20944), (20944, 1, 2994)}, 0.46843157459131696, 'baseline'), ({(2415, 1, 20944), (20944, 1, 2994)}, 0.43210355654710453, 'baseline'), ({(2415, 1, 20944), (20944, 1, 2994)}, 0.3269517832232276, 'baseline'), ({(2415, 1, 20944), (20944, 1, 2994)}, 0.2432389069392709, 'baseline'), ({(2415, 1, 20944), (20944, 1, 2994)}, 0.1883667514838428, 'baseline')]",38515.0
4,[0.0010316745610907674],0.9776057600975037,1,"(8742, 1, 19068)","[(8742, 1, 1897), (5674, 1, 19068), (1897, 1, 5674), (19068, 1, 8742)]",0.0010316745610907674,[504],"[({(8742, 1, 1897), (19068, 1, 8742)}, 0.6711247414154159, 'baseline'), ({(8742, 1, 1897), (19068, 1, 8742)}, 0.60231141648382, 'baseline'), ([(19068, 1, 8742)], 0.5146, 'xrule'), ({(8742, 1, 1897), (19068, 1, 8742)}, 0.4366438212360028, 'baseline'), ({(8742, 1, 1897)}, 0.0459794802604142, 'baseline'), ({(8742, 1, 1897)}, 0.02334396071936415, 'baseline'), ({(8742, 1, 1897)}, 0.012256066246800881, 'baseline'), ({(8742, 1, 1897)}, 0.00864795869685217, 'baseline'), ({(8742, 1, 1897)}, 0.007732908195164432, 'baseline'), ({(8742, 1, 1897)}, 0.003563801699510959, 'baseline'), ({(8742, 1, 1897)}, 0.00026218122922429206, 'baseline')]",504.0
1,[2.5516434106975794e-05],0.9656851887702942,1,"(16624, 9, 15794)","[(15794, 9, 16624)]",2.5516434106975794e-05,[12234],"[({(15794, 9, 16624)}, 0.9487658639779512, 'baseline'), ([(15794, 9, 16624)], 0.9081, 'xrule'), ({(15793, 1, 16624)}, -0.004976113397231917, 'baseline'), ({(16624, 1, 15793)}, -0.01336952025327222, 'baseline')]",12234.0
1,[0.18201443552970886],0.9287481307983398,1,"(15588, 1, 15587)","[(15587, 1, 15588)]",0.18201443552970886,[2],"[([(15587, 1, 15588)], 0.7572, 'xrule'), ({(15587, 1, 15588), (15588, 1, 14064), (15588, 1, 31654), (15588, 1, 27163)}, 0.7114217137991015, 'baseline'), ({(15587, 1, 15588), (15588, 1, 31654), (15588, 1, 27163)}, 0.5412183238066899, 'baseline'), ({(15587, 1, 15588), (15588, 1, 31654), (15588, 1, 27163)}, 0.43958292628698403, 'baseline'), ({(15587, 1, 15588), (15588, 1, 14064), (15588, 1, 27163)}, 0.3640757020243283, 'baseline'), ({(15587, 1, 15588), (15588, 1, 14064), (15588, 1, 31654)}, 0.28865901739964916, 'baseline'), ({(31654, 1, 15588), (15588, 1, 27163), (15588, 1, 14064)}, 0.10106203988130723, 'baseline'), ({(27163, 1, 15588), (15588, 1, 14064), (15588, 1, 31654)}, 0.06214831301799065, 'baseline'), ({(31654, 1, 15588), (15588, 1, 27163), (15588, 1, 14064), (15588, 1, 31654)}, 0.060823361384900666, 'baseline'), ({(15588, 1, 27163), (15588, 1, 31654)}, 0.05227605530615071, 'baseline'), ({(15588, 1, 27163), (15588, 1, 14064), (15588, 1, 31654)}, -0.03013946584902612, 'baseline')]",2.0
1,[0.0010544473771005869],0.957123875617981,1,"(8754, 1, 4244)","[(4244, 1, 8754)]",0.0010544473771005869,[170],"[({(4244, 1, 8754)}, 0.8799584394297899, 'baseline'), ({(4244, 1, 8754)}, 0.7913089860559054, 'baseline'), ({(4244, 1, 8754)}, 0.7808248864819122, 'baseline'), ({(4244, 1, 8754)}, 0.7145371890601859, 'baseline'), ({(4244, 1, 8754)}, 0.6681104152951393, 'baseline'), ({(4244, 1, 8754)}, 0.6579412071025189, 'baseline'), ({(8754, 0, 1668), (4244, 1, 8754)}, 0.6390805090773315, 'baseline'), ({(4244, 1, 8754)}, 0.4898194201342185, 'baseline'), ({(4244, 1, 8754)}, 0.486052674768085, 'baseline'), ([(4244, 1, 8754)], 0.3762, 'xrule'), ({(4244, 1, 8754)}, 0.2951168230670224, 'baseline')]",170.0
5,[7.685548189328983e-05],0.8962762355804443,1,"(17578, 1, 8885)","[(8885, 1, 17578), (3300, 1, 17578), (26393, 1, 3300), (8885, 1, 26393), (17578, 1, 3300)]",7.685548189328983e-05,[7051],"[({(3300, 1, 17578), (8885, 1, 17578), (17578, 1, 3300)}, 0.9092985880460193, 'baseline'), ({(8885, 1, 17578)}, 0.7548725468934289, 'baseline'), ({(8885, 1, 17578), (17578, 1, 3300)}, 0.6878228636794699, 'baseline'), ({(3300, 1, 17578), (8885, 1, 17578), (17578, 1, 3300)}, 0.6511794772823245, 'baseline'), ({(8885, 1, 17578), (17578, 1, 3300)}, 0.6453984226926841, 'baseline'), ({(8885, 1, 17578), (17578, 1, 3300)}, 0.34691886257831667, 'baseline'), ([(8885, 1, 17578)], 0.1314, 'xrule'), ({(17578, 1, 3300)}, -0.060758014208210705, 'baseline'), ({(17578, 1, 3300)}, -0.06446619796134449, 'baseline'), ({(17578, 1, 3300)}, -0.06577887104660432, 'baseline'), ({(17578, 1, 3300)}, -0.07349230811919487, 'baseline')]",7051.0
9,[0.13625824451446533],0.23917707800865173,1,"(30007, 2, 121)","[(20016, 4, 28966), (20016, 4, 30007), (28966, 2, 121), (27523, 2, 121), (30007, 2, 916), (13030, 6, 16669), (16669, 2, 121), (13030, 6, 30007), (27523, 2, 916)]",0.13625824451446533,[1],"[({(30007, 2, 916), (20016, 4, 30007), (13030, 6, 30007)}, 0.2732942213741177, 'baseline'), ({(20016, 4, 30007), (13030, 6, 30007)}, 0.24444527512277334, 'baseline'), ({(20016, 4, 30007), (30007, 2, 916)}, 0.1647640571429834, 'baseline'), ({(20016, 4, 30007)}, 0.14080971030880718, 'baseline'), ({(30007, 2, 916), (13030, 6, 30007)}, 0.023233990140873958, 'baseline'), ({(30007, 2, 916)}, 0.012464980531889339, 'baseline'), ([(20016, 4, 14054), (20016, 4, 30007), (14054, 2, 121)], 0.0, 'xrule'), ({(13030, 6, 30007)}, -0.07296447919938193, 'baseline')]",1.0
5,[6.494605622719973e-05],0.970401406288147,1,"(24115, 1, 18755)","[(24115, 1, 2300), (2300, 1, 9577), (2300, 1, 24115), (18755, 1, 9577), (18755, 1, 24115)]",6.494605622719973e-05,[6414],"[({(18755, 1, 24115), (24115, 1, 2300), (2300, 1, 24115)}, 0.9535825750225595, 'baseline'), ([(18755, 1, 24115)], 0.8311, 'xrule'), ({(18755, 1, 24115)}, 0.6948519799615445, 'baseline'), ({(18755, 1, 24115)}, 0.6819280834599722, 'baseline'), ({(18755, 1, 24115), (24115, 1, 2300)}, 0.6489099708065929, 'baseline'), ({(18755, 1, 24115), (2300, 1, 24115)}, 0.6458179797973188, 'baseline'), ({(2300, 1, 24115)}, 0.17075542664695095, 'baseline'), ({(2300, 1, 24115)}, 0.019133428978394887, 'baseline'), ({(24115, 1, 2300)}, -0.030959864190406194, 'baseline'), ({(24115, 1, 2300)}, -0.03422131114980978, 'baseline')]",6414.0
