prediction,#facts,new_score,original_score,new_scores,new_rank,original_rank,new_ranks,facts
"(15205, 0, 265)",1,4.8046656,0.94464505,"[4.5381565, 5.071175]",765.5,1,"[26, 1505]","[(3750, 4, 15205)]"
"(11600, 0, 13047)",2,5.248002,2.725429,"[5.0272655, 5.4687386]",1701.0,1,"[926, 2476]","[(7326, 4, 11600), (11600, 4, 15695)]"
"(5134, 2, 4633)",3,2.741429,0.51211566,"[3.025246, 2.4576123]",5.0,1,"[5, 5]","[(5134, 8, 32954), (2724, 4, 5134), (1167, 6, 5134)]"
"(26845, 0, 292)",2,4.9523935,0.67443144,"[4.658458, 5.246329]",6031.5,1,"[53, 12010]","[(26845, 4, 32126), (1864, 4, 26845)]"
"(4037, 0, 16708)",2,5.3828616,1.988281,"[6.2997932, 4.46593]",5936.5,1,"[6252, 5621]","[(23563, 6, 4037), (4036, 6, 4037)]"
"(8306, 2, 25327)",1,5.55795,1.4664829,"[6.2991867, 4.8167133]",105.5,1,"[86, 125]","[(8306, 2, 499)]"
"(37285, 0, 184)",1,4.80149,1.4167567,"[4.5429235, 5.0600567]",17.0,1,"[3, 31]","[(1906, 4, 37285)]"
"(30007, 2, 121)",3,5.580984,0.6540674,"[5.7646866, 5.3972816]",72.5,1,"[30, 115]","[(30007, 2, 916), (20016, 4, 30007), (13030, 6, 30007)]"
"(12266, 4, 18612)",3,1.4609727,1.0805113,"[1.6376274, 1.284318]",1975.5,1,"[2493, 1458]","[(12266, 0, 3640), (12266, 4, 1862), (12266, 4, 16385)]"
"(31237, 0, 2110)",1,5.1343117,1.3141148,"[5.2146544, 5.053969]",5465.0,1,"[1409, 9521]","[(1073, 4, 31237)]"
"(24513, 0, 4550)",2,4.437826,1.9245131,"[4.1424785, 4.7331743]",2307.0,1,"[17, 4597]","[(24513, 4, 24514), (17178, 4, 24513)]"
"(9258, 2, 916)",2,5.954796,0.6697103,"[6.4727926, 5.436799]",114.5,1,"[89, 140]","[(9258, 2, 121), (3766, 6, 9258)]"
"(36270, 0, 265)",1,5.5729756,2.4774587,"[5.7386856, 5.4072657]",2983.0,1,"[2290, 3676]","[(12825, 4, 36270)]"
"(36297, 0, 16303)",1,4.8410006,2.9325104,"[4.8245883, 4.857413]",5528.0,1,"[5058, 5998]","[(25916, 6, 36297)]"
"(15734, 0, 184)",2,5.724718,0.7776886,"[5.886985, 5.562452]",6368.0,1,"[2364, 10372]","[(1131, 4, 15734), (15734, 4, 18885)]"
"(4747, 0, 22951)",1,5.0259705,3.1222603,"[6.04598, 4.005961]",8075.0,1,"[1238, 14912]","[(4747, 5, 3149)]"
"(18961, 2, 7)",3,5.3887434,0.6120101,"[4.9656844, 5.811802]",40.5,1,"[55, 26]","[(2930, 6, 18961), (272, 6, 18961), (3402, 6, 18961)]"
"(39279, 0, 184)",1,5.1078486,0.8926251,"[5.3862934, 4.829404]",10916.0,1,"[6700, 15132]","[(1038, 4, 39279)]"
"(17933, 0, 160)",1,5.259949,1.4126594,"[5.228138, 5.2917604]",15059.5,1,"[16951, 13168]","[(17932, 4, 17933)]"
"(22077, 5, 6956)",1,5.6530833,1.6869034,"[6.0706673, 5.2354994]",38.0,1,"[36, 40]","[(22077, 0, 3517)]"
"(10506, 0, 296)",3,2.049242,0.86584294,"[2.3562746, 1.7422092]",4.5,1,"[5, 4]","[(10506, 4, 31801), (10505, 4, 10506), (10506, 4, 14076)]"
"(22501, 2, 1326)",1,5.035193,1.6838268,"[5.5473137, 4.5230722]",32.5,1,"[27, 38]","[(2899, 6, 22501)]"
"(33666, 0, 278)",1,4.9910026,1.3730358,"[5.1137037, 4.8683014]",2062.5,1,"[4094, 31]","[(3239, 4, 33666)]"
"(31737, 0, 16660)",1,5.2675195,1.8926018,"[5.2687025, 5.2663364]",3409.0,1,"[1516, 5302]","[(31737, 0, 4448)]"
"(13521, 0, 427)",1,5.1665297,1.5232298,"[4.972493, 5.3605657]",922.0,1,"[704, 1140]","[(13520, 4, 13521)]"
"(16507, 0, 184)",2,5.260442,1.0595998,"[5.323412, 5.1974716]",595.5,1,"[1122, 69]","[(12815, 4, 16507), (16507, 4, 37560)]"
"(29963, 5, 774)",2,5.016844,1.4715588,"[4.8784466, 5.1552405]",386.0,1,"[758, 14]","[(1914, 8, 29963), (29963, 2, 1137)]"
"(2173, 6, 38083)",3,0.17631587,0.16975777,"[0.20511699, 0.14751476]",3.0,1,"[5, 1]","[(2173, 6, 25880), (2173, 6, 30945), (12458, 6, 2173)]"
"(38386, 0, 1904)",1,5.6761503,3.1416736,"[5.383207, 5.9690933]",1156.5,1,"[98, 2215]","[(10444, 4, 38386)]"
"(33711, 5, 19257)",2,5.5460405,1.6178828,"[5.4280114, 5.664069]",92.5,1,"[69, 116]","[(33711, 0, 21113), (33711, 5, 9528)]"
"(18018, 2, 916)",1,4.568284,1.0748414,"[4.382824, 4.753744]",99.5,1,"[19, 180]","[(18018, 2, 121)]"
"(3741, 6, 11977)",3,1.4254267,1.0016706,"[1.3793675, 1.4714861]",3.5,1,"[1, 6]","[(23931, 0, 3741), (18271, 1, 3741), (3741, 6, 29582)]"
"(33791, 0, 2687)",3,5.3959675,1.1540937,"[5.49475, 5.2971845]",10182.0,1,"[9439, 10925]","[(33791, 4, 11695), (33791, 4, 36514), (19383, 4, 33791)]"
"(36972, 5, 172)",3,5.447187,4.8635826,"[5.5832777, 5.311096]",10.0,1,"[4, 16]","[(36972, 0, 220), (13177, 2, 36972), (11166, 0, 36972)]"
"(18333, 0, 1929)",2,5.465459,1.5995007,"[5.6495876, 5.28133]",17143.0,1,"[16464, 17822]","[(18332, 4, 18333), (18333, 4, 1248)]"
"(27097, 0, 10241)",2,5.260126,2.6455247,"[5.9562354, 4.564017]",3041.0,1,"[5742, 340]","[(3408, 8, 27097), (38312, 0, 27097)]"
"(33324, 0, 284)",1,5.1869,0.75780964,"[5.1912527, 5.182547]",2865.5,1,"[637, 5094]","[(2924, 4, 33324)]"
"(19442, 2, 1137)",2,5.4589405,1.2696587,"[5.910816, 5.0070653]",12.0,1,"[23, 1]","[(3188, 8, 19442), (19442, 5, 774)]"
"(1864, 0, 1703)",3,1.2252747,1.4160054,"[1.2829264, 1.1676229]",1.5,1,"[1, 2]","[(1864, 4, 12569), (1864, 4, 2148), (1864, 4, 19268)]"
"(18451, 5, 1238)",2,4.7998405,0.9023785,"[5.1347036, 4.4649773]",39.5,1,"[22, 57]","[(18451, 0, 17127), (18451, 5, 2971)]"
"(7396, 0, 39)",3,1.0469863,2.1907704,"[1.1355388, 0.958434]",1.0,1,"[1, 1]","[(7396, 4, 12341), (7396, 4, 5339), (7396, 4, 2540)]"
"(15952, 0, 3163)",2,4.7419357,2.5990837,"[4.912892, 4.57098]",2073.5,1,"[437, 3710]","[(15951, 4, 15952), (15952, 4, 19515)]"
"(40221, 5, 73)",1,4.938799,2.976766,"[5.1549788, 4.7226195]",115.0,1,"[203, 27]","[(40221, 0, 3411)]"
"(33163, 5, 4554)",2,5.5891247,1.3780348,"[5.124427, 6.0538225]",74.0,1,"[25, 123]","[(33163, 5, 19146), (33163, 0, 34125)]"
"(19351, 0, 265)",2,5.068325,1.6982498,"[5.1169305, 5.019719]",205.0,1,"[288, 122]","[(6122, 4, 19351), (19351, 4, 11121)]"
"(14814, 0, 292)",2,4.966647,0.8656637,"[5.315621, 4.6176734]",2068.0,1,"[4038, 98]","[(1864, 4, 14814), (14814, 4, 14815)]"
"(21561, 0, 39)",3,1.4606005,1.9819248,"[1.4124391, 1.5087619]",1.5,1,"[1, 2]","[(21561, 4, 12663), (21561, 4, 10155), (1930, 4, 21561)]"
"(34758, 0, 284)",1,4.9909716,1.2893803,"[4.838565, 5.143378]",9627.5,1,"[4534, 14721]","[(7922, 4, 34758)]"
"(38617, 0, 21)",1,5.086938,1.6508205,"[5.613514, 4.560362]",2715.0,1,"[3144, 2286]","[(1432, 4, 38617)]"
"(9939, 2, 2580)",1,4.760138,1.4379002,"[5.623001, 3.8972752]",2.5,1,"[4, 1]","[(4927, 6, 9939)]"
"(36255, 0, 10055)",2,4.9688425,1.2075223,"[4.7680025, 5.1696825]",5512.0,1,"[5914, 5110]","[(36255, 6, 33439), (76, 4, 36255)]"
"(31376, 2, 743)",3,5.2395725,0.3502208,"[5.6157036, 4.8634415]",100.0,1,"[198, 2]","[(10052, 6, 31376), (12272, 6, 31376), (23887, 6, 31376)]"
"(14888, 0, 2518)",3,0.6886002,0.6015825,"[0.6908533, 0.686347]",1.0,1,"[1, 1]","[(14888, 4, 24718), (14888, 4, 26079), (14888, 4, 18399)]"
"(35944, 2, 916)",1,5.520517,0.8335239,"[5.4471397, 5.593894]",110.0,1,"[68, 152]","[(35944, 2, 121)]"
"(5767, 4, 21704)",3,0.63591933,1.4449646,"[0.8782115, 0.39362723]",1.5,1,"[2, 1]","[(28471, 4, 5767), (5767, 4, 8357), (5767, 4, 24316)]"
"(37756, 0, 278)",1,4.950431,1.6959426,"[4.9797726, 4.921089]",950.0,1,"[128, 1772]","[(21810, 4, 37756)]"
"(38545, 2, 3943)",2,5.1695313,0.52756256,"[5.4501524, 4.8889103]",49.0,1,"[42, 56]","[(7700, 6, 38545), (523, 6, 38545)]"
"(1521, 0, 532)",2,5.686029,2.5358155,"[6.116091, 5.255967]",1374.0,1,"[2489, 259]","[(6962, 4, 1521), (1521, 4, 1522)]"
"(516, 0, 292)",2,5.45955,0.56383824,"[5.834631, 5.0844684]",22063.0,1,"[20087, 24039]","[(1864, 4, 516), (516, 4, 517)]"
"(10303, 0, 1380)",3,1.6528764,2.244032,"[1.6760833, 1.6296694]",204.0,1,"[218, 190]","[(28372, 1, 10303), (34509, 1, 10303), (10303, 9, 22035)]"
"(2381, 2, 12273)",3,0.7582042,0.6526841,"[0.76702935, 0.74937916]",1.5,1,"[1, 2]","[(2381, 6, 38996), (3408, 6, 2381), (2381, 6, 5200)]"
"(14588, 2, 121)",2,5.5051975,0.89742965,"[5.293664, 5.716731]",54.5,1,"[71, 38]","[(8693, 6, 14588), (14588, 2, 916)]"
"(37558, 2, 741)",2,5.703976,0.9920295,"[5.5189486, 5.8890038]",75.0,1,"[4, 146]","[(193, 6, 37558), (37558, 6, 37709)]"
"(39375, 0, 265)",1,5.2300606,3.3573053,"[5.169322, 5.2907987]",195.5,1,"[174, 217]","[(15314, 4, 39375)]"
"(30773, 0, 184)",1,5.184252,1.2787083,"[5.480942, 4.8875613]",3247.5,1,"[5744, 751]","[(1038, 4, 30773)]"
"(27989, 2, 17930)",3,5.297103,0.405201,"[6.35895, 4.2352557]",34.5,1,"[44, 25]","[(27989, 2, 499), (27989, 5, 2404), (27989, 2, 1646)]"
"(37725, 0, 23377)",1,6.0095897,1.7977273,"[6.3185425, 5.700637]",1855.0,1,"[1532, 2178]","[(15016, 4, 37725)]"
"(22121, 0, 351)",2,5.4291534,0.61166525,"[5.1153507, 5.7429557]",8576.5,1,"[358, 16795]","[(22121, 4, 13498), (512, 4, 22121)]"
"(27757, 0, 1929)",2,5.382441,1.4945084,"[5.300295, 5.464587]",4674.0,1,"[3636, 5712]","[(27757, 4, 13223), (450, 4, 27757)]"
"(7397, 0, 296)",3,0.7317332,0.49443048,"[0.93316865, 0.53029776]",2.5,1,"[4, 1]","[(7397, 4, 34529), (7397, 4, 20436), (7396, 4, 7397)]"
"(36622, 2, 2580)",2,4.9144697,1.264704,"[4.2497272, 5.579212]",53.0,1,"[20, 86]","[(637, 8, 36622), (4502, 6, 36622)]"
"(25076, 0, 265)",1,5.061157,2.0178685,"[4.614431, 5.507884]",998.0,1,"[193, 1803]","[(17623, 4, 25076)]"
"(35086, 0, 1929)",2,5.2527237,1.266521,"[5.3123302, 5.1931167]",7542.0,1,"[6870, 8214]","[(13084, 4, 35086), (35086, 4, 38712)]"
"(29122, 0, 1500)",3,5.263834,3.2201586,"[5.4195147, 5.108154]",19603.0,1,"[27730, 11476]","[(29122, 1, 5382), (5382, 4, 29122), (5382, 1, 29122)]"
"(23647, 0, 1338)",1,5.2895713,1.3406936,"[5.226244, 5.3528986]",5981.0,1,"[10810, 1152]","[(23647, 0, 14302)]"
