prediction,perspective,new_scores,facts,new_rank,original_rank,new_ranks,new_score,original_score,#facts
"(3785, 14, 5334)",all,"[0.41889715, 0.3646425]","[(84, 2, 3785), (3785, 31, 84), (3785, 14, 160), (3785, 31, 1211)]",4.0,1,"[3, 5]",0.39176983,0.6667987,4
"(7448, 43, 141)",all,"[1.4509356, 1.6179094]","[(7448, 106, 592), (441, 32, 7448), (7448, 86, 441), (7448, 26, 1960)]",2.0,1,"[2, 2]",1.5344225,0.81092346,4
"(8848, 34, 90)",all,"[0.41542557, 0.32518533]","[(4236, 34, 90), (8848, 26, 2948), (7636, 34, 90)]",1.0,1,"[1, 1]",0.37030545,1.6693163,3
"(11039, 43, 141)",all,"[0.40629193, 0.6416098]","[(4908, 47, 11039), (4565, 43, 141), (11039, 24, 8761)]",1.5,1,"[2, 1]",0.5239509,0.69868577,3
"(11375, 120, 791)",all,"[1.9355464, 3.1587346]","[(11375, 190, 12925), (12925, 194, 11375), (11375, 15, 12925), (12925, 111, 11375), (11375, 58, 1750), (1750, 58, 11375), (11375, 154, 1437)]",1.0,1,"[1, 1]",2.5471406,2.7728596,7
"(5958, 13, 308)",all,"[0.15477127, 0.1900845]","[(5958, 84, 7307), (5958, 109, 7307), (5958, 13, 419), (5958, 13, 119)]",5.0,1,"[3, 7]",0.1724279,0.15282819,4
"(552, 26, 64)",all,"[0.19607544, 0.11247225]","[(457, 7, 552), (14, 7, 552), (8736, 26, 64)]",1.5,1,"[2, 1]",0.15427384,0.3237501,3
"(4819, 85, 434)",all,"[1.9493196, 2.300857]","[(1124, 87, 1554), (1554, 133, 1124), (434, 161, 1554), (4819, 48, 1124), (869, 85, 434), (4819, 43, 141), (869, 43, 141), (4819, 82, 2456)]",2.0,1,"[2, 2]",2.1250882,0.76368415,8
"(12150, 154, 2438)",all,"[6.2428036, 5.4186974]","[(12150, 120, 791), (4938, 120, 791), (4938, 154, 2438), (32, 87, 12150), (3760, 154, 2438), (32, 15, 3760), (3760, 133, 32), (12150, 120, 791), (2437, 120, 791), (2437, 154, 2438)]",5.0,1,"[6, 4]",5.8307505,1.4754109,10
"(2789, 11, 23)",all,"[0.13976425, 0.11698286]","[(11255, 11, 23), (9206, 11, 23), (6651, 11, 23)]",1.0,1,"[1, 1]",0.12837356,0.32897478,3
"(11272, 25, 62)",all,"[2.062923, 3.2519565]","[(3181, 89, 11272), (3181, 89, 12923), (12923, 25, 62), (1323, 89, 2979), (2979, 25, 62), (1323, 89, 11272), (3181, 89, 11272), (3181, 89, 7436), (7436, 25, 62)]",1.0,1,"[1, 1]",2.6574397,1.2204452,9
"(8397, 80, 344)",all,"[2.2137756, 3.2318258]","[(7064, 4, 9), (9, 130, 8397), (9, 130, 7064), (7064, 80, 344), (1688, 80, 344), (9687, 94, 8397)]",2.0,1,"[2, 2]",2.7228007,1.5370536,6
"(1716, 25, 62)",all,"[1.5774119, 2.3041143]","[(1756, 92, 1716), (1715, 20, 1716), (597, 92, 1716)]",1.0,1,"[1, 1]",1.9407631,1.5018482,3
"(1897, 14, 160)",all,"[0.29737422, 0.24504068]","[(371, 7, 1897), (1897, 30, 371), (1897, 105, 4505), (4800, 198, 160)]",1.5,1,"[2, 1]",0.27120745,0.2094721,4
"(4270, 14, 160)",all,"[0.20561133, 0.19100013]","[(2972, 14, 160), (4233, 14, 160), (11601, 100, 160)]",1.0,1,"[1, 1]",0.19830573,0.28766972,3
"(7664, 26, 342)",all,"[0.23475339, 0.2288739]","[(7031, 11, 23), (7664, 11, 23), (7031, 26, 342), (7664, 14, 160), (3660, 26, 342), (3660, 14, 160), (7664, 31, 844), (3660, 26, 342), (3660, 31, 844)]",1.0,1,"[1, 1]",0.23181364,0.31316847,9
"(6847, 25, 62)",all,"[2.1268466, 2.4643238]","[(706, 89, 12010), (706, 89, 6847), (12010, 25, 62), (6847, 22, 5527), (5336, 226, 6847)]",1.0,1,"[1, 1]",2.2955852,1.1290191,5
"(688, 35, 3840)",all,"[0.42393318, 0.5958861]","[(6448, 35, 3840), (6448, 35, 1161), (688, 35, 1161), (7979, 15, 3840), (7979, 15, 2527), (688, 35, 2527), (3840, 219, 90), (688, 35, 2527), (2527, 219, 90)]",8.5,1,"[7, 10]",0.50990963,0.51082504,9
"(2899, 25, 62)",all,"[2.852094, 4.4252644]","[(12743, 25, 62), (7638, 25, 62), (7919, 25, 62)]",1.0,1,"[1, 1]",3.638679,3.559206,3
"(2446, 48, 32)",all,"[0.5960996, 0.3922091]","[(2446, 17, 215), (7880, 48, 32), (7880, 17, 215), (2446, 17, 862), (7880, 48, 32), (7880, 17, 862), (2446, 85, 1665)]",1.0,1,"[1, 1]",0.49415436,0.46131864,7
"(6298, 25, 62)",all,"[1.2736921, 1.7716358]","[(6298, 212, 4563), (2995, 119, 6298), (6298, 45, 2995), (3731, 20, 6298)]",1.0,1,"[1, 1]",1.522664,0.6909994,4
"(12379, 120, 791)",all,"[5.397191, 4.7652774]","[(32, 87, 4938), (12379, 133, 32), (4938, 120, 791), (3627, 120, 791), (3627, 25, 62), (12379, 25, 62), (12379, 127, 3796), (3796, 144, 12379), (3796, 15, 12379), (12379, 194, 3796)]",2.0,1,"[2, 2]",5.081234,2.3360553,10
"(5481, 95, 521)",all,"[1.9062768, 1.4659303]","[(12569, 79, 2519), (2519, 61, 521), (5481, 96, 12569), (5481, 142, 4301), (4301, 130, 2172), (2172, 142, 4301), (4301, 130, 5481), (2172, 95, 521), (5481, 142, 6568), (6568, 130, 5481)]",2.0,1,"[1, 3]",1.6861036,0.989806,10
"(3861, 14, 160)",all,"[0.30652928, 0.27840248]","[(229, 38, 3861), (229, 6, 3861), (6968, 14, 160), (3861, 26, 1881), (6968, 26, 1881), (6968, 14, 160)]",1.5,1,"[1, 2]",0.29246587,0.25217485,6
"(7729, 43, 141)",all,"[1.2982087, 1.63078]","[(6440, 50, 7729), (7729, 17, 862), (4848, 43, 141), (4848, 17, 862), (7729, 85, 434), (6863, 43, 141), (6863, 85, 434)]",1.5,1,"[1, 2]",1.4644943,2.0049927,7
"(3866, 28, 274)",all,"[0.7207683, 0.5053147]","[(5291, 34, 90), (5291, 13, 274), (3866, 34, 90), (3866, 31, 3823), (3866, 34, 90), (307, 13, 274), (307, 34, 90)]",8.5,1,"[3, 14]",0.6130415,0.7304003,7
"(8023, 120, 791)",all,"[2.84327, 5.874901]","[(1065, 25, 62), (8023, 25, 62), (1065, 120, 791), (8023, 33, 90), (5860, 120, 791), (5860, 33, 90), (8023, 154, 2438), (5860, 120, 791), (5860, 154, 2438)]",4.0,1,"[1, 7]",4.3590856,1.8721514,9
"(5819, 13, 68)",all,"[0.1361203, 0.20229867]","[(7583, 13, 68), (5819, 13, 2046), (5819, 13, 75)]",2.5,1,"[2, 3]",0.16920948,0.16052178,3
"(7349, 11, 23)",all,"[0.2588366, 0.4867159]","[(5458, 11, 23), (7349, 86, 410), (410, 32, 7349), (7349, 13, 235)]",1.0,1,"[1, 1]",0.37277627,0.43093276,4
"(10221, 25, 62)",all,"[2.6806655, 2.6581655]","[(10221, 76, 12756), (10221, 76, 9981), (10221, 76, 10706)]",1.0,1,"[1, 1]",2.6694155,1.6330178,3
"(2145, 43, 141)",all,"[0.51640034, 0.60770655]","[(3035, 19, 1469), (1469, 47, 2145), (3035, 43, 141), (1469, 47, 3035), (2145, 48, 308), (1010, 8, 2145), (1010, 3, 2145), (2145, 8, 1010)]",2.0,1,"[2, 2]",0.56205344,0.5222268,8
"(4583, 11, 23)",all,"[0.43019098, 0.31405705]","[(12389, 59, 4583), (1888, 11, 23), (1888, 11, 23), (4583, 26, 1098), (1888, 26, 1098)]",1.0,1,"[1, 1]",0.37212402,0.2629223,5
"(10456, 25, 62)",all,"[6.7628117, 6.271357]","[(10456, 154, 2620), (4358, 15, 10456), (6437, 25, 62), (6437, 83, 4358), (4358, 15, 10456)]",1.0,1,"[1, 1]",6.517084,4.9376154,5
"(8425, 124, 4722)",all,"[0.5881298, 1.3215761]","[(2578, 68, 8425), (2578, 68, 447), (2578, 68, 8425), (447, 124, 4722), (446, 68, 8425)]",2.5,1,"[1, 4]",0.95485294,0.95188427,5
"(1309, 25, 62)",all,"[3.2156827, 4.2181597]","[(3243, 25, 62), (12016, 25, 62), (32, 15, 2162), (32, 15, 1309), (2162, 25, 62)]",1.0,1,"[1, 1]",3.7169213,2.4636252,5
"(1477, 60, 90)",all,"[1.1224841, 0.41452232]","[(11983, 60, 90), (1477, 6, 1525), (4901, 33, 90)]",1.0,1,"[1, 1]",0.7685032,0.5409208,3
"(3027, 106, 1652)",all,"[0.3241539, 0.29346085]","[(5769, 24, 1652), (8338, 39, 1652), (8338, 24, 1652), (3471, 24, 1652), (3471, 160, 1652)]",8.5,1,"[11, 6]",0.30880737,0.47599506,5
"(5649, 48, 32)",all,"[0.23537457, 0.33354852]","[(7550, 8, 366), (366, 8, 5649), (7550, 48, 32), (5649, 8, 366), (7550, 48, 32), (7550, 8, 1662), (1662, 8, 7550), (5649, 8, 1662), (9845, 48, 32)]",1.0,1,"[1, 1]",0.28446156,0.2602483,9
"(3196, 11, 23)",all,"[0.3381731, 0.40009505]","[(5905, 13, 637), (3196, 28, 637), (5905, 11, 23), (3196, 26, 1098), (3196, 26, 1098), (11133, 26, 1098), (11133, 11, 23)]",1.0,1,"[1, 1]",0.36913407,0.40968782,7
"(5263, 48, 32)",all,"[0.3668104, 0.3004683]","[(984, 48, 32), (9638, 13, 32), (9638, 28, 32), (132, 48, 32)]",1.0,1,"[1, 1]",0.33363935,0.41966963,4
"(11737, 43, 141)",all,"[1.0382965, 0.91087335]","[(9916, 43, 141), (11737, 24, 249), (11737, 66, 249), (11737, 17, 862)]",1.5,1,"[2, 1]",0.97458494,1.0893538,4
"(9906, 43, 141)",all,"[0.46846935, 0.5456972]","[(3583, 1, 9906), (4351, 43, 141), (4351, 17, 862), (9906, 17, 862), (2280, 43, 141), (9906, 17, 862), (2280, 17, 862)]",1.5,1,"[2, 1]",0.5070833,0.42750812,7
"(6443, 43, 141)",all,"[1.9923843, 5.497847]","[(966, 43, 141), (6443, 25, 62), (966, 25, 62), (806, 17, 2006), (806, 43, 141), (6443, 17, 2006), (6443, 25, 62), (1451, 43, 141), (1451, 25, 62)]",2.0,1,"[2, 2]",3.7451158,1.446734,9
"(5017, 14, 160)",all,"[0.41950688, 0.28342947]","[(8857, 14, 160), (8857, 28, 32), (5017, 28, 32), (643, 14, 160), (5017, 31, 4), (643, 31, 4), (4, 2, 643), (5017, 28, 382)]",2.5,1,"[2, 3]",0.35146818,0.4182104,8
"(8165, 106, 592)",all,"[0.6418807, 0.29794276]","[(8165, 26, 64), (658, 2, 8165), (8165, 31, 658), (11122, 2, 8165)]",1.5,1,"[1, 2]",0.46991172,0.4687157,4
"(9475, 25, 62)",all,"[1.5162954, 1.512507]","[(5241, 25, 62), (1207, 25, 62), (8915, 25, 62)]",1.0,1,"[1, 1]",1.5144012,1.0660238,3
"(4123, 172, 1978)",all,"[0.69318265, 0.7231011]","[(2519, 172, 1978), (2267, 172, 1978), (2519, 172, 1978), (706, 89, 2519), (706, 89, 4123)]",1.0,1,"[1, 1]",0.70814186,0.91753596,5
"(9530, 48, 32)",all,"[1.200901, 1.3655941]","[(5361, 48, 32), (5361, 85, 434), (9530, 85, 434), (434, 161, 1405), (9530, 85, 434), (32, 152, 1405), (1196, 48, 32), (9530, 17, 871), (1196, 17, 871)]",1.0,1,"[1, 1]",1.2832476,1.4696013,9
"(6787, 25, 62)",all,"[3.971884, 6.3656554]","[(6787, 120, 791), (8948, 120, 791), (8948, 25, 62), (6787, 120, 791), (10480, 120, 791), (10480, 25, 62), (6787, 120, 791), (13380, 25, 62), (13380, 120, 791)]",1.0,1,"[1, 1]",5.16877,2.8322759,9
"(6404, 13, 449)",all,"[0.22254917, 0.20012626]","[(1714, 13, 449), (7244, 13, 449), (3196, 13, 449)]",8.0,1,"[5, 11]",0.21133772,0.23727773,3
"(8572, 25, 62)",all,"[3.0634422, 4.0085]","[(2893, 25, 62), (2893, 120, 791), (8572, 120, 791), (32, 15, 2893), (2893, 25, 62), (32, 15, 8572), (6413, 25, 62), (6413, 48, 32), (32, 15, 8572)]",1.0,1,"[1, 1]",3.5359712,2.293519,9
"(12232, 33, 90)",all,"[3.1701233, 3.3433933]","[(10340, 34, 90), (10340, 28, 32), (32, 87, 12232), (11984, 58, 12232), (12232, 58, 11984), (32, 87, 12232)]",682.0,1,"[2, 1362]",3.2567582,1.7239146,6
"(6597, 48, 32)",all,"[0.36769795, 0.2851016]","[(8127, 48, 32), (32, 15, 2607), (572, 106, 2607), (6597, 6, 572), (2607, 133, 32), (1921, 47, 6597)]",1.0,1,"[1, 1]",0.32639977,0.48178485,6
"(738, 115, 6114)",all,"[0.2621967, 0.41792858]","[(276, 115, 6114), (1258, 115, 6114), (206, 115, 6114)]",1.0,1,"[1, 1]",0.34006262,0.7155806,3
"(7221, 106, 592)",all,"[0.20547985, 0.3731752]","[(7113, 26, 1098), (7221, 26, 1098), (7113, 106, 592), (7234, 106, 592), (7221, 31, 163), (7234, 31, 163), (4, 2, 7113), (7221, 31, 4), (7113, 31, 4), (7113, 106, 592)]",1.5,1,"[1, 2]",0.28932753,0.39170694,10
"(8753, 10, 2875)",all,"[1.2003324, 1.2089739]","[(10033, 10, 6209), (8753, 10, 6209), (10033, 10, 2875), (8753, 10, 2465), (2465, 27, 1459), (2875, 27, 1459), (7411, 10, 6209), (7411, 10, 2875), (8753, 10, 6209)]",3.0,1,"[3, 3]",1.2046531,0.6328476,9
"(2552, 43, 141)",all,"[0.48448423, 0.430351]","[(10124, 43, 141), (6364, 43, 141), (4036, 43, 141)]",1.5,1,"[1, 2]",0.4574176,0.62731445,3
"(8789, 17, 862)",all,"[0.6640577, 0.37927997]","[(8789, 48, 32), (1367, 48, 32), (1367, 17, 862), (282, 17, 862), (282, 43, 141), (8789, 43, 141), (8789, 48, 32), (11709, 48, 32), (11709, 17, 862)]",2.0,1,"[2, 2]",0.5216688,0.70166343,9
"(1598, 26, 342)",all,"[0.22649194, 0.2392402]","[(1472, 26, 342), (1598, 14, 160), (1472, 14, 160), (1598, 13, 853), (2447, 26, 342), (2447, 13, 853), (1598, 13, 382), (906, 28, 382), (1598, 28, 382), (906, 26, 342)]",2.0,1,"[3, 1]",0.23286608,0.31690055,10
"(9148, 74, 1769)",all,"[0.27874058, 0.34834176]","[(9148, 84, 1099), (9148, 31, 3939), (3939, 2, 9148), (9148, 26, 342)]",4.0,1,"[7, 1]",0.31354117,0.471061,4
