new_ranks,new_rank,new_score,facts,new_scores,original_rank,prediction,original_score,#facts
"[3, 5]",4.0,5.1905837,"[(730, 1, 32701), (4393, 1, 522), (1048, 0, 522)]","[5.4628305, 4.918337]",1,"(32701, 0, 522)",6.671388,3
"[32318, 8484]",20401.0,-2.0037289,"[(3103, 1, 3104), (20507, 1, 3103)]","[-2.6655865, -1.3418715]",1,"(3104, 1, 3103)",9.955729,2
"[1, 1]",1.0,8.329737,"[(1360, 3, 17169), (17848, 1, 17011), (30554, 1, 17169)]","[7.800954, 8.858519]",1,"(17011, 3, 17169)",8.8337755,3
"[1, 1]",1.0,7.7111425,"[(32092, 0, 1338), (22391, 0, 1338), (16642, 0, 1338)]","[7.8023167, 7.6199684]",1,"(23647, 0, 1338)",7.0427074,3
"[1, 1]",1.0,9.507076,"[(21665, 1, 4764), (15559, 0, 4765), (21744, 1, 4764)]","[9.57018, 9.443973]",1,"(4765, 1, 4764)",9.360676,3
"[1, 1]",1.0,8.096382,"[(9355, 1, 8742), (18228, 0, 8742), (8741, 0, 8742)]","[8.123968, 8.068795]",1,"(8742, 1, 19068)",8.114485,3
"[28179, 20357]",24268.0,-1.9236815,"[(13805, 4, 13806), (28087, 1, 13806), (31185, 1, 28087)]","[-2.1012654, -1.7460974]",1,"(13806, 1, 28087)",9.769687,3
"[1, 1]",1.0,6.0650434,"[(19175, 5, 1819), (32319, 0, 1819), (5796, 0, 3210)]","[6.239374, 5.8907127]",1,"(3210, 5, 1819)",6.574163,3
"[4, 1]",2.5,4.588294,"[(19915, 2, 1534), (8624, 2, 1534), (37445, 2, 1534)]","[4.4079266, 4.7686615]",1,"(11480, 2, 1534)",5.108136,3
"[1, 1]",1.0,8.949318,"[(12197, 9, 26647), (24183, 0, 3407), (3510, 1, 3407)]","[9.166716, 8.73192]",1,"(26647, 1, 3407)",8.59272,3
"[6, 5]",5.5,3.990644,"[(38504, 2, 9268), (9268, 1, 12274), (1661, 2, 9268)]","[4.6152315, 3.3660564]",1,"(12274, 1, 9268)",10.34638,3
"[10, 14]",12.0,3.3856566,"[(8886, 1, 8885), (8885, 1, 17578), (3300, 1, 17578)]","[3.6840754, 3.0872378]",1,"(17578, 1, 8885)",9.063567,3
"[34654, 9295]",21974.5,-2.239769,"[(8251, 1, 3152), (3151, 1, 3152), (34834, 1, 3152)]","[-3.6509728, -0.8285652]",1,"(3152, 1, 34834)",9.688642,3
"[1, 1]",1.0,8.262661,"[(14240, 0, 81), (19476, 0, 81), (11594, 0, 81)]","[8.312484, 8.212838]",1,"(36104, 0, 81)",7.7996135,3
"[358, 259]",308.5,0.9218193,"[(1620, 6, 25305), (6053, 0, 2099), (2098, 0, 2099)]","[1.2358992, 0.60773945]",1,"(25305, 0, 2099)",7.398238,3
"[10960, 1050]",6005.0,-0.8168265,"[(24859, 1, 24512)]","[-1.390605, -0.24304807]",1,"(24512, 1, 24859)",10.221,1
"[1, 1]",1.0,9.062289,"[(25343, 1, 3340), (13694, 1, 3340), (3341, 1, 3340)]","[9.008287, 9.116291]",1,"(13731, 1, 3340)",9.419868,3
"[21273, 9855]",15564.0,-0.40332323,"[(27075, 1, 21993), (19504, 1, 21993), (11202, 0, 21993)]","[-0.63167554, -0.1749709]",1,"(21993, 1, 19504)",8.579209,3
"[2, 2]",2.0,3.8785577,"[(31982, 1, 14201), (14201, 1, 14202), (22141, 1, 14201)]","[4.294077, 3.4630384]",1,"(14202, 1, 14201)",10.240109,3
"[5, 4]",4.5,5.7019825,"[(32130, 0, 6752), (10134, 0, 6752), (6752, 1, 3450)]","[5.272784, 6.1311812]",1,"(3450, 1, 6752)",8.6875305,3
"[1, 1]",1.0,8.560327,"[(23082, 0, 1287), (24909, 0, 1287), (24168, 0, 1287)]","[8.609356, 8.511297]",1,"(18173, 1, 1287)",8.870047,3
"[11, 9]",10.0,3.2078004,"[(14918, 3, 14917), (17826, 3, 14917), (28987, 3, 14917)]","[3.0150292, 3.4005718]",1,"(14917, 3, 17826)",8.515327,3
"[1, 1]",1.0,8.4453745,"[(21734, 0, 3141), (3140, 0, 3141), (14309, 0, 3141)]","[8.010139, 8.8806095]",1,"(28305, 0, 3141)",8.571083,3
"[10648, 5866]",8257.0,-0.22585694,"[(33506, 0, 9037), (9037, 1, 26613), (31897, 0, 9037)]","[-0.39253667, -0.05917722]",1,"(26613, 1, 9037)",9.101814,3
"[1, 1]",1.0,7.8437114,"[(35121, 0, 22951), (21198, 1, 22951), (29997, 1, 22951)]","[7.970731, 7.716692]",1,"(4747, 0, 22951)",7.647258,3
"[276, 124]",200.0,1.3593079,"[(7315, 0, 15497), (23760, 1, 2938), (2938, 1, 15497)]","[1.157671, 1.5609448]",1,"(15497, 1, 2938)",9.88568,3
"[1, 1]",1.0,7.6177807,"[(32802, 1, 5862), (9367, 1, 5862), (16522, 1, 5862)]","[7.4292574, 7.806304]",1,"(14121, 1, 5862)",7.876352,3
"[1, 1]",1.0,7.671186,"[(690, 0, 184), (7455, 0, 184), (5020, 0, 184)]","[7.5959387, 7.7464333]",1,"(39279, 0, 184)",8.77287,3
"[2, 5]",3.5,4.7602143,"[(140, 0, 7514), (25164, 0, 25165), (25165, 1, 7514)]","[5.0083847, 4.512044]",1,"(7514, 1, 25165)",9.075606,3
"[1, 1]",1.0,8.816784,"[(10792, 1, 5116), (21701, 1, 15028), (16314, 1, 15028)]","[8.496513, 9.1370535]",1,"(15028, 1, 5116)",9.27175,3
"[1, 1]",1.0,9.423693,"[(5781, 0, 5782), (13865, 1, 6726), (14286, 0, 6726)]","[9.376248, 9.471138]",1,"(6726, 1, 5782)",9.564367,3
"[19004, 1195]",10099.5,-0.6907649,"[(5330, 1, 5329), (5329, 1, 12530)]","[-1.6390469, 0.25751704]",1,"(12530, 1, 5329)",10.27132,2
"[27632, 22197]",24914.5,-2.0814257,"[(14159, 1, 40286), (796, 1, 14159)]","[-1.3660085, -2.796843]",1,"(40286, 1, 14159)",10.40897,2
"[3, 7]",5.0,4.721902,"[(707, 1, 7703), (7703, 1, 26785), (18022, 1, 7703)]","[5.0877485, 4.3560553]",1,"(26785, 1, 7703)",10.314679,3
"[1, 1]",1.0,8.768728,"[(28317, 1, 5855), (12339, 0, 5855), (28921, 0, 7329)]","[8.810261, 8.727197]",1,"(5855, 1, 7329)",8.925503,3
"[4, 4]",4.0,5.0539203,"[(6485, 1, 30984), (13642, 1, 30984), (34866, 0, 30984)]","[4.838397, 5.2694435]",1,"(30984, 1, 6485)",9.050512,3
"[1, 1]",1.0,8.995939,"[(3965, 5, 774), (3287, 5, 774), (11004, 5, 774)]","[8.886735, 9.1051445]",1,"(29963, 5, 774)",8.869197,3
"[1, 1]",1.0,8.716624,"[(26071, 0, 2573), (33266, 0, 2573), (12452, 1, 2573)]","[8.588612, 8.844637]",1,"(17030, 1, 2573)",8.604788,3
"[1, 1]",1.0,7.469352,"[(22685, 2, 2580), (18835, 2, 2580), (13025, 2, 2580)]","[7.531021, 7.407683]",1,"(20115, 2, 2580)",8.1901455,3
"[21855, 13034]",17444.5,-1.445208,"[(23931, 0, 3741), (18271, 1, 3741)]","[-1.6622887, -1.2281272]",1,"(3741, 1, 18271)",10.975729,2
"[1, 1]",1.0,8.565983,"[(6969, 1, 7532), (5389, 3, 7531), (11527, 1, 7532)]","[8.60875, 8.523216]",1,"(7532, 1, 7531)",8.390123,3
"[22, 16]",19.0,4.0635433,"[(1770, 1, 1771), (20467, 0, 1771), (9610, 1, 1771)]","[3.6950097, 4.4320774]",1,"(1771, 1, 36226)",9.191784,3
"[1, 2]",1.5,5.5123324,"[(8641, 0, 10563), (9971, 1, 6882), (10563, 9, 6882)]","[5.59696, 5.427705]",1,"(6882, 9, 10563)",10.239602,3
"[1, 1]",1.0,6.6161337,"[(171, 5, 172), (6211, 5, 172), (6196, 5, 172)]","[7.507843, 5.7244244]",1,"(28580, 5, 172)",7.0875874,3
"[18191, 9377]",13784.0,-4.3198824,"[(29586, 1, 28165), (32862, 1, 28165), (28165, 1, 40453)]","[-4.548584, -4.091181]",1,"(40453, 1, 28165)",9.401691,3
"[1, 1]",1.0,6.3919835,"[(16027, 1, 16026), (14574, 1, 21645), (16026, 1, 21645)]","[6.816066, 5.967901]",1,"(21645, 1, 16026)",9.251232,3
"[9213, 919]",5066.0,-0.49239248,"[(9203, 1, 13752), (13752, 1, 11251), (5715, 1, 11251)]","[-1.0598376, 0.07505265]",1,"(11251, 1, 13752)",9.526362,3
"[11331, 7562]",9446.5,-1.4127796,"[(11702, 1, 26645), (11590, 0, 26645)]","[-1.4119639, -1.4135952]",1,"(26645, 1, 11702)",10.44846,2
"[1, 1]",1.0,6.763034,"[(10052, 6, 31376), (13632, 2, 743), (15967, 2, 743)]","[5.742931, 7.783137]",1,"(31376, 2, 743)",7.7001705,3
"[1, 1]",1.0,9.704722,"[(31800, 0, 5394), (37971, 0, 2601), (20358, 0, 5394)]","[9.728921, 9.680524]",1,"(5394, 1, 2601)",9.64728,3
"[5, 3]",4.0,3.864694,"[(2617, 1, 11144), (2618, 1, 2617)]","[3.4837165, 4.2456717]",1,"(11144, 1, 2617)",9.984545,2
"[1, 1]",1.0,9.11082,"[(27434, 0, 8153), (32990, 0, 8153), (29276, 0, 8153)]","[9.000827, 9.220813]",1,"(10925, 1, 8153)",9.006329,3
"[1, 1]",1.0,5.8703938,"[(15171, 1, 12999), (16455, 1, 15729), (15730, 1, 15729)]","[6.019059, 5.7217283]",1,"(12999, 1, 15729)",6.798723,3
"[1, 1]",1.0,9.447437,"[(5388, 9, 8634), (3925, 0, 19910), (1329, 9, 19910)]","[9.550913, 9.343961]",1,"(8634, 9, 19910)",9.567928,3
"[1, 1]",1.0,6.7904825,"[(7468, 1, 5596), (6813, 1, 32633), (5596, 1, 32633)]","[7.2101564, 6.3708086]",1,"(32633, 1, 5596)",9.348708,3
"[15, 16]",15.5,5.71125,"[(8525, 4, 21505), (2858, 4, 296), (1341, 0, 296)]","[5.5990534, 5.8234463]",1,"(21505, 0, 296)",6.9597425,3
"[1, 1]",1.0,8.060145,"[(7785, 5, 7786), (2537, 5, 7786), (26201, 5, 7786)]","[7.5927477, 8.527543]",1,"(9012, 5, 7786)",8.305224,3
"[2, 1]",1.5,5.2778296,"[(14239, 1, 4691), (4691, 1, 36188), (20727, 1, 36188)]","[4.557987, 5.997672]",1,"(36188, 1, 4691)",9.827701,3
"[2, 1]",1.5,6.458838,"[(16209, 0, 5310), (30645, 0, 5310), (12826, 0, 5310)]","[6.3556747, 6.562001]",1,"(25496, 0, 5310)",7.0187235,3
"[12, 17]",14.5,2.380087,"[(7606, 1, 16736), (7606, 1, 7605), (16736, 1, 7605)]","[2.5861773, 2.1739964]",1,"(7605, 1, 16736)",9.469548,3
"[19, 7]",13.0,3.0385563,"[(25874, 1, 14493), (14493, 1, 37743), (14494, 1, 14493)]","[2.323493, 3.7536197]",1,"(37743, 1, 14493)",9.327404,3
"[161, 5020]",2590.5,0.09550995,"[(2944, 9, 2945)]","[1.1943853, -1.0033654]",1,"(2945, 9, 2944)",10.549395,1
"[1, 1]",1.0,7.692315,"[(22107, 2, 12273), (4109, 6, 2381), (12450, 2, 12273)]","[7.8178244, 7.566806]",1,"(2381, 2, 12273)",8.170172,3
"[9, 9]",9.0,4.9480095,"[(24768, 1, 3847), (3847, 1, 17802), (3846, 0, 3847)]","[5.276216, 4.619803]",1,"(17802, 1, 3847)",8.961193,3
"[185, 246]",215.5,1.0704563,"[(29372, 1, 8629), (8629, 1, 7673), (10866, 1, 7673)]","[1.3692868, 0.77162564]",1,"(7673, 1, 8629)",9.002323,3
"[1, 1]",1.0,10.695262,"[(16053, 1, 16054), (4985, 1, 26644), (16053, 3, 26644)]","[10.594788, 10.795736]",1,"(26644, 1, 16054)",9.2418165,3
"[1, 1]",1.0,8.792358,"[(1, 1, 5305), (17373, 1, 29442), (8152, 1, 29442)]","[9.039646, 8.545071]",1,"(29442, 1, 5305)",8.90522,3
"[11, 10]",10.5,5.0872955,"[(3480, 1, 1771), (28968, 0, 1771), (36226, 1, 1771)]","[4.847536, 5.327055]",1,"(1771, 1, 1770)",8.726723,3
"[1, 1]",1.0,7.4214163,"[(3190, 0, 351), (350, 0, 351), (3804, 0, 351)]","[7.7512712, 7.0915613]",1,"(22121, 0, 351)",8.308378,3
"[21, 21]",21.0,3.4175158,"[(35363, 1, 10990), (4301, 1, 10990), (6575, 1, 4301)]","[3.2363393, 3.5986924]",1,"(10990, 1, 4301)",9.040138,3
"[1, 1]",1.0,8.924795,"[(24764, 0, 22873), (27742, 0, 22873), (20885, 1, 22873)]","[9.096857, 8.752733]",1,"(22873, 1, 37187)",9.392544,3
"[1, 1]",1.0,8.072756,"[(1513, 2, 121), (4804, 2, 121), (6149, 2, 121)]","[7.9620466, 8.183466]",1,"(13776, 2, 121)",8.00515,3
"[38076, 31707]",34891.5,-2.7215362,"[(17464, 1, 17465), (10330, 1, 17465)]","[-3.9321938, -1.5108783]",1,"(17465, 1, 17464)",9.928814,2
"[1, 1]",1.0,8.051836,"[(171, 5, 172), (26515, 4, 33614), (1617, 5, 172)]","[8.282886, 7.8207874]",1,"(33614, 5, 172)",7.783125,3
"[293, 291]",292.0,0.91048187,"[(22982, 1, 7948), (8993, 1, 7948), (7947, 1, 7948)]","[0.96630466, 0.8546591]",1,"(7948, 1, 8993)",9.079611,3
