#facts,original_rank,prediction,new_score,new_scores,new_rank,facts,original_score,new_ranks
3,1,"(25999, 1, 31140)",-3.1877036,"[-4.437255, -1.9381526]",16867.0,"[(31140, 1, 25999), (25998, 0, 25999), (25999, 0, 12912)]",9.611744,"[28009, 5725]"
3,1,"(22500, 1, 15849)",-0.8089264,"[-0.026716352, -1.5911365]",18269.0,"[(22500, 1, 26110), (15849, 1, 22500), (25081, 0, 22500)]",8.751211,"[6086, 30452]"
1,1,"(21811, 0, 278)",5.5607104,"[5.441502, 5.679919]",29.5,"[(21810, 4, 21811)]",7.6046906,"[35, 24]"
1,1,"(33440, 2, 121)",8.78112,"[8.522055, 9.040187]",2.5,"[(4170, 6, 33440)]",7.4783945,"[2, 3]"
3,1,"(14576, 5, 2971)",6.291628,"[6.150516, 6.4327393]",1.0,"[(14576, 0, 7981), (904, 1, 14576), (14576, 1, 904)]",5.459032,"[1, 1]"
3,1,"(12905, 1, 5832)",6.270628,"[6.293455, 6.2478013]",5.5,"[(12905, 1, 28697), (12905, 1, 12904), (5832, 1, 12905)]",9.152345,"[7, 4]"
3,1,"(17819, 1, 653)",-0.9206482,"[-1.1607355, -0.6805609]",10447.0,"[(17819, 1, 17820), (653, 1, 17819), (17820, 1, 17819)]",9.249761,"[15039, 5855]"
1,1,"(17014, 2, 3167)",2.4957108,"[3.029251, 1.9621704]",146.0,"[(17014, 2, 909)]",7.138199,"[131, 161]"
3,1,"(32701, 0, 522)",0.48381662,"[0.88568115, 0.081952125]",736.0,"[(32701, 1, 1049), (1049, 1, 32701), (730, 1, 32701)]",6.671388,"[303, 1169]"
2,1,"(3104, 1, 3103)",-3.089874,"[-3.1857467, -2.9940014]",15290.5,"[(3103, 1, 3104), (3104, 5, 1981)]",9.955729,"[18795, 11786]"
3,1,"(17011, 3, 17169)",0.29311022,"[1.1197627, -0.5335422]",9322.0,"[(17011, 3, 17012), (17011, 3, 24571), (17169, 3, 17011)]",8.8337755,"[322, 18322]"
1,1,"(23647, 0, 1338)",2.2034168,"[2.2392092, 2.1676247]",160.5,"[(23647, 0, 14302)]",7.0427074,"[165, 156]"
3,1,"(4765, 1, 4764)",-0.5498142,"[-0.73308706, -0.3665414]",23090.0,"[(4765, 1, 29462), (4764, 1, 4765), (29462, 1, 4765)]",9.360676,"[30466, 15714]"
3,1,"(8742, 1, 19068)",8.132004,"[8.447428, 7.816581]",3.5,"[(8742, 1, 9355), (8742, 1, 1897), (8742, 1, 15133)]",8.114485,"[3, 4]"
3,1,"(13806, 1, 28087)",-1.132363,"[-0.11564331, -2.1490827]",12971.5,"[(28087, 1, 13806), (13805, 4, 13806), (13806, 0, 1380)]",9.769687,"[2070, 23873]"
3,1,"(3210, 5, 1819)",4.4997234,"[4.602609, 4.396837]",4.5,"[(3210, 0, 14885), (135, 0, 3210), (8242, 0, 3210)]",6.574163,"[6, 3]"
1,1,"(11480, 2, 1534)",-3.229065,"[-3.5587611, -2.899369]",2674.0,"[(11480, 2, 8721)]",5.108136,"[4070, 1278]"
3,1,"(26647, 1, 3407)",5.2503023,"[5.300623, 5.1999817]",4.0,"[(26647, 1, 26646), (3407, 1, 26647), (26647, 9, 12197)]",8.59272,"[5, 3]"
2,1,"(12274, 1, 9268)",-2.9506161,"[-2.6174903, -3.283742]",13784.5,"[(9268, 1, 12274), (12274, 0, 9960)]",10.34638,"[13865, 13704]"
3,1,"(17578, 1, 8885)",4.5436134,"[4.75004, 4.337187]",6.0,"[(17578, 1, 3300), (8885, 1, 17578), (31094, 0, 17578)]",9.063567,"[5, 7]"
3,1,"(3152, 1, 34834)",-1.5033491,"[-1.0323719, -1.9743261]",31366.0,"[(3152, 1, 8251), (3152, 1, 3151), (34834, 1, 3152)]",9.688642,"[32001, 30731]"
1,1,"(36104, 0, 81)",2.4303274,"[2.1379201, 2.722735]",147.0,"[(16415, 4, 36104)]",7.7996135,"[172, 122]"
1,1,"(25305, 0, 2099)",0.8171451,"[0.8562363, 0.7780539]",349.0,"[(1620, 6, 25305)]",7.398238,"[373, 325]"
2,1,"(24512, 1, 24859)",-6.278552,"[-3.108212, -9.448893]",27091.5,"[(24859, 1, 24512), (24512, 0, 14773)]",10.221,"[18097, 36086]"
3,1,"(13731, 1, 3340)",7.172368,"[7.14988, 7.1948557]",2.0,"[(13731, 1, 11130), (3340, 1, 13731), (11130, 1, 13731)]",9.419868,"[2, 2]"
3,1,"(21993, 1, 19504)",9.621851,"[9.162327, 10.081375]",1.5,"[(21993, 1, 27075), (21993, 1, 14080), (21993, 1, 24827)]",8.579209,"[2, 1]"
2,1,"(14202, 1, 14201)",-3.9005332,"[-3.7013793, -4.099687]",21049.0,"[(14201, 1, 14202), (14202, 0, 31982)]",10.240109,"[22951, 19147]"
3,1,"(3450, 1, 6752)",6.0247593,"[5.8104305, 6.2390876]",6.5,"[(6752, 1, 3450), (3450, 1, 13763), (3450, 1, 15388)]",8.6875305,"[7, 6]"
3,1,"(18173, 1, 1287)",0.85244775,"[0.4823017, 1.2225938]",425.0,"[(1287, 1, 18173), (18173, 1, 30417), (23932, 1, 18173)]",8.870047,"[775, 75]"
3,1,"(14917, 3, 17826)",3.9488935,"[3.918126, 3.9796607]",8.0,"[(17826, 3, 14917), (14917, 3, 14918), (14917, 3, 28987)]",8.515327,"[10, 6]"
3,1,"(26613, 1, 9037)",-0.6318604,"[-0.8004942, -0.46322662]",11364.5,"[(26613, 1, 9459), (9037, 1, 26613), (26613, 0, 10457)]",9.101814,"[16047, 6682]"
2,1,"(28305, 0, 3141)",2.8539782,"[2.191311, 3.5166454]",124.5,"[(1019, 4, 28305), (28305, 4, 28306)]",8.571083,"[167, 82]"
1,1,"(4747, 0, 22951)",-3.4062734,"[-2.9114373, -3.9011092]",2986.5,"[(4747, 5, 3149)]",7.647258,"[2391, 3582]"
3,1,"(15497, 1, 2938)",1.61006,"[1.3411177, 1.8790022]",186.0,"[(2938, 1, 15497), (7315, 0, 15497), (16075, 0, 15497)]",9.88568,"[278, 94]"
3,1,"(14121, 1, 5862)",0.16247892,"[-0.12708807, 0.45204592]",8199.0,"[(5862, 1, 14121), (14121, 1, 20816), (14121, 1, 37161)]",7.876352,"[15137, 1261]"
1,1,"(39279, 0, 184)",6.7483397,"[6.2953954, 7.201284]",8.5,"[(1038, 4, 39279)]",8.77287,"[13, 4]"
3,1,"(7514, 1, 25165)",4.300582,"[4.293122, 4.3080416]",8.5,"[(7514, 1, 21485), (7514, 1, 3331), (25165, 1, 7514)]",9.075606,"[9, 8]"
3,1,"(15028, 1, 5116)",7.5843873,"[7.7266817, 7.442093]",2.0,"[(5116, 1, 15028), (16314, 1, 15028), (15028, 1, 21701)]",9.27175,"[2, 2]"
3,1,"(6726, 1, 5782)",-0.41777033,"[-0.55972964, -0.27581105]",22719.0,"[(6726, 1, 35914), (6726, 1, 13865), (5782, 1, 6726)]",9.564367,"[29433, 16005]"
3,1,"(12530, 1, 5329)",-3.338449,"[-4.198293, -2.4786048]",17553.5,"[(5329, 1, 12530), (12530, 0, 1025), (12530, 0, 11638)]",10.27132,"[26506, 8601]"
2,1,"(40286, 1, 14159)",-3.4501734,"[-3.3159769, -3.5843701]",17823.0,"[(14159, 1, 40286), (40286, 0, 5905)]",10.40897,"[19922, 15724]"
2,1,"(26785, 1, 7703)",-1.0889126,"[-0.92030853, -1.2575167]",3164.0,"[(7703, 1, 26785), (26785, 0, 17167)]",10.314679,"[3214, 3114]"
3,1,"(5855, 1, 7329)",9.3346815,"[9.5716, 9.097763]",3.0,"[(5855, 1, 17345), (5855, 1, 28317), (5855, 1, 11997)]",8.925503,"[3, 3]"
3,1,"(30984, 1, 6485)",5.369621,"[5.293029, 5.446213]",5.0,"[(30984, 1, 13642), (30984, 1, 16988), (6485, 1, 30984)]",9.050512,"[5, 5]"
2,1,"(29963, 5, 774)",7.5790133,"[7.5746546, 7.583372]",17.5,"[(29963, 2, 1137), (1914, 8, 29963)]",8.869197,"[15, 20]"
3,1,"(17030, 1, 2573)",3.5631437,"[3.8633847, 3.262903]",21.5,"[(2573, 1, 17030), (17030, 1, 13110), (17030, 0, 4127)]",8.604788,"[20, 23]"
2,1,"(20115, 2, 2580)",3.1494563,"[2.3189871, 3.9799254]",132.5,"[(20114, 6, 20115), (12790, 8, 20115)]",8.1901455,"[199, 66]"
3,1,"(3741, 1, 18271)",-0.4492488,"[0.5496824, -1.44818]",10572.0,"[(18271, 1, 3741), (3741, 6, 29582), (23931, 0, 3741)]",10.975729,"[908, 20236]"
3,1,"(7532, 1, 7531)",8.684086,"[8.701031, 8.667141]",3.0,"[(7532, 1, 13150), (7532, 1, 11527), (7532, 1, 6969)]",8.390123,"[3, 3]"
3,1,"(1771, 1, 36226)",4.5120406,"[4.7060337, 4.3180475]",19.5,"[(1771, 1, 7171), (36226, 1, 1771), (9610, 1, 1771)]",9.191784,"[19, 20]"
3,1,"(6882, 9, 10563)",1.9954741,"[2.0009768, 1.9899715]",22.0,"[(10563, 9, 6882), (9971, 1, 6882), (6882, 1, 9971)]",10.239602,"[22, 22]"
2,1,"(28580, 5, 172)",9.615487,"[9.2936325, 9.937342]",1.5,"[(27614, 0, 28580), (28580, 0, 13179)]",7.0875874,"[2, 1]"
1,1,"(40453, 1, 28165)",-3.8481836,"[-4.012827, -3.6835403]",20810.0,"[(28165, 1, 40453)]",9.401691,"[25257, 16363]"
3,1,"(21645, 1, 16026)",6.2383137,"[5.947952, 6.528676]",2.0,"[(16026, 1, 21645), (21645, 1, 14574), (14574, 1, 21645)]",9.251232,"[3, 1]"
3,1,"(11251, 1, 13752)",-0.91201013,"[-0.55025184, -1.2737684]",9861.5,"[(11251, 1, 5715), (13752, 1, 11251), (11251, 0, 23434)]",9.526362,"[7193, 12530]"
3,1,"(26645, 1, 11702)",-5.8625584,"[-6.7582827, -4.966834]",30681.5,"[(11702, 1, 26645), (11590, 0, 26645), (26645, 5, 129)]",10.44846,"[37185, 24178]"
3,1,"(31376, 2, 743)",4.69394,"[4.637619, 4.7502613]",48.5,"[(23887, 6, 31376), (10052, 6, 31376), (12272, 6, 31376)]",7.7001705,"[55, 42]"
3,1,"(5394, 1, 2601)",4.4281044,"[4.448481, 4.4077272]",9.0,"[(2601, 1, 5394), (20358, 0, 5394), (19801, 0, 5394)]",9.64728,"[9, 9]"
2,1,"(11144, 1, 2617)",-6.045205,"[-5.6764216, -6.413989]",31860.0,"[(2617, 1, 11144), (11144, 0, 21098)]",9.984545,"[34007, 29713]"
3,1,"(10925, 1, 8153)",1.0134367,"[0.9107488, 1.1161246]",185.0,"[(8153, 1, 10925), (10925, 1, 5889), (12946, 1, 10925)]",9.006329,"[257, 113]"
3,1,"(12999, 1, 15729)",-0.6214264,"[-0.4810127, -0.7618401]",5829.5,"[(12999, 1, 15171), (15171, 1, 12999), (12999, 0, 30527)]",6.798723,"[5476, 6183]"
3,1,"(8634, 9, 19910)",-0.6633146,"[-0.70582396, -0.62080514]",7179.0,"[(19910, 9, 8634), (8634, 0, 30340), (8634, 9, 5388)]",9.567928,"[8950, 5408]"
3,1,"(32633, 1, 5596)",5.4042306,"[5.196972, 5.6114893]",1.0,"[(5596, 1, 32633), (32633, 0, 5176), (6813, 1, 32633)]",9.348708,"[1, 1]"
1,1,"(9012, 5, 7786)",3.1751554,"[2.3490267, 4.001284]",178.5,"[(9012, 0, 2536)]",8.305224,"[249, 108]"
1,1,"(25496, 0, 5310)",-3.5615091,"[-4.185155, -2.937863]",3327.0,"[(25496, 0, 25497)]",7.0187235,"[4459, 2195]"
3,1,"(36188, 1, 4691)",5.304012,"[5.108491, 5.4995327]",2.0,"[(4691, 1, 36188), (36188, 3, 6093), (36188, 1, 20727)]",9.827701,"[2, 2]"
1,1,"(21505, 0, 296)",4.5426064,"[4.0304027, 5.0548096]",46.5,"[(8525, 4, 21505)]",6.9597425,"[62, 31]"
3,1,"(7605, 1, 16736)",3.801732,"[3.5902786, 4.0131855]",3.0,"[(7605, 1, 7606), (16736, 1, 7605), (7605, 0, 5690)]",9.469548,"[3, 3]"
3,1,"(37743, 1, 14493)",-3.3333824,"[-2.1500244, -4.5167403]",15921.5,"[(14493, 1, 37743), (37743, 0, 770), (37743, 0, 25874)]",9.327404,"[10087, 21756]"
2,1,"(2945, 9, 2944)",-7.199429,"[-4.929511, -9.469347]",33877.5,"[(2944, 9, 2945), (2945, 0, 203)]",10.549395,"[32009, 35746]"
3,1,"(2381, 2, 12273)",6.2764416,"[6.190043, 6.3628397]",1.0,"[(3408, 6, 2381), (2380, 6, 2381), (4109, 6, 2381)]",8.170172,"[1, 1]"
3,1,"(17802, 1, 3847)",-0.73083067,"[0.25151825, -1.7131796]",10005.0,"[(17802, 1, 17801), (3847, 1, 17802), (17801, 1, 17802)]",8.961193,"[1090, 18920]"
3,1,"(7673, 1, 8629)",1.9048347,"[2.0337608, 1.7759088]",88.5,"[(7673, 1, 3533), (8629, 1, 7673), (7673, 0, 19841)]",9.002323,"[110, 67]"
3,1,"(26644, 1, 16054)",4.3527718,"[4.905882, 3.7996616]",1.0,"[(16054, 1, 26644), (4985, 1, 26644), (26644, 3, 16053)]",9.2418165,"[1, 1]"
3,1,"(29442, 1, 5305)",5.2384253,"[4.51814, 5.9587107]",6.5,"[(29442, 1, 8152), (29442, 1, 17373), (5305, 1, 29442)]",8.90522,"[9, 4]"
3,1,"(1771, 1, 1770)",9.188578,"[9.576198, 8.800959]",1.5,"[(1771, 1, 13508), (1771, 1, 7171), (1771, 1, 3480)]",8.726723,"[2, 1]"
2,1,"(22121, 0, 351)",4.127527,"[4.238668, 4.016387]",55.0,"[(512, 4, 22121), (22121, 4, 13498)]",8.308378,"[54, 56]"
3,1,"(10990, 1, 4301)",9.617438,"[9.7215605, 9.513316]",1.5,"[(10990, 1, 23716), (10990, 1, 35363), (10990, 1, 10991)]",9.040138,"[2, 1]"
3,1,"(22873, 1, 37187)",9.680826,"[9.974321, 9.387331]",1.0,"[(22873, 1, 31727), (22873, 1, 5829), (22873, 1, 25501)]",9.392544,"[1, 1]"
2,1,"(13776, 2, 121)",8.781165,"[8.522105, 9.040225]",2.5,"[(13776, 2, 916), (2181, 6, 13776)]",8.00515,"[2, 3]"
3,1,"(17465, 1, 17464)",-1.9996446,"[-1.8492177, -2.1500716]",27894.5,"[(17465, 1, 10330), (17464, 1, 17465), (17465, 0, 21131)]",9.928814,"[31824, 23965]"
2,1,"(33614, 5, 172)",9.615529,"[9.293612, 9.937447]",1.5,"[(33614, 0, 5517), (26515, 4, 33614)]",7.783125,"[2, 1]"
3,1,"(7948, 1, 8993)",0.72266865,"[0.3683408, 1.0769966]",1130.5,"[(7948, 1, 22982), (8993, 1, 7948), (7948, 0, 15464)]",9.079611,"[2006, 255]"
