facts,new_ranks,#facts,new_rank,prediction,new_score,new_scores,original_score,original_rank
"[(8758, 19, 4418), (8758, 6, 4975), (8758, 82, 8686)]","[1, 2]",3,1.5,"(8758, 19, 1724)",6.9153748,"[6.7242584, 7.1064906]",7.7758446,1
"[(9376, 124, 2846), (9376, 61, 2940), (9376, 61, 3360)]","[1, 1]",3,1.0,"(9376, 25, 62)",6.932742,"[6.892196, 6.9732885]",7.0566015,1
"[(1658, 34, 90), (1658, 28, 32), (1658, 26, 342)]","[1, 2]",3,1.5,"(1658, 26, 990)",6.5767336,"[6.5402393, 6.613228]",6.9488378,1
"[(3577, 66, 3796), (4877, 22, 3577), (3577, 38, 364)]","[1, 1]",3,1.0,"(3577, 48, 32)",6.440243,"[6.289096, 6.591389]",6.6759186,1
"[(2016, 196, 4688), (2016, 45, 4688), (792, 8, 2016)]","[2, 1]",3,1.5,"(2016, 17, 60)",6.569208,"[6.527336, 6.61108]",6.498813,1
"[(5605, 17, 1192), (5605, 45, 7550), (5605, 123, 3441)]","[1, 1]",3,1.0,"(5605, 17, 862)",6.5682874,"[6.4889994, 6.6475754]",6.5098124,1
"[(7019, 14, 160), (7019, 26, 64), (7019, 26, 1098)]","[1, 1]",3,1.0,"(7019, 11, 23)",8.392395,"[8.192229, 8.59256]",8.85631,1
"[(868, 34, 90), (868, 14, 160), (868, 28, 32)]","[1, 1]",3,1.0,"(868, 26, 342)",7.557267,"[7.3765936, 7.7379413]",7.565317,1
"[(3116, 14, 160), (3116, 31, 4), (3116, 13, 32)]","[1, 1]",3,1.0,"(3116, 11, 23)",7.1454344,"[7.062045, 7.228824]",7.8973103,1
"[(3481, 13, 202), (3481, 13, 27), (3481, 13, 637)]","[3, 2]",3,2.5,"(3481, 13, 1934)",6.1184216,"[6.0255313, 6.211312]",6.271813,1
"[(6848, 11, 23), (6848, 28, 382), (6848, 86, 742)]","[1, 1]",3,1.0,"(6848, 28, 32)",7.4548116,"[7.578702, 7.330921]",7.389966,1
"[(6079, 220, 6386), (6079, 220, 4005), (6079, 148, 7018)]","[1, 3]",3,2.0,"(6079, 220, 8450)",7.8417397,"[7.922601, 7.760878]",8.157777,1
"[(4592, 3, 750), (4592, 8, 10076), (4592, 8, 7146)]","[1, 1]",3,1.0,"(4592, 17, 818)",5.540176,"[5.560116, 5.520236]",5.790435,1
"[(8007, 85, 434), (8007, 48, 32), (8007, 39, 150)]","[1, 1]",3,1.0,"(8007, 43, 141)",6.1333017,"[5.8475037, 6.4191]",7.8901253,1
"[(3861, 28, 32), (3861, 115, 747), (3861, 26, 990)]","[1, 1]",3,1.0,"(3861, 26, 64)",7.9852734,"[8.078748, 7.8917985]",7.833797,1
"[(9419, 31, 9900), (9419, 31, 6394), (9419, 34, 90)]","[3, 3]",3,3.0,"(9419, 31, 2512)",6.127455,"[6.1087985, 6.146112]",6.3330984,1
"[(4929, 14, 160), (4929, 26, 64), (4929, 26, 1098)]","[1, 1]",3,1.0,"(4929, 11, 23)",8.349627,"[8.106841, 8.592413]",8.66317,1
"[(4489, 219, 90), (4489, 18, 8332), (9811, 37, 4489)]","[2, 2]",3,2.0,"(4489, 18, 795)",6.9965925,"[6.761411, 7.2317734]",7.114539,1
"[(10519, 48, 1124), (10444, 76, 10519), (10823, 20, 10519)]","[5, 2]",3,3.5,"(10519, 66, 9596)",4.1037154,"[3.8287637, 4.3786674]",5.9763412,1
"[(4349, 110, 494), (4349, 85, 434), (4649, 47, 4349)]","[1, 1]",3,1.0,"(4349, 17, 871)",6.6706543,"[6.927501, 6.413808]",6.9785805,1
"[(6253, 34, 90), (6253, 26, 342), (6253, 26, 64)]","[1, 1]",3,1.0,"(6253, 31, 657)",6.973365,"[7.016067, 6.930662]",6.9195323,1
"[(9122, 85, 434), (9122, 43, 141), (9122, 48, 32)]","[1, 1]",3,1.0,"(9122, 17, 215)",6.9691916,"[6.897081, 7.0413027]",7.1839924,1
"[(2634, 31, 136), (2634, 31, 657), (2634, 11, 23)]","[2, 3]",3,2.5,"(2634, 31, 844)",7.139122,"[7.3130856, 6.965159]",7.234824,1
"[(3809, 120, 791), (3809, 154, 2438), (3809, 25, 62)]","[1, 1]",3,1.0,"(3809, 33, 90)",5.4393654,"[5.5230284, 5.3557024]",6.958826,1
"[(2857, 182, 2192), (2857, 10, 579), (1308, 19, 2857)]","[2, 2]",3,2.0,"(2857, 10, 2465)",6.5099115,"[6.555634, 6.4641895]",6.8358297,1
"[(1253, 71, 7245), (7245, 6, 7148), (7245, 6, 874)]","[1, 1]",3,1.0,"(7245, 100, 160)",7.882388,"[7.8016596, 7.963116]",7.8238983,1
"[(4794, 11, 23), (4794, 34, 90), (4794, 28, 32)]","[2, 2]",3,2.0,"(4794, 28, 382)",5.7393284,"[5.707565, 5.7710924]",5.9059772,1
"[(5115, 86, 268), (268, 32, 5115), (5115, 12, 268)]","[2, 3]",3,2.5,"(5115, 86, 2316)",6.665273,"[6.7160115, 6.614535]",7.1986084,1
"[(1081, 27, 870), (1081, 27, 5038), (1081, 27, 4360)]","[1, 3]",3,2.0,"(1081, 27, 7303)",6.202857,"[6.2645426, 6.1411715]",6.3773446,1
"[(12076, 48, 32), (12076, 17, 862), (12076, 66, 540)]","[1, 1]",3,1.0,"(12076, 85, 434)",7.0680757,"[7.1305733, 7.005578]",8.028749,1
"[(457, 182, 3202), (457, 10, 6327), (457, 10, 4121)]","[2, 2]",3,2.0,"(457, 10, 7869)",6.073189,"[5.858022, 6.288355]",6.1483383,1
"[(4552, 35, 3796), (4552, 35, 1562), (4552, 64, 3282)]","[1, 1]",3,1.0,"(4552, 35, 2732)",7.0594463,"[7.1901507, 6.928742]",6.999007,1
"[(3794, 72, 1718), (526, 29, 3794), (3794, 58, 1340)]","[1, 1]",3,1.0,"(3794, 23, 209)",8.149718,"[8.282645, 8.016791]",8.168217,1
"[(3306, 13, 202), (3306, 28, 32), (3306, 13, 2282)]","[2, 3]",3,2.5,"(3306, 13, 1682)",5.642158,"[5.6737146, 5.6106014]",5.862156,1
"[(3660, 11, 23), (3660, 28, 32), (3660, 31, 844)]","[1, 1]",3,1.0,"(3660, 31, 136)",7.583733,"[7.624605, 7.542861]",7.3106804,1
"[(1927, 85, 434), (1927, 43, 141), (1927, 17, 862)]","[1, 1]",3,1.0,"(1927, 212, 4563)",6.896904,"[6.608946, 7.1848617]",7.7084093,1
"[(740, 37, 854), (740, 37, 6243), (740, 37, 855)]","[4, 3]",3,3.5,"(740, 37, 1577)",5.8183146,"[5.7761974, 5.8604317]",6.135332,1
"[(8128, 182, 2192), (8128, 10, 358), (8128, 10, 1840)]","[3, 2]",3,2.5,"(8128, 10, 1968)",6.6854076,"[6.787583, 6.583233]",6.9333606,1
"[(8270, 34, 90), (8270, 28, 32), (8270, 86, 441)]","[1, 1]",3,1.0,"(8270, 14, 160)",8.355804,"[8.163837, 8.547772]",8.478947,1
"[(8285, 21, 10982), (8285, 8, 5181), (8285, 8, 360)]","[1, 1]",3,1.0,"(8285, 17, 862)",6.7299356,"[6.7798395, 6.6800313]",6.5313535,1
"[(8714, 49, 1796), (3082, 49, 1796), (1246, 49, 1796)]","[5, 3]",3,4.0,"(1796, 130, 841)",6.753029,"[6.765089, 6.7409687]",6.8177223,1
"[(1754, 104, 2722), (1754, 29, 1080), (3465, 65, 1754)]","[3, 3]",3,3.0,"(1754, 29, 181)",5.6189,"[5.6853848, 5.552415]",5.848309,1
"[(2946, 85, 434), (2946, 43, 141), (2946, 48, 32)]","[1, 1]",3,1.0,"(2946, 17, 215)",6.2461696,"[6.315771, 6.176568]",6.474165,1
"[(7787, 11, 23), (7787, 34, 90), (7787, 14, 160)]","[1, 1]",3,1.0,"(7787, 31, 136)",6.820347,"[6.941531, 6.6991625]",6.917391,1
"[(8365, 13, 202), (8365, 13, 1934), (8365, 13, 1046)]","[4, 4]",3,4.0,"(8365, 13, 158)",5.751333,"[5.9600196, 5.5426474]",5.7749047,1
"[(7436, 166, 90), (7436, 124, 4722), (7436, 25, 62)]","[1, 1]",3,1.0,"(7436, 217, 3433)",9.210866,"[8.901912, 9.51982]",9.396436,1
"[(2369, 10, 4491), (2369, 10, 5312), (2369, 10, 2070)]","[1, 1]",3,1.0,"(2369, 182, 2517)",8.578278,"[8.364212, 8.792342]",9.2232685,1
"[(7479, 19, 1857), (7479, 43, 141), (7479, 19, 39)]","[5, 6]",3,5.5,"(7479, 19, 2998)",5.053208,"[5.1498523, 4.9565635]",6.0403447,1
"[(2323, 107, 163), (2323, 25, 62), (1794, 2, 2323)]","[1, 1]",3,1.0,"(2323, 91, 494)",9.154408,"[9.163872, 9.144945]",9.398626,1
"[(1727, 17, 1415), (1727, 17, 10844), (4638, 20, 1727)]","[2, 2]",3,2.0,"(1727, 17, 432)",6.9560137,"[7.1326456, 6.7793818]",7.2044873,1
"[(13994, 154, 2438), (13994, 127, 2792), (2792, 15, 13994)]","[1, 1]",3,1.0,"(13994, 133, 32)",5.6302595,"[5.54556, 5.714959]",7.4030623,1
"[(705, 148, 7018), (705, 148, 4653), (705, 220, 6386)]","[3, 1]",3,2.0,"(705, 148, 2861)",7.050764,"[6.81539, 7.286138]",6.9772243,1
"[(119, 15, 13557), (13557, 25, 62), (10423, 15, 13557)]","[2, 3]",3,2.5,"(13557, 154, 2620)",8.345674,"[8.389857, 8.30149]",6.6576047,1
"[(10437, 48, 32), (10437, 24, 2607), (10437, 66, 2607)]","[1, 1]",3,1.0,"(10437, 43, 141)",6.8628545,"[6.385976, 7.339733]",8.017205,1
"[(2611, 160, 249), (2611, 41, 985), (2611, 160, 382)]","[1, 1]",3,1.0,"(2611, 25, 62)",7.679038,"[7.58629, 7.771786]",7.586446,1
"[(3120, 220, 4005), (3120, 148, 7018), (3120, 148, 4599)]","[1, 1]",3,1.0,"(3120, 220, 6386)",8.240527,"[7.8891206, 8.591934]",8.844319,1
"[(13433, 43, 141), (13433, 100, 160), (13433, 17, 967)]","[1, 1]",3,1.0,"(13433, 17, 862)",5.2679453,"[5.302372, 5.233519]",7.1964135,1
"[(1551, 18, 1172), (1551, 222, 10671), (1551, 18, 363)]","[1, 1]",3,1.0,"(1551, 18, 10398)",6.5608206,"[6.8026466, 6.318994]",6.7144117,1
"[(6053, 85, 434), (6053, 24, 6277), (6053, 66, 2274)]","[1, 1]",3,1.0,"(6053, 48, 32)",7.3980074,"[7.518603, 7.2774115]",8.074702,1
"[(7744, 13, 4474), (7744, 13, 331), (7744, 13, 2091)]","[2, 3]",3,2.5,"(7744, 13, 2046)",5.866642,"[5.8510847, 5.8821993]",5.7034497,1
"[(4819, 43, 141), (4819, 82, 2456), (4819, 48, 1124)]","[1, 1]",3,1.0,"(4819, 85, 434)",6.951848,"[6.9983587, 6.9053373]",7.9445515,1
"[(1759, 10, 1256), (1759, 10, 9617), (7641, 30, 1759)]","[1, 1]",3,1.0,"(1759, 10, 6825)",6.228816,"[6.1478667, 6.309765]",6.1227975,1
"[(5090, 48, 382), (5090, 66, 249), (5090, 48, 308)]","[1, 1]",3,1.0,"(5090, 85, 434)",6.6008224,"[6.661911, 6.5397344]",6.9438825,1
"[(2348, 48, 32), (2348, 100, 160), (2348, 43, 384)]","[1, 1]",3,1.0,"(2348, 82, 1771)",7.622813,"[7.853591, 7.3920355]",8.100239,1
"[(166, 8, 1193), (166, 8, 1040), (166, 8, 7785)]","[1, 1]",3,1.0,"(166, 19, 559)",7.8500633,"[7.9978123, 7.7023144]",7.7511554,1
"[(2719, 41, 138), (2719, 41, 597), (2719, 41, 212)]","[3, 3]",3,3.0,"(2719, 41, 570)",6.3217907,"[6.2674565, 6.3761244]",6.5151615,1
"[(1843, 34, 90), (1843, 86, 410), (1843, 183, 4593)]","[1, 1]",3,1.0,"(1843, 28, 32)",7.822283,"[7.6809597, 7.963606]",8.216557,1
"[(4660, 107, 658), (1794, 2, 4660), (4660, 107, 136)]","[1, 1]",3,1.0,"(4660, 107, 4)",6.979623,"[7.171133, 6.7881126]",7.1832814,1
"[(786, 35, 12986), (471, 64, 786), (6448, 64, 786)]","[2, 1]",3,1.5,"(786, 35, 12545)",6.0018797,"[5.986836, 6.016924]",6.4405465,1
"[(13197, 80, 344), (13197, 5, 11), (13197, 4, 11)]","[1, 2]",3,1.5,"(13197, 5, 9)",7.458582,"[7.438222, 7.4789414]",7.7915053,1
"[(4093, 45, 5910), (4093, 119, 5910), (4093, 45, 4294)]","[1, 1]",3,1.0,"(4093, 85, 434)",7.5287895,"[7.441757, 7.6158223]",7.577811,1
"[(7956, 113, 737), (7956, 16, 32), (7956, 25, 62)]","[1, 1]",3,1.0,"(7956, 198, 160)",7.680234,"[7.636079, 7.724389]",8.374424,1
"[(12458, 48, 32), (12458, 17, 862), (12458, 17, 215)]","[1, 1]",3,1.0,"(12458, 85, 434)",7.7729607,"[8.038269, 7.5076523]",8.788849,1
"[(2693, 20, 4931), (5953, 76, 4931), (4931, 8, 4208)]","[1, 1]",3,1.0,"(4931, 19, 9014)",6.34976,"[6.3261023, 6.373418]",6.3626885,1
"[(5072, 48, 1124), (5072, 48, 382), (5072, 85, 434)]","[1, 2]",3,1.5,"(5072, 66, 249)",5.932902,"[5.880306, 5.985498]",6.7542014,1
"[(5078, 85, 434), (5078, 43, 141), (5078, 48, 32)]","[2, 2]",3,2.0,"(5078, 48, 181)",5.8586297,"[5.7664833, 5.950776]",5.891928,1
"[(1580, 13, 202), (1580, 13, 1934), (1580, 13, 2282)]","[5, 3]",3,4.0,"(1580, 13, 1682)",5.572286,"[5.5354915, 5.609081]",5.7745996,1
"[(476, 113, 737), (476, 198, 160), (476, 172, 5721)]","[1, 2]",3,1.5,"(476, 46, 1407)",7.1432753,"[6.951474, 7.3350763]",7.008473,1
